DivergenceHarmonic,VarianceInitializer,Inner Iteration,Weights,StdWReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,MinBehavPdf,Epsilon,StdIW,InitialBound,ESSRenyiHarmonic,MaxIW,ESSRenyiArithmetic,ReturnMeanIW,EpThisIter,TimestepsSoFar,OptimizationReturnMean,EpisodesSoFar,InitialReturnMax,OptimizationReturnMax,MeanD2-0,MinTargetPdf,EpLenMean,ReturnStepMaxmin,MeanIW,InitialReturnMin,WReturnMean,EmpiricalD2Harmonic,MeanEntropy,Bound,InitialReturnStd,OptimizationReturnMin,MinIW,EpRewMean,Iteration,LearnableVariance,TimeElapsed,Penalization,ReturnStepMax
7.013687e+20,-1.0,1,[-0.058  0.513 -1.721 -1.304],,2537.2944,1.0,-161.0242,1.0,1032.7565,-11263024.0,11.0,3229.0916,11.0,5623422500.0,11,24182,1507.8934,462,4578.756,3549.355,1.0,-161.0242,254.8181818181818,10.0,808.8498,1029.401,7613434.5,1.0,0.41894197,-9.665209e+16,1084.237,,0.7369882,2537.294536490837,42,,47.84872579574585,True,10.0
3.9954817e+20,-1.0,1,[-0.079  0.424 -1.742 -1.386],,2219.358,1.0,-191.96616,1.0,930.2498,-10040022.0,11.0,3098.6655,11.0,4793422300.0,11,26635,1959.5106,473,4208.924,3949.0767,1.0,-191.96616,223.0,9.999997,614.81256,259.84723,6956192.0,1.0,0.41894197,-6.1641014e+16,1425.0061,,0.34722933,2219.3577821224117,43,,51.416221380233765,True,9.999997
12739309000000.0,-1.0,1,[-0.015  0.35  -1.736 -1.464],,3281.8718,1.0,-225.14021,1.0,489.5689,-17300772.0,11.0,1442.5974,11.0,2284412700.0,11,30253,2242.0334,484,4999.14,3959.3018,1.0,-225.14021,328.90909090909093,9.999999,231.21466,1039.8383,12950256.0,1.0,0.41894197,-15529964000000.0,1476.338,,0.5229419,3281.8716894712184,44,,56.47940254211426,True,9.999999
1.8638348e+24,-1.0,1,[ 0.016  0.4   -1.754 -1.474],,3306.2827,1.0,-204.99655,1.0,440.15378,-18585206.0,11.0,1284.287,11.0,4501854700.0,11,33897,3306.2827,495,4998.999,4998.999,1.0,-204.99655,331.27272727272725,10.0,298.70697,,14234930.0,1.0,0.41894197,-5.938994e+18,1817.5323,,1.0776958,3306.2828924990727,45,,61.4876184463501,True,10.0
6.7377e+16,-1.0,1,[-0.071  0.451 -1.818 -1.438],,2538.3357,1.0,-235.20607,1.0,2801.5535,-12882213.0,11.0,9771.501,11.0,4210851600.0,11,36700,2288.561,506,4999.2,4749.426,1.0,-235.20607,254.8181818181818,10.0,1221.0615,249.77461,8531608.0,1.0,0.41894197,-1129279600000000.0,1445.1509,,0.50020105,2538.3355774771703,46,,64.74470829963684,True,10.0
3.015497e+33,-1.0,1,[-0.009  0.455 -1.821 -1.447],,3221.0444,1.0,-202.48628,1.0,304071.2,-18349180.0,11.0,1062590.9,11.0,2585297200000.0,11,40251,3161.1335,517,4999.1357,4939.2246,1.0,-202.48628,322.8181818181818,10.0,103450.67,59.911358,13998669.0,1.0,0.41894197,-2.3889787e+23,1903.56,,0.3940031,3221.0444654538896,47,,69.64149856567383,True,10.0
3.707682e+16,-1.0,1,[ 0.105  0.462 -1.863 -1.473],,1366.6416,1.0,-195.88603,1.0,250.68222,-6876818.0,11.0,878.3772,11.0,1613049300.0,11,41766,1106.769,528,4378.241,4118.3687,1.0,-195.88603,137.72727272727272,9.999997,110.03592,259.8725,3539901.8,1.0,0.41894197,-642532000000000.0,1293.1329,,0.02092861,1366.6415599406098,48,,72.72790908813477,True,9.999997
2.2862287e+35,-1.0,1,[ 0.017  0.405 -1.881 -1.537],,3755.2712,1.0,-216.33482,1.0,13849491.0,-20709922.0,11.0,48202336.0,11.0,74100260000000.0,11,45905,3365.564,539,4999.3633,4609.6562,1.0,-216.33482,376.27272727272725,10.0,4406970.5,389.70715,16359004.0,1.0,0.41894197,-2.0803303e+24,1502.3118,,2.5410736,3755.2713165915443,49,,79.37607216835022,True,10.0
27573807000.0,-1.0,1,[-0.034  0.3   -1.885 -1.582],,2773.1545,1.0,-194.88974,1.0,71.89865,-14216314.0,11.0,198.93921,11.0,338514780.0,11,48966,2713.253,550,4999.0723,4939.171,1.0,-194.88974,278.27272727272725,9.999997,57.230167,59.901558,9865925.0,1.0,0.41894197,-722726000000.0,1474.9705,,0.26444048,2773.1545327472772,50,,85.7217435836792,True,9.999997
13051463000000.0,-1.0,1,[-1.212e-03  3.474e-01 -1.888e+00 -1.558e+00],,3552.676,1.0,-231.93051,1.0,18680.258,-19865156.0,11.0,65102.934,11.0,35034950000.0,11,52880,3022.8447,561,4999.012,4469.181,1.0,-231.93051,355.8181818181818,9.999999,6042.58,529.83093,15514854.0,1.0,0.41894197,-15750999000000.0,1700.984,,0.35472947,3552.6758223496745,51,,91.03130102157593,True,9.999999
