VarRet,AvgEpLen,VarNormIw,AvgNormIw,ESSClassic,BatchSize,AvgDiscRet,VarJ,MaxNormIw,MaxVanillaIw,AvgRet,VarDiscRet,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,Delta,eRenyi2,VarVanillaIw,IterType,Bound,EpsThisIter,AvgVanillaIw
8686.72265551,95.3,5.43914e-20,0.00333333,299.999969474,500,44.2138616676,59.0148,0.00333333,1.0,44.2138616676,8686.72265551,44.2138616676,500.0,0.00333333,1.0,15.9765,0.3,1.0,,2,-9.4877,100,1.0
1366.63193548,40.72,5.4346e-20,0.0025,400.0,500,10.292812747,54.3724,0.0025,1.0,10.292812747,1366.63193548,10.292812747,500.0,0.0025,1.0,14.5556,0.3,1.0,,2,-7.49707,100,1.0
163.506492267,39.2,0.000162819,0.002,12.0125120959,500,-16.2578065049,0.971094,0.0832899,59567.7,-16.2578065049,163.506492267,-16.2578065049,466.63573788,6.9536e-07,0.497311,288.589,0.3,1.0715,8.328e+07,1,268.171,100,1430.37
290.788095378,44.72,3.50449e-18,0.01,100.0,500,15.3499979517,16.967,0.01,1.0,15.3499979517,290.788095378,15.3499979517,500.0,0.01,1.0,15.35,0.3,1.0,,2,7.89902,100,1.0
805.263768319,41.4,2.1793e-19,0.005,200.000000102,500,-7.12035069159,25.8607,0.005,1.0,-7.12035069159,805.263768319,-7.12035069159,500.0,0.005,1.0,4.11482,0.3,1.0,,2,-2.28461,100,1.0
1603.98394069,58.96,5.43914e-20,0.00333333,299.999969474,500,-28.0175793391,34.7075,0.00333333,1.0,-28.0175793391,1603.98394069,-28.0175793391,500.0,0.00333333,1.0,-6.59598,0.3,1.0,,2,-18.1083,100,1.0
941.294067053,45.14,5.4346e-20,0.0025,400.0,500,3.82393160643,34.0115,0.0025,1.0,3.82393160643,941.294067053,3.82393160643,500.0,0.0025,1.0,-3.991,0.3,1.0,,2,-13.961,100,1.0
1002.09885479,42.14,0.000162876,0.002,12.0083533108,500,-16.1709626733,0.124291,0.0833043,98979.0,-16.1709626733,1002.09885479,-16.1709626733,464.888241496,1.27399e-07,0.151371,59.511,0.3,1.07553,2.29937e+08,1,50.2629,100,2376.32
962.789013941,102.26,3.50449e-18,0.01,100.0,500,11.9935261404,30.8733,0.01,1.0,11.9935261404,962.789013941,11.9935261404,500.0,0.01,1.0,11.9935,0.3,1.0,,2,-1.21933,100,1.0
1966.25135099,51.22,2.1793e-19,0.005,200.000000102,500,-12.2761485721,39.9641,0.005,1.0,-12.2761485721,1966.25135099,-12.2761485721,500.0,0.005,1.0,-0.141311,0.3,1.0,,2,-12.9679,100,1.0
217.353326356,33.08,5.43914e-20,0.00333333,299.999969474,500,-3.23887740074,33.7433,0.00333333,1.0,-3.23887740074,217.353326356,-3.23887740074,500.0,0.00333333,1.0,-1.17383,0.3,1.0,,2,-11.6467,100,1.0
576.048568833,42.12,5.4346e-20,0.0025,400.0,500,-3.0511843693,31.5783,0.0025,1.0,-3.0511843693,576.048568833,-3.0511843693,500.0,0.0025,1.0,-1.64317,0.3,1.0,,2,-10.7129,100,1.0
3680.26907114,86.84,0.000162786,0.002,12.0148560614,500,-25.085242074,0.377582,0.0832818,50198.7,-25.085242074,3680.26907114,-25.085242074,469.809322093,5.6324e-07,0.339497,86.4407,0.3,1.06426,5.91428e+07,1,73.5243,100,1205.51
341.570933302,90.1,3.50449e-18,0.01,100.0,500,0.734187699657,18.389,0.01,1.0,0.734187699657,341.570933302,0.734187699657,500.0,0.01,1.0,0.734187,0.3,1.0,,2,-4.79298,100,1.0
1826.46003425,47.48,2.1793e-19,0.005,200.000000102,500,25.3502610083,34.9952,0.005,1.0,25.3502610083,1826.46003425,25.3502610083,500.0,0.005,1.0,13.0422,0.3,1.0,,2,2.8548,100,1.0
575.248769537,36.38,5.43914e-20,0.00333333,299.999969474,500,-15.1374350635,34.391,0.00333333,1.0,-15.1374350635,575.248769537,-15.1374350635,500.0,0.00333333,1.0,3.649,0.3,1.0,,2,-4.66899,100,1.0
276.738133292,37.16,5.4346e-20,0.0025,400.0,500,-6.84341461902,31.244,0.0025,1.0,-6.84341461902,276.738133292,-6.84341461902,500.0,0.0025,1.0,1.0259,0.3,1.0,,2,-6.17769,100,1.0
597.770972658,36.54,0.000196331,0.002,10.0030970127,500,3.13082979796,0.0893246,0.0999845,269791.0,3.13082979796,597.770972658,3.13082979796,458.12306146,9.51506e-08,0.256748,94.3047,0.3,1.09141,1.42948e+09,1,87.5736,100,5396.66
1102.17954569,87.6,3.50449e-18,0.01,100.0,500,12.7096961488,33.0327,0.01,1.0,12.7096961488,1102.17954569,12.7096961488,500.0,0.01,1.0,12.7097,0.3,1.0,,2,-2.34692,100,1.0
241.606468504,35.66,2.1793e-19,0.005,200.000000102,500,-5.0995234878,27.2849,0.005,1.0,-5.0995234878,241.606468504,-5.0995234878,500.0,0.005,1.0,3.80509,0.3,1.0,,2,-6.84155,100,1.0
442.400953157,47.32,5.43914e-20,0.00333333,299.999969474,500,-5.67914116393,25.735,0.00333333,1.0,-5.67914116393,442.400953157,-5.67914116393,500.0,0.00333333,1.0,0.643677,0.3,1.0,,2,-8.04926,100,1.0
717.721144222,39.76,5.4346e-20,0.0025,400.0,500,-16.6984145822,27.0323,0.0025,1.0,-16.6984145822,717.721144222,-16.6984145822,500.0,0.0025,1.0,-3.69185,0.3,1.0,,2,-11.2202,100,1.0
2604.48629316,147.7,0.000196285,0.002,10.0054013753,500,2.3752588278,0.170908,0.099973,141242.0,2.3752588278,2604.48629316,2.3752588278,459.837619139,3.83785e-08,0.0542212,98.5448,0.3,1.08734,3.91787e+08,1,90.8983,100,2825.61
861.392322667,33.76,3.50449e-18,0.01,100.0,500,-0.69213845051,29.2024,0.01,1.0,-0.69213845051,861.392322667,-0.69213845051,500.0,0.01,1.0,-0.692139,0.3,1.0,,2,-9.96978,100,1.0
1509.95448648,55.18,2.1793e-19,0.005,200.000000102,500,6.50243304444,34.4493,0.005,1.0,6.50243304444,1509.95448648,6.50243304444,500.0,0.005,1.0,2.90515,0.3,1.0,,2,-7.55546,100,1.0
1046.09110337,44.28,5.43914e-20,0.00333333,299.999969474,500,7.17599884894,33.7703,0.00333333,1.0,7.17599884894,1046.09110337,7.17599884894,500.0,0.00333333,1.0,4.32877,0.3,1.0,,2,-4.21229,100,1.0
376.313969786,42.18,5.4346e-20,0.0025,400.0,500,12.9890012593,31.0246,0.0025,1.0,12.9890012593,376.313969786,12.9890012593,500.0,0.0025,1.0,6.49382,0.3,1.0,,2,-0.902946,100,1.0
