eRenyi2,VarRet,AvgVanillaIw,AvgRet,BatchSize,IterType,MaxVanillaIw,MinVanillaIw,VarDiscRet,ESSClassic,AvgDiscRet,MaxNormIw,AvgEpLen,J,EpsThisIter,VarNormIw,VarVanillaIw,Delta,Bound,VanillaAvgRet,MinNormIw,VarJ,AvgNormIw,ESSRenyi
nan,5827.70235636,382.358,-1134.64489354,400,,57030.2,0.00974036,71351.0403149,3.75199160436,-1126.41935226,0.49718,500.0,-946.314,100,0.000880241,1.1582e+07,0.9,-inf,-1134.64489354,8.49149e-08,996.436,0.00333333,nan
5.37083,3683.9286938,1.20556,-1131.73786,400,1,38.0979,0.00041177,3683.9286938,52.7620497901,-1131.73786,0.0790049,500.0,-1030.11,100,4.12356e-05,9.58888,0.9,-1094.29,-1131.73786,8.53899e-07,805.99,0.0025,74.4764034872
1.0,54949.3273646,1.0,-1139.00241909,400,2,1.0,1.0,54949.3273646,100.0,-1139.00241909,0.01,500.0,-1139.0,100,3.50449e-18,,0.9,-1204.78,-1139.00241909,0.01,233.238,0.01,400.0
1.0,46750.13567,1.0,-1079.1233938,400,2,1.0,1.0,46750.13567,200.000000102,-1079.1233938,0.005,500.0,-1109.06,100,2.1793e-19,,0.9,-1155.57,-1079.1233938,0.005,226.357,0.005,400.0
1.0,64944.481852,1.0,-1136.01546298,400,2,1.0,1.0,64944.481852,299.999969474,-1136.01546298,0.00333333,500.0,-1118.05,100,5.43914e-20,,0.9,-1156.35,-1136.01546298,0.00333333,236.118,0.00333333,400.0
nan,3683.9286938,26.5494,-1131.73786,500,,2428.54,0.0262481,68287.6933273,13.9125994957,-1130.28303815,0.228681,500.0,-1108.14,100,0.000173878,19609.9,0.9,-inf,-1131.73786,2.47163e-06,443.274,0.0025,nan
14.3027,17901.5826105,1.42389,-1144.20355961,500,1,94.0808,1.51109e-07,17901.5826105,27.9902008027,-1144.20355961,0.132146,500.0,-968.334,100,6.75888e-05,34.2586,0.9,-1078.98,-1144.20355961,2.12248e-10,1121.82,0.002,34.958492591
1.0,52253.4218608,1.0,-1087.05037779,500,2,1.0,1.0,52253.4218608,100.0,-1087.05037779,0.01,500.0,-1087.05,100,3.50449e-18,,0.9,-1152.32,-1087.05037779,0.01,227.444,0.01,500.0
1.0,52469.2940886,1.0,-1101.39456854,500,2,1.0,1.0,52469.2940886,200.000000102,-1101.39456854,0.005,500.0,-1094.22,100,2.1793e-19,,0.9,-1140.45,-1101.39456854,0.005,227.792,0.005,500.0
1.0,45590.6380967,1.0,-1075.33983704,500,2,1.0,1.0,45590.6380967,299.999969474,-1075.33983704,0.00333333,500.0,-1087.93,100,5.43914e-20,,0.9,-1125.67,-1075.33983704,0.00333333,222.973,0.00333333,500.0
1.0,68013.6900852,1.0,-1122.05649807,500,2,1.0,1.0,68013.6900852,400.0,-1122.05649807,0.0025,500.0,-1096.46,100,5.4346e-20,,0.9,-1129.77,-1122.05649807,0.0025,233.108,0.0025,500.0
25.2553,71796.5514237,1.00776,-1061.65694053,500,1,69.2121,1.19297e-22,71796.5514237,13.6962849273,-1061.65694053,0.137358,500.0,-664.721,100,0.00014231,36.132,0.9,-814.458,-1061.65694053,2.36756e-25,424.858,0.002,19.7978466338
1.0,57680.4086625,1.0,-735.813682321,500,2,1.0,1.0,57680.4086625,100.0,-735.813682321,0.01,500.0,-735.814,100,3.50449e-18,,0.9,-801.199,-735.813682321,0.01,238.964,0.01,500.0
1.0,101652.830917,1.0,-814.352531775,500,2,1.0,1.0,101652.830917,200.000000102,-814.352531775,0.005,500.0,-775.083,100,2.1793e-19,,0.9,-821.318,-814.352531775,0.005,283.57,0.005,500.0
1.0,53311.6935783,1.0,-748.261473464,500,2,1.0,1.0,53311.6935783,299.999969474,-748.261473464,0.00333333,500.0,-766.143,100,5.43914e-20,,0.9,-803.903,-748.261473464,0.00333333,267.134,0.00333333,500.0
1.0,120097.884259,1.0,-829.231143913,500,2,1.0,1.0,120097.884259,400.0,-829.231143913,0.0025,500.0,-781.915,100,5.4346e-20,,0.9,-814.626,-829.231143913,0.0025,289.812,0.0025,500.0
5.15552,123033.508484,0.94685,-824.893230473,500,1,15.8183,7.12351e-13,123033.508484,87.648639121,-824.893230473,0.0334125,500.0,-623.723,100,1.88561e-05,4.22624,0.9,-690.332,-824.893230473,1.50468e-15,169.026,0.002,96.9834640611
1.0,3650.13630328,1.0,-620.849328508,500,2,1.0,1.0,3650.13630328,100.0,-620.849328508,0.01,500.0,-620.849,100,3.50449e-18,,0.9,-646.239,-620.849328508,0.01,60.1135,0.01,500.0
1.0,21843.7737442,1.0,-637.039657833,500,2,1.0,1.0,21843.7737442,200.000000102,-637.039657833,0.005,500.0,-628.944,100,2.1793e-19,,0.9,-675.155,-637.039657833,0.005,112.628,0.005,500.0
1.0,22971.2746636,1.0,-621.91542033,500,2,1.0,1.0,22971.2746636,299.999969474,-621.91542033,0.00333333,500.0,-626.601,100,5.43914e-20,,0.9,-664.352,-621.91542033,0.00333333,126.681,0.00333333,500.0
1.0,5918.21218027,1.0,-631.273810081,500,2,1.0,1.0,5918.21218027,400.0,-631.273810081,0.0025,500.0,-627.77,100,5.4346e-20,,0.9,-660.463,-631.273810081,0.0025,116.211,0.0025,500.0
2.66532,4284.52978158,1.00808,-629.668393892,500,1,12.2256,2.61628e-05,4284.52978158,166.551966487,-629.668393892,0.0242552,500.0,-583.56,100,8.02432e-06,2.03862,0.9,-631.3,-629.668393892,5.19062e-08,101.44,0.002,187.594858466
1.0,2946.14689129,1.0,-592.521001932,500,2,1.0,1.0,2946.14689129,100.0,-592.521001932,0.01,500.0,-592.521,100,3.50449e-18,,0.9,-618.06,-592.521001932,0.01,54.0063,0.01,500.0
1.0,6109.47322449,1.0,-599.496183821,500,2,1.0,1.0,6109.47322449,200.000000102,-599.496183821,0.005,500.0,-596.009,100,2.1793e-19,,0.9,-623.107,-599.496183821,0.005,67.0425,0.005,500.0
1.0,6934.67916273,1.0,-598.749363676,500,2,1.0,1.0,6934.67916273,299.999969474,-598.749363676,0.00333333,500.0,-596.922,100,5.43914e-20,,0.9,-619.048,-598.749363676,0.00333333,72.7088,0.00333333,500.0
1.0,23897.2868228,1.0,-593.557067293,500,2,1.0,1.0,23897.2868228,400.0,-593.557067293,0.0025,500.0,-596.081,100,5.4346e-20,,0.9,-628.766,-593.557067293,0.0025,99.4064,0.0025,500.0
2.11814,3776.96746351,0.990335,-598.221929142,500,1,8.11673,0.00208773,3776.96746351,220.421989295,-598.221929142,0.0163919,500.0,-566.053,100,5.08367e-06,1.24647,0.9,-608.601,-598.221929142,4.2162e-06,89.8225,0.002,236.055606483
1.0,3474.47374975,1.0,-565.329076876,500,2,1.0,1.0,3474.47374975,100.0,-565.329076876,0.01,500.0,-565.329,100,3.50449e-18,,0.9,-588.365,-565.329076876,0.01,58.6492,0.01,500.0
1.0,2405.13258863,1.0,-564.840855459,500,2,1.0,1.0,2405.13258863,200.000000102,-564.840855459,0.005,500.0,-565.085,100,2.1793e-19,,0.9,-582.668,-564.840855459,0.005,53.9487,0.005,500.0
1.0,5665.59359714,1.0,-575.03640868,500,2,1.0,1.0,5665.59359714,299.999969474,-575.03640868,0.00333333,500.0,-568.402,100,5.43914e-20,,0.9,-587.478,-575.03640868,0.00333333,61.9028,0.00333333,500.0
1.0,2826.94972022,1.0,-567.867456506,500,2,1.0,1.0,2826.94972022,400.0,-567.867456506,0.0025,500.0,-568.268,100,5.4346e-20,,0.9,-584.789,-567.867456506,0.0025,59.7804,0.0025,500.0
8.10898,3614.81461402,0.933443,-566.04743333,500,1,48.4382,1.71373e-09,3614.81461402,40.3708390292,-566.04743333,0.103784,500.0,-518.69,100,4.5632e-05,9.93996,0.9,-560.767,-566.04743333,3.67185e-12,271.049,0.002,61.6599985393
1.0,2369.16546963,1.0,-541.77010646,500,2,1.0,1.0,2369.16546963,100.0,-541.77010646,0.01,500.0,-541.77,100,3.50449e-18,,0.9,-564.157,-541.77010646,0.01,48.4301,0.01,500.0
1.0,2785.48408081,1.0,-540.78992274,500,2,1.0,1.0,2785.48408081,200.000000102,-540.78992274,0.005,500.0,-541.28,100,2.1793e-19,,0.9,-558.2,-540.78992274,0.005,50.5153,0.005,500.0
1.0,2512.16319139,1.0,-541.619063251,500,2,1.0,1.0,2512.16319139,299.999969474,-541.619063251,0.00333333,500.0,-541.393,100,5.43914e-20,,0.9,-555.208,-541.619063251,0.00333333,50.3014,0.00333333,500.0
1.0,2874.06209413,1.0,-534.774790009,500,2,1.0,1.0,2874.06209413,400.0,-534.774790009,0.0025,500.0,-539.738,100,5.4346e-20,,0.9,-552.469,-534.774790009,0.0025,51.1588,0.0025,500.0
17.2817,3167.99023246,2.19048,-537.139188632,500,1,550.891,7.78463e-09,3167.99023246,3.83019477343,-537.139188632,0.502987,500.0,-454.283,100,0.000519206,622.813,0.9,-501.616,-537.139188632,7.1077e-12,613.279,0.002,28.932418438
1.0,3368.24694381,1.0,-525.358330516,500,2,1.0,1.0,3368.24694381,100.0,-525.358330516,0.01,500.0,-525.358,100,3.50449e-18,,0.9,-550.052,-525.358330516,0.01,57.7457,0.01,500.0
1.0,3238.39710512,1.0,-519.397944333,500,2,1.0,1.0,3238.39710512,200.000000102,-519.397944333,0.005,500.0,-522.378,100,2.1793e-19,,0.9,-539.839,-519.397944333,0.005,57.264,0.005,500.0
1.0,2776.23722681,1.0,-525.742503085,500,2,1.0,1.0,2776.23722681,299.999969474,-525.742503085,0.00333333,500.0,-523.5,100,5.43914e-20,,0.9,-537.757,-525.742503085,0.00333333,55.7206,0.00333333,500.0
1.0,3184.48241092,1.0,-519.016409686,500,2,1.0,1.0,3184.48241092,400.0,-519.016409686,0.0025,500.0,-522.379,100,5.4346e-20,,0.9,-534.726,-519.016409686,0.0025,55.8616,0.0025,500.0
2.79882,3377.8278029,1.07769,-526.400061715,500,1,11.9893,1.09861e-06,3377.8278029,167.072358005,-526.400061715,0.0222499,500.0,-505.358,100,7.98683e-06,2.31903,0.9,-525.021,-526.400061715,2.03881e-09,89.5361,0.002,178.647003348
1.0,2851.69310012,1.0,-511.809452763,500,2,1.0,1.0,2851.69310012,100.0,-511.809452763,0.01,500.0,-511.809,100,3.50449e-18,,0.9,-533.306,-511.809452763,0.01,53.1336,0.01,500.0
1.0,3141.9078724,1.0,-508.763419993,500,2,1.0,1.0,3141.9078724,200.000000102,-508.763419993,0.005,500.0,-510.286,100,2.1793e-19,,0.9,-527.383,-508.763419993,0.005,54.4899,0.005,500.0
1.0,2740.96492724,1.0,-515.243873321,500,2,1.0,1.0,2740.96492724,299.999969474,-515.243873321,0.00333333,500.0,-511.939,100,5.43914e-20,,0.9,-525.898,-515.243873321,0.00333333,53.7533,0.00333333,500.0
1.0,2302.8504935,1.0,-512.335212359,500,2,1.0,1.0,2302.8504935,400.0,-512.335212359,0.0025,500.0,-512.038,100,5.4346e-20,,0.9,-524.127,-512.335212359,0.0025,52.3168,0.0025,500.0
3.24757,2450.56298908,1.04488,-507.060000083,500,1,11.7101,3.78588e-08,2450.56298908,156.758191142,-507.060000083,0.0224143,500.0,-492.436,100,8.77606e-06,2.39537,0.9,-511.922,-507.060000083,7.24653e-11,99.6071,0.002,153.961493769
1.0,3732.32582363,1.0,-509.424071842,500,2,1.0,1.0,3732.32582363,100.0,-509.424071842,0.01,500.0,-509.424,100,3.50449e-18,,0.9,-536.09,-509.424071842,0.01,60.7865,0.01,500.0
1.0,3433.95741998,1.0,-506.225442385,500,2,1.0,1.0,3433.95741998,200.000000102,-506.225442385,0.005,500.0,-507.825,100,2.1793e-19,,0.9,-526.681,-506.225442385,0.005,59.5808,0.005,500.0
1.0,2531.18186106,1.0,-503.34535354,500,2,1.0,1.0,2531.18186106,299.999969474,-503.34535354,0.00333333,500.0,-506.332,100,5.43914e-20,,0.9,-521.727,-503.34535354,0.00333333,56.6244,0.00333333,500.0
1.0,3260.01495079,1.0,-515.525715289,500,2,1.0,1.0,3260.01495079,400.0,-515.525715289,0.0025,500.0,-508.63,100,5.4346e-20,,0.9,-521.963,-515.525715289,0.0025,56.8106,0.0025,500.0
3.52916,2453.03792127,1.01714,-508.674365929,500,1,30.6909,7.47456e-07,2453.03792127,75.1976053715,-508.674365929,0.0603474,500.0,-485.938,100,2.26419e-05,5.85617,0.9,-508.341,-508.674365929,1.46972e-09,153.608,0.002,141.676724174
1.0,2163.66295931,1.0,-495.402421003,500,2,1.0,1.0,2163.66295931,100.0,-495.402421003,0.01,500.0,-495.402,100,3.50449e-18,,0.9,-516.13,-495.402421003,0.01,46.282,0.01,500.0
1.0,2372.9771172,1.0,-494.012218953,500,2,1.0,1.0,2372.9771172,200.000000102,-494.012218953,0.005,500.0,-494.707,100,2.1793e-19,,0.9,-509.439,-494.012218953,0.005,47.3932,0.005,500.0
1.0,2463.10180996,1.0,-494.13654309,500,2,1.0,1.0,2463.10180996,299.999969474,-494.13654309,0.00333333,500.0,-494.517,100,5.43914e-20,,0.9,-507.343,-494.13654309,0.00333333,48.0657,0.00333333,500.0
1.0,2460.16513007,1.0,-490.952334841,500,2,1.0,1.0,2460.16513007,400.0,-490.952334841,0.0025,500.0,-493.626,100,5.4346e-20,,0.9,-504.733,-490.952334841,0.0025,48.4149,0.0025,500.0
2.76234,2952.53192728,1.17287,-494.83409552,500,1,22.7883,1.29833e-06,2952.53192728,142.79027234,-494.83409552,0.0388591,500.0,-478.106,100,1.00266e-05,3.4482,0.9,-495.6,-494.83409552,2.21394e-09,74.6429,0.002,181.006172925
1.0,3397.03341466,1.0,-491.302259996,500,2,1.0,1.0,3397.03341466,100.0,-491.302259996,0.01,500.0,-491.302,100,3.50449e-18,,0.9,-515.073,-491.302259996,0.01,57.9919,0.01,500.0
1.0,1714.50103509,1.0,-484.426181142,500,2,1.0,1.0,1714.50103509,200.000000102,-484.426181142,0.005,500.0,-487.864,100,2.1793e-19,,0.9,-504.673,-484.426181142,0.005,50.4185,0.005,500.0
1.0,3092.31079859,1.0,-491.448025677,500,2,1.0,1.0,3092.31079859,299.999969474,-491.448025677,0.00333333,500.0,-489.059,100,5.43914e-20,,0.9,-502.783,-491.448025677,0.00333333,52.1345,0.00333333,500.0
1.0,2265.9414208,1.0,-484.307016745,500,2,1.0,1.0,2265.9414208,400.0,-484.307016745,0.0025,500.0,-487.871,100,5.4346e-20,,0.9,-499.756,-484.307016745,0.0025,51.0251,0.0025,500.0
1.86182,2542.27648234,1.01102,-492.66950187,500,1,11.6826,0.000203039,2542.27648234,250.974358937,-492.66950187,0.0231104,500.0,-481.003,100,3.97689e-06,1.01626,0.9,-495.508,-492.66950187,4.0165e-07,62.1095,0.002,268.553791543
1.0,2393.79476252,1.0,-480.764839749,500,2,1.0,1.0,2393.79476252,100.0,-480.764839749,0.01,500.0,-480.765,100,3.50449e-18,,0.9,-502.52,-480.764839749,0.01,48.6812,0.01,500.0
1.0,3091.44376622,1.0,-492.705855465,500,2,1.0,1.0,3091.44376622,200.000000102,-492.705855465,0.005,500.0,-486.735,100,2.1793e-19,,0.9,-502.834,-492.705855465,0.005,52.4485,0.005,500.0
1.0,1920.83275546,1.0,-484.98688438,500,2,1.0,1.0,1920.83275546,299.999969474,-484.98688438,0.00333333,500.0,-486.153,100,5.43914e-20,,0.9,-499.297,-484.98688438,0.00333333,49.6835,0.00333333,500.0
1.0,2426.50004517,1.0,-479.790557464,500,2,1.0,1.0,2426.50004517,400.0,-479.790557464,0.0025,500.0,-484.562,100,5.4346e-20,,0.9,-495.946,-479.790557464,0.0025,49.5932,0.0025,500.0
3.87047,2103.78227645,1.14838,-491.366928407,500,1,102.485,1.21111e-05,2103.78227645,28.3901180225,-491.366928407,0.178486,500.0,-459.847,100,6.65802e-05,21.9511,0.9,-479.878,-491.366928407,2.10925e-08,297.303,0.002,129.183252042
1.0,2430.12439727,1.0,-482.260631245,500,2,1.0,1.0,2430.12439727,100.0,-482.260631245,0.01,500.0,-482.261,100,3.50449e-18,,0.9,-502.496,-482.260631245,0.01,49.0492,0.01,500.0
1.0,2448.5382742,1.0,-479.110535129,500,2,1.0,1.0,2448.5382742,200.000000102,-479.110535129,0.005,500.0,-480.686,100,2.1793e-19,,0.9,-495.559,-479.110535129,0.005,49.1673,0.005,500.0
1.0,2266.15638752,1.0,-484.21696585,500,2,1.0,1.0,2266.15638752,299.999969474,-484.21696585,0.00333333,500.0,-481.863,100,5.43914e-20,,0.9,-494.006,-484.21696585,0.00333333,48.6026,0.00333333,500.0
1.0,2597.35436717,1.0,-473.544083788,500,2,1.0,1.0,2597.35436717,400.0,-473.544083788,0.0025,500.0,-479.783,100,5.4346e-20,,0.9,-490.3,-473.544083788,0.0025,49.2695,0.0025,500.0
7.25129,2631.49440818,2.20873,-478.797650906,500,1,639.373,0.00779952,2631.49440818,2.9734791197,-478.797650906,0.57895,500.0,-432.747,100,0.000669952,817.09,0.9,-458.194,-478.797650906,7.06244e-06,386.07,0.002,68.95323166
1.0,2239.92287125,1.0,-480.631052152,500,2,1.0,1.0,2239.92287125,100.0,-480.631052152,0.01,500.0,-480.631,100,3.50449e-18,,0.9,-500.633,-480.631052152,0.01,47.0906,0.01,500.0
1.0,2651.01199645,1.0,-471.068040993,500,2,1.0,1.0,2651.01199645,200.000000102,-471.068040993,0.005,500.0,-475.85,100,2.1793e-19,,0.9,-490.471,-471.068040993,0.005,49.4356,0.005,500.0
1.0,2809.45722287,1.0,-477.276807264,500,2,1.0,1.0,2809.45722287,299.999969474,-477.276807264,0.00333333,500.0,-476.325,100,5.43914e-20,,0.9,-488.586,-477.276807264,0.00333333,50.565,0.00333333,500.0
1.0,2346.21212657,1.0,-476.345221962,500,2,1.0,1.0,2346.21212657,400.0,-476.345221962,0.0025,500.0,-476.33,100,5.4346e-20,,0.9,-486.949,-476.345221962,0.0025,49.9831,0.0025,500.0
12.9881,2867.83453072,1.87095,-478.957214468,500,1,407.187,0.00103039,2867.83453072,5.07384298136,-478.957214468,0.435273,500.0,-422.462,100,0.000390961,342.135,0.9,-456.689,-478.957214468,1.10147e-06,438.623,0.002,38.4967974528
1.0,1998.44522773,1.0,-466.654929035,500,2,1.0,1.0,1998.44522773,100.0,-466.654929035,0.01,500.0,-466.655,100,3.50449e-18,,0.9,-485.885,-466.654929035,0.01,44.4799,0.01,500.0
1.0,1675.85333818,1.0,-473.221584046,500,2,1.0,1.0,1675.85333818,200.000000102,-473.221584046,0.005,500.0,-469.938,100,2.1793e-19,,0.9,-483.813,-473.221584046,0.005,42.7733,0.005,500.0
1.0,2177.6839178,1.0,-473.68849775,500,2,1.0,1.0,2177.6839178,299.999969474,-473.68849775,0.00333333,500.0,-471.188,100,5.43914e-20,,0.9,-483.053,-473.68849775,0.00333333,44.0621,0.00333333,500.0
1.0,2308.58920086,1.0,-479.872888316,500,2,1.0,1.0,2308.58920086,400.0,-479.872888316,0.0025,500.0,-473.359,100,5.4346e-20,,0.9,-483.933,-479.872888316,0.0025,45.1843,0.0025,500.0
6.23101,2202.5076333,1.19236,-483.394545631,500,1,36.2284,8.26691e-11,2202.5076333,65.5732413793,-483.394545631,0.0607674,500.0,-451.693,100,2.65534e-05,9.43793,0.9,-475.301,-483.394545631,1.38664e-13,107.925,0.002,80.2438501584
1.0,1858.08008121,1.0,-469.97578944,500,2,1.0,1.0,1858.08008121,100.0,-469.97578944,0.01,500.0,-469.976,100,3.50449e-18,,0.9,-490.922,-469.97578944,0.01,42.8894,0.01,500.0
1.0,1827.75726845,1.0,-471.319869195,500,2,1.0,1.0,1827.75726845,200.000000102,-471.319869195,0.005,500.0,-470.648,100,2.1793e-19,,0.9,-485.459,-471.319869195,0.005,42.7193,0.005,500.0
1.0,2089.49393963,1.0,-463.380327346,500,2,1.0,1.0,2089.49393963,299.999969474,-463.380327346,0.00333333,500.0,-468.225,100,5.43914e-20,,0.9,-480.319,-463.380327346,0.00333333,43.7938,0.00333333,500.0
1.0,1834.73018896,1.0,-465.056320702,500,2,1.0,1.0,1834.73018896,400.0,-465.056320702,0.0025,500.0,-467.433,100,5.4346e-20,,0.9,-477.906,-465.056320702,0.0025,43.5247,0.0025,500.0
1.79171,2302.92889613,0.979235,-468.675892118,500,1,5.10083,0.000700326,2302.92889613,270.359062463,-468.675892118,0.010418,500.0,-460.576,100,3.40438e-06,0.816115,0.9,-474.521,-468.675892118,1.43035e-06,59.0365,0.002,279.062309485
1.0,1700.4555185,1.0,-466.737982131,500,2,1.0,1.0,1700.4555185,100.0,-466.737982131,0.01,500.0,-466.738,100,3.50449e-18,,0.9,-485.724,-466.737982131,0.01,41.0299,0.01,500.0
1.0,1822.1948612,1.0,-464.637001812,500,2,1.0,1.0,1822.1948612,200.000000102,-464.637001812,0.005,500.0,-465.687,100,2.1793e-19,,0.9,-481.596,-464.637001812,0.005,41.771,0.005,500.0
1.0,1484.7637162,1.0,-459.415478277,500,2,1.0,1.0,1484.7637162,299.999969474,-459.415478277,0.00333333,500.0,-463.597,100,5.43914e-20,,0.9,-476.586,-459.415478277,0.00333333,40.7667,0.00333333,500.0
1.0,2085.7297035,1.0,-463.763199099,500,2,1.0,1.0,2085.7297035,400.0,-463.763199099,0.0025,500.0,-463.638,100,5.4346e-20,,0.9,-474.887,-463.763199099,0.0025,41.9841,0.0025,500.0
3.02426,1759.25608042,0.924054,-463.523513567,500,1,8.8501,2.88817e-05,1759.25608042,158.525790292,-463.523513567,0.0191549,500.0,-449.58,100,8.63351e-06,1.84299,0.9,-467.077,-463.523513567,6.25108e-08,67.0812,0.002,165.329724146
1.0,1888.14964051,1.0,-462.488498089,500,2,1.0,1.0,1888.14964051,100.0,-462.488498089,0.01,500.0,-462.488,100,3.50449e-18,,0.9,-482.077,-462.488498089,0.01,43.235,0.01,500.0
1.0,1452.08873077,1.0,-461.830862346,500,2,1.0,1.0,1452.08873077,200.000000102,-461.830862346,0.005,500.0,-462.16,100,2.1793e-19,,0.9,-476.011,-461.830862346,0.005,40.6636,0.005,500.0
1.0,1547.38691629,1.0,-460.453243802,500,2,1.0,1.0,1547.38691629,299.999969474,-460.453243802,0.00333333,500.0,-461.591,100,5.43914e-20,,0.9,-472.9,-460.453243802,0.00333333,40.1701,0.00333333,500.0
1.0,2109.48457601,1.0,-466.16148332,500,2,1.0,1.0,2109.48457601,400.0,-466.16148332,0.0025,500.0,-462.734,100,5.4346e-20,,0.9,-472.961,-466.16148332,0.0025,41.6682,0.0025,500.0
2.3311,1255.72912302,1.05257,-451.750635745,500,1,25.7458,0.000560963,1255.72912302,155.316111259,-451.750635745,0.0489199,500.0,-452.226,100,8.89475e-06,2.46364,0.9,-466.193,-451.750635745,1.06589e-06,82.6323,0.002,214.490816582
1.0,1866.13506202,1.0,-462.815242884,500,2,1.0,1.0,1866.13506202,100.0,-462.815242884,0.01,500.0,-462.815,100,3.50449e-18,,0.9,-484.59,-462.815242884,0.01,42.9822,0.01,500.0
1.0,1510.31726325,1.0,-466.521094544,500,2,1.0,1.0,1510.31726325,200.000000102,-466.521094544,0.005,500.0,-464.668,100,2.1793e-19,,0.9,-480.065,-466.521094544,0.005,40.924,0.005,500.0
1.0,2348.55503755,1.0,-462.641322866,500,2,1.0,1.0,2348.55503755,299.999969474,-462.641322866,0.00333333,500.0,-463.993,100,5.43914e-20,,0.9,-476.564,-462.641322866,0.00333333,43.5023,0.00333333,500.0
1.0,1865.93971953,1.0,-462.091725709,500,2,1.0,1.0,1865.93971953,400.0,-462.091725709,0.0025,500.0,-463.517,100,5.4346e-20,,0.9,-474.599,-462.091725709,0.0025,43.3802,0.0025,500.0
2.95044,1644.7358708,1.14845,-455.744929228,500,1,19.5012,0.000392585,1644.7358708,134.433738992,-455.744929228,0.0339611,500.0,-450.262,100,1.0899e-05,3.59376,0.9,-467.287,-455.744929228,6.83679e-07,69.33,0.002,169.465979241
1.0,1534.18432227,1.0,-454.111262642,500,2,1.0,1.0,1534.18432227,100.0,-454.111262642,0.01,500.0,-454.111,100,3.50449e-18,,0.9,-472.556,-454.111262642,0.01,38.9723,0.01,500.0
1.0,1462.07197102,1.0,-451.744702094,500,2,1.0,1.0,1462.07197102,200.000000102,-451.744702094,0.005,500.0,-452.928,100,2.1793e-19,,0.9,-466.896,-451.744702094,0.005,38.5298,0.005,500.0
1.0,1810.85258176,1.0,-463.864005182,500,2,1.0,1.0,1810.85258176,299.999969474,-463.864005182,0.00333333,500.0,-456.573,100,5.43914e-20,,0.9,-468.132,-463.864005182,0.00333333,40.1728,0.00333333,500.0
1.0,1380.95053252,1.0,-458.606244599,500,2,1.0,1.0,1380.95053252,400.0,-458.606244599,0.0025,500.0,-457.082,100,5.4346e-20,,0.9,-467.092,-458.606244599,0.0025,39.4075,0.0025,500.0
2.75932,1907.33982186,1.10374,-460.895703681,500,1,63.5914,0.00999728,1907.33982186,60.3605625086,-460.895703681,0.115229,500.0,-445.802,100,2.91926e-05,8.89098,0.9,-461.9,-460.895703681,1.81152e-05,198.064,0.002,181.20417301
