AvgNormIw,MaxVanillaIw,AvgDiscRet,VanillaAvgRet,IterType,AvgEpLen,VarJ,VarRet,MaxNormIw,Bound,AvgVanillaIw,BatchSize,MinNormIw,ESSClassic,EpsThisIter,ESSRenyi,VarDiscRet,J,MinVanillaIw,Delta,AvgRet,VarVanillaIw,VarNormIw,eRenyi2
0.0025,1.0,4588.47837126,4588.47837126,2,491.9,480.815,284289.289632,0.0025,4596.07,1.0,500,0.0025,400.0,100,500.0,284289.289632,4596.07,1.0,1.0,4588.47837126,,5.4346e-20,1.0
0.002,1079.52,4591.05025654,4591.05025654,1,492.11,50.8089,270428.259208,0.664153,4674.95,3.25081,500,5.55819e-16,2.22877190148,100,5.14327781069e-26,270428.259208,4674.95,9.0343e-13,1.0,4591.05025654,2364.92,0.000895147,9.72143e+27
0.01,1.0,4660.22721951,4660.22721951,2,500.0,15.931,256.358817605,0.01,4660.23,1.0,500,0.01,100.0,100,500.0,256.358817605,4660.23,1.0,1.0,4660.22721951,,3.50449e-18,1.0
0.005,1.0,4664.06942495,4664.06942495,2,500.0,15.7478,237.182079623,0.005,4662.15,1.0,500,0.005,200.000000102,100,500.0,237.182079623,4662.15,1.0,1.0,4664.06942495,,2.1793e-19,1.0
0.00333333,1.0,4661.61843632,4661.61843632,2,500.0,15.3155,209.610944653,0.00333333,4661.97,1.0,500,0.00333333,299.999969474,100,500.0,209.610944653,4661.97,1.0,1.0,4661.61843632,,5.43914e-20,1.0
0.0025,1.0,4663.02121962,4663.02121962,2,500.0,15.6213,274.331266352,0.0025,4662.23,1.0,500,0.0025,400.0,100,500.0,274.331266352,4662.23,1.0,1.0,4663.02121962,,5.4346e-20,1.0
0.002,81.1407,4661.08887593,4661.08887593,1,500.0,29.1035,257.22408726,0.14149,4671.15,1.14694,500,3.81732e-08,21.4859048936,100,,257.22408726,4671.15,2.18913e-05,1.0,4661.08887593,29.3559,8.92628e-05,inf
0.01,1.0,4649.57185703,4649.57185703,2,498.31,158.796,25470.9920911,0.01,4649.57,1.0,500,0.01,100.0,100,500.0,25470.9920911,4649.57,1.0,1.0,4649.57185703,,3.50449e-18,1.0
0.005,1.0,4664.89513151,4664.89513151,2,500.0,113.024,217.384901929,0.005,4657.23,1.0,500,0.005,200.000000102,100,500.0,217.384901929,4657.23,1.0,1.0,4664.89513151,,2.1793e-19,1.0
0.00333333,1.0,4629.9514102,4629.9514102,2,496.4,214.815,113526.182491,0.00333333,4648.14,1.0,500,0.00333333,299.999969474,100,500.0,113526.182491,4648.14,1.0,1.0,4629.9514102,,5.43914e-20,1.0
0.0025,1.0,4663.00325251,4663.00325251,2,500.0,186.292,218.658604366,0.0025,4651.86,1.0,500,0.0025,400.0,100,500.0,218.658604366,4651.86,1.0,1.0,4663.00325251,,5.4346e-20,1.0
0.002,388.781,4633.5243989,4633.5243989,1,496.62,0.0109189,100347.689888,0.999994,4679.68,0.777566,500,,1.00001240234,100,1.25991072351,100347.689888,4679.68,,1.0,4633.5243989,302.301,0.00199998,396.854
0.01,1.0,4659.43362576,4659.43362576,2,500.0,15.0568,228.997889568,0.01,4659.43,1.0,500,0.01,100.0,100,500.0,228.997889568,4659.43,1.0,1.0,4659.43362576,,3.50449e-18,1.0
0.005,1.0,4661.75947032,4661.75947032,2,500.0,14.8767,215.376193157,0.005,4660.6,1.0,500,0.005,200.000000102,100,500.0,215.376193157,4660.6,1.0,1.0,4661.75947032,,2.1793e-19,1.0
0.00333333,1.0,4660.58650339,4660.58650339,2,500.0,15.0721,241.277979141,0.00333333,4660.59,1.0,500,0.00333333,299.999969474,100,500.0,241.277979141,4660.59,1.0,1.0,4660.58650339,,5.43914e-20,1.0
0.0025,1.0,4664.28734771,4664.28734771,2,500.0,15.0945,221.863520037,0.0025,4661.52,1.0,500,0.0025,400.0,100,500.0,221.863520037,4661.52,1.0,1.0,4664.28734771,,5.4346e-20,1.0
0.002,50.7625,4663.13328941,4663.13328941,1,500.0,23.9606,236.379448722,0.084636,4667.04,1.19955,500,5.00814e-07,55.1785114105,100,1.32950052441,236.379448722,4667.04,0.000300375,1.0,4663.13328941,11.6231,3.23106e-05,376.081
0.01,1.0,4662.71231517,4662.71231517,2,500.0,13.778,191.751777422,0.01,4662.71,1.0,500,0.01,100.0,100,500.0,191.751777422,4662.71,1.0,1.0,4662.71231517,,3.50449e-18,1.0
0.005,1.0,4663.67433779,4663.67433779,2,500.0,13.7896,191.927775563,0.005,4663.19,1.0,500,0.005,200.000000102,100,500.0,191.927775563,4663.19,1.0,1.0,4663.67433779,,2.1793e-19,1.0
0.00333333,1.0,4663.17073205,4663.17073205,2,500.0,13.816,194.282373649,0.00333333,4663.19,1.0,500,0.00333333,299.999969474,100,500.0,194.282373649,4663.19,1.0,1.0,4663.17073205,,5.43914e-20,1.0
0.0025,1.0,4661.9027443,4661.9027443,2,500.0,14.1105,224.793925697,0.0025,4662.87,1.0,500,0.0025,400.0,100,500.0,224.793925697,4662.87,1.0,1.0,4661.9027443,,5.4346e-20,1.0
0.002,8.51234,4665.83300912,4665.83300912,1,500.0,16.9741,158.905235153,0.971609,4678.64,0.0175221,500,,1.05870352042,100,,158.905235153,4678.64,,1.0,4665.83300912,0.144984,0.00188888,inf
0.01,1.0,4666.44032597,4666.44032597,2,500.0,11.8835,142.643244695,0.01,4666.44,1.0,500,0.01,100.0,100,500.0,142.643244695,4666.44,1.0,1.0,4666.44032597,,3.50449e-18,1.0
0.005,1.0,4668.45082786,4668.45082786,2,500.0,11.5041,122.677814239,0.005,4667.45,1.0,500,0.005,200.000000102,100,500.0,122.677814239,4667.45,1.0,1.0,4668.45082786,,2.1793e-19,1.0
0.00333333,1.0,4666.11363183,4666.11363183,2,500.0,11.9129,161.49284476,0.00333333,4667.0,1.0,500,0.00333333,299.999969474,100,500.0,161.49284476,4667.0,1.0,1.0,4666.11363183,,5.43914e-20,1.0
0.0025,1.0,4664.53344344,4664.53344344,2,500.0,11.9407,141.41770637,0.0025,4666.38,1.0,500,0.0025,400.0,100,500.0,141.41770637,4666.38,1.0,1.0,4664.53344344,,5.4346e-20,1.0
0.002,10.2953,4668.74529054,4668.74529054,1,500.0,14.8851,138.497168018,0.0206268,4668.53,0.998245,500,1.47698e-05,233.529168641,100,252.993997709,138.497168018,4668.53,0.00737192,1.0,4668.74529054,1.13934,4.57339e-06,1.97633
0.01,1.0,4667.49991712,4667.49991712,2,500.0,10.5285,111.968446905,0.01,4667.5,1.0,500,0.01,100.0,100,500.0,111.968446905,4667.5,1.0,1.0,4667.49991712,,3.50449e-18,1.0
0.005,1.0,4668.31510957,4668.31510957,2,500.0,11.0172,132.905516539,0.005,4667.91,1.0,500,0.005,200.000000102,100,500.0,132.905516539,4667.91,1.0,1.0,4668.31510957,,2.1793e-19,1.0
0.00333333,1.0,4664.97299617,4664.97299617,2,500.0,11.7435,166.896707024,0.00333333,4666.93,1.0,500,0.00333333,299.999969474,100,500.0,166.896707024,4666.93,1.0,1.0,4664.97299617,,5.43914e-20,1.0
0.0025,1.0,4666.2340225,4666.2340225,2,500.0,11.7477,139.333949798,0.0025,4666.76,1.0,500,0.0025,400.0,100,500.0,139.333949798,4666.76,1.0,1.0,4666.2340225,,5.4346e-20,1.0
0.002,5.81538,4666.4825937,4666.4825937,1,500.0,11.6728,127.276511661,0.0112307,4668.05,1.03562,500,0.000331819,404.483184597,100,430.079027702,127.276511661,4668.05,0.171819,1.0,4666.4825937,0.253775,9.46473e-07,1.16258
0.01,1.0,4666.97583439,4666.97583439,2,500.0,11.412,131.550083417,0.01,4666.98,1.0,500,0.01,100.0,100,500.0,131.550083417,4666.98,1.0,1.0,4666.97583439,,3.50449e-18,1.0
0.005,1.0,4668.11816692,4668.11816692,2,500.0,11.3598,128.487509702,0.005,4667.55,1.0,500,0.005,200.000000102,100,500.0,128.487509702,4667.55,1.0,1.0,4668.11816692,,2.1793e-19,1.0
0.00333333,1.0,4666.23165341,4666.23165341,2,500.0,11.5709,143.850779362,0.00333333,4667.11,1.0,500,0.00333333,299.999969474,100,500.0,143.850779362,4667.11,1.0,1.0,4666.23165341,,5.43914e-20,1.0
0.0025,1.0,4667.19928032,4667.19928032,2,500.0,11.7249,149.724982211,0.0025,4667.13,1.0,500,0.0025,400.0,100,500.0,149.724982211,4667.13,1.0,1.0,4667.19928032,,5.4346e-20,1.0
0.002,1.36714,4667.77261432,4667.77261432,1,500.0,11.3666,111.766978645,0.00273446,4667.45,0.999935,500,0.00132519,495.205965601,100,495.829435688,111.766978645,4667.45,0.662551,1.0,4667.77261432,0.00969933,3.88024e-08,1.00841
0.01,1.0,4665.11222701,4665.11222701,2,500.0,11.9066,143.198152752,0.01,4665.11,1.0,500,0.01,100.0,100,500.0,143.198152752,4665.11,1.0,1.0,4665.11222701,,3.50449e-18,1.0
0.005,1.0,4665.94125895,4665.94125895,2,500.0,11.4766,122.537700172,0.005,4665.53,1.0,500,0.005,200.000000102,100,500.0,122.537700172,4665.53,1.0,1.0,4665.94125895,,2.1793e-19,1.0
0.00333333,1.0,4666.52923782,4666.52923782,2,500.0,11.2988,120.098389075,0.00333333,4665.86,1.0,500,0.00333333,299.999969474,100,500.0,120.098389075,4665.86,1.0,1.0,4666.52923782,,5.43914e-20,1.0
0.0025,1.0,4668.22257408,4668.22257408,2,500.0,11.1236,108.852890726,0.0025,4666.45,1.0,500,0.0025,400.0,100,500.0,108.852890726,4666.45,1.0,1.0,4668.22257408,,5.4346e-20,1.0
0.002,3.68655,4666.90773252,4666.90773252,1,500.0,11.7022,141.573471455,0.00744053,4667.58,0.990936,500,0.000376123,414.604350024,100,414.904825615,141.573471455,4667.58,0.186357,1.0,4666.90773252,0.202657,8.25525e-07,1.2051
0.01,1.0,4667.5170899,4667.5170899,2,500.0,11.5884,135.647942044,0.01,4667.52,1.0,500,0.01,100.0,100,500.0,135.647942044,4667.52,1.0,1.0,4667.5170899,,3.50449e-18,1.0
0.005,1.0,4663.61013527,4663.61013527,2,500.0,12.1521,154.971672028,0.005,4665.56,1.0,500,0.005,200.000000102,100,500.0,154.971672028,4665.56,1.0,1.0,4663.61013527,,2.1793e-19,1.0
0.00333333,1.0,4667.75953051,4667.75953051,2,500.0,11.7595,117.468384232,0.00333333,4666.3,1.0,500,0.00333333,299.999969474,100,500.0,117.468384232,4666.3,1.0,1.0,4667.75953051,,5.43914e-20,1.0
0.0025,1.0,4666.88569023,4666.88569023,2,500.0,11.6075,125.072489243,0.0025,4666.44,1.0,500,0.0025,400.0,100,500.0,125.072489243,4666.44,1.0,1.0,4666.88569023,,5.4346e-20,1.0
0.002,1.34347,4667.55242459,4667.55242459,1,500.0,11.4658,129.343224793,0.00267787,4666.8,1.00339,500,0.00181198,498.239301932,100,498.597039637,129.343224793,4666.8,0.90906,1.0,4667.55242459,0.00356494,1.41636e-08,1.00281
0.01,1.0,4666.00101108,4666.00101108,2,500.0,12.5478,159.036685296,0.01,4666.0,1.0,500,0.01,100.0,100,500.0,159.036685296,4666.0,1.0,1.0,4666.00101108,,3.50449e-18,1.0
0.005,1.0,4667.41574364,4667.41574364,2,500.0,12.3636,148.756005365,0.005,4666.71,1.0,500,0.005,200.000000102,100,500.0,148.756005365,4666.71,1.0,1.0,4667.41574364,,2.1793e-19,1.0
0.00333333,1.0,4666.24859527,4666.24859527,2,500.0,12.4149,158.111003533,0.00333333,4666.56,1.0,500,0.00333333,299.999969474,100,500.0,158.111003533,4666.56,1.0,1.0,4666.24859527,,5.43914e-20,1.0
0.0025,1.0,4667.00672039,4667.00672039,2,500.0,12.0129,115.859274289,0.0025,4666.67,1.0,500,0.0025,400.0,100,500.0,115.859274289,4666.67,1.0,1.0,4667.00672039,,5.4346e-20,1.0
0.002,3.74524,4666.16060045,4666.16060045,1,500.0,11.5795,132.196135586,0.00753041,4667.2,0.994696,500,0.0006905,453.292756502,100,458.630813974,132.196135586,4667.2,0.343419,1.0,4666.16060045,0.102154,4.12985e-07,1.0902
0.01,1.0,4667.66296469,4667.66296469,2,500.0,11.7246,138.855291242,0.01,4667.66,1.0,500,0.01,100.0,100,500.0,138.855291242,4667.66,1.0,1.0,4667.66296469,,3.50449e-18,1.0
0.005,1.0,4666.01783764,4666.01783764,2,500.0,11.6627,134.561824176,0.005,4666.84,1.0,500,0.005,200.000000102,100,500.0,134.561824176,4666.84,1.0,1.0,4666.01783764,,2.1793e-19,1.0
0.00333333,1.0,4667.85553037,4667.85553037,2,500.0,11.7981,146.323551827,0.00333333,4667.18,1.0,500,0.00333333,299.999969474,100,500.0,146.323551827,4667.18,1.0,1.0,4667.85553037,,5.43914e-20,1.0
