EpLenMean,Weights,Bound,ESSClassic,InitialReturnMax,EpRewMean,MeanIWNorm,TimestepsSoFar,MeanIW,ReturnMeanIW,Iteration,InitialReturnMean,InitialBound,EpisodesSoFar,StdIW,MinIWNorm,EpThisIter,J_sample_variance,TimeElapsed,MaxIWNorm,MinIW,InitialReturnMin,MaxIW,EmpiricalD2,StdIWNorm,InitialReturnStd,ESSRenyi
119.88,[-1.395  1.638 -3.615 -2.376 -2.408],70.49125,15.825232,1101.2129,1188.6597506955113,0.0060447995,1050269,0.60447997,70.49125,66,8.789063e-05,8.9645386e-05,6600,1.3941126,1.3078771e-05,100,258979.81,508.3676264286041,0.115325905,0.0013078771,-1188.6597,11.532591,36.211716,0.013941126,342.0305,2.7615373
115.87,[-1.414  1.641 -3.613 -2.354 -2.401],48.29223,19.328865,1341.3071,1148.5529284516954,0.013362415,1061856,1.3362416,48.29223,67,-4.333496e-05,-4.4703484e-05,6700,2.7298627,0.00023792539,100,401907.06,515.2982261180878,0.13047709,0.023792539,-348.74353,13.047709,10.610266,0.027298627,303.89835,9.424834
121.3,[-1.419  1.667 -3.623 -2.345 -2.381],1825.1453,1.0417322,947.01355,1202.858499084659,0.13835289,1073986,13.835292,1825.1453,68,-1.953125e-05,-1.7166138e-05,6800,134.84544,3.3371635e-11,100,345061470.0,521.5107898712158,13.553304,3.3371637e-09,-353.0537,1355.3304,29543.96,1.3484544,266.82782,0.0033847864
119.59,[-1.377  1.651 -3.617 -2.398 -2.459],90.56829,10.8115425,1344.1172,1185.761212235342,0.007964399,1085945,0.7964399,90.56829,69,-1.7089844e-05,-1.3828278e-05,6900,2.2875128,9.655778e-07,100,753250.2,528.4257636070251,0.16993508,9.655778e-05,-355.96356,16.993507,198.3925,0.022875126,312.61917,0.5040513
117.18,[-1.394  1.644 -3.617 -2.392 -2.462],45.030914,4.801895,1108.2151,1161.6608847359585,0.0091983285,1097663,0.9198328,45.030914,70,-1.0986329e-05,-8.583069e-06,7000,4.0955925,6.934133e-07,100,453541.5,535.0362043380737,0.38081107,6.934133e-05,-1161.6609,38.08111,838.90906,0.040955916,275.54398,0.119202435
115.59,[-1.407  1.631 -3.616 -2.373 -2.422],58.79429,9.4157505,1224.1168,1145.7536869744413,0.0061617363,1109222,0.6161736,58.79429,71,-9.887695e-05,-9.918213e-05,7100,1.9111816,1.599835e-05,100,165395.86,540.6335880756378,0.13278987,0.001599835,-315.95123,13.278987,62.383568,0.019111816,280.16418,1.6029862
116.77,[-1.396  1.643 -3.617 -2.372 -2.445],114.34532,28.160961,1042.3165,1157.5585017384658,0.009790773,1120899,0.9790773,114.34532,72,3.173828e-05,3.0517578e-05,7200,1.5637723,5.4062526e-05,100,836336.06,546.72327709198,0.08699306,0.0054062526,-317.76428,8.6993065,4.882738,0.015637724,248.96706,20.480312
116.84,[-1.408  1.652 -3.616 -2.341 -2.506],29.462385,38.64923,991.6139,1158.256156434029,0.009134693,1132583,0.9134694,29.462385,73,-6.7749024e-05,-6.9856644e-05,7300,1.1508894,0.00025917141,100,108525.45,553.4703826904297,0.069306284,0.025917143,-318.46472,6.930629,5.521967,0.011508893,260.18622,18.10949
117.42,[-1.417  1.648 -3.619 -2.341 -2.518],7.2145405,62.345177,765.8098,1164.056848843614,0.010087065,1144325,1.0087066,7.2145405,74,-3.601074e-05,-3.5762787e-05,7400,0.7839235,0.000989171,100,98607.76,559.1072745323181,0.042708922,0.0989171,-294.23633,4.270892,1.6686,0.007839235,244.57314,59.93048
114.73,[-1.417  1.655 -3.616 -2.35  -2.513],48.617966,1.4164783,752.71814,1137.1577086961934,0.018357163,1155798,1.8357166,48.617966,75,-9.765625e-06,-1.001358e-05,7500,15.3145,9.427938e-07,100,159651.45,564.040120601654,1.5385766,9.4279385e-05,-257.34998,153.85767,2367.7314,0.15314499,211.344,0.04223452
