Weights,ReturnMeanIW,InitialReturnMean,MeanIW,MinIWNorm,Bound,MaxIW,EpThisIter,EmpiricalD2,ESSRenyi,Iteration,InitialReturnStd,MinIW,InitialReturnMax,EpRewMean,StdIW,TimeElapsed,TimestepsSoFar,InitialBound,MeanIWNorm,MaxIWNorm,EpisodesSoFar,StdIWNorm,J_sample_variance,InitialReturnMin,ESSClassic,EpLenMean
[-0.293  0.942 -2.355 -1.424 -1.676],571.03345,3.173828e-05,0.84367776,1.928351e-05,571.03345,15.727131,100,30.295595,3.3008099,44,715.2876,0.001928351,2398.009,2601.7688146947576,2.1366317,431.9638648033142,1001808,2.2888184e-05,0.008436778,0.15727131,4400,0.021366319,11445379.0,-991.95166,13.488606,261.18
[-0.281  0.955 -2.352 -1.385 -1.727],7714.0967,-0.00024414062,3.417393,4.5467604e-26,7714.0967,341.73477,100,4.6500722e+28,2.1505042e-27,45,780.94434,4.5467604e-24,2257.476,2742.239494085926,34.002174,443.5938310623169,1029329,-0.00024032593,0.03417393,3.4173477,4500,0.34002176,5950569500.0,-1122.4392,1.0000265,275.21
[-0.178  0.942 -2.386 -1.324 -1.767],7237.486,-0.00011962891,6.6020274,4.493251e-10,7237.486,646.97656,100,685732700000.0,1.4582942e-10,46,863.3115,4.4932513e-08,1115.9321,3883.7781801481997,64.364784,458.0150144100189,1068253,-0.00011968613,0.06602027,6.4697657,4600,0.64364785,5211482000.0,-3564.0537,1.0411485,389.24
[-0.142  0.922 -2.408 -1.376 -1.685],5257.3877,-5.859375e-05,8.615086,9.461258e-10,5257.3877,813.7506,100,111780.49,0.0008946105,47,566.5916,9.461259e-08,615.4834,4384.281196500015,80.95112,474.6234459877014,1112169,-6.055832e-05,0.086150855,8.137506,4700,0.80951124,2504669000.0,-1184.6982,1.119908,439.16
[-0.142  1.013 -2.432 -1.368 -1.714],294.1614,4.1503907e-05,1.0042931,1.2203288e-08,294.1614,34.553574,100,17955.887,0.005569204,48,676.2847,1.2203288e-06,373.60352,4626.144554038938,4.4606705,490.5988383293152,1158481,4.2438507e-05,0.01004293,0.34553573,4800,0.0446067,3081170.0,-4626.1445,4.8244324,463.12
[-0.128  0.985 -2.439 -1.412 -1.679],4610.242,0.00019042968,15.447987,1.4155048e-10,4610.242,1489.5696,100,858346100000.0,1.1650313e-10,49,473.18927,1.4155049e-08,300.26904,4699.493314376819,148.16103,506.546822309494,1205523,0.00018596649,0.15447988,14.895696,4900,1.4816101,1993935500.0,-1610.0166,1.0754249,470.42
[-0.085  0.968 -2.434 -1.407 -1.634],159.67862,-0.00018554687,4.526841,,159.67862,395.679,100,inf,,50,169.0965,,36.089355,4963.579885266404,39.351635,523.4796679019928,1255171,-0.00018453598,0.045268405,3.9567897,5000,0.39351636,1939898.6,-1174.2212,1.3060373,496.48
[ 0.012  0.95  -2.411 -1.408 -1.621],187.90942,-2.9296874e-05,1.4193498,1.8640703e-08,187.90942,99.490326,100,121172.26,0.0008252714,51,758.24603,1.8640704e-06,145.89062,4853.832962250506,9.913058,540.430988073349,1303721,-4.053116e-05,0.014193499,0.99490327,5100,0.099130586,2111855.2,-4703.939,2.0088627,485.5
[ 0.075  0.886 -2.417 -1.415 -1.608],155.47363,0.00012207031,1.5868107,8.10593e-08,155.47363,113.74447,100,12961.331,0.007715257,52,602.308,8.10593e-06,104.98047,4894.757398264377,11.465814,556.5388872623444,1352679,0.00012350082,0.015868107,1.1374446,5200,0.11465814,1456916.5,-3835.1873,1.8793213,489.58
[ 0.083  0.886 -2.406 -1.519 -1.599],47.88846,4.8828126e-05,1.1318878,6.764505e-05,47.88846,8.206643,100,9.56973,10.4496155,53,480.53125,0.0067645055,48.69287,4951.081581530376,1.6568611,573.6140129566193,1402197,5.3167343e-05,0.011318879,0.08206643,5300,0.01656861,11935.617,-4781.2256,31.81957,495.18
[ 0.045  0.885 -2.454 -1.51  -1.641],67.130646,0.00033203125,1431.7544,2.3454409e-11,67.130646,143165.62,100,6216025600000000.0,1.608745e-14,54,0.17912959,2.345441e-09,0.32421875,4999.4773319257665,14244.791,590.0895087718964,1452197,0.0003320328,14.317544,1431.6562,5400,142.4479,450357.47,-0.6982422,1.0001371,500.0
[-0.006  0.855 -2.442 -1.649 -1.584],0.00023925817,0.00023925782,1.0,0.01,0.00023925817,1.0,100,1.0,100.0,55,0.13713014,1.0,0.20410156,4999.592510800481,,605.3538370132446,1502197,0.00023925817,0.009999999,0.01,5500,9.313226e-10,0.018994622,-0.62158203,100.0,500.0
[-0.006  0.855 -2.442 -1.649 -1.584],0.0002197281,0.00021972656,1.0,0.01,0.0002197281,1.0,100,1.0,100.0,56,0.15210997,1.0,0.22070312,4999.602219840779,,620.0282962322235,1552197,0.0002197281,0.009999999,0.01,5600,9.313226e-10,0.023371153,-0.54248047,100.0,500.0
[-0.006  0.855 -2.442 -1.649 -1.584],0.00046875072,0.00046875,1.0,0.01,0.00046875072,1.0,100,1.0,100.0,57,0.111076094,1.0,0.23828125,4999.5912218435915,,634.1157071590424,1602197,0.00046875072,0.009999999,0.01,5700,9.313226e-10,0.012462525,-0.31933594,100.0,500.0
[-0.006  0.855 -2.442 -1.649 -1.584],193.60884,-0.0001171875,4.6600156,1.0982267e-09,193.60884,369.70642,100,1292.4951,0.077369735,58,496.45978,1.0982268e-07,50.100586,4949.692217921795,37.023563,647.5077831745148,1651699,-0.00011706352,0.04660015,3.6970642,5800,0.37023562,3590330.5,-4939.712,1.5595238,495.02
[ 0.037  0.734 -2.411 -1.516 -1.638],1.9500952e-25,-9.2773436e-05,8.655397e-25,,1.9500952e-25,8.565929e-23,100,inf,,59,0.1452462,,0.22558594,4999.572108412669,,663.0984706878662,1701699,-9.277277e-05,8.6553965e-27,8.565929e-25,5900,,,-0.4243164,nan,500.0
[-0.168  0.505 -2.519 -1.756 -1.816],318.93015,-0.00014160156,0.76532125,1.9227455e-06,318.93015,58.94461,100,2584.165,0.03869722,60,701.33936,0.00019227454,2967.3257,1972.5260912040235,5.8609586,670.4778969287872,1721525,-0.0001411438,0.007653211,0.58944607,6000,0.05860957,10867439.0,-812.6234,1.6765156,198.26
[-0.145  0.525 -2.513 -1.732 -1.773],473.00397,0.00014526368,1.3404294,6.431432e-06,473.00397,90.37328,100,230.04807,0.43469176,61,692.98224,0.00064314326,2943.6404,2056.1956972641824,9.003958,680.1105461120605,1742187,0.0001411438,0.013404294,0.90373284,6100,0.09003957,8306981.5,-946.4153,2.1682086,206.62
[-0.124  0.547 -2.493 -1.735 -1.801],263.82907,0.00016845703,0.96954966,9.614773e-05,263.82907,10.87571,100,8.415923,11.882237,62,818.97687,0.009614773,2445.1301,2554.788462534108,1.6438239,690.4932909011841,1767834,0.00015926361,0.0096954955,0.10875709,6200,0.016438238,1897186.1,-1244.9951,25.809416,256.47
[-0.127  0.6   -2.497 -1.73  -1.783],250.86203,6.1035157e-06,0.5102181,2.0790878e-05,250.86203,13.073614,100,85.02899,1.1760695,63,878.2629,0.0020790878,2058.0132,2941.8861846199898,1.442591,703.4311063289642,1797349,4.7683716e-06,0.005102181,0.13073614,6300,0.014425911,1915444.4,-1192.0117,11.118283,295.15
[-0.108  0.612 -2.499 -1.744 -1.789],204.78633,7.324219e-05,1.0613704,0.00027440753,204.78633,20.198177,100,3.136447,31.883211,64,940.4678,0.027440753,1605.6316,3394.278129002709,2.260309,715.0713007450104,1831378,9.483099e-05,0.010613704,0.20198177,6400,0.022603089,3298790.5,-1294.5374,18.066015,340.29
[-0.103  0.634 -2.501 -1.745 -1.792],4909.3423,0.00030273438,3.531952,9.692534e-07,4909.3423,253.27077,100,184632.6,0.0005416162,65,856.78894,9.6925345e-05,1597.9517,3401.9490110226925,25.509968,727.9599785804749,1865491,0.00030136108,0.035319515,2.5327077,6500,0.25509968,1651907700.0,-1392.1804,1.8808897,341.13
[-0.07   0.598 -2.499 -1.733 -1.758],323.70367,-0.00010986328,0.4671214,4.7473154e-09,323.70367,16.579535,100,705802.3,0.00014168273,66,736.57056,4.7473154e-07,747.667,4252.229366079585,1.7904758,744.0402867794037,1908079,-0.00010204315,0.0046712137,0.16579534,6600,0.017904758,1820012.5,-1612.4143,6.372722,425.88
[-0.042  0.59  -2.499 -1.746 -1.77 ],93.16527,0.000234375,1.6422915,9.369511e-10,93.16527,69.85165,100,596217150.0,1.6772412e-07,67,207.11491,9.369511e-08,56.92334,4942.993803643193,7.98211,760.8957962989807,1957523,0.00023651123,0.016422916,0.6985164,6700,0.07982108,207569.98,-1523.2969,4.0612454,494.44
[-0.018  0.597 -2.502 -1.747 -1.711],60.27038,0.00018554687,1.5910518,4.6628125e-07,60.27038,101.44534,100,978.79877,0.10216605,68,496.4775,4.6628127e-05,50.029785,4949.869301999913,10.427145,777.3103482723236,2007025,0.00019407272,0.015910516,1.0144534,6800,0.10427146,313502.66,-4939.8887,2.2753177,495.02
[-0.034  0.569 -2.522 -1.817 -1.756],57.81496,0.0005126953,0.87811095,2.8487211e-05,57.81496,4.8909235,100,13.5966,7.35478,69,212.91132,0.002848721,68.71631,4931.195216210801,0.8898258,794.2297897338867,2056352,0.00051021576,0.008781109,0.048909236,6900,0.008898257,4102.3267,-1301.4009,49.337402,493.27
[-0.023  0.577 -2.523 -1.812 -1.75 ],0.00025878835,0.00025878905,1.0,0.01,0.00025878835,1.0,100,1.0,100.0,70,0.06955616,1.0,0.09667969,4999.804428499149,,810.310736656189,2106352,0.00025878835,0.009999999,0.01,7000,9.313226e-10,0.0048869285,-0.23095703,100.0,500.0
[-0.023  0.577 -2.523 -1.812 -1.75 ],,-0.00032714845,,,,,100,inf,,71,0.06332957,,0.1015625,4999.802297525524,,825.1841661930084,2156352,-0.0003271483,,,7100,,,-0.21484375,nan,500.0
[-1.51   0.037 -2.696 -1.725 -2.605],130.88206,3.036499e-05,0.9036023,7.786095e-05,130.88206,23.698606,100,381.4971,0.2621252,72,114.845474,0.007786095,418.11633,331.7538156134787,3.1235242,827.7152187824249,2159771,3.1232834e-05,0.009036023,0.23698606,7200,0.031235244,1116906.9,-121.9594,7.722545,34.19
[-1.527  0.049 -2.679 -1.862 -2.469],1761.9329,3.0517579e-06,12.162553,1.3676748e-08,1761.9329,1167.7908,100,785.56604,0.12729675,73,109.91959,1.3676748e-06,311.3094,358.5587806026711,116.163605,831.315055847168,2163458,3.0398369e-06,0.12162551,11.677907,7300,1.1616359,312217900.0,-138.75763,1.0843621,36.87
[-1.484  0.059 -2.696 -1.996 -2.631],189.08832,4.272461e-06,0.5548344,1.2921486e-08,189.08832,34.214344,100,670.42206,0.14915977,74,145.14879,1.2921487e-06,544.02014,365.8501918496249,3.4657035,836.2584764957428,2167218,3.0994415e-06,0.0055483445,0.34214345,7400,0.034657035,3464677.8,-136.06204,2.4989257,37.6
[-1.511  0.015 -2.689 -1.99  -2.729],58.687183,1.6784668e-05,0.5850663,4.2535606e-12,58.687183,25.638578,100,1708205100000.0,5.854098e-11,75,126.593475,4.2535608e-10,456.42468,343.44954147971623,2.675147,840.1239197254181,2170754,1.8179417e-05,0.0058506634,0.25638577,7500,0.026751468,129882.62,-133.65364,4.5648165,35.36
[-1.672  0.142 -2.769 -1.988 -2.638],26.025185,-2.5024414e-05,0.59963435,7.2631506e-06,26.025185,16.122921,100,65.87926,1.5179285,76,130.877,0.0007263151,681.9065,367.95542094389066,1.7988323,844.7268652915955,2174535,-2.6226044e-05,0.0059963437,0.16122921,7600,0.017988322,43834.176,-138.1512,10.000708,37.81
[-1.682  0.193 -2.769 -1.997 -2.662],51.826416,9.765625e-06,0.801491,1.1749921e-05,51.826416,7.638919,100,9.69396,10.3157015,77,119.58344,0.0011749922,457.0121,362.8527943148515,1.443106,848.4506969451904,2178265,8.225441e-06,0.008014909,0.076389186,7700,0.01443106,90310.42,-123.067215,23.574362,37.3
[-1.679  0.225 -2.774 -1.991 -2.715],191.67157,-6.408691e-06,1.0975947,2.116509e-08,191.67157,84.300735,100,508.21732,0.19676621,78,139.24413,2.116509e-06,1032.8054,367.05263594294627,8.407369,852.2667360305786,2182037,-6.67572e-06,0.010975949,0.8430073,7800,0.084073685,3535056.2,-117.25185,1.675808,37.72
