MinNormIw,J,AvgEpLen,VarDiscRet,VanillaAvgRet,ESSClassic,ESSRenyi,MinVanillaIw,eRenyi2,AvgDiscRet,MaxVanillaIw,MaxNormIw,VarRet,AvgVanillaIw,VarVanillaIw,AvgNormIw,Bound,VarNormIw,BatchSize,VarJ,AvgRet
0.01,5.9604645e-08,200.0,88.4596834186272,-11.56759686507128,100.0,100.0,1.0,1.0,3.446132268436486e-15,1.0,0.01,88.4596834186272,1.0,,0.009999998,-0.9723649,3.5044917e-18,100,9.358156,3.446132268436486e-15
0.01,1.3411045e-07,200.0,99.44683793062411,-11.498097701510746,100.0,100.0,1.0,1.0,-1.9895196601282807e-15,1.0,0.01,99.44683793062411,1.0,,0.009999998,-0.9677009,3.5044917e-18,100,9.922317,-1.9895196601282807e-15
0.01,1.13621354e-07,200.0,96.54583578353262,-11.489904113888583,100.0,100.0,1.0,1.0,1.438849039914203e-15,1.0,0.01,96.54583578353262,1.0,,0.009999998,-0.9670053,3.5044917e-18,100,9.776522,1.438849039914203e-15
0.01,1.0430813e-07,200.0,97.90202836125043,-10.902803252810608,100.0,100.0,1.0,1.0,1.687538997430238e-16,1.0,0.01,97.90202836125043,1.0,,0.009999998,-0.914763,3.5044917e-18,100,9.844948,1.687538997430238e-16
0.01,-2.9802322e-08,200.0,97.09273522452787,-11.619251649711298,100.0,100.0,1.0,1.0,-1.0835776720341528e-15,1.0,0.01,97.09273522452787,1.0,,0.009999998,-0.97786635,3.5044917e-18,100,9.804173,-1.0835776720341528e-15
0.01,6.7055225e-08,200.0,86.09673535260065,-12.229038072165736,100.0,100.0,1.0,1.0,1.829647544582258e-15,1.0,0.01,86.09673535260065,1.0,,0.009999998,-1.0244706,3.5044917e-18,100,9.232322,1.829647544582258e-15
0.01,2.2351742e-08,200.0,91.0215585776622,-10.164002645055792,100.0,100.0,1.0,1.0,-8.881784197001253e-17,1.0,0.01,91.0215585776622,1.0,,0.009999998,-0.85530895,3.5044917e-18,100,9.492699,-8.881784197001253e-17
0.01,-2.9802322e-08,200.0,88.6734320085322,-11.726362034909528,100.0,100.0,1.0,1.0,-1.2612133559741778e-15,1.0,0.01,88.6734320085322,1.0,,0.009999998,-0.9857266,3.5044917e-18,100,9.369455,-1.2612133559741778e-15
0.01,-2.9802322e-08,200.0,102.8692944931499,-11.590236274905596,100.0,100.0,1.0,1.0,-1.4566126083082053e-15,1.0,0.01,102.8692944931499,1.0,,0.009999998,-0.9754226,3.5044917e-18,100,10.09161,-1.4566126083082053e-15
0.01,4.4703484e-08,200.0,97.90891991075755,-11.223675138118056,100.0,100.0,1.0,1.0,-1.7763568394002505e-15,1.0,0.01,97.90891991075755,1.0,,0.009999998,-0.9442706,3.5044917e-18,100,9.845295,-1.7763568394002505e-15
0.01,6.7055225e-08,200.0,93.02754639391783,-12.214150404344064,100.0,100.0,1.0,1.0,-1.0658141036401502e-15,1.0,0.01,93.02754639391783,1.0,,0.009999998,-1.0237677,3.5044917e-18,100,9.596732,-1.0658141036401502e-15
0.01,-2.9802322e-08,200.0,103.65855166968628,-11.269191081193702,100.0,100.0,1.0,1.0,2.291500322826323e-15,1.0,0.01,103.65855166968628,1.0,,0.009999998,-0.94842124,3.5044917e-18,100,10.13025,2.291500322826323e-15
0.01,,200.0,91.30197524746151,-10.850105168523049,100.0,100.0,1.0,1.0,6.927791673660977e-16,1.0,0.01,91.30197524746151,1.0,,0.009999998,-0.9129292,3.5044917e-18,100,9.507311,6.927791673660977e-16
0.01,-7.0780516e-08,200.0,74.24510741986245,-9.921241959174768,100.0,100.0,1.0,1.0,-1.652011860642233e-15,1.0,0.01,74.24510741986245,1.0,,0.009999998,-0.8341313,3.5044917e-18,100,8.573369,-1.652011860642233e-15
0.01,-5.9604645e-08,200.0,90.91234187642578,-10.983077334470764,100.0,100.0,1.0,1.0,1.7763568394002506e-16,1.0,0.01,90.91234187642578,1.0,,0.009999998,-0.9242134,3.5044917e-18,100,9.487002,1.7763568394002506e-16
0.01,7.4505806e-08,200.0,96.12265189648147,-11.014422467139994,100.0,100.0,1.0,1.0,2.4868995751603505e-15,1.0,0.01,96.12265189648147,1.0,,0.009999998,-0.9269957,3.5044917e-18,100,9.755072,2.4868995751603505e-15
0.01,,200.0,99.33151846127087,-11.856955818425385,100.0,100.0,1.0,1.0,-6.394884621840901e-16,1.0,0.01,99.33151846127087,1.0,,0.009999998,-0.9978213,3.5044917e-18,100,9.916562,-6.394884621840901e-16
0.01,-5.2154064e-08,200.0,89.87431563923127,-11.441928240431498,100.0,100.0,1.0,1.0,5.329070518200751e-17,1.0,0.01,89.87431563923127,1.0,,0.009999998,-0.9610412,3.5044917e-18,100,9.432686,5.329070518200751e-17
0.01,-8.940697e-08,200.0,89.48662509011105,-11.8438180452515,100.0,100.0,1.0,1.0,-1.0658141036401502e-15,1.0,0.01,89.48662509011105,1.0,,0.009999998,-0.99496,3.5044917e-18,100,9.412319,-1.0658141036401502e-15
0.01,-5.9604645e-08,200.0,119.30337079603707,-12.845580781225628,100.0,100.0,1.0,1.0,-2.7355895326763858e-15,1.0,0.01,119.30337079603707,1.0,,0.009999998,-1.0811113,3.5044917e-18,100,10.867858,-2.7355895326763858e-15
0.01,,200.0,78.77383273835795,-9.799825539000675,100.0,100.0,1.0,1.0,1.1812772982011666e-15,1.0,0.01,78.77383273835795,1.0,,0.009999998,-0.82414585,3.5044917e-18,100,8.830974,1.1812772982011666e-15
0.01,-5.9604645e-08,200.0,96.30570522411668,-11.613399133197644,100.0,100.0,1.0,1.0,-5.151434834260726e-16,1.0,0.01,96.30570522411668,1.0,,0.009999998,-0.97739863,3.5044917e-18,100,9.764357,-5.151434834260726e-16
0.01,8.940697e-08,200.0,104.31987623863027,-13.381804428299487,100.0,100.0,1.0,1.0,1.3322676295501878e-16,1.0,0.01,104.31987623863027,1.0,,0.009999998,-1.1231089,3.5044917e-18,100,10.162513,1.3322676295501878e-16
0.01,6.7055225e-08,200.0,110.9150461257749,-11.74295868932786,100.0,100.0,1.0,1.0,2.220446049250313e-15,1.0,0.01,110.9150461257749,1.0,,0.009999998,-0.98821527,3.5044917e-18,100,10.47883,2.220446049250313e-15
0.01,-1.0430813e-07,200.0,82.81865818030346,-11.790254649139575,100.0,100.0,1.0,1.0,2.113864638886298e-15,1.0,0.01,82.81865818030346,1.0,,0.009999998,-0.99187875,3.5044917e-18,100,9.054859,2.113864638886298e-15
0.01,1.1175871e-08,200.0,93.62350721993587,-10.88419921930844,100.0,100.0,1.0,1.0,-1.2612133559741778e-15,1.0,0.01,93.62350721993587,1.0,,0.009999998,-0.91594195,3.5044917e-18,100,9.627422,-1.2612133559741778e-15
0.01,8.940697e-08,200.0,100.05015772695646,-11.777093684114723,100.0,100.0,1.0,1.0,8.348877145181177e-16,1.0,0.01,100.05015772695646,1.0,,0.009999998,-0.9911013,3.5044917e-18,100,9.95237,8.348877145181177e-16
0.01,-2.2351742e-08,200.0,86.05311327273465,-10.250271189281081,100.0,100.0,1.0,1.0,8.881784197001252e-16,1.0,0.01,86.05311327273465,1.0,,0.009999998,-0.86257225,3.5044917e-18,100,9.229982,8.881784197001252e-16
0.01,1.4901161e-07,200.0,98.61120700318195,-12.325377756644478,100.0,100.0,1.0,1.0,2.184918912462308e-15,1.0,0.01,98.61120700318195,1.0,,0.009999998,-1.0373275,3.5044917e-18,100,9.880541,2.184918912462308e-15
0.01,-5.9604645e-08,200.0,96.53816976130494,-10.971153348186949,100.0,100.0,1.0,1.0,2.415845301584341e-15,1.0,0.01,96.53816976130494,1.0,,0.009999998,-0.92324865,3.5044917e-18,100,9.776134,2.415845301584341e-15
0.01,-5.9604645e-08,200.0,89.46685049400017,-11.180604596438183,100.0,100.0,1.0,1.0,8.171241461241152e-16,1.0,0.01,89.46685049400017,1.0,,0.009999998,-0.94097716,3.5044917e-18,100,9.41128,8.171241461241152e-16
0.01,8.940697e-08,200.0,99.01651649274208,-11.286579370239803,100.0,100.0,1.0,1.0,-2.6645352591003756e-16,1.0,0.01,99.01651649274208,1.0,,0.009999998,-0.94818723,3.5044917e-18,100,9.9008255,-2.6645352591003756e-16
0.01,-8.940697e-08,200.0,104.64305925419214,-11.459746292986651,100.0,100.0,1.0,1.0,-2.5135449277513545e-15,1.0,0.01,104.64305925419214,1.0,,0.009999998,-0.9630639,3.5044917e-18,100,10.178243,-2.5135449277513545e-15
0.01,,200.0,106.0163844606153,-11.54493748574225,100.0,100.0,1.0,1.0,-1.900701818158268e-15,1.0,0.01,106.0163844606153,1.0,,0.009999998,-0.97156274,3.5044917e-18,100,10.244815,-1.900701818158268e-15
0.01,-1.8626451e-07,200.0,103.48384708707604,-11.25825586623965,100.0,100.0,1.0,1.0,1.5631940186722204e-15,1.0,0.01,103.48384708707604,1.0,,0.009999998,-0.9474758,3.5044917e-18,100,10.12171,1.5631940186722204e-15
0.01,,200.0,96.13314349406933,-11.088848369549916,100.0,100.0,1.0,1.0,-4.245492846166599e-15,1.0,0.01,96.13314349406933,1.0,,0.009999998,-0.93307024,3.5044917e-18,100,9.755604,-4.245492846166599e-15
0.01,1.15484e-07,200.0,93.87097964249212,-11.428578525735443,100.0,100.0,1.0,1.0,-8.881784197001253e-17,1.0,0.01,93.87097964249212,1.0,,0.009999998,-0.961831,3.5044917e-18,100,9.640139,-8.881784197001253e-17
0.01,-7.4505806e-08,200.0,111.20975292699845,-12.784628373746735,100.0,100.0,1.0,1.0,3.1974423109204507e-16,1.0,0.01,111.20975292699845,1.0,,0.009999998,-1.0733926,3.5044917e-18,100,10.4927435,3.1974423109204507e-16
0.01,9.685755e-08,200.0,92.53427836659387,-10.857003473871671,100.0,100.0,1.0,1.0,1.6964207816272391e-15,1.0,0.01,92.53427836659387,1.0,,0.009999998,-0.91369843,3.5044917e-18,100,9.571256,1.6964207816272391e-15
0.01,-1.2665987e-07,200.0,91.17750404294077,-10.633664324088299,100.0,100.0,1.0,1.0,-1.5631940186722204e-15,1.0,0.01,91.17750404294077,1.0,,0.009999998,-0.89476144,3.5044917e-18,100,9.500828,-1.5631940186722204e-15
0.01,-3.7252903e-08,200.0,96.3906470348301,-12.33183812751163,100.0,100.0,1.0,1.0,-2.504663143554353e-15,1.0,0.01,96.3906470348301,1.0,,0.009999998,-1.0377353,3.5044917e-18,100,9.768661,-2.504663143554353e-15
0.01,-1.3411045e-07,200.0,90.16896257357922,-12.139858675301495,100.0,100.0,1.0,1.0,-4.236611061969597e-15,1.0,0.01,90.16896257357922,1.0,,0.009999998,-1.0215296,3.5044917e-18,100,9.448136,-4.236611061969597e-15
0.01,,200.0,86.92285457435494,-10.725621186571006,100.0,100.0,1.0,1.0,9.947598300641404e-16,1.0,0.01,86.92285457435494,1.0,,0.009999998,-0.9026815,3.5044917e-18,100,9.276509,9.947598300641404e-16
0.01,8.940697e-08,200.0,96.93083723172948,-11.09430401389793,100.0,100.0,1.0,1.0,1.5987211554602255e-15,1.0,0.01,96.93083723172948,1.0,,0.009999998,-0.93287045,3.5044917e-18,100,9.795996,1.5987211554602255e-15
0.01,-2.9802322e-08,200.0,93.97242030969142,-12.185848615922316,100.0,100.0,1.0,1.0,1.0391687510491465e-15,1.0,0.01,93.97242030969142,1.0,,0.009999998,-1.0255047,3.5044917e-18,100,9.645346,1.0391687510491465e-15
0.01,9.685755e-08,200.0,91.4823613700377,-11.587669937372427,100.0,100.0,1.0,1.0,2.5224267119483555e-15,1.0,0.01,91.4823613700377,1.0,,0.009999998,-0.97497827,3.5044917e-18,100,9.516698,2.5224267119483555e-15
0.01,-8.940697e-08,200.0,99.5284603044058,-12.396122447069121,100.0,100.0,1.0,1.0,-2.8599345114344034e-15,1.0,0.01,99.5284603044058,1.0,,0.009999998,-1.0413998,3.5044917e-18,100,9.926387,-2.8599345114344034e-15
0.01,-5.2154064e-08,200.0,105.55978351772676,-13.90971161269881,100.0,100.0,1.0,1.0,-2.2382096176443156e-15,1.0,0.01,105.55978351772676,1.0,,0.009999998,-1.1706315,3.5044917e-18,100,10.222729,-2.2382096176443156e-15
0.01,-7.450581e-09,200.0,94.63561287965636,-11.97728809035741,100.0,100.0,1.0,1.0,-1.7053025658242404e-15,1.0,0.01,94.63561287965636,1.0,,0.009999998,-1.0079218,3.5044917e-18,100,9.679321,-1.7053025658242404e-15
0.01,7.4505806e-08,200.0,92.08440572741065,-11.523993102301143,100.0,100.0,1.0,1.0,1.4743761767022078e-15,1.0,0.01,92.08440572741065,1.0,,0.009999998,-0.96986747,3.5044917e-18,100,9.547961,1.4743761767022078e-15
0.01,5.9604645e-08,200.0,89.00329297227728,-10.321379114979251,100.0,100.0,1.0,1.0,-9.414691248821328e-16,1.0,0.01,89.00329297227728,1.0,,0.009999998,-0.86855114,3.5044917e-18,100,9.386867,-9.414691248821328e-16
0.01,4.4703484e-08,200.0,72.50229741957932,-10.29577177126464,100.0,100.0,1.0,1.0,-6.394884621840901e-16,1.0,0.01,72.50229741957932,1.0,,0.009999998,-0.8663733,3.5044917e-18,100,8.472147,-6.394884621840901e-16
0.01,1.3411045e-07,200.0,84.08624088587153,-10.015708724330965,100.0,100.0,1.0,1.0,-2.3092638912203257e-16,1.0,0.01,84.08624088587153,1.0,,0.009999998,-0.84262794,3.5044917e-18,100,9.123891,-2.3092638912203257e-16
0.01,1.0430813e-07,200.0,102.82193619795073,-11.378046898294215,100.0,100.0,1.0,1.0,-8.171241461241152e-16,1.0,0.01,102.82193619795073,1.0,,0.009999998,-0.95760053,3.5044917e-18,100,10.089287,-8.171241461241152e-16
0.01,-7.450581e-09,200.0,96.35863484501557,-11.566312545434227,100.0,100.0,1.0,1.0,-3.4106051316484808e-15,1.0,0.01,96.35863484501557,1.0,,0.009999998,-0.9730347,3.5044917e-18,100,9.767038,-3.4106051316484808e-15
0.01,8.940697e-08,200.0,111.96591858648677,-10.504796653438436,100.0,100.0,1.0,1.0,-7.105427357601002e-16,1.0,0.01,111.96591858648677,1.0,,0.009999998,-0.88331425,3.5044917e-18,100,10.528356,-7.105427357601002e-16
0.01,1.6391277e-07,200.0,103.35170883218318,-13.29815068916549,100.0,100.0,1.0,1.0,6.750155989720952e-16,1.0,0.01,103.35170883218318,1.0,,0.009999998,-1.1191965,3.5044917e-18,100,10.115246,6.750155989720952e-16
0.01,7.450581e-09,200.0,98.78564469316761,-13.529961295995149,100.0,100.0,1.0,1.0,7.105427357601002e-17,1.0,0.01,98.78564469316761,1.0,,0.009999998,-1.1368377,3.5044917e-18,100,9.8892765,7.105427357601002e-17
0.01,8.195639e-08,200.0,99.53384968862997,-10.715075200239076,100.0,100.0,1.0,1.0,-3.1974423109204507e-16,1.0,0.01,99.53384968862997,1.0,,0.009999998,-0.9016802,3.5044917e-18,100,9.926657,-3.1974423109204507e-16
0.01,2.9802322e-08,200.0,97.76254467869012,-11.96842443453648,100.0,100.0,1.0,1.0,-9.059419880941278e-16,1.0,0.01,97.76254467869012,1.0,,0.009999998,-1.0058695,3.5044917e-18,100,9.837933,-9.059419880941278e-16
0.01,1.4901161e-08,200.0,89.12901876409515,-11.978115115176065,100.0,100.0,1.0,1.0,2.1316282072803005e-16,1.0,0.01,89.12901876409515,1.0,,0.009999998,-0.97348744,3.5044917e-18,100,9.393494,2.1316282072803005e-16
0.01,1.3411045e-07,200.0,116.27028304924006,-12.85931779548617,100.0,100.0,1.0,1.0,-9.059419880941278e-16,1.0,0.01,116.27028304924006,1.0,,0.009999998,-1.0821408,3.5044917e-18,100,10.72882,-9.059419880941278e-16
0.01,8.940697e-08,200.0,97.49904526636286,-11.53560376387695,100.0,100.0,1.0,1.0,-1.7763568394002505e-15,1.0,0.01,97.49904526636286,1.0,,0.009999998,-0.97079223,3.5044917e-18,100,9.824665,-1.7763568394002505e-15
0.01,6.7055225e-08,200.0,94.27940015964633,-12.756007317914422,100.0,100.0,1.0,1.0,-3.4994229736184934e-15,1.0,0.01,94.27940015964633,1.0,,0.009999998,-1.0703651,3.5044917e-18,100,9.661087,-3.4994229736184934e-15
0.01,4.8428774e-08,200.0,100.26320986164804,-11.053002712386117,100.0,100.0,1.0,1.0,1.5099033134902129e-15,1.0,0.01,100.26320986164804,1.0,,0.009999998,-0.93022776,3.5044917e-18,100,9.96296,1.5099033134902129e-15
0.01,-8.940697e-08,200.0,97.21777519631618,-10.994026279852902,100.0,100.0,1.0,1.0,5.151434834260726e-16,1.0,0.01,97.21777519631618,1.0,,0.009999998,-0.9252407,3.5044917e-18,100,9.810484,5.151434834260726e-16
0.01,-5.9604645e-08,200.0,89.14799141845674,-10.524588591156144,100.0,100.0,1.0,1.0,,1.0,0.01,89.14799141845674,1.0,,0.009999998,-0.8856521,3.5044917e-18,100,9.394493,
0.01,-1.4901161e-08,200.0,98.57708007794122,-12.498754331474029,100.0,100.0,1.0,1.0,1.3322676295501878e-16,1.0,0.01,98.57708007794122,1.0,,0.009999998,-1.0516607,3.5044917e-18,100,9.878831,1.3322676295501878e-16
0.01,-5.9604645e-08,200.0,85.94450999169446,-10.191925162228165,100.0,100.0,1.0,1.0,4.973799150320702e-16,1.0,0.01,85.94450999169446,1.0,,0.009999998,-0.8541836,3.5044917e-18,100,9.224156,4.973799150320702e-16
0.01,4.0978193e-08,200.0,90.08428048320539,-11.489255285769916,100.0,100.0,1.0,1.0,1.1901590823981679e-15,1.0,0.01,90.08428048320539,1.0,,0.009999998,-0.9667882,3.5044917e-18,100,9.443699,1.1901590823981679e-15
0.01,8.940697e-08,200.0,95.27503140893904,-11.059320520827846,100.0,100.0,1.0,1.0,-4.547473508864641e-15,1.0,0.01,95.27503140893904,1.0,,0.009999998,-0.92925763,3.5044917e-18,100,9.711966,-4.547473508864641e-15
0.01,-8.940697e-08,200.0,105.54590098178036,-12.386775602155833,100.0,100.0,1.0,1.0,-4.973799150320702e-16,1.0,0.01,105.54590098178036,1.0,,0.009999998,-1.0420209,3.5044917e-18,100,10.222056,-4.973799150320702e-16
0.01,4.4703484e-08,200.0,95.6473418138238,-12.006465959657497,100.0,100.0,1.0,1.0,3.588240815588506e-15,1.0,0.01,95.6473418138238,1.0,,0.009999998,-1.009561,3.5044917e-18,100,9.730923,3.588240815588506e-15
0.01,4.4703484e-08,200.0,91.12651804900193,-10.555132445655092,100.0,100.0,1.0,1.0,-1.3677947663381929e-15,1.0,0.01,91.12651804900193,1.0,,0.009999998,-0.888203,3.5044917e-18,100,9.498171,-1.3677947663381929e-15
0.01,-2.9802322e-08,200.0,104.72824463539663,-12.536000258967109,100.0,100.0,1.0,1.0,-1.1368683772161603e-15,1.0,0.01,104.72824463539663,1.0,,0.009999998,-1.055001,3.5044917e-18,100,10.182385,-1.1368683772161603e-15
0.01,2.9802322e-08,200.0,95.27767150848403,-12.101897409216537,100.0,100.0,1.0,1.0,-1.1191048088221578e-15,1.0,0.01,95.27767150848403,1.0,,0.009999998,-1.0173595,3.5044917e-18,100,9.7121,-1.1191048088221578e-15
0.01,6.7055225e-08,200.0,101.93785467154746,-12.439534416844076,100.0,100.0,1.0,1.0,1.6875389974302379e-15,1.0,0.01,101.93785467154746,1.0,,0.009999998,-1.0468479,3.5044917e-18,100,10.045818,1.6875389974302379e-15
0.01,5.9604645e-08,200.0,91.21502933570322,-11.482191390277643,100.0,100.0,1.0,1.0,-1.4210854715202004e-16,1.0,0.01,91.21502933570322,1.0,,0.009999998,-0.9663654,3.5044917e-18,100,9.502783,-1.4210854715202004e-16
0.01,2.9802322e-08,200.0,98.71834396687908,-11.646666728347432,100.0,100.0,1.0,1.0,1.7763568394002505e-17,1.0,0.01,98.71834396687908,1.0,,0.009999998,-0.9800593,3.5044917e-18,100,9.885907,1.7763568394002505e-17
0.01,-2.7939677e-08,200.0,101.24970863139765,-11.26522161949056,100.0,100.0,1.0,1.0,-8.526512829121202e-16,1.0,0.01,101.24970863139765,1.0,,0.009999998,-0.9459358,3.5044917e-18,100,10.011853,-8.526512829121202e-16
0.01,-5.9604645e-08,200.0,92.3730087657774,-11.778437073195244,100.0,100.0,1.0,1.0,1.7053025658242404e-15,1.0,0.01,92.3730087657774,1.0,,0.009999998,-0.9912283,3.5044917e-18,100,9.562912,1.7053025658242404e-15
0.01,-1.4901161e-08,200.0,110.77084774894676,-13.097838082932645,100.0,100.0,1.0,1.0,-1.8118839761882555e-15,1.0,0.01,110.77084774894676,1.0,,0.009999998,-1.101029,3.5044917e-18,100,10.472017,-1.8118839761882555e-15
0.01,2.9802322e-08,200.0,105.20301350947655,-12.747613240465514,100.0,100.0,1.0,1.0,5.861977570020827e-16,1.0,0.01,105.20301350947655,1.0,,0.009999998,-1.0728567,3.5044917e-18,100,10.205439,5.861977570020827e-16
0.01,-2.9802322e-08,200.0,91.20126876225486,-11.202091394441787,100.0,100.0,1.0,1.0,-7.460698725481052e-16,1.0,0.01,91.20126876225486,1.0,,0.009999998,-0.9427895,3.5044917e-18,100,9.502066,-7.460698725481052e-16
0.01,-1.7881393e-07,200.0,99.69635652124475,-10.923001363012396,100.0,100.0,1.0,1.0,3.730349362740526e-16,1.0,0.01,99.69635652124475,1.0,,0.009999998,-0.9192873,3.5044917e-18,100,9.934757,3.730349362740526e-16
0.01,-7.4505806e-08,200.0,100.50478244726884,-13.440361228184605,100.0,100.0,1.0,1.0,8.970602038971265e-16,1.0,0.01,100.50478244726884,1.0,,0.009999998,-1.1311057,3.5044917e-18,100,9.974956,8.970602038971265e-16
0.01,-2.9802322e-08,200.0,90.60740212821857,-12.617433371170423,100.0,100.0,1.0,1.0,7.105427357601002e-16,1.0,0.01,90.60740212821857,1.0,,0.009999998,-1.06162,3.5044917e-18,100,9.471078,7.105427357601002e-16
0.01,-1.4901161e-08,200.0,99.46961830088074,-11.307171128016153,100.0,100.0,1.0,1.0,-1.5099033134902129e-15,1.0,0.01,99.46961830088074,1.0,,0.009999998,-0.95158416,3.5044917e-18,100,9.923453,-1.5099033134902129e-15
0.01,-1.6391277e-07,200.0,98.8995833132663,-11.203076385590323,100.0,100.0,1.0,1.0,-1.652011860642233e-15,1.0,0.01,98.8995833132663,1.0,,0.009999998,-0.942357,3.5044917e-18,100,9.894978,-1.652011860642233e-15
0.01,7.4505806e-08,200.0,101.02629876833353,-10.459547520845154,100.0,100.0,1.0,1.0,1.2612133559741778e-15,1.0,0.01,101.02629876833353,1.0,,0.009999998,-0.8802587,3.5044917e-18,100,10.000802,1.2612133559741778e-15
