ReturnStepMaxmin,EpThisIter,MinIW,InitialReturnMax,EmpiricalD2,InitialReturnMean,MaxIWNorm,MeanIW,ESSRenyi,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,StdIWNorm,Weights,EpisodesSoFar,MaxIW,MeanIWNorm,Bound,MinIWNorm,EpRewMean,J_sample_variance,Iteration,EpLenMean,TimeElapsed,ReturnStepMax,MeanEntropy,InitialBound,ESSClassic,InitialReturnMin,StdIW
,100,0.0056806095,,14.425071,-93.0,0.028480671,0.50417596,6.932375,25.514702,395041,-45.984657,0.006179179,[ 0.184  0.134  0.069 ... -0.367  0.089  0.019],3000,2.8480673,0.0050417595,-58.644775,5.6806093e-05,-93.0,3420.1523,30,126.12,2114.2244203090668,100.0,2.9665818,-96.333336,39.96652,-100.0,0.61791795
,100,0.0054415762,,15.181406,-93.0,0.025769118,0.4180753,6.587005,25.514702,407916,-38.330635,0.005250934,[ 0.184  0.134  0.07  ... -0.367  0.103  0.025],3100,2.576912,0.0041807527,-51.31841,5.4415763e-05,-93.0,2639.4717,31,128.75,2176.9875960350037,100.0,2.99288,-96.333336,38.79756,-100.0,0.52509344
,100,0.003776275,,19.32679,-98.0,0.020692918,0.46594316,5.1741652,14.0,420940,-44.96636,0.0046504326,[ 0.185  0.134  0.07  ... -0.364  0.124  0.031],3200,2.0692918,0.004659431,-59.62044,3.776275e-05,-98.0,2161.3445,32,130.24,2234.4725019931793,100.0,3.0020041,-101.333336,50.096653,-100.0,0.46504325
,100,0.00034550502,,24.287857,-97.0,0.021771492,0.4207674,4.117284,17.058722,433287,-41.153214,0.004630543,[ 0.185  0.134  0.07  ... -0.363  0.12   0.044],3300,2.1771493,0.0042076735,-57.580784,3.45505e-06,-97.0,2162.2798,33,123.47,2294.9540095329285,100.0,2.9746227,-100.333336,45.226376,-100.0,0.4630543
,100,0.0002299663,,27.596691,-98.0,0.04728549,0.39501733,3.623623,14.0,447753,-38.727036,0.0068713496,[ 0.186  0.134  0.071 ... -0.359  0.099  0.037],3400,4.728549,0.003950173,-56.237885,2.299663e-06,-98.0,4773.826,34,144.66,2362.3118884563446,100.0,2.9394393,-101.333336,24.839283,-100.0,0.687135
,100,0.0004679324,,8.248702,-96.0,0.08172612,0.7402534,12.123119,19.595919,461622,-69.51561,0.009392675,[ 0.186  0.134  0.07  ... -0.36   0.088  0.013],3500,8.172612,0.0074025346,-79.08913,4.679324e-06,-96.0,8849.492,35,138.69,2435.940707921982,100.0,2.9289904,-99.333336,38.31461,-100.0,0.9392675
,100,0.006406185,,16.501434,-98.0,0.03914993,0.54991496,6.060079,14.0,474414,-50.77795,0.0070929904,[ 0.185  0.134  0.071 ... -0.36   0.08   0.011],3600,3.914993,0.0054991497,-64.3186,6.406185e-05,-98.0,3974.834,36,127.92,2494.8472559452057,100.0,2.908148,-101.333336,37.54216,-100.0,0.709299
,100,0.0020598806,,28.885029,-96.0,0.023071365,0.43137428,3.462001,19.595919,487978,-42.516983,0.0051497486,[ 0.185  0.133  0.071 ... -0.362  0.053  0.017],3700,2.3071365,0.0043137427,-60.431915,2.0598805e-05,-96.0,2707.3462,37,135.64,2566.6526720523834,100.0,2.909444,-99.333336,41.23439,-100.0,0.5149749
,100,0.00082351,,20.208023,-95.0,0.033547807,0.35589343,4.9485297,21.794495,501198,-34.00606,0.0046131033,[ 0.186  0.133  0.071 ... -0.361  0.052  0.02 ],3800,3.3547807,0.0035589344,-48.99051,8.2351e-06,-95.0,2149.2017,38,132.2,2627.776197195053,100.0,2.9021776,-98.333336,37.311443,-100.0,0.4613103
,100,0.004357776,,11.741705,-96.0,0.028711021,0.58719516,8.516651,19.595919,513690,-55.78492,0.006103283,[ 0.186  0.133  0.072 ... -0.358  0.04   0.024],3900,2.871102,0.0058719516,-67.20698,4.3577762e-05,-96.0,3760.012,39,124.92,2688.6247794628143,100.0,2.8848186,-99.333336,48.068962,-100.0,0.6103283
,100,0.0024654448,,10.658857,-97.0,0.022182787,0.46630332,9.381868,17.058722,527334,-44.136093,0.0051330896,[ 0.186  0.133  0.072 ... -0.357  0.041  0.006],4000,2.2182786,0.0046630334,-55.01873,2.4654448e-05,-97.0,2551.0977,40,136.44,2751.646450281143,100.0,2.8845987,-100.333336,45.21262,-100.0,0.513309
,100,0.0006780552,,23.134548,-95.0,0.035779454,0.445738,4.32254,21.794495,540689,-42.351425,0.005803554,[ 0.187  0.133  0.073 ... -0.352  0.063 -0.016],4100,3.5779455,0.0044573797,-58.38422,6.780552e-06,-95.0,3334.1455,41,133.55,2826.624589920044,100.0,2.8945425,-98.333336,37.102573,-100.0,0.58035535
,100,0.0040075867,,9.151352,-99.0,0.022271423,0.6104118,10.927347,9.949874,554288,-60.526897,0.005228696,[ 0.187  0.133  0.072 ... -0.355  0.065 -0.008],4200,2.2271423,0.0061041177,-70.610634,4.0075865e-05,-99.0,2797.9773,42,135.99,2887.722949743271,100.0,2.8722079,-102.333336,57.67884,-100.0,0.5228696
,100,0.0016569721,,9.497939,-96.0,0.02641812,0.613718,10.5286,19.595919,567713,-60.387222,0.0058485856,[ 0.186  0.133  0.073 ... -0.356  0.062 -0.028],4300,2.641812,0.0061371797,-70.66013,1.656972e-05,-96.0,3541.8525,43,134.25,2950.828273296356,100.0,2.8797925,-99.333336,52.406406,-100.0,0.58485854
,100,0.002446402,,18.609922,-98.0,0.040893383,0.41684413,5.3734775,14.0,580623,-40.50011,0.0058525084,[ 0.187  0.133  0.073 ... -0.354  0.071 -0.029],4400,4.0893383,0.0041684415,-54.879852,2.446402e-05,-98.0,3434.9207,44,129.1,3014.830736398697,100.0,2.8919132,-101.333336,33.656124,-100.0,0.58525085
,100,0.00415238,,9.197912,-99.0,0.029122882,0.59568095,10.872032,9.949874,593145,-59.45102,0.00648028,[ 0.187  0.133  0.073 ... -0.353  0.081 -0.027],4500,2.9122882,0.0059568095,-69.56037,4.15238e-05,-99.0,4254.512,45,125.22,3083.5519988536835,100.0,2.8826323,-102.333336,45.79849,-100.0,0.6480281
,100,0.0019503088,,15.382186,-94.0,0.043495197,0.48712337,6.5010266,23.748684,605136,-43.806267,0.0068252035,[ 0.186  0.133  0.073 ... -0.354  0.083 -0.039],4600,4.3495197,0.004871234,-56.879642,1.9503088e-05,-94.0,4087.3542,46,119.91,3145.1551547050476,100.0,2.859376,-97.333336,33.74788,-100.0,0.6825204
,100,0.0034031542,100.0,22.099348,-96.0,0.019557187,0.37310135,4.5250206,24.166092,618095,-35.134914,0.004040704,[ 0.186  0.133  0.073 ... -0.353  0.074 -0.052],4700,1.9557188,0.003731013,-50.804897,3.4031542e-05,-96.0,1806.8197,47,129.59,3211.7741599082947,100.0,2.8322115,-99.333336,46.021477,-100.0,0.40407038
,100,0.0009853526,,22.299248,-95.0,0.038287662,0.42292154,4.484456,21.794495,631594,-39.732426,0.0057050926,[ 0.186  0.134  0.072 ... -0.355  0.057 -0.063],4800,3.8287663,0.0042292154,-55.47312,9.853526e-06,-95.0,3297.6262,48,134.99,3292.492559194565,100.0,2.8279438,-98.333336,35.464447,-100.0,0.57050925
,100,0.0035017552,100.0,22.99433,-95.0,0.09158222,0.59392697,4.3488984,25.980762,643585,-40.611702,0.010751573,[ 0.186  0.134  0.072 ... -0.354  0.04  -0.05 ],4900,9.158222,0.0059392694,-56.595837,3.501755e-05,-95.0,13564.987,49,119.91,3356.322130203247,100.0,2.799046,-98.333336,23.380812,-100.0,1.0751573
,100,0.000102311395,,16.797596,-98.0,0.014492271,0.29638526,5.953233,14.0,656973,-29.41745,0.0030101296,[ 0.186  0.134  0.072 ... -0.354  0.052 -0.091],5000,1.4492271,0.0029638526,-43.079075,1.0231139e-06,-98.0,925.16406,50,133.88,3425.1980698108673,100.0,2.7712562,-101.333336,49.2254,-100.0,0.30101296
,100,0.0030943505,,20.80419,-99.0,0.029602267,0.3630497,4.806724,9.949874,670016,-36.236305,0.0050545256,[ 0.186  0.134  0.073 ... -0.349  0.048 -0.115],5100,2.9602268,0.0036304968,-51.440178,3.0943505e-05,-99.0,2585.1848,51,130.43,3490.8361399173737,100.0,2.7267423,-102.333336,34.03289,-100.0,0.5054526
,100,0.0066341935,,13.335194,-97.0,0.023566166,0.58076113,7.498954,17.058722,683743,-57.333115,0.0058422117,[ 0.185  0.134  0.072 ... -0.352  0.033 -0.144],5200,2.3566167,0.0058076107,-69.50558,6.6341934e-05,-97.0,3513.0403,52,137.27,3550.9097785949707,100.0,2.7412543,-100.333336,49.703007,-100.0,0.5842211
,100,0.0007815488,,32.33866,-96.0,0.018162673,0.40181047,3.092274,19.595919,697448,-38.35711,0.00415012,[ 0.185  0.134  0.072 ... -0.352  0.038 -0.135],5300,1.8162674,0.004018104,-57.312805,7.815488e-06,-96.0,1671.8319,53,137.05,3611.0277342796326,100.0,2.7532053,-99.333336,48.384216,-100.0,0.415012
,100,0.005852283,,14.570102,-96.0,0.035620913,0.44113323,6.86337,19.595919,710501,-43.060284,0.0055220253,[ 0.185  0.134  0.072 ... -0.352  0.042 -0.126],5400,3.5620914,0.0044113323,-55.783882,5.852283e-05,-96.0,3131.4438,54,130.53,3683.4647352695465,100.0,2.7441957,-99.333336,38.956623,-100.0,0.5522025
,100,0.00061183155,,28.73507,-98.0,0.046548035,0.50380903,3.4800682,14.0,722340,-45.066116,0.006458106,[ 0.185  0.134  0.072 ... -0.351  0.039 -0.133],5500,4.6548038,0.005038091,-62.934486,6.1183155e-06,-98.0,2492.6423,55,118.39,3750.316824197769,100.0,2.7471611,-101.333336,37.833572,-100.0,0.6458106
,100,0.01025546,,24.9649,-97.0,0.021294044,0.35357806,4.005624,17.058722,735654,-33.638626,0.0043256604,[ 0.185  0.134  0.071 ... -0.352  0.037 -0.128],5600,2.1294045,0.0035357806,-50.29359,0.00010255459,-97.0,1865.3483,56,133.14,3810.756294488907,100.0,2.7570724,-100.333336,40.052906,-100.0,0.43256605
,100,0.006450721,,24.887182,-99.0,0.021682339,0.36790645,4.0181327,9.949874,748154,-36.538845,0.0045060767,[ 0.185  0.134  0.071 ... -0.354  0.043 -0.124],5700,2.1682339,0.0036790648,-53.167862,6.450721e-05,-99.0,2063.2292,57,125.0,3878.735725879669,100.0,2.7312162,-102.333336,39.998283,-100.0,0.45060766
,100,0.001220787,,25.672182,-96.0,0.03676843,0.38250783,3.8952668,19.595919,760737,-37.40066,0.006322145,[ 0.185  0.134  0.072 ... -0.351  0.037 -0.144],5800,3.6768432,0.003825078,-54.2899,1.2207869e-05,-96.0,4079.2942,58,125.83,3951.955611228943,100.0,2.742234,-99.333336,26.796745,-100.0,0.63221455
,100,0.0024602541,,16.199562,-98.0,0.02799304,0.4272218,6.1730065,14.0,773301,-40.781834,0.005286836,[ 0.185  0.134  0.071 ... -0.352  0.06  -0.156],5900,2.799304,0.004272218,-54.19806,2.4602541e-05,-98.0,2744.2188,59,125.64,4033.6567239761353,100.0,2.742133,-101.333336,39.50404,-100.0,0.5286836
,100,0.0035941747,,8.775041,-97.0,0.03216341,0.5695647,11.395959,17.058722,786856,-56.07687,0.0057520363,[ 0.185  0.134  0.072 ... -0.35   0.072 -0.168],6000,3.2163413,0.005695647,-65.9511,3.5941746e-05,-97.0,3405.5627,60,135.55,4103.496752977371,100.0,2.7306893,-100.333336,49.50743,-100.0,0.5752036
100.0,100,0.0040955874,-100.0,27.616728,-100.0,0.025027413,0.32623783,3.6209939,,799549,-32.623783,0.0043359543,[ 0.185  0.134  0.072 ... -0.348  0.065 -0.172],6100,2.5027413,0.0032623783,-50.14099,4.0955874e-05,-100.0,1899.0408,61,126.93,4168.409043073654,100.0,2.704177,-103.333336,36.147438,-100.0,0.43359548
100.0,100,0.004685989,-100.0,27.763374,-100.0,0.015683718,0.32044804,3.6018677,,812927,-32.044804,0.0036633648,[ 0.185  0.134  0.072 ... -0.347  0.056 -0.19 ],6200,1.5683718,0.0032044807,-49.60846,4.6859892e-05,-100.0,1355.5798,62,133.78,4246.456373929977,100.0,2.7307029,-103.333336,43.348053,-100.0,0.36633644
,100,0.010620856,,19.908985,-98.0,0.028283333,0.49775487,5.0228577,14.0,826587,-47.202652,0.0064511825,[ 0.186  0.133  0.074 ... -0.346  0.098 -0.205],6300,2.8283334,0.0049775485,-62.075813,0.00010620856,-98.0,4050.1208,63,136.6,4322.48128080368,100.0,2.7433941,-101.333336,37.31676,-100.0,0.64511824
,100,0.012317548,,15.899392,-98.0,0.018522358,0.36704636,6.2895484,14.0,841778,-36.05158,0.004274524,[ 0.186  0.133  0.073 ... -0.347  0.104 -0.198],6400,1.8522358,0.0036704633,-49.342926,0.00012317547,-98.0,1871.8765,64,151.91,4420.054240465164,100.0,2.7539182,-101.333336,42.44066,-100.0,0.42745242
,100,0.0008904338,,28.134756,-98.0,0.033693843,0.33127725,3.5543227,14.0,855886,-32.613136,0.005006995,[ 0.186  0.133  0.073 ... -0.349  0.103 -0.187],6500,3.3693843,0.0033127721,-50.293873,8.904338e-06,-98.0,2552.4429,65,141.08,4499.010435819626,100.0,2.767581,-101.333336,30.447006,-100.0,0.5006995
,100,0.0013892226,,34.61865,-94.0,0.041783825,0.46704444,2.8886166,23.748684,869994,-43.862534,0.006840637,[ 0.187  0.133  0.072 ... -0.346  0.114 -0.185],6600,4.1783824,0.004670444,-63.47507,1.3892225e-05,-94.0,4709.935,66,141.08,4573.008401632309,100.0,2.7539206,-97.333336,31.79404,-100.0,0.6840637
100.0,100,0.00033237305,-100.0,10.662101,-100.0,0.030028217,0.48158896,9.379015,,883596,-48.158894,0.005163636,[ 0.187  0.133  0.073 ... -0.347  0.106 -0.19 ],6700,3.0028217,0.0048158895,-59.043182,3.3237304e-06,-100.0,2693.2466,67,136.02,4637.652648925781,100.0,2.7380583,-103.333336,46.519623,-100.0,0.5163636
,100,0.0061294907,,11.576546,-97.0,0.023054881,0.52260923,8.638155,17.058722,898562,-48.999924,0.005264636,[ 0.187  0.133  0.073 ... -0.349  0.095 -0.195],6800,2.305488,0.0052260924,-60.341366,6.129491e-05,-97.0,2505.2395,68,149.66,4729.07647395134,100.0,2.7409356,-100.333336,49.6326,-100.0,0.5264636
,100,0.0076792557,,9.321489,-98.0,0.028909067,0.71546096,10.7279,14.0,912041,-69.275536,0.0063784057,[ 0.187  0.133  0.073 ... -0.35   0.096 -0.193],6900,2.8909068,0.00715461,-79.452576,7.679255e-05,-98.0,4167.4663,69,134.79,4811.476675987244,100.0,2.7392123,-101.333336,55.716824,-100.0,0.63784057
,100,0.0046368293,,12.256326,-97.0,0.039965153,0.43166646,8.159052,17.058722,926017,-38.436966,0.0053078867,[ 0.187  0.133  0.073 ... -0.35   0.093 -0.192],7000,3.9965153,0.0043166643,-50.106644,4.636829e-05,-97.0,1594.8872,70,139.76,4880.904934883118,100.0,2.7531617,-100.333336,39.809193,-100.0,0.5307887
,100,0.00045316468,,16.712324,-97.0,0.021241812,0.42593876,5.9836082,17.058722,940311,-41.340015,0.0050151777,[ 0.187  0.133  0.073 ... -0.348  0.105 -0.19 ],7100,2.1241813,0.0042593875,-54.96692,4.531647e-06,-97.0,2585.6501,71,142.94,4960.1966071128845,100.0,2.7098706,-100.333336,41.9047,-100.0,0.5015178
,100,0.004052857,,17.703278,-96.0,0.026703445,0.41980195,5.6486716,19.595919,953979,-39.483063,0.004738501,[ 0.187  0.133  0.073 ... -0.35   0.071 -0.199],7200,2.6703446,0.0041980194,-53.50815,4.052857e-05,-96.0,2204.0864,72,136.68,5029.097360372543,100.0,2.7237253,-99.333336,43.97404,-100.0,0.4738501
,100,0.0032974486,,13.597614,-97.0,0.024310166,0.5818384,7.3542314,17.058722,968687,-57.06347,0.005630963,[ 0.188  0.132  0.074 ... -0.346  0.076 -0.19 ],7300,2.4310167,0.0058183842,-69.35512,3.2974487e-05,-97.0,3273.888,73,147.08,5104.368251085281,100.0,2.717728,-100.333336,51.636524,-100.0,0.56309634
,100,0.0020059682,,16.13568,-98.0,0.027557148,0.43292838,6.197446,14.0,982610,-42.733524,0.005425843,[ 0.188  0.132  0.074 ... -0.346  0.069 -0.19 ],7400,2.755715,0.0043292837,-56.123272,2.0059682e-05,-98.0,2998.8438,74,139.23,5170.468088626862,100.0,2.7089372,-101.333336,38.899406,-100.0,0.54258436
,100,0.0009203224,,14.06773,-99.0,0.04764232,0.5080503,7.1084676,9.949874,996560,-50.632793,0.0073731155,[ 0.187  0.132  0.074 ... -0.349  0.06  -0.189],7500,4.764232,0.0050805025,-63.135117,9.203223e-06,-99.0,5505.846,75,139.5,5244.785111188889,100.0,2.7315288,-102.333336,32.194225,-100.0,0.73731154
,100,0.0036743446,,7.606336,-96.0,0.030496769,0.5759879,13.1469345,19.595919,1011101,-55.579338,0.005198364,[ 0.187  0.133  0.074 ... -0.347  0.075 -0.181],7600,3.049677,0.0057598785,-64.77254,3.6743444e-05,-96.0,2786.683,76,145.41,5324.577738285065,100.0,2.733453,-99.333336,55.11072,-100.0,0.5198364
