Iteration,TimestepsSoFar,Weights,EpRewMean,TimeElapsed,MaxIW,InitialReturnStd,ReturnMeanIW,J_sample_variance,EmpiricalD2,MeanEntropy,MeanIWNorm,StdIWNorm,InitialReturnMin,EpisodesSoFar,ESSRenyi,MaxIWNorm,Bound,ESSClassic,MinIWNorm,EpLenMean,MeanIW,StdIW,MinIW,InitialBound,EpThisIter,ReturnStepMaxmin,InitialReturnMax,InitialReturnMean,ReturnStepMax
11,131960,[ 0.191 -0.107 -0.144 ... -0.394 -0.055  0.05 ],-190.35354242875172,373.4171555042267,2.6945593,46.992374,-32.046318,657.9062,17.204655,2.7880268,0.0059091384,0.005786669,-197.90166,1100,5.8123803,0.026945593,-40.296333,51.047005,0.00010530598,125.93,0.59091383,0.5786669,0.010530598,-77.995674,100,14.014107,13.94334,-76.00669,100.0
12,145301,[ 0.19  -0.107 -0.142 ... -0.393 -0.053  0.003],-215.27103842544187,412.4337749481201,2.6749494,45.660088,-34.521767,2298.113,17.00024,2.8370023,0.004919608,0.005712823,-214.23465,1200,5.88227,0.026749494,-43.399452,42.58096,5.1405286e-06,133.41,0.49196088,0.5712824,0.00051405287,-82.67482,100,3.2404175,3.382246,-80.52168,100.0
13,157405,[ 0.19  -0.106 -0.143 ... -0.394 -0.033  0.032],-180.74535165599303,445.89263010025024,3.8892832,37.570812,-41.970478,1962.9905,12.5826025,2.8708837,0.006934572,0.0070274323,-154.9683,1300,7.9474816,0.03889283,-47.4952,49.33493,5.214647e-05,121.04,0.6934572,0.7027433,0.0052146474,-73.99413,100,4.056679,14.241869,-72.436646,100.0
14,168903,[ 0.191 -0.106 -0.144 ... -0.398 -0.038  0.071],-152.464051424237,482.3052155971527,3.1115537,38.615826,-24.711641,1611.8151,19.370146,2.8300352,0.00426329,0.006581582,-178.54771,1400,5.162584,0.031115536,-32.609386,29.557314,4.7407644e-07,114.98,0.42632902,0.6581583,4.7407644e-05,-65.65473,100,10.322197,13.425922,-63.860264,100.0
15,179665,[ 0.191 -0.106 -0.145 ... -0.4   -0.107  0.099],-151.11564221983753,517.3044588565826,17.108576,29.031887,-30.293566,1662.7279,24.352976,2.797605,0.007381967,0.019189088,-138.85509,1500,4.106274,0.17108576,-37.18041,12.89131,7.091044e-06,107.62,0.7381966,1.9189085,0.0007091044,-67.2023,100,14.496941,-9.643117,-65.806755,114.49694
16,190160,[ 0.191 -0.105 -0.145 ... -0.402 -0.11   0.07 ],-146.1119001572478,546.0344800949097,6.0175705,37.42595,-26.549177,2682.3645,33.818058,2.7070425,0.0048171394,0.008888874,-186.79866,1600,2.957,0.060175702,-37.466858,22.70156,6.7521114e-06,104.95,0.4817139,0.8888874,0.00067521114,-70.28135,100,16.284615,-1.2583313,-68.40395,116.284615
17,200585,[ 0.19  -0.105 -0.144 ... -0.402 -0.152  0.021],-146.8499354379036,577.6803481578827,3.7454562,33.25107,-27.574781,1094.4811,18.687716,2.7346056,0.0050134184,0.006676316,-237.46742,1700,5.351109,0.03745456,-37.892044,36.056873,8.130423e-05,104.25,0.5013418,0.6676316,0.008130423,-69.03174,100,3.8321152,-14.136739,-66.64511,103.832115
18,210331,[ 0.19  -0.105 -0.143 ... -0.405 -0.143  0.04 ],-122.83108745994514,606.0565145015717,2.065766,34.094223,-22.758554,1084.2908,15.431247,2.6594334,0.004246607,0.0049339887,-215.10786,1800,6.4803576,0.02065766,-31.251125,42.55441,6.102206e-06,97.46,0.4246607,0.4933989,0.0006102206,-61.82104,100,3.7100754,17.189262,-59.659126,103.710075
19,220252,[ 0.189 -0.105 -0.142 ... -0.407 -0.169 -0.01 ],-138.43607709444026,637.8160917758942,6.2916822,39.462982,-42.36312,2740.214,7.58478,2.6775064,0.008410477,0.009587926,-215.95575,1900,13.184298,0.06291682,-48.340607,43.485916,0.00011100016,99.21,0.84104776,0.9587926,0.0111000165,-71.32135,100,7.6763763,0.61906815,-69.15092,107.67638
20,229579,[ 0.189 -0.104 -0.143 ... -0.406 -0.159 -0.002],-96.09168302167694,668.0203402042389,3.8675673,19.943089,-15.590251,851.82434,36.95261,2.6640627,0.0032634956,0.0056677083,-119.14565,2000,2.706169,0.038675673,-22.869442,24.899643,7.791833e-06,93.27,0.32634956,0.5667708,0.0007791833,-47.88451,100,10.994057,4.8559,-46.68705,110.99406
21,239367,[ 0.19  -0.104 -0.145 ... -0.408 -0.153 -0.021],-142.02463549491634,701.6596467494965,3.898849,36.160694,-23.80156,1607.4553,26.820854,2.6511633,0.0042127706,0.007179551,-155.36288,2100,3.728442,0.03898849,-31.88816,25.61202,2.9494022e-05,97.88,0.42127705,0.71795505,0.0029494022,-72.77617,100,29.750122,8.158454,-71.214714,129.75012
22,248213,[ 0.19  -0.104 -0.144 ... -0.407 -0.183 -0.004],-108.55996732154613,733.9805192947388,2.382704,20.22332,-16.874346,562.1877,52.15586,2.6699069,0.003252506,0.0045911227,-116.41547,2200,1.91733,0.02382704,-25.324112,33.416702,4.6795805e-05,88.46,0.3252506,0.45911223,0.0046795807,-57.290787,100,21.082703,-16.316036,-56.120766,121.0827
23,257145,[ 0.19  -0.103 -0.144 ... -0.41  -0.2    0.032],-103.4004897609696,764.0374631881714,4.972992,21.159899,-11.819114,594.29095,51.994835,2.570363,0.0031100945,0.0075701503,-128.2922,2300,1.923268,0.049729917,-21.116539,14.441194,5.8957497e-08,89.32,0.3110095,0.75701505,5.89575e-06,-53.480835,100,25.085823,-4.9483814,-52.191452,125.08582
24,266112,[ 0.19  -0.103 -0.143 ... -0.415 -0.284  0.016],-98.08751658828167,796.3721776008606,5.4248924,27.35086,-21.484165,1441.8014,30.418955,2.580323,0.0055269827,0.009410165,-176.24985,2400,3.2874238,0.05424892,-31.25391,25.648914,3.7413087e-05,89.67,0.5526982,0.94101655,0.0037413088,-53.327305,100,8.810356,4.182339,-51.555927,100.0
25,275654,[ 0.189 -0.103 -0.141 ... -0.418 -0.256 -0.001],-125.94267871657627,827.5842616558075,6.598807,38.353874,-22.720013,1285.0059,28.248465,2.5701137,0.004967123,0.008827378,-211.93848,2500,3.5400155,0.065988064,-34.041138,24.048275,5.3539563e-05,95.42,0.49671227,0.8827378,0.0053539565,-64.99867,100,23.31575,19.965412,-62.868614,123.31575
26,284593,[ 0.189 -0.103 -0.141 ... -0.417 -0.27   0.003],-98.74267497511295,852.8021738529205,3.086328,26.031048,-16.819534,593.74243,30.550806,2.5861702,0.003740116,0.0049249,-135.50905,2600,3.273236,0.03086328,-24.347229,36.577755,4.6187433e-05,89.39,0.37401164,0.49249002,0.0046187434,-50.066307,100,17.986122,36.011414,-48.70439,117.98612
27,294171,[ 0.188 -0.104 -0.141 ... -0.419 -0.29   0.039],-156.4822010893165,883.1202874183655,5.527449,53.743607,-28.282312,2016.8572,26.377144,2.5986447,0.005118702,0.0098833935,-255.84055,2700,3.791161,0.05527449,-41.48814,21.149956,2.3291052e-05,95.78,0.5118702,0.98833936,0.0023291053,-80.30586,100,17.471085,21.08506,-77.73457,117.471085
28,303689,[ 0.188 -0.103 -0.142 ... -0.417 -0.304  0.065],-107.31744022395345,913.2437009811401,4.0904183,32.365124,-16.154644,902.8018,16.748564,2.5390782,0.0041679256,0.006943551,-172.392,2800,5.970661,0.040904183,-23.24533,26.48736,3.77759e-05,95.18,0.41679257,0.69435513,0.0037775899,-52.14946,100,21.741943,15.003368,-50.416855,121.74194
29,313812,[ 0.188 -0.103 -0.143 ... -0.422 -0.336  0.037],-158.36250832492945,942.2007381916046,7.681967,51.826275,-24.210157,1476.7434,21.547485,2.5896547,0.005930206,0.011466089,-198.63797,2900,4.640913,0.076819666,-33.477238,21.103964,3.297543e-05,101.23,0.59302056,1.146609,0.003297543,-75.42191,100,7.459831,25.031286,-73.42553,107.45983
30,323911,[ 0.187 -0.103 -0.141 ... -0.416 -0.332  0.084],-116.37042913887734,973.6724231243134,11.030851,35.668488,-24.307133,871.7777,16.43186,2.6044807,0.007144262,0.015624784,-179.80722,3000,6.085738,0.11030851,-31.632559,17.291632,1.188136e-05,100.99,0.7144262,1.5624787,0.0011881359,-53.447678,100,20.25454,29.409096,-51.64054,100.0
31,333933,[ 0.188 -0.103 -0.143 ... -0.415 -0.35   0.117],-110.81096602831431,1002.491961479187,24.671703,32.79326,-14.371856,1655.2738,21.988552,2.5673354,0.0073555093,0.026740825,-169.92801,3100,4.547821,0.24671702,-22.380255,7.033968,3.3100987e-05,100.22,0.73555106,2.6740825,0.0033100988,-49.606953,100,20.98262,10.822968,-47.899113,120.98262
32,345102,[ 0.188 -0.103 -0.143 ... -0.415 -0.367  0.096],-111.61430120837487,1037.7435097694397,15.718873,35.72493,-7.5527153,1112.0443,27.08893,2.6115127,0.0049470365,0.016359663,-158.86484,3200,3.6915448,0.15718873,-15.862813,8.378016,4.4150096e-05,111.69,0.49470365,1.6359663,0.0044150096,-47.74037,100,29.314148,21.967882,-46.143726,129.31415
33,357397,[ 0.188 -0.103 -0.142 ... -0.413 -0.347  0.12 ],-134.92574304372206,1071.3173518180847,5.6656065,39.274147,-21.731005,1342.1788,24.201977,2.5702999,0.0051754545,0.00942499,-164.73163,3300,4.131894,0.056656063,-29.875887,23.167543,2.8225195e-06,122.95,0.5175455,0.9424991,0.00028225195,-55.58407,100,18.874695,27.405289,-53.92845,100.0
34,368467,[ 0.188 -0.103 -0.143 ... -0.413 -0.39   0.123],-99.99585685079617,1106.4003911018372,2.3571916,31.941275,-20.033592,584.0123,10.152208,2.5273566,0.0050096624,0.0046085604,-146.52267,3400,9.850074,0.023571916,-24.725695,54.16299,2.7485159e-05,110.7,0.50096625,0.46085602,0.002748516,-44.50755,100,37.50402,38.719704,-43.034943,100.0
35,379249,[ 0.189 -0.103 -0.144 ... -0.412 -0.41   0.1  ],-96.36630569323478,1139.6414015293121,3.068068,32.272575,-16.863443,827.6206,26.140408,2.5544407,0.0042169383,0.005470447,-148.98833,3500,3.825495,0.030680679,-24.519247,37.27347,2.6871096e-05,107.82,0.4216938,0.54704475,0.0026871096,-43.20514,100,7.8892975,21.229622,-41.707752,100.0
36,389804,[ 0.19  -0.103 -0.146 ... -0.414 -0.398  0.114],-94.81192439938202,1171.2880337238312,6.428031,26.12609,-13.787511,660.9745,21.594145,2.51343,0.003861685,0.00768879,-117.27562,3600,4.630885,0.06428031,-19.264706,20.143982,3.1872958e-05,105.55,0.38616848,0.768879,0.003187296,-43.156704,100,3.921402,37.713108,-41.97804,103.9214
37,399075,[ 0.19  -0.102 -0.147 ... -0.417 -0.43   0.106],-101.29743964935133,1196.7460749149323,5.6980095,24.150848,-16.095692,844.0501,33.46155,2.5046875,0.0042398693,0.007840188,-137.9068,3700,2.9885046,0.056980092,-24.113232,22.627583,2.3589153e-05,92.71,0.42398694,0.7840188,0.0023589153,-49.61799,100,4.6413727,8.123174,-48.23197,104.64137
38,409798,[ 0.191 -0.102 -0.148 ... -0.411 -0.418  0.084],-101.18247514166796,1227.6253881454468,152.23044,32.33287,42.569824,370675.75,95.22279,2.5402312,0.020788422,0.15141384,-131.69511,3800,1.0501688,1.5223043,29.653988,1.8501282,1.4960789e-05,107.23,2.0788426,15.141384,0.0014960789,-47.16524,100,4.337433,39.815716,-45.84166,104.33743
39,420303,[ 0.192 -0.102 -0.15  ... -0.41  -0.405  0.107],-140.71074914109244,1260.1631417274475,9.342018,38.201805,-24.013914,1276.65,26.169975,2.530464,0.0064218645,0.0124353785,-180.51976,3900,3.821173,0.09342018,-33.29521,21.05399,1.4396401e-05,105.05,0.6421864,1.243538,0.0014396401,-64.910805,100,6.7243958,0.47672176,-63.09652,106.724396
40,431243,[ 0.191 -0.103 -0.148 ... -0.411 -0.404  0.097],-99.27315348904536,1295.1727480888367,19.168613,28.680826,-10.9995775,1099.2095,23.824078,2.4677086,0.0063988315,0.02003196,-127.34114,4000,4.1974344,0.19168612,-17.246399,9.258884,2.235588e-06,109.4,0.6398832,2.0031962,0.0002235588,-43.105778,100,2.7969513,11.678786,-41.82595,100.0
41,443448,[ 0.191 -0.103 -0.147 ... -0.409 -0.431  0.061],-102.9332565950776,1324.8506271839142,2.4267488,36.045876,-13.748167,447.6002,18.859774,2.4599571,0.0036148715,0.0045956546,-168.61673,4100,5.3022904,0.024267487,-21.107718,38.22262,5.8968693e-05,122.05,0.36148712,0.4595654,0.0058968696,-45.692963,100,4.2680817,32.809715,-43.998306,100.0
42,454686,[ 0.191 -0.103 -0.147 ... -0.411 -0.416  0.038],-123.28458857952774,1354.408040046692,15394.074,43.597164,11429.367,13463282000.0,70789.22,2.412359,1.5614905,15.31511,-149.89294,4200,0.0014126445,153.94073,11028.549,1.0288382,7.376167e-06,112.38,156.14905,1531.511,0.00073761673,-57.25734,100,5.678856,75.35803,-55.750854,105.678856
43,465546,[ 0.191 -0.103 -0.148 ... -0.418 -0.458  0.032],-91.49856813140948,1395.9522030353546,3.477728,36.59307,-14.344892,470.32346,15.844091,2.387912,0.0056702564,0.0073060864,-163.82724,4300,6.311501,0.03477728,-20.898827,37.590954,1.8857701e-05,108.6,0.56702566,0.7306087,0.0018857702,-40.70544,100,6.2525635,13.71344,-39.05892,100.0
44,476499,[ 0.192 -0.102 -0.149 ... -0.419 -0.485  0.035],-75.50022502435755,1426.3683216571808,18.957077,25.264704,-4.59232,760.7591,22.333233,2.326158,0.0059988312,0.019851988,-112.46518,4400,4.477632,0.18957077,-9.933981,8.367133,3.756308e-06,109.53,0.59988326,1.9851987,0.0003756308,-31.919777,100,33.598114,20.817408,-30.789461,133.59811
45,487720,[ 0.191 -0.102 -0.147 ... -0.417 -0.523  0.011],-61.40827377141997,1461.5067310333252,168.55951,27.373682,47.53716,294282.94,66.45157,2.27448,0.022701364,0.16761665,-112.69017,4500,1.5048554,1.685595,38.304623,1.8012565,8.5724105e-06,112.21,2.2701366,16.761663,0.00085724104,-25.364521,100,15.106026,34.776657,-24.231941,100.0
46,499980,[ 0.191 -0.102 -0.145 ... -0.414 -0.54  -0.023],-92.8210216588557,1500.69215798378,231.72049,35.417934,5.4147925,22323.19,28.568027,2.2285335,0.0287174,0.23020595,-160.30304,4600,3.5004168,2.317205,-3.1964192,1.5323247,8.568953e-06,122.6,2.87174,23.020597,0.0008568953,-37.97217,100,0.14562988,30.773829,-36.36106,100.14563
47,515332,[ 0.191 -0.102 -0.146 ... -0.414 -0.572 -0.037],-45.06227731204262,1542.6641929149628,247.68184,30.17997,141.76282,2359427.5,48.571136,2.2373753,0.03358061,0.24579255,-96.22634,4700,2.058836,2.4768183,135.02274,1.832349,1.3097643e-05,153.52,3.3580613,24.579256,0.0013097643,-17.338053,100,12.351341,62.27309,-16.370943,100.0
48,528138,[ 0.193 -0.102 -0.149 ... -0.407 -0.578 -0.022],-52.29682230967015,1583.5961236953735,21.608212,28.182323,0.45289683,3923.0925,14.659168,2.2541857,0.011695946,0.026981622,-102.368484,4800,6.8216696,0.21608211,-3.4862607,15.818065,2.9423532e-05,128.06,1.1695945,2.6981623,0.0029423533,-18.03733,100,31.91407,29.748163,-17.008486,100.0
49,540792,[ 0.192 -0.102 -0.148 ... -0.41  -0.555 -0.029],-33.80797388124811,1616.9375655651093,51.79949,22.462688,14.001799,39372.074,17.036703,2.2282429,0.016028859,0.06907805,-88.29576,4900,5.8696804,0.5179949,10.338984,5.109159,3.564251e-05,126.54,1.6028861,6.9078054,0.0035642514,-12.157218,100,48.524654,39.090324,-11.269812,100.0
50,558520,[ 0.191 -0.102 -0.146 ... -0.407 -0.561 -0.049],-27.30520361671,1664.2362985610962,67.90037,25.937355,34.936012,151792.55,13.882438,2.1809394,0.015942372,0.06746303,-71.39344,5000,7.203346,0.67900366,32.262554,5.289012,1.92702e-05,177.28,1.5942373,6.746303,0.00192702,-7.943392,100,31.751022,57.18926,-7.225861,100.0
51,573977,[ 0.191 -0.102 -0.146 ... -0.407 -0.572 -0.085],-29.839872153024835,1707.0281562805176,1202.8783,26.379414,297.18314,8704301.0,9109.877,2.181699,0.1261434,1.1966407,-82.51155,5100,0.010977097,12.028783,218.03268,1.0990108,1.1960985e-07,154.57,12.614338,119.66406,1.1960986e-05,-7.2000513,100,0.3783493,53.219162,-6.370779,100.0
52,591506,[ 0.192 -0.102 -0.148 ... -0.405 -0.577 -0.079],2.9975510268694494,1759.2403829097748,320.1972,22.169722,153.7787,1925722.6,685.48975,2.1962745,0.041480213,0.31893006,-55.911205,5200,0.1458811,3.201972,135.67363,1.6634359,4.6811647e-07,175.29,4.148021,31.893007,4.681165e-05,5.5766525,100,29.684433,68.804565,6.268164,100.0
53,615877,[ 0.192 -0.102 -0.148 ... -0.404 -0.576 -0.066],20.053445364553077,1816.243668794632,104637.28,23.504595,25607.584,65520574000.0,99085710.0,2.1145024,10.46782,104.11239,-56.842083,5300,1.0092273e-06,1046.3728,17387.094,1.0007819,4.757027e-11,243.71,1046.7817,10411.237,4.757027e-09,14.218081,100,24.323853,82.16936,15.043915,100.0
54,644140,[ 0.193 -0.101 -0.153 ... -0.407 -0.621 -0.103],53.46234848178014,1898.5161175727844,47.0057,23.355888,71.86095,76289.69,5.814478,2.0989368,0.018158358,0.050483603,-35.2175,5400,17.198448,0.47005698,69.86234,11.455501,0.00015586066,282.63,1.8158357,5.0483603,0.015586067,25.819475,100,50.120575,82.46866,26.648314,100.0
55,671387,[ 0.193 -0.101 -0.153 ... -0.408 -0.636 -0.103],40.44359651923757,1958.0849215984344,1207.2782,23.809736,513.5307,24980630.0,263.75308,2.1035302,0.12720467,1.2006168,-53.15113,5500,0.3791425,12.072782,499.44794,1.1100672,1.6024024e-06,272.47,12.720467,120.06168,0.00016024025,24.100857,100,62.98448,86.27938,24.967995,100.0
56,694755,[ 0.192 -0.101 -0.152 ... -0.408 -0.637 -0.098],46.43263470683743,2007.3313722610474,104.04982,19.719606,113.70602,770893.3,12.997159,2.0803676,0.017744046,0.10380676,-16.894176,5600,7.6939893,1.0404981,110.64824,2.838875,3.2512246e-05,233.68,1.7744043,10.380677,0.0032512248,24.52347,100,59.449764,84.39155,25.371637,100.0
57,722089,[ 0.191 -0.101 -0.151 ... -0.406 -0.649 -0.108],51.39772674235247,2070.383405447006,466.7345,20.982136,380.74295,12976362.0,60.720104,2.0966945,0.05443238,0.46367896,-37.25405,5700,1.646901,4.667345,374.4287,1.3593645,0.000102545404,273.34,5.4432387,46.367897,0.0102545405,27.78005,100,49.807274,80.62551,28.590366,100.0
58,753154,[ 0.191 -0.101 -0.151 ... -0.407 -0.63  -0.111],59.5729071316709,2141.0004284381866,352.10864,21.442396,238.49686,4451315.0,573.35864,2.0878723,0.044769257,0.35213837,-47.19272,5800,0.17441091,3.5210865,218.74554,1.5906317,3.303137e-08,310.65,4.476926,35.213833,3.3031372e-06,29.75204,100,54.13049,82.07301,30.576906,100.0
59,780235,[ 0.191 -0.101 -0.152 ... -0.407 -0.638 -0.112],42.87100649590659,2204.2242715358734,12.792851,25.648012,45.40712,14059.28,4.027704,2.0602546,0.012568722,0.019555992,-73.25872,5900,24.828043,0.12792851,43.929474,29.23205,0.00024275723,270.81,1.2568723,1.9555991,0.024275724,21.63949,100,62.142933,69.364334,22.375769,100.0
60,811470,[ 0.191 -0.101 -0.151 ... -0.409 -0.65  -0.127],68.03620174778443,2274.9590582847595,2959.233,22.050144,2430.0288,582382100.0,139696.95,2.0774372,0.301384,2.943924,-17.755453,6000,0.00071583525,29.592329,2123.6707,1.0371921,2.860038e-07,312.35,30.1384,294.3924,2.8600381e-05,28.999212,100,71.99666,81.55558,29.818876,100.0
61,847166,[ 0.191 -0.101 -0.151 ... -0.409 -0.634 -0.126],82.91918913901559,2372.628133535385,94121.8,18.41936,28203.607,79480210000.0,213256400.0,2.0654104,9.416699,93.64956,-9.618032,6100,4.689191e-07,941.21796,15123.793,1.0009608,1.1023479e-10,356.96,941.67,9364.955,1.1023479e-08,31.954529,100,75.42776,89.11856,32.850204,100.0
62,884809,[ 0.19  -0.1   -0.15  ... -0.407 -0.637 -0.135],90.2406467884578,2448.408391237259,15054.547,19.401096,3107.7117,930418750.0,132607.64,2.0593324,1.5174373,14.978021,-12.752747,6200,0.00075410435,150.54547,2825.3486,1.0159627,3.7103084e-10,376.43,151.74371,1497.8021,3.7103085e-08,35.673996,100,68.75894,77.150925,36.44939,100.0
63,926070,[ 0.19  -0.101 -0.151 ... -0.406 -0.663 -0.115],101.98374705041168,2555.212135076523,117447.54,19.024933,37652.93,141722140000.0,97503770.0,2.022476,11.7490835,116.8584,-0.5403938,6300,1.0256014e-06,1174.4753,29018.484,1.0007374,1.7552876e-11,412.61,1174.9083,11685.839,1.7552877e-09,37.78736,100,54.702866,87.00443,38.661793,100.0
64,969130,[ 0.19  -0.101 -0.15  ... -0.401 -0.686 -0.13 ],89.97263456775816,2660.156232357025,21874.3,21.664076,11213.242,12483731000.0,651043.25,2.0134182,2.2013533,21.763422,-23.479084,6400,0.00015359963,218.743,10505.972,1.012755,5.3136793e-09,430.6,220.13533,2176.3423,5.3136796e-07,31.759314,100,67.63461,87.21639,32.635876,100.0
65,1012510,[ 0.19  -0.1   -0.148 ... -0.404 -0.69  -0.134],91.04973324219299,2783.734321117401,28127.42,23.122097,13926.566,19363383000.0,812062.75,2.0606208,2.8164854,27.98606,-53.167336,6500,0.0001231432,281.2742,13200.795,1.0026633,8.942888e-10,433.8,281.64856,2798.6057,8.942888e-08,37.04757,100,56.75211,80.13514,37.85296,100.0
66,1053955,[ 0.189 -0.1   -0.147 ... -0.4   -0.666 -0.111],80.00946423008972,2880.9774453639984,43874.094,20.83838,30729.582,94079255000.0,1092017.0,2.121022,4.398978,43.653038,-27.59399,6600,9.157367e-05,438.74094,29820.48,1.0052792,3.0303227e-08,414.45,439.89786,4365.3047,3.0303227e-06,31.221395,100,55.5108,86.559525,32.09135,100.0
67,1097383,[ 0.189 -0.1   -0.147 ... -0.402 -0.661 -0.056],96.8657670978233,2982.7609519958496,7.811193,19.660124,44.62151,3315.303,2.8564014,2.1055298,0.011651722,0.013674087,-24.490654,6700,35.009083,0.07811193,43.264606,42.065212,0.00047231765,434.28,1.1651722,1.3674088,0.047231767,35.35771,100,61.906773,79.883385,36.16057,100.0
68,1139169,[ 0.189 -0.1   -0.147 ... -0.403 -0.672 -0.061],90.48271054722387,3068.4531795978546,8416.084,19.941898,4274.421,1819256000.0,135429.94,2.1477027,0.8438747,8.373671,-19.71045,6800,0.00073838915,84.160835,3946.3262,1.0053922,3.9280824e-08,417.86,84.38746,837.36707,3.9280826e-06,34.884293,100,73.43308,88.70732,35.775833,100.0
69,1186214,[ 0.191 -0.101 -0.147 ... -0.404 -0.659 -0.031],101.29238407520383,3192.732213497162,3380.4526,17.453178,1254.12,154999540.0,220462.92,2.1377528,0.3419532,3.3631566,-2.9536047,6900,0.00045359103,33.804527,892.31946,1.023228,3.4709255e-09,470.45,34.195316,336.31564,3.4709257e-07,32.902756,100,72.23709,76.66885,33.673306,100.0
70,1232706,[ 0.191 -0.101 -0.148 ... -0.404 -0.661 -0.039],82.01967778710659,3322.2721457481384,9461.881,17.949352,4901.926,2369968400.0,393134.2,2.1308606,0.9542275,9.413699,-15.653751,7000,0.00025436608,94.618805,4468.454,1.0170527,3.2290872e-09,464.92,95.42275,941.3701,3.2290873e-07,29.032251,100,68.6263,68.78726,29.723589,100.0
