EmpiricalD2,Bound,RewardCompression,ReturnStepMax,ReturnStepMaxmin,ESSRenyi,MeanEntropy,EpRewMean,EpLenMean,Weights,InitialReturnMin,MinIW,ESSClassic,InitialReturnMean,InitialReturnStd,EpisodesSoFar,Iteration,TimeElapsed,InitialReturnMax,EpThisIter,InitialBound,MaxIW,StdIW,TimestepsSoFar,MeanIW,ReturnMeanIW
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,113.22,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,3200,32,1022.8515787124634,-100.0,100,-103.333336,1.0,,359210,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,111.53,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,3300,33,1049.9466824531555,-100.0,100,-103.333336,1.0,,370363,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,111.01,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,3400,34,1073.3563613891602,,100,-53.333332,1.0,,381464,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,109.51,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,3500,35,1099.2496929168701,-100.0,100,-103.333336,1.0,,392415,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,112.35,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,3600,36,1119.5807600021362,,100,-53.333332,1.0,,403650,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,107.48,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,3700,37,1146.4836382865906,,100,-53.333332,1.0,,414398,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,110.09,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,3800,38,1174.6648240089417,-100.0,100,-103.333336,1.0,,425407,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,115.9,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,3900,39,1199.7637684345245,-100.0,100,-103.333336,1.0,,436997,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,113.7,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,4000,40,1224.3866565227509,,100,-53.333332,1.0,,448367,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,114.53,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,4100,41,1247.6346595287323,,100,-53.333332,1.0,,459820,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,108.0,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,4200,42,1272.6295516490936,-100.0,100,-103.333336,1.0,,470620,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,114.16,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,4300,43,1293.1760845184326,,100,-53.333332,1.0,,482036,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,111.78,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,4400,44,1321.2086935043335,,100,-53.333332,1.0,,493214,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,109.64,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,4500,45,1350.9897813796997,-100.0,100,-103.333336,1.0,,504178,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,113.14,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,4600,46,1381.8167266845703,-100.0,100,-103.333336,1.0,,515492,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,109.74,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,4700,47,1406.2930362224579,,100,-53.333332,1.0,,526466,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,115.19,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,4800,48,1435.0165917873383,-100.0,100,-103.333336,1.0,,537985,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,109.2,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,4900,49,1460.728507757187,-100.0,100,-103.333336,1.0,,548905,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-98.0,114.86,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-98.0,14.0,5000,50,1482.2539057731628,,100,-53.333332,1.0,,560391,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,100.0,100.0,2.837890386581421,-99.0,115.89,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,5100,51,1506.8965191841125,,100,-53.333332,1.0,,571980,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,113.78,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,5200,52,1541.0055947303772,,100,-53.333332,1.0,,583358,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,112.67,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,5300,53,1568.5043442249298,-100.0,100,-103.333336,1.0,,594625,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,111.78,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,5400,54,1596.0443377494812,-100.0,100,-103.333336,1.0,,605803,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,116.78,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,5500,55,1629.2243468761444,-100.0,100,-103.333336,1.0,,617481,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,114.64,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,5600,56,1654.429395198822,,100,-53.333332,1.0,,628945,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,114.72,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,5700,57,1684.6244645118713,,100,-53.333332,1.0,,640417,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,110.81,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,5800,58,1713.6405148506165,-100.0,100,-103.333336,1.0,,651498,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,108.26,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,5900,59,1745.9710583686829,,100,-53.333332,1.0,,662324,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,109.93,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,6000,60,1775.3974092006683,,100,-53.333332,1.0,,673317,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,106.63,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6100,61,1806.6963574886322,-100.0,100,-103.333336,1.0,,683980,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,110.58,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6200,62,1830.9109630584717,-100.0,100,-103.333336,1.0,,695038,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,112.83,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,6300,63,1867.838097333908,,100,-53.333332,1.0,,706321,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,111.57,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6400,64,1889.227412223816,-100.0,100,-103.333336,1.0,,717478,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-98.0,111.42,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-98.0,14.0,6500,65,1921.0075135231018,,100,-53.333332,1.0,,728620,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,110.14,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,6600,66,1949.0846755504608,,100,-53.333332,1.0,,739634,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,110.04,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6700,67,1976.4762754440308,-100.0,100,-103.333336,1.0,,750638,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,117.73,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6800,68,2004.3740394115448,-100.0,100,-103.333336,1.0,,762411,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,101.99,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,6900,69,2030.8562018871307,-100.0,100,-103.333336,1.0,,772610,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,112.02,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7000,70,2059.1529173851013,-100.0,100,-103.333336,1.0,,783812,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,113.09,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7100,71,2096.732448577881,-100.0,100,-103.333336,1.0,,795121,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,110.17,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7200,72,2122.449096918106,-100.0,100,-103.333336,1.0,,806138,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,118.06,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7300,73,2158.242472887039,-100.0,100,-103.333336,1.0,,817944,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,114.58,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7400,74,2187.8402280807495,-100.0,100,-103.333336,1.0,,829402,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,112.58,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7500,75,2214.86039018631,-100.0,100,-103.333336,1.0,,840660,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,116.71,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7600,76,2239.4630043506622,-100.0,100,-103.333336,1.0,,852331,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,109.42,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,7700,77,2264.629942417145,-100.0,100,-103.333336,1.0,,863273,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-98.0,114.0,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-98.0,14.0,7800,78,2286.365739107132,,100,-53.333332,1.0,,874673,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,112.23,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,7900,79,2310.341449022293,,100,-53.333332,1.0,,885896,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-99.0,112.22,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,8000,80,2333.2795157432556,,100,-53.333332,1.0,,897118,1.0,-50.0
1.0,-53.33333206176758,0.98,100.0,100.0,100.0,2.837890386581421,-99.0,110.32,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-99.0,9.949873924255371,8100,81,2360.674226284027,,100,-53.333332,1.0,,908150,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,115.07,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8200,82,2385.390372276306,-100.0,100,-103.333336,1.0,,919657,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,105.04,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8300,83,2409.068359851837,-100.0,100,-103.333336,1.0,,930161,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,114.75,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8400,84,2437.5004031658173,-100.0,100,-103.333336,1.0,,941636,1.0,-100.0
1.0,-53.33333206176758,0.98,100.0,,100.0,2.837890386581421,-98.0,113.26,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-98.0,14.0,8500,85,2464.671452522278,,100,-53.333332,1.0,,952962,1.0,-50.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,111.18,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8600,86,2491.405397415161,-100.0,100,-103.333336,1.0,,964080,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,117.73,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8700,87,2524.8408904075623,-100.0,100,-103.333336,1.0,,975853,1.0,-100.0
1.0,-103.33333587646484,0.99,100.0,100.0,100.0,2.837890386581421,-100.0,113.48,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-100.0,1.0,1.0,-100.0,,8800,88,2549.0313563346863,-100.0,100,-103.333336,1.0,,987201,1.0,-100.0
