TimestepsSoFar,StdIWNorm,MaxIW,EpThisIter,Weights,EpLenMean,MeanEntropy,MaxIWNorm,MeanIWNorm,InitialReturnMin,InitialReturnMean,InitialReturnMax,ReturnMeanIW,Bound,InitialReturnStd,StdIW,MeanIW,EpisodesSoFar,Iteration,EmpiricalD2,ESSRenyi,EpRewMean,ReturnStepMax,J_sample_variance,TimeElapsed,InitialBound,ESSClassic,ReturnStepMaxmin,MinIW,MinIWNorm
189564,0.007780966,6.520561,100,[ 0.189 -0.062 -0.126 ... -0.318 -0.171 -0.077],92.65,2.6045046,0.06520561,0.002946164,-100.0,-100.0,-100.0,-29.461641,-42.414024,,0.7780965,0.2946164,1800,18,166.08662,0.6020954,-100.0,100.0,6115.497,596.9267482757568,-101.005035,12.538961,100.0,0.00036102795,3.6102795e-06
198999,0.003834508,1.9162066,100,[ 0.19  -0.062 -0.126 ... -0.315 -0.164 -0.069],94.35,2.546926,0.019162066,0.0022049411,-100.0,-100.0,-100.0,-22.049414,-32.792603,,0.3834508,0.22049414,1900,19,114.261986,0.87518173,-100.0,100.0,1485.1973,628.7059614658356,-101.005035,24.849028,100.0,2.6302288e-05,2.6302288e-07
208344,0.004921746,2.6651273,100,[ 0.188 -0.063 -0.127 ... -0.317 -0.194 -0.097],93.45,2.5451584,0.026651273,0.003079801,-100.0,-100.0,-100.0,-30.798008,-40.827545,,0.49217457,0.3079801,2000,20,99.585686,1.0041604,-100.0,100.0,2446.8264,662.9101328849792,-101.005035,28.138605,100.0,0.00048553923,4.855392e-06
217451,0.010291525,6.607326,100,[ 0.188 -0.063 -0.129 ... -0.318 -0.198 -0.094],91.07,2.5234377,0.06607326,0.0060974373,-100.0,-100.0,-100.0,-60.974373,-68.65438,,1.0291526,0.6097437,2100,21,58.392662,1.712544,-100.0,100.0,10698.536,693.2143828868866,-101.005035,25.981997,100.0,7.141492e-05,7.1414917e-07
226331,0.0042472566,2.501483,100,[ 0.188 -0.063 -0.127 ... -0.317 -0.221 -0.094],88.8,2.4728634,0.025014829,0.002140922,-100.0,-100.0,-100.0,-21.40922,-34.277443,,0.42472565,0.21409221,2200,22,163.93521,0.6099971,-100.0,100.0,1822.1405,721.1906759738922,-101.005035,20.260803,100.0,0.00017823865,1.7823864e-06
235469,0.0070528113,5.515823,100,[ 0.188 -0.062 -0.129 ... -0.32  -0.262 -0.102],91.38,2.4851432,0.055158228,0.0036492916,-100.0,-100.0,-100.0,-36.492924,-43.902683,,0.70528114,0.36492923,2300,23,54.35547,1.8397412,-100.0,100.0,5024.4595,757.3218307495117,-101.005035,21.118689,100.0,0.0020688325,2.0688325e-05
244924,0.004783228,2.601582,100,[ 0.188 -0.063 -0.129 ... -0.32  -0.265 -0.088],94.55,2.4929082,0.02601582,0.0030473727,-100.0,-100.0,-100.0,-30.47373,-41.027565,,0.47832277,0.3047373,2400,24,110.26961,0.9068682,-100.0,100.0,2311.0374,794.8798627853394,-101.005035,28.870718,100.0,0.00035811748,3.5811747e-06
254130,0.006516038,3.7167637,100,[ 0.188 -0.063 -0.129 ... -0.318 -0.263 -0.082],92.06,2.488285,0.037167635,0.0032970733,-100.0,-100.0,-100.0,-32.97073,-42.55049,,0.6516038,0.3297073,2500,25,90.85413,1.1006653,-100.0,100.0,4288.7627,832.2241909503937,-101.005035,20.384031,100.0,0.00071010424,7.1010422e-06
264068,0.008119723,5.861256,100,[ 0.188 -0.063 -0.129 ... -0.322 -0.273 -0.077],99.38,2.4733782,0.05861256,0.004254816,-100.0,-99.0,,-42.521667,-54.236702,9.949874,0.8119723,0.42548165,2600,26,135.86967,0.7359994,-99.0,100.0,6661.793,863.3179631233215,-100.005035,21.54318,,0.00024997126,2.4997125e-06
273887,0.0033839024,2.521517,100,[ 0.187 -0.063 -0.13  ... -0.321 -0.267 -0.097],98.19,2.4421332,0.02521517,0.0019891807,-100.0,-100.0,-100.0,-19.89181,-31.00417,,0.33839023,0.19891809,2700,27,122.24973,0.8179977,-100.0,100.0,1156.646,896.8099927902222,-101.005035,25.68104,100.0,0.00095833046,9.583305e-06
283221,0.003729967,1.7951611,100,[ 0.187 -0.063 -0.128 ... -0.318 -0.274 -0.121],93.34,2.491017,0.017951611,0.0020503951,-100.0,-99.0,,-20.48077,-39.396545,9.949874,0.3729967,0.20503952,2800,28,354.22855,0.28230363,-99.0,100.0,1406.224,929.6434905529022,-100.005035,23.205677,,3.3083816e-05,3.3083816e-07
292178,0.0034249357,1.4958737,100,[ 0.187 -0.063 -0.127 ... -0.317 -0.285 -0.062],89.57,2.4289618,0.0149587365,0.0026692944,-100.0,-100.0,-100.0,-26.692945,-35.883896,,0.34249356,0.26692945,2900,29,83.628845,1.1957597,-100.0,100.0,1184.8672,963.5578408241272,-101.005035,37.78846,100.0,8.493722e-05,8.493722e-07
301539,0.0056853727,2.6177692,100,[ 0.186 -0.063 -0.127 ... -0.32  -0.28  -0.128],93.61,2.419008,0.026177691,0.003177928,-100.0,-100.0,-100.0,-31.779278,-45.645164,,0.5685373,0.31779277,3000,30,190.3402,0.5253751,-100.0,100.0,3264.9958,997.0926704406738,-101.005035,23.806187,100.0,0.00022327158,2.2327158e-06
310444,0.008223765,6.891041,100,[ 0.186 -0.063 -0.127 ... -0.323 -0.282 -0.137],89.05,2.4326174,0.068910405,0.0037619672,-100.0,-98.0,,-35.935318,-47.389347,14.0,0.82237643,0.37619674,3100,31,129.8828,0.7699249,-98.0,100.0,6670.4595,1029.3263399600983,-99.005035,17.30488,,0.00051455875,5.1455872e-06
319816,0.008601722,5.6661267,100,[ 0.187 -0.063 -0.127 ... -0.321 -0.269 -0.136],93.72,2.449169,0.056661267,0.006149933,-100.0,-100.0,-100.0,-61.49933,-68.73668,,0.8601722,0.6149933,3200,32,51.8555,1.9284358,-100.0,100.0,7473.6987,1063.5704536437988,-101.005035,33.826344,100.0,0.0002117137,2.117137e-06
329597,0.0064709554,3.610651,100,[ 0.187 -0.063 -0.127 ... -0.319 -0.271 -0.118],97.81,2.400604,0.03610651,0.0036325217,-100.0,-100.0,-100.0,-36.325214,-47.836334,,0.64709556,0.3632522,3300,33,131.18086,0.76230633,-100.0,100.0,4229.623,1096.171403169632,-101.005035,23.961466,100.0,9.0557936e-05,9.055793e-07
338899,0.0063813087,3.9962053,100,[ 0.186 -0.063 -0.128 ... -0.318 -0.279 -0.158],93.02,2.3788896,0.039962053,0.0038494149,-100.0,-99.0,,-38.470634,-48.52095,9.949874,0.63813084,0.3849415,3400,34,99.99877,1.0000123,-99.0,100.0,4115.014,1128.1142146587372,-100.005035,26.680296,,1.687635e-05,1.687635e-07
348702,0.0034626299,1.8433846,100,[ 0.185 -0.063 -0.128 ... -0.321 -0.294 -0.166],98.03,2.4032576,0.018433847,0.0024763038,-100.0,-96.0,,-24.524961,-37.019043,19.595919,0.34626302,0.24763039,3500,35,154.5411,0.647077,-96.0,100.0,1218.7953,1161.3308715820312,-97.005035,33.837982,,9.774574e-05,9.774574e-07
358243,0.004540152,2.4259527,100,[ 0.186 -0.063 -0.128 ... -0.318 -0.302 -0.133],95.41,2.4042804,0.024259526,0.0023843956,-100.0,-100.0,-100.0,-23.843954,-35.285053,,0.45401523,0.23843957,3600,36,129.58978,0.77166575,-100.0,100.0,2082.1194,1197.6987357139587,-101.005035,21.618652,100.0,0.00032362045,3.2362045e-06
367682,0.004867829,3.0311656,100,[ 0.186 -0.063 -0.127 ... -0.319 -0.298 -0.136],94.39,2.3913968,0.030311655,0.0027956231,-100.0,-100.0,-100.0,-27.956228,-38.817467,,0.48678294,0.2795623,3700,37,116.7868,0.8562612,-100.0,100.0,2393.5115,1226.3929176330566,-101.005035,24.80226,100.0,0.00019519517,1.9519516e-06
377797,0.011836016,11.091774,100,[ 0.187 -0.064 -0.126 ... -0.319 -0.295 -0.152],101.15,2.400324,0.11091774,0.004299747,-100.0,-99.0,,-31.905691,-41.903564,9.949874,1.1836015,0.42997468,3800,38,98.95791,1.0105307,-99.0,100.0,2562.8188,1263.6410827636719,-100.005035,11.658422,,0.00027568362,2.756836e-06
387913,0.0060935286,3.3215106,100,[ 0.188 -0.064 -0.125 ... -0.318 -0.302 -0.136],101.16,2.3869703,0.033215106,0.004726195,-100.0,-100.0,-100.0,-47.261944,-61.008854,,0.6093529,0.47261947,3900,39,187.08775,0.5345085,-100.0,100.0,3750.6152,1297.800980091095,-101.005035,37.56123,100.0,0.000290924,2.90924e-06
397928,0.004869705,2.7324862,100,[ 0.188 -0.064 -0.124 ... -0.317 -0.318 -0.133],100.15,2.4104216,0.027324863,0.0028261305,-100.0,-100.0,-100.0,-28.261301,-43.213867,,0.48697048,0.282613,4000,40,221.34346,0.45178655,-100.0,100.0,2395.3562,1329.7560470104218,-101.005035,25.194796,100.0,0.001435751,1.435751e-05
408007,0.0056537613,2.9786973,100,[ 0.188 -0.063 -0.124 ... -0.315 -0.304 -0.123],100.79,2.429474,0.029786972,0.0029571848,-100.0,-99.0,,-29.548939,-45.03648,9.949874,0.56537616,0.2957185,4100,41,237.46532,0.42111412,-99.0,100.0,3230.1047,1366.6907277107239,-100.005035,21.48109,,0.00037902902,3.79029e-06
418103,0.00464226,2.6074424,100,[ 0.189 -0.064 -0.123 ... -0.315 -0.308 -0.101],100.96,2.4307168,0.026074423,0.0025121772,-100.0,-100.0,-100.0,-25.121775,-40.541798,,0.464226,0.25121775,4200,42,235.39934,0.42481002,-100.0,100.0,2176.8262,1402.7421069145203,-101.005035,22.65137,100.0,0.0016213253,1.6213253e-05
427839,0.0038220286,2.2104194,100,[ 0.188 -0.064 -0.124 ... -0.313 -0.307 -0.1  ],97.36,2.4187465,0.022104194,0.0025422391,-100.0,-100.0,-100.0,-25.42239,-36.54784,,0.38220286,0.2542239,4300,43,122.53789,0.81607413,-100.0,100.0,1475.5457,1444.1421375274658,-101.005035,30.672562,100.0,0.0002832405,2.8324048e-06
437598,0.010135551,7.810873,100,[ 0.188 -0.064 -0.123 ... -0.315 -0.322 -0.097],97.59,2.368215,0.07810873,0.00470525,-100.0,-100.0,-100.0,-47.0525,-57.06173,,1.0135553,0.47052503,4400,44,99.18277,1.0082396,-100.0,100.0,10376.71,1477.5517272949219,-101.005035,17.730114,100.0,4.4122884e-05,4.4122882e-07
447454,0.0047107595,3.5247521,100,[ 0.188 -0.065 -0.122 ... -0.312 -0.353 -0.117],98.56,2.3466275,0.03524752,0.0022106757,-100.0,-100.0,-100.0,-22.106758,-31.622591,,0.47107598,0.22106758,4500,45,89.64558,1.115504,-100.0,100.0,2241.5415,1513.1698818206787,-101.005035,18.047955,100.0,0.00019641117,1.9641118e-06
456508,0.0061599277,4.266662,100,[ 0.188 -0.065 -0.121 ... -0.315 -0.361 -0.13 ],90.54,2.3222,0.04266662,0.0026152101,-100.0,-100.0,-100.0,-26.152102,-39.52861,,0.6159928,0.261521,4600,46,177.14174,0.5645197,-100.0,100.0,3832.7986,1550.013866186142,-101.005035,15.271792,100.0,6.3858424e-05,6.3858425e-07
465437,0.006664339,5.2800984,100,[ 0.187 -0.064 -0.122 ... -0.314 -0.377 -0.139],89.29,2.3323016,0.052800983,0.003009125,-100.0,-100.0,-100.0,-30.09125,-44.841404,,0.6664339,0.3009125,4700,47,215.39139,0.46427113,-100.0,100.0,4486.203,1585.6779325008392,-101.005035,16.93497,100.0,7.278603e-05,7.278603e-07
474418,0.0062595345,4.176367,100,[ 0.187 -0.064 -0.122 ... -0.315 -0.381 -0.124],89.81,2.3215487,0.041763667,0.003294352,-100.0,-99.0,,-32.858925,-43.2489,9.949874,0.6259535,0.32943523,4800,48,106.87207,0.93569815,-99.0,100.0,3962.6555,1620.93021941185,-100.005035,21.690535,,9.025574e-05,9.0255736e-07
483721,0.0070259334,4.1476912,100,[ 0.187 -0.064 -0.121 ... -0.319 -0.366 -0.15 ],93.03,2.322473,0.041476913,0.0042468957,-100.0,-100.0,-100.0,-42.46896,-53.52767,,0.7025934,0.4246896,4900,49,121.07211,0.825954,-100.0,100.0,4986.237,1656.1338057518005,-101.005035,26.75988,100.0,0.00025655256,2.5655256e-06
493102,0.0073255855,4.699406,100,[ 0.187 -0.065 -0.121 ... -0.319 -0.372 -0.143],93.81,2.3406024,0.04699406,0.0035048446,-100.0,-100.0,-100.0,-35.048443,-44.260887,,0.7325586,0.35048443,5000,50,84.02045,1.1901865,-100.0,100.0,5420.627,1693.109764099121,-101.005035,18.626657,100.0,0.00040502372,4.0502373e-06
502081,0.005500162,3.2389722,100,[ 0.187 -0.064 -0.121 ... -0.319 -0.347 -0.151],89.79,2.3641942,0.032389723,0.0031952711,-100.0,-100.0,-100.0,-31.952717,-43.984673,,0.55001616,0.31952718,5100,51,143.3203,0.6977379,-100.0,100.0,3055.735,1725.7620763778687,-101.005035,25.23325,100.0,0.0006200537,6.2005365e-06
511637,0.008087445,4.543286,100,[ 0.186 -0.064 -0.123 ... -0.321 -0.346 -0.128],95.56,2.3234522,0.04543286,0.0039871475,-100.0,-100.0,-100.0,-39.87147,-50.89353,,0.8087445,0.39871472,5200,52,120.27096,0.83145595,-100.0,100.0,6606.7437,1759.050437450409,-101.005035,19.552938,100.0,5.9553904e-06,5.95539e-08
520491,0.003702677,1.9841115,100,[ 0.187 -0.064 -0.123 ... -0.319 -0.359 -0.155],88.54,2.3274071,0.019841116,0.0027192053,-100.0,-99.0,,-26.148949,-37.09723,9.949874,0.3702677,0.27192056,5300,53,118.66624,0.8426997,-99.0,100.0,1331.1262,1793.0484743118286,-100.005035,35.036552,,0.0005061257,5.0612566e-06
529158,0.012409322,9.867811,100,[ 0.186 -0.064 -0.123 ... -0.321 -0.364 -0.147],86.67,2.311748,0.09867811,0.004355517,-100.0,-100.0,-100.0,-43.555172,-59.148308,,1.2409322,0.43555173,5400,54,240.71442,0.41543004,-100.0,100.0,15554.674,1828.8063614368439,-101.005035,10.968046,100.0,1.6416787e-05,1.6416786e-07
538363,0.005870914,4.042731,100,[ 0.187 -0.064 -0.122 ... -0.325 -0.359 -0.167],92.05,2.3215477,0.04042731,0.0027315235,-100.0,-100.0,-100.0,-27.315237,-39.84239,,0.58709145,0.27315238,5500,55,155.36023,0.6436654,-100.0,100.0,3481.5793,1861.0670976638794,-101.005035,17.794958,100.0,1.4403576e-05,1.4403575e-07
547131,0.0038439247,3.0009258,100,[ 0.187 -0.065 -0.121 ... -0.326 -0.384 -0.132],87.68,2.294002,0.030009257,0.002092896,-100.0,-97.0,,-19.082779,-32.587578,17.058722,0.38439247,0.2092896,5600,56,180.55585,0.5538453,-97.0,100.0,1407.2925,1898.9576215744019,-98.005035,22.866049,,0.00026414188,2.6414189e-06
555667,0.0068702972,4.1350374,100,[ 0.187 -0.065 -0.12  ... -0.323 -0.395 -0.149],85.36,2.3135295,0.041350372,0.0036445144,-100.0,-99.0,,-36.31018,-46.609356,9.949874,0.6870297,0.36445144,5700,57,105.012276,0.9522696,-99.0,100.0,4775.855,1934.6940672397614,-100.005035,21.960522,,0.00057610427,5.7610428e-06
565101,0.009129962,4.531015,100,[ 0.188 -0.065 -0.119 ... -0.32  -0.381 -0.143],94.34,2.3039749,0.045310147,0.0062113344,-100.0,-100.0,-100.0,-62.113346,-66.60588,,0.91299623,0.62113345,5800,58,19.981045,5.004743,-100.0,100.0,8419.819,1970.813847064972,-101.005035,31.639875,100.0,0.0031423585,3.1423584e-05
573900,0.0045018545,1.9058616,100,[ 0.189 -0.065 -0.118 ... -0.318 -0.388 -0.146],87.99,2.321512,0.019058615,0.002987652,-100.0,-98.0,,-29.677773,-41.74236,14.0,0.45018548,0.2987652,5900,59,144.09871,0.6939687,-98.0,100.0,2055.598,1999.6793715953827,-99.005035,30.576302,,0.00042212952,4.221295e-06
582886,0.005325048,3.6925714,100,[ 0.189 -0.065 -0.12  ... -0.319 -0.38  -0.137],89.86,2.3232942,0.036925714,0.0025815412,-100.0,-100.0,-100.0,-25.81541,-41.508606,,0.5325048,0.2581541,6000,60,243.81367,0.41014928,-100.0,100.0,2864.256,2031.696744441986,-101.005035,19.029871,100.0,0.00052038673,5.203867e-06
592513,0.008198637,5.956741,100,[ 0.189 -0.065 -0.119 ... -0.321 -0.384 -0.13 ],96.27,2.3274071,0.059567407,0.004026907,-100.0,-99.0,,-38.985424,-47.70112,9.949874,0.8198638,0.4026907,6100,61,75.20369,1.329722,-99.0,100.0,6725.985,2065.7297575473785,-100.005035,19.435783,,0.00036375978,3.6375977e-06
601573,0.006712295,3.4121923,100,[ 0.189 -0.065 -0.119 ... -0.326 -0.382 -0.128],90.6,2.3272035,0.034121923,0.004695746,-100.0,-96.0,,-44.60973,-54.497574,19.595919,0.67122954,0.46957466,6200,62,96.79172,1.0331463,-96.0,100.0,4360.174,2097.3874957561493,-97.005035,32.85903,,0.00022341195,2.2341194e-06
610125,0.010084494,8.94309,100,[ 0.189 -0.065 -0.119 ... -0.326 -0.37  -0.14 ],85.52,2.3151543,0.089430906,0.004358883,-100.0,-99.0,,-42.388824,-52.548927,9.949874,1.0084494,0.4358883,6300,63,102.19537,0.9785179,-99.0,100.0,10231.185,2129.5059781074524,-100.005035,15.7417965,,8.261104e-05,8.261104e-07
619353,0.007122153,5.5667124,100,[ 0.188 -0.065 -0.12  ... -0.325 -0.372 -0.151],92.28,2.3231862,0.05566712,0.0031901456,-100.0,-99.0,,-31.66457,-46.88385,9.949874,0.7122153,0.31901455,6400,64,229.31018,0.43609053,-99.0,100.0,5133.286,2164.5860335826874,-100.005035,16.710476,,0.00073641934,7.364193e-06
628518,0.0042913524,1.882616,100,[ 0.188 -0.065 -0.12  ... -0.32  -0.371 -0.144],91.65,2.304414,0.01882616,0.003748052,-100.0,-97.0,,-37.363358,-45.887173,17.058722,0.4291352,0.3748052,6500,65,71.928856,1.3902626,-97.0,100.0,1868.335,2198.7192471027374,-98.005035,43.272774,,0.0007513598,7.5135977e-06
638009,0.0078304075,4.3249173,100,[ 0.188 -0.065 -0.12  ... -0.322 -0.381 -0.153],94.91,2.2805398,0.04324917,0.0047083334,-100.0,-98.0,,-44.527332,-54.483032,14.0,0.7830409,0.47083336,6600,66,98.124855,1.0191098,-98.0,100.0,5928.841,2232.765839099884,-99.005035,26.554169,,0.001599742,1.5997419e-05
646488,0.004710402,2.6972694,100,[ 0.188 -0.065 -0.12  ... -0.325 -0.391 -0.166],84.79,2.2607424,0.026972694,0.003106066,-100.0,-99.0,,-31.043623,-42.11167,9.949874,0.4710402,0.3106066,6700,67,121.27672,0.8245606,-99.0,100.0,2242.24,2272.086174249649,-100.005035,30.30465,,1.4577099e-05,1.4577098e-07
655557,0.008586895,6.2373533,100,[ 0.189 -0.065 -0.119 ... -0.322 -0.385 -0.192],90.69,2.264423,0.06237353,0.0057057105,-100.0,-99.0,,-54.858692,-61.2388,9.949874,0.85868955,0.5705711,6800,68,40.298725,2.481468,-99.0,100.0,7208.294,2305.7510895729065,-100.005035,30.628622,,0.001118229,1.118229e-05
664512,0.0046988125,2.2692754,100,[ 0.189 -0.065 -0.119 ... -0.324 -0.385 -0.188],89.55,2.272444,0.022692753,0.0029123614,-100.0,-97.0,,-28.071344,-41.6187,17.058722,0.46988124,0.29123613,6900,69,181.69553,0.5503713,-97.0,100.0,2198.4438,2337.884687900543,-98.005035,27.754112,,0.00036225247,3.6225247e-06
673564,0.005313571,3.4814472,100,[ 0.189 -0.065 -0.119 ... -0.327 -0.394 -0.171],90.52,2.2900915,0.034814473,0.0024766328,-100.0,-96.0,,-24.014362,-35.419563,19.595919,0.5313571,0.2476633,7000,70,128.77779,0.77653146,-96.0,100.0,2867.4717,2372.771941423416,-97.005035,17.847292,,0.0013939664,1.3939663e-05
682496,0.009148908,4.58395,100,[ 0.188 -0.065 -0.12  ... -0.322 -0.36  -0.188],89.32,2.2900555,0.0458395,0.0071507315,-100.0,-98.0,,-69.14416,-72.62835,14.0,0.91489077,0.7150732,7100,71,12.018188,8.320722,-98.0,100.0,8269.208,2408.2259545326233,-99.005035,37.922493,,0.00554654,5.54654e-05
691351,0.006317936,3.6383786,100,[ 0.189 -0.065 -0.12  ... -0.323 -0.359 -0.189],88.55,2.2800102,0.036383785,0.004340317,-100.0,-98.0,,-42.656067,-50.024086,14.0,0.63179356,0.43403175,7200,72,53.744854,1.8606433,-98.0,100.0,4040.6414,2437.7133977413177,-99.005035,32.062744,,0.0008416083,8.416083e-06
700597,0.0036145116,1.6938564,100,[ 0.189 -0.065 -0.119 ... -0.325 -0.367 -0.191],92.46,2.2803435,0.016938563,0.002818845,-100.0,-98.0,,-27.37034,-37.16633,14.0,0.36145115,0.2818845,7300,73,95.00175,1.0526122,-98.0,100.0,1318.7113,2469.747925043106,-99.005035,37.81851,,0.00029567681,2.9567682e-06
709235,0.0039295964,1.7115912,100,[ 0.189 -0.065 -0.12  ... -0.325 -0.368 -0.19 ],86.38,2.2678435,0.017115911,0.002886602,-100.0,-95.0,,-27.294119,-38.06981,21.794495,0.39295962,0.2886602,7400,74,114.9543,0.8699109,-95.0,100.0,1549.2689,2500.676377773285,-96.005035,35.048378,,0.0003473484,3.473484e-06
