MeanIWNorm,MeanEntropy,ReturnMeanIW,InitialReturnMin,InitialBound,EpLenMean,StdIWNorm,EpThisIter,StdIW,EpRewMean,ReturnStepMaxmin,EmpiricalD2,Iteration,Bound,J_sample_variance,EpisodesSoFar,MaxIW,ReturnStepMax,TimestepsSoFar,ESSClassic,InitialReturnMax,MaxIWNorm,TimeElapsed,InitialReturnMean,MinIWNorm,InitialReturnStd,Weights,MinIW,MeanIW,ESSRenyi
0.007776405,2.9374464,-3.4443095,-104.99693,-19.744795,153.23,0.017636027,100,1.7636027,-61.51333030309049,28.013023,16.663086,31,-7.7519226,522.2436,3100,15.426177,100.0,417780,16.277838,28.629744,0.15426177,1159.246426820755,-18.689533,4.3788707e-05,22.176392,[ 0.192  0.133  0.077 ... -0.308  0.142 -0.058],0.0043788706,0.7776405,6.0012894
24.571333,2.9289904,71396.22,-103.02562,-13.776003,177.14,244.4425,100,24444.252,-52.27705295323338,30.245575,75927.16,32,71110.91,509779000000.0,3200,245674.38,100.0,435494,1.0003171,35.012054,2456.7437,1200.866349697113,-12.740558,7.540031e-08,23.669039,[ 0.194  0.133  0.078 ... -0.306  0.137 -0.037],7.5400308e-06,2457.1333,0.0013170518
0.0072319442,2.8611176,-2.6049826,-102.462105,-23.236935,141.46,0.034092262,100,3.4092262,-69.78674531178515,15.208641,22.463892,33,-7.48575,1049.4087,3300,34.052097,100.0,449640,4.3060875,14.60221,0.34052098,1235.0594704151154,-22.207151,1.5582722e-06,20.197542,[ 0.198  0.132  0.08  ... -0.302  0.119 -0.028],0.00015582722,0.7231944,4.451588
1.0583099,2.856707,1465.9684,-35.91078,-6.7684393,158.19,10.448369,100,1044.8369,-51.655979736700566,45.51577,179884.1,34,1312.8936,215927360.0,3400,10501.682,100.0,465459,1.0155371,27.680943,105.016815,1267.7715442180634,-6.407522,7.0398606e-08,13.559006,[ 0.199  0.132  0.081 ... -0.302  0.111 -0.088],7.039861e-06,105.83099,0.00055591355
0.41310433,2.7617154,1298.8767,-62.321815,-13.181747,183.01,4.0719957,100,407.19955,-70.91092383190298,37.161446,149358.78,35,1056.8085,168975070.0,3500,4092.8762,100.0,483760,1.0187273,35.603203,40.92876,1316.777331352234,-12.555389,1.4907664e-07,20.4004,[ 0.198  0.132  0.081 ... -0.304  0.117 -0.098],1.4907665e-05,41.31044,0.0006695288
0.18871619,2.6885037,476.6608,-56.42963,-0.42268074,207.44,1.7901756,100,179.01756,-60.38686998437008,42.76007,76305.21,36,319.9977,21899680.0,3600,1799.7667,100.0,504504,1.0990753,55.603634,17.997667,1373.9371392726898,0.1444585,1.2425809e-08,22.305492,[ 0.197  0.132  0.08  ... -0.304  0.046 -0.122],1.2425809e-06,18.87162,0.0013105265
0.33882397,2.669921,1619.625,-49.503807,-0.7575693,225.31,3.305478,100,330.54788,-60.48499608639087,42.299175,267599.88,37,1304.7405,256963710.0,3700,3322.6775,100.0,527035,1.0397773,60.56559,33.226772,1429.1424415111542,-0.14886215,9.7071165e-08,19.525507,[ 0.195  0.133  0.08  ... -0.303  0.014 -0.163],9.707117e-06,33.8824,0.00037369225
0.12672086,2.7126997,711.9751,-18.784029,12.750063,278.87,1.2215266,100,122.15266,-18.555473256834432,59.648487,14109.137,38,643.6385,49404376.0,3800,1228.0397,100.0,554922,1.064735,57.242783,12.280396,1510.2855894565582,13.325374,4.0951704e-09,16.404844,[ 0.194  0.133  0.079 ... -0.302  0.007 -0.175],4.0951707e-07,12.672088,0.007087606
2.5952802,2.687545,15359.205,-22.859745,16.65252,323.59,25.787292,100,2578.7292,-0.3116593089353169,59.883816,56937930.0,39,10399.799,23575042000.0,3900,25917.557,100.0,587281,1.0027213,65.39528,259.17557,1598.1092042922974,17.309769,1.850792e-10,20.00084,[ 0.195  0.133  0.079 ... -0.303  0.026 -0.152],1.850792e-08,259.528,1.7562985e-06
1.4771979,2.7077963,4992.9565,-29.321913,12.976336,372.75,14.330908,100,1433.091,-4.387682222302698,38.59917,1105603.2,40,4363.5117,2458757000.0,4000,14403.312,100.0,624556,1.0513325,59.562866,144.03311,1693.6490569114685,13.574965,3.568897e-08,18.222454,[ 0.193  0.133  0.078 ... -0.295 -0.026 -0.125],3.5688972e-06,147.71982,9.044836e-05
