EpRewMean,ESSClassic,InitialBound,MaxIWNorm,MinIW,EpisodesSoFar,MeanIW,Bound,ESSRenyi,InitialReturnMin,ReturnStepMaxmin,ReturnStepMax,StdIWNorm,Iteration,TimestepsSoFar,InitialReturnMax,EpThisIter,Weights,MeanIWNorm,MaxIW,EpLenMean,InitialReturnMean,StdIW,MeanEntropy,MinIWNorm,J_sample_variance,ReturnMeanIW,InitialReturnStd,EmpiricalD2,TimeElapsed
-98.0,22.496143,-99.005035,0.03909471,2.2274678e-05,1500,0.30601475,-40.02486,0.92649823,-100.0,,100.0,0.0056800214,15,167171,,100,[-0.152  0.181  0.202 ...  0.112 -0.056 -0.042],0.0030601474,3.9094708,109.68,-98.0,0.5680021,2.736273,2.2274678e-07,3250.5322,-29.583427,14.0,107.93329,508.3395617008209
-99.0,27.122322,-100.005035,0.026515305,0.00088768883,1600,0.25325477,-33.76046,1.2457826,-100.0,,100.0,0.0041513694,16,177447,,100,[-0.151  0.179  0.201 ...  0.108 -0.076 -0.026],0.0025325473,2.6515305,102.76,-99.0,0.41513696,2.754095,8.876888e-06,1736.8405,-24.755926,9.949874,80.27083,540.206830739975
-99.0,33.274483,-100.005035,0.047292255,0.00032597175,1700,0.6198189,-66.52952,2.5316367,-100.0,,100.0,0.0087771835,17,188314,,100,[-0.152  0.18   0.202 ...  0.111 -0.054 -0.029],0.0061981897,4.7292256,108.67,-99.0,0.8777183,2.752128,3.2597175e-06,7683.9727,-60.212944,9.949874,39.500137,577.3722314834595
-100.0,29.208078,-101.005035,0.015932567,0.00087778544,1800,0.21695845,-34.178978,0.6482128,-100.0,100.0,100.0,0.0033776679,18,198376,-100.0,100,[-0.151  0.179  0.201 ...  0.108 -0.062 -0.024],0.0021695844,1.5932568,100.62,-100.0,0.33776677,2.7278006,8.777854e-06,1152.3878,-21.695845,,154.27032,609.9257633686066
-99.0,18.246727,-100.005035,0.05827729,2.605309e-05,1900,0.35140315,-48.422623,0.56683356,-100.0,,100.0,0.007438164,19,208659,,100,[-0.151  0.178  0.2   ...  0.108 -0.108 -0.002],0.0035140314,5.827729,102.83,-99.0,0.74381644,2.727497,2.605309e-07,5592.8057,-35.07344,9.949874,176.41864,641.2227544784546
-96.0,24.977713,-97.005035,0.046738114,0.0001898881,2000,0.40593347,-51.44077,0.7137699,-100.0,,100.0,0.007035155,20,218805,,100,[-0.15   0.178  0.201 ...  0.107 -0.13   0.019],0.0040593348,4.6738114,101.46,-96.0,0.7035155,2.6906924,1.898881e-06,5008.381,-39.544704,19.595919,140.10117,678.7268524169922
-99.0,23.153488,-100.005035,0.048992004,0.000185382,2100,0.3470533,-43.74507,1.1035918,-100.0,,100.0,0.0063226623,21,228776,,100,[-0.151  0.178  0.201 ...  0.104 -0.14  -0.007],0.0034705326,4.8992004,99.71,-99.0,0.6322663,2.6628425,1.85382e-06,4046.5898,-34.178017,9.949874,90.61321,712.4867970943451
-97.0,23.657158,-98.005035,0.029068546,0.00016898567,2200,0.29555166,-44.05964,0.46619746,-100.0,,100.0,0.005309288,22,238769,,100,[-0.151  0.178  0.201 ...  0.105 -0.141 -0.034],0.0029555166,2.9068546,99.93,-97.0,0.53092885,2.6484838,1.6898567e-06,2855.595,-29.339989,17.058722,214.50139,743.8428528308868
-97.0,31.642082,-98.005035,0.035933603,0.0003854051,2300,0.3969481,-47.519432,1.5457627,-100.0,,100.0,0.0058343923,23,249229,,100,[-0.153  0.179  0.201 ...  0.108 -0.132 -0.058],0.003969481,3.5933604,104.6,-97.0,0.5834393,2.6679697,3.8540506e-06,3455.6206,-39.43572,17.058722,64.692986,782.1096322536469
-97.0,23.595112,-98.005035,0.028594522,4.8892052e-05,2400,0.2867184,-36.511536,1.187719,-100.0,,100.0,0.0051594707,24,258571,,100,[-0.153  0.178  0.201 ...  0.105 -0.112 -0.058],0.0028671836,2.8594522,93.42,-97.0,0.5159471,2.611377,4.8892053e-07,2601.9158,-27.289528,17.058722,84.195,813.5146045684814
-98.0,24.715252,-99.005035,0.049390104,0.0011534862,2500,0.38234586,-49.078724,0.8425792,-100.0,,100.0,0.0066730957,25,267789,,100,[-0.154  0.179  0.202 ...  0.107 -0.138 -0.088],0.0038234584,4.9390106,92.18,-98.0,0.6673096,2.6525702,1.1534862e-05,4505.5015,-38.129658,14.0,118.683205,846.4026937484741
-100.0,16.214436,-101.005035,0.07183037,5.7049503e-05,2600,0.3704998,-46.51332,1.1279138,-100.0,100.0,100.0,0.008422125,26,277643,-100.0,100,[-0.155  0.179  0.202 ...  0.111 -0.122 -0.063],0.0037049972,7.183037,98.54,-100.0,0.84221256,2.6474857,5.70495e-07,7164.867,-37.04998,,88.659256,882.0468699932098
-100.0,33.204044,-101.005035,0.0338169,9.935198e-05,2700,0.38259912,-48.19639,1.0230575,-100.0,100.0,100.0,0.0054265466,27,287491,-100.0,100,[-0.155  0.18   0.203 ...  0.115 -0.127 -0.064],0.0038259912,3.3816903,98.48,-100.0,0.5426547,2.6288943,9.935197e-07,2974.4858,-38.25991,,97.74622,912.4627294540405
-98.0,19.355135,-99.005035,0.03740373,0.000112867136,2800,0.31284177,-42.94655,0.66866004,-100.0,,100.0,0.0063857944,28,296989,,100,[-0.156  0.18   0.203 ...  0.11  -0.136 -0.073],0.003128417,3.7403731,94.98,-98.0,0.6385794,2.5798447,1.1286713e-06,4118.685,-30.655762,14.0,149.55283,944.0268843173981
-93.0,50.39596,-94.005035,0.04341259,0.0011140251,2900,0.65806997,-62.15073,3.4332018,-100.0,,100.0,0.0065287906,29,308681,,100,[-0.158  0.181  0.203 ...  0.116 -0.151 -0.107],0.006580701,4.341259,116.92,-93.0,0.6528791,2.6013284,1.1140251e-05,3526.4626,-56.726566,25.514702,29.127329,976.7661867141724
-99.0,52.03095,-100.005035,0.026367584,0.0029332729,3000,0.6400885,-69.28081,3.5966704,-100.0,,100.0,0.00614596,30,319095,,100,[-0.159  0.181  0.203 ...  0.115 -0.14  -0.097],0.006400885,2.6367586,104.14,-99.0,0.614596,2.6191254,2.9332728e-05,3818.9167,-63.981342,9.949874,27.803493,1008.657797574997
-99.0,22.662592,-100.005035,0.056519926,0.00018757832,3100,0.3812564,-47.72309,1.0814815,-100.0,,100.0,0.00704299,31,329808,,100,[-0.159  0.181  0.203 ...  0.117 -0.129 -0.09 ],0.0038125645,5.651993,107.13,-99.0,0.7042991,2.6122923,1.8757831e-06,5015.174,-38.05874,9.949874,92.46576,1043.1668155193329
-94.0,25.672115,-95.005035,0.03186592,0.0001663915,3200,0.31119984,-39.70455,1.1862001,-100.0,,100.0,0.0052952245,32,339770,,100,[-0.158  0.18   0.201 ...  0.113 -0.118 -0.108],0.0031119986,3.1865923,99.62,-94.0,0.5295225,2.6076088,1.663915e-06,2862.0713,-30.47664,23.748684,84.3028,1075.517789363861
-98.0,35.321182,-99.005035,0.021691972,0.0004648354,3300,0.34451827,-42.944336,1.2915769,-100.0,,100.0,0.0046620364,33,350315,,100,[-0.159  0.181  0.202 ...  0.113 -0.143 -0.087],0.003445183,2.1691973,105.45,-98.0,0.4662036,2.6140704,4.6483538e-06,2213.3506,-34.100876,14.0,77.424736,1112.6258256435394
-96.0,32.997513,-97.005035,0.03436582,7.2352654e-05,3400,0.47712967,-54.83815,0.88737607,-100.0,,100.0,0.0067989407,34,361270,,100,[-0.159  0.182  0.202 ...  0.113 -0.151 -0.073],0.004771297,3.436582,109.55,-96.0,0.67989415,2.59863,7.235265e-07,4014.5374,-44.16903,19.595919,112.691795,1146.0946888923645
-95.0,24.446966,-96.005035,0.03536996,0.0017231198,3500,0.3261152,-39.72341,0.80216694,-100.0,,100.0,0.005733033,35,371299,,100,[-0.16   0.182  0.203 ...  0.112 -0.147 -0.092],0.003261152,3.536996,100.29,-95.0,0.57330334,2.6454954,1.7231197e-05,2284.2976,-28.501934,21.794495,124.66233,1174.8168222904205
-93.0,28.706055,-94.005035,0.04007244,0.0026848465,3600,0.36412278,-38.871056,1.255996,-100.0,,100.0,0.0057383543,36,382053,,100,[-0.16   0.182  0.204 ...  0.112 -0.133 -0.06 ],0.0036412277,4.007244,107.54,-93.0,0.57383543,2.6913607,2.6848465e-05,1870.6063,-29.903208,25.514702,79.61809,1210.1827898025513
-97.0,34.482895,-98.005035,0.021410644,0.0009335191,3700,0.28176856,-36.83168,1.0706242,-100.0,,100.0,0.0038838994,37,392569,,100,[-0.16   0.182  0.205 ...  0.115 -0.11  -0.037],0.0028176853,2.1410644,105.16,-97.0,0.38838995,2.6638253,9.335191e-06,1522.0222,-27.118444,17.058722,93.40345,1244.5069403648376
-97.0,27.141523,-98.005035,0.029542327,6.715231e-05,3800,0.35356367,-43.48309,1.459503,-100.0,,100.0,0.0057928264,38,402110,,100,[-0.159  0.182  0.204 ...  0.111 -0.147 -0.027],0.0035356367,2.9542327,95.41,-97.0,0.5792827,2.7004054,6.715231e-07,3401.64,-35.16392,17.058722,68.51647,1278.5223274230957
-97.0,46.526604,-98.005035,0.026914218,0.013804231,3900,0.5674259,-60.076206,3.2775972,-100.0,,100.0,0.0060831327,39,413024,,100,[-1.586e-01  1.818e-01  2.039e-01 ...  1.135e-01 -1.374e-01  6.635e-05],0.0056742593,2.691422,109.14,-97.0,0.6083133,2.7537282,0.0001380423,3692.0884,-54.52478,17.058722,30.510157,1308.5859715938568
-97.0,29.268307,-98.005035,0.043291897,5.7463454e-05,4000,0.502799,-55.808052,1.5210491,-100.0,,100.0,0.007816326,40,423468,,100,[-0.157  0.181  0.204 ...  0.114 -0.105  0.021],0.0050279903,4.32919,104.44,-97.0,0.78163266,2.767625,5.7463456e-07,5811.1753,-47.65893,17.058722,65.744095,1342.4518048763275
-96.0,26.277914,-97.005035,0.042859722,0.003320909,4100,0.39018744,-47.697174,1.0724055,-100.0,,100.0,0.006535467,41,433844,,100,[-0.158  0.182  0.203 ...  0.11  -0.072  0.002],0.0039018744,4.285972,103.76,-96.0,0.6535467,2.8170884,3.320909e-05,4336.1787,-37.992012,19.595919,93.248314,1379.6457734107971
-97.0,18.690392,-98.005035,0.0448817,0.00028010993,4200,0.26482433,-35.2744,1.2891201,-100.0,,100.0,0.005523567,42,443955,,100,[-0.158  0.183  0.205 ...  0.114 -0.059  0.038],0.0026482432,4.48817,101.11,-97.0,0.55235666,2.771267,2.8010993e-06,3084.8542,-26.422516,17.058722,77.572296,1410.8348817825317
-98.0,21.540731,-99.005035,0.04377979,0.00013908444,4300,0.39338288,-47.161846,0.6314781,-100.0,,100.0,0.0075077075,43,453822,,100,[-0.158  0.182  0.204 ...  0.11  -0.082  0.015],0.0039338283,4.3779793,98.67,-98.0,0.75077075,2.8085828,1.3908444e-06,4097.2427,-34.51439,14.0,158.35863,1441.8727617263794
-97.0,31.522863,-98.005035,0.037578505,0.0011569493,4400,0.40188146,-48.55313,1.3529934,-100.0,,100.0,0.005923221,44,462623,,100,[-0.158  0.182  0.204 ...  0.106 -0.042  0.012],0.004018814,3.7578506,88.01,-97.0,0.5923221,2.784076,1.1569493e-05,3558.873,-39.91272,17.058722,73.910194,1474.8029525279999
-91.0,18.244831,-92.005035,0.05484657,0.00011885534,4500,0.42251685,-44.81081,0.5593557,-100.0,,100.0,0.008943997,45,472792,,100,[-0.158  0.181  0.204 ...  0.102 -0.075  0.021],0.0042251684,5.4846573,101.69,-91.0,0.8943998,2.7625875,1.1885534e-06,4930.0737,-31.372694,28.618176,178.77713,1506.5662097930908
-94.0,13.707373,-95.005035,0.07869038,9.2168775e-05,4600,0.3455868,-35.873837,1.1171046,-100.0,,100.0,0.008670955,46,481911,,100,[-0.158  0.181  0.205 ...  0.102 -0.074 -0.001],0.0034558675,7.869038,91.19,-94.0,0.86709565,2.7673578,9.2168773e-07,1840.9546,-26.364822,23.748684,89.51713,1540.0468580722809
-96.0,19.645016,-97.005035,0.030855173,0.00023337465,4700,0.29673836,-40.149048,0.6864764,-100.0,,100.0,0.0060014185,47,492429,,100,[-0.158  0.181  0.205 ...  0.105 -0.06  -0.011],0.0029673832,3.0855174,105.18,-96.0,0.6001419,2.796874,2.3337466e-06,3556.3545,-28.0188,19.595919,145.67143,1576.8019051551819
-92.0,19.774544,-93.005035,0.046488304,0.00022243062,4800,0.3326029,-36.46167,0.6718487,-100.0,,100.0,0.006699291,48,503268,,100,[-0.157  0.182  0.204 ...  0.104 -0.096  0.055],0.0033260286,4.6488304,108.39,-92.0,0.66992915,2.8136,2.2243062e-06,2296.663,-24.200085,27.12932,148.84303,1609.3863110542297
-96.0,23.45666,-97.005035,0.041717045,1.0029065e-05,4900,0.40421647,-53.38124,0.5400331,-100.0,,100.0,0.007301878,49,513464,,100,[-0.156  0.182  0.204 ...  0.102 -0.092  0.068],0.0040421644,4.171705,101.96,-96.0,0.73018783,2.8202662,1.0029065e-07,5407.0024,-39.704826,19.595919,185.17384,1643.0321185588837
-94.0,32.339527,-95.005035,0.027055796,0.00090017763,5000,0.33988625,-43.3024,0.79351634,-100.0,,100.0,0.004916253,50,522785,,100,[-0.156  0.181  0.204 ...  0.099 -0.095  0.077],0.0033988624,2.7055798,93.21,-94.0,0.4916253,2.802678,9.001777e-06,2340.1611,-32.01992,23.748684,126.02135,1679.9387454986572
-94.0,16.918024,-95.005035,0.056818094,0.00024198787,5100,0.36907417,-34.990498,1.2699816,-100.0,,100.0,0.008178851,51,531914,,100,[-0.156  0.181  0.204 ...  0.094 -0.145  0.11 ],0.0036907417,5.6818094,91.29,-94.0,0.81788504,2.7599857,2.4198787e-06,2356.9346,-26.072165,23.748684,78.741295,1718.5825626850128
-94.0,18.676344,-95.005035,0.037165783,0.000661184,5200,0.27487254,-35.142277,1.3781538,-100.0,,100.0,0.005735798,52,541346,,100,[-0.156  0.18   0.204 ...  0.094 -0.125  0.047],0.0027487255,3.7165782,94.32,-94.0,0.5735798,2.6847844,6.61184e-06,3346.0906,-26.581099,23.748684,72.560844,1750.8186042308807
-91.0,29.005974,-92.005035,0.019665211,0.00046513052,5300,0.27812934,-37.420742,0.8544516,-100.0,,100.0,0.00435125,53,550689,,100,[-0.156  0.18   0.204 ...  0.09  -0.148 -0.005],0.0027812934,1.9665211,93.43,-91.0,0.435125,2.6921313,4.651305e-06,1949.2576,-26.54801,28.618176,117.034134,1787.5027034282684
-97.0,6.4219384,-98.005035,0.2175116,0.00020668672,5400,0.58148456,-47.495842,0.66827613,-100.0,,100.0,0.022196887,54,559474,,100,[-0.156  0.18   0.205 ...  0.09  -0.135 -0.011],0.0058148447,21.75116,87.85,-97.0,2.2196887,2.6779623,2.0668672e-06,4001.006,-35.201523,17.058722,149.63875,1825.7372152805328
-92.0,8.182127,-93.005035,0.14769284,0.00034007063,5500,0.45182678,-37.406506,0.7341417,-100.0,,100.0,0.015135697,55,568516,,100,[-0.156  0.18   0.205 ...  0.088 -0.157 -0.003],0.0045182677,14.769285,90.42,-92.0,1.5135697,2.6661966,3.4007062e-06,1862.276,-25.676657,27.12932,136.21349,1858.9108202457428
-94.0,18.58118,-95.005035,0.058643382,0.00041606824,5600,0.38883772,-42.660606,0.82442474,-100.0,,100.0,0.008139433,56,577126,100.0,100,[-0.156  0.18   0.205 ...  0.085 -0.18   0.009],0.0038883768,5.8643384,86.1,-94.0,0.81394327,2.6640482,4.1606822e-06,3630.7766,-31.591646,27.64055,121.2967,1887.7570910453796
-91.0,27.728338,-92.005035,0.015032573,0.00012493134,5700,0.2005575,-33.142,0.45732576,-100.0,,100.0,0.0032378817,57,586104,,100,[-0.156  0.18   0.205 ...  0.083 -0.187  0.013],0.0020055745,1.5032573,89.78,-91.0,0.32378817,2.6306646,1.2493133e-06,1025.9226,-18.280262,28.618176,218.66252,1920.402705192566
-89.0,42.43778,-90.005035,0.045799226,0.015998252,5800,0.62894815,-53.6633,9.512754,-100.0,,100.0,0.007324993,58,595404,,100,[-0.156  0.18   0.204 ...  0.079 -0.202 -0.005],0.006289482,4.5799227,93.0,-89.0,0.7324993,2.5917387,0.00015998252,3399.7002,-50.404713,31.288975,10.512202,1954.8917231559753
-96.0,23.76847,-97.005035,0.032031454,0.0006179742,5900,0.3351777,-45.52374,0.6811878,-100.0,,100.0,0.006002633,59,604798,,100,[-0.156  0.18   0.204 ...  0.077 -0.236 -0.011],0.0033517769,3.2031455,93.94,-96.0,0.6002633,2.595653,6.179742e-06,3649.8633,-33.346497,19.595919,146.8024,1995.5346448421478
-89.0,21.041689,-90.005035,0.054328613,0.00081687735,6000,0.3423583,-36.03573,0.85063666,-100.0,,100.0,0.006631923,60,614065,,100,[-0.155  0.18   0.204 ...  0.078 -0.219 -0.023],0.003423583,5.4328613,92.67,-89.0,0.6631923,2.5956452,8.168773e-06,1774.2418,-25.138645,31.288975,117.559006,2031.7752454280853
-94.0,21.90692,-95.005035,0.03334733,0.0011116945,6100,0.35190925,-47.472153,0.5008494,-100.0,,100.0,0.0066442555,61,622960,,100,[-0.155  0.179  0.205 ...  0.082 -0.198 -0.045],0.0035190925,3.3347332,88.95,-94.0,0.6644256,2.6154668,1.1116945e-05,4417.919,-33.27083,23.748684,199.6608,2065.266361951828
-90.0,28.524532,-91.005035,0.03839215,0.00016839863,6200,0.42329597,-43.340496,1.8223412,-100.0,,100.0,0.0067005954,62,632158,,100,[-0.155  0.179  0.204 ...  0.081 -0.182 -0.041],0.0042329594,3.8392148,91.98,-90.0,0.67005956,2.5576134,1.6839863e-06,3783.056,-35.895447,30.0,54.874466,2097.758939743042
-94.0,28.090956,-95.005035,0.024222001,0.0004871359,6300,0.27937594,-38.451378,0.7937877,-100.0,,100.0,0.0044698967,63,640777,,100,[-0.155  0.179  0.204 ...  0.082 -0.195 -0.085],0.0027937593,2.4222002,86.19,-94.0,0.4469897,2.5673985,4.8713587e-06,2037.2947,-27.170828,23.748684,125.978264,2132.002011537552
-85.0,17.650202,-86.005035,0.054935236,0.0001215773,6400,0.3490042,-33.16874,0.93043524,-100.0,,100.0,0.007538537,64,649261,100.0,100,[-0.156  0.179  0.205 ...  0.084 -0.192 -0.078],0.0034900424,5.4935236,84.84,-85.0,0.75385374,2.5505424,1.215773e-06,2318.8699,-22.749422,38.405727,107.476585,2165.378078222275
-94.0,27.607586,-95.005035,0.049208593,0.0008901672,6500,0.43261674,-43.802525,3.7357287,-100.0,,100.0,0.007005443,65,658372,,100,[-0.157  0.179  0.205 ...  0.081 -0.182 -0.106],0.0043261675,4.9208593,91.11,-94.0,0.7005443,2.4899812,8.901672e-06,4789.9434,-38.602627,23.748684,26.76854,2197.8548917770386
-92.0,15.760788,-93.005035,0.049828596,0.000988794,6600,0.3434526,-43.681522,0.79419047,-100.0,,100.0,0.007940264,66,668063,,100,[-0.156  0.179  0.205 ...  0.077 -0.219 -0.129],0.003434526,4.9828596,96.91,-92.0,0.79402655,2.5001922,9.88794e-06,6416.2925,-32.403835,27.12932,125.91438,2231.9535777568817
-96.0,31.764742,-97.005035,0.030197786,0.0019312018,6700,0.4144149,-47.290993,1.8200797,-100.0,,100.0,0.0060738926,67,676731,,100,[-0.156  0.179  0.205 ...  0.077 -0.205 -0.132],0.004144149,3.0197787,86.68,-96.0,0.6073893,2.5919938,1.9312018e-05,3787.1367,-39.84132,19.595919,54.94265,2267.1148312091827
-85.0,21.582712,-86.005035,0.04195939,7.8162666e-05,6800,0.32288063,-38.198074,0.57529587,-100.0,,100.0,0.00615453,68,686165,100.0,100,[-0.156  0.18   0.204 ...  0.078 -0.16  -0.086],0.0032288067,4.195939,94.34,-85.0,0.615453,2.5509732,7.816266e-07,2181.4707,-24.94744,38.405727,173.82361,2304.3104536533356
-92.0,3.8426511,-93.005035,0.28115615,0.00056761067,6900,0.56479335,-38.093647,0.7527178,-100.0,,100.0,0.02825305,69,695156,,100,[-0.156  0.18   0.205 ...  0.078 -0.22  -0.066],0.005647933,28.115616,89.91,-92.0,2.825305,2.5046396,5.6761064e-06,3201.4846,-26.509441,27.12932,132.85191,2338.2962918281555
-91.0,28.990086,-92.005035,0.019550143,0.0003558837,7000,0.27779385,-32.33206,0.88060397,-100.0,,100.0,0.0043476773,70,704418,,100,[-0.156  0.18   0.205 ...  0.079 -0.236 -0.098],0.0027779383,1.9550143,92.62,-91.0,0.43476775,2.5224004,3.558837e-06,1531.0587,-21.621998,28.618176,113.558426,2373.2887678146362
-91.0,28.116003,-92.005035,0.026395606,0.0011018856,7100,0.34519485,-44.161682,0.9586845,-100.0,,100.0,0.0055195494,71,713305,,100,[-0.155  0.18   0.205 ...  0.085 -0.199 -0.117],0.0034519488,2.6395607,88.87,-91.0,0.5519549,2.5156765,1.1018856e-05,3110.9443,-33.897022,28.618176,104.3096,2404.7808339595795
-91.0,23.886019,-92.005035,0.028412871,0.0001801255,7200,0.28307208,-33.538105,0.7833348,-100.0,,100.0,0.0050530946,72,722785,,100,[-0.156  0.18   0.204 ...  0.089 -0.194 -0.128],0.0028307207,2.8412871,94.8,-91.0,0.50530946,2.494334,1.8012549e-06,1569.0032,-22.18254,28.618176,127.65933,2438.9899706840515
-93.0,28.339277,-94.005035,0.031038849,6.253758e-05,7300,0.3864526,-44.559906,0.8410805,-100.0,,100.0,0.006145291,73,733037,,100,[-0.156  0.18   0.204 ...  0.092 -0.177 -0.166],0.0038645258,3.103885,102.52,-93.0,0.61452913,2.4592407,6.2537583e-07,3383.516,-33.60109,25.514702,118.894684,2469.029660463333
-93.0,25.275066,-94.005035,0.02653411,0.0003626659,7400,0.18916412,-24.31813,0.97337854,-100.0,,100.0,0.0032525605,74,743160,,100,[-0.156  0.181  0.205 ...  0.097 -0.192 -0.186],0.0018916412,2.6534111,101.23,-93.0,0.32525605,2.4259822,3.6266588e-06,357.59546,-14.131244,25.514702,102.734955,2507.6146602630615
-90.0,29.971994,-91.005035,0.023028512,0.00040373625,7500,0.26796228,-34.507523,0.7764271,-100.0,,100.0,0.004095922,75,753193,,100,[-0.157  0.181  0.205 ...  0.095 -0.207 -0.204],0.0026796227,2.3028512,100.33,-90.0,0.40959224,2.4450634,4.0373625e-06,1264.9956,-23.101557,30.0,128.79509,2541.5977277755737
-94.0,17.137115,-95.005035,0.03599892,0.0004312987,7600,0.24182,-39.055832,0.43661124,-100.0,,100.0,0.005317449,76,763180,,100,[-0.156  0.181  0.205 ...  0.098 -0.201 -0.192],0.0024181998,3.5998924,99.87,-94.0,0.5317449,2.4519005,4.3129867e-06,2869.5945,-23.84563,23.748684,229.03671,2577.8089549541473
