EpLenMean,ReturnStepMaxmin,StdIW,EpRewMean,MaxIW,ESSClassic,InitialBound,J_sample_variance,StdIWNorm,EmpiricalD2,Bound,ReturnStepMax,MinIW,InitialReturnMean,InitialReturnMax,MeanIWNorm,ReturnMeanIW,MeanIW,MaxIWNorm,TimeElapsed,MeanEntropy,EpThisIter,InitialReturnStd,MinIWNorm,Iteration,EpisodesSoFar,ESSRenyi,Weights,InitialReturnMin,TimestepsSoFar
119.68,,0.524546,-99.0,3.5669827,26.64141,-100.005035,2789.249,0.00524546,83.77902,-40.482254,100.0,0.00011564049,-99.0,,0.0031610888,-31.283056,0.31610888,0.035669826,792.6094679832458,2.847477,100,9.949874,1.1564049e-06,22,2200,1.1936163,[ 0.185  0.134  0.075 ... -0.324  0.019 -0.01 ],-100.0,263339
124.57,,0.5158624,-99.0,2.4672744,39.29275,-100.005035,2703.8125,0.0051586237,42.330578,-47.74869,100.0,0.00071260927,-99.0,,0.004150208,-41.20972,0.4150208,0.024672743,834.188146352768,2.8398304,100,9.949874,7.1260924e-06,23,2300,2.3623586,[ 0.184  0.135  0.075 ... -0.322  0.014 -0.004],-100.0,275796
113.28,,0.93489015,-99.0,7.972992,16.292347,-100.005035,8844.51,0.0093489,174.79785,-54.222313,100.0,0.00016249473,-99.0,,0.0041244864,-40.934593,0.41244859,0.079729915,876.2819488048553,2.8192673,100,9.949874,1.6249473e-06,24,2400,0.57208943,[ 0.184  0.135  0.076 ... -0.318  0.013 -0.011],-100.0,287124
120.76,100.0,0.68996507,-100.0,5.076841,16.593485,-101.005035,4808.6035,0.0068996507,167.1315,-43.76791,100.0,0.00089225336,-100.0,-100.0,0.0030774844,-30.774847,0.30774847,0.05076841,910.6787226200104,2.8203094,100,,8.922533e-06,25,2500,0.5983313,[ 0.184  0.134  0.076 ... -0.319  0.014 -0.032],-100.0,299200
115.17,,0.77253866,-99.0,3.8683217,39.234283,-100.005035,5633.4155,0.0077253873,38.97142,-65.67404,100.0,0.0026218444,-99.0,,0.0062076002,-59.399883,0.6207601,0.038683217,947.0094556808472,2.8292296,100,9.949874,2.6218444e-05,26,2600,2.565983,[ 0.185  0.134  0.076 ... -0.318  0.012 -0.03 ],-100.0,310717
113.07,,0.60089624,-98.0,4.5468197,36.26952,-99.005035,3678.3293,0.006008962,57.84749,-51.961487,100.0,0.0023397112,-98.0,,0.0045331153,-44.317417,0.45331153,0.045468196,978.7614183425903,2.8591967,100,14.0,2.3397111e-05,27,2700,1.7286835,[ 0.184  0.134  0.076 ... -0.318  0.033 -0.041],-100.0,322024
119.29,100.0,0.61042804,-100.0,3.492817,30.403292,-101.005035,3763.8628,0.0061042807,130.74225,-51.83786,100.0,0.00023106085,-100.0,-100.0,0.0040345998,-40.345997,0.40345997,0.03492817,1014.4711716175079,2.8663495,100,,2.3106086e-06,28,2800,0.7648637,[ 0.184  0.134  0.076 ... -0.317  0.051 -0.03 ],-100.0,333953
107.68,,0.67748845,-99.0,3.9506702,25.832624,-100.005035,4641.444,0.006774885,139.03825,-51.763954,100.0,0.00073139893,-99.0,,0.0039983406,-39.9131,0.39983404,0.0395067,1052.001552581787,2.8934593,100,9.949874,7.313989e-06,29,2900,0.71922654,[ 0.185  0.134  0.077 ... -0.317  0.063 -0.034],-100.0,344721
120.8,,0.48726398,-99.0,2.5352428,30.351086,-100.005035,2403.8208,0.0048726397,129.2316,-43.488846,100.0,0.0017111849,-99.0,,0.0032165793,-32.06357,0.3216579,0.025352428,1089.85901761055,2.933417,100,9.949874,1.7111848e-05,30,3000,0.77380455,[ 0.185  0.134  0.077 ... -0.319  0.061 -0.005],-100.0,356801
115.35,,0.45323527,-95.0,2.7286334,27.40266,-96.005035,2083.6619,0.004532353,226.25706,-42.79118,100.0,0.00056742906,-95.0,,0.00278458,-27.673557,0.278458,0.027286334,1123.4262948036194,2.9120963,100,21.794495,5.6742906e-06,31,3100,0.44197515,[ 0.185  0.134  0.077 ... -0.319  0.071  0.025],-100.0,368336
123.13,100.0,0.5238443,-100.0,3.315529,25.725117,-101.005035,2771.8472,0.005238443,69.964966,-39.235676,100.0,0.00013087399,-100.0,-100.0,0.003082903,-30.829031,0.30829033,0.03315529,1162.1739780902863,2.8995104,100,,1.3087399e-06,32,3200,1.4292867,[ 0.185  0.134  0.076 ... -0.32   0.055  0.019],-100.0,380649
120.54,,0.43173546,-97.0,2.5344796,32.159653,-98.005035,1898.7386,0.0043173544,243.19746,-44.94561,100.0,4.5847755e-06,-97.0,,0.002972551,-29.272259,0.29725513,0.025344796,1199.3413724899292,2.902522,100,17.058722,4.5847756e-08,33,3300,0.4111885,[ 0.185  0.134  0.077 ... -0.318  0.069 -0.008],-100.0,392703
119.97,,0.35832882,-99.0,2.087436,35.35507,-100.005035,1297.7358,0.0035832883,248.71165,-42.334885,100.0,0.0012997186,-99.0,,0.0026499657,-26.484842,0.2649966,0.020874359,1234.253749847412,2.918011,100,9.949874,1.2997186e-05,34,3400,0.40207204,[ 0.185  0.134  0.076 ... -0.319  0.072 -0.007],-100.0,404700
111.23,100.0,0.7496135,-100.0,3.9493604,26.623507,-101.005035,5675.9634,0.0074961344,138.05595,-56.962425,100.0,0.0010509123,-100.0,-100.0,0.0045153503,-45.15351,0.4515351,0.0394936,1270.2013363838196,2.9162216,100,,1.0509123e-05,35,3500,0.724344,[ 1.844e-01  1.345e-01  7.618e-02 ... -3.190e-01  8.056e-02 -3.155e-04],-100.0,415823
111.48,,0.7485609,-97.0,3.6445596,28.68749,-98.005035,5362.272,0.007485609,48.728226,-51.764626,100.0,0.0011764874,-97.0,,0.0047477796,-44.748898,0.474778,0.036445595,1305.2533540725708,2.9374585,100,17.058722,1.1764874e-05,36,3600,2.0521986,[ 0.185  0.135  0.076 ... -0.318  0.087 -0.009],-100.0,426971
105.59,,0.509725,-99.0,2.1971288,25.550077,-100.005035,2625.0818,0.0050972495,121.15165,-40.912186,100.0,0.00022970788,-99.0,,0.0029860688,-29.849844,0.2986069,0.021971287,1342.0494561195374,2.9060426,100,9.949874,2.2970787e-06,37,3700,0.8254118,[ 0.185  0.135  0.076 ... -0.318  0.095  0.004],-100.0,437530
111.03,,0.5494253,-98.0,3.7914279,18.248253,-99.005035,3053.5159,0.005494253,226.01564,-40.97621,100.0,0.000106060215,-98.0,,0.0025957972,-25.866655,0.25957975,0.037914276,1381.1098325252533,2.8786943,100,14.0,1.0606021e-06,38,3800,0.44244725,[ 0.184  0.135  0.076 ... -0.319  0.087 -0.019],-100.0,448633
105.64,,0.50585854,-94.0,3.028726,22.573866,-95.005035,2597.915,0.0050585847,151.41032,-39.358948,100.0,0.0009105337,-94.0,,0.0027314182,-26.99207,0.27314186,0.03028726,1414.9695830345154,2.8487144,100,23.748684,9.105337e-06,39,3900,0.66045696,[ 0.185  0.135  0.076 ... -0.316  0.089 -0.049],-100.0,459197
112.29,,0.9043378,-98.0,4.773602,29.064962,-99.005035,7538.747,0.009043377,51.85685,-61.72017,100.0,0.0033507496,-98.0,,0.0057887547,-54.482723,0.5788755,0.04773602,1449.8454768657684,2.8359377,100,14.0,3.3507495e-05,40,4000,1.9283856,[ 0.184  0.135  0.076 ... -0.318  0.064 -0.053],-100.0,470426
112.33,,0.71007127,-98.0,4.908872,32.80614,-99.005035,5039.7183,0.007100712,114.997536,-58.16724,100.0,0.0015333616,-98.0,,0.0049615195,-47.389526,0.49615195,0.04908872,1484.9449198246002,2.856571,100,14.0,1.5333615e-05,41,4100,0.86958385,[ 0.185  0.135  0.076 ... -0.318  0.057 -0.059],-100.0,481659
118.96,,0.8927808,-97.0,6.008304,22.004786,-98.005035,6060.825,0.008927808,154.5557,-53.612846,100.0,0.00041794553,-97.0,,0.0047420855,-41.118176,0.4742086,0.06008304,1519.1733253002167,2.8819766,100,17.058722,4.179455e-06,42,4200,0.6470159,[ 0.184  0.135  0.075 ... -0.319  0.057 -0.038],-100.0,493555
113.27,,0.6498117,-98.0,4.5512443,33.656918,-99.005035,4303.8643,0.006498117,98.92729,-55.26727,100.0,0.0004197448,-98.0,,0.0046283584,-45.270943,0.46283576,0.04551244,1550.5893201828003,2.893411,100,14.0,4.197448e-06,43,4300,1.0108434,[ 0.183  0.135  0.075 ... -0.323  0.081 -0.037],-100.0,504882
109.71,,0.6157451,-96.0,3.0477986,28.254711,-97.005035,3218.606,0.006157452,78.165924,-42.038456,100.0,0.00041211405,-96.0,,0.0038641118,-33.152767,0.38641122,0.030477986,1583.6602959632874,2.8249018,100,19.595919,4.1211406e-06,44,4400,1.2793299,[ 0.183  0.135  0.075 ... -0.325  0.096 -0.04 ],-100.0,515853
118.03,,0.51518846,-97.0,2.3342073,33.912315,-98.005035,2309.5364,0.0051518846,77.03437,-43.182755,100.0,3.8331335e-05,-97.0,,0.003690495,-34.361614,0.3690495,0.023342073,1618.6976006031036,2.8261828,100,17.058722,3.8331333e-07,45,4500,1.2981218,[ 0.184  0.135  0.075 ... -0.33   0.068 -0.081],-100.0,527656
132.61,,0.54994804,-98.0,2.8783624,35.04449,-99.005035,2843.7295,0.0054994803,89.7583,-47.509903,100.0,1.124484e-05,-98.0,,0.0040394617,-37.988087,0.4039462,0.028783623,1660.2962732315063,2.812443,100,14.0,1.124484e-07,46,4600,1.1141031,[ 0.183  0.135  0.074 ... -0.332  0.083 -0.094],-100.0,540917
136.49,,0.7055891,-93.0,5.257246,21.777866,-94.005035,4140.489,0.007055891,81.31231,-40.524174,100.0,0.0002590307,-93.0,100.0,0.0037230144,-31.46141,0.37230146,0.05257246,1695.6254754066467,2.8005984,100,29.171904,2.5903068e-06,47,4700,1.2298261,[ 0.182  0.135  0.074 ... -0.335  0.091 -0.116],-100.0,554566
117.0,,0.56713057,-97.0,3.3820472,31.346207,-98.005035,2155.631,0.005671305,111.63225,-43.80363,100.0,0.00025722408,-97.0,,0.0038321575,-33.184788,0.38321573,0.033820473,1730.5058543682098,2.8242078,100,17.058722,2.5722406e-06,48,4800,0.8957985,[ 0.182  0.135  0.074 ... -0.333  0.083 -0.12 ],-100.0,566266
115.89,,0.5215672,-93.0,2.5738652,43.579056,-94.005035,2058.6252,0.005215672,67.8754,-45.984985,100.0,0.0005171393,-93.0,,0.004583835,-37.704826,0.45838356,0.025738651,1763.8168759346008,2.8330815,100,25.514702,5.1713932e-06,49,4900,1.4732879,[ 0.182  0.136  0.073 ... -0.336  0.09  -0.104],-100.0,577855
128.81,,0.5925362,-99.0,2.8854122,34.4453,-100.005035,3560.24,0.0059253625,78.64355,-51.652874,100.0,0.00036332276,-99.0,,0.0042951466,-42.740078,0.42951465,0.028854122,1806.865418434143,2.817131,100,9.949874,3.6332276e-06,50,5000,1.2715602,[ 0.183  0.135  0.073 ... -0.338  0.101 -0.105],-100.0,590736
118.2,,1.2983592,-94.0,11.202557,23.080381,-95.005035,5654.2114,0.012983591,16.036701,-60.57882,100.0,0.0016195211,-94.0,,0.007112098,-56.554058,0.7112099,0.11202557,1843.7735710144043,2.8254786,100,23.748684,1.619521e-05,51,5100,6.2356963,[ 0.183  0.135  0.074 ... -0.337  0.095 -0.116],-100.0,602556
130.92,,0.8170152,-96.0,5.089302,33.47699,-97.005035,4737.3955,0.008170151,15.540182,-56.347015,100.0,0.00011764195,-96.0,,0.005795852,-52.38505,0.57958525,0.05089302,1883.6330409049988,2.776085,100,19.595919,1.1764195e-06,52,5200,6.434931,[ 0.183  0.135  0.074 ... -0.338  0.082 -0.094],-100.0,615648
128.27,,0.683835,-91.0,4.586789,19.12962,-92.005035,2461.2502,0.00683835,76.95078,-32.650433,100.0,0.000687575,-91.0,,0.0033259043,-23.83408,0.33259046,0.04586789,1921.6359956264496,2.746091,100,28.618176,6.87575e-06,53,5300,1.2995319,[ 0.183  0.135  0.074 ... -0.334  0.073 -0.134],-100.0,628475
121.45,,0.82354534,-96.0,6.0446134,21.303984,-97.005035,6881.5884,0.008235455,121.9011,-52.607944,100.0,0.0012762796,-96.0,,0.0042849095,-41.51144,0.42849094,0.060446132,1956.253837108612,2.7400043,100,19.595919,1.2762795e-05,54,5400,0.8203371,[ 0.184  0.135  0.075 ... -0.333  0.062 -0.154],-100.0,640620
121.56,,0.7839753,-99.0,5.1426253,32.666718,-100.005035,6209.851,0.007839753,65.50707,-62.725735,100.0,9.103904e-05,-99.0,,0.005460599,-54.591316,0.54605985,0.05142625,1996.1017949581146,2.7604647,100,9.949874,9.103903e-07,55,5500,1.5265527,[ 0.184  0.135  0.075 ... -0.333  0.059 -0.157],-100.0,652776
110.74,,0.6542434,-95.0,3.22889,27.163101,-96.005035,3961.7012,0.006542434,76.41988,-44.658173,100.0,0.0010442542,-95.0,,0.003995336,-35.872288,0.39953363,0.032288898,2029.053136587143,2.7530234,100,21.794495,1.0442542e-05,56,5600,1.30856,[ 0.184  0.135  0.075 ... -0.332  0.051 -0.128],-100.0,663850
122.13,,0.50971997,-94.0,2.7092686,50.884003,-95.005035,2726.0618,0.0050971997,29.933056,-55.455025,100.0,0.004374006,-94.0,,0.0051881294,-49.956352,0.51881295,0.027092686,2064.242548942566,2.779293,100,23.748684,4.3740056e-05,57,5700,3.3407881,[ 0.184  0.135  0.075 ... -0.334  0.048 -0.132],-100.0,676063
122.19,,1.0498327,-98.0,9.256132,29.006508,-99.005035,11212.751,0.010498327,11.598693,-69.356155,100.0,0.00086560607,-98.0,,0.0067105563,-65.93331,0.6710556,0.09256132,2093.9864938259125,2.7775302,100,14.0,8.65606e-06,58,5800,8.621661,[ 0.185  0.135  0.075 ... -0.332  0.063 -0.122],-100.0,688282
120.22,,0.49723613,-91.0,3.099401,28.809652,-92.005035,2338.9053,0.0049723615,56.514984,-34.863297,100.0,0.0010028703,-91.0,,0.0031631598,-27.307777,0.31631598,0.03099401,2127.7064242362976,2.7863743,100,28.618176,1.00287025e-05,59,5900,1.7694422,[ 0.185  0.135  0.075 ... -0.332  0.069 -0.129],-100.0,700304
115.24,,0.8373847,-96.0,6.992837,17.453718,-97.005035,7095.8496,0.008373848,143.18636,-49.141808,100.0,0.00089454954,-96.0,,0.003850528,-37.115475,0.3850528,0.06992837,2162.932899236679,2.7599514,100,19.595919,8.945495e-06,60,6000,0.69839054,[ 0.185  0.135  0.076 ... -0.329  0.057 -0.109],-100.0,711828
110.19,,0.67686975,-93.0,4.283788,23.958189,-94.005035,3128.5378,0.0067686974,139.66133,-44.581276,100.0,0.00016600871,-93.0,,0.0037993202,-32.7039,0.379932,0.04283788,2193.814160823822,2.7482352,100,25.514702,1.6600872e-06,61,6100,0.7160178,[ 0.185  0.135  0.075 ... -0.33   0.048 -0.126],-100.0,722847
111.76,,2.5076017,-90.0,23.552605,9.36695,-91.005035,9671.693,0.025076017,83.23773,-58.357315,100.0,0.0007920917,-90.0,,0.008061472,-49.18788,0.80614716,0.23552604,2229.9718635082245,2.7725585,100,30.0,7.920917e-06,62,6200,1.2013782,[ 0.185  0.135  0.076 ... -0.328  0.041 -0.13 ],-100.0,734023
102.32,,1.398555,-90.0,13.081955,10.039759,-91.005035,2388.0996,0.013985549,112.26601,-37.803104,100.0,0.002105206,-90.0,,0.00467214,-27.15416,0.46721402,0.13081954,2264.2470514774323,2.7732182,100,30.0,2.105206e-05,63,6300,0.8907416,[ 0.186  0.135  0.077 ... -0.327  0.052 -0.117],-100.0,744255
104.26,,0.8316044,-89.0,4.4247704,25.102419,-90.005035,5409.947,0.008316045,90.28042,-48.757927,100.0,0.0012261214,-89.0,,0.004814384,-39.20846,0.4814384,0.0442477,2298.3334357738495,2.7536747,100,31.288975,1.2261215e-05,64,6400,1.1076599,[ 0.186  0.135  0.077 ... -0.326  0.063 -0.128],-100.0,754681
95.88,,0.897091,-98.0,4.799659,31.45383,-99.005035,6422.42,0.00897091,30.286474,-59.486195,100.0,0.0005161056,-98.0,,0.0060768933,-53.955154,0.6076894,0.047996588,2329.9855864048004,2.7538517,100,14.0,5.161056e-06,65,6500,3.3018038,[ 0.185  0.135  0.077 ... -0.324  0.046 -0.13 ],-100.0,764269
97.48,,0.73654234,-94.0,4.550689,13.57876,-95.005035,5465.3,0.0073654233,96.68831,-37.72796,100.0,8.76376e-05,-94.0,,0.0029195612,-27.845402,0.2919561,0.04550689,2365.9575939178467,2.7185707,100,23.748684,8.7637596e-07,66,6600,1.0342512,[ 0.186  0.135  0.077 ... -0.323  0.049 -0.134],-100.0,774017
106.56,,0.47439763,-95.0,3.1138349,22.02944,-96.005035,2199.4248,0.004743976,208.28253,-37.960228,100.0,0.00019318952,-95.0,,0.0025216157,-23.455526,0.2521616,0.031138347,2397.618814229965,2.718764,100,21.794495,1.9318952e-06,67,6700,0.48011708,[ 0.185  0.135  0.076 ... -0.325  0.055 -0.175],-100.0,784673
108.64,,0.515721,-91.0,4.0497403,25.907326,-92.005035,2663.85,0.0051572104,227.59317,-43.18659,100.0,4.1947686e-05,-91.0,,0.0030495692,-28.024395,0.3049569,0.040497404,2433.4784123897552,2.6970847,100,28.618176,4.1947683e-07,68,6800,0.4393805,[ 0.185  0.135  0.077 ... -0.323  0.054 -0.173],-100.0,795537
102.45,,0.49627897,-94.0,2.768191,20.043827,-95.005035,2156.5203,0.00496279,215.26227,-36.150993,100.0,0.00056169723,-94.0,,0.0024847928,-21.405262,0.2484793,0.02768191,2464.495851278305,2.6965528,100,23.748684,5.6169724e-06,69,6900,0.4645496,[ 0.185  0.134  0.077 ... -0.322  0.039 -0.179],-100.0,805782
96.23,,0.94714075,-92.0,7.288387,22.101927,-93.005035,8574.052,0.009471407,13.715754,-47.127243,100.0,0.00898294,-92.0,,0.00504506,-43.405106,0.50450593,0.07288387,2501.4583818912506,2.6825912,100,27.12932,8.9829395e-05,70,7000,7.2908864,[ 0.186  0.135  0.077 ... -0.322  0.048 -0.189],-100.0,815405
114.04,,3.390405,-91.0,34.167904,6.4430275,-92.005035,2775.0227,0.03390405,52.7463,-54.59218,100.0,0.00047979993,-91.0,,0.0088973055,-47.292927,0.8897305,0.34167904,2537.9173035621643,2.6963747,100,28.618176,4.7979993e-06,71,7100,1.8958676,[ 0.185  0.135  0.076 ... -0.323  0.041 -0.196],-100.0,826809
115.1,,0.59748,-94.0,3.9561896,22.052752,-95.005035,3371.3516,0.0059748,83.10728,-38.694374,100.0,0.001483607,-94.0,,0.0031780037,-29.532131,0.31780037,0.039561894,2571.9495549201965,2.723901,100,23.748684,1.483607e-05,72,7200,1.2032641,[ 0.185  0.135  0.076 ... -0.323  0.055 -0.196],-100.0,838319
110.43,,0.50527364,-96.0,2.7808988,29.585949,-97.005035,2600.659,0.0050527365,110.19919,-42.587536,100.0,0.0012667981,-96.0,,0.0032752138,-32.03707,0.3275214,0.027808987,2607.5271501541138,2.7235844,100,19.595919,1.2667981e-05,73,7300,0.9074477,[ 0.185  0.135  0.077 ... -0.322  0.059 -0.173],-100.0,849362
109.57,,0.8932144,-91.0,6.5774174,25.706285,-92.005035,6999.3906,0.008932143,82.45228,-51.822098,100.0,0.00057611143,-91.0,,0.0052541117,-42.69603,0.5254112,0.06577417,2643.045369386673,2.7430658,100,28.618176,5.761114e-06,74,7400,1.2128228,[ 0.185  0.135  0.077 ... -0.322  0.07  -0.184],-100.0,860319
106.0,,0.7073824,-92.0,3.519102,39.637817,-93.005035,4926.6035,0.0070738243,33.53487,-58.528736,100.0,0.0013188887,-92.0,,0.00573227,-52.708633,0.57322705,0.03519102,2678.9814779758453,2.7509189,100,27.12932,1.3188887e-05,75,7500,2.9819708,[ 0.186  0.135  0.077 ... -0.322  0.083 -0.178],-100.0,870919
102.53,,0.34113875,-95.0,1.625567,30.344994,-96.005035,971.8039,0.0034113876,77.208206,-28.67007,100.0,0.00054538035,-95.0,,0.0022516374,-19.838984,0.22516373,0.01625567,2712.4255888462067,2.7265484,100,21.794495,5.453803e-06,76,7600,1.2951992,[ 0.186  0.135  0.077 ... -0.324  0.09  -0.177],-100.0,881172
