InitialReturnMax,MeanIW,RewardCompression,ReturnStepMax,Iteration,ReturnMeanIW,EpisodesSoFar,EpRewMean,TimeElapsed,Weights,InitialReturnMean,StdIW,MaxIW,InitialReturnMin,EmpiricalD2,ReturnStepMaxmin,Bound,EpThisIter,MeanEntropy,ESSRenyi,ESSClassic,MinIW,InitialBound,InitialReturnStd,EpLenMean,TimestepsSoFar
,1.0,0.98,100.0,33,-50.0,3300,-99.0,1016.4163649082184,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,108.26,364815
,1.0,0.98,100.0,34,-50.0,3400,-94.0,1047.077252149582,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-94.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,23.74868392944336,109.01,375716
,1.0,0.98,100.0,35,-50.0,3500,-97.0,1070.1880435943604,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,111.42,386858
-100.0,1.0,0.99,100.0,36,-100.0,3600,-100.0,1098.0095953941345,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,,1.0,-100.0,1.0,100.0,-103.33333587646484,100,2.837890386581421,100.0,1.0,1.0,-103.333336,,108.99,397757
-100.0,1.0,0.99,100.0,37,-100.0,3700,-100.0,1123.0761573314667,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,,1.0,-100.0,1.0,100.0,-103.33333587646484,100,2.837890386581421,100.0,1.0,1.0,-103.333336,,111.63,408920
,1.0,0.98,100.0,38,-50.0,3800,-97.0,1148.648363351822,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,109.68,419888
,1.0,0.98,100.0,39,-50.0,3900,-96.0,1170.3628571033478,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,115.47,431435
,1.0,0.98,100.0,40,-50.0,4000,-98.0,1201.7688918113708,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,111.18,442553
,1.0,0.98,100.0,41,-50.0,4100,-95.0,1227.0120916366577,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-95.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,21.79449462890625,111.88,453741
,1.0,0.98,100.0,42,-50.0,4200,-96.0,1254.9645190238953,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,112.77,465018
,1.0,0.98,100.0,43,-50.0,4300,-98.0,1283.4523086547852,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,110.32,476050
,1.0,0.98,100.0,44,-50.0,4400,-97.0,1314.3239986896515,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,112.04,487254
,1.0,0.98,100.0,45,-50.0,4500,-94.0,1345.3043158054352,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-94.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,23.74868392944336,116.57,498911
