EpLenMean,StdIW,EpisodesSoFar,Iteration,J_sample_variance,MinIW,EpRewMean,MeanIW,InitialReturnMax,ReturnMeanIW,TimeElapsed,ReturnStepMax,MeanEntropy,MaxIW,ReturnStepMaxmin,EpThisIter,MinIWNorm,InitialReturnStd,ESSClassic,Bound,InitialReturnMin,MeanIWNorm,ESSRenyi,Weights,MaxIWNorm,InitialReturnMean,InitialBound,TimestepsSoFar,EmpiricalD2,StdIWNorm
112.07,0.82330984,3000,30,6848.2515,0.00015524383,-99.0,0.5582769,,-55.815216,1006.9458589553833,100.0,2.3991609,6.3574395,,100,1.5524383e-06,9.949874,31.497648,-62.154778,-100.0,0.005582769,2.5133119,[-0.157  0.182  0.202 ...  0.115 -0.164 -0.272],0.063574396,-99.0,-100.005035,313453,39.78814,0.008233098
100.3,0.70583594,3100,31,5047.899,0.00019910581,-98.0,0.41806334,,-41.5825,1040.9557008743286,100.0,2.3879476,3.4546986,,100,1.991058e-06,14.0,25.970554,-49.821033,-100.0,0.004180633,1.488213,[-0.156  0.181  0.202 ...  0.112 -0.167 -0.272],0.034546986,-98.0,-99.005035,323483,67.19469,0.007058359
106.72,0.66488916,3200,32,4432.4355,0.00018355576,-98.0,0.4220409,,-41.062294,1073.9388935565948,100.0,2.3896317,3.915589,,100,1.8355576e-06,14.0,28.719713,-52.347336,-100.0,0.004220409,0.7931554,[-0.157  0.181  0.202 ...  0.115 -0.178 -0.272],0.03915589,-98.0,-99.005035,334155,126.078705,0.0066488916
107.76,0.7991275,3300,33,5751.088,0.0010510036,-98.0,0.5458508,,-51.26444,1111.486629486084,100.0,2.383077,5.2483935,,100,1.0510035e-05,14.0,31.813635,-60.549454,-100.0,0.005458508,1.1716543,[-0.156  0.18   0.201 ...  0.11  -0.183 -0.265],0.052483935,-98.0,-99.005035,344931,85.3494,0.007991275
104.83,0.6012217,3400,34,3662.3542,0.0008852249,-99.0,0.33804166,,-33.41886,1141.9147491455078,100.0,2.388927,4.301198,,100,8.852249e-06,9.949874,24.019892,-44.90158,-100.0,0.003380416,0.7660822,[-0.157  0.18   0.201 ...  0.109 -0.167 -0.288],0.04301198,-99.0,-100.005035,355414,130.53429,0.006012216
98.71,1.0518644,3500,35,6466.6665,0.00086782995,-97.0,0.48730746,,-41.34799,1174.7788307666779,100.0,2.366215,7.298522,,100,8.678299e-06,17.058722,17.670275,-48.29445,-100.0,0.004873075,2.0933301,[-0.157  0.179  0.201 ...  0.104 -0.166 -0.283],0.07298522,-97.0,-98.005035,365285,47.770775,0.010518644
104.59,9.351851,3600,36,3156.1636,0.0007760945,-97.0,1.2512453,,-30.480888,1208.903041601181,100.0,2.3874307,94.1357,,100,7.760945e-06,17.058722,1.7586687,-39.83921,-100.0,0.012512451,1.1533704,[-0.157  0.18   0.202 ...  0.105 -0.199 -0.273],0.94135696,-97.0,-98.005035,375744,86.702415,0.09351851
111.51,0.6586904,3700,37,1269.9928,0.0020686025,-93.0,0.3683144,,-29.249107,1246.271032333374,100.0,2.3981864,5.89015,,100,2.0686024e-05,25.514702,23.818916,-40.59845,-100.0,0.0036831435,0.784194,[-0.157  0.181  0.202 ...  0.109 -0.169 -0.282],0.0589015,-93.0,-94.005035,386895,127.51946,0.0065869032
109.51,0.7141841,3800,38,4827.9907,0.002690832,-90.0,0.41191438,,-35.31771,1275.783477306366,100.0,2.4316564,4.725549,,100,2.6908318e-05,30.0,24.961805,-43.935024,-100.0,0.0041191434,1.360257,[-0.157  0.181  0.203 ...  0.108 -0.161 -0.279],0.04725549,-90.0,-91.005035,397846,73.51552,0.0071418406
111.05,0.917746,3900,39,8507.654,7.1904644e-05,-100.0,0.46909767,-100.0,-46.909767,1309.9647119045258,100.0,2.4431474,5.242568,100.0,100,7.190464e-07,,20.71453,-58.594154,-100.0,0.004690977,0.739866,[-0.157  0.182  0.203 ...  0.11  -0.153 -0.253],0.05242568,-100.0,-101.005035,408951,135.1596,0.009177459
