MaxVanillaIw,VarRet,MinNormIw,BatchSize,VarJ,VarNormIw,Bound,J,EpsThisIter,VarVanillaIw,ESSRenyi,MaxNormIw,ESSClassic,AvgVanillaIw,MinVanillaIw,AvgDiscRet,VanillaAvgRet,eRenyi2,AvgRet,AvgEpLen,AvgNormIw,IterType,VarDiscRet
244.22322,556470.436452797,,500,7156.7783,0.0006391954,2874.4922,4460.632,100,132.21008,7.0386533076601205,0.5369966,3.1156678051952342,0.90958947,,423.3503518157892,423.3503518157892,71.036316,423.3503518157892,43.334,0.0019999999,1,556470.436452797
1.0,3037042.6607923554,0.01,500,1733.9758,3.5044917e-18,1949.3542,2370.1648,100,,500.0,0.01,100.0,1.0,1.0,2370.164799291902,2370.164799291902,1.0,2370.164799291902,237.82,0.009999998,2,3037042.6607923554
1.0,3017324.4273893847,0.005,500,1732.6967,2.179301e-19,1942.004,2239.562,100,,500.0,0.005,200.00000010221265,1.0,1.0,2239.5621327502213,2239.5621327502213,1.0,2239.5621327502213,224.77,0.0049999994,2,3017324.4273893847
1.0,2981388.669052572,0.0033333334,500,1723.7897,5.4391416e-20,1949.0525,2192.0076,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,2192.007477951928,2192.007477951928,1.0,2192.007477951928,220.03,0.0033333336,2,2981388.669052572
1.0,2998324.6426557656,0.0025,500,1729.4014,5.434597e-20,1973.7969,2184.2021,100,,500.0,0.0025,400.0,1.0,1.0,2184.20205811149,2184.20205811149,1.0,2184.20205811149,219.24,0.0024999997,2,2998324.6426557656
25.918468,2976938.5932993772,,500,1014.18195,4.047403e-05,4169.14,4805.3896,100,7.027557,43.74401613968369,0.062200718,45.05206716302126,0.83338165,,2171.6032020313633,2171.6032020313633,11.430135,2171.6032020313633,217.982,0.002,1,2976938.5932993772
1.0,414704.12741456524,0.01,500,640.7473,3.5044917e-18,4425.378,4846.1885,100,,500.0,0.01,100.0,1.0,1.0,4846.189205584469,4846.189205584469,1.0,4846.189205584469,484.72,0.009999998,2,414704.12741456524
1.0,284755.1764427629,0.005,500,532.2888,2.179301e-19,4603.784,4901.3423,100,,500.0,0.005,200.00000010221265,1.0,1.0,4901.34219998242,4901.34219998242,1.0,4901.34219998242,490.21,0.0049999994,2,284755.1764427629
1.0,243546.06577783474,0.0033333334,500,492.6807,5.4391416e-20,4668.4443,4911.3994,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4911.399350565935,4911.399350565935,1.0,4911.399350565935,491.2033333333333,0.0033333336,2,243546.06577783474
1.0,367729.40519762173,0.0025,500,605.64844,5.434597e-20,4668.1377,4878.543,100,,500.0,0.0025,400.0,1.0,1.0,4878.542515748996,4878.542515748996,1.0,4878.542515748996,487.925,0.0024999997,2,367729.40519762173
2.0585017,324728.6509097154,1.0409276e-06,500,220.79593,1.0782234e-06,4761.0557,4972.944,100,0.26927763,394.42025130666923,0.00411913,394.005850922094,0.9994838,0.0005201952,4888.986892919032,4888.986892919032,1.2676834,4888.986892919032,488.968,0.0019999999,1,324728.6509097154
1.0,202208.95335032482,0.01,500,447.42245,3.5044917e-18,4517.3843,4938.195,100,,500.0,0.01,100.0,1.0,1.0,4938.194395308367,4938.194395308367,1.0,4938.194395308367,493.85,0.009999998,2,202208.95335032482
1.0,108179.49228414032,0.005,500,328.08322,2.179301e-19,4665.5747,4963.133,100,,500.0,0.005,200.00000010221265,1.0,1.0,4963.132667045495,4963.132667045495,1.0,4963.132667045495,496.34,0.0049999994,2,108179.49228414032
1.0,153879.83742588307,0.0033333334,500,391.62085,5.4391416e-20,4705.8604,4948.8154,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4948.815234651033,4948.815234651033,1.0,4948.815234651033,494.91333333333336,0.0033333336,2,153879.83742588307
1.0,115804.16987119424,0.0025,500,339.87445,5.434597e-20,4751.1836,4961.589,100,,500.0,0.0025,400.0,1.0,1.0,4961.588614895882,4961.588614895882,1.0,4961.588614895882,496.185,0.0024999997,2,115804.16987119424
1.5042286,99377.06752295369,0.00034744246,500,120.91131,3.417885e-07,4791.2617,4986.836,100,0.08206537,462.96815696507406,0.0030698178,460.71220142747734,0.98001164,0.17024884,4965.565053528104,4965.565053528104,1.0799879,4965.565053528104,496.582,0.002,1,99377.06752295369
1.0,0.005143306317968909,0.01,500,0.07136471,3.5044917e-18,4579.113,4999.9233,100,,500.0,0.01,100.0,1.0,1.0,4999.923281370424,4999.923281370424,1.0,4999.923281370424,500.0,0.009999998,2,0.005143306317968909
1.0,30068.039448872372,0.005,500,172.96736,2.179301e-19,4690.098,4987.6562,100,,500.0,0.005,200.00000010221265,1.0,1.0,4987.65611385668,4987.65611385668,1.0,4987.65611385668,498.78,0.0049999994,2,30068.039448872372
1.0,20086.847334694296,0.0033333334,500,141.49168,5.4391416e-20,4748.3916,4991.3467,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4991.346409343527,4991.346409343527,1.0,4991.346409343527,499.15,0.0033333336,2,20086.847334694296
1.0,46121.38237877514,0.0025,500,214.49026,5.434597e-20,4774.257,4984.662,100,,500.0,0.0025,400.0,1.0,1.0,4984.66241894282,4984.66241894282,1.0,4984.66241894282,498.4825,0.0024999997,2,46121.38237877514
1.357022,83146.5621786071,0.00043780284,500,92.39664,1.9747932e-07,4800.166,4992.933,100,0.04966468,476.54828621501633,0.0027059757,476.52137656972764,1.0029817,0.21955411,4978.07037468117,4978.07037468117,1.0492116,4978.07037468117,497.824,0.0019999999,1,83146.5621786071
1.0,74323.1552600135,0.01,500,271.2562,3.5044917e-18,4539.365,4960.176,100,,500.0,0.01,100.0,1.0,1.0,4960.175492293267,4960.175492293267,1.0,4960.175492293267,496.06,0.009999998,2,74323.1552600135
1.0,37371.13507468652,0.005,500,192.83228,2.179301e-19,4682.473,4980.0312,100,,500.0,0.005,200.00000010221265,1.0,1.0,4980.031410242177,4980.031410242177,1.0,4980.031410242177,498.03,0.0049999994,2,37371.13507468652
1.0,48133.0324044958,0.0033333334,500,219.02646,5.4391416e-20,4734.876,4977.831,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4977.831502626535,4977.831502626535,1.0,4977.831502626535,497.8066666666667,0.0033333336,2,48133.0324044958
1.0,36161.34408864139,0.0025,500,189.92351,5.434597e-20,4772.948,4983.3535,100,,500.0,0.0025,400.0,1.0,1.0,4983.354115779403,4983.354115779403,1.0,4983.354115779403,498.355,0.0024999997,2,36161.34408864139
1.2684377,28958.618245660884,0.00058268796,500,71.04354,1.1484244e-07,4803.512,4994.4087,100,0.029026698,485.933792438357,0.002523025,486.0725196017423,1.0054896,0.29294336,4986.668767569781,4986.668767569781,1.0289468,4986.668767569781,498.684,0.002,1,28958.618245660884
1.0,0.005052404912797252,0.01,500,0.07069711,3.5044917e-18,4579.125,4999.9355,100,,500.0,0.01,100.0,1.0,1.0,4999.9354806912115,4999.9354806912115,1.0,4999.9354806912115,500.0,0.009999998,2,0.005052404912797252
1.0,0.004356497265514748,0.005,500,0.0658232,2.179301e-19,4702.3774,4999.9355,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.935387314144,4999.935387314144,1.0,4999.935387314144,500.0,0.0049999994,2,0.004356497265514748
1.0,0.0056382897826402125,0.0033333334,500,0.07496169,5.4391416e-20,4756.9766,4999.9316,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.931596805475,4999.931596805475,1.0,4999.931596805475,500.0,0.0033333336,2,0.0056382897826402125
1.0,0.007087201362185774,0.0025,500,0.084085256,5.434597e-20,4789.5205,4999.926,100,,500.0,0.0025,400.0,1.0,1.0,4999.926176319538,4999.926176319538,1.0,4999.926176319538,500.0,0.0024999997,2,0.007087201362185774
1.0,0.006884354344734896,0.002,500,0.08289328,5.431875e-20,4811.735,4999.9272,100,,500.0,0.002,500.00000664260017,1.0,1.0,4999.926930924759,4999.926930924759,1.0,4999.926930924759,500.0,0.0020000003,1,0.006884354344734896
1.0,0.18690187346137874,0.01,500,0.43013018,3.5044917e-18,4579.076,4999.8867,100,,500.0,0.01,100.0,1.0,1.0,4999.887106826118,4999.887106826118,1.0,4999.887106826118,500.0,0.009999998,2,0.18690187346137874
1.0,0.09565019190313648,0.005,500,0.30848178,2.179301e-19,4702.348,4999.9062,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.906215084215,4999.906215084215,1.0,4999.906215084215,500.0,0.0049999994,2,0.09565019190313648
1.0,6165.037695357957,0.0033333334,500,78.38677,5.4391416e-20,4752.426,4995.381,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4995.380643234542,4995.380643234542,1.0,4995.380643234542,499.55,0.0033333336,2,6165.037695357957
1.0,4623.801901250266,0.0025,500,67.91348,5.434597e-20,4786.112,4996.517,100,,500.0,0.0025,400.0,1.0,1.0,4996.517236793248,4996.517236793248,1.0,4996.517236793248,499.6625,0.0024999997,2,4623.801901250266
1.1028022,3699.0561912565277,0.0013255193,500,40.296272,1.8387388e-08,4809.532,4998.116,100,0.0045959097,497.9234511832957,0.0022058291,497.71666074616803,0.9998981,0.66269207,4997.19962003972,4997.19962003972,1.0041704,4997.19962003972,499.73,0.002,1,3699.0561912565277
1.0,0.0053619873261405914,0.01,500,0.07286769,3.5044917e-18,4579.1133,4999.924,100,,500.0,0.01,100.0,1.0,1.0,4999.923760160171,4999.923760160171,1.0,4999.923760160171,500.0,0.009999998,2,0.0053619873261405914
1.0,0.005839605213689767,0.005,500,0.07622984,2.179301e-19,4702.3667,4999.925,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.924710550079,4999.924710550079,1.0,4999.924710550079,500.0,0.0049999994,2,0.005839605213689767
1.0,0.006368376658788659,0.0033333334,500,0.07967307,5.4391416e-20,4756.9683,4999.9233,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.923064387116,4999.923064387116,1.0,4999.923064387116,500.0,0.0033333336,2,0.006368376658788659
1.0,7055.855584821692,0.0025,500,83.89407,5.434597e-20,4785.3184,4995.7236,100,,500.0,0.0025,400.0,1.0,1.0,4995.723728848438,4995.723728848438,1.0,4995.723728848438,499.5825,0.0024999997,2,7055.855584821692
1.0997088,5644.702788876504,0.000927603,500,34.84887,3.41638e-08,4809.4736,4998.369,100,0.008534242,496.2837031960531,0.0022002817,495.7740190695425,0.9996073,0.46361935,4996.5663066055395,4996.5663066055395,1.0074883,4996.5663066055395,499.666,0.002,1,5644.702788876504
1.0,0.007831259013840509,0.01,500,0.08803216,3.5044917e-18,4579.117,4999.9277,100,,500.0,0.01,100.0,1.0,1.0,4999.927799326779,4999.927799326779,1.0,4999.927799326779,500.0,0.009999998,2,0.007831259013840509
1.0,392.0092525938336,0.005,500,19.749676,2.179301e-19,4700.9663,4998.5244,100,,500.0,0.005,200.00000010221265,1.0,1.0,4998.524385140362,4998.524385140362,1.0,4998.524385140362,499.865,0.0049999994,2,392.0092525938336
1.0,261.34678207453936,0.0033333334,500,16.139269,5.4391416e-20,4756.039,4998.994,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4998.994137131213,4998.994137131213,1.0,4998.994137131213,499.91,0.0033333336,2,261.34678207453936
1.0,26278.161808728873,0.0025,500,161.90265,5.434597e-20,4780.74,4991.1455,100,,500.0,0.0025,400.0,1.0,1.0,4991.145352922873,4991.145352922873,1.0,4991.145352922873,499.1275,0.0024999997,2,26278.161808728873
1.1440217,21024.3438502631,0.0006363958,500,47.03014,6.886557e-08,4807.825,4997.4272,100,0.016884638,492.5927361343551,0.002310412,491.5542120465289,0.99031836,0.31511724,4992.900387626082,4992.900387626082,1.0150373,4992.900387626082,499.302,0.002,1,21024.3438502631
1.0,0.0030339267904506387,0.01,500,0.054828856,3.5044917e-18,4579.13,4999.9404,100,,500.0,0.01,100.0,1.0,1.0,4999.941104972201,4999.941104972201,1.0,4999.941104972201,500.0,0.009999998,2,0.0030339267904506387
1.0,0.004982231877242048,0.005,500,0.07040738,2.179301e-19,4702.3774,4999.9355,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.935866619703,4999.935866619703,1.0,4999.935866619703,500.0,0.0049999994,2,0.004982231877242048
1.0,0.004952190751808371,0.0033333334,500,0.07025059,5.4391416e-20,4756.979,4999.934,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.933869423986,4999.933869423986,1.0,4999.933869423986,500.0,0.0033333336,2,0.004952190751808371
1.0,0.005857928554651846,0.0025,500,0.07644537,5.434597e-20,4789.5283,4999.9336,100,,500.0,0.0025,400.0,1.0,1.0,4999.933492162807,4999.933492162807,1.0,4999.933492162807,500.0,0.0024999997,2,0.005857928554651846
1.0558499,499.6840793214124,0.0015715096,500,17.60132,6.6418337e-09,4810.696,4998.996,100,0.0016417425,499.42559502830113,0.0021237023,499.17281214266853,0.9943483,0.78131396,4998.75251475358,4998.75251475358,1.0011501,4998.75251475358,499.886,0.002,1,499.6840793214124
1.0,2115.8837389412156,0.01,500,45.768173,3.5044917e-18,4574.5117,4995.3223,100,,500.0,0.01,100.0,1.0,1.0,4995.322609127981,4995.322609127981,1.0,4995.322609127981,499.55,0.009999998,2,2115.8837389412156
1.0,26997.908525484137,0.005,500,163.89908,2.179301e-19,4688.6587,4986.217,100,,500.0,0.005,200.00000010221265,1.0,1.0,4986.216583613114,4986.216583613114,1.0,4986.216583613114,498.64,0.0049999994,2,26997.908525484137
1.0,18010.387154337248,0.0033333334,500,133.97893,5.4391416e-20,4747.83,4990.785,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4990.784831934103,4990.784831934103,1.0,4990.784831934103,499.0933333333333,0.0033333336,2,18010.387154337248
1.0,13512.126353089192,0.0025,500,116.0963,5.434597e-20,4782.6406,4993.046,100,,500.0,0.0025,400.0,1.0,1.0,4993.045159751919,4993.045159751919,1.0,4993.045159751919,499.32,0.0024999997,2,13512.126353089192
1.1384273,10811.841741656926,0.00073868287,500,44.081608,5.466282e-08,4808.2173,4997.561,100,0.013632019,493.935654058128,0.0022796658,493.27255344507483,0.9987668,0.36888596,4994.418045693941,4994.418045693941,1.0122776,4994.418045693941,499.456,0.002,1,10811.841741656926
1.0,208878.03011257693,0.01,500,454.74084,3.5044917e-18,4533.407,4954.218,100,,500.0,0.01,100.0,1.0,1.0,4954.218295572852,4954.218295572852,1.0,4954.218295572852,495.44,0.009999998,2,208878.03011257693
1.0,104439.08276063492,0.005,500,322.3614,2.179301e-19,4679.513,4977.0713,100,,500.0,0.005,200.00000010221265,1.0,1.0,4977.071298485016,4977.071298485016,1.0,4977.071298485016,497.72,0.0049999994,2,104439.08276063492
1.0,69626.12969933948,0.0033333334,500,263.4275,5.4391416e-20,4741.736,4984.691,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4984.690894067295,4984.690894067295,1.0,4984.690894067295,498.48,0.0033333336,2,69626.12969933948
1.0,52219.63306649514,0.0025,500,228.23033,5.434597e-20,4778.0957,4988.501,100,,500.0,0.0025,400.0,1.0,1.0,4988.5010057650625,4988.5010057650625,1.0,4988.5010057650625,498.86,0.0024999997,2,52219.63306649514
1.1724457,41775.71779892071,0.00034708172,500,35.49408,7.5718965e-08,4808.455,4998.342,100,0.018906847,491.1157120111358,0.0023463105,490.7292367396696,0.9993951,0.17343588,4990.786735394886,4990.786735394886,1.01809,4990.786735394886,499.088,0.002,1,41775.71779892071
1.0,0.004738791862797202,0.01,500,0.06848778,3.5044917e-18,4579.1113,4999.922,100,,500.0,0.01,100.0,1.0,1.0,4999.9219270796075,4999.9219270796075,1.0,4999.9219270796075,500.0,0.009999998,2,0.004738791862797202
1.0,0.005634045992044749,0.005,500,0.0748667,2.179301e-19,4702.3677,4999.926,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.925493119465,4999.925493119465,1.0,4999.925493119465,500.0,0.0049999994,2,0.005634045992044749
1.0,0.005470825550290242,0.0033333334,500,0.073840424,5.4391416e-20,4756.966,4999.921,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.92061518758,4999.92061518758,1.0,4999.92061518758,500.0,0.0033333336,2,0.005470825550290242
1.0,62498.01832674573,0.0025,500,249.68335,5.434597e-20,4777.0156,4987.421,100,,500.0,0.0025,400.0,1.0,1.0,4987.420713667434,4987.420713667434,1.0,4987.420713667434,498.7525,0.0024999997,2,62498.01832674573
1.3244069,53073.09592808949,0.001080478,500,202.93256,3.9678948e-08,4800.447,4989.5894,100,0.009986796,494.9878734400427,0.0026399055,495.09851996651565,1.0033743,0.542062,4987.422525565127,4987.422525565127,1.0101258,4987.422525565127,498.754,0.002,1,53073.09592808949
1.0,0.003962157696696309,0.01,500,0.06264411,3.5044917e-18,4579.1274,4999.938,100,,500.0,0.01,100.0,1.0,1.0,4999.937873404234,4999.937873404234,1.0,4999.937873404234,500.0,0.009999998,2,0.003962157696696309
1.0,0.0059573015207754374,0.005,500,0.077004395,2.179301e-19,4702.365,4999.9233,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.923581927208,4999.923581927208,1.0,4999.923581927208,500.0,0.0049999994,2,0.0059573015207754374
1.0,0.005775993462511531,0.0033333334,500,0.07587831,5.4391416e-20,4756.969,4999.9243,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.924317751018,4999.924317751018,1.0,4999.924317751018,500.0,0.0033333336,2,0.005775993462511531
1.0,0.005882728265979206,0.0025,500,0.07660493,5.434597e-20,4789.518,4999.9233,100,,500.0,0.0025,400.0,1.0,1.0,4999.923588218773,4999.923588218773,1.0,4999.923588218773,500.0,0.0024999997,2,0.005882728265979206
1.0052208,0.005512342833753535,0.0019885486,500,0.074111894,9.98424e-12,4811.732,4999.9243,100,2.4962987e-06,499.99785424199666,0.0020103455,499.99875017821944,1.0000478,0.99432176,4999.923374353912,4999.923374353912,1.0000043,4999.923374353912,500.0,0.002,1,0.005512342833753535
1.0,0.005361553402725118,0.01,500,0.07287177,3.5044917e-18,4579.1216,4999.932,100,,500.0,0.01,100.0,1.0,1.0,4999.932335236508,4999.932335236508,1.0,4999.932335236508,500.0,0.009999998,2,0.005361553402725118
1.0,0.004582218656647646,0.005,500,0.06753884,2.179301e-19,4702.373,4999.931,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.93132227966,4999.93132227966,1.0,4999.93132227966,500.0,0.0049999994,2,0.004582218656647646
1.0,0.005114663585896763,0.0033333334,500,0.07140968,5.4391416e-20,4756.9727,4999.9277,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.9276674303,4999.9276674303,1.0,4999.9276674303,500.0,0.0033333336,2,0.005114663585896763
1.0,0.004721169332374996,0.0025,500,0.06863767,5.434597e-20,4789.5254,4999.9307,100,,500.0,0.0025,400.0,1.0,1.0,4999.930202758189,4999.930202758189,1.0,4999.930202758189,500.0,0.0024999997,2,0.004721169332374996
1.0,0.005293673727453407,0.002,500,0.07269687,5.431875e-20,4811.7373,4999.9297,100,,500.0,0.002,500.00000664260017,1.0,1.0,4999.929147913121,4999.929147913121,1.0,4999.929147913121,500.0,0.0020000003,1,0.005293673727453407
1.0,0.005073493954108033,0.01,500,0.07086263,3.5044917e-18,4579.1187,4999.929,100,,500.0,0.01,100.0,1.0,1.0,4999.929150299047,4999.929150299047,1.0,4999.929150299047,500.0,0.009999998,2,0.005073493954108033
1.0,0.00475387758605999,0.005,500,0.06876546,2.179301e-19,4702.37,4999.928,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.9288408923785,4999.9288408923785,1.0,4999.9288408923785,500.0,0.0049999994,2,0.00475387758605999
1.0,0.00502615804611183,0.0033333334,500,0.070770696,5.4391416e-20,4756.97,4999.9253,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.925344124105,4999.925344124105,1.0,4999.925344124105,500.0,0.0033333336,2,0.00502615804611183
1.0,0.005627791393285499,0.0025,500,0.07491326,5.434597e-20,4789.5195,4999.925,100,,500.0,0.0025,400.0,1.0,1.0,4999.924805574127,4999.924805574127,1.0,4999.924805574127,500.0,0.0024999997,2,0.005627791393285499
1.0,0.005746900172314904,0.002,500,0.07572539,5.431875e-20,4811.732,4999.9243,100,,500.0,0.002,500.00000664260017,1.0,1.0,4999.923764493315,4999.923764493315,1.0,4999.923764493315,500.0,0.0020000003,1,0.005746900172314904
1.0,0.005502718621509284,0.01,500,0.07379367,3.5044917e-18,4579.1206,4999.931,100,,500.0,0.01,100.0,1.0,1.0,4999.931167010347,4999.931167010347,1.0,4999.931167010347,500.0,0.009999998,2,0.005502718621509284
1.0,0.005490182624366657,0.005,500,0.0739089,2.179301e-19,4702.3667,4999.925,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.925076616693,4999.925076616693,1.0,4999.925076616693,500.0,0.0049999994,2,0.005490182624366657
1.0,0.005981333037905242,0.0033333334,500,0.077201605,5.4391416e-20,4756.965,4999.92,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.919782092129,4999.919782092129,1.0,4999.919782092129,500.0,0.0033333336,2,0.005981333037905242
1.0,0.006119470425276229,0.0025,500,0.07812406,5.434597e-20,4789.515,4999.9204,100,,500.0,0.0025,400.0,1.0,1.0,4999.920081786398,4999.920081786398,1.0,4999.920081786398,500.0,0.0024999997,2,0.006119470425276229
1.0027403,0.006108285892478285,0.0019917297,500,0.07801759,6.0895425e-12,4811.729,4999.9214,100,1.5222785e-06,499.9994039542628,0.0020055496,499.9991906818518,0.99996555,0.99583054,4999.920357172195,4999.920357172195,1.0000012,4999.920357172195,500.0,0.002,1,0.006108285892478285
1.0,0.008057754143259587,0.01,500,0.08930978,3.5044917e-18,4579.11,4999.9204,100,,500.0,0.01,100.0,1.0,1.0,4999.920800181352,4999.920800181352,1.0,4999.920800181352,500.0,0.009999998,2,0.008057754143259587
1.0,0.006449855439938893,0.005,500,0.080108516,2.179301e-19,4702.365,4999.9233,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.92331618471,4999.92331618471,1.0,4999.92331618471,500.0,0.0049999994,2,0.006449855439938893
1.0,0.0065838413437497465,0.0033333334,500,0.08100781,5.4391416e-20,4756.967,4999.922,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.922022166324,4999.922022166324,1.0,4999.922022166324,500.0,0.0033333336,2,0.0065838413437497465
1.0,0.00606088725506374,0.0025,500,0.077759705,5.434597e-20,4789.5186,4999.924,100,,500.0,0.0025,400.0,1.0,1.0,4999.923689029118,4999.923689029118,1.0,4999.923689029118,500.0,0.0024999997,2,0.00606088725506374
1.0,0.005763360609389686,0.002,500,0.07585453,5.431875e-20,4811.7324,4999.925,100,,500.0,0.002,500.00000664260017,1.0,1.0,4999.923755895527,4999.923755895527,1.0,4999.923755895527,500.0,0.0020000003,1,0.005763360609389686
1.0,0.00602641759050765,0.01,500,0.07724825,3.5044917e-18,4579.1074,4999.918,100,,500.0,0.01,100.0,1.0,1.0,4999.91800181348,4999.91800181348,1.0,4999.91800181348,500.0,0.009999998,2,0.00602641759050765
1.0,0.0056355352239082284,0.005,500,0.0748827,2.179301e-19,4702.361,4999.919,100,,500.0,0.005,200.00000010221265,1.0,1.0,4999.919081218382,4999.919081218382,1.0,4999.919081218382,500.0,0.0049999994,2,0.0056355352239082284
1.0,0.005323462227472896,0.0033333334,500,0.07283928,5.4391416e-20,4756.966,4999.921,100,,500.0,0.0033333334,299.999969473632,1.0,1.0,4999.920955013205,4999.920955013205,1.0,4999.920955013205,500.0,0.0033333336,2,0.005323462227472896
1.0,0.005246784844309529,0.0025,500,0.07234382,5.434597e-20,4789.519,4999.9243,100,,500.0,0.0025,400.0,1.0,1.0,4999.9242098590985,4999.9242098590985,1.0,4999.9242098590985,500.0,0.0024999997,2,0.005246784844309529
