VarVanillaIw,AvgEpLen,AvgVanillaIw,J,MinNormIw,EpsThisIter,delta,VarJ,ESSClassic,VanillaAvgRet,MinVanillaIw,ESSRenyi,MaxNormIw,AvgDiscRet,BatchSize,AvgNormIw,IterType,VarRet,VarNormIw,MaxVanillaIw,renyi2,VarDiscRet,SamplesThisIter,Bound,AvgRet
3.24717e+14,37.9650721336,221863.0,156525.0,,1317,0.5,7017.88,5.98574688604,350.87757657,,nan,0.0408009,350.87757657,100,4.21834e-06,1,27812.2558155,1.17387e-07,2.14591e+09,nan,27812.2558155,50000,742.054,350.87757657
9.85712e+07,38.5802469136,116.223,143657.0,,1296,0.5,5828.96,9.88997696703,356.712207034,,nan,0.0554031,356.712207034,100,4.28669e-06,1,29213.5483453,1.34093e-07,1.50212e+06,nan,29213.5483453,50000,681.434,356.712207034
5.58104e+08,41.1184210526,314.833,156085.0,,1216,0.5,6758.12,6.01006469572,380.082041002,,nan,0.0392566,380.082041002,100,4.56871e-06,1,34646.2217513,1.17529e-07,2.70519e+06,nan,34646.2217513,50000,744.284,380.082041002
6.4585e+12,42.4088210348,23907.4,179548.0,,1179,0.5,5145.12,9.60581896861,392.314334122,,nan,0.0715148,392.314334122,100,4.71209e-06,1,40901.3998172,2.50895e-07,3.6284e+08,nan,40901.3998172,50000,876.562,392.314334122
inf,42.1229991575,2.68056e+21,181522.0,,1187,0.5,3489.6,9.99999966856,389.029339792,,nan,0.0999999,389.029339792,100,4.68033e-06,1,37715.0120125,4.68013e-07,5.72728e+25,nan,37715.0120125,50000,816.534,389.029339792
2.81325e+10,40.9165302782,3251.55,163260.0,,1222,0.5,5623.09,5.81746431194,378.330463214,,nan,0.0256722,378.330463214,100,4.54628e-06,1,31573.6700245,5.49972e-08,1.8361e+07,nan,31573.6700245,50000,780.098,378.330463214
5.52529e+21,38.85003885,5.37143e+08,209897.0,,1287,0.5,5464.65,9.94621326924,358.84624613,,nan,0.0906779,358.84624613,100,4.31667e-06,1,38990.254834,3.5684e-07,1.12835e+13,nan,38990.254834,50000,1031.42,358.84624613
6.41993e+26,38.3435582822,1.93347e+11,164959.0,,1304,0.5,3821.69,9.7970201708,354.334598118,,nan,0.0846664,354.334598118,100,4.2604e-06,1,23914.1313946,3.11713e-07,3.84237e+15,nan,23914.1313946,50000,749.236,354.334598118
1.16037e+09,42.0875420875,258.555,136599.0,,1188,0.5,5592.67,9.98268163648,389.265791448,,nan,0.0900044,389.265791448,100,4.67639e-06,1,29630.4773262,3.79588e-07,4.9763e+06,nan,29630.4773262,50000,663.418,389.265791448
1.12217e+10,43.7445319335,1661.22,167931.0,,1143,0.5,4975.11,4.88687589632,404.458871965,,nan,0.0310046,404.458871965,100,4.8605e-06,1,45142.9613077,9.60654e-08,1.05967e+07,nan,45142.9613077,50000,826.49,404.458871965
40587.5,41.3907284768,17.9228,147054.0,,1208,0.5,6064.97,9.98995003381,382.231335511,,nan,0.00240157,382.231335511,100,4.59897e-06,1,33204.0923495,2.6724e-09,9359.24,nan,33204.0923495,50000,704.707,382.231335511
622110.0,41.9815281276,22.7327,131963.0,,1191,0.5,5269.39,18.5468667418,388.125382854,,nan,0.0173112,388.125382854,100,4.66462e-06,1,24565.8307433,2.61936e-08,84365.2,nan,24565.8307433,50000,625.453,388.125382854
3.69772e+07,43.7062937063,153.733,170939.0,,1144,0.5,5734.37,5.86387054841,403.971920676,,nan,0.0164849,403.971920676,100,4.85626e-06,1,41964.366432,3.68979e-08,521859.0,nan,41964.366432,50000,830.938,403.971920676
6.74863e+12,42.9184549356,18958.0,154982.0,,1165,0.5,4219.72,9.99749016082,396.752633479,,nan,0.0946135,396.752633479,100,4.76872e-06,1,28477.0733003,4.27005e-07,3.76136e+08,nan,28477.0733003,50000,750.739,396.752633479
1.27936e+10,44.6428571429,2352.79,177803.0,,1120,0.5,5838.48,8.36670487943,412.61295373,,nan,0.0278842,412.61295373,100,4.96032e-06,1,48462.7057557,5.68649e-08,1.32261e+07,nan,48462.7057557,50000,874.985,412.61295373
5.10849e+11,49.2610837438,6811.68,193853.0,,1015,0.5,6968.06,9.43819346316,455.344060987,,nan,0.0754163,455.344060987,100,5.47345e-06,1,69784.5395431,3.29843e-07,9.3855e+07,nan,69784.5395431,50000,991.073,455.344060987
