AvgEpLen,AvgDiscRet,ESSRenyi,MaxNormIw,J,VarDiscRet,EpsThisIter,IterType,AvgVanillaIw,VarJ,AvgNormIw,MinVanillaIw,BatchSize,VarRet,MaxVanillaIw,eRenyi2,MinNormIw,VarVanillaIw,Delta,ESSClassic,AvgRet,VarNormIw,Bound,VanillaAvgRet
200.0,-8.426707650537741,94.3786128452043,0.026224777,-8.268127,46.374551263600324,100,1,1.0176363,6.7532034,0.01,0.79355615,100,46.374551263600324,2.6687286,1.0595621,0.007798033,0.081680164,0.4,92.75709643807129,-8.426707650537741,7.887354e-06,-11.200869,-8.426707650537741
200.0,-7.943992255947922,95.27607786312655,0.018782623,-7.817907,52.11327774752787,100,1,1.0041995,7.255473,0.01,0.8607502,100,52.11327774752787,1.88615,1.0495814,0.0085715065,0.03916031,0.4,96.29782077610163,-7.943992255947922,3.883346e-06,-10.743337,-7.943992255947922
200.0,-7.568150791199074,86.46210604899184,0.014047797,-7.0810394,39.46522740288857,100,1,1.0191073,6.606073,0.01,0.10254355,100,39.46522740288857,1.4316213,1.156576,0.0010062095,0.1336761,0.4,88.6978071447732,-7.568150791199074,1.2871046e-05,-10.132114,-7.568150791199074
200.0,-6.926003795781105,87.00502752625856,0.03230713,-6.5203705,43.24366711580914,100,1,0.987157,6.760952,0.010000003,0.7340276,100,43.24366711580914,3.189221,1.1493589,0.007435774,0.11462863,0.4,89.56923204548085,-6.926003795781105,1.1763067e-05,-9.504236,-6.926003795781105
200.0,-8.766645247458811,74.453030004491,0.01864121,-8.1154175,50.14845526067503,100,1,0.9334295,7.9750094,0.01,0.007534644,100,50.14845526067503,1.7400255,1.3431287,8.072001e-05,0.3272441,0.4,72.89536268652645,-8.766645247458811,3.755854e-05,-11.385145,-8.766645247458811
200.0,-7.849676306184574,39.376089124331365,0.047155246,-5.39079,49.311725849794406,100,1,0.8970151,8.140739,0.01,5.6940817e-08,100,49.311725849794406,4.2298965,2.5396123,6.3478106e-10,1.4352347,0.4,36.1549967116807,-7.849676306184574,0.00017837067,-9.864946,-7.849676306184574
200.0,-7.919576142266857,95.85764548725818,0.020401068,-7.79932,54.30065167228369,100,1,1.0021319,7.166411,0.010000002,0.8378664,100,54.30065167228369,2.044456,1.0432136,0.00836084,0.03883183,0.4,96.31309587627831,-7.919576142266857,3.8666794e-06,-10.61285,-7.919576142266857
200.0,-7.882793213052513,79.21302633113423,0.066890545,-7.074915,47.776153349853175,100,1,1.039268,8.259707,0.009999999,0.7747948,100,47.776153349853175,6.95172,1.2624186,0.0074551976,0.47635916,0.4,69.60729583634117,-7.882793213052513,4.4104145e-05,-10.2486,-7.882793213052513
200.0,-8.131193563258826,99.04928785441236,0.011813978,-8.104205,42.383880319589736,100,1,0.9789284,6.468325,0.01,0.92733145,100,42.383880319589736,1.1565038,1.0095984,0.009472924,0.0033445319,0.4,99.65569280650271,-8.131193563258826,3.490065e-07,-10.949123,-8.131193563258826
200.0,-7.313267257875261,71.4059482938552,0.01980682,-6.2041745,43.525689593667025,100,1,0.92186135,7.1068053,0.010000002,0.00044387084,100,43.525689593667025,1.8259143,1.4004436,4.8149413e-06,0.41705537,0.4,67.30177267135616,-7.313267257875261,4.9075246e-05,-9.547453,-7.313267257875261
