AvgNormIw,ESSRenyi,BatchSize,ESSClassic,Bound,Delta,IterType,J,AvgDiscRet,AvgVanillaIw,VarDiscRet,MinNormIw,VarRet,EpsThisIter,AvgEpLen,VanillaAvgRet,VarNormIw,eRenyi2,MinVanillaIw,AvgRet,MaxNormIw,VarVanillaIw,MaxVanillaIw,VarJ
0.01,87.9221829785,100,89.4120948938,-120.261,0.5,1,-75.7735,-81.0874599884,1.03676,6107.69843162,0.00334341,6107.69843162,100,112.21,-81.0874599884,1.19613e-05,1.13737,0.346631,-81.0874599884,0.0232899,0.128568,2.4146,59.1736
0.01,75.1544079103,100,74.4322546857,-118.44,0.5,1,-70.3223,-83.1259777024,1.01239,6084.84490722,3.22186e-05,6084.84490722,100,115.28,-83.1259777024,3.46974e-05,1.33059,0.00326177,-83.1259777024,0.0187716,0.355623,1.90042,31.9868
0.01,81.1733164676,100,80.9026782162,-127.799,0.5,1,-81.4996,-91.4163159598,0.986547,9433.19724152,0.0010265,9433.19724152,100,124.25,-91.4163159598,2.38437e-05,1.23193,0.101269,-91.4163159598,0.0180369,0.232065,1.77942,72.7918
0.01,93.1800025415,100,86.3602985265,-120.916,0.5,1,-77.7027,-80.5507962425,1.03047,6139.28696542,0.00382867,6139.28696542,100,111.75,-80.5507962425,1.59535e-05,1.07319,0.394533,-80.5507962425,0.0299167,0.169406,3.08283,67.1558
0.01,93.0256036966,100,93.0498805179,-130.315,0.5,1,-87.0652,-90.2773823288,0.962965,9488.78076742,0.00338511,9488.78076742,100,122.68,-90.2773823288,7.54471e-06,1.07497,0.325974,-90.2773823288,0.0181009,0.0699622,1.74305,90.2281
0.01,94.5370600564,100,96.0383955158,-124.832,0.5,1,-81.9295,-84.8176884003,0.993255,7229.40076241,0.00816464,7229.40076241,100,116.8,-84.8176884003,4.16671e-06,1.05779,0.810956,-84.8176884003,0.0191807,0.0411069,1.90513,74.9044
0.01,92.2794699221,100,91.7498360929,-131.749,0.5,1,-88.3245,-92.4542077881,1.00959,9371.75751235,0.00607181,9371.75751235,100,125.39,-92.4542077881,9.08282e-06,1.08366,0.613004,-92.4542077881,0.02472,0.0925788,2.4957,84.5564
0.01,91.362870111,100,93.4066401141,-118.608,0.5,1,-74.9662,-78.0189377655,1.03774,4953.7100459,0.00299636,4953.7100459,100,108.57,-78.0189377655,7.13009e-06,1.09454,0.310944,-78.0189377655,0.0163495,0.0767841,1.69666,59.8354
0.01,97.9257541242,100,98.8283827768,-119.885,0.5,1,-77.7312,-78.6810633597,0.968457,4937.04611506,0.00886239,4937.04611506,100,109.88,-78.6810633597,1.19749e-06,1.02118,0.858284,-78.6810633597,0.0143524,0.0112313,1.38997,65.3656
0.01,95.5437993516,100,95.5921760186,-107.227,0.5,1,-64.6174,-66.9173740701,1.01456,1336.21424712,0.00206927,1336.21424712,100,96.54,-66.9173740701,4.65764e-06,1.04664,0.209941,-66.9173740701,0.0126763,0.0479429,1.28609,16.6255
0.01,89.7642756373,100,88.8946722324,-112.453,0.5,1,-68.4245,-73.8942876481,0.980836,3784.07997118,0.00129801,3784.07997118,100,104.56,-73.8942876481,1.26189e-05,1.11403,0.127313,-73.8942876481,0.0152613,0.121399,1.49689,37.0225
0.01,97.2267128302,100,97.5960784069,-112.801,0.5,1,-70.4964,-71.6939801045,0.994841,2561.30027883,0.00457809,2561.30027883,100,102.07,-71.6939801045,2.48799e-06,1.02852,0.455447,-71.6939801045,0.0122815,0.0246238,1.22181,43.9449
0.01,93.7493036087,100,90.1768273605,-122.126,0.5,1,-79.0437,-82.0655305129,1.05136,6061.49244296,0.00700411,6061.49244296,100,114.14,-82.0655305129,1.10033e-05,1.06667,0.736384,-82.0655305129,0.0333617,0.121626,3.50752,65.9995
0.01,88.1043488234,100,86.9723938572,-122.539,0.5,1,-78.098,-82.09650583,0.993774,6087.31141616,0.000829347,6087.31141616,100,113.71,-82.09650583,1.51303e-05,1.13502,0.0824184,-82.09650583,0.0153733,0.149425,1.52776,67.1272
0.01,96.4327525716,100,95.6044655983,-127.863,0.5,1,-85.3844,-87.274296831,0.987615,8358.04645026,0.00416489,8358.04645026,100,119.56,-87.274296831,4.64406e-06,1.03699,0.411331,-87.274296831,0.0130739,0.0452974,1.2912,87.9498
0.01,91.9860193139,100,90.3757776117,-113.092,0.5,1,-69.5987,-73.716420974,0.966256,3782.68995294,0.00202154,3782.68995294,100,103.66,-73.716420974,1.07567e-05,1.08712,0.195332,-73.716420974,0.0137571,0.10043,1.32928,44.6555
0.01,88.5065559001,100,88.3965854785,-110.769,0.5,1,-66.4295,-73.345886711,1.02185,3781.49444856,0.000612884,3781.49444856,100,103.06,-73.345886711,1.32591e-05,1.12986,0.0626276,-73.345886711,0.0147019,0.138449,1.50231,26.258
0.01,98.9177381978,100,99.0140220422,-109.477,0.5,1,-67.5357,-68.0306699055,0.994657,1357.41137873,0.00915017,1357.41137873,100,97.75,-68.0306699055,1.00588e-06,1.01094,0.910128,-68.0306699055,0.0135805,0.00995162,1.3508,33.9476
0.01,97.8103405134,100,97.8258297243,-108.701,0.5,1,-66.5227,-67.4549705589,0.996229,1339.99685769,0.00530298,1339.99685769,100,97.35,-67.4549705589,2.24496e-06,1.02239,0.528298,-67.4549705589,0.0128572,0.0222806,1.28087,27.3268
0.01,80.1809120367,100,78.4951275384,-117.445,0.5,1,-70.8597,-80.7488000496,0.944683,6118.8945585,0.000302795,6118.8945585,100,111.83,-80.7488000496,2.76732e-05,1.24718,0.0286045,-80.7488000496,0.018669,0.246963,1.76363,39.1476
0.01,89.3303541668,100,90.858863961,-122.766,0.5,1,-78.6308,-84.2119871873,0.997226,7255.00222832,0.0025451,7255.00222832,100,115.74,-84.2119871873,1.01624e-05,1.11944,0.253804,-84.2119871873,0.0169418,0.101061,1.68948,67.6673
0.01,99.0102408213,100,98.8943457543,-123.979,0.5,1,-82.0575,-82.4363919716,1.00391,6071.97395085,0.00602521,6071.97395085,100,114.49,-82.4363919716,1.1293e-06,1.01,0.604877,-82.4363919716,0.0138511,0.0113814,1.39052,77.1152
0.01,92.6741776509,100,92.9713024588,-114.321,0.5,1,-70.9944,-73.9482540481,1.00848,3797.82101783,0.00162665,3797.82101783,100,103.87,-73.9482540481,7.63639e-06,1.07905,0.164044,-73.9482540481,0.0151928,0.0776642,1.53216,46.2562
0.01,92.3314127267,100,94.3197990488,-114.454,0.5,1,-71.0437,-74.8818042406,1.04012,3803.45970301,0.00365675,3803.45970301,100,105.15,-74.8818042406,6.08309e-06,1.08306,0.380344,-74.8818042406,0.0130673,0.0658093,1.35915,42.4168
0.01,98.0325608589,100,97.9701238563,-116.548,0.5,1,-74.4175,-75.3806711031,1.02098,3777.82089911,0.00872627,3777.82089911,100,106.53,-75.3806711031,2.09287e-06,1.02007,0.890933,-75.3806711031,0.0160857,0.021816,1.64231,54.7499
0.01,97.2537206011,100,97.8236946507,-110.761,0.5,1,-68.4641,-69.8023798794,1.01847,2609.46460245,0.00472089,2609.46460245,100,99.17,-69.8023798794,2.24722e-06,1.02824,0.480809,-69.8023798794,0.0135038,0.02331,1.37532,41.5628
0.01,96.4604745401,100,96.9664084774,-119.33,0.5,1,-76.8588,-78.3253720737,0.966074,4948.15734152,0.00671977,4948.15734152,100,109.18,-78.3253720737,3.16008e-06,1.03669,0.64918,-78.3253720737,0.0160815,0.029493,1.55359,64.6799
0.01,90.1801785047,100,89.2464840149,-116.075,0.5,1,-72.1494,-77.0246204644,1.01096,4961.22656528,0.00195041,4961.22656528,100,107.8,-77.0246204644,1.2171e-05,1.10889,0.197178,-77.0246204644,0.0177135,0.124391,1.79075,49.2779
0.01,95.9523576398,100,95.3695213288,-118.232,0.5,1,-75.6493,-77.7172448115,1.00085,4970.40931409,0.00809278,4970.40931409,100,108.91,-77.7172448115,4.90433e-06,1.04218,0.80997,-77.7172448115,0.0212233,0.0491272,2.12414,60.6504
0.01,96.238702409,100,95.3219408806,-110.056,0.5,1,-67.5373,-69.4105673268,0.984195,2621.21026748,0.00384346,2621.21026748,100,98.85,-69.4105673268,4.95722e-06,1.03908,0.378271,-69.4105673268,0.0166506,0.0480176,1.63875,43.6222
0.01,88.9603989481,100,87.7572708969,-125.412,0.5,1,-81.1854,-86.2831484072,1.05125,7197.6281564,0.00347233,7197.6281564,100,118.18,-86.2831484072,1.40916e-05,1.1241,0.365027,-86.2831484072,0.0252775,0.155729,2.65729,68.2607
0.01,79.4032052982,100,75.7623634351,-128.115,0.5,1,-81.3022,-91.7535795979,1.04152,9403.27828257,0.00177753,9403.27828257,100,124.33,-91.7535795979,3.23148e-05,1.2594,0.185133,-91.7535795979,0.0263432,0.350538,2.74369,67.5902
0.01,96.8532145132,100,96.4731066429,-107.149,0.5,1,-64.775,-66.1671624564,0.992864,1393.51313073,0.00244926,1393.51313073,100,95.03,-66.1671624564,3.69276e-06,1.03249,0.243179,-66.1671624564,0.0133411,0.0364024,1.32459,24.9212
0.01,95.2319583825,100,94.7934280774,-117.299,0.5,1,-74.5545,-77.0072334975,1.00018,4975.29725616,0.00820741,4975.29725616,100,107.27,-77.0072334975,5.54799e-06,1.05007,0.820891,-77.0072334975,0.0215075,0.0555001,2.15114,59.9433
0.01,88.9036980325,100,90.7033283915,-122.018,0.5,1,-77.777,-83.4048771973,1.08242,6062.40591721,0.0021043,6062.40591721,100,115.82,-83.4048771973,1.03531e-05,1.12481,0.227774,-83.4048771973,0.017222,0.1213,1.86414,61.9269
0.01,97.2196026779,100,97.6136022918,-110.701,0.5,1,-68.3951,-69.6503966941,0.986434,2578.3231046,0.00742983,2578.3231046,100,99.07,-69.6503966941,2.46941e-06,1.0286,0.732903,-69.6503966941,0.0148427,0.0240287,1.46413,43.1922
0.01,77.523745009,100,75.4224634652,-119.794,0.5,1,-72.4174,-80.373061565,0.961987,6123.4620297,3.21755e-05,6123.4620297,100,111.37,-80.373061565,3.29157e-05,1.28993,0.00309524,-80.373061565,0.0191693,0.304608,1.84406,53.9546
0.01,97.3727513493,100,96.2621835858,-119.242,0.5,1,-76.9685,-78.1295248102,1.01565,4961.04023231,0.00839487,4961.04023231,100,108.99,-78.1295248102,3.92219e-06,1.02698,0.852624,-78.1295248102,0.0225168,0.0404591,2.28692,65.7361
0.01,92.4680488617,100,90.8019015232,-116.943,0.5,1,-73.5635,-77.0818930313,1.00575,4989.01018466,0.00267556,4989.01018466,100,107.51,-77.0818930313,1.02322e-05,1.08145,0.269095,-77.0818930313,0.0235461,0.103503,2.36816,57.0813
0.01,95.8780567059,100,96.8522526163,-125.35,0.5,1,-82.7465,-84.5317713961,0.989012,7241.61546369,0.00775769,7241.61546369,100,116.45,-84.5317713961,3.28286e-06,1.04299,0.767245,-84.5317713961,0.0166651,0.0321111,1.6482,79.412
0.01,98.5406515334,100,99.2682704878,-114.762,0.5,1,-72.74,-73.427975336,0.967147,3806.91210736,0.00914088,3806.91210736,100,103.18,-73.427975336,7.44583e-07,1.01481,0.884058,-73.427975336,0.0131198,0.00696462,1.26888,57.4013
0.01,99.0800444481,100,99.3337517635,-109.88,0.5,1,-67.9761,-68.3956720185,1.00447,1394.58098834,0.00784589,1394.58098834,100,98.36,-68.3956720185,6.77505e-07,1.00928,0.788095,-68.3956720185,0.0133085,0.00683574,1.3368,33.9243
0.01,77.4709292661,100,81.8856861261,-115.7,0.5,1,-68.3071,-82.3051605599,1.07703,6088.69811339,7.8267e-05,6088.69811339,100,114.54,-82.3051605599,2.2345e-05,1.29081,0.00842959,-82.3051605599,0.0157419,0.2592,1.69545,23.9309
0.01,90.3332644504,100,91.1644771118,-116.382,0.5,1,-72.4922,-77.5966947532,1.0065,4965.00451498,0.00164315,4965.00451498,100,108.21,-77.5966947532,9.78977e-06,1.10701,0.165383,-77.5966947532,0.0158649,0.0991745,1.5968,49.8104
0.01,89.2518285297,100,88.8926381229,-128.621,0.5,1,-84.4669,-89.8889743121,1.00363,8279.9165142,0.00211082,8279.9165142,100,122.6,-89.8889743121,1.26214e-05,1.12043,0.211849,-89.8889743121,0.0183923,0.127133,1.84592,76.2965
0.01,91.3720156341,100,90.46725985,-115.407,0.5,1,-71.7711,-75.7761861953,0.967595,3757.28193221,0.00189045,3757.28193221,100,106.98,-75.7761861953,1.06437e-05,1.09443,0.182919,-75.7761861953,0.0158929,0.0996503,1.53779,39.2587
0.01,92.4397826787,100,91.4746720053,-113.987,0.5,1,-70.6003,-74.2956316976,1.0262,3809.48465619,0.00181842,3809.48465619,100,104.64,-74.2956316976,9.41402e-06,1.08179,0.186606,-74.2956316976,0.0155427,0.0991372,1.59498,45.0455
0.01,89.3892295917,100,89.6545819004,-116.791,0.5,1,-72.6709,-78.7468747182,1.02878,4941.34245389,0.000321023,4941.34245389,100,109.89,-78.7468747182,1.16557e-05,1.1187,0.0330263,-78.7468747182,0.0148083,0.123363,1.52345,49.7956
0.01,80.9286243517,100,79.0727113784,-122.87,0.5,1,-76.4969,-88.0436195879,0.997248,8330.34045332,0.000573876,8330.34045332,100,120.37,-88.0436195879,2.67332e-05,1.23566,0.0572297,-88.0436195879,0.0184271,0.265862,1.83764,64.3564
0.01,86.0632477985,100,87.2102361232,-116.763,0.5,1,-71.798,-78.2596512808,1.01466,4931.79512932,0.000775666,4931.79512932,100,109.38,-78.2596512808,1.48135e-05,1.16194,0.0787039,-78.2596512808,0.0175634,0.152512,1.78209,42.5851
0.01,96.319955651,100,91.1994553935,-114.836,0.5,1,-72.3328,-73.8869045213,1.02793,3791.10627411,0.00651988,3791.10627411,100,103.61,-73.8869045213,9.74724e-06,1.03821,0.670196,-73.8869045213,0.0369671,0.102993,3.79995,54.5306
0.01,93.3747990689,100,93.1109106919,-120.759,0.5,1,-77.5902,-81.8241457464,0.965958,6135.93434654,0.0025789,6135.93434654,100,112.69,-81.8241457464,7.47356e-06,1.07095,0.249111,-81.8241457464,0.0170155,0.0697339,1.64363,68.7173
0.01,93.245649352,100,93.4072775618,-69.7965,0.5,1,-60.7931,-61.4323199338,0.994419,103.347820111,0.00312219,103.347820111,100,89.03,-61.4323199338,7.12932e-06,1.07244,0.310476,-61.4323199338,0.0151276,0.0704997,1.50432,9.80388
0.01,166.80429476,200,82.095167087,-119.49,0.5,,-73.8132,-75.5443039846,1.13728,3788.5365085,0.00584513,103.347820111,100,89.03,-61.4323199338,2.20302e-05,1.19901,0.664754,-61.4323199338,0.0283207,0.284939,3.22086,51.7905
0.005,198.291760402,200,198.436567951,-97.5238,0.5,1,-67.9008,-74.9050141026,1.00177,3769.37722266,0.00457026,3769.37722266,100,105.91,-74.9050141026,1.97957e-07,1.00861,0.915666,-74.9050141026,0.00744932,0.00794629,1.4925,42.8559
0.01,200.0,200,100.0,-111.224,0.5,2,-69.5105,-69.5105259308,1.0,1357.68239947,0.01,1357.68239947,100,99.85,-69.5105259308,3.50449e-18,1.0,1.0,-69.5105259308,0.01,,1.0,36.662
0.005,187.682746968,200,188.674509502,-104.261,0.5,1,-73.8125,-82.2822725929,1.01715,6062.90516841,0.00202513,6062.90516841,100,113.82,-82.2822725929,1.5082e-06,1.06563,0.411973,-82.2822725929,0.0112497,0.0624157,2.28853,52.8832
0.01,200.0,200,100.0,-123.47,0.5,2,-81.7556,-81.7555520734,1.0,6115.50551725,0.01,6115.50551725,100,113.4,-81.7555520734,3.50449e-18,1.0,1.0,-81.7555520734,0.01,,1.0,77.8097
0.005,196.121618386,200,195.165637891,-112.264,0.5,1,-82.4774,-84.23172445,0.996651,7267.21515692,0.00430988,7267.21515692,100,115.61,-84.23172445,6.22383e-07,1.01978,0.859088,-84.23172445,0.00929553,0.0247288,1.85288,79.6526
0.01,200.0,200,100.0,-114.526,0.5,2,-72.8128,-72.8127992713,1.0,2565.1864084,0.01,2565.1864084,100,103.35,-72.8127992713,3.50449e-18,1.0,1.0,-72.8127992713,0.01,,1.0,50.3938
0.005,179.683909474,200,177.143490581,-106.601,0.5,1,-75.4816,-85.3089143376,0.993725,7216.78647083,0.00066184,7216.78647083,100,117.14,-85.3089143376,3.24192e-06,1.11307,0.131537,-85.3089143376,0.00868143,0.128055,1.72539,58.7319
0.01,200.0,200,100.0,-110.718,0.5,2,-69.0088,-69.0088296352,1.0,2601.64783957,0.01,2601.64783957,100,98.26,-69.0088296352,3.50449e-18,1.0,1.0,-69.0088296352,0.01,,1.0,50.7507
0.005,182.47503087,200,179.510406541,-100.164,0.5,1,-69.2842,-74.5409863527,0.980851,3757.14736968,0.000783475,3757.14736968,100,105.06,-74.5409863527,2.86787e-06,1.09604,0.153694,-74.5409863527,0.00784865,0.110364,1.53967,45.2325
0.01,200.0,200,100.0,-112.673,0.5,2,-70.9602,-70.9601947598,1.0,2571.76281143,0.01,2571.76281143,100,100.87,-70.9601947598,3.50449e-18,1.0,1.0,-70.9601947598,0.01,,1.0,50.4584
0.005,177.413707959,200,177.020143038,-102.259,0.5,1,-70.9414,-78.8094752543,1.01322,4946.60664133,0.000680024,4946.60664133,100,109.64,-78.8094752543,3.26168e-06,1.12731,0.137802,-78.8094752543,0.00917489,0.133939,1.85923,47.1135
0.01,200.0,200,100.0,-122.163,0.5,2,-80.4488,-80.4488451177,1.0,6139.34750754,0.01,6139.34750754,100,111.69,-80.4488451177,3.50449e-18,1.0,1.0,-80.4488451177,0.01,,1.0,77.9612
0.005,170.859679845,200,164.236472995,-98.2692,0.5,1,-66.3564,-63.10435491,0.937386,113.179733519,0.000170054,113.179733519,100,91.69,-63.10435491,5.47126e-06,1.17055,0.0318813,-63.10435491,0.00962044,0.192302,1.80361,26.8537
0.01,200.0,200,100.0,-110.146,0.5,2,-68.4326,-68.432561793,1.0,2599.75268099,0.01,2599.75268099,100,97.55,-68.432561793,3.50449e-18,1.0,1.0,-68.432561793,0.01,,1.0,50.7322
0.005,189.798074734,200,190.163695415,-103.74,0.5,1,-73.4612,-81.8216749363,0.995961,6092.0084427,0.00255424,6092.0084427,100,113.48,-81.8216749363,1.29962e-06,1.05375,0.508785,-81.8216749363,0.00895557,0.0515658,1.78388,60.2069
0.01,200.0,200,100.0,-109.324,0.5,2,-67.61,-67.610005043,1.0,1362.53974947,0.01,1362.53974947,100,97.21,-67.610005043,3.50449e-18,1.0,1.0,-67.610005043,0.01,,1.0,36.7276
0.005,195.331137143,200,195.254038665,-99.0468,0.5,1,-69.2,-72.2548842013,0.996589,2607.62002631,0.0014297,2607.62002631,100,102.47,-72.2548842013,6.10726e-07,1.0239,0.284966,-72.2548842013,0.00702414,0.0242627,1.40004,38.4012
0.01,200.0,200,100.0,-114.729,0.5,2,-73.0177,-73.0176915713,1.0,2562.84872664,0.01,2562.84872664,100,104.15,-73.0176915713,3.50449e-18,1.0,1.0,-73.0176915713,0.01,,1.0,50.3708
0.005,191.224529037,200,191.254732995,-103.559,0.5,1,-73.3952,-76.349229642,1.01533,4985.9339784,0.00281553,4985.9339784,100,107.01,-76.349229642,1.14889e-06,1.04589,0.571736,-76.349229642,0.00913562,0.047375,1.85513,56.3403
0.01,200.0,200,100.0,-125.293,0.5,2,-83.5793,-83.5792753066,1.0,7276.97732195,0.01,7276.97732195,100,114.68,-83.5792753066,3.50449e-18,1.0,1.0,-83.5792753066,0.01,,1.0,84.8776
0.005,174.50523509,200,176.359526267,-112.927,0.5,1,-81.3462,-87.1995641033,1.00639,7150.96686833,0.000558729,7150.96686833,100,119.83,-87.1995641033,3.36802e-06,1.1461,0.11246,-87.1995641033,0.0093752,0.136447,1.88702,73.9741
0.01,200.0,200,100.0,-117.099,0.5,2,-75.3857,-75.385750754,1.0,3789.26966081,0.01,3789.26966081,100,106.22,-75.385750754,3.50449e-18,1.0,1.0,-75.385750754,0.01,,1.0,61.2485
0.005,197.439009996,200,197.219135869,-100.299,0.5,1,-70.6118,-66.5707899296,0.998392,1357.31613903,0.00424401,1357.31613903,100,95.73,-66.5707899296,3.54283e-07,1.01297,0.847437,-66.5707899296,0.00766107,0.0141258,1.52975,49.2594
0.01,200.0,200,100.0,-122.611,0.5,2,-80.897,-80.8969699642,1.0,6120.16944761,0.01,6120.16944761,100,112.07,-80.8969699642,3.50449e-18,1.0,1.0,-80.8969699642,0.01,,1.0,77.8394
0.005,191.831164222,200,192.603396694,-104.363,0.5,1,-74.2459,-70.2721761757,1.01857,2626.23544939,0.00358415,2626.23544939,100,99.83,-70.2721761757,9.64901e-07,1.04258,0.730144,-70.2721761757,0.00840234,0.0400429,1.71168,59.4706
0.01,200.0,200,100.0,-123.194,0.5,2,-81.4798,-81.4797740863,1.0,6115.57537398,0.01,6115.57537398,100,113.11,-81.4797740863,3.50449e-18,1.0,1.0,-81.4797740863,0.01,,1.0,77.8102
0.005,180.529629258,200,179.440653793,-105.202,0.5,1,-74.1558,-73.0225551286,0.986342,3797.86193566,0.00120751,3797.86193566,100,103.29,-73.0225551286,2.87875e-06,1.10785,0.238204,-73.0225551286,0.00954797,0.112026,1.88351,61.3719
0.01,200.0,200,100.0,-120.336,0.5,2,-78.6213,-78.6213180171,1.0,4926.83430028,0.01,4926.83430028,100,110.24,-78.6213180171,3.50449e-18,1.0,1.0,-78.6213180171,0.01,,1.0,69.8396
0.005,187.109349994,200,186.614736305,-104.411,0.5,1,-73.9154,-73.739966497,0.99214,3787.51809525,0.00197046,3787.51809525,100,104.13,-73.739966497,1.80217e-06,1.06889,0.390995,-73.739966497,0.00973038,0.0709582,1.93078,56.7781
0.01,200.0,200,100.0,-114.259,0.5,2,-72.5444,-72.5444389184,1.0,2601.46873048,0.01,2601.46873048,100,103.25,-72.5444389184,3.50449e-18,1.0,1.0,-72.5444389184,0.01,,1.0,50.7489
0.005,182.868324185,200,182.386589446,-100.139,0.5,1,-69.292,-72.0510778789,0.989946,2634.07786463,0.000366116,2634.07786463,100,102.37,-72.0510778789,2.42643e-06,1.09368,0.0724871,-72.0510778789,0.0088443,0.0951156,1.75108,37.2747
0.01,200.0,200,100.0,-72.0512,0.5,2,-62.3799,-62.3799231958,1.0,122.216770707,0.01,122.216770707,100,90.85,-62.3799231958,3.50449e-18,1.0,1.0,-62.3799231958,0.01,,1.0,10.9998
0.005,195.169395711,200,195.231904306,-100.361,0.5,1,-70.502,-80.2465818451,0.989587,6123.38325854,0.0043623,6123.38325854,100,111.22,-80.2465818451,6.13628e-07,1.02475,0.863374,-80.2465818451,0.00986699,0.0240366,1.95285,50.8147
0.01,200.0,200,100.0,-116.174,0.5,2,-74.4596,-74.4596009935,1.0,3763.75215661,0.01,3763.75215661,100,104.65,-74.4596009935,3.50449e-18,1.0,1.0,-74.4596009935,0.01,,1.0,61.0419
0.005,154.548567301,200,155.069625746,-106.616,0.5,1,-73.0616,-86.5977709401,0.985623,8424.71079422,2.54772e-05,8424.71079422,100,118.27,-86.5977709401,7.27998e-06,1.29409,0.00502218,-86.5977709401,0.00990421,0.282886,1.95236,54.8501
