ESSClassic,AvgNormIw,MinNormIw,eRenyi2,VarJ,MaxNormIw,MinVanillaIw,AvgDiscRet,VarNormIw,VarVanillaIw,Bound,VarDiscRet,BatchSize,VarRet,J,AvgRet,MaxVanillaIw,AvgEpLen,ESSRenyi,AvgVanillaIw
37.371849589840075,0.01,2.9524457e-05,2.287571,0.012427873,0.064117014,0.0030808644,866.0087156125151,0.00016927383,1.8431944,865.9986,0.00014480359675923165,100,0.0017014955259138432,866.0124,1999.9708611297608,6.6905828,200.0,43.71449106429671,1.0434957
70.83502517285511,0.01,0.0010613056,1.4230108,0.008666639,0.029733138,0.10167862,866.008785535972,4.158899e-05,0.3817303,865.99976,0.00011575003531226161,100,0.0006322964414339184,866.00977,1999.9784143066406,2.8485897,200.0,70.27353423115201,0.95805216
87.42467548436615,0.01,0.0016325179,1.1519704,0.008862841,0.02313679,0.16304512,866.0088514145596,1.4529476e-05,0.14492711,866.0003,0.00010310380965746456,100,0.0005223232162489979,866.0097,1999.9787513828278,2.31075,200.0,86.80778705030968,0.99873406
66.07919397804145,0.01,0.0005419858,1.4571278,0.010643934,0.037061393,0.056592405,866.0075944968141,5.185206e-05,0.565336,865.99493,0.00022617615768620342,100,0.0018521249665254705,866.00964,1999.9756132793427,3.869831,200.0,68.628159689458,1.0441678
99.96411300620346,0.010000002,0.00963373,1.0004159,0.008969211,0.010424477,0.9638754,866.0091413100064,3.6238642e-08,0.0003627643,866.0016,8.188217693447368e-05,100,0.00033591609790862697,866.0093,1999.9800083351136,1.0429913,200.0,99.95842517072909,1.0005214
93.75925685222002,0.01,0.0054545808,1.0864296,0.008294993,0.018266167,0.5518321,866.0119341317424,6.7233623e-06,0.06881413,866.0052,6.388943721579328e-05,100,0.0002159673169289174,866.0123,1999.9848044681548,1.8479618,200.0,92.0446206298433,1.0116856
87.75500633081731,0.01,0.003670342,1.1454834,0.007693968,0.019500822,0.37025028,866.0112241940311,1.4094543e-05,0.14342628,866.00446,6.437894643379491e-05,100,0.00021740046384944762,866.01135,1999.9844492435454,1.9671695,200.0,87.2993901245404,1.0087624
74.90686366574809,0.010000002,0.002488512,1.3647968,0.008544829,0.04135671,0.2619769,866.00952077569,3.3837496e-05,0.3750116,866.0026,6.704532030315111e-05,100,0.00030114451055998523,866.0098,1999.9807169151306,4.3538074,200.0,73.27098297673675,1.0527451
79.93455502797815,0.010000002,0.0013289311,1.1867062,0.009094984,0.029419767,0.12336757,866.0095654781134,2.5355883e-05,0.21851231,866.002,7.913127535610513e-05,100,0.00039803665878135883,866.0097,1999.9808768558503,2.7311013,200.0,84.26685664512232,0.92832184
94.46488116478001,0.01,0.005841242,1.0535712,0.008763096,0.01614838,0.57959324,866.0106424181549,5.9186395e-06,0.05827176,866.00323,7.681755649520551e-05,100,0.0002177921490665265,866.0109,1999.983877105713,1.6023118,200.0,94.91527264778124,0.9922431
87.23162577247041,0.010000002,0.0031636267,1.153548,0.008389736,0.023813358,0.30451906,866.0106106193813,1.4785156e-05,0.1369886,866.00323,7.636654559896026e-05,100,0.000271139806626973,866.0111,1999.9833701992036,2.292186,200.0,86.6890669530464,0.96256316
97.8538424818241,0.01,0.007371708,1.0176957,0.007853402,0.015621213,0.7549378,866.0104334989181,2.2153888e-06,0.023234647,866.0037,6.351744054105253e-05,100,0.00017573271293295335,866.01056,1999.9838189029695,1.599771,200.0,98.2612026402563,1.0241016
