J,IterType,EpsThisIter,MaxNormIw,Delta,MinVanillaIw,ESSRenyi,AvgNormIw,VarVanillaIw,VarDiscRet,AvgVanillaIw,AvgRet,VanillaAvgRet,VarRet,BatchSize,VarJ,Bound,AvgDiscRet,eRenyi2,MaxVanillaIw,ESSClassic,AvgEpLen,VarNormIw,MinNormIw
290.106,2,100,0.0025,0.7,1.0,500.0,0.0025,,8567.70123904,1.0,272.697925522,272.697925522,8567.70123904,500,117.831,255.489,272.697925522,1.0,1.0,400.0,29.49,5.4346e-20,0.0025
477.54,1,100,0.33208,0.7,1.75311e-08,33.7033132857,0.002,213.251,14131.3376324,1.86744,286.982911494,286.982911494,14131.3376324,500,978.829,358.284,286.982911494,14.8353,310.069,8.06086147891,31.03,0.000244602,1.87756e-11
368.702,2,100,0.01,0.7,1.0,500.0,0.01,,18058.5876586,1.0,368.701729265,368.701729265,18058.5876586,500,133.709,314.049,368.701729265,1.0,1.0,100.0,39.78,3.50449e-18,0.01
359.187,2,100,0.005,0.7,1.0,500.0,0.005,,13617.1672315,1.0,349.673070642,349.673070642,13617.1672315,500,125.579,320.542,349.673070642,1.0,1.0,200.000000102,37.78,2.1793e-19,0.005
356.009,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,15884.7645145,1.0,349.653317591,349.653317591,15884.7645145,500,125.601,318.63,349.653317591,1.0,1.0,299.999969474,37.74,5.43914e-20,0.00333333
358.631,2,100,0.0025,0.7,1.0,500.0,0.0025,,15873.410424,1.0,366.494474027,366.494474027,15873.410424,500,125.622,326.259,366.494474027,1.0,1.0,400.0,39.56,5.4346e-20,0.0025
545.468,1,100,0.407455,0.7,1.20291e-06,50.0191237132,0.002,409.853,18830.656332,2.16122,381.49808829,381.49808829,18830.656332,500,556.576,453.925,381.49808829,9.99618,440.301,5.64519422468,41.18,0.000350986,1.11318e-09
447.971,2,100,0.01,0.7,1.0,500.0,0.01,,33261.8052942,1.0,447.971450191,447.971450191,33261.8052942,500,181.464,356.234,447.971450191,1.0,1.0,100.0,48.33,3.50449e-18,0.01
450.978,2,100,0.005,0.7,1.0,500.0,0.005,,24523.1328966,1.0,453.98469772,453.98469772,24523.1328966,500,169.153,386.11,453.98469772,1.0,1.0,200.000000102,48.98,2.1793e-19,0.005
444.104,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,22149.6028216,1.0,430.356409227,430.356409227,22149.6028216,500,162.723,391.139,430.356409227,1.0,1.0,299.999969474,46.43,5.43914e-20,0.00333333
435.571,2,100,0.0025,0.7,1.0,500.0,0.0025,,22287.7323228,1.0,409.973233409,409.973233409,22287.7323228,500,159.981,389.702,409.973233409,1.0,1.0,400.0,44.24,5.4346e-20,0.0025
832.584,1,100,0.67352,0.7,1.11241e-06,29.8901092887,0.002,2079.75,51911.099544,3.02328,475.765062498,475.765062498,51911.099544,500,2102.87,643.608,475.765062498,16.7279,1018.12,2.19218864119,51.34,0.000910151,7.35897e-10
507.205,2,100,0.01,0.7,1.0,500.0,0.01,,53911.5156735,1.0,507.204934533,507.204934533,53911.5156735,500,231.025,399.294,507.204934533,1.0,1.0,100.0,54.8,3.50449e-18,0.01
505.212,2,100,0.005,0.7,1.0,500.0,0.005,,88825.5225403,1.0,503.219993305,503.219993305,88825.5225403,500,265.817,405.294,503.219993305,1.0,1.0,200.000000102,54.33,2.1793e-19,0.005
501.622,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,48999.3968599,1.0,494.439776583,494.439776583,48999.3968599,500,251.598,420.039,494.439776583,1.0,1.0,299.999969474,53.39,5.43914e-20,0.00333333
489.992,2,100,0.0025,0.7,1.0,500.0,0.0025,,54290.230659,1.0,455.104897623,455.104897623,54290.230659,500,247.626,419.339,455.104897623,1.0,1.0,400.0,49.15,5.4346e-20,0.0025
1321.54,1,100,0.791138,0.7,2.06762e-13,22.065983979,0.002,4234.91,46679.4009969,3.67793,474.260559396,474.260559396,46679.4009969,500,2557.58,1020.72,474.260559396,22.6593,1454.88,1.59519870534,51.15,0.00125227,1.12434e-16
618.146,2,100,0.01,0.7,1.0,500.0,0.01,,93747.3900395,1.0,618.146455596,618.146455596,93747.3900395,500,304.647,508.718,618.146455596,1.0,1.0,100.0,66.84,3.50449e-18,0.01
618.93,2,100,0.005,0.7,1.0,500.0,0.005,,67580.2972696,1.0,619.712622044,619.712622044,67580.2972696,500,282.591,541.552,619.712622044,1.0,1.0,200.000000102,67.0,2.1793e-19,0.005
615.937,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,102477.154741,1.0,609.952775584,609.952775584,102477.154741,500,295.083,538.11,609.952775584,1.0,1.0,299.999969474,65.92,5.43914e-20,0.00333333
628.896,2,100,0.0025,0.7,1.0,500.0,0.0025,,83090.4091962,1.0,667.773784002,667.773784002,83090.4091962,500,293.895,561.496,667.773784002,1.0,1.0,400.0,72.15,5.4346e-20,0.0025
1892.7,1,100,0.799471,0.7,4.70174e-13,14.2901375897,0.002,5400.84,150810.840045,4.10274,623.493832323,623.493832323,150810.840045,500,3022.67,1454.36,623.493832323,34.9892,1640.01,1.55658653482,67.4,0.00128343,2.292e-16
965.653,2,100,0.01,0.7,1.0,500.0,0.01,,205042.243688,1.0,965.653155538,965.653155538,205042.243688,500,450.546,811.107,965.653155538,1.0,1.0,100.0,104.78,3.50449e-18,0.01
993.267,2,100,0.005,0.7,1.0,500.0,0.005,,231327.321338,1.0,1020.88075906,1020.88075906,231327.321338,500,465.581,862.663,1020.88075906,1.0,1.0,200.000000102,110.84,2.1793e-19,0.005
984.013,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,258095.177362,1.0,965.50578935,965.50578935,258095.177362,500,479.43,856.273,965.50578935,1.0,1.0,299.999969474,104.6,5.43914e-20,0.00333333
982.711,2,100,0.0025,0.7,1.0,500.0,0.0025,,230533.169846,1.0,978.806058666,978.806058666,230533.169846,500,479.011,872.085,978.806058666,1.0,1.0,400.0,106.23,5.4346e-20,0.0025
2410.23,1,100,0.722514,0.7,2.38084e-08,17.5257242605,0.002,3359.8,204862.330226,3.58594,911.577754932,911.577754932,204862.330226,500,6694.8,1881.73,911.577754932,28.5295,1295.45,1.9101548919,98.86,0.00104513,1.32788e-11
1192.73,2,100,0.01,0.7,1.0,500.0,0.01,,377358.335822,1.0,1192.72592262,1192.72592262,377358.335822,500,611.216,961.707,1192.72592262,1.0,1.0,100.0,129.63,3.50449e-18,0.01
1280.35,2,100,0.005,0.7,1.0,500.0,0.005,,678524.521008,1.0,1367.97755187,1367.97755187,678524.521008,500,728.245,1065.69,1367.97755187,1.0,1.0,200.000000102,148.58,2.1793e-19,0.005
1279.57,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,409381.727681,1.0,1277.99880188,1277.99880188,409381.727681,500,699.04,1104.29,1277.99880188,1.0,1.0,299.999969474,138.99,5.43914e-20,0.00333333
1294.69,2,100,0.0025,0.7,1.0,500.0,0.0025,,386798.305532,1.0,1340.04854058,1340.04854058,386798.305532,500,680.376,1142.9,1340.04854058,1.0,1.0,400.0,145.61,5.4346e-20,0.0025
4415.79,1,100,0.896758,0.7,5.47996e-25,6.34139166918,0.002,2515.52,263755.04339,2.49938,1217.25459067,1217.25459067,263755.04339,500,4692.28,3210.24,1217.25459067,78.847,1120.67,1.24107491042,132.24,0.00161073,4.38506e-28
2036.75,2,100,0.01,0.7,1.0,500.0,0.01,,921350.583276,1.0,2036.75146852,2036.75146852,921350.583276,500,955.059,1731.95,2036.75146852,1.0,1.0,100.0,221.8,3.50449e-18,0.01
2057.39,2,100,0.005,0.7,1.0,500.0,0.005,,1002040.443,1.0,2078.02173765,2078.02173765,1002040.443,500,975.963,1841.86,2078.02173765,1.0,1.0,200.000000102,226.92,2.1793e-19,0.005
2042.75,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,1112148.15706,1.0,2013.4696967,2013.4696967,1112148.15706,500,1001.22,1866.77,2013.4696967,1.0,1.0,299.999969474,219.1,5.43914e-20,0.00333333
2038.23,2,100,0.0025,0.7,1.0,500.0,0.0025,,1051561.31347,1.0,2024.67523619,2024.67523619,1051561.31347,500,1006.06,1885.83,2024.67523619,1.0,1.0,400.0,220.8,5.4346e-20,0.0025
3891.5,1,100,0.554793,0.7,3.74996e-10,21.2838425104,0.002,636.88,1105361.913,2.02027,1945.59502837,1945.59502837,1105361.913,500,9449.37,3230.54,1945.59502837,23.492,560.417,3.19022830407,212.67,0.000624163,3.71233e-13
2601.36,2,100,0.01,0.7,1.0,500.0,0.01,,1157935.12533,1.0,2601.36032932,2601.36032932,1157935.12533,500,1070.68,2296.31,2601.36032932,1.0,1.0,100.0,283.48,3.50449e-18,0.01
2654.5,2,100,0.005,0.7,1.0,500.0,0.005,,949084.028599,1.0,2707.64375453,2707.64375453,949084.028599,500,1022.64,2438.8,2707.64375453,1.0,1.0,200.000000102,295.38,2.1793e-19,0.005
2635.51,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,1249823.36452,1.0,2597.53340997,2597.53340997,1249823.36452,500,1053.74,2459.39,2597.53340997,1.0,1.0,299.999969474,283.26,5.43914e-20,0.00333333
2659.77,2,100,0.0025,0.7,1.0,500.0,0.0025,,1107379.61314,1.0,2732.52699286,2732.52699286,1107379.61314,500,1052.91,2507.24,2732.52699286,1.0,1.0,400.0,298.64,5.4346e-20,0.0025
4285.4,1,100,0.522778,0.7,1.95448e-13,21.371584086,0.002,488.979,1061363.13673,1.8687,2438.84401608,2438.84401608,1061363.13673,500,4206.68,3625.11,2438.84401608,23.3956,488.459,3.55250403505,266.57,0.000560104,2.0918e-16
3248.74,2,100,0.01,0.7,1.0,500.0,0.01,,1122388.90177,1.0,3248.74349639,3248.74349639,1122388.90177,500,1054.12,2943.77,3248.74349639,1.0,1.0,100.0,354.77,3.50449e-18,0.01
3165.11,2,100,0.005,0.7,1.0,500.0,0.005,,1241189.96893,1.0,3081.47336704,3081.47336704,1241189.96893,500,1084.88,2949.46,3081.47336704,1.0,1.0,200.000000102,336.76,2.1793e-19,0.005
3252.05,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,789868.371452,1.0,3425.92634356,3425.92634356,789868.371452,500,1029.77,3075.69,3425.92634356,1.0,1.0,299.999969474,373.9,5.43914e-20,0.00333333
3281.09,2,100,0.0025,0.7,1.0,500.0,0.0025,,1275022.72749,1.0,3368.21165349,3368.21165349,1275022.72749,500,1055.18,3128.35,3368.21165349,1.0,1.0,400.0,367.97,5.4346e-20,0.0025
4270.46,1,100,0.516678,0.7,1.91025e-10,30.6851603566,0.002,522.02,1028938.28665,1.94905,3155.97096486,3155.97096486,1028938.28665,500,4167.65,3719.01,3155.97096486,16.2945,503.516,3.61946574165,344.9,0.000549668,1.96018e-13
3467.52,2,100,0.01,0.7,1.0,500.0,0.01,,1124870.09312,1.0,3467.52143297,3467.52143297,1124870.09312,500,1055.28,3162.04,3467.52143297,1.0,1.0,100.0,378.63,3.50449e-18,0.01
3618.93,2,100,0.005,0.7,1.0,500.0,0.005,,632598.871224,1.0,3770.34522411,3770.34522411,632598.871224,500,944.919,3402.92,3770.34522411,1.0,1.0,200.000000102,410.98,2.1793e-19,0.005
3527.81,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,1108914.94324,1.0,3345.57656605,3345.57656605,1108914.94324,500,988.836,3351.44,3345.57656605,1.0,1.0,299.999969474,365.49,5.43914e-20,0.00333333
3560.81,2,100,0.0025,0.7,1.0,500.0,0.0025,,941116.441684,1.0,3659.78624755,3659.78624755,941116.441684,500,984.652,3408.07,3659.78624755,1.0,1.0,400.0,398.11,5.4346e-20,0.0025
4137.39,1,100,0.322948,0.7,1.90157e-05,81.5384129677,0.002,152.497,874934.860047,1.69002,3656.89805323,3656.89805323,874934.860047,500,3876.97,3799.09,3656.89805323,6.13208,272.895,9.21063397606,399.09,0.000213567,2.25034e-08
3739.2,2,100,0.01,0.7,1.0,500.0,0.01,,849028.772704,1.0,3739.20366665,3739.20366665,849028.772704,500,916.809,3433.97,3739.20366665,1.0,1.0,100.0,407.99,3.50449e-18,0.01
3733.69,2,100,0.005,0.7,1.0,500.0,0.005,,860892.813086,1.0,3728.17630019,3728.17630019,860892.813086,500,920.023,3517.86,3728.17630019,1.0,1.0,200.000000102,406.12,2.1793e-19,0.005
3723.17,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,795840.499668,1.0,3702.11967698,3702.11967698,795840.499668,500,909.474,3546.94,3702.11967698,1.0,1.0,299.999969474,404.09,5.43914e-20,0.00333333
3731.4,2,100,0.0025,0.7,1.0,500.0,0.0025,,909332.01912,1.0,3756.09273441,3756.09273441,909332.01912,500,919.576,3578.78,3756.09273441,1.0,1.0,400.0,409.07,5.4346e-20,0.0025
4374.65,1,100,0.45739,0.7,5.46772e-08,62.4712763175,0.002,354.894,660304.832003,1.82859,3839.54675239,3839.54675239,660304.832003,500,2532.43,3988.41,3839.54675239,8.00368,418.189,4.6762064882,418.35,0.000424547,5.98026e-11
3991.08,2,100,0.01,0.7,1.0,500.0,0.01,,569394.70816,1.0,3991.08215493,3991.08215493,569394.70816,500,750.8,3685.81,3991.08215493,1.0,1.0,100.0,434.56,3.50449e-18,0.01
3911.94,2,100,0.005,0.7,1.0,500.0,0.005,,686962.61915,1.0,3832.78917482,3832.78917482,686962.61915,500,792.566,3696.07,3832.78917482,1.0,1.0,200.000000102,418.33,2.1793e-19,0.005
3884.63,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,721675.946343,1.0,3830.00658352,3830.00658352,721675.946343,500,811.43,3708.38,3830.00658352,1.0,1.0,299.999969474,417.5,5.43914e-20,0.00333333
3860.7,2,100,0.0025,0.7,1.0,500.0,0.0025,,774512.594173,1.0,3788.94012657,3788.94012657,774512.594173,500,828.989,3708.07,3788.94012657,1.0,1.0,400.0,413.43,5.4346e-20,0.0025
4461.31,1,100,0.394612,0.7,4.39594e-07,63.4324568311,0.002,244.353,669296.316881,1.72124,3863.23075566,3863.23075566,669296.316881,500,1825.74,4078.02,3863.23075566,7.8824,339.612,6.00151748573,421.64,0.000329909,5.10786e-10
4070.94,2,100,0.01,0.7,1.0,500.0,0.01,,559431.778406,1.0,4070.9362451,4070.9362451,559431.778406,500,744.203,3765.62,4070.9362451,1.0,1.0,100.0,442.68,3.50449e-18,0.01
4123.38,2,100,0.005,0.7,1.0,500.0,0.005,,475016.337287,1.0,4175.82061417,4175.82061417,475016.337287,500,717.497,3907.48,4175.82061417,1.0,1.0,200.000000102,454.46,2.1793e-19,0.005
4062.23,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,639151.31491,1.0,3939.93900282,3939.93900282,639151.31491,500,749.399,3885.94,3939.93900282,1.0,1.0,299.999969474,428.5,5.43914e-20,0.00333333
4063.56,2,100,0.0025,0.7,1.0,500.0,0.0025,,556458.807256,1.0,4067.56133566,4067.56133566,556458.807256,500,747.615,3910.89,4067.56133566,1.0,1.0,400.0,442.71,5.4346e-20,0.0025
4584.35,1,100,0.82329,0.7,0.00151433,103.796036417,0.002,13668.8,594364.670228,6.35212,4031.31363297,4031.31363297,594364.670228,500,1271.1,4284.65,4031.31363297,4.81714,2614.82,1.47456473442,439.35,0.00135504,4.76795e-07
4053.44,2,100,0.01,0.7,1.0,500.0,0.01,,604731.595323,1.0,4053.4409347,4053.4409347,604731.595323,500,773.747,3748.29,4053.4409347,1.0,1.0,100.0,440.75,3.50449e-18,0.01
4094.8,2,100,0.005,0.7,1.0,500.0,0.005,,567779.463474,1.0,4136.16731617,4136.16731617,567779.463474,500,762.957,3878.93,4136.16731617,1.0,1.0,200.000000102,449.7,2.1793e-19,0.005
4063.95,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,663483.299692,1.0,4002.25487133,4002.25487133,663483.299692,500,780.335,3887.69,4002.25487133,1.0,1.0,299.999969474,435.01,5.43914e-20,0.00333333
4077.97,2,100,0.0025,0.7,1.0,500.0,0.0025,,588755.273442,1.0,4120.03556073,4120.03556073,588755.273442,500,776.53,3925.33,4120.03556073,1.0,1.0,400.0,447.6,5.4346e-20,0.0025
4378.9,1,100,0.0783287,0.7,7.82586e-05,116.189568628,0.002,12.2784,675721.755399,1.16792,3936.43129853,3936.43129853,675721.755399,500,1007.05,4095.67,3936.43129853,4.30331,45.7409,50.0827073581,428.89,3.6006e-05,1.34013e-07
4165.84,2,100,0.01,0.7,1.0,500.0,0.01,,512333.311526,1.0,4165.83958289,4165.83958289,512333.311526,500,712.187,3860.53,4165.83958289,1.0,1.0,100.0,452.71,3.50449e-18,0.01
4171.39,2,100,0.005,0.7,1.0,500.0,0.005,,504786.960104,1.0,4176.94858856,4176.94858856,504786.960104,500,709.581,3955.43,4176.94858856,1.0,1.0,200.000000102,454.87,2.1793e-19,0.005
4196.02,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,421865.027693,1.0,4245.27055682,4245.27055682,421865.027693,500,689.999,4019.67,4245.27055682,1.0,1.0,299.999969474,461.61,5.43914e-20,0.00333333
4161.33,2,100,0.0025,0.7,1.0,500.0,0.0025,,628247.568429,1.0,4057.28188843,4057.28188843,628247.568429,500,718.453,4008.61,4057.28188843,1.0,1.0,400.0,441.58,5.4346e-20,0.0025
4432.89,1,100,0.0769263,0.7,6.57015e-06,130.944729907,0.002,6.21521,504498.826664,0.967383,4166.75985768,4166.75985768,504498.826664,500,747.671,4165.95,4166.75985768,3.8184,37.2086,65.5469831963,453.9,2.65656e-05,1.35834e-08
4210.18,2,100,0.01,0.7,1.0,500.0,0.01,,369585.41124,1.0,4210.17993294,4210.17993294,369585.41124,500,604.888,3905.06,4210.17993294,1.0,1.0,100.0,457.84,3.50449e-18,0.01
4139.21,2,100,0.005,0.7,1.0,500.0,0.005,,530537.116605,1.0,4068.24541099,4068.24541099,530537.116605,500,671.265,3923.27,4068.24541099,1.0,1.0,200.000000102,443.51,2.1793e-19,0.005
4157.57,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,348352.869899,1.0,4194.27004243,4194.27004243,348352.869899,500,645.002,3981.15,4194.27004243,1.0,1.0,299.999969474,455.94,5.43914e-20,0.00333333
4152.34,2,100,0.0025,0.7,1.0,500.0,0.0025,,468981.540236,1.0,4136.67052854,4136.67052854,468981.540236,500,654.351,3999.56,4136.67052854,1.0,1.0,400.0,449.79,5.4346e-20,0.0025
4344.95,1,100,0.0634556,0.7,0.00145554,161.742927133,0.002,7.25203,360731.645731,1.17618,4209.79084257,4209.79084257,360731.645731,500,934.072,4104.68,4209.79084257,3.09133,37.3176,80.2349661215,457.58,2.09687e-05,2.47503e-06
4086.5,2,100,0.01,0.7,1.0,500.0,0.01,,486971.887157,1.0,4086.49702706,4086.49702706,486971.887157,500,694.336,3781.24,4086.49702706,1.0,1.0,100.0,444.57,3.50449e-18,0.01
4191.96,2,100,0.005,0.7,1.0,500.0,0.005,,274959.779246,1.0,4297.42797748,4297.42797748,274959.779246,500,623.12,3976.01,4297.42797748,1.0,1.0,200.000000102,466.72,2.1793e-19,0.005
4150.63,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,462732.428007,1.0,4067.97824697,4067.97824697,462732.428007,500,644.182,3974.31,4067.97824697,1.0,1.0,299.999969474,442.92,5.43914e-20,0.00333333
4171.15,2,100,0.0025,0.7,1.0,500.0,0.0025,,367710.372479,1.0,4232.69344661,4232.69344661,367710.372479,500,635.216,4018.45,4232.69344661,1.0,1.0,400.0,459.5,5.4346e-20,0.0025
4277.4,1,100,0.0256549,0.7,0.0135851,249.006923838,0.002,1.13878,500592.524171,1.08041,4115.22297679,4115.22297679,500592.524171,500,658.828,4083.86,4115.22297679,2.00798,13.8589,253.341128439,446.92,3.9023e-06,2.5148e-05
4253.09,2,100,0.01,0.7,1.0,500.0,0.01,,471724.800151,1.0,4253.09175721,4253.09175721,471724.800151,500,683.38,3947.63,4253.09175721,1.0,1.0,100.0,461.98,3.50449e-18,0.01
4190.38,2,100,0.005,0.7,1.0,500.0,0.005,,474773.414632,1.0,4127.67913957,4127.67913957,474773.414632,500,687.349,3974.39,4127.67913957,1.0,1.0,200.000000102,448.55,2.1793e-19,0.005
4150.2,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,563674.187008,1.0,4069.8368944,4069.8368944,563674.187008,500,710.076,3973.84,4069.8368944,1.0,1.0,299.999969474,443.61,5.43914e-20,0.00333333
4154.88,2,100,0.0025,0.7,1.0,500.0,0.0025,,461683.943903,1.0,4168.89400255,4168.89400255,461683.943903,500,701.775,4002.14,4168.89400255,1.0,1.0,400.0,452.74,5.4346e-20,0.0025
4264.17,1,100,0.0119589,0.7,0.0348949,274.776398405,0.002,0.605404,479251.576516,0.960604,4191.48178817,4191.48178817,479251.576516,500,704.53,4079.89,4191.48178817,1.81966,5.74387,302.157308861,455.73,2.62432e-06,7.26519e-05
4202.76,2,100,0.01,0.7,1.0,500.0,0.01,,449347.494531,1.0,4202.75919306,4202.75919306,449347.494531,500,666.974,3897.37,4202.75919306,1.0,1.0,100.0,456.72,3.50449e-18,0.01
4196.13,2,100,0.005,0.7,1.0,500.0,0.005,,391459.285139,1.0,4189.50953842,4189.50953842,391459.285139,500,645.169,3980.19,4189.50953842,1.0,1.0,200.000000102,455.4,2.1793e-19,0.005
4220.73,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,383004.769008,1.0,4269.90700549,4269.90700549,383004.769008,500,636.472,4044.41,4269.90700549,1.0,1.0,299.999969474,462.59,5.43914e-20,0.00333333
4187.69,2,100,0.0025,0.7,1.0,500.0,0.0025,,530889.223012,1.0,4088.56800827,4088.56800827,530889.223012,500,662.188,4034.95,4088.56800827,1.0,1.0,400.0,444.58,5.4346e-20,0.0025
4382.58,1,100,0.238947,0.7,0.00216909,167.086650258,0.002,47.6099,454727.451949,1.27873,4181.73464478,4181.73464478,454727.451949,500,1350.52,4146.25,4181.73464478,2.99246,152.775,16.6344355346,454.17,0.000116465,3.39256e-06
4219.54,2,100,0.01,0.7,1.0,500.0,0.01,,389333.346723,1.0,4219.54423278,4219.54423278,389333.346723,500,620.838,3914.17,4219.54423278,1.0,1.0,100.0,458.08,3.50449e-18,0.01
4204.92,2,100,0.005,0.7,1.0,500.0,0.005,,472086.552842,1.0,4190.29524597,4190.29524597,472086.552842,500,653.159,3988.94,4190.29524597,1.0,1.0,200.000000102,455.46,2.1793e-19,0.005
4192.78,2,100,0.00333333,0.7,1.0,500.0,0.00333333,,422258.120797,1.0,4168.49036127,4168.49036127,422258.120797,500,651.192,4016.43,4168.49036127,1.0,1.0,299.999969474,452.73,5.43914e-20,0.00333333
4141.83,2,100,0.0025,0.7,1.0,500.0,0.0025,,484737.108011,1.0,3988.97256643,3988.97256643,484737.108011,500,667.682,3989.11,3988.97256643,1.0,1.0,400.0,434.43,5.4346e-20,0.0025
4304.66,1,100,0.0136208,0.7,1.43111e-05,243.353603594,0.002,0.850908,334941.598794,0.968562,4244.98928776,4244.98928776,334941.598794,500,649.771,4108.86,4244.98928776,2.05462,6.59629,262.435792374,460.61,3.62817e-06,2.95512e-08
4139.79,2,100,0.01,0.7,1.0,500.0,0.01,,400089.9262,1.0,4139.78787355,4139.78787355,400089.9262,500,629.356,3834.52,4139.78787355,1.0,1.0,100.0,450.25,3.50449e-18,0.01
