SamplesThisIter,ESSClassic,AvgEpLen,VarJ,VarVanillaIw,AvgVanillaIw,AvgDiscRet,delta,AvgRet,J,VanillaAvgRet,VarNormIw,ESSRenyi,renyi2,MinNormIw,IterType,AvgNormIw,VarRet,VarDiscRet,EpsThisIter,MaxVanillaIw,BatchSize,MinVanillaIw,MaxNormIw,Bound
50000,1.99999988105,49.2610837438,19436.1,inf,6.38555e+18,455.64327836,0.8,455.64327836,203943.0,455.64327836,2.73671e-06,nan,nan,,1,5.47345e-06,61064.4191337,61064.4191337,1015,5.8332e+23,100,,0.5,1360.1
50000,1.99895954139,53.4188034188,24153.8,6.28645e+18,8.85011e+06,494.376120612,0.8,494.376120612,229286.0,494.376120612,2.82755e-06,nan,nan,,1,5.93542e-06,68050.3646019,68050.3646019,936,7.27529e+11,100,,0.487925,1290.89
50000,1.99999998287,58.6854460094,21679.4,5.58271e+15,277419.0,542.799910456,0.8,542.799910456,237072.0,542.799910456,3.08424e-06,nan,nan,,1,6.5206e-06,88637.4141724,88637.4141724,852,2.06819e+10,100,,0.486119,1310.55
50000,2.00000012245,61.804697157,24693.7,inf,6.66583e+15,571.762647431,0.8,571.762647431,297770.0,571.762647431,3.43356e-06,nan,nan,,1,6.86719e-06,105656.112259,105656.112259,809,4.85338e+20,100,,0.499999,1730.57
50000,2.00000006338,63.051702396,24936.2,inf,1.99497e+17,583.365154762,0.8,583.365154762,296840.0,583.365154762,3.50285e-06,nan,nan,,1,7.00574e-06,96943.786205,96943.786205,793,1.42381e+22,100,,0.5,1804.16
50000,1.98434495832,62.9722921914,24384.0,1.0451e+08,54.1103,582.506452743,0.8,582.506452743,237013.0,582.506452743,1.74749e-06,nan,nan,,1,6.99692e-06,89358.2985668,89358.2985668,794,2.7169e+06,100,,0.351319,1276.49
50000,1.99999999505,64.2673521851,18694.6,3.28112e+25,2.16472e+10,594.439424611,0.8,594.439424611,260218.0,594.439424611,3.57038e-06,nan,nan,,1,7.14082e-06,94554.2776745,94554.2776745,778,1.51574e+15,100,,0.5,1519.09
50000,1.16919151512,65.0195058518,26901.3,3.25519e+06,20.699,601.633649936,0.8,601.633649936,241243.0,601.633649936,3.96535e-07,nan,nan,,1,7.22439e-06,84301.7600623,84301.7600623,769,268964.0,100,,0.0938745,1316.13
50000,1.99998986323,69.2520775623,26028.8,7.59724e+16,1.3611e+06,640.836132056,0.8,640.836132056,296028.0,640.836132056,2.42806e-06,nan,nan,,1,7.69468e-06,97625.156765,97625.156765,722,6.69533e+10,100,,0.378507,1576.7
50000,1.9999821946,69.5410292072,24694.1,9.51774e+18,1.21714e+07,643.469323807,0.8,643.469323807,274578.0,643.469323807,3.83573e-06,nan,nan,,1,7.72678e-06,117446.351993,117446.351993,719,7.84788e+11,100,,0.498206,1522.24
50000,1.05872508465,69.8324022346,20363.0,inf,5.79374e+22,645.882945403,0.8,645.882945403,297068.0,645.882945403,1.34922e-06,nan,nan,,1,7.75916e-06,102335.486378,102335.486378,716,1.60195e+27,100,,0.214538,1679.89
