DivergenceHarmonic,StdIW,MinIW,LearnableVariance,EpisodesSoFar,OptimizationReturnMean,InitialReturnMean,MinBehavPdf,MeanEntropy,EpLenMean,MinTargetPdf,ESSRenyiArithmetic,Inner Iteration,InitialReturnMax,InitialReturnMin,Iteration,EpThisIter,StdWReturnMean,OptimizationReturnMax,EpRewMean,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,VarianceInitializer,InitialBound,MeanIW,TimestepsSoFar,TimeElapsed,Weights,WReturnMean,Epsilon,OptimizationReturnMin,ESSRenyiHarmonic,InitialReturnStd,Bound,MaxIW,ReturnStepMaxmin,EmpiricalD2Arithmetic,ReturnStepMax,Penalization
1.655728e+26,12256346.0,0.15840568,,3800,169.26848,446.88467,-39.489742,0.4189424,48.17,-39.489742,100.0,1,759.3747,277.6162,38,100,,481.75848,446.88468745019543,1.0,576633440000.0,1.0,-1.0,-215539.75,1274768.4,167527,272.1023349761963,[ 0.072  0.146 -0.072  0.005  0.011  0.17   0.489 -0.871  0.     0.  0.   ],209744.2,2.0,,100.0,100.19119,-7.457487e+16,123166000.0,9.359738,1.0,9.359738,True
8.371678e+32,119814700.0,0.034837417,,3900,164.43915,461.48453,-48.663193,0.4189424,49.74,-48.663193,100.0,1,921.93414,297.04535,39,100,,624.8888,461.4844962579983,1.0,5659282600000.0,1.0,-1.0,-237341.16,12712803.0,172501,280.8180902004242,[ 0.093  0.142 -0.074  0.02   0.026  0.216  0.46  -0.868  0.     0.  0.   ],228798.72,2.0,,100.0,125.82042,-2.4716582e+20,1203868400.0,9.359928,1.0,9.359928,True
1300073800000.0,75.59321,0.12013161,,4000,163.26588,431.81552,-34.604176,0.4189424,46.55,-34.604176,100.0,1,769.8065,268.54962,40,100,,501.2569,431.81550868171706,1.0,4799105.0,1.0,-1.0,-202606.58,24.115606,177156,287.54883646965027,[ 0.08   0.15  -0.077 -0.063 -0.058  0.251  0.459 -0.883  0.     0.  0.   ],196650.69,2.0,,100.0,100.92602,-6795734000.0,520.3935,9.359959,1.0,9.359959,True
5.7506354e+19,1064.5295,0.035882585,,4100,154.65271,460.94446,-52.862644,0.4189424,49.67,-52.862644,100.0,1,1104.7905,306.29175,41,100,,798.4988,460.9444572201484,1.0,66593668.0,1.0,-1.0,-242066.4,278.36017,182123,296.7539291381836,[ 0.083  0.153 -0.073 -0.043 -0.037  0.212  0.499 -0.887  0.     0.  0.   ],229799.3,2.0,,100.0,131.64159,-93025180000000.0,6506.5913,9.359959,1.0,9.359959,True
723395300000.0,379.10776,0.06431899,,4200,162.57169,478.27625,-39.659336,0.4189424,51.53,-39.659336,100.0,1,843.316,315.70453,42,100,,527.61145,478.2762202362394,1.0,29996352.0,1.0,-1.0,-249829.06,111.97268,187276,306.05441451072693,[ 0.111  0.154 -0.074 -0.021 -0.013  0.255  0.483 -0.886  0.     0.  0.   ],242681.42,2.0,,100.0,118.03939,-6109259000.0,2551.6653,9.35999,1.0,9.35999,True
1.7861131e+31,60632.69,0.080555394,,4300,221.17094,489.3664,-53.86385,0.4189424,52.75,-53.86385,100.0,1,1054.7346,268.1955,43,100,,786.5391,489.36642663592573,1.0,4549124000.0,1.0,-1.0,-271568.53,13925.365,192551,316.5571517944336,[ 0.111  0.149 -0.078 -0.005  0.004  0.277  0.436 -0.862  0.     0.  0.   ],260387.83,2.0,,100.0,144.5972,-4.7252335e+19,546086.75,9.35988,1.0,9.35988,True
30531597000000.0,18.34113,0.017962754,,4400,142.94304,409.0237,-38.70994,0.4189424,44.08,-38.70994,100.0,1,926.47955,266.0807,44,100,,660.39886,409.02373554857064,1.0,1871604.4,1.0,-1.0,-189155.25,9.722212,196959,324.7940812110901,[ 0.084  0.156 -0.087  0.076  0.085  0.287  0.395 -0.856  0.     0.  0.   ],180528.36,2.0,,100.0,115.01285,-47670080000.0,110.88274,9.359972,1.0,9.359972,True
1112508900000.0,155.25792,0.11213356,,4500,170.70355,429.41745,-40.349083,0.4189424,46.29,-40.349083,100.0,1,742.2516,258.7139,45,100,,483.5377,429.41745023862825,1.0,8712357.0,1.0,-1.0,-199497.0,32.539566,201588,333.51456093788147,[ 0.081  0.155 -0.086  0.049  0.058  0.246  0.421 -0.868  0.     0.  0.   ],193959.88,2.0,,100.0,97.777985,-5849029600.0,1550.6002,9.359819,1.0,9.359819,True
1577461100000.0,63.808342,0.2164356,,4600,215.1258,512.3762,-55.3794,0.4189424,55.24,-55.3794,100.0,1,1007.12573,297.25043,46,100,,709.8753,512.3762198980804,1.0,5147382.5,1.0,-1.0,-295012.84,20.336678,207112,343.30579924583435,[ 0.099  0.157 -0.088  0.014  0.021  0.274  0.41  -0.862  0.     0.  0.   ],284818.7,2.0,,100.0,149.29611,-12808660000.0,547.4375,9.359925,1.0,9.359925,True
19888683000000.0,84.592705,0.08248427,,4700,181.65598,484.9071,-43.407074,0.4189424,52.27,-43.407074,100.0,1,904.0669,303.25116,47,100,,600.81573,484.9071292212094,1.0,7307452.5,1.0,-1.0,-260386.06,26.624334,212339,353.02761149406433,[ 0.087  0.157 -0.093 -0.021 -0.015  0.244  0.394 -0.856  0.     0.  0.   ],252171.52,2.0,,100.0,130.52437,-36641493000.0,736.9556,9.359878,1.0,9.359878,True
