Inner Iteration,TimeElapsed,LearnableVariance,OptimizationReturnMax,Iteration,ESSRenyiHarmonic,ReturnStepMaxmin,EmpiricalD2Harmonic,StdIW,VarianceInitializer,StdWReturnMean,Weights,EpisodesSoFar,InitialReturnStd,EmpiricalD2Arithmetic,MinTargetPdf,DivergenceHarmonic,ReturnStepMax,InitialReturnMin,ESSRenyiArithmetic,MinBehavPdf,MaxIW,MeanIW,EpRewMean,Bound,WReturnMean,ReturnMeanIW,InitialBound,MeanD2-0,EpLenMean,InitialReturnMax,TimestepsSoFar,Penalization,InitialReturnMean,MeanEntropy,OptimizationReturnMean,Epsilon,EpThisIter,MinIW,OptimizationReturnMin
1,45.72842192649841,,420.95093,26,100.0,9.359856,1.0,228.05368,-1.0,,[-0.033  0.222 -0.044  0.052  0.028 -0.077  0.528 -0.658  0.     0.  0.   ],2600,71.81423,1.0,-31.779284,1.416735e+21,9.359856,269.08765,100.0,-31.779284,1774.0526,63.89614,386.75488657555536,-180124790000000.0,154736.62,10239732.0,-159522.16,1.0,41.7,690.0386,94683,True,386.75488,0.4189424,117.66724,2.0,100,0.09971122,
1,48.072275161743164,,481.88342,27,100.0,9.359885,1.0,342.6236,-1.0,,[-0.023  0.224 -0.047  0.082  0.057 -0.038  0.504 -0.657  0.     0.  0.   ],2700,85.56466,1.0,-32.571877,11582501000000.0,9.359885,267.19153,100.0,-32.571877,3258.3057,60.55815,391.6930640784492,-19204143000.0,160744.78,11528295.0,-166384.19,1.0,42.25,749.07495,98908,True,391.693,0.4189424,124.50153,2.0,100,0.031753726,
1,50.54810810089111,,477.14368,28,100.0,9.359706,1.0,20401946.0,-1.0,,[-0.037  0.222 -0.047  0.048  0.022 -0.073  0.514 -0.66   0.     0.  0.   ],2800,81.44514,1.0,-35.248886,1.0142827e+29,9.359706,268.11713,100.0,-35.248886,202443780.0,2636075.5,391.3112249709951,-1.7777822e+18,159757.78,285722280000.0,-165339.9,1.0,42.17,745.2608,103125,True,391.31125,0.4189424,123.194115,2.0,100,0.1486373,
1,53.28939771652222,,724.3334,29,100.0,9.3597975,1.0,46068.043,-1.0,,[-0.033  0.228 -0.055 -0.03  -0.056 -0.026  0.484 -0.676  0.     0.  0.   ],2900,109.29023,1.0,-45.84639,1.2039497e+18,9.3597975,276.6799,100.0,-45.84639,463159.12,4826.0986,410.98628166264297,-11050786000000.0,180854.08,685015040.0,-190924.84,1.0,44.31,1001.0133,107556,True,410.98624,0.4189424,134.30638,2.0,100,0.049390107,
1,55.99101376533508,,638.6885,30,100.0,9.359666,1.0,85867.484,-1.0,,[-0.099  0.242 -0.061 -0.044 -0.067  0.027  0.411 -0.625  0.     0.  0.   ],3000,95.12049,1.0,-33.763832,1.9777596e+31,9.359666,257.8586,100.0,-33.763832,863076.56,8823.697,397.44001662796217,-3.5926538e+19,167006.47,5708762600.0,-175084.94,1.0,42.87,896.5471,111843,True,397.44,0.4189424,139.5814,2.0,100,0.024308285,
1,58.79469966888428,,607.1762,31,100.0,9.359874,1.0,58.01035,-1.0,,[-0.12   0.245 -0.056 -0.021 -0.043 -0.001  0.45  -0.627  0.     0.  0.   ],3100,94.72841,1.0,-45.88199,308469660000.0,9.359874,296.73145,100.0,-45.88199,565.02405,13.497207,415.5731439840097,-4567026000.0,181674.5,6271222.5,-189886.16,1.0,44.77,903.90765,116320,True,415.57315,0.4189424,118.84169,2.0,100,0.09163289,
1,61.65666127204895,,485.07944,32,100.0,9.359912,1.0,2115.036,-1.0,,[-0.104  0.253 -0.055 -0.034 -0.057  0.046  0.442 -0.597  0.     0.  0.   ],3200,108.17138,1.0,-40.4936,1356820400.0,9.359912,277.19778,100.0,-40.4936,21139.057,268.7268,425.4887360593888,-253454060.0,192741.7,38339676.0,-198581.66,1.0,45.87,762.2772,120907,True,425.4887,0.4189424,148.29097,2.0,100,0.07256865,
1,64.61992359161377,,705.26,33,100.0,9.35994,1.0,46.20269,-1.0,,[-9.254e-02  2.546e-01 -5.888e-02  2.205e-04 -2.083e-02  6.599e-02  4.415e-01 -6.258e-01  0.000e+00  0.000e+00  0.000e+00],3300,122.31987,1.0,-44.16481,1059815660000000.0,9.35994,287.6392,100.0,-44.16481,464.08514,7.881526,471.36607543038355,-322559740000.0,237148.12,1717341.5,-247056.3,1.0,50.84,992.8992,125991,True,471.36606,0.4189424,183.72687,2.0,100,0.16683969,
1,67.97996163368225,,421.28577,34,100.0,9.359953,1.0,18007.64,-1.0,,[-0.076  0.255 -0.061  0.01  -0.011  0.082  0.441 -0.642  0.     0.  0.   ],3400,91.60407,1.0,-38.32283,3.6874043e+33,9.359953,306.138,100.0,-38.32283,180998.34,1852.3906,444.4164350168139,-3.2293694e+20,205897.27,964211650.0,-211215.39,1.0,47.9,727.42377,130781,True,444.41644,0.4189424,138.27844,2.0,100,0.13391276,
1,71.35250926017761,,810.2028,35,100.0,9.359835,1.0,34.124287,-1.0,,[-0.062  0.265 -0.061  0.041  0.02   0.122  0.447 -0.641  0.     0.  0.   ],3500,126.992424,1.0,-42.957664,170939020.0,9.359835,238.67291,100.0,-42.957664,343.64044,6.976551,436.0449059792108,-146879550.0,206262.22,2318576.5,-217319.06,1.0,47.0,1048.8757,135481,True,436.0449,0.4189424,197.37201,2.0,100,0.04680364,
1,74.98266386985779,,609.44336,36,100.0,9.359396,1.0,798.11005,-1.0,,[-0.075  0.261 -0.059  0.025  0.004  0.1    0.425 -0.594  0.     0.  0.   ],3600,112.883385,1.0,-40.243263,1.8368756e+18,9.359396,248.3281,100.0,-40.243263,6028.826,160.06148,433.8316260281172,-10022308000000.0,200952.53,52299236.0,-208347.33,1.0,46.75,857.7715,140156,True,433.8316,0.4189424,185.50354,2.0,100,0.21468371,
1,78.33128619194031,,798.0295,37,100.0,9.359772,1.0,1017.4439,-1.0,,[-0.063  0.254 -0.063  0.041  0.022  0.139  0.388 -0.58   0.     0.  0.   ],3700,129.57129,1.0,-46.04463,2.8231817e+20,9.359772,267.67975,100.0,-46.04463,9057.8,182.20108,438.64727747674044,-191791560000000.0,209200.14,116306920.0,-220614.73,1.0,47.29,1065.7092,144885,True,438.64728,0.4189424,170.96754,2.0,100,0.059735708,
1,82.5004951953888,,568.8142,38,100.0,9.359898,1.0,218.89583,-1.0,,[-0.055  0.25  -0.066  0.014 -0.006  0.178  0.361 -0.573  0.     0.  0.   ],3800,118.79101,1.0,-41.72227,70928820000.0,9.359898,276.11768,100.0,-41.72227,1368.4574,57.547558,443.89900643261797,-1923733500.0,211157.62,12837153.0,-218332.7,1.0,47.86,844.9319,149671,True,443.89905,0.4189424,167.78134,2.0,100,0.21050084,
