Iteration,Penalization,TimestepsSoFar,InitialBound,StdWReturnMean,Epsilon,ESSRenyiHarmonic,MeanEntropy,InitialReturnStd,InitialReturnMin,LearnableVariance,MeanIW,ReturnStepMax,OptimizationReturnMax,EpisodesSoFar,Bound,Inner Iteration,OptimizationReturnMin,MaxIW,MeanD2-0,MinTargetPdf,EpThisIter,VarianceInitializer,ReturnStepMaxmin,EmpiricalD2Arithmetic,DivergenceHarmonic,ESSRenyiArithmetic,Weights,OptimizationReturnMean,TimeElapsed,InitialReturnMean,WReturnMean,ReturnMeanIW,InitialReturnMax,EpRewMean,MinIW,EmpiricalD2Harmonic,MinBehavPdf,StdIW,EpLenMean
11,True,38919,-216452.39,,2.0,100.0,0.4189424,129.98267,257.5833,,7.076375,9.359915,594.3524,1100,-3944641500.0,1,,205.19159,1.0,-39.18344,100,-1.0,9.359915,1.0,292138500000.0,100.0,[ 0.047  0.056 -0.039  0.014  0.014  0.07   0.2   -0.454  0.     0.  0.   ],180.89404,22.38254952430725,438.4773,209157.86,1971308.6,851.9357,438.47734780000565,0.041262966,1.0,-39.18344,21.784138,47.25
12,True,43628,-213089.33,,2.0,100.0,0.4189424,127.02435,248.90627,,10.902268,9.359732,523.02954,1200,-469293220.0,1,,152.983,1.0,-45.701492,100,-1.0,9.359732,1.0,6076867000.0,100.0,[ 0.071  0.057 -0.037 -0.025 -0.025  0.086  0.207 -0.454  0.     0.  0.   ],188.08948,25.321898698806763,436.9957,207100.45,2435429.0,771.9358,436.99574381296765,0.055157635,1.0,-45.701492,25.187809,47.09
13,True,48586,-237288.11,,2.0,100.0,0.4189424,132.12207,257.42194,,4972.9067,9.359939,635.3313,1300,-6.845701e+20,1,,130467.21,1.0,-41.71716,100,-1.0,9.359939,1.0,7.3037416e+33,100.0,[ 0.05   0.061 -0.04  -0.004 -0.003  0.068  0.229 -0.495  0.     0.  0.   ],202.81891,28.226219415664673,460.2408,229277.86,1805563600.0,892.75323,460.24083219369953,0.031816233,1.0,-41.71716,20323.83,49.58
14,True,52719,-165228.56,,2.0,100.0,0.4189424,108.68478,259.9416,,23.485424,9.359932,540.4425,1400,-145792910000.0,1,,1664.4271,1.0,-43.194675,100,-1.0,9.359932,1.0,512692230000000.0,100.0,[ 0.023  0.04  -0.047  0.058  0.061  0.028  0.16  -0.5    0.     0.  0.   ],123.43517,30.80192279815674,383.37677,158790.12,9655876.0,800.3841,383.37676621738626,0.115834825,1.0,-43.194675,165.72282,41.33
15,True,57170,-194603.62,,2.0,100.0,0.4189424,119.28858,277.54724,,4.774238,9.359895,710.4115,1500,-2913353700.0,1,,124.55568,1.0,-43.592514,100,-1.0,9.359895,1.0,88140730000.0,100.0,[ 0.022  0.032 -0.046  0.027  0.029 -0.012  0.172 -0.507  0.     0.  0.   ],135.44675,33.38531708717346,412.994,184793.8,971833.6,987.95874,412.99398584256056,0.14822905,1.0,-43.592514,16.874353,44.51
16,True,61645,-191190.11,,2.0,100.0,0.4189424,107.47149,239.93976,,15.7178955,9.359949,619.78125,1600,-8498728400000.0,1,,388.5276,1.0,-35.7313,100,-1.0,9.359949,1.0,1.3089186e+18,100.0,[ 0.032  0.033 -0.048  0.028  0.03   0.015  0.166 -0.517  0.     0.  0.   ],175.04402,36.00493407249451,414.98376,183761.66,3223771.0,859.721,414.98376850380686,0.1724111,1.0,-35.7313,53.688984,44.75
17,True,65607,-148876.69,,2.0,100.0,0.4189424,83.92257,257.40588,,60326.53,9.359968,570.79785,1700,-1497989600000000.0,1,,3313417.5,1.0,-49.820694,100,-1.0,9.359968,1.0,4.721719e+22,100.0,[ 0.067  0.034 -0.045  0.059  0.062  0.038  0.177 -0.519  0.     0.  0.   ],109.93579,37.92199993133545,367.34164,141982.9,6667820500.0,828.20374,367.3416787963346,0.14182638,1.0,-49.820694,412308.28,39.62
18,True,70435,-224345.84,,2.0,100.0,0.4189424,121.10022,304.48517,,316.70624,9.35969,639.72394,1800,-2.5574842e+16,1,,10582.997,1.0,-42.313866,100,-1.0,9.35969,1.0,8.1468247e+24,100.0,[ 0.109  0.034 -0.051 -0.011 -0.007  0.063  0.196 -0.575  0.     0.  0.   ],143.53308,40.948336362838745,448.01825,215385.61,99708060.0,944.2091,448.0182527655609,0.12097133,1.0,-42.313866,1433.8112,48.28
19,True,75432,-236613.4,,2.0,100.0,0.4189424,122.66313,266.5533,,52.999847,9.359994,542.58765,1900,-1969940500000.0,1,,1737.5077,1.0,-42.767838,100,-1.0,9.359994,1.0,8.962694e+16,100.0,[ 0.13   0.03  -0.054  0.003  0.007  0.102  0.158 -0.568  0.     0.  0.   ],197.11368,43.640724897384644,463.66702,230033.31,13594327.0,809.141,463.6669838700122,0.006096082,1.0,-42.767838,203.73279,49.97
20,True,80371,-235462.6,,2.0,100.0,0.4189424,125.95462,278.35568,,18.304737,9.359916,705.2986,2000,-210035060.0,1,,460.32962,1.0,-47.15107,100,-1.0,9.359916,1.0,447416220.0,100.0,[ 0.161  0.031 -0.052 -0.002  0.002  0.153  0.144 -0.559  0.     0.  0.   ],179.76382,47.27995157241821,458.11954,225738.06,4340287.5,983.6543,458.11951760954327,0.15355399,1.0,-47.15107,64.49412,49.39
21,True,85418,-240379.58,,2.0,100.0,0.4189424,120.94258,268.38684,,9906.071,9.359933,525.59326,2100,-4320282400000000.0,1,,235927.69,1.0,-45.592964,100,-1.0,9.359933,1.0,4.6496546e+23,100.0,[ 0.153  0.018 -0.059 -0.03  -0.028  0.119  0.133 -0.583  0.     0.  0.   ],200.0325,50.73428416252136,468.41934,234043.77,1739010000.0,793.9801,468.4193302835458,0.012839359,1.0,-45.592964,34135.406,50.47
22,True,89981,-204290.27,,2.0,100.0,0.4189424,121.80875,258.43735,,3784.9043,9.359642,757.4956,2200,-2.7103007e+16,1,,220452.22,1.0,-49.25643,100,-1.0,9.359642,1.0,6.8266863e+24,100.0,[ 0.139  0.015 -0.065  0.055  0.057  0.119  0.108 -0.599  0.     0.  0.   ],164.7407,53.977033376693726,423.17804,193917.05,643820740.0,1015.933,423.17806210723984,0.42542538,1.0,-49.25643,22992.707,45.63
23,True,94977,-248189.08,,2.0,100.0,0.4189424,150.19543,248.05934,,1757.7203,9.359961,797.42456,2300,-7.997881e+17,1,,45242.812,1.0,-47.804893,100,-1.0,9.359961,1.0,5.3004874e+27,100.0,[ 0.15   0.017 -0.068 -0.031 -0.03   0.136  0.112 -0.615  0.     0.  0.   ],215.23856,57.593536138534546,463.29794,237203.62,731040500.0,1045.4839,463.2979151765953,0.19309127,1.0,-47.804893,6666.208,49.96
24,True,100497,-291206.28,,2.0,100.0,0.4189424,141.41377,284.86658,,1135.286,9.3599205,660.8435,2400,-375987000000000.0,1,,93819.78,1.0,-46.826218,100,-1.0,9.3599205,1.0,1.7496378e+21,100.0,[ 0.162  0.009 -0.07  -0.018 -0.019  0.173  0.067 -0.615  0.     0.  0.   ],227.20734,61.2551109790802,512.0739,282217.53,309705380.0,945.7101,512.0739189480115,0.023186017,1.0,-46.826218,9437.406,55.2
25,True,105534,-241267.34,,2.0,100.0,0.4189424,121.87975,257.5371,,18.874916,9.359951,645.9458,2500,-23090942000.0,1,,513.7699,1.0,-40.351833,100,-1.0,9.359951,1.0,7916734600000.0,100.0,[ 0.17   0.011 -0.072  0.006  0.005  0.221  0.055 -0.628  0.     0.  0.   ],209.59105,65.19687581062317,467.1281,233063.39,7778729.5,903.4829,467.12816118479407,0.11022046,1.0,-40.351833,54.9658,50.37
26,True,110391,-223111.61,,2.0,100.0,0.4189424,113.848915,239.24101,,8441.694,9.359988,615.39575,2600,-33448455000000.0,1,,842691.2,1.0,-41.06486,100,-1.0,9.359988,1.0,2.0758043e+19,100.0,[ 0.168  0.007 -0.074 -0.029 -0.032  0.233  0.024 -0.616  0.     0.  0.   ],211.10239,68.52087497711182,450.34338,215770.75,2873670100.0,854.6368,450.34340173066084,0.024384443,1.0,-41.06486,83845.234,48.57
27,True,115972,-301728.7,,2.0,100.0,0.4189424,157.32648,247.67805,,1965734.8,9.359691,707.1098,2700,-3.4366327e+19,1,,196272880.0,1.0,-52.633083,100,-1.0,9.359691,1.0,1.4069344e+31,100.0,[ 0.159 -0.006 -0.075 -0.015 -0.016  0.178  0.029 -0.63   0.     0.  0.   ],269.8303,73.00683069229126,517.50836,292566.53,1135166800000.0,954.78784,517.5083570203109,0.03510288,1.0,-52.633083,19528624.0,55.81
28,True,121829,-326076.84,,2.0,100.0,0.4189424,138.22362,259.2376,,101.464874,9.359933,812.1237,2800,-4828444000000.0,1,,3576.9514,1.0,-44.783928,100,-1.0,9.359933,1.0,1.7518608e+17,100.0,[ 0.134 -0.01  -0.088  0.001 -0.004  0.187  0.031 -0.749  0.     0.  0.   ],284.3018,77.4101836681366,543.5394,314540.84,34224776.0,1071.3613,543.5394106395258,0.05944973,1.0,-44.783928,430.81238,58.57
29,True,127473,-306339.9,,2.0,100.0,0.4189424,153.91142,276.8421,,77066.85,9.359865,652.1993,2900,-1.021289e+22,1,,7331492.5,1.0,-48.078575,100,-1.0,9.359865,1.0,1.3860927e+36,100.0,[ 0.126 -0.022 -0.092 -0.017 -0.023  0.201 -0.021 -0.74   0.     0.  0.   ],246.58551,81.8803780078888,523.42755,297665.22,22260998000.0,929.0414,523.4276199947207,0.0032082088,1.0,-48.078575,729464.44,56.44
30,True,133456,-337565.75,,2.0,100.0,0.4189424,139.88725,314.5659,,10.486922,9.359935,684.2687,3000,-1296202600.0,1,,172.80972,1.0,-51.923676,100,-1.0,9.359935,1.0,16611318000.0,100.0,[ 0.118 -0.02  -0.096 -0.005 -0.011  0.166  0.007 -0.779  0.     0.  0.   ],240.38486,87.07244944572449,554.95074,327538.75,3878283.5,998.83453,554.9507524203705,0.11437444,1.0,-51.923676,21.63324,59.83
31,True,139187,-315067.94,,2.0,100.0,0.4189424,151.3316,275.53265,,13.108687,9.359961,711.05646,3100,-111660540.0,1,,474.40967,1.0,-47.64538,100,-1.0,9.359961,1.0,119974300.0,100.0,[ 0.107 -0.025 -0.101  0.03   0.026  0.152 -0.003 -0.809  0.     0.  0.   ],255.8656,91.83615517616272,531.39825,305285.3,4508826.5,986.5891,531.398250755465,0.049142316,1.0,-47.64538,48.84447,57.31
32,True,145733,-422542.62,,2.0,100.0,0.4189424,187.18828,305.87448,,11.222063,9.359909,1034.5503,3200,-1061194750.0,1,,105.94964,1.0,-55.566246,100,-1.0,9.359909,1.0,3425383000.0,100.0,[ 0.109 -0.029 -0.101 -0.011 -0.016  0.134 -0.007 -0.799  0.     0.  0.   ],301.94556,97.73844289779663,607.82007,404484.66,4324029.0,1340.4248,607.8200426737841,0.06586889,1.0,-55.566246,17.258602,65.46
33,True,151700,-344713.44,,2.0,100.0,0.4189424,164.27333,303.38358,,44.457607,9.35999,749.18506,3300,-1.5770643e+16,1,,1367.8676,1.0,-51.18055,100,-1.0,9.35999,1.0,2.0060067e+24,100.0,[ 0.125 -0.032 -0.101  0.028  0.023  0.13   0.006 -0.819  0.     0.  0.   ],250.32469,103.4975004196167,553.70825,333578.6,23595146.0,1052.5686,553.7082603402507,0.053157203,1.0,-51.18055,161.00624,59.67
34,True,158020,-393497.2,,2.0,100.0,0.4189424,185.19647,324.75555,,33900.41,9.359969,907.4676,3400,-1.8212386e+22,1,,3046431.5,1.0,-57.95834,100,-1.0,9.359969,1.0,1.4243325e+36,100.0,[ 0.117 -0.036 -0.103 -0.002 -0.008  0.092  0.021 -0.836  0.     0.  0.   ],261.70773,108.56014704704285,586.46326,378236.9,14654581000.0,1232.2231,586.4633049531079,0.15783145,1.0,-57.95834,303215.3,63.2
35,True,163684,-312140.12,,2.0,100.0,0.4189424,163.48961,316.00507,,11.204015,9.359895,642.79083,3500,-17207218000.0,1,,358.60355,1.0,-55.72804,100,-1.0,9.359895,1.0,3466539800000.0,100.0,[ 1.240e-01 -4.134e-02 -9.846e-02  6.584e-04 -3.431e-03  3.802e-02  4.888e-02 -8.283e-01  0.000e+00  0.000e+00  0.000e+00],209.51569,113.52804160118103,525.52075,302900.9,5064397.5,958.7959,525.520731737488,0.17771988,1.0,-55.72804,42.556103,56.64
36,True,169305,-318537.06,,2.0,100.0,0.4189424,185.43768,287.37427,,26.913145,9.35991,809.6301,3600,-59922683000000.0,1,,1510.6759,1.0,-50.95345,100,-1.0,9.35991,1.0,2.4546186e+19,100.0,[ 1.142e-01 -4.135e-02 -9.808e-02  4.911e-03  7.273e-04  1.020e-02  5.731e-02 -8.281e-01  0.000e+00  0.000e+00  0.000e+00],234.21477,120.51753449440002,521.58905,306442.22,15253516.0,1097.0044,521.5890375214818,0.08933829,1.0,-50.95345,155.1756,56.21
37,True,175144,-336973.12,,2.0,100.0,0.4189424,181.04355,297.28955,,35.565144,9.359893,743.04285,3700,-23789158000.0,1,,1679.5944,1.0,-55.47517,100,-1.0,9.359893,1.0,4773392700000.0,100.0,[ 0.128 -0.04  -0.099  0.003 -0.001  0.033  0.044 -0.82   0.     0.  0.   ],244.29968,126.6958839893341,541.58923,326095.66,24028558.0,1040.3324,541.5892426853618,0.011660529,1.0,-55.47517,177.71783,58.39
38,True,181317,-381800.7,,2.0,100.0,0.4189424,194.73271,304.87592,,2631.9016,9.359837,952.9526,3800,-94267180000.0,1,,262776.03,1.0,-68.24048,100,-1.0,9.359837,1.0,33366970000000.0,100.0,[ 0.091 -0.037 -0.106  0.006  0.001  0.052 -0.002 -0.827  0.     0.  0.   ],267.8184,133.54793763160706,572.6943,365899.62,2416234200.0,1257.8285,572.6943237881469,0.031177113,1.0,-68.24048,26145.47,61.73
39,True,187674,-383527.03,,2.0,100.0,0.4189424,163.81969,323.86172,,5.659541,9.35996,635.25525,3900,-88388200.0,1,,102.45592,1.0,-48.622604,100,-1.0,9.35996,1.0,86722520.0,100.0,[ 1.038e-01 -3.170e-02 -1.070e-01  1.258e-02  8.035e-03  7.713e-02  3.327e-05 -8.333e-01  0.000e+00  0.000e+00  0.000e+00],265.5827,141.20472478866577,589.44446,374281.62,2290518.0,959.11694,589.4444332297544,0.15568501,1.0,-48.622604,12.955268,63.57
40,True,194107,-387253.38,,2.0,100.0,0.4189424,147.42484,351.24057,,26.087248,9.359735,643.24316,4000,-16332305000.0,1,,2240.6545,1.0,-50.070923,100,-1.0,9.359735,1.0,2694084300000.0,100.0,[ 0.104 -0.028 -0.109 -0.003 -0.007  0.095 -0.012 -0.83   0.     0.  0.   ],245.0643,149.10971975326538,596.3048,377313.53,17448292.0,994.4837,596.3048372775336,0.14393568,1.0,-50.070923,222.77776,64.33
41,True,200763,-424502.53,,2.0,100.0,0.4189424,172.7668,269.03796,,2.3409498,9.359835,883.9579,4100,-150062830.0,1,,15.823763,1.0,-51.111786,100,-1.0,9.359835,1.0,124317784.0,100.0,[ 1.154e-01 -2.365e-02 -1.089e-01 -6.617e-04 -4.528e-03  1.236e-01 -9.862e-03 -8.324e-01  0.000e+00  0.000e+00  0.000e+00],348.45145,158.58252096176147,617.48944,411141.53,1090897.0,1152.9958,617.4894065793535,0.12875219,1.0,-51.111786,2.9210122,66.56
42,True,207267,-403424.56,,2.0,100.0,0.4189424,162.7627,325.13452,,243614.45,9.359974,793.5502,4200,-6.5672355e+20,1,,17102572.0,1.0,-52.011627,100,-1.0,9.359974,1.0,2.7262745e+33,100.0,[ 0.1   -0.026 -0.111  0.01   0.006  0.102 -0.013 -0.838  0.     0.  0.   ],278.48392,167.09618377685547,603.6184,390846.94,170006600000.0,1118.6847,603.6184519501056,0.15425147,1.0,-52.011627,1769471.4,65.04
43,True,213542,-372606.66,,2.0,100.0,0.4189424,152.045,287.38983,,655274.94,9.35995,738.74567,4300,-2.4786827e+19,1,,53716590.0,1.0,-43.91346,100,-1.0,9.35995,1.0,5.4860316e+30,100.0,[ 0.102 -0.026 -0.114 -0.011 -0.016  0.142 -0.048 -0.827  0.     0.  0.   ],294.76678,176.06382274627686,582.1566,362024.03,317503770000.0,1026.1355,582.1566310357471,0.12265859,1.0,-43.91346,5370170.5,62.75
44,True,217997,-192357.27,,2.0,100.0,0.4189424,122.75971,257.91595,,26.388857,9.359892,551.5511,4400,-247672720.0,1,,615.3174,1.0,-38.28212,100,-1.0,9.359892,1.0,1370298200.0,100.0,[ 0.099 -0.01  -0.116 -0.084 -0.096  0.162  0.006 -0.846  0.     0.  0.   ],155.24495,182.26059198379517,413.1609,185771.88,3898226.2,809.46704,413.16089871617083,0.04137582,1.0,-38.28212,87.53724,44.55
45,True,223267,-276694.28,,2.0,100.0,0.4189424,157.74193,266.41895,,12537.367,9.359986,861.9303,4500,-20997424000000.0,1,,1250257.8,1.0,-61.073715,100,-1.0,9.359986,1.0,2.691573e+18,100.0,[ 0.104 -0.007 -0.117 -0.045 -0.057  0.188 -0.006 -0.844  0.     0.  0.   ],222.47356,188.527690410614,488.89255,263898.4,4517914600.0,1128.3492,488.8925197441602,0.01032845,1.0,-61.073715,124395.664,52.7
46,True,228919,-304171.5,,2.0,100.0,0.4189424,143.72885,266.25656,,13021.97,9.359932,658.58325,4600,-1.7622042e+19,1,,825012.4,1.0,-41.7749,100,-1.0,9.359932,1.0,4.2022467e+30,100.0,[ 0.085 -0.001 -0.122 -0.021 -0.032  0.147  0.013 -0.859  0.     0.  0.   ],258.06882,196.79904890060425,524.3254,295575.1,4820966400.0,924.83984,524.3253789845742,0.029783133,1.0,-41.7749,92980.52,56.52
47,True,235329,-400417.97,,2.0,100.0,0.4189424,176.61707,343.43073,,73.16262,9.35996,908.88214,4700,-88994950000.0,1,,1609.174,1.0,-59.93141,100,-1.0,9.35996,1.0,31855244000000.0,100.0,[ 0.095 -0.001 -0.119 -0.02  -0.032  0.108  0.059 -0.874  0.     0.  0.   ],251.09639,204.59249138832092,594.52716,384656.06,34181070.0,1252.3129,594.5271309212238,0.093276,1.0,-59.93141,202.55312,64.1
48,True,241271,-339958.88,,2.0,100.0,0.4189424,159.41013,266.54596,,242.1502,9.359952,762.6657,4800,-101029190000.0,1,,19071.336,1.0,-51.61351,100,-1.0,9.359952,1.0,89744630000000.0,100.0,[ 0.104 -0.003 -0.12   0.02   0.009  0.122  0.044 -0.863  0.     0.  0.   ],284.72632,213.80149221420288,551.2722,329312.72,174523680.0,1029.2117,551.2722702613291,0.022853736,1.0,-51.61351,1903.2349,59.42
49,True,247400,-360575.56,,2.0,100.0,0.4189424,159.8996,268.24393,,128.68265,9.359844,826.44885,4900,-1.01639214e+21,1,,3850.883,1.0,-47.397236,100,-1.0,9.359844,1.0,7.1217836e+33,100.0,[ 0.103 -0.016 -0.125  0.02   0.009  0.138 -0.014 -0.869  0.     0.  0.   ],300.05508,223.05976796150208,568.299,348531.62,59177470.0,1094.6927,568.298991274383,0.06981734,1.0,-47.397236,453.2212,61.29
50,True,254007,-435903.16,,2.0,100.0,0.4189424,203.15794,315.7807,,2299.9204,9.35987,1060.2656,5000,-7.0761407e+16,1,,172860.11,1.0,-61.07242,100,-1.0,9.35987,1.0,1.3825982e+25,100.0,[ 0.078 -0.018 -0.127 -0.006 -0.018  0.094 -0.018 -0.873  0.     0.  0.   ],297.0811,233.52168655395508,612.86176,416872.7,1548453600.0,1376.0463,612.8617603536553,0.021327065,1.0,-61.07242,17751.617,66.07
51,True,260779,-433682.53,,2.0,100.0,0.4189424,160.0871,324.93884,,78.87408,9.359914,820.14014,5100,-2892706600.0,1,,2449.9841,1.0,-59.06962,100,-1.0,9.359914,1.0,47153738000.0,100.0,[ 0.07  -0.014 -0.13   0.021  0.009  0.135 -0.045 -0.871  0.     0.  0.   ],303.45316,242.48962807655334,628.39197,420504.38,31090654.0,1145.079,628.3919781498053,0.03205458,1.0,-59.06962,289.41666,67.72
52,True,267108,-382890.1,,2.0,100.0,0.4189424,159.90044,276.54663,,116.8216,9.359882,855.912,5200,-3186211300.0,1,,3116.6255,1.0,-50.72905,100,-1.0,9.359882,1.0,58975195000.0,100.0,[ 0.056 -0.015 -0.134 -0.015 -0.028  0.145 -0.076 -0.861  0.     0.  0.   ],310.33725,252.67163586616516,586.8839,370000.8,56085748.0,1132.4586,586.8838730975054,0.024846798,1.0,-50.72905,443.74173,63.29
53,True,273453,-374257.3,,2.0,100.0,0.4189424,135.9096,277.12387,,181.11208,9.359926,672.79675,5300,-4.2474577e+16,1,,5841.912,1.0,-47.18197,100,-1.0,9.359926,1.0,2.193532e+25,100.0,[ 0.061 -0.022 -0.134  0.024  0.011  0.162 -0.098 -0.853  0.     0.  0.   ],311.70288,262.1038234233856,588.8267,365188.34,93334030.0,949.92065,588.8267281527095,0.10339099,1.0,-47.18197,850.31335,63.45
54,True,280088,-421227.9,,2.0,100.0,0.4189424,173.34576,312.30096,,32593.467,9.359999,815.86957,5400,-3.818874e+19,1,,2986505.5,1.0,-53.91103,100,-1.0,9.359999,1.0,8.912651e+30,100.0,[ 0.051 -0.029 -0.133  0.022  0.009  0.103 -0.081 -0.846  0.     0.  0.   ],302.831,272.70226788520813,615.13196,408436.06,19131656000.0,1128.1705,615.1319536796575,0.012799358,1.0,-53.91103,297465.84,66.35
55,True,287206,-490191.22,,2.0,100.0,0.4189424,201.64941,314.0477,,273.9554,9.3599615,864.93054,5500,-8328995000.0,1,,22368.725,1.0,-58.618263,100,-1.0,9.3599615,1.0,351094570000.0,100.0,[ 0.024 -0.025 -0.138 -0.01  -0.023  0.074 -0.085 -0.858  0.     0.  0.   ],345.92105,283.423611164093,659.96875,476221.25,51364124.0,1178.9783,659.9687618615164,0.079799026,1.0,-58.618263,2228.1238,71.18
56,True,293768,-419470.03,,2.0,100.0,0.4189424,184.10284,284.90247,,6495.4043,9.359972,939.30225,5600,-1415018200000000.0,1,,282546.25,1.0,-71.63298,100,-1.0,9.359972,1.0,8.8255443e+21,100.0,[ 0.037 -0.029 -0.139  0.026  0.015  0.081 -0.104 -0.838  0.     0.  0.   ],323.79602,292.9343936443329,608.6985,404407.72,2578827300.0,1224.2047,608.6985035878328,0.015379367,1.0,-71.63298,35992.715,65.62
57,True,300843,-489306.7,,2.0,100.0,0.4189424,208.4977,296.90515,,7.259242,9.359853,956.75256,5700,-11032379000.0,1,,219.63179,1.0,-56.912697,100,-1.0,9.359853,1.0,487355940000.0,100.0,[ 0.036 -0.02  -0.139 -0.003 -0.014  0.055 -0.068 -0.85   0.     0.  0.   ],358.86887,303.12205958366394,655.77405,473510.88,5224676.5,1253.6577,655.7740372796028,0.04564154,1.0,-56.912697,23.29768,70.75
