EpLenMean,ReturnStepMax,DivergenceHarmonic,WReturnMean,ReturnStepMaxmin,ReturnMeanIW,EmpiricalD2Arithmetic,OptimizationReturnMean,InitialBound,ESSRenyiHarmonic,InitialReturnMax,MeanIW,Inner Iteration,EmpiricalD2Harmonic,TimestepsSoFar,StdWReturnMean,StdIW,ESSRenyiArithmetic,MeanD2-0,InitialReturnStd,OptimizationReturnMin,MinTargetPdf,InitialReturnMin,EpThisIter,OptimizationReturnMax,MaxIW,VarianceInitializer,MinIW,MeanEntropy,InitialReturnMean,EpisodesSoFar,LearnableVariance,Weights,Iteration,Penalization,Epsilon,MinBehavPdf,Bound,TimeElapsed,EpRewMean
49.28,9.359895,1.0106804e+34,225309.27,9.359895,205864390000.0,1.0,199.64503,-232200.23,100.0,828.03485,489379.28,1,1.0,90977,,4289650.0,100.0,1.0,128.10301,,-38.800255,257.40955,100,570.6253,42970280.0,-1.0,0.22059794,0.4189424,457.0546,2500,,[ 0.065  0.038 -0.074 -0.03  -0.021  0.138  0.048 -0.487  0.     0.  0.   ],25,True,2.0,-38.800255,-6.927659e+20,331.3190133571625,457.05458832007884
49.43,9.359959,19308883000000.0,227297.67,9.359959,39202280.0,1.0,210.06699,-234703.58,100.0,858.4155,179.65486,1,1.0,95920,,675.09424,100.0,1.0,130.54169,,-47.045425,248.4704,100,609.9451,3752.7625,-1.0,0.008881936,0.4189424,458.53735,2600,,[ 0.127  0.028 -0.063  0.021  0.034  0.132  0.113 -0.526  0.     0.  0.   ],26,True,2.0,-47.045425,-32582090000.0,351.635870218277,458.5373926163263
49.87,9.359962,23884456000.0,229414.6,9.359962,11545559.0,1.0,213.09326,-236838.47,100.0,859.45593,28.282019,1,1.0,100907,,172.60309,100.0,1.0,124.94452,,-41.618446,249.29562,100,610.1603,1698.1812,-1.0,0.053742174,0.4189424,462.38885,2700,,[ 0.134  0.021 -0.064 -0.003  0.009  0.149  0.073 -0.5    0.     0.  0.   ],27,True,2.0,-41.618446,-1158872800.0,373.1165657043457,462.3888746416823
54.67,9.359633,1131209300000000.0,283998.94,9.359633,49262132.0,1.0,240.27028,-302302.2,100.0,1349.4979,162.0066,1,1.0,106374,,1295.4211,100.0,1.0,164.91383,,-63.928886,266.48645,100,1083.0115,12971.482,-1.0,0.05844416,0.4189424,506.7567,2800,,[ 0.105  0.029 -0.075 -0.015 -0.001  0.153  0.024 -0.485  0.     0.  0.   ],28,True,2.0,-63.928886,-615648850000.0,388.43945956230164,506.75671831205864
50.66,9.359991,4.844325e+21,231924.0,9.359991,32804600.0,1.0,229.1127,-237779.33,100.0,763.2804,122.50491,1,1.0,111440,,512.1188,100.0,1.0,105.91009,,-40.25196,240.682,100,522.5984,4548.037,-1.0,0.005829161,0.4189424,469.79465,2900,,[ 0.083  0.038 -0.086 -0.002  0.016  0.185 -0.008 -0.513  0.     0.  0.   ],29,True,2.0,-40.25196,-407537200000000.0,403.40672969818115,469.7946866936291
47.49,9.359706,1.0622156e+28,207261.58,9.359706,3860107500.0,1.0,173.1635,-213977.47,100.0,817.44806,13779.164,1,1.0,116189,,90927.55,100.0,1.0,116.87983,,-42.803493,266.83725,100,550.61084,704088.06,-1.0,0.168722,0.4189424,440.0008,3000,,[ 0.071  0.041 -0.092 -0.029 -0.011  0.222 -0.035 -0.526  0.     0.  0.   ],30,True,2.0,-42.803493,-6.921641e+17,417.1749529838562,440.0007627636351
52.89,9.3597975,1338173000000.0,259919.42,9.3597975,33682972.0,1.0,232.9039,-269006.9,100.0,950.8903,96.464226,1,1.0,121478,,876.0098,100.0,1.0,138.68597,,-46.33036,257.6933,100,693.197,8810.59,-1.0,0.018609889,0.4189424,490.59723,3100,,[ 0.064  0.036 -0.092 -0.005  0.013  0.182 -0.01  -0.549  0.     0.  0.   ],31,True,2.0,-46.33036,-10546022000.0,432.22369050979614,490.5972087065717
54.14,9.359924,1.2115003e+36,271527.75,9.359924,142669070000.0,1.0,223.60367,-282224.2,100.0,1031.6384,172836.19,1,1.0,126892,,1544899.6,100.0,1.0,140.14523,,-54.171852,278.27985,100,753.3586,15522724.0,-1.0,0.23437779,0.4189424,501.88354,3200,,[ 0.036  0.034 -0.105  0.011  0.03   0.149 -0.022 -0.583  0.     0.  0.   ],32,True,2.0,-54.171852,-1.1773327e+22,446.78199911117554,501.88351972232294
55.41,9.359942,3.253149e+22,292445.47,9.359942,388345200.0,1.0,229.05269,-304802.16,100.0,1108.815,1130.1992,1,1.0,132433,,9004.755,100.0,1.0,168.96275,,-63.806007,284.65643,100,824.1585,89650.93,-1.0,0.04325295,0.4189424,513.70917,3300,,[ 0.008  0.051 -0.12  -0.046 -0.026  0.15   0.006 -0.668  0.     0.  0.   ],33,True,2.0,-63.806007,-2228705100000000.0,461.2785716056824,513.709119638588
60.88,9.359987,149549370000000.0,348025.56,9.359987,9310785.0,1.0,297.76456,-361951.22,100.0,1177.107,25.517508,1,1.0,138521,,137.74272,100.0,1.0,170.56706,,-57.02382,266.97647,100,910.1306,1336.6296,-1.0,0.040550318,0.4189424,564.741,3400,,[-0.006  0.054 -0.125 -0.024 -0.004  0.183 -0.032 -0.684  0.     0.  0.   ],34,True,2.0,-57.02382,-170306160000.0,477.1332018375397,564.7410548785869
