Iteration,MinTargetPdf,LearnableVariance,Bound,OptimizationReturnMean,Penalization,TimestepsSoFar,ESSRenyiHarmonic,MeanEntropy,InitialReturnMean,ReturnStepMaxmin,MinBehavPdf,VarianceInitializer,ReturnMeanIW,ReturnStepMax,EpRewMean,EpLenMean,DivergenceHarmonic,OptimizationReturnMax,InitialReturnMin,InitialReturnStd,TimeElapsed,InitialBound,EmpiricalD2Arithmetic,ESSRenyiArithmetic,EpThisIter,EpisodesSoFar,StdWReturnMean,MeanIW,EmpiricalD2Harmonic,Inner Iteration,StdIW,WReturnMean,MinIW,OptimizationReturnMin,MaxIW,Weights,InitialReturnMax,Epsilon,MeanD2-0
11,-33.04783,,-11913643000000.0,97.89746,True,32027,100.0,0.4189424,336.50436,9.359916,-33.04783,-1.0,15373987000.0,9.359916,336.50439635613895,36.33,1.1875751e+19,347.51154,238.60693,75.16732,45.007105588912964,-122337.99,1.0,100.0,100,1100,,209492.88,1.0,1,2019620.1,118885.33,0.031425115,,20299660.0,[ 0.011  0.084  0.032 -0.023 -0.019  0.007  0.304 -0.163  0.     0.  0.   ],586.11847,2.0,1.0
12,-35.68957,,-4.2746285e+20,112.29279,True,35716,100.0,0.4189424,341.7747,9.35995,-35.68957,-1.0,74301560000.0,9.35995,341.7747192682064,36.89,1.1317747e+34,402.8105,229.48193,73.36877,50.653974294662476,-126211.016,1.0,100.0,100,1200,,285131.38,1.0,1,2450078.8,122192.93,0.12031528,,24589870.0,[ 0.004  0.104  0.024 -0.055 -0.056 -0.003  0.352 -0.265  0.     0.  0.   ],632.2924,2.0,1.0
13,-29.5456,,-1571088400.0,86.53762,True,38842,100.0,0.4189424,288.93936,9.359912,-29.5456,-1.0,7439278.5,9.359912,288.93934383800473,31.26,563356900000.0,252.88245,202.40173,53.994396,55.222970485687256,-88484.62,1.0,100.0,100,1300,,109.096855,1.0,1,355.67822,86401.336,0.25603232,,3052.7612,[ 0.016  0.102  0.045 -0.066 -0.06  -0.028  0.36  -0.146  0.     0.  0.   ],455.28418,2.0,1.0
14,-32.55594,,-990575500000.0,91.08014,True,42421,100.0,0.4189424,331.3546,9.359931,-32.55594,-1.0,1996334.1,9.359931,331.354597054762,35.79,5.544637e+16,406.69513,240.27446,73.80064,60.05884408950806,-119449.195,1.0,100.0,100,1400,,24.104158,1.0,1,194.10538,115242.41,0.005172463,,1953.1858,[ 0.025  0.106  0.036 -0.053 -0.048  0.007  0.354 -0.193  0.     0.  0.   ],646.9696,2.0,1.0
15,-43.340363,,-14354358000.0,119.52217,True,46094,100.0,0.4189424,340.32962,9.359942,-43.340363,-1.0,858677.6,9.359942,340.3296203552803,36.73,3555111500000.0,649.5033,220.80746,87.578835,65.16707062721252,-131106.88,1.0,100.0,100,1500,,8.316148,1.0,1,14.219202,123494.3,0.14646748,,103.23842,[ 0.013  0.103  0.04  -0.038 -0.033 -0.039  0.387 -0.205  0.     0.  0.   ],870.3108,2.0,1.0
16,-40.6709,,-4579114500.0,111.808525,True,49878,100.0,0.4189424,350.70352,9.359975,-40.6709,-1.0,28921616.0,9.359975,350.7035140130804,37.84,775241600000.0,478.17978,238.89499,81.67357,70.29861879348755,-134831.4,1.0,100.0,100,1600,,339.78052,1.0,1,2255.977,129663.53,0.008908845,,21770.598,[ 0.015  0.11   0.036 -0.003  0.007 -0.013  0.37  -0.203  0.     0.  0.   ],717.07477,2.0,1.0
17,-39.889404,,-107075730000000.0,137.7531,True,54042,100.0,0.4189424,386.0387,9.359951,-39.889404,-1.0,56109812.0,9.359951,386.03871444735324,41.64,1.7813612e+20,645.1561,248.28561,99.453865,77.06597352027893,-166939.56,1.0,100.0,100,1700,,145.11427,1.0,1,1040.817,158916.95,0.047141407,,10300.82,[ 0.036  0.114  0.031 -0.012 -0.001  0.027  0.375 -0.244  0.     0.  0.   ],893.4417,2.0,1.0
18,-29.000877,,-10076800000000.0,122.995285,True,57954,100.0,0.4189424,362.43024,9.3599615,-29.000877,-1.0,101139290.0,9.3599615,362.43022646150644,39.12,5.017666e+18,429.59033,239.43494,74.96925,84.1655421257019,-141474.56,1.0,100.0,100,1800,,421.4261,1.0,1,2945.2246,136976.06,0.031065756,,28953.133,[ 0.016  0.118  0.036  0.002  0.014 -0.011  0.414 -0.254  0.     0.  0.   ],669.02527,2.0,1.0
19,-31.846745,,-33087453000000.0,107.85246,True,61795,100.0,0.4189424,356.02997,9.359978,-31.846745,-1.0,151942860.0,9.359978,356.0299903828735,38.41,6.453259e+19,391.9916,248.17752,79.421776,90.23847389221191,-137183.98,1.0,100.0,100,1900,,539.3496,1.0,1,4936.9624,133065.17,0.062390544,,49636.65,[ 0.008  0.119  0.043  0.018  0.027 -0.053  0.435 -0.22   0.     0.  0.   ],640.1691,2.0,1.0
20,-33.16191,,-2.3303709e+21,136.00923,True,65853,100.0,0.4189424,376.35837,9.359859,-33.16191,-1.0,2969399000.0,9.359859,376.3583484679502,40.58,1.4426112e+35,540.98,240.34912,95.90844,96.81248831748962,-156979.53,1.0,100.0,100,2000,,36553.145,1.0,1,312238.78,150844.02,0.03898221,,3135124.8,[ 0.017  0.122  0.033  0.022  0.033 -0.02   0.42  -0.269  0.     0.  0.   ],781.3291,2.0,1.0
21,-33.942116,,-124555780.0,123.38392,True,69573,100.0,0.4189424,344.73798,9.359899,-33.942116,-1.0,5318087.5,9.359899,344.7379961180114,37.2,821599900.0,422.00067,221.35406,72.0798,103.1725709438324,-128199.695,1.0,100.0,100,2100,,44.378296,1.0,1,200.62608,124039.78,0.046203513,,1706.5585,[ 0.021  0.13   0.03  -0.063 -0.049 -0.001  0.435 -0.302  0.     0.  0.   ],643.35474,2.0,1.0
22,-32.44594,,-1429090500000.0,119.52445,True,73257,100.0,0.4189424,341.4781,9.35991,-32.44594,-1.0,15026328.0,9.35991,341.47807554458666,36.84,1.5769718e+17,376.43097,221.95361,65.32552,108.68418073654175,-124473.39,1.0,100.0,100,2200,,93.794395,1.0,1,708.18524,120874.7,0.2538931,,7116.278,[ 0.036  0.134  0.026 -0.062 -0.047  0.053  0.411 -0.31   0.     0.  0.   ],598.3846,2.0,1.0
23,-29.82686,,-632259500.0,133.45221,True,77195,100.0,0.4189424,364.90207,9.359705,-29.82686,-1.0,10229084.0,9.359705,364.9020537218345,39.38,18076750000.0,447.02625,231.44984,74.176926,114.13633799552917,-143282.23,1.0,100.0,100,2300,,70.94339,1.0,1,253.55344,138655.73,0.07403028,,1955.2361,[ 0.026  0.171  0.039  0.001  0.022  0.054  0.467 -0.264  0.     0.  0.   ],678.4761,2.0,1.0
24,-47.576923,,-1976506000000000.0,142.34311,True,81605,100.0,0.4189424,409.32538,9.3599615,-47.576923,-1.0,938207550.0,9.3599615,409.3253993182484,44.1,6.4386527e+22,613.3751,266.9823,122.45101,120.14555263519287,-190330.89,1.0,100.0,100,2400,,5075.4023,1.0,1,34369.52,182541.53,0.053056113,,336191.8,[ 0.032  0.17   0.029 -0.011  0.011  0.094  0.435 -0.295  0.     0.  0.   ],880.3574,2.0,1.0
25,-49.493908,,-86376960.0,150.08716,True,85715,100.0,0.4189424,381.18958,9.359913,-49.493908,-1.0,4483643.5,9.359913,381.1895783696361,41.1,92570410.0,689.167,231.10242,109.54901,126.16419315338135,-165818.11,1.0,100.0,100,2500,,40.471996,1.0,1,187.36176,157306.47,0.113911144,,1810.1921,[-0.014  0.167  0.008 -0.065 -0.043  0.073  0.391 -0.365  0.     0.  0.   ],920.2694,2.0,1.0
26,-41.916054,,-44715557000.0,155.22212,True,89964,100.0,0.4189424,394.0495,9.359884,-41.916054,-1.0,1998898.2,9.359884,394.04949021635383,42.49,30960205000000.0,655.3578,238.82738,103.463005,132.24183464050293,-174015.56,1.0,100.0,100,2600,,8.980553,1.0,1,37.167732,165979.6,0.09427009,,295.02423,[-0.032  0.168  0.002 -0.037 -0.014  0.103  0.377 -0.395  0.     0.  0.   ],894.1852,2.0,1.0
27,-48.041695,,-1331485900000000.0,154.97156,True,94426,100.0,0.4189424,413.87094,9.359981,-48.041695,-1.0,141337280000.0,9.359981,413.87091816525134,44.62,3.281605e+22,596.23126,258.89935,100.86058,139.11558485031128,-188811.33,1.0,100.0,100,2700,,269937.25,1.0,1,2636912.8,181461.98,0.018745977,,26504142.0,[-0.047  0.158 -0.002 -0.021  0.003  0.053  0.356 -0.389  0.     0.  0.   ],855.1306,2.0,1.0
28,-38.100967,,-462011270000.0,118.487206,True,98379,100.0,0.4189424,366.46375,9.359131,-38.100967,-1.0,392179.53,9.359131,366.46376039597965,39.53,6537738000000000.0,506.03503,247.97655,78.10761,145.1928358078003,-146110.47,1.0,100.0,100,2800,,2.6695147,1.0,1,3.631124,140396.48,0.26831907,,23.159887,[-0.007  0.144 -0.011 -0.075 -0.046  0.002  0.368 -0.463  0.     0.  0.   ],754.0116,2.0,1.0
29,-35.03193,,-5.371373e+18,111.78074,True,102566,100.0,0.4189424,388.2524,9.359991,-35.03193,-1.0,16194511000.0,9.359991,388.25242031585714,41.87,1.3388692e+30,403.14954,276.47168,73.53353,151.46750593185425,-160789.23,1.0,100.0,100,2900,,63308.5,1.0,1,566729.3,156147.11,0.049889922,,5685559.0,[-0.037  0.138 -0.017 -0.056 -0.026 -0.02   0.329 -0.453  0.     0.  0.   ],679.6212,2.0,1.0
30,-35.312805,,-4576449700000.0,79.81467,True,105918,100.0,0.4189424,310.27954,9.359822,-35.312805,-1.0,7166665.0,9.359822,310.27956355602396,33.52,1.4501853e+18,384.4527,230.46489,54.806145,156.22595119476318,-103077.414,1.0,100.0,100,3000,,85.81,1.0,1,320.82278,99277.125,0.08731105,,2624.4016,[-0.018  0.129 -0.017 -0.119 -0.072 -0.07   0.275 -0.392  0.     0.  0.   ],614.9176,2.0,1.0
31,-34.673904,,-205348020000000.0,123.705315,True,109845,100.0,0.4189424,364.03543,9.359942,-34.673904,-1.0,29907538.0,9.359942,364.03541193079974,39.27,1.6198951e+21,472.1657,240.3301,100.67505,162.03921246528625,-147759.34,1.0,100.0,100,3100,,82.90338,1.0,1,568.47614,142657.25,0.12878019,,5622.7427,[-0.006  0.136 -0.021 -0.093 -0.048 -0.023  0.262 -0.402  0.     0.  0.   ],712.4958,2.0,1.0
32,-35.858044,,-1830411000000.0,112.08337,True,113938,100.0,0.4189424,379.59293,9.35989,-35.858044,-1.0,45670660.0,9.35989,379.5929426077604,40.93,7.532619e+16,547.0844,267.50958,94.562904,168.27840638160706,-159702.02,1.0,100.0,100,3200,,190.38983,1.0,1,1200.9895,153032.94,0.0009857181,,9641.573,[-0.004  0.13  -0.018 -0.06  -0.013 -0.06   0.275 -0.4    0.     0.  0.   ],814.594,2.0,1.0
33,-63.308002,,-679964900.0,132.49525,True,118251,100.0,0.4189424,400.1055,9.359992,-63.308002,-1.0,1472486.2,9.359992,400.10549306117827,43.13,3323600600.0,814.5189,267.61023,110.39786,175.38656067848206,-184041.12,1.0,100.0,100,3300,,8.555075,1.0,1,26.981634,172272.08,0.10649244,,236.58885,[ 0.012  0.127 -0.023 -0.043  0.006 -0.018  0.24  -0.395  0.     0.  0.   ],1082.1292,2.0,1.0
34,-46.77594,,-171598090000.0,154.68884,True,122695,100.0,0.4189424,412.37204,9.359953,-46.77594,-1.0,2873997.0,9.359953,412.37201392047626,44.44,214149920000000.0,822.4615,257.68317,118.76399,182.65193963050842,-195881.47,1.0,100.0,100,3400,,20.295815,1.0,1,71.08272,184155.55,0.011033736,,649.06476,[ 0.033  0.134 -0.025 -0.045  0.005  0.01   0.269 -0.438  0.     0.  0.   ],1080.1447,2.0,1.0
35,-49.285866,,-6.9714646e+20,179.48566,True,127319,100.0,0.4189424,429.07745,9.359939,-49.285866,-1.0,702642700.0,9.359939,429.07742732786346,46.24,4.267424e+33,780.864,249.59177,121.69863,190.56658458709717,-209589.89,1.0,100.0,100,3500,,721.0918,1.0,1,6345.9507,198917.98,0.11505896,,63778.01,[ 0.042  0.135 -0.027 -0.006  0.044  0.03   0.251 -0.427  0.     0.  0.   ],1030.4558,2.0,1.0
36,-39.55395,,-2736099800.0,112.06473,True,131510,100.0,0.4189424,388.80478,9.359994,-39.55395,-1.0,30752842.0,9.359994,388.80477959017514,41.91,302774100000.0,422.68408,276.74005,84.71709,197.85578393936157,-163262.73,1.0,100.0,100,3600,,185.64969,1.0,1,926.1352,158346.14,0.012613282,,8498.019,[ 0.091  0.15  -0.023 -0.014  0.033  0.002  0.226 -0.32   0.     0.  0.   ],699.42413,2.0,1.0
37,-37.338398,,-2601791300000000.0,140.71895,True,135821,100.0,0.4189424,399.8058,9.359854,-37.338398,-1.0,1129669400.0,9.359854,399.80580465204577,43.11,1.4319725e+23,568.01935,259.08685,96.47719,203.9612205028534,-176028.05,1.0,100.0,100,3700,,4891.018,1.0,1,44479.598,169152.52,0.07201682,,446135.1,[ 0.08   0.157 -0.029  0.002  0.047 -0.013  0.28  -0.428  0.     0.  0.   ],827.1062,2.0,1.0
38,-41.533195,,-31476085000000.0,170.29706,True,140236,100.0,0.4189424,409.42032,9.359927,-41.533195,-1.0,72682940.0,9.359927,409.4203459347001,44.15,1.5666035e+19,650.4032,239.12329,113.30064,209.94983863830566,-188414.5,1.0,100.0,100,3800,,158.03018,1.0,1,1380.083,180462.05,0.028015831,,13861.321,[ 0.099  0.158 -0.034  0.007  0.053  0.035  0.259 -0.454  0.     0.  0.   ],889.5265,2.0,1.0
39,-47.06584,,-71429576.0,162.71782,True,144689,100.0,0.4189424,412.8965,9.359895,-47.06584,-1.0,432176.88,9.359895,412.8965203081797,44.53,126732310.0,541.97266,250.17871,102.76747,216.152996301651,-187351.36,1.0,100.0,100,3900,,2.5807722,1.0,1,3.6714969,181044.7,0.12806055,,25.283213,[ 0.098  0.153 -0.032 -0.012  0.033 -0.017  0.261 -0.436  0.     0.  0.   ],792.15137,2.0,1.0
40,-38.56347,,-888556160.0,169.69373,True,149416,100.0,0.4189424,438.38284,9.359877,-38.56347,-1.0,1101467.6,9.359877,438.382859967904,47.27,14716744000.0,584.4679,268.68912,120.97596,223.65831589698792,-214130.17,1.0,100.0,100,4000,,2.7302248,1.0,1,11.437143,206814.72,0.3107324,,114.356285,[ 0.109  0.156 -0.032 -0.02   0.025  0.007  0.253 -0.427  0.     0.  0.   ],853.15704,2.0,1.0
41,-36.401222,,-313392020000000.0,143.58185,True,153864,100.0,0.4189424,412.66937,9.359943,-36.401222,-1.0,7510586.5,9.359943,412.6693537240737,44.48,1.4640616e+21,633.6531,269.0875,109.07986,228.58891081809998,-190384.89,1.0,100.0,100,4100,,22.767061,1.0,1,133.26935,182194.4,0.06766387,,1323.3019,[ 0.093  0.156 -0.036 -0.014  0.03  -0.013  0.239 -0.434  0.     0.  0.   ],902.74054,2.0,1.0
42,-35.30536,,-43294193000000.0,138.9479,True,158046,100.0,0.4189424,387.82724,9.359984,-35.30536,-1.0,28049472.0,9.359984,387.8272376473394,41.82,9.107603e+19,422.9709,248.87933,80.51518,234.08976483345032,-161429.23,1.0,100.0,100,4200,,94.05287,1.0,1,813.8388,156892.66,0.044901554,,8183.883,[ 0.12   0.154 -0.034  0.003  0.047  0.017  0.215 -0.4    0.     0.  0.   ],671.8502,2.0,1.0
43,-45.156372,,-3291689500000.0,130.69269,True,162443,100.0,0.4189424,407.95526,9.359895,-45.156372,-1.0,41470300.0,9.359895,407.9552639754475,43.97,2.1576524e+17,562.4297,277.26257,116.81588,238.18111181259155,-187159.81,1.0,100.0,100,4300,,142.42964,1.0,1,682.38525,180073.45,0.030918447,,5334.3613,[ 0.11   0.151 -0.033 -0.026  0.017 -0.026  0.229 -0.4    0.     0.  0.   ],839.69226,2.0,1.0
44,-39.273987,,-2737030300000.0,115.716286,True,166771,100.0,0.4189424,401.43375,9.359933,-39.273987,-1.0,54633870.0,9.359933,401.4337623938356,43.28,1.7132444e+17,525.41064,285.71747,94.0672,242.95658540725708,-176610.14,1.0,100.0,100,4400,,342.67346,1.0,1,1803.5312,169997.69,0.08841611,,13353.842,[ 0.101  0.15  -0.032 -0.028  0.015 -0.071  0.266 -0.423  0.     0.  0.   ],811.1281,2.0,1.0
45,-36.568966,,-182923530000.0,129.77525,True,170964,100.0,0.4189424,388.76385,9.359985,-36.568966,-1.0,292771200.0,9.359985,388.76386552895286,41.93,1015434960000000.0,496.16055,258.98862,86.321754,247.9194209575653,-164320.03,1.0,100.0,100,4500,,939.4114,1.0,1,6307.01,158588.8,0.011993466,,62730.33,[ 0.088  0.15  -0.029 -0.007  0.036 -0.119  0.286 -0.418  0.     0.  0.   ],755.1492,2.0,1.0
46,-30.439034,,-264614720.0,91.788506,True,174839,100.0,0.4189424,359.1385,9.359848,-30.439034,-1.0,7100923.0,9.359848,359.13849242864586,38.75,3620483800.0,385.20544,267.34998,77.44651,252.3217692375183,-139258.17,1.0,100.0,100,4600,,80.581696,1.0,1,457.1268,134978.42,0.039928954,,3983.625,[ 0.075  0.158 -0.033 -0.043 -0.009 -0.108  0.203 -0.347  0.     0.  0.   ],652.5554,2.0,1.0
47,-38.336666,,-55018690000.0,132.70596,True,179067,100.0,0.4189424,392.00473,9.359891,-38.336666,-1.0,20696408.0,9.359891,392.00472071925645,42.28,196988090000000.0,365.11462,259.29877,84.89294,258.33456683158875,-164793.1,1.0,100.0,100,4700,,109.00554,1.0,1,816.8701,160874.52,0.016871227,,8001.6567,[ 0.075  0.161 -0.038 -0.005  0.03  -0.092  0.193 -0.371  0.     0.  0.   ],624.4134,2.0,1.0
48,-51.678143,,-278741280.0,121.00564,True,182975,100.0,0.4189424,362.05026,9.359966,-51.678143,-1.0,852122.0,9.359966,362.0503131036533,39.08,1281488600.0,637.8076,241.04468,105.686325,265.2876720428467,-150012.77,1.0,100.0,100,4800,,5.0809383,1.0,1,28.30355,142250.03,0.051921856,,282.27975,[ 0.053  0.167 -0.04   0.027  0.065 -0.119  0.182 -0.353  0.     0.  0.   ],878.8523,2.0,1.0
49,-36.26949,,-387912560000.0,110.74975,True,186865,100.0,0.4189424,360.60367,9.359881,-36.26949,-1.0,89308264.0,9.359881,360.60366318152154,38.9,1827575000000000.0,700.219,249.85391,103.61508,271.59821224212646,-149842.97,1.0,100.0,100,4900,,279.98135,1.0,1,2439.004,140771.1,0.091598645,,24469.31,[ 0.064  0.169 -0.042  0.029  0.067 -0.093  0.175 -0.361  0.     0.  0.   ],950.0729,2.0,1.0
50,-45.916428,,-253728100000000.0,141.55188,True,190976,100.0,0.4189424,381.036,9.359812,-45.916428,-1.0,6038726.5,9.359812,381.03600770256423,41.11,8.483752e+20,691.5082,239.48413,112.21358,278.6629457473755,-166491.48,1.0,100.0,100,5000,,19.734482,1.0,1,125.28979,157780.33,0.16712315,,1196.7128,[ 0.095  0.17  -0.043  0.008  0.046 -0.049  0.162 -0.359  0.     0.  0.   ],930.9923,2.0,1.0
51,-42.88751,,-2903862800.0,149.99313,True,195179,100.0,0.4189424,389.84448,9.359881,-42.88751,-1.0,77242620.0,9.359881,389.8445076820488,42.03,193132510000.0,560.1278,239.85138,91.911514,285.62592339515686,-166858.38,1.0,100.0,100,5100,,411.93927,1.0,1,3931.6157,160426.45,0.07044442,,39528.375,[ 0.077  0.194 -0.048  0.015  0.054 -0.003  0.178 -0.381  0.     0.  0.   ],799.9792,2.0,1.0
52,-36.264717,,-109373210.0,148.06612,True,199653,100.0,0.4189424,415.13058,9.359976,-36.264717,-1.0,1661973.0,9.359976,415.1305538634635,44.74,235830420.0,568.3257,267.06442,112.77363,292.63259100914,-192065.19,1.0,100.0,100,5200,,10.96716,1.0,1,26.280954,185051.25,0.038165715,,174.15977,[ 0.092  0.19  -0.054  0.003  0.043  0.03   0.157 -0.424  0.     0.  0.   ],835.39014,2.0,1.0
53,-41.36414,,-198086670.0,166.33673,True,204237,100.0,0.4189424,425.0198,9.359924,-41.36414,-1.0,652940.9,9.359924,425.019788606255,45.84,781372600.0,579.6275,258.68304,121.63227,300.1343493461609,-202499.28,1.0,100.0,100,5300,,3.1060138,1.0,1,7.9529333,195436.22,0.1746725,,72.32183,[ 9.218e-02  1.853e-01 -5.595e-02 -3.930e-02 -5.516e-05  1.481e-02  1.507e-01 -4.277e-01  0.000e+00  0.000e+00  0.000e+00],838.31055,2.0,1.0
54,-40.577553,,-17627712000000.0,192.43053,True,209087,100.0,0.4189424,449.70825,9.359687,-40.577553,-1.0,235678540.0,9.359687,449.70824526075455,48.5,4.7836667e+18,638.21826,257.27774,126.3119,307.9939386844635,-226251.73,1.0,100.0,100,5400,,659.85065,1.0,1,6171.165,218192.19,0.13489279,,62037.824,[ 0.103  0.185 -0.058 -0.028  0.012  0.036  0.14  -0.431  0.     0.  0.   ],895.496,2.0,1.0
55,-42.4012,,-2.9678417e+16,169.58484,True,213793,100.0,0.4189424,436.53882,9.35988,-42.4012,-1.0,519162100.0,9.35988,436.5388275176146,47.06,2.0850205e+25,537.2229,266.95398,118.92148,316.96332836151123,-211208.05,1.0,100.0,100,5500,,2933.195,1.0,1,11428.254,204708.45,0.015058391,,85614.73,[ 1.299e-01  1.815e-01 -6.322e-02  1.484e-04  4.003e-02  6.143e-02  1.246e-01 -4.579e-01  0.000e+00  0.000e+00  0.000e+00],804.1769,2.0,1.0
56,-36.84764,,-26393493000000.0,133.09163,True,217713,100.0,0.4189424,363.66266,9.359774,-36.84764,-1.0,177704880.0,9.359774,363.6626599664046,39.2,3.0602221e+19,458.42627,230.57104,88.76276,323.92872428894043,-144900.45,1.0,100.0,100,5600,,1689.1544,1.0,1,12078.111,140129.36,0.048483152,,120717.234,[ 0.127  0.175 -0.067 -0.086 -0.048  0.053  0.11  -0.464  0.     0.  0.   ],688.9973,2.0,1.0
57,-50.99848,,-1.4456724e+21,206.45673,True,222708,100.0,0.4189424,463.417,9.359959,-50.99848,-1.0,154085300000.0,9.359959,463.4170322700733,49.95,2.6790689e+34,680.489,256.9603,150.32677,332.19717478752136,-246185.89,1.0,100.0,100,5700,,336458.3,1.0,1,3157523.0,237353.48,0.03982711,,31726386.0,[ 0.142  0.181 -0.064 -0.009  0.031  0.049  0.157 -0.494  0.     0.  0.   ],937.4493,2.0,1.0
58,-39.39933,,-2.4104374e+16,126.70766,True,226759,100.0,0.4189424,375.67383,9.359939,-39.39933,-1.0,202874940.0,9.359939,375.67382496029967,40.51,1.864499e+25,496.30823,248.96617,88.95376,339.43132066726685,-154625.92,1.0,100.0,100,5800,,2110.8289,1.0,1,10528.147,149043.6,0.11740967,,100249.664,[ 0.106  0.186 -0.076 -0.078 -0.042  0.056  0.143 -0.556  0.     0.  0.   ],745.2744,2.0,1.0
