Bound,AvgDiscRet,J,VanillaAvgRet,VarRet,Delta,VarJ,EpsThisIter,MaxNormIw,MinVanillaIw,VarVanillaIw,AvgNormIw,MinNormIw,ESSRenyi,AvgVanillaIw,AvgRet,VarNormIw,BatchSize,MaxVanillaIw,eRenyi2,VarDiscRet,ESSClassic,AvgEpLen,IterType
-162.771,-80.3122577342,-78.4438,-80.3122577342,4903.76106561,0.2,63.2085,100,0.0140124,0.747273,0.0243853,0.01,0.00735101,97.8779594181,1.01656,-80.3122577342,2.35973e-06,100,1.42445,1.02168,4903.76106561,97.7172366257,112.37,1
-167.558,-85.1868589635,-83.22,-85.1868589635,7197.5132207,0.2,77.2666,100,0.014576,0.72463,0.0199922,0.01,0.0072346,97.8539711158,1.00162,-85.1868589635,1.99277e-06,100,1.45996,1.02193,7197.5132207,98.0653531898,116.96,1
-171.231,-88.5875514297,-87.0468,-88.5875514297,8315.67017035,0.2,86.0064,100,0.0148741,0.791573,0.0206452,0.01,0.00778039,98.2114012269,1.0174,-88.5875514297,1.99452e-06,100,1.51329,1.01821,8315.67017035,98.0636589889,120.98,1
-165.556,-82.9960400601,-81.1562,-82.9960400601,6063.29725698,0.2,72.7322,100,0.0120989,0.393287,0.0300543,0.01,0.00404743,97.7102537196,0.971696,-82.9960400601,3.18307e-06,100,1.17564,1.02343,6063.29725698,96.9450487166,114.93,1
-160.543,-78.5790996593,-75.604,-78.5790996593,4953.86770614,0.2,57.3016,100,0.0126454,0.404369,0.0393581,0.01,0.00405847,96.4738311274,0.996359,-78.5790996593,3.96463e-06,100,1.25994,1.03655,4953.86770614,96.2232138195,110.28,1
-156.728,-73.519075989,-73.0926,-73.519075989,3766.67525704,0.2,58.9151,100,0.0142693,0.934424,0.00492691,0.01,0.00943328,99.5043410782,0.990561,-73.519075989,5.02124e-07,100,1.41346,1.00498,3766.67525704,99.5053963553,104.19,1
-156.365,-73.2141774108,-72.684,-73.2141774108,3819.92891976,0.2,59.3084,100,0.0124578,0.841984,0.00530844,0.01,0.00844699,99.3946230316,0.996786,-73.2141774108,5.34272e-07,100,1.24178,1.00609,3819.92891976,99.4738488291,103.14,1
-165.898,-84.0293373337,-80.621,-84.0293373337,6034.93851504,0.2,66.8963,100,0.0148269,0.287564,0.0526935,0.01,0.0028222,95.7100410446,1.01894,-84.0293373337,5.07533e-06,100,1.51077,1.04482,6034.93851504,95.2158374109,116.41,1
-167.454,-85.9934291187,-82.6514,-85.9934291187,7163.41121648,0.2,74.8267,100,0.0146548,0.41404,0.0342233,0.01,0.0042171,96.7831510762,0.981811,-85.9934291187,3.55031e-06,100,1.43883,1.03324,7163.41121648,96.6045208287,119.18,1
-156.549,-75.3309439515,-70.754,-75.3309439515,3769.72835756,0.2,38.4678,100,0.0135463,0.209179,0.0630937,0.01,0.00211423,94.5582343736,0.989388,-75.3309439515,6.44544e-06,100,1.34025,1.05755,3769.72835756,94.0017691155,106.53,1
-161.433,-78.4352310126,-77.5432,-78.4352310126,4973.60586085,0.2,65.7767,100,0.0120278,0.672184,0.00875785,0.01,0.00680511,98.9017606963,0.987765,-78.4352310126,8.97616e-07,100,1.18807,1.0111,4973.60586085,99.1192079579,109.74,1
-167.43,-84.4437067848,-83.5922,-84.4437067848,7281.48178407,0.2,81.8372,100,0.0143698,0.900718,0.00963106,0.01,0.00910909,99.0230153982,0.988813,-84.4437067848,9.85021e-07,100,1.42091,1.00987,7281.48178407,99.034236018,116.1,1
-157.248,-74.2084466434,-73.4226,-74.2084466434,3796.46790241,0.2,57.3937,100,0.0115286,0.689586,0.00868749,0.01,0.00693043,99.0537907646,0.995011,-74.2084466434,8.77483e-07,100,1.1471,1.00955,3796.46790241,99.1387525313,104.41,1
-167.26,-84.6759658159,-83.1268,-84.6759658159,7244.73437798,0.2,80.3192,100,0.0169956,0.883167,0.0184956,0.01,0.00885069,98.3315443556,0.99785,-84.6759658159,1.85754e-06,100,1.69591,1.01697,7244.73437798,98.194264426,116.96,1
-157.834,-74.6890025544,-74.1199,-74.6890025544,3782.81857937,0.2,58.1972,100,0.0119343,0.741195,0.00582174,0.01,0.00745182,99.3159088458,0.994648,-74.6890025544,5.88456e-07,100,1.18704,1.00689,3782.81857937,99.4207980064,105.3,1
-153.06,-70.2649153632,-69.0004,-70.2649153632,2589.20183585,0.2,42.1488,100,0.0121285,0.458163,0.0194534,0.01,0.0046292,98.5033924139,0.989723,-70.2649153632,1.98595e-06,100,1.20039,1.01519,2589.20183585,98.071793467,100.74,1
-149.88,-66.6339592385,-66.2903,-66.6339592385,1342.11024367,0.2,33.6848,100,0.0122458,0.88281,0.00318069,0.01,0.00880005,99.6000258837,1.00319,-66.6339592385,3.16051e-07,100,1.22848,1.00402,1342.11024367,99.6880724814,96.22,1
-161.732,-78.5769935106,-78.0706,-78.5769935106,4958.09745434,0.2,67.3867,100,0.0130884,0.939399,0.00392882,0.01,0.00947394,99.4391837379,0.99156,-78.5769935106,3.99598e-07,100,1.2978,1.00564,4958.09745434,99.6059681731,109.24,1
-158.62,-76.078029241,-74.3459,-76.078029241,3733.21748358,0.2,53.5111,100,0.0116495,0.464592,0.0139034,0.01,0.00461894,98.0036074583,1.00584,-76.078029241,1.37424e-06,100,1.17175,1.02037,3733.21748358,98.6577602223,107.23,1
-169.492,-88.2252454959,-83.7687,-88.2252454959,8308.51616793,0.2,79.4055,100,0.0175285,0.367491,0.0703972,0.01,0.0038051,94.7177777396,0.965787,-88.2252454959,7.54732e-06,100,1.69288,1.05577,8308.51616793,93.0476367301,120.69,1
-81.7275,-64.0964765394,-63.7997,-64.0964765394,110.722166445,0.2,10.3915,100,0.0119283,0.674286,0.0130391,0.01,0.00669092,98.1835027621,1.00776,-64.0964765394,1.28389e-06,100,1.20209,1.0185,110.722166445,98.7449018013,93.02,1
