VarJ,EpsThisIter,MaxVanillaIw,AvgDiscRet,VarNormIw,eRenyi2,AvgVanillaIw,MaxNormIw,AvgNormIw,AvgRet,AvgEpLen,MinNormIw,BatchSize,VanillaAvgRet,VarVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,Bound,ESSRenyi,J,Delta,IterType,VarRet
36.7389,100,2.26247,-70.8206103307,8.44351e-06,1.06394,1.03368,0.0218876,0.01,-70.8206103307,101.78,0.00466539,100,-70.8206103307,0.0902178,92.2857702762,0.48225,2560.73062016,-111.225,93.9899213536,-68.1986,0.5,1,2560.73062016
74.2503,100,2.82799,-84.6933138262,1.47731e-05,1.1113,0.981174,0.0288225,0.01,-84.6933138262,117.32,0.00293941,100,-84.6933138262,0.142221,87.2407142164,0.288408,7224.0689566,-124.316,89.9847322381,-80.3419,0.5,1,7224.0689566
66.4664,100,2.09828,-81.3043667565,5.27284e-06,1.05113,1.02061,0.020559,0.01,-81.3043667565,113.88,0.00799789,100,-81.3043667565,0.0549247,95.0388531938,0.816277,6066.86952495,-121.514,95.1361591458,-78.7471,0.5,1,6066.86952495
67.4544,100,2.01619,-87.6988887009,2.37334e-05,1.32176,1.04767,0.0192445,0.01,-87.6988887009,121.22,8.83316e-06,100,-87.6988887009,0.260502,80.9742410361,0.000925427,8342.66286338,-126.253,75.6565057579,-78.2958,0.5,1,8342.66286338
52.4314,100,2.20197,-75.8542548996,5.0815e-06,1.03558,1.0369,0.0212362,0.01,-75.8542548996,108.3,0.00717825,100,-75.8542548996,0.0546341,95.2102569613,0.74431,3742.65561939,-116.686,96.5646184932,-74.2391,0.5,1,3742.65561939
60.1194,100,1.34774,-77.8791168652,5.14734e-06,1.06632,1.04308,0.0129207,0.01,-77.8791168652,109.95,0.00229825,100,-77.8791168652,0.056004,95.1512089848,0.239726,4937.69994041,-118.315,93.7804522622,-75.2403,0.5,1,4937.69994041
68.4758,100,1.5767,-76.7392729375,1.90238e-06,1.01569,1.01564,0.0155241,0.01,-76.7392729375,107.54,0.00583434,100,-76.7392729375,0.0196237,98.1514661756,0.592561,4949.7568086,-118.125,98.4549514392,-76.0845,0.5,1,4949.7568086
47.2517,100,1.71172,-81.3371838416,2.38845e-05,1.21673,0.992308,0.0172498,0.01,-81.3371838416,113.7,0.000181542,100,-81.3371838416,0.235185,80.8763007342,0.0180146,6079.79345122,-118.406,82.1877442344,-72.393,0.5,1,6079.79345122
62.9979,100,1.98022,-77.5767818631,3.48559e-06,1.03295,1.00083,0.0197858,0.01,-77.5767818631,109.08,0.00841408,100,-77.5767818631,0.0349137,96.6644259379,0.842106,4942.46555762,-118.424,96.8099017765,-76.0277,0.5,1,4942.46555762
81.2108,100,1.40386,-88.1617816623,1.17842e-05,1.12256,0.996221,0.0140918,0.01,-88.1617816623,122.0,0.000755952,100,-88.1617816623,0.116953,89.552440793,0.0753096,8304.86999355,-125.844,89.081727198,-81.6494,0.5,1,8304.86999355
62.513,100,2.09459,-84.2450543253,1.85e-05,1.17322,1.05655,0.0198247,0.01,-84.2450543253,116.52,0.00128864,100,-84.2450543253,0.206516,84.5201922642,0.136152,7216.35950732,-123.006,85.2357713929,-77.8232,0.5,1,7216.35950732
69.1495,100,6.19471,-81.9162155227,3.05444e-05,1.07591,1.03206,0.0600229,0.01,-81.9162155227,114.99,0.00261093,100,-81.9162155227,0.325341,76.7819661722,0.269463,6059.08996773,-122.531,92.9443426947,-79.2624,0.5,1,6059.08996773
41.2982,100,1.30139,-73.9406275983,3.86658e-06,1.03484,0.991597,0.0131241,0.01,-73.9406275983,106.84,0.00383226,100,-73.9406275983,0.0380187,96.3131719275,0.380006,2529.97807294,-114.914,96.6330076871,-72.4845,0.5,1,2529.97807294
15.4362,100,1.30457,-67.8213413803,4.99132e-06,1.04737,0.995023,0.013111,0.01,-67.8213413803,98.18,0.00313624,100,-67.8213413803,0.0494176,95.2913010822,0.312063,1357.85946315,-107.91,95.477040449,-65.2217,0.5,1,1357.85946315
47.1015,100,1.76719,-73.1082207267,8.84033e-06,1.08242,1.01027,0.0174922,0.01,-73.1082207267,103.67,0.000892713,100,-73.1082207267,0.0902284,91.9524016219,0.0901881,3790.73805242,-113.287,92.3859678221,-69.8886,0.5,1,3790.73805242
46.7654,100,1.58516,-71.0205400349,1.10828e-06,1.01281,0.999607,0.0158578,0.01,-71.0205400349,102.75,0.00869137,100,-71.0205400349,0.0110741,98.9147456771,0.868796,2569.12719596,-112.356,98.7354585263,-70.4368,0.5,1,2569.12719596
57.6589,100,1.41171,-76.9608229776,1.06988e-06,1.01128,1.00205,0.0140883,0.01,-76.9608229776,109.59,0.00911576,100,-76.9608229776,0.0107426,98.9519113662,0.913443,3730.55536361,-118.385,98.8849024496,-76.4364,0.5,1,3730.55536361
66.378,100,1.23462,-78.4778886962,1.25665e-06,1.01972,0.982416,0.0125672,0.01,-78.4778886962,110.97,0.00806312,100,-78.4778886962,0.0121284,98.7712457929,0.792134,4924.5664246,-119.696,98.0661512761,-77.5749,0.5,1,4924.5664246
58.078,100,1.91235,-89.0514380647,2.98308e-05,1.36732,1.07431,0.0178007,0.01,-89.0514380647,122.79,3.16385e-05,100,-89.0514380647,0.344292,77.200714135,0.00339896,8271.70947525,-125.323,73.1360019181,-76.5464,0.5,1,8271.70947525
74.2567,100,2.39379,-85.0240611196,5.42242e-06,1.06024,0.992308,0.0241234,0.01,-85.0240611196,117.86,0.00816098,100,-85.0240611196,0.0533932,94.9053000281,0.809821,7212.27719846,-124.963,94.3186572461,-82.0114,0.5,1,7212.27719846
68.1392,100,1.9377,-89.7308332391,1.90859e-05,1.18746,1.02354,0.0189313,0.01,-89.7308332391,124.07,0.00182255,100,-89.7308332391,0.199951,84.1077852746,0.186546,8244.19036757,-126.219,84.2134767335,-80.7645,0.5,1,8244.19036757
28.2914,100,1.34581,-71.1411050545,8.28693e-06,1.07891,1.00912,0.0133365,0.01,-71.1411050545,102.16,0.00272669,100,-71.1411050545,0.0843876,92.4179804465,0.275155,2566.65231577,-111.052,92.6861375211,-67.7235,0.5,1,2566.65231577
9.84967,100,1.45923,-64.6183452155,1.28071e-06,1.02228,0.984413,0.0148233,0.01,-64.6183452155,95.17,0.00730977,100,-64.6183452155,0.0124109,98.7479634811,0.719584,98.7917711691,-73.6966,97.8207311978,-64.4013,0.5,1,98.7917711691
70.1149,100,1.38969,-77.4856874521,1.26823e-06,1.02024,1.02851,0.0135117,0.01,-64.6183452155,95.17,0.00666297,200,-64.6183452155,0.0134158,98.7600461826,0.685295,4939.85982326,-119.866,196.031376768,-77.7325,0.5,,98.7917711691
34.2209,100,1.44197,-76.3744204403,1.31873e-06,1.05606,1.0152,0.00710188,0.005,-76.3744204403,108.83,0.00109611,200,-76.3744204403,0.0543652,190.026354125,0.222554,3745.44120639,-99.4363,189.3833578,-69.1244,0.5,1,3745.44120639
77.2061,100,1.0,-83.9523453398,3.50449e-18,1.0,1.0,0.01,0.01,-83.9523453398,117.54,0.01,200,-83.9523453398,,100.0,1.0,6020.9838853,-125.666,200.0,-83.9523,0.5,2,6020.9838853
62.11,100,1.54312,-73.7219868867,1.38835e-06,1.06957,1.01411,0.00760824,0.005,-73.7219868867,104.42,0.00209941,200,-73.7219868867,0.0571127,189.52734698,0.425809,3780.54803399,-107.533,186.990668197,-77.0275,0.5,1,3780.54803399
69.7775,100,1.0,-79.0318489215,3.50449e-18,1.0,1.0,0.01,0.01,-79.0318489215,111.75,0.01,200,-79.0318489215,,100.0,1.0,4918.08061883,-120.746,200.0,-79.0318,0.5,2,4918.08061883
55.8645,100,2.80241,-74.8085466316,1.86394e-06,1.06028,1.01865,0.0137556,0.005,-74.8085466316,106.23,0.00291298,200,-74.8085466316,0.0773641,186.187683237,0.593459,3756.5420977,-105.325,188.628788563,-74.9525,0.5,1,3756.5420977
77.1632,100,1.0,-83.1254991305,3.50449e-18,1.0,1.0,0.01,0.01,-83.1254991305,116.43,0.01,200,-83.1254991305,,100.0,1.0,6014.30221185,-124.84,200.0,-83.1255,0.5,2,6014.30221185
55.9124,100,2.17438,-73.9895609514,2.71134e-06,1.10865,1.00261,0.0108436,0.005,-73.9895609514,105.23,0.000464038,200,-73.9895609514,0.10902,180.51988686,0.0930496,3765.26267996,-104.969,180.399357336,-73.9115,0.5,1,3765.26267996
60.9263,100,1.0,-74.7996873556,3.50449e-18,1.0,1.0,0.01,0.01,-74.7996873556,106.44,0.01,200,-74.7996873556,,100.0,1.0,3749.50370922,-116.514,200.0,-74.7997,0.5,2,3749.50370922
46.8357,100,1.5024,-75.2991339071,2.98302e-06,1.11336,0.993961,0.00755762,0.005,-75.2991339071,106.98,0.000928273,200,-75.2991339071,0.117884,178.775034152,0.184534,3737.12169635,-103.126,179.637042979,-72.0031,0.5,1,3737.12169635
69.6588,100,1.0,-78.875170854,3.50449e-18,1.0,1.0,0.01,0.01,-78.875170854,111.49,0.01,200,-78.875170854,,100.0,1.0,4901.36903776,-120.588,200.0,-78.8752,0.5,2,4901.36903776
59.2838,100,1.79749,-77.6170170213,1.40623e-06,1.07837,1.02811,0.00874171,0.005,-77.6170170213,109.17,0.000643105,200,-77.6170170213,0.059456,189.399680247,0.132236,4943.3424031,-106.264,185.464714844,-75.6333,0.5,1,4943.3424031
69.8039,100,1.0,-78.5369244917,3.50449e-18,1.0,1.0,0.01,0.01,-78.5369244917,111.04,0.01,200,-78.5369244917,,100.0,1.0,4921.80006169,-120.251,200.0,-78.5369,0.5,2,4921.80006169
68.4008,100,2.17016,-85.1615173338,1.7156e-06,1.07821,0.974733,0.0111321,0.005,-85.1615173338,118.07,0.00293664,200,-85.1615173338,0.0651999,187.216712988,0.572488,7184.80668153,-110.101,185.492294546,-79.4702,0.5,1,7184.80668153
61.096,100,1.0,-74.5007126129,3.50449e-18,1.0,1.0,0.01,0.01,-74.5007126129,105.78,0.01,200,-74.5007126129,,100.0,1.0,3770.42475927,-116.213,200.0,-74.5007,0.5,2,3770.42475927
67.089,100,2.22871,-89.7648948789,2.30211e-06,1.08264,0.976082,0.0114166,0.005,-89.7648948789,123.9,0.00333001,200,-89.7648948789,0.087732,183.213260398,0.650073,8230.01788777,-110.236,184.734174832,-79.5453,0.5,1,8230.01788777
61.0648,100,1.0,-75.664345911,3.50449e-18,1.0,1.0,0.01,0.01,-75.664345911,107.32,0.01,200,-75.664345911,,100.0,1.0,3766.57272998,-117.377,200.0,-75.6644,0.5,2,3766.57272998
55.7547,100,3.16587,-79.8714012384,1.87815e-06,1.04896,1.02476,0.0154469,0.005,-79.8714012384,112.54,0.00403493,200,-79.8714012384,0.0788924,186.08968951,0.826967,4896.86686036,-106.225,190.664329978,-76.0155,0.5,1,4896.86686036
10.2802,100,1.0,-62.8671580338,3.50449e-18,1.0,1.0,0.01,0.01,-62.8671580338,92.29,0.01,200,-62.8671580338,,100.0,1.0,106.750542359,-73.2395,200.0,-62.8672,0.5,2,106.750542359
53.7682,100,1.38533,-86.7854787989,2.92267e-06,1.09463,0.967504,0.00715928,0.005,-86.7854787989,120.55,0.000391666,200,-86.7854787989,0.109432,179.159693539,0.0757877,7128.35245743,-102.583,182.709601763,-71.7231,0.5,1,7128.35245743
61.2053,100,1.0,-75.0275219274,3.50449e-18,1.0,1.0,0.01,0.01,-75.0275219274,106.85,0.01,200,-75.0275219274,,100.0,1.0,3783.92286879,-116.742,200.0,-75.0275,0.5,2,3783.92286879
56.8984,100,2.67979,-75.2438204372,1.25341e-06,1.03224,0.993782,0.0134828,0.005,-75.2438204372,106.88,0.00341277,200,-75.2438204372,0.049515,190.496881819,0.67831,3746.60442599,-104.159,193.754324251,-74.1908,0.5,1,3746.60442599
61.0006,100,1.0,-73.8832800059,3.50449e-18,1.0,1.0,0.01,0.01,-73.8832800059,105.02,0.01,200,-73.8832800059,,100.0,1.0,3758.6637052,-115.596,200.0,-73.8833,0.5,2,3758.6637052
62.3188,100,1.58257,-80.6924314503,1.79353e-06,1.07558,1.00739,0.00785481,0.005,-80.6924314503,113.13,0.0016306,200,-80.6924314503,0.0728056,186.674709392,0.32853,6095.35622247,-105.596,185.94622824,-75.0066,0.5,1,6095.35622247
61.2225,100,1.0,-73.1107968111,3.50449e-18,1.0,1.0,0.01,0.01,-73.1107968111,104.06,0.01,200,-73.1107968111,,100.0,1.0,3786.05875832,-114.825,200.0,-73.1108,0.5,2,3786.05875832
53.7825,100,1.6207,-81.3026615644,3.3598e-06,1.14289,0.984151,0.00823398,0.005,-81.3026615644,114.13,0.000573358,200,-81.3026615644,0.130166,176.41046651,0.112854,6069.69926095,-104.137,174.9946987,-72.6033,0.5,1,6069.69926095
61.1156,100,1.0,-76.0942121558,3.50449e-18,1.0,1.0,0.01,0.01,-76.0942121558,108.2,0.01,200,-76.0942121558,,100.0,1.0,3772.8463037,-117.807,200.0,-76.0942,0.5,2,3772.8463037
47.2955,100,2.06494,-71.3149921913,2.28296e-06,1.08281,0.985888,0.0104725,0.005,-71.3149921913,102.34,0.00109465,200,-71.3149921913,0.0887593,183.341210684,0.215841,2591.04688478,-102.056,184.704847611,-71.3626,0.5,1,2591.04688478
69.853,100,1.0,-78.0526670264,3.50449e-18,1.0,1.0,0.01,0.01,-78.0526670264,110.25,0.01,200,-78.0526670264,,100.0,1.0,4928.73406368,-119.766,200.0,-78.0527,0.5,2,4928.73406368
67.5134,100,1.83694,-77.2202786295,4.17063e-07,1.02086,0.990969,0.0092684,0.005,-77.2202786295,108.38,0.00415248,200,-77.2202786295,0.0163825,196.734346987,0.822996,4953.90808361,-106.772,195.912502962,-76.9698,0.5,1,4953.90808361
60.7112,100,1.0,-75.4574784644,3.50449e-18,1.0,1.0,0.01,0.01,-75.4574784644,107.6,0.01,200,-75.4574784644,,100.0,1.0,3723.0851961,-117.171,200.0,-75.4575,0.5,2,3723.0851961
59.8995,100,1.49766,-77.4811980718,1.04208e-06,1.04987,0.991166,0.00755503,0.005,-77.4811980718,109.08,0.00258399,200,-77.4811980718,0.0409501,192.035346913,0.512233,4935.0701281,-105.181,190.500119678,-74.9583,0.5,1,4935.0701281
50.0548,100,1.0,-72.0673344234,3.50449e-18,1.0,1.0,0.01,0.01,-72.0673344234,103.9,0.01,200,-72.0673344234,,100.0,1.0,2530.78796024,-113.781,200.0,-72.0673,0.5,2,2530.78796024
71.2573,100,1.47867,-88.3934794647,5.10997e-07,1.02165,1.00456,0.0073598,0.005,-88.3934794647,121.52,0.00358909,200,-88.3934794647,0.0206267,196.013494626,0.721091,8300.25352334,-109.395,195.761263712,-79.5812,0.5,1,8300.25352334
61.1872,100,1.0,-73.8072257088,3.50449e-18,1.0,1.0,0.01,0.01,-73.8072257088,104.67,0.01,200,-73.8072257088,,100.0,1.0,3781.69004079,-115.521,200.0,-73.8072,0.5,2,3781.69004079
49.0685,100,1.56523,-70.3229310991,1.08375e-06,1.04129,0.977824,0.00800362,0.005,-70.3229310991,100.79,0.00176352,200,-70.3229310991,0.0414486,191.730070879,0.344882,2553.87524931,-100.623,192.069290134,-70.5239,0.5,1,2553.87524931
84.6455,100,1.0,-83.9179490916,3.50449e-18,1.0,1.0,0.01,0.01,-83.9179490916,116.53,0.01,200,-83.9179490916,,100.0,1.0,7237.23439118,-125.631,200.0,-83.918,0.5,2,7237.23439118
66.0055,100,2.16836,-73.7399411102,9.47542e-07,1.04996,0.99669,0.0108778,0.005,-73.7399411102,105.26,0.000461098,200,-73.7399411102,0.0376512,192.731653912,0.0919144,3775.67614904,-106.417,190.484244066,-76.1924,0.5,1,3775.67614904
61.0564,100,1.0,-73.0204451331,3.50449e-18,1.0,1.0,0.01,0.01,-73.0204451331,104.03,0.01,200,-73.0204451331,,100.0,1.0,3765.54285559,-114.735,200.0,-73.0204,0.5,2,3765.54285559
56.5784,100,1.70964,-74.0153831129,7.20039e-07,1.02929,1.00744,0.0084851,0.005,-74.0153831129,105.14,0.00363362,200,-74.0153831129,0.0292317,194.428095319,0.732131,3773.40207988,-102.555,194.307760443,-72.6293,0.5,1,3773.40207988
77.5502,100,1.0,-80.937093315,3.50449e-18,1.0,1.0,0.01,0.01,-80.937093315,113.55,0.01,200,-80.937093315,,100.0,1.0,6074.78485639,-122.65,200.0,-80.9371,0.5,2,6074.78485639
74.3867,100,1.51626,-84.8583741492,6.50101e-07,1.04809,0.987327,0.00767863,0.005,-84.8583741492,118.07,0.00335333,200,-84.8583741492,0.0253491,194.955758725,0.662167,7188.36630326,-111.341,190.824005139,-81.1446,0.5,1,7188.36630326
50.4265,100,1.0,-71.1764296924,3.50449e-18,1.0,1.0,0.01,0.01,-71.1764296924,102.12,0.01,200,-71.1764296924,,100.0,1.0,2568.51827687,-112.888,200.0,-71.1764,0.5,2,2568.51827687
53.5551,100,2.86381,-80.8766770047,3.33889e-06,1.1119,1.03565,0.0138261,0.005,-80.8766770047,113.32,0.00144123,200,-80.8766770047,0.143249,176.539947921,0.298523,6093.18865357,-103.898,179.871620254,-72.7959,0.5,1,6093.18865357
69.8749,100,1.0,-77.890301373,3.50449e-18,1.0,1.0,0.01,0.01,-77.890301373,109.75,0.01,200,-77.890301373,,100.0,1.0,4931.81692094,-119.604,200.0,-77.8903,0.5,2,4931.81692094
65.1713,100,2.35021,-86.0537259357,3.4376e-06,1.12809,0.983976,0.0119424,0.005,-86.0537259357,119.85,0.000776951,200,-86.0537259357,0.133132,175.929919341,0.1529,7176.0679214,-108.979,177.290552935,-77.6504,0.5,1,7176.0679214
61.3553,100,1.0,-73.7349712113,3.50449e-18,1.0,1.0,0.01,0.01,-73.7349712113,104.47,0.01,200,-73.7349712113,,100.0,1.0,3802.49687896,-115.449,200.0,-73.735,0.5,2,3802.49687896
58.9023,100,1.80487,-81.9764059049,3.34663e-06,1.10925,0.956729,0.00943249,0.005,-81.9764059049,114.1,0.000637309,200,-81.9764059049,0.122531,176.492005814,0.121946,6064.86245773,-106.205,180.301374645,-75.1388,0.5,1,6064.86245773
90.786,100,1.0,-87.7658335838,3.50449e-18,1.0,1.0,0.01,0.01,-87.7658335838,120.48,0.01,200,-87.7658335838,,100.0,1.0,8325.35760104,-129.48,200.0,-87.7658,0.5,2,8325.35760104
48.2673,100,2.00119,-63.3106539451,3.63843e-06,1.12325,0.947513,0.0105602,0.005,-63.3106539451,92.12,0.00107367,200,-63.3106539451,0.13066,174.701571072,0.203463,107.96095576,-103.496,178.055317531,-72.2346,0.5,1,107.96095576
36.5204,100,1.0,-68.0989222158,3.50449e-18,1.0,1.0,0.01,0.01,-68.0989222158,98.6,0.01,200,-68.0989222158,,100.0,1.0,1347.21130856,-109.75,200.0,-68.0989,0.5,2,1347.21130856
58.362,100,1.48542,-83.6675359093,3.69798e-07,1.02104,0.989851,0.00750327,0.005,-83.6675359093,117.31,0.00371295,200,-83.6675359093,0.0144932,197.099068314,0.735053,6027.76860684,-105.019,195.878490351,-75.2141,0.5,1,6027.76860684
69.911,100,1.0,-77.5974438824,3.50449e-18,1.0,1.0,0.01,0.01,-77.5974438824,109.22,0.01,200,-77.5974438824,,100.0,1.0,4936.91167731,-119.312,200.0,-77.5974,0.5,2,4936.91167731
62.4849,100,1.75462,-76.9834818789,2.43355e-06,1.08893,0.978861,0.00896257,0.005,-76.9834818789,108.75,0.000736228,200,-76.9834818789,0.0932701,182.339458644,0.144133,4924.47233834,-105.378,183.667015779,-74.5981,0.5,1,4924.47233834
90.5745,100,1.0,-88.3832538207,3.50449e-18,1.0,1.0,0.01,0.01,-88.3832538207,121.7,0.01,200,-88.3832538207,,100.0,1.0,8286.60121065,-130.097,200.0,-88.3833,0.5,2,8286.60121065
68.0331,100,4.00842,-78.7292745431,4.09495e-06,1.11884,1.06597,0.0188018,0.005,-78.7292745431,110.61,0.00247391,200,-78.7292745431,0.186122,171.972147962,0.527421,4905.15083883,-111.01,178.756553586,-79.8104,0.5,1,4905.15083883
