VarVanillaIw,MinNormIw,AvgNormIw,AvgRet,VanillaAvgRet,MaxVanillaIw,AvgEpLen,VarJ,Bound,BatchSize,VarDiscRet,VarNormIw,EpsThisIter,VarRet,ESSClassic,AvgDiscRet,IterType,Delta,MinVanillaIw,J,eRenyi2,AvgVanillaIw,ESSRenyi,MaxNormIw
12.8722,1.04627e-26,0.002,-521.787791018,-521.787791018,32.8997,500.0,117.603,-517.844,500,1153.55015289,5.30048e-05,100,1153.55015289,35.1501307718,-521.787791018,1,1.0,5.15599e-24,-517.844,inf,0.985594,,0.0667611
,0.01,0.01,-521.23824834,-521.23824834,1.0,500.0,33.3973,-521.238,500,1126.64568364,3.50449e-18,100,1126.64568364,100.0,-521.23824834,2,1.0,1.0,-521.238,1.0,1.0,500.0,0.01
,0.005,0.005,-537.41139168,-537.41139168,1.0,500.0,106.521,-529.325,500,21663.7448282,2.1793e-19,100,21663.7448282,200.000000102,-537.41139168,2,1.0,1.0,-529.325,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-521.817357505,-521.817357505,1.0,500.0,89.5545,-526.822,500,1342.59232537,5.43914e-20,100,1342.59232537,299.999969474,-521.817357505,2,1.0,1.0,-526.822,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-518.465411835,-518.465411835,1.0,500.0,79.9797,-524.733,500,1489.53403691,5.4346e-20,100,1489.53403691,400.0,-518.465411835,2,1.0,1.0,-524.733,1.0,1.0,500.0,0.0025
76375.6,,0.002,-525.132587803,-525.132587803,6179.63,500.0,5.16982e-10,-469.658,500,1071.94586486,0.002,100,1071.94586486,1.0,-525.132587803,1,1.0,,-469.658,4.58882e+06,12.3593,0.000108960390392,1.0
,0.01,0.01,-521.620282197,-521.620282197,1.0,500.0,34.3386,-521.62,500,1191.05053851,3.50449e-18,100,1191.05053851,100.0,-521.620282197,2,1.0,1.0,-521.62,1.0,1.0,500.0,0.01
,0.005,0.005,-513.394367229,-513.394367229,1.0,500.0,35.8125,-517.507,500,1365.758488,2.1793e-19,100,1365.758488,200.000000102,-513.394367229,2,1.0,1.0,-517.507,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-531.214342094,-531.214342094,1.0,500.0,90.6932,-522.076,500,22207.521623,5.43914e-20,100,22207.521623,299.999969474,-531.214342094,2,1.0,1.0,-522.076,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-524.35250236,-524.35250236,1.0,500.0,80.3704,-522.645,500,1169.65692409,5.4346e-20,100,1169.65692409,400.0,-524.35250236,2,1.0,1.0,-522.645,1.0,1.0,500.0,0.0025
23.6571,,0.002,-518.999888917,-518.999888917,73.19,500.0,84.2396,-508.975,500,1273.46823065,9.29245e-05,100,1273.46823065,20.6742705193,-518.999888917,1,1.0,,-508.975,inf,1.00913,,0.145056
,0.01,0.01,-519.508012649,-519.508012649,1.0,500.0,33.8573,-519.508,500,1157.89883725,3.50449e-18,100,1157.89883725,100.0,-519.508012649,2,1.0,1.0,-519.508,1.0,1.0,500.0,0.01
,0.005,0.005,-524.051996165,-524.051996165,1.0,500.0,35.8361,-521.78,500,1426.07306708,2.1793e-19,100,1426.07306708,200.000000102,-524.051996165,2,1.0,1.0,-521.78,1.0,1.0,500.0,0.005
,0.00333333,0.00333333,-523.8634755,-523.8634755,1.0,500.0,37.0831,-522.474,500,1569.82183285,5.43914e-20,100,1569.82183285,299.999969474,-523.8634755,2,1.0,1.0,-522.474,1.0,1.0,500.0,0.00333333
,0.0025,0.0025,-523.730167027,-523.730167027,1.0,500.0,35.8611,-522.788,500,1027.69547584,5.4346e-20,100,1027.69547584,400.0,-523.730167027,2,1.0,1.0,-522.788,1.0,1.0,500.0,0.0025
1866.25,,0.002,-538.212449875,-538.212449875,965.983,500.0,3.35496e-05,-461.923,500,22027.442193,0.002,100,22027.442193,1.0,-538.212449875,1,1.0,,-461.923,951014.0,1.93197,0.000525754373734,1.0
,0.01,0.01,-520.038007243,-520.038007243,1.0,500.0,39.4106,-520.038,500,1568.8858394,3.50449e-18,100,1568.8858394,100.0,-520.038007243,2,1.0,1.0,-520.038,1.0,1.0,500.0,0.01
