J,AvgEpLen,VanillaAvgRet,VarNormIw,ESSClassic,AvgVanillaIw,MaxNormIw,EpsThisIter,VarVanillaIw,MinNormIw,AvgRet,MaxVanillaIw,eRenyi2,VarRet,ESSRenyi,VarJ,AvgNormIw,BatchSize,MinVanillaIw,VarDiscRet,Delta,AvgDiscRet,IterType,Bound
4949.714,491.41,4913.635664229229,4.888347e-06,95.38391211565764,1.0041032,0.016174482,100,0.049285457,0.002587563,4913.635664229229,1.624085,1.0431277,372408.8441411177,95.86554380610964,411.17914,0.01,100,0.25981802,372408.8441411177,0.4,4913.635664229229,1,4324.276
4989.4585,498.32,4982.787839058281,8.275946e-07,99.18733841836524,1.0038832,0.011276797,100,0.008340346,0.005800815,4982.787839058281,1.1320589,1.009425,21100.922719482263,99.06629579727412,85.27444,0.01,100,0.5823341,21100.922719482263,0.4,4982.787839058281,1,4374.207
4999.787,500.0,4999.786981244386,2.8429984e-11,99.99999618528713,0.9999959,0.01001236,100,2.8429406e-07,0.009978894,4999.786981244386,1.0012319,1.0000002,0.06071164710286381,99.99997615814777,0.24499772,0.009999999,100,0.99788535,0.06071164710286381,0.4,4999.786981244386,1,4387.415
4959.919,493.38,4933.266330972958,3.7304649e-06,96.43837723559318,0.9677253,0.013393927,100,0.03493552,0.0037292351,4933.266330972958,1.2961643,1.0379542,178382.84375675532,96.34336362584962,257.06702,0.01,100,0.36088753,178382.84375675532,0.4,4933.266330972958,1,4336.0337
4990.35,497.76,4977.218627351303,1.3010931e-06,98.72829632054732,1.0201818,0.01134536,100,0.013541399,0.0033347735,4977.218627351303,1.1574329,1.0140852,34131.234499968836,98.61104629340208,69.33605,0.01,100,0.3402075,34131.234499968836,0.4,4977.218627351303,1,4373.68
4990.349,495.37,4953.438241576243,2.58293e-06,97.50664175038678,1.0198734,0.012013027,100,0.026866129,0.002045895,4953.438241576243,1.2251767,1.0291585,215304.10802867237,97.16676549050659,95.22376,0.01,100,0.20865537,215304.10802867237,0.4,4953.438241576243,1,4369.113
4962.9766,489.59,4895.430116295374,9.492787e-06,91.40946872467246,0.99572206,0.014584968,100,0.0941174,0.0012508114,4895.430116295374,1.4522574,1.0746335,428405.3285493867,93.05498287848076,286.05518,0.010000002,100,0.12454604,428405.3285493867,0.4,4895.430116295374,1,4328.1636
4999.817,500.0,4999.816443183982,7.608097e-11,99.99990844030113,0.9999232,0.010012429,100,7.606936e-07,0.009941044,4999.816443183982,1.0011661,1.0000001,0.06458774363247904,99.99998807907247,0.25197598,0.010000002,100,0.9940281,0.06458774363247904,0.4,4999.816443183982,1,4387.4443
4999.8745,500.0,4999.87377431783,1.805025e-11,99.99996948400737,1.0000517,0.010015553,100,1.8051608e-07,0.009994118,4999.87377431783,1.0016071,1.0,0.01572955641023635,100.0,0.12476435,0.01,100,0.99946344,0.01572955641023635,0.4,4999.87377431783,1,4387.502
4993.105,498.78,4987.533196008524,7.8051875e-07,99.23321471963745,1.0040284,0.010994007,100,0.007868197,0.0054692044,4987.533196008524,1.1038295,1.007448,15131.233777086047,99.26071039863989,67.246994,0.01,100,0.54912364,15131.233777086047,0.4,4987.533196008524,1,4378.456
4996.955,499.7,4996.780672603246,2.6881942e-08,99.97338708075237,0.9985941,0.010262529,100,0.00026806403,0.009438147,4996.780672603246,1.0248102,1.0002587,961.630944581949,99.97413827418626,29.137701,0.010000002,100,0.94248784,961.630944581949,0.4,4996.780672603246,1,4384.5034
