MinVanillaIw,IterType,VarRet,VarJ,VarNormIw,AvgVanillaIw,AvgRet,J,VarDiscRet,ESSRenyi,AvgEpLen,renyi2,AvgNormIw,SamplesThisIter,VanillaAvgRet,Bound,MinNormIw,EpsThisIter,MaxVanillaIw,MaxNormIw,delta,AvgDiscRet,ESSClassic,VarVanillaIw,BatchSize
2.32769e-25,1,143.848805608,348.725,5.02994e-07,13.403,6.95655690721,6003.33,143.848805608,nan,500.0,nan,5.52486e-05,50000,6.95655690721,18.7355,9.59501e-31,100,7169.85,0.0295549,0.5,6.95655690721,1.29781954858,29602.2,100
2.60104e-18,1,183.335703537,441.483,3.88796e-08,2.40607,9.75160793604,6029.08,183.335703537,nan,500.0,nan,5.52486e-05,50000,9.75160793604,21.4107,5.97256e-23,100,161.542,0.00370935,0.5,9.75160793604,0.618251839205,73.7387,100
7.39787e-27,1,172.469612281,259.42,4.40678e-07,8.93778,11.4573668234,6750.23,172.469612281,nan,500.0,nan,5.52486e-05,50000,11.4573668234,24.3404,4.57297e-32,100,7570.33,0.0467958,0.5,11.4573668234,3.75647006447,11532.9,100
3.70748e-23,1,158.477802214,314.201,8.33771e-07,12.8016,9.85199460867,6907.6,158.477802214,nan,500.0,nan,5.52486e-05,50000,9.85199460867,22.8877,1.60005e-28,100,10902.9,0.0470541,0.5,9.85199460867,0.6882766476,44764.7,100
5.65109e-32,1,240.282719914,325.342,4.6187e-08,3.8106,14.2814072817,7330.86,240.282719914,nan,500.0,nan,5.52486e-05,50000,14.2814072817,27.7934,8.19332e-37,100,288.925,0.00418903,0.5,14.2814072817,0.798042082619,219.717,100
4.2778e-35,1,271.172448888,392.169,2.51244e-07,4.64906,12.7764565841,7903.58,271.172448888,nan,500.0,nan,5.52486e-05,50000,12.7764565841,29.3559,5.08367e-40,100,2472.73,0.0293856,0.5,12.7764565841,0.953315317787,1779.03,100
5.21642e-28,1,287.623757292,263.848,3.57195e-08,2.38655,14.4007263133,7218.78,287.623757292,nan,500.0,nan,5.52486e-05,50000,14.4007263133,28.71,1.2076e-32,100,127.733,0.00295702,0.5,14.4007263133,0.691424570593,66.6506,100
4.9713e-21,1,275.041522266,276.017,4.02956e-08,3.93469,20.2773851931,8525.37,275.041522266,nan,500.0,nan,5.52486e-05,50000,20.2773851931,33.2744,6.98039e-26,100,184.455,0.00259001,0.5,20.2773851931,0.584835714105,204.379,100
2.26084e-16,1,196.180968061,539.737,2.08697e-08,1.52311,17.1940328083,6442.62,196.180968061,nan,500.0,nan,5.52486e-05,50000,17.1940328083,23.2518,8.20088e-21,100,70.6606,0.00256311,0.5,17.1940328083,0.759442802874,15.8612,100
3.38809e-27,1,208.19679302,320.703,3.15125e-08,2.36298,21.6534827552,7886.44,208.19679302,nan,500.0,nan,5.52486e-05,50000,21.6534827552,30.6398,7.92164e-32,100,97.1685,0.00227188,0.5,21.6534827552,0.627273308406,57.6451,100
3.52693e-16,1,301.057464837,265.871,2.4388e-08,1.85575,25.2379668506,8705.82,301.057464837,nan,500.0,nan,5.52486e-05,50000,25.2379668506,36.1846,1.05002e-20,100,63.8765,0.00190171,0.5,25.2379668506,0.852807100886,27.5152,100
4.54567e-16,1,190.97531617,195.563,2.25768e-08,1.65563,25.9362308972,8005.88,190.97531617,nan,500.0,nan,5.52486e-05,50000,25.9362308972,33.7727,1.5169e-20,100,45.6306,0.0015227,0.5,25.9362308972,0.692327139535,20.2742,100
4.22999e-16,1,268.418459241,166.62,1.68287e-08,2.00114,29.2764991411,8557.08,268.418459241,nan,500.0,nan,5.52486e-05,50000,29.2764991411,37.4736,1.16784e-20,100,42.9017,0.00118446,0.5,29.2764991411,0.806228675237,22.078,100
1.40137e-24,1,263.098905367,342.956,2.3729e-08,1.77193,24.9707725628,8427.11,263.098905367,nan,500.0,nan,5.52486e-05,50000,24.9707725628,33.4958,4.36947e-29,100,75.3994,0.00235095,0.5,24.9707725628,0.90942442459,24.4078,100
5.61634e-18,1,245.442415355,171.62,1.69995e-08,1.42785,27.750423356,8130.69,245.442415355,nan,500.0,nan,5.52486e-05,50000,27.750423356,35.8997,2.17316e-22,100,31.2795,0.00121031,0.5,27.750423356,0.832602041238,11.3543,100
3.29647e-13,1,188.128853137,365.869,1.90953e-08,1.4533,31.0785022206,8880.18,188.128853137,,500.0,inf,5.52486e-05,50000,31.0785022206,36.0309,1.25319e-17,100,48.7741,0.0018542,0.5,31.0785022206,0.705016966622,13.2128,100
1.12959e-20,1,289.410553965,385.975,2.61258e-08,2.1394,30.4859348804,9921.43,289.410553965,nan,500.0,nan,5.52486e-05,50000,30.4859348804,39.7544,2.9171e-25,100,65.7149,0.00169705,0.5,30.4859348804,0.448349540568,39.175,100
7.3889e-18,1,254.483888559,488.755,2.09923e-08,1.58144,36.114349735,10602.5,254.483888559,nan,500.0,nan,5.52486e-05,50000,36.114349735,41.7313,2.58136e-22,100,79.448,0.00277556,0.5,36.114349735,0.463448926948,17.1998,100
2.11769e-17,1,275.635072878,200.057,1.62496e-08,1.52647,31.4336228107,8983.05,275.635072878,nan,500.0,nan,5.52486e-05,50000,31.4336228107,39.1957,7.6647e-22,100,29.5043,0.00106787,0.5,31.4336228107,0.628655844927,12.4045,100
4.00008e-16,1,205.458172761,257.041,1.46236e-08,1.25618,32.5040448656,8804.3,205.458172761,nan,500.0,nan,5.52486e-05,50000,32.5040448656,37.8584,1.75929e-20,100,28.6798,0.00126138,0.5,32.5040448656,0.641841385742,7.55988,100
3.44956e-17,1,318.09126348,262.773,1.36723e-08,1.2238,36.518730693,9754.59,318.09126348,nan,500.0,nan,5.52486e-05,50000,36.518730693,42.6823,1.55731e-21,100,25.2873,0.0011416,0.5,36.518730693,0.75910173507,6.70843,100
4.95985e-14,1,264.805264357,231.749,1.16004e-08,1.16513,35.1104155408,9234.09,264.805264357,nan,500.0,nan,5.52486e-05,50000,35.1104155408,40.4644,2.35188e-18,100,22.5064,0.00106722,0.5,35.1104155408,0.735334204221,5.15917,100
5.90733e-18,1,328.920524919,170.827,1.26244e-08,1.32809,38.6548716012,10026.3,328.920524919,nan,500.0,nan,5.52486e-05,50000,38.6548716012,45.1591,2.45745e-22,100,25.5611,0.00106334,0.5,38.6548716012,1.06308416713,7.29496,100
3.44966e-13,1,196.992475783,260.017,1.44421e-08,1.27926,41.2111692366,10125.1,196.992475783,nan,500.0,nan,5.52486e-05,50000,41.2111692366,43.9165,1.48984e-17,100,30.1729,0.00130311,0.5,41.2111692366,0.829499669244,7.74292,100
4.9909e-17,1,284.949290149,292.729,1.038e-08,1.05588,39.0208196758,10042.6,284.949290149,nan,500.0,nan,5.52486e-05,50000,39.0208196758,43.6125,2.61147e-21,100,20.543,0.00107491,0.5,39.0208196758,0.895490652774,3.79126,100
3.62215e-20,1,234.876683914,213.468,1.06993e-08,1.25991,46.0881662668,11026.3,234.876683914,nan,500.0,nan,5.52486e-05,50000,46.0881662668,49.3447,1.58836e-24,100,20.1245,0.000882486,0.5,46.0881662668,0.83159838488,5.56405,100
1.07355e-11,1,205.779041167,210.295,9.2394e-09,1.2734,44.5799580842,10532.6,205.779041167,nan,500.0,nan,5.52486e-05,50000,44.5799580842,47.4685,4.65781e-16,100,20.3491,0.000882885,0.5,44.5799580842,1.10663535047,4.90826,100
2.50164e-19,1,235.742444611,205.253,1.04846e-08,1.20654,48.3425074165,11198.6,235.742444611,nan,500.0,nan,5.52486e-05,50000,48.3425074165,50.5947,1.14552e-23,100,20.7738,0.000951248,0.5,48.3425074165,1.04613605147,5.00027,100
2.73045e-16,1,188.992279213,158.163,9.74387e-09,1.17264,47.9187399358,10923.0,188.992279213,nan,500.0,nan,5.52486e-05,50000,47.9187399358,50.0209,1.28644e-20,100,14.5118,0.000683721,0.5,47.9187399358,0.78534087128,4.38953,100
3.58135e-13,1,192.445841995,211.169,6.30489e-09,0.933935,47.7311017186,10712.1,192.445841995,nan,500.0,nan,5.52486e-05,50000,47.7311017186,48.7683,2.11861e-17,100,11.8365,0.000700212,0.5,47.7311017186,0.914580535222,1.80164,100
1.29602e-10,1,148.357784827,176.397,8.57777e-09,1.11948,51.4423606129,11447.6,148.357784827,nan,500.0,nan,5.52486e-05,50000,51.4423606129,52.2111,6.39611e-15,100,15.5938,0.000769583,0.5,51.4423606129,0.855541862394,3.52181,100
1.47494e-13,1,143.822099276,132.946,6.8829e-09,1.0243,53.1070848339,11434.6,143.822099276,nan,500.0,nan,5.52486e-05,50000,53.1070848339,53.6259,7.95553e-18,100,12.8929,0.000695417,0.5,53.1070848339,1.72555031797,2.36583,100
2.70563e-15,1,213.463321966,280.883,6.78369e-09,0.992909,51.9576834418,11531.7,213.463321966,nan,500.0,nan,5.52486e-05,50000,51.9576834418,52.2807,1.5055e-19,100,13.4459,0.00074817,0.5,51.9576834418,0.864678905865,2.191,100
1.97263e-09,1,114.685292333,109.546,5.14168e-09,1.12355,54.2479634041,11262.3,114.685292333,nan,500.0,nan,5.52486e-05,50000,54.2479634041,53.435,9.70006e-14,100,10.404,0.000511599,0.5,54.2479634041,1.18646014425,2.12642,100
1.28026e-16,1,191.662682857,166.287,6.20147e-09,1.02922,53.7093267879,11712.5,191.662682857,nan,500.0,nan,5.52486e-05,50000,53.7093267879,54.7779,6.87245e-21,100,11.0485,0.000593081,0.5,53.7093267879,0.963061847633,2.15214,100
2.12585e-15,1,167.717768242,216.305,9.23606e-09,1.12941,51.895011079,11674.8,167.717768242,nan,500.0,nan,5.52486e-05,50000,51.895011079,53.1112,1.03992e-19,100,17.5285,0.00085746,0.5,51.895011079,0.918334024833,3.85967,100
1.32447e-09,1,189.407818789,213.845,7.46696e-09,0.999341,54.1089727392,11916.5,189.407818789,nan,500.0,nan,5.52486e-05,50000,54.1089727392,54.9238,7.32232e-14,100,17.2037,0.000951107,0.5,54.1089727392,1.44882694089,2.44303,100
9.09788e-10,1,201.589757478,193.083,7.70049e-09,0.983833,51.9548464404,11531.0,201.589757478,nan,500.0,nan,5.52486e-05,50000,51.9548464404,52.9974,5.10905e-14,100,14.4991,0.00081422,0.5,51.9548464404,1.20721677514,2.44184,100
1.61343e-09,1,283.004404267,211.268,7.1691e-09,1.06862,54.3946890916,12220.1,283.004404267,nan,500.0,nan,5.52486e-05,50000,54.3946890916,56.2505,8.34157e-14,100,13.3954,0.000692553,0.5,54.3946890916,0.958847395574,2.68206,100
3.52753e-13,1,243.636550383,236.059,7.64931e-09,1.09655,54.3502405563,12159.2,243.636550383,nan,500.0,nan,5.52486e-05,50000,54.3502405563,55.0687,1.77731e-17,100,15.7199,0.000792032,0.5,54.3502405563,0.77627877452,3.01327,100
5.87183e-12,1,173.046886894,180.436,8.26791e-09,1.11606,55.0194497993,12099.0,173.046886894,nan,500.0,nan,5.52486e-05,50000,55.0194497993,55.5409,2.90675e-16,100,15.5518,0.000769868,0.5,55.0194497993,1.08534265613,3.37386,100
5.12808e-09,1,154.647622187,155.089,5.41266e-09,0.993936,57.6899814556,12183.1,154.647622187,nan,500.0,nan,5.52486e-05,50000,57.6899814556,56.9726,2.85048e-13,100,9.77398,0.000543294,0.5,57.6899814556,0.967321616473,1.7518,100
9.7043e-19,1,182.169364529,154.466,8.11059e-09,1.16184,57.8059548012,12679.7,182.169364529,nan,500.0,nan,5.52486e-05,50000,57.8059548012,59.114,4.61464e-23,100,13.7445,0.000653583,0.5,57.8059548012,0.861759482625,3.58679,100
6.12093e-23,1,142.073090656,215.315,7.53392e-09,1.19939,59.3651129352,12793.6,142.073090656,nan,500.0,nan,5.52486e-05,50000,59.3651129352,58.436,2.81955e-27,100,16.5212,0.000761031,0.5,59.3651129352,0.853993743739,3.55056,100
1.26946e-08,1,166.257451025,251.643,5.45988e-09,1.01771,59.9237396319,12652.8,166.257451025,nan,500.0,nan,5.52486e-05,50000,59.9237396319,58.0757,6.89155e-13,100,14.7823,0.000802487,0.5,59.9237396319,1.22019564978,1.85263,100
1.36065e-08,1,138.280019468,158.242,4.89814e-09,1.00885,61.1587555943,12702.2,138.280019468,nan,500.0,nan,5.52486e-05,50000,61.1587555943,59.5976,7.45146e-13,100,9.38064,0.000513722,0.5,61.1587555943,0.857139739424,1.6332,100
7.68925e-12,1,180.310637743,196.013,7.10108e-09,1.15623,58.3295043828,12641.3,180.310637743,nan,500.0,nan,5.52486e-05,50000,58.3295043828,58.0832,3.67418e-16,100,15.4838,0.000739867,0.5,58.3295043828,1.06946470011,3.11007,100
9.85081e-12,1,150.084777078,198.0,6.16106e-09,1.05573,60.6592409411,12868.4,150.084777078,nan,500.0,nan,5.52486e-05,50000,60.6592409411,59.4651,5.15512e-16,100,11.4684,0.000600166,0.5,60.6592409411,0.816188146817,2.24968,100
1.95611e-10,1,155.935115833,232.113,5.76086e-09,1.01476,61.3607008517,12928.2,155.935115833,nan,500.0,nan,5.52486e-05,50000,61.3607008517,59.6418,1.065e-14,100,11.1074,0.000604743,0.5,61.3607008517,0.686881831403,1.94345,100
2.3616e-07,1,183.623193682,276.526,4.48484e-09,1.01265,61.3587535809,12802.7,183.623193682,nan,500.0,nan,5.52486e-05,50000,61.3587535809,58.5319,1.28846e-11,100,10.7761,0.000587926,0.5,61.3587535809,0.753498906381,1.50668,100
1.49294e-16,1,224.43550946,174.194,4.77789e-09,1.06925,63.5700287237,13222.1,224.43550946,nan,500.0,nan,5.52486e-05,50000,63.5700287237,61.8551,7.71409e-21,100,9.50172,0.000490959,0.5,63.5700287237,0.93838092034,1.78957,100
3.19159e-11,1,168.027568968,189.213,5.54834e-09,0.974577,60.7511760324,12851.7,168.027568968,nan,500.0,nan,5.52486e-05,50000,60.7511760324,59.4879,1.80931e-15,100,11.0695,0.000627531,0.5,60.7511760324,1.04781284574,1.72645,100
2.72836e-06,1,156.339848165,120.25,3.47043e-09,0.896628,63.4166391959,12802.6,156.339848165,nan,500.0,nan,5.52486e-05,50000,63.4166391959,61.306,1.68117e-10,100,6.26475,0.000386022,0.5,63.4166391959,0.990192053104,0.914041,100
7.49525e-09,1,304.847413973,148.5,4.52524e-09,0.948084,60.8115567759,12849.3,304.847413973,nan,500.0,nan,5.52486e-05,50000,60.8115567759,60.7609,4.36778e-13,100,8.05398,0.000469337,0.5,60.8115567759,1.03992834242,1.33258,100
1.80614e-07,1,94.9272118466,152.949,3.24164e-09,0.992331,65.0515701668,12937.0,94.9272118466,nan,500.0,nan,5.52486e-05,50000,65.0515701668,61.2998,1.00558e-11,100,7.40271,0.00041215,0.5,65.0515701668,0.963000660321,1.04577,100
3.14275e-08,1,156.379737495,131.03,4.02268e-09,1.03115,67.8829273624,13758.5,156.379737495,nan,500.0,nan,5.52486e-05,50000,67.8829273624,65.6604,1.68388e-12,100,8.36702,0.000448303,0.5,67.8829273624,1.15257115806,1.40125,100
9.84352e-26,1,216.300265308,154.532,5.65716e-09,0.862731,62.0080836391,13241.3,216.300265308,nan,500.0,nan,5.52486e-05,50000,62.0080836391,62.4979,6.30371e-30,100,7.49592,0.000480033,0.5,62.0080836391,0.994343819942,1.37945,100
1.59328e-08,1,105.189870365,175.422,3.85607e-09,0.994186,65.1450509027,13211.3,105.189870365,nan,500.0,nan,5.52486e-05,50000,65.1450509027,61.8742,8.85412e-13,100,9.00916,0.000500655,0.5,65.1450509027,0.951115101394,1.24864,100
3.26898e-07,1,105.276428195,108.276,2.76166e-09,1.01093,67.1698550798,13240.8,105.276428195,nan,500.0,nan,5.52486e-05,50000,67.1698550798,63.8081,1.78655e-11,100,8.21484,0.000448954,0.5,67.1698550798,1.4112726564,0.924626,100
4.86147e-06,1,140.191959661,127.035,3.2536e-09,0.934429,66.3013483038,13311.2,140.191959661,nan,500.0,nan,5.52486e-05,50000,66.3013483038,63.4961,2.87437e-10,100,7.19063,0.00042515,0.5,66.3013483038,1.04023219059,0.930708,100
2.48228e-06,1,92.3237269265,130.465,3.29153e-09,0.967783,66.6846021486,13245.5,92.3237269265,nan,500.0,nan,5.52486e-05,50000,66.6846021486,63.2689,1.41708e-10,100,7.25925,0.000414415,0.5,66.6846021486,0.969861080923,1.00998,100
4.4748e-10,1,169.150932127,142.834,4.43328e-09,0.967885,67.0628934692,13839.6,169.150932127,nan,500.0,nan,5.52486e-05,50000,67.0628934692,65.4256,2.5543e-14,100,8.45474,0.000482612,0.5,67.0628934692,1.06666812097,1.3606,100
2.73921e-10,1,184.093074198,144.069,4.37946e-09,1.04729,68.6412037673,14116.2,184.093074198,nan,500.0,nan,5.52486e-05,50000,68.6412037673,67.0035,1.44503e-14,100,8.5043,0.000448633,0.5,68.6412037673,1.01203170678,1.57368,100
4.00067e-08,1,111.886028881,138.362,3.79915e-09,0.988429,69.1104557469,13880.0,111.886028881,nan,500.0,nan,5.52486e-05,50000,69.1104557469,66.0417,2.23619e-12,100,7.43849,0.000415777,0.5,69.1104557469,1.16485467197,1.216,100
1.67652e-08,1,158.864686233,160.425,4.47037e-09,1.00566,69.0433081779,14167.0,158.864686233,nan,500.0,nan,5.52486e-05,50000,69.0433081779,66.9494,9.21037e-13,100,8.19962,0.000450466,0.5,69.0433081779,0.959776893117,1.48117,100
1.43284e-08,1,115.256290325,97.6313,3.15256e-09,0.976522,70.011477749,13876.3,115.256290325,nan,500.0,nan,5.52486e-05,50000,70.011477749,67.0155,8.10659e-13,100,4.8116,0.000272226,0.5,70.011477749,0.919003512499,0.984881,100
6.54145e-07,1,111.616932959,122.736,3.43569e-09,0.949556,69.5287132187,13892.8,111.616932959,nan,500.0,nan,5.52486e-05,50000,69.5287132187,66.3004,3.80605e-11,100,7.35452,0.000427913,0.5,69.5287132187,1.28282040471,1.01487,100
7.65885e-08,1,145.74620978,99.0079,3.03193e-09,0.989491,69.0922562386,13807.8,145.74620978,nan,500.0,nan,5.52486e-05,50000,69.0922562386,66.8565,4.27635e-12,100,5.56225,0.000310571,0.5,69.0922562386,1.18714008466,0.972524,100
