Weights,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,TimeElapsed,ESSRenyi,Bound,InitialReturnStd,EpLenMean,OptimizationReturnMean,LearnableVariance,TimestepsSoFar,J_sample_variance,StdIWNorm,InitialReturnMin,MeanEntropy,InitialBound,VarianceInit,MeanIWNorm,MeanIW,MaxIWNorm,InitialReturnMax,EmpiricalD2,Iteration,OptimizationReturnMin,EpThisIter,ReturnMeanIW,StdIW,ReturnStepMax,InitialReturnMean,OptimizationReturnMax,ESSClassic,MinIW,MaxIW,MinIWNorm
[-0.466  0.38 ],2600,0.85015815,-400.4854733195901,1898.2033145427704,2.9198864,-263.8474,5.9399805,500.0,15.54007,,1300000,37373.145,0.008588413,-416.02554,0.4189424,-414.353,-1.0,0.004599156,0.4599156,0.05565901,-387.99927,34.24791,26,,100,-182.69234,0.85884124,0.85015815,-400.48547,28.026276,22.285906,0.007753939,5.5659013,7.7539386e-05
[-0.464  0.418],2700,0.8512006,-394.29678486406806,1978.5749611854553,6.780436,-385.78073,6.7953506,500.0,17.76291,,1350000,121004.0,0.012576881,-412.0597,0.4189424,-408.0321,-1.0,0.008383061,0.8383061,0.0637097,-380.08554,14.748314,27,,100,-333.03223,1.2576882,0.8512006,-394.29678,31.974152,30.761478,0.004453494,6.3709702,4.453494e-05
[-0.361  0.396],2800,0.8497275,-398.69614021018145,2050.537656068802,2.7943437,-248.07523,5.9107957,500.0,16.545746,,1400000,30714.006,0.008061647,-415.24188,0.4189424,-412.53754,-1.0,0.0041737477,0.41737476,0.06005977,-386.92584,35.78658,28,,100,-165.27339,0.80616474,0.8497275,-398.69614,28.31604,21.138334,0.0031517344,6.005977,3.1517342e-05
[-0.347  0.433],2900,0.8515579,-392.79685558110475,2125.3812670707703,18.204388,-364.14868,7.030427,500.0,22.73211,,1450000,124983.05,0.013611367,-415.52896,0.4189424,-406.6478,-1.0,0.008426906,0.8426906,0.10715433,-372.6368,5.493181,29,,100,-331.68542,1.3611367,0.8515579,-392.79688,42.89215,27.708822,0.012611784,10.715433,0.00012611784
[-0.248  0.438],3000,0.85148597,-389.4002411806583,2197.9177849292755,10.711,-342.52054,8.249099,500.0,25.445616,,1500000,101207.51,0.013531409,-414.84586,0.4189424,-403.2284,-1.0,0.0076007517,0.7600752,0.09546855,-370.22787,9.336196,30,,100,-300.26822,1.353141,0.85148597,-389.40024,44.61798,23.984444,0.0010965943,9.546855,1.0965942e-05
[-0.231  0.412],3100,0.8496386,-397.86060464784504,2263.96421957016,30.696573,-354.25012,6.9705944,500.0,17.967491,,1550000,124697.63,0.01710581,-415.8281,0.4189424,-411.72156,-1.0,0.008356801,0.83568025,0.15872459,-384.65332,3.2576926,31,,100,-329.23242,1.710581,0.8496386,-397.8606,31.174774,19.26807,0.040386856,15.872459,0.00040386856
[-0.22   0.434],3200,0.8516624,-389.8762392421067,2326.9757294654846,90.234245,-392.9389,7.125546,500.0,20.151468,,1600000,160466.52,0.0026690313,-410.0277,0.4189424,-403.54382,-1.0,0.009717468,0.9717469,0.018991325,-366.25702,1.1082267,32,,100,-378.55072,0.26690313,0.8516624,-389.87625,43.77069,92.98521,0.4681811,1.8991326,0.0046818107
[-0.243  0.436],3300,0.856238,-388.4509158974886,2401.7798132896423,3.1807413,-266.27194,6.425294,500.0,19.18434,,1650000,39906.812,0.0070664375,-407.63525,0.4189424,-402.03873,-1.0,0.004863372,0.48633724,0.04530755,-374.29654,31.43921,33,,100,-190.08398,0.70664376,0.856238,-388.4509,33.338715,32.142113,0.0008416604,4.530755,8.416604e-06
[-0.322  0.412],3400,0.8499871,-394.81942855313423,2465.4816336631775,48.049706,-368.30835,6.2710476,500.0,20.167942,,1700000,133509.92,0.009713116,-414.98737,0.4189424,-408.6523,-1.0,0.008754391,0.87543917,0.07059108,-383.39935,2.0811782,34,,100,-348.3526,0.9713116,0.8499871,-394.81943,31.588013,44.822536,0.07047081,7.059108,0.0007047081
[-0.312  0.396],3500,0.85108936,-397.5526245611906,2534.444743871689,7.5872,-368.83588,5.898223,500.0,18.758717,,1750000,111869.39,0.014350374,-416.31134,0.4189424,-411.42966,-1.0,0.0079689305,0.79689294,0.089818485,-385.40485,13.180093,35,,100,-318.4561,1.4350374,0.85108936,-397.5526,30.906494,23.569075,0.00047852774,8.981849,4.7852773e-06
[-0.411  0.376],3600,0.85227954,-400.67788246184585,2601.7155425548553,2.3380463,-310.8434,5.3775516,500.0,14.832707,,1800000,53975.26,0.009435219,-415.5106,0.4189424,-414.52823,-1.0,0.0055375504,0.55375504,0.06615231,-388.89026,42.770752,36,,100,-220.263,0.9435218,0.85227954,-400.6779,26.62033,25.620373,0.004264941,6.615231,4.2649408e-05
[-0.271  0.398],3700,0.8525035,-397.1137450411916,2662.8278884887695,4.9188848,-306.0955,6.5324926,500.0,16.128716,,1850000,65686.836,0.010540511,-413.24246,0.4189424,-410.88852,-1.0,0.006150842,0.61508435,0.059085052,-384.21198,20.329811,37,,100,-243.98708,1.0540512,0.8525035,-397.11374,29.030487,25.40223,0.002796782,5.9085054,2.7967819e-05
[-0.153  0.415],3800,0.85118055,-393.9067234390974,2727.968053340912,6.317106,-354.23682,6.8758965,500.0,20.10036,,1900000,97671.62,0.01142893,-414.00708,0.4189424,-407.70694,-1.0,0.00750031,0.75003105,0.07178104,-377.53442,15.830034,38,,100,-299.32986,1.1428931,0.85118055,-393.9067,36.472656,30.102816,0.007493258,7.178104,7.493258e-05
