ReturnStepMax,EpisodesSoFar,OptimizationReturnMin,InitialReturnMin,J_sample_variance,MeanIW,OptimizationReturnMax,LearnableVariance,OptimizationReturnMean,Iteration,ReturnStepMaxmin,EpLenMean,MeanIWNorm,InitialReturnMean,StdIWNorm,Bound,MaxIW,InitialReturnMax,MinIW,EmpiricalD2,Weights,ReturnMeanIW,EpRewMean,TimeElapsed,VarianceInit,MinIWNorm,StdIW,MaxIWNorm,MeanEntropy,TimestepsSoFar,InitialBound,ESSClassic,InitialReturnStd,ESSRenyi,EpThisIter
0.85050046,2600,,-412.43192,104108.93,0.777937,27.234009,,13.520062,26,0.85050046,500.0,0.0077793705,-398.91183,0.010038601,-347.70782,5.657277,-385.1979,0.018277932,6.6401525,[-0.982  0.393],-312.28198,-398.9118556112051,1652.211683511734,-1.0,0.00018277932,1.0038602,0.05657277,0.4189424,1300000,-412.65955,37.521107,5.531218,15.0598955,100
0.8501547,2700,,-416.43253,88612.72,0.70615005,23.818665,,14.395629,27,0.8501547,500.0,0.0070615,-402.03687,0.015976781,-350.64526,11.866016,-392.61386,0.006287421,24.719955,[-1.063  0.375],-281.62967,-402.0368967740238,1707.9146099090576,-1.0,6.287421e-05,1.5976782,0.11866016,0.4189424,1350000,-415.91797,16.342554,5.395134,4.045315,100
0.8527416,2800,,-416.3473,75913.54,0.6537917,31.507172,,17.93744,28,0.8527416,500.0,0.0065379166,-398.40988,0.013335825,-333.81885,10.195662,-384.84012,0.0043252185,29.604456,[-1.084  0.412],-258.30734,-398.40984722658993,1774.7235713005066,-1.0,4.3252185e-05,1.3335826,0.10195661,0.4189424,1400000,-412.2881,19.377415,6.724053,3.3778698,100
0.8531457,2900,,-413.74063,46436.49,0.51186466,39.013214,,20.378986,29,0.8531457,500.0,0.005118647,-393.36163,0.010054145,-276.9944,6.78868,-374.72742,0.004434653,32.25586,[-1.09   0.447],-198.66743,-393.3616435819864,1840.8691174983978,-1.0,4.434653e-05,1.0054146,0.0678868,0.4189424,1450000,-407.153,20.583931,8.242545,3.1002119,100
0.8532325,3000,,-410.959,56669.0,0.5748912,61.746857,,25.124023,30,0.8532325,500.0,0.0057489113,-385.83496,0.008403633,-291.32764,5.1651735,-349.21216,0.0024407194,23.692987,[-1.041  0.476],-224.64894,-385.83499649986624,1906.2286441326141,-1.0,2.4407194e-05,0.8403633,0.051651735,0.4189424,1500000,-399.5336,31.879679,9.519658,4.2206583,100
0.85284054,3100,,-406.35638,84709.234,0.7119915,40.48584,,18.376663,31,0.85284054,500.0,0.007119916,-387.97968,0.010999047,-335.82288,6.238784,-365.87054,0.0009770786,16.625257,[-1.134  0.459],-280.5935,-387.97972578555346,1974.4222412109375,-1.0,9.770785e-06,1.0999048,0.062387835,0.4189424,1550000,-401.52493,29.52905,7.7391963,6.0149446,100
0.8592514,3200,,-416.32227,86543.62,0.70118684,38.22867,,23.670656,32,0.8592514,500.0,0.0070118676,-392.6516,0.010116345,-342.1744,4.8995614,-378.0936,0.0009171371,21.78886,[-1.091  0.433],-277.3967,-392.6516118502617,2038.896957874298,-1.0,9.171371e-06,1.0116346,0.048995614,0.4189424,1600000,-406.529,32.451557,6.7456827,4.5895014,100
0.8521345,3300,,-416.26965,160272.02,0.956502,28.800934,,18.43389,33,0.8521345,500.0,0.009565021,-397.8358,0.004957162,-396.12775,3.104763,-387.46872,0.21274397,1.2094624,[-1.006  0.407],-380.86792,-397.8357642622292,2103.166837453842,-1.0,0.0021274397,0.4957162,0.03104763,0.4189424,1650000,-411.71136,78.82749,6.248853,82.681366,100
0.85188603,3400,,-414.4345,81079.26,0.67812955,27.865387,,15.845303,34,0.85188603,500.0,0.006781297,-398.58923,0.014390792,-341.11902,12.076858,-386.56912,0.0046014343,27.500986,[-1.042  0.404],-268.67395,-398.5892087844014,2155.219143152237,-1.0,4.6014342e-05,1.4390793,0.12076857,0.4189424,1700000,-412.40366,18.170465,6.005036,3.6362333,100
0.8499983,3500,,-416.3819,152771.88,0.93075335,37.48291,,23.614487,35,0.8499983,500.0,0.009307533,-392.76743,0.009507775,-380.87222,6.4685745,-378.899,0.20373489,1.6504638,[-1.041  0.439],-363.04132,-392.76741046577695,2213.309074640274,-1.0,0.002037349,0.95077753,0.06468575,0.4189424,1750000,-406.6468,48.935875,6.555897,60.589027,100
