Iteration,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,MeanIW,StdIW,MeanIWNorm,EpThisIter,LearnableVariance,InitialBound,StdIWNorm,EmpiricalD2,MaxIW,TimeElapsed,MinIW,ESSRenyi,InitialReturnMax,ReturnStepMax,OptimizationReturnMin,MaxIWNorm,J_sample_variance,ESSClassic,EpRewMean,VarianceInit,MinIWNorm,Weights,EpisodesSoFar,OptimizationReturnMax,InitialReturnMin,InitialReturnStd
42,0.4189424,118.33394,-151.91054,1760744,0.8639599,-178.5559,249.35,-171.25732,0.94717526,1.1834952,0.009471754,100,,-188.45224,0.011834951,3.8218164,6.5497694,2121.3307144641876,0.03796561,26.16557,-114.61745,0.8639599,,0.06549769,117528.97,39.04344,-178.55590167313815,-1.0,0.0003796561,[-0.289  0.626],4200,182.27238,-296.88983,42.154503
43,0.4189424,181.12479,-110.487015,1785864,0.86213267,-181.80188,251.2,-154.49454,0.5913724,0.8953507,0.005913724,100,,-193.89941,0.008953507,13.23301,6.510183,2158.123434782028,0.0013089147,7.5568595,-92.879166,0.86213267,,0.065101825,73719.95,30.374252,-181.80187347203494,-1.0,1.3089147e-05,[-0.23  0.64],4300,270.0475,-362.92667,47.59179
44,0.4189424,128.17575,-136.78677,1812537,0.85849655,-192.72517,266.73,-166.96164,0.80595785,1.2012175,0.008059579,100,,-203.42189,0.012012175,7.9577694,6.384554,2191.4674932956696,0.0036471,12.566336,-93.6929,0.85849655,,0.06384554,110435.1,31.042807,-192.725194414258,-1.0,3.6471e-05,[-0.127  0.62 ],4400,227.20804,-320.90094,47.107197
45,0.4189424,147.39447,-115.129715,1836015,0.8582511,-168.48708,234.78,-151.7667,0.6734817,1.0679675,0.006734817,100,,-179.01645,0.010679676,12.106916,8.286948,2221.539724111557,0.0071809357,8.259742,-105.007996,0.8582511,,0.08286948,72614.72,28.452944,-168.48706994965673,-1.0,7.180936e-05,[-0.147  0.648],4500,210.87354,-315.88153,43.30428
46,0.4189424,188.25168,-160.60146,1860233,0.86143064,-174.19833,242.18,-175.54912,0.93951035,0.6786504,0.009395103,100,,-186.27998,0.006786504,1.5307082,3.532298,2255.7806565761566,0.13310099,65.32924,-115.5717,0.86143064,,0.03532298,136971.81,65.71243,-174.19833243489265,-1.0,0.0013310098,[-0.026  0.638],4600,246.87831,-362.45,41.20187
47,0.4189424,167.67775,-116.27522,1882189,0.8583365,-157.665,219.56,-141.5406,0.76652503,0.95786685,0.0076652505,100,,-168.50975,0.009578668,5.4276514,5.7398534,2289.597467660904,0.0348249,18.424175,-94.73006,0.8583365,,0.05739853,92560.766,39.03877,-157.6649972808361,-1.0,0.00034824898,[-0.046  0.652],4700,230.61269,-325.34274,39.88353
48,0.4189424,126.42129,-132.14922,1904231,0.8660804,-158.48662,220.42,-151.00719,0.8916825,1.1387105,0.008916825,100,,-167.98354,0.011387104,3.9429712,6.448982,2324.373764514923,0.025142184,25.361586,-84.02652,0.8660804,,0.06448982,90935.664,38.01096,-158.48661650314926,-1.0,0.00025142182,[0.047 0.662],4800,200.88138,-284.9079,38.16675
49,0.4189424,144.6908,-119.16995,1925452,0.8592286,-153.56218,212.21,-148.79285,0.7698082,1.237175,0.007698082,100,,-163.50395,0.01237175,8.878264,8.620387,2355.5082054138184,0.008728429,11.263463,-84.065254,0.8592286,,0.086203866,85636.586,27.91083,-153.5621830330789,-1.0,8.728429e-05,[0.093 0.682],4900,214.18774,-298.253,41.951897
50,0.4189424,145.14517,-110.44468,1945350,0.8643893,-143.17697,198.98,-129.57175,0.7812347,0.9338819,0.0078123473,100,,-152.78769,0.009338818,3.9608035,5.2538357,2386.4083726406097,0.007044768,25.247402,-84.51123,0.8643893,,0.052538354,70543.195,41.16984,-143.1769664104283,-1.0,7.044768e-05,[0.125 0.713],5000,203.81091,-288.32214,36.280575
51,0.4189424,102.844086,-105.41722,1963988,0.8643425,-133.44926,186.38,-121.8169,0.8804114,1.2326074,0.008804115,100,,-141.3257,0.012326073,4.3352118,6.9288754,2414.336860179901,0.0317142,23.066923,-74.63017,0.8643425,,0.06928875,72244.92,33.78264,-133.44925584688784,-1.0,0.000317142,[0.217 0.721],5100,161.66316,-236.29333,32.09234
