MinNormIw,AvgNormIw,VarVanillaIw,MaxVanillaIw,BatchSize,AvgRet,VarRet,SamplesThisIter,MinVanillaIw,AvgEpLen,J,AvgVanillaIw,VarJ,ESSClassic,IterType,AvgDiscRet,delta,VarNormIw,MaxNormIw,Bound,renyi2,VarDiscRet,VanillaAvgRet,EpsThisIter,ESSRenyi
4.22186e-05,5.55556e-05,0.00175999,1.12916,100,-409.405800751,1.12063533993,50000,0.76768,500.0,-73687.1,1.01019,14.1938,0.58252780704,1,-409.405800751,0.8,5.32301e-12,6.20983e-05,-429.93,14.2706,1.12063533993,-409.405800751,100,6.34390415439e-05
,5.05051e-05,8.13622e+27,4.01134e+15,100,-368.456693429,8224.66093118,50000,,454.545454545,nan,2.21217e+12,nan,9.98280356875,1,-368.456693429,0.8,4.24088e-06,0.0915812,nan,nan,8224.66093118,-368.456693429,110,nan
5.03363e-05,5.55556e-05,0.00111535,1.11429,100,-409.838672969,0.790643111035,50000,0.905215,500.0,-73766.9,0.999075,12.1149,0.579150240729,1,-409.838672969,0.8,3.44883e-12,6.19624e-05,-430.381,14.272,0.790643111035,-409.838672969,100,6.3352040399e-05
,5.55556e-05,41.8454,41.243,100,-403.169606353,329.038343485,50000,,500.0,-66205.2,2.08941,477.578,0.289728478502,1,-403.169606353,0.8,2.95839e-08,0.00109662,-413.213,nan,329.038343485,-403.169606353,100,nan
,5.50055e-05,4.24706e+18,2.72574e+11,100,-405.325932064,1005.58585207,50000,,495.04950495,-48600.8,2.27376e+07,2038.64,1.17655844029,1,-405.325932064,0.8,2.4855e-05,0.659397,-326.328,nan,1005.58585207,-405.325932064,101,nan
,5.55556e-05,1783.33,1188.1,100,-402.143748764,390.386990305,50000,,500.0,-64417.8,6.40521,381.395,5.75039643483,1,-402.143748764,0.8,1.34159e-07,0.010305,-408.793,nan,390.386990305,-402.143748764,100,nan
,5.50055e-05,inf,1.82335e+19,100,-400.925137998,1282.06924995,50000,,495.04950495,nan,1.29104e+15,nan,0.932278892125,1,-400.925137998,0.8,3.5606e-05,0.776851,nan,nan,1282.06924995,-400.925137998,101,nan
,5.05051e-05,inf,7.21568e+21,100,-366.464928612,8230.53797864,50000,,454.545454545,nan,3.64428e+18,nan,9.99999902876,1,-366.464928612,0.8,5.04821e-06,0.1,nan,nan,8230.53797864,-366.464928612,110,nan
,5.05051e-05,inf,3.68965e+19,100,-364.176725577,9321.88849421,50000,,454.545454545,-32180.8,2.19128e+16,1689.59,9.70445971368,1,-364.176725577,0.8,3.76128e-06,0.0850398,-145.014,nan,9321.88849421,-364.176725577,110,nan
,5.0505e-05,6.23921e+30,1.08014e+17,100,-371.42784007,9607.28692929,50000,,454.545454545,-31569.5,7.2028e+13,1811.99,9.43685302914,1,-371.42784007,0.8,3.06758e-06,0.075738,-140.193,nan,9607.28692929,-371.42784007,110,nan
,4.17711e-05,13064.8,3717.82,100,-296.742713643,19525.0119765,50000,,375.939849624,nan,16.8792,nan,15.5219086961,1,-296.742713643,0.8,8.00114e-08,0.00920055,nan,nan,19525.0119765,-296.742713643,133,nan
,4.62963e-05,9.46823e+19,4.52326e+11,100,-333.146452951,15746.5711932,50000,,416.666666667,-23002.0,2.09698e+08,1523.72,9.99997846767,1,-333.146452951,0.8,4.615e-06,0.0998626,-129.289,nan,15746.5711932,-333.146452951,120,nan
,4.20875e-05,inf,2.05932e+22,100,-292.115457201,21525.1666876,50000,,378.787878788,-15328.4,8.66719e+18,1619.67,9.99999957156,1,-292.115457201,0.8,4.20715e-06,0.0999999,-79.9092,nan,21525.1666876,-292.115457201,132,nan
,4.96032e-05,1.16986e+34,4.07615e+18,100,-351.858775474,12660.9311805,50000,,446.428571429,-28800.9,3.58408e+15,2256.34,7.03751753594,1,-351.858775474,0.8,2.24077e-06,0.0564133,-107.974,nan,12660.9311805,-351.858775474,112,nan
,4.96032e-05,4.97423e+27,3.16726e+15,100,-358.942364843,10761.3006663,50000,,446.428571429,-31853.5,1.59246e+12,2003.87,9.9988736683,1,-358.942364843,0.8,4.8262e-06,0.098656,-140.207,nan,10761.3006663,-358.942364843,112,nan
,4.51671e-05,993059.0,20678.4,100,-318.825957073,17046.5450521,50000,,406.504065041,-23320.7,155.578,1774.06,5.70917705398,1,-318.825957073,0.8,8.36997e-08,0.00600331,-116.529,nan,17046.5450521,-318.825957073,123,nan
,4.48029e-05,2.64713e+06,69305.9,100,-315.073804561,17029.3992823,50000,,403.225806452,nan,98.7684,nan,8.11998559494,1,-315.073804561,0.8,5.44693e-07,0.0314382,nan,nan,17029.3992823,-315.073804561,124,nan
,4.17711e-05,3075.9,626.638,100,-283.686104112,19306.1093298,50000,,375.939849624,-23321.0,16.5246,1711.59,3.27671946566,1,-283.686104112,0.8,1.96544e-08,0.00158402,-117.159,nan,19306.1093298,-283.686104112,133,nan
,3.885e-05,32582.0,8527.6,100,-266.204403791,20961.1934176,50000,,349.65034965,-21080.7,16.2803,1313.47,15.4457183881,1,-266.204403791,0.8,1.8554e-07,0.0203496,-112.059,nan,20961.1934176,-266.204403791,143,nan
,4.55373e-05,1.83501e+11,2.00721e+07,100,-320.946403911,16045.4074528,50000,,409.836065574,-28267.2,9714.3,1676.24,9.99534033696,1,-320.946403911,0.8,4.03228e-06,0.0940913,-124.226,nan,16045.4074528,-320.946403911,122,nan
,5.0505e-05,1.68333e+34,5.77145e+18,100,-365.45315401,8800.82260094,50000,,454.545454545,-34581.2,3.01613e+15,1958.74,9.98900197016,1,-365.45315401,0.8,4.71996e-06,0.0966427,-151.801,nan,8800.82260094,-365.45315401,110,nan
,5.05051e-05,2.19853e+27,2.07206e+15,100,-359.194048534,8691.09252681,50000,,454.545454545,-36263.6,1.24195e+12,1341.78,9.85653653231,1,-359.194048534,0.8,3.63574e-06,0.0842622,-174.137,nan,8691.09252681,-359.194048534,110,nan
,5.50055e-05,1.92924e+25,5.91742e+14,100,-398.95831002,1084.55637404,50000,,495.04950495,-47992.7,3.41477e+10,2019.12,0.998350354693,1,-398.95831002,0.8,5.00581e-05,0.953184,-314.081,nan,1084.55637404,-398.95831002,101,nan
,5.50055e-05,2.77069e+17,4.5008e+10,100,-404.575998472,1107.6036971,50000,,495.04950495,-48020.4,1.16336e+07,2767.8,0.902427612265,1,-404.575998472,0.8,6.19397e-06,0.212804,-315.188,nan,1107.6036971,-404.575998472,101,nan
3.15365e-05,5.55556e-05,0.027953,2.42455,100,-408.824237082,21.3929637282,50000,0.545471,500.0,-73482.1,0.960916,82.1352,0.855372454778,1,-408.824237082,0.8,9.34354e-11,0.000140176,-429.131,inf,21.3929637282,-408.824237082,100,
,5.50055e-05,2.74173e+15,5.06337e+09,100,-403.417278492,1021.6062085,50000,,495.04950495,-49193.1,736272.0,1907.18,1.76183555775,1,-403.417278492,0.8,1.53024e-05,0.378275,-329.805,nan,1021.6062085,-403.417278492,101,nan
,4.59137e-05,inf,1.35868e+22,100,-329.59304248,17447.3753069,50000,,413.223140496,-27213.5,1.13666e+19,1982.73,6.04364892819,1,-329.59304248,0.8,2.28625e-06,0.054882,-98.3063,nan,17447.3753069,-329.59304248,121,nan
,5.00501e-05,inf,2.70449e+20,100,-358.584783694,9149.27914011,50000,,450.45045045,-36787.1,1.63487e+17,1757.3,9.7974606885,1,-358.584783694,0.8,3.49959e-06,0.0827956,-157.806,nan,9149.27914011,-358.584783694,111,nan
,5.05051e-05,inf,1.07812e+22,100,-356.719105851,9000.73107699,50000,,454.545454545,nan,6.67659e+18,nan,9.51911330554,1,-356.719105851,0.8,3.52644e-06,0.081554,nan,nan,9000.73107699,-356.719105851,110,nan
,5.50055e-05,inf,6.62502e+23,100,-401.162894951,1406.92790245,50000,,495.04950495,-42422.0,5.55354e+19,1913.29,0.789131726596,1,-401.162894951,0.8,3.00112e-05,0.656181,-271.97,nan,1406.92790245,-401.162894951,101,nan
,4.96032e-05,inf,4.63553e+19,100,-353.324634181,9185.19680496,50000,,446.428571429,nan,2.31096e+16,nan,9.99991277882,1,-353.324634181,0.8,4.90851e-06,0.0994985,nan,nan,9185.19680496,-353.324634181,112,nan
,5.05051e-05,inf,6.71139e+19,100,-361.817024131,9808.75925203,50000,,454.545454545,nan,3.41462e+16,nan,9.9994633303,1,-361.817024131,0.8,4.97471e-06,0.0992671,nan,nan,9808.75925203,-361.817024131,110,nan
,4.51671e-05,984623.0,26294.5,100,-322.321227747,16537.9350672,50000,,406.504065041,-31845.8,123.569,1949.66,11.1882855778,1,-322.321227747,0.8,1.31552e-07,0.00961124,-132.872,nan,16537.9350672,-322.321227747,123,nan
5.0393e-05,5.55556e-05,0.000760886,1.07685,100,-409.311070554,0.574372250292,50000,0.910736,500.0,-73673.3,1.00404,10.1496,0.57048625629,1,-409.311070554,0.8,2.32956e-12,5.95844e-05,-429.844,inf,0.574372250292,-409.311070554,100,
5.13795e-05,5.55556e-05,0.000656369,1.1012,100,-410.132291208,0.523756013669,50000,0.923354,500.0,-73821.4,0.998404,9.87672,0.568091435893,1,-410.132291208,0.8,2.03231e-12,6.12759e-05,-430.674,inf,0.523756013669,-410.132291208,100,
4.93914e-05,5.55556e-05,0.000865755,1.14006,100,-409.910377678,0.655699908291,50000,0.885724,500.0,-73780.7,0.996266,10.9499,0.580204207025,1,-409.910377678,0.8,2.69215e-12,6.35741e-05,-430.45,inf,0.655699908291,-409.910377678,100,
5.14933e-05,5.55556e-05,0.000687684,1.11222,100,-410.137778936,0.520887430181,50000,0.928022,500.0,-73822.3,1.00123,9.82715,0.573428088349,1,-410.137778936,0.8,2.11725e-12,6.17141e-05,-430.678,inf,0.520887430181,-410.137778936,100,
3.57142e-05,5.55556e-05,0.00638781,1.31078,100,-410.53556635,4.48128380334,50000,0.643288,500.0,-73873.5,1.00067,25.3079,0.661798333519,1,-410.53556635,0.8,1.96889e-11,7.27724e-05,-431.242,inf,4.48128380334,-410.53556635,100,
4.88617e-05,5.55556e-05,0.000943922,1.16975,100,-410.123682194,0.684349871752,50000,0.877259,500.0,-73818.8,0.99744,11.5495,0.573370384207,1,-410.123682194,0.8,2.92831e-12,6.51531e-05,-430.655,inf,0.684349871752,-410.123682194,100,
4.98615e-05,5.55556e-05,0.00123115,1.15864,100,-409.991060383,0.854342906537,50000,0.900248,500.0,-73794.0,1.00305,12.8334,0.578531358214,1,-409.991060383,0.8,3.77675e-12,6.4173e-05,-430.526,inf,0.854342906537,-409.991060383,100,
5.11403e-05,5.55556e-05,0.000809542,1.13089,100,-410.147403776,0.606576266367,50000,0.918997,500.0,-73823.5,0.998339,10.7779,0.569174492622,1,-410.147403776,0.8,2.5069e-12,6.29315e-05,-430.686,inf,0.606576266367,-410.147403776,100,
4.82089e-05,5.55556e-05,0.00152875,1.14691,100,-409.507814195,1.04791419948,50000,0.874227,500.0,-73706.2,1.00745,14.0438,0.58031274833,1,-409.507814195,0.8,4.6488e-12,6.32458e-05,-430.045,inf,1.04791419948,-409.507814195,100,
5.35641e-05,5.55556e-05,0.000152422,1.10952,100,-410.332399909,0.118390629345,50000,0.960114,500.0,-73859.3,0.99581,4.67176,0.56321629848,1,-410.332399909,0.8,4.74404e-13,6.18994e-05,-430.863,inf,0.118390629345,-410.332399909,100,
5.28348e-05,5.55556e-05,0.000239717,1.08682,100,-410.068729188,0.196164234638,50000,0.948198,500.0,-73811.5,0.997027,5.93899,0.564325486813,1,-410.068729188,0.8,7.44287e-13,6.05592e-05,-430.602,inf,0.196164234638,-410.068729188,100,
5.21139e-05,5.55556e-05,0.000998005,1.1349,100,-410.176125704,0.742666151095,50000,0.930593,500.0,-73828.2,0.992051,11.829,0.582120610489,1,-410.176125704,0.8,3.12982e-12,6.35553e-05,-430.706,inf,0.742666151095,-410.176125704,100,
5.19528e-05,5.55556e-05,0.000697487,1.15775,100,-410.214322695,0.520039247331,50000,0.934691,500.0,-73836.0,0.999509,9.93561,0.572398135994,1,-410.214322695,0.8,2.15486e-12,6.43508e-05,-430.767,inf,0.520039247331,-410.214322695,100,
4.99532e-05,5.55556e-05,0.0012044,1.10163,100,-409.646721252,0.887374507608,50000,0.902906,500.0,-73732.1,1.00417,12.769,0.570848978413,1,-409.646721252,0.8,3.68648e-12,6.09473e-05,-430.174,inf,0.887374507608,-409.646721252,100,
5.07043e-05,5.55556e-05,0.000937046,1.10971,100,-409.886496277,0.695004111277,50000,0.911819,500.0,-73776.1,0.999059,11.3853,0.567812389768,1,-409.886496277,0.8,2.89757e-12,6.17088e-05,-430.425,inf,0.695004111277,-409.886496277,100,
4.58236e-05,5.55556e-05,0.00135078,1.15016,100,-409.666162645,0.887811966938,50000,0.833945,500.0,-73735.6,1.01106,12.7727,0.582585869882,1,-409.666162645,0.8,4.07838e-12,6.3199e-05,-430.19,inf,0.887811966938,-409.666162645,100,
5.22508e-05,5.55556e-05,0.000762901,1.13083,100,-410.064089659,0.614771741511,50000,0.938563,500.0,-73808.7,0.997926,10.8079,0.567510155448,1,-410.064089659,0.8,2.36443e-12,6.29547e-05,-430.597,inf,0.614771741511,-410.064089659,100,
4.6111e-05,5.55556e-05,0.00170037,1.15955,100,-409.793611028,1.21588831821,50000,0.833265,500.0,-73756.9,1.00394,14.9756,0.582391152929,1,-409.793611028,0.8,5.20696e-12,6.4167e-05,-430.32,inf,1.21588831821,-409.793611028,100,
5.04938e-05,5.55556e-05,0.00100662,1.13603,100,-409.873264355,0.762586322082,50000,0.906402,500.0,-73773.5,0.997264,11.8687,0.574024166284,1,-409.873264355,0.8,3.12392e-12,6.32857e-05,-430.405,inf,0.762586322082,-409.873264355,100,
5.11018e-05,5.55556e-05,0.000785319,1.13369,100,-410.114905185,0.59977511001,50000,0.917482,500.0,-73817.8,0.997445,10.7039,0.576320871841,1,-410.114905185,0.8,2.43626e-12,6.31444e-05,-430.653,inf,0.59977511001,-410.114905185,100,
5.07791e-05,5.55556e-05,0.00101196,1.10152,100,-409.97463285,0.705694736576,50000,0.918462,500.0,-73791.9,1.00486,11.5109,0.571517801443,1,-409.97463285,0.8,3.09323e-12,6.08996e-05,-430.512,inf,0.705694736576,-409.97463285,100,
5.03624e-05,5.55556e-05,0.00104741,1.16533,100,-409.605397772,0.771524175089,50000,0.909944,500.0,-73725.3,1.00377,11.837,0.571984496829,1,-409.605397772,0.8,3.20849e-12,6.44974e-05,-430.142,inf,0.771524175089,-409.605397772,100,
5.26147e-05,5.55556e-05,0.000193552,1.11414,100,-410.359099227,0.170541055149,50000,0.942773,500.0,-73864.0,0.995468,5.65886,0.567212929862,1,-410.359099227,0.8,6.02833e-13,6.21786e-05,-430.911,inf,0.170541055149,-410.359099227,100,
4.88247e-05,5.55556e-05,0.000998021,1.12526,100,-410.150059419,0.719850003609,50000,0.876164,500.0,-73823.4,0.996949,11.6252,0.573476457925,1,-410.150059419,0.8,3.09919e-12,6.27057e-05,-430.69,inf,0.719850003609,-410.150059419,100,
5.30935e-05,5.55556e-05,0.000148839,1.10387,100,-410.307345731,0.140267982357,50000,0.954211,500.0,-73854.8,0.998459,5.07775,0.561738883544,1,-410.307345731,0.8,4.60798e-13,6.14208e-05,-430.851,inf,0.140267982357,-410.307345731,100,
4.92971e-05,5.55556e-05,0.000799198,1.1182,100,-410.179692337,0.596986571568,50000,0.887876,500.0,-73829.4,1.0006,10.6912,0.569970922818,1,-410.179692337,0.8,2.46372e-12,6.20852e-05,-430.717,inf,0.596986571568,-410.179692337,100,
5.17566e-05,5.55556e-05,0.000740679,1.11146,100,-410.023506653,0.555911500586,50000,0.930706,500.0,-73801.5,0.99902,10.1649,0.576938565073,1,-410.023506653,0.8,2.29053e-12,6.18085e-05,-430.548,inf,0.555911500586,-410.023506653,100,
4.77261e-05,5.55556e-05,0.000798606,1.09313,100,-409.802822475,0.56095709523,50000,0.863646,500.0,-73761.7,1.00533,10.1098,0.571021200865,1,-409.802822475,0.8,2.43878e-12,6.04078e-05,-430.35,inf,0.56095709523,-409.802822475,100,
5.00176e-05,5.55556e-05,0.000741859,1.09696,100,-409.753810615,0.547416404296,50000,0.902888,500.0,-73753.0,1.00286,9.85533,0.571167703323,1,-409.753810615,0.8,2.27667e-12,6.07686e-05,-430.281,inf,0.547416404296,-409.753810615,100,
5.25297e-05,5.55556e-05,0.000129991,1.10486,100,-409.979004462,0.121324213962,50000,0.944487,500.0,-73795.7,0.998893,4.70618,0.560391030297,1,-409.979004462,0.8,4.02096e-13,6.1449e-05,-430.522,inf,0.121324213962,-409.979004462,100,
5.06918e-05,5.55556e-05,0.00074359,1.12539,100,-409.683541967,0.553440248702,50000,0.910222,500.0,-73740.3,0.997557,10.0325,0.576777627072,1,-409.683541967,0.8,2.30629e-12,6.26748e-05,-430.196,inf,0.553440248702,-409.683541967,100,
5.22774e-05,5.55556e-05,0.000441339,1.13089,100,-410.087035273,0.338191992371,50000,0.941724,500.0,-73814.0,1.00078,7.88811,0.564271028359,1,-410.087035273,0.8,1.36005e-12,6.27783e-05,-430.624,inf,0.338191992371,-410.087035273,100,
5.20776e-05,5.55555e-05,0.000153161,1.06398,100,-410.275447584,0.123543105332,50000,0.938639,500.0,-73849.0,1.00133,4.70303,0.564003969,1,-410.275447584,0.8,4.71469e-13,5.90319e-05,-430.824,inf,0.123543105332,-410.275447584,100,
5.16254e-05,5.55556e-05,0.000418745,1.12384,100,-410.215729951,0.325962271731,50000,0.928933,500.0,-73837.3,0.999651,7.75586,0.570795102844,1,-410.215729951,0.8,1.29333e-12,6.24574e-05,-430.754,inf,0.325962271731,-410.215729951,100,
5.12388e-05,5.55556e-05,0.000777608,1.151,100,-410.334208026,0.585718998475,50000,0.92086,500.0,-73857.3,0.998441,10.5904,0.572840752172,1,-410.334208026,0.8,2.40752e-12,6.40442e-05,-430.875,inf,0.585718998475,-410.334208026,100,
5.00548e-05,5.55556e-05,0.000973514,1.16931,100,-410.086258739,0.739377449861,50000,0.903158,500.0,-73812.0,1.00241,11.7652,0.577262013871,1,-410.086258739,0.8,2.99025e-12,6.48058e-05,-430.644,inf,0.739377449861,-410.086258739,100,
5.17767e-05,5.55556e-05,0.000656164,1.14963,100,-410.118250312,0.519109847711,50000,0.933302,500.0,-73818.9,1.00142,9.9726,0.56898135766,1,-410.118250312,0.8,2.01947e-12,6.37779e-05,-430.658,inf,0.519109847711,-410.118250312,100,
5.00006e-05,5.55556e-05,0.00104847,1.13753,100,-409.966746511,0.789145025877,50000,0.898123,500.0,-73790.2,0.997903,12.1287,0.596891499239,1,-409.966746511,0.8,3.24963e-12,6.33287e-05,-430.494,inf,0.789145025877,-409.966746511,100,
5.11989e-05,5.55556e-05,0.000643002,1.12676,100,-410.059305235,0.464890177731,50000,0.924118,500.0,-73808.4,1.00275,9.42768,0.567691556778,1,-410.059305235,0.8,1.97369e-12,6.24256e-05,-430.607,inf,0.464890177731,-410.059305235,100,
4.9685e-05,5.55556e-05,0.000777272,1.09858,100,-409.923228996,0.563452906622,50000,0.898308,500.0,-73783.5,1.00445,10.1679,0.573298087186,1,-409.923228996,0.8,2.37779e-12,6.07619e-05,-430.462,inf,0.563452906622,-409.923228996,100,
5.07283e-05,5.55556e-05,0.000968365,1.17736,100,-410.008945107,0.719270884171,50000,0.906593,500.0,-73798.1,0.992864,11.7162,0.576904910316,1,-410.008945107,0.8,3.03189e-12,6.58792e-05,-430.536,inf,0.719270884171,-410.008945107,100,
5.04717e-05,5.55556e-05,0.0011518,1.10412,100,-409.678358892,0.858787585924,50000,0.911614,500.0,-73738.0,1.00344,12.5943,0.574345798708,1,-409.678358892,0.8,3.53062e-12,6.11299e-05,-430.2,inf,0.858787585924,-409.678358892,100,
5.02155e-05,5.55556e-05,0.00140974,1.1176,100,-409.86753081,0.988694061078,50000,0.906798,500.0,-73771.2,1.00323,13.6615,0.57082337571,1,-409.86753081,0.8,4.32309e-12,6.18892e-05,-430.398,inf,0.988694061078,-409.86753081,100,
5.25069e-05,5.55556e-05,0.000337979,1.14123,100,-410.506063584,0.262187477004,50000,0.939863,500.0,-73889.9,0.994434,6.92583,0.570889452572,1,-410.506063584,0.8,1.05485e-12,6.37568e-05,-431.057,inf,0.262187477004,-410.506063584,100,
5.32449e-05,5.55556e-05,0.000173631,1.04312,100,-410.325959345,0.139827018442,50000,0.959025,500.0,-73858.0,1.00064,4.99059,0.562336308062,1,-410.325959345,0.8,5.35207e-13,5.79139e-05,-430.873,inf,0.139827018442,-410.325959345,100,
5.12436e-05,5.55556e-05,0.0015233,1.17338,100,-409.792503821,1.12615958308,50000,0.921208,500.0,-73757.1,0.998725,14.3476,0.577555034019,1,-409.792503821,0.8,4.71356e-12,6.52708e-05,-430.321,inf,1.12615958308,-409.792503821,100,
4.88254e-05,5.55556e-05,0.00141709,1.13539,100,-409.577399543,1.03616987953,50000,0.881318,500.0,-73718.8,1.0028,13.6833,0.571180578054,1,-409.577399543,0.8,4.34935e-12,6.2901e-05,-430.102,inf,1.03616987953,-409.577399543,100,
5.16335e-05,5.55556e-05,0.000425049,1.08858,100,-410.325215031,0.331532933766,50000,0.929986,500.0,-73857.0,1.00063,7.82054,0.56763776995,1,-410.325215031,0.8,1.31023e-12,6.04389e-05,-430.872,inf,0.331532933766,-410.325215031,100,
4.83855e-05,5.55556e-05,0.000927556,1.16116,100,-409.91107751,0.677940442197,50000,0.870492,500.0,-73780.6,0.999486,11.2229,0.570674515413,1,-409.91107751,0.8,2.86577e-12,6.45419e-05,-430.438,inf,0.677940442197,-409.91107751,100,
5.12571e-05,5.55556e-05,0.00082802,1.11166,100,-410.14354063,0.628183102743,50000,0.923815,500.0,-73822.8,1.00129,10.819,0.570623290892,1,-410.14354063,0.8,2.54906e-12,6.16794e-05,-430.679,inf,0.628183102743,-410.14354063,100,
5.20406e-05,5.55556e-05,0.000338873,1.10849,100,-409.967982446,0.267922251326,50000,0.932914,500.0,-73793.0,0.995926,7.06285,0.581489321476,1,-409.967982446,0.8,1.05448e-12,6.18346e-05,-430.489,inf,0.267922251326,-409.967982446,100,
4.85245e-05,5.55556e-05,0.00130758,1.12154,100,-409.767667275,0.980604481389,50000,0.87285,500.0,-73753.4,0.999323,13.3511,0.573030473659,1,-409.767667275,0.8,4.04122e-12,6.23502e-05,-430.296,inf,0.980604481389,-409.767667275,100,
5.22497e-05,5.55556e-05,0.000233126,1.10533,100,-410.024784817,0.194321437261,50000,0.941063,500.0,-73803.6,1.0006,5.98027,0.565666372127,1,-410.024784817,0.8,7.18654e-13,6.13701e-05,-430.58,inf,0.194321437261,-410.024784817,100,
4.92577e-05,5.55556e-05,0.000728461,1.15818,100,-409.967709215,0.554351545537,50000,0.887996,500.0,-73791.5,1.00153,10.1352,0.566237926963,1,-409.967709215,0.8,2.24147e-12,6.42448e-05,-430.502,inf,0.554351545537,-409.967709215,100,
5.20954e-05,5.55556e-05,0.000651689,1.13518,100,-410.343774742,0.485241779965,50000,0.934357,500.0,-73859.5,0.996416,9.54961,0.571642884362,1,-410.343774742,0.8,2.02588e-12,6.32922e-05,-430.882,inf,0.485241779965,-410.343774742,100,
4.90049e-05,5.55555e-05,0.00162677,1.13382,100,-409.683155041,1.18938291635,50000,0.884961,500.0,-73737.1,1.00326,14.7443,0.577184530465,1,-409.683155041,0.8,4.98834e-12,6.27857e-05,-430.204,inf,1.18938291635,-409.683155041,100,
