MinNormIw,J,VarVanillaIw,AvgNormIw,ESSClassic,EpsThisIter,MaxNormIw,MaxVanillaIw,eRenyi2,MinVanillaIw,IterType,BatchSize,VarDiscRet,AvgEpLen,VarNormIw,AvgRet,VarRet,ESSRenyi,VarJ,AvgDiscRet,AvgVanillaIw,Bound,VanillaAvgRet
0.0028744878,-101.25545,0.05734707,0.01,94.24069637462493,100,0.014424393,1.3902892,1.0499709,0.27705634,1,100,150.81992450688188,41.43,6.172997e-06,-102.02107641262509,150.81992450688188,95.24073791916568,9.978487,-102.02107641262509,0.9638459,-117.491745,-102.02107641262509
0.006036846,-99.58215,0.019600416,0.009999999,98.22607541967595,100,0.012271315,1.2719998,1.0287839,0.62575746,1,100,90.95902120008257,41.68,1.8242041e-06,-99.84133459714165,90.95902120008257,97.20214158294289,9.719638,-99.84133459714165,1.0365635,-109.47445,-99.84133459714165
0.001465983,-97.71704,3.5697508,0.01,25.925492456550796,100,0.1730671,19.247759,1.4183161,0.16304016,1,100,73.57198750068234,41.43,0.00028860677,-100.322418987047,73.57198750068234,70.50614328923125,15.668531,-100.322418987047,1.1121559,-109.16029,-100.322418987047
0.003042633,-100.765236,0.06792216,0.010000002,93.69299436445567,100,0.018460693,1.8450729,1.0504305,0.30409905,1,100,465.26789052830236,51.2,6.7995543e-06,-102.21956051425785,465.26789052830236,95.19906033489755,12.318441,-102.21956051425785,0.9994602,-123.5428,-102.21956051425785
2.0580757e-25,-10.814296,199.14656,0.01,2.3412560462902783,100,0.63928413,138.98463,32.54474,4.4743938e-23,1,100,264.4404494854898,51.58,0.004213345,-99.10710774146057,264.4404494854898,3.0726932764204924,337.5117,-99.10710774146057,2.1740665,-70.29089,-99.10710774146057
3.2193436e-25,-102.287865,inf,0.01,,100,0.9999998,2.2349397e+22,nan,0.00719504,,200,517.7736587304051,51.58,0.009999998,-99.10710774146057,264.4404494854898,nan,7.6317876e-05,-97.07582584019734,2.2349402e+20,-inf,-99.10710774146057
8.004745e-18,-48.038734,51.629368,0.005,11.296697576710372,100,0.20169783,70.74197,15.312126,2.8075237e-15,1,200,407.65443306946713,48.51,0.00041970582,-97.45035473622076,407.65443306946713,13.061543375132226,369.27353,-97.45035473622076,1.7536621,-76.88625,-97.45035473622076
0.01,-97.276184,,0.009999998,100.0,100,0.01,1.0,1.0,1.0,2,200,549.3358311453619,107.52,3.5044917e-18,-97.27617965526807,549.3358311453619,200.0,23.32043,-97.27617965526807,1.0,-114.903694,-97.27617965526807
3.8576623e-17,-104.51473,6.344914e+26,0.005,1.0578289378269297,100,0.97202593,356185770000000.0,nan,0.014135881,,300,293.5456641605439,48.51,0.004725288,-97.45035473622076,407.65443306946713,nan,2.0028794,-97.55186593102502,1832182300000.0,-inf,-97.45035473622076
5.1559045e-14,-67.41133,28.145214,0.0033333332,20.900571499306867,100,0.12882392,56.013744,11.741516,2.2418314e-11,1,300,62.02430980844236,40.83,0.00014887043,-100.28738389802112,62.02430980844236,25.55036309669236,329.04636,-100.28738389802112,1.4493619,-88.03696,-100.28738389802112
0.01,-98.20038,,0.009999998,100.0,100,0.01,1.0,1.0,1.0,2,300,798.5796738738667,75.36,3.5044917e-18,-98.20037869527805,798.5796738738667,300.0,28.1175,-98.20037869527805,1.0,-117.14953,-98.20037869527805
0.005,-97.574844,,0.0049999994,200.00000010221265,100,0.005,1.0,1.0,1.0,2,300,736.2850041049593,72.71,2.179301e-19,-96.9493026576845,736.2850041049593,300.0,27.570805,-96.9493026576845,1.0,-110.973915,-96.9493026576845
1.9809236e-13,-104.84577,8.122465e+18,0.003333333,3.307513005130356,100,0.49494782,44606390000.0,nan,0.01785276,,400,558.5641498514069,40.83,0.001000029,-100.28738389802112,62.02430980844236,nan,22.989466,-102.42616814806232,300411400.0,-inf,-100.28738389802112
5.5205663e-35,-39.527386,193.25679,0.0025,8.150736315068643,100,0.27154854,217.5055,46.328045,4.421874e-32,1,400,71.47180670628632,44.47,0.00030122383,-100.33676922683166,71.47180670628632,8.63407901063014,571.633,-100.33676922683166,2.002455,-75.00854,-100.33676922683166
0.01,-100.464676,,0.009999998,100.0,100,0.01,1.0,1.0,1.0,2,400,773.0262604534892,105.09,3.5044917e-18,-100.46467779709351,773.0262604534892,400.0,27.663982,-100.46467779709351,1.0,-123.00517,-100.46467779709351
0.005,-99.68407,,0.0049999994,200.00000010221265,100,0.005,1.0,1.0,1.0,2,400,1192.8710642804724,88.38,2.179301e-19,-98.90344565825322,1192.8710642804724,400.0,31.204624,-98.90344565825322,1.0,-117.59013,-98.90344565825322
0.0033333334,-98.25723,,0.0033333336,299.999969473632,100,0.0033333334,1.0,1.0,1.0,2,400,1107.7631733399485,76.92,5.4391416e-20,-95.40356662758177,1107.7631733399485,400.0,31.918425,-95.40356662758177,1.0,-112.87747,-95.40356662758177
2.0328903e-34,-103.39019,inf,0.0025,,100,0.9999489,2.2614846e+31,nan,0.004597585,,500,427.7044642784245,44.47,0.002499744,-100.33676922683166,71.47180670628632,nan,0.0059827054,-100.29961417875556,5.6540006e+28,-inf,-100.33676922683166
