MinNormIw,Bound,AvgNormIw,AvgVanillaIw,VarVanillaIw,eRenyi2,Delta,ESSRenyi,J,MinVanillaIw,VanillaAvgRet,BatchSize,AvgEpLen,AvgDiscRet,MaxNormIw,IterType,VarNormIw,ESSClassic,VarRet,VarJ,AvgRet,EpsThisIter,MaxVanillaIw,VarDiscRet
0.0033333334,4930.1987,0.0033333336,1.0,,1.0,0.95,500.0,4996.4253,1.0,4998.7291241368675,500,499.94,4998.7291241368675,0.0033333334,2,5.4391416e-20,299.999969473632,49.26994584525058,36.103592,4998.7291241368675,100,1.0,49.26994584525058
0.0025,4939.7925,0.0024999997,1.0,,1.0,0.95,500.0,4997.1465,1.0,4999.310066652941,500,500.0,4999.310066652941,0.0025,2,5.434597e-20,400.0,0.48097870813328497,31.293482,4999.310066652941,100,1.0,0.48097870813328497
0.0006833442,4945.8857,0.002,1.0022728,0.018375322,1.01897,0.95,490.69157461504443,4997.669,0.34244865,4993.980062102303,500,499.46,4993.980062102303,0.002517473,1,7.3168316e-08,491.035907574525,3047.705904523154,24.64144,4993.980062102303,100,1.2615974,3047.705904523154
0.01,4880.088,0.009999998,1.0,,1.0,0.95,500.0,4994.796,1.0,4994.795355802551,500,499.56,4994.795355802551,0.01,2,3.5044917e-18,100.0,1097.4253844761158,32.96138,4994.795355802551,100,1.0,1097.4253844761158
0.005,4910.824,0.0049999994,1.0,,1.0,0.95,500.0,4991.935,1.0,4989.075647439763,500,498.99,4989.075647439763,0.005,2,2.179301e-19,200.00000010221265,7054.04948011928,63.58583,4989.075647439763,100,1.0,7054.04948011928
0.0033333334,4927.508,0.0033333336,1.0,,1.0,0.95,500.0,4993.7344,1.0,4997.33228188307,500,499.81,4997.33228188307,0.0033333334,2,5.4391416e-20,299.999969473632,398.94826163867936,53.23123,4997.33228188307,100,1.0,398.94826163867936
0.0025,4937.2646,0.0024999997,1.0,,1.0,0.95,500.0,4994.6187,1.0,4997.271540156218,500,499.8,4997.271540156218,0.0025,2,5.434597e-20,400.0,444.5147413555392,47.3026,4997.271540156218,100,1.0,444.5147413555392
0.00033506792,4943.4243,0.0019999999,0.9926016,0.05188304,1.0479848,0.95,477.1061389804774,4995.9395,0.16629447,4983.748870568729,500,498.46,4983.748870568729,0.0026976608,1,2.1063742e-07,475.0350358056938,10810.427635744783,36.964333,4983.748870568729,100,1.3388512,10810.427635744783
0.01,4884.697,0.009999998,1.0,,1.0,0.95,500.0,4999.405,1.0,4999.404879757847,500,500.0,4999.404879757847,0.01,2,3.5044917e-18,100.0,0.32424941205609165,0.566556,4999.404879757847,100,1.0,0.32424941205609165
0.005,4905.859,0.0049999994,1.0,,1.0,0.95,500.0,4986.9697,1.0,4974.533965665135,500,497.52,4974.533965665135,0.005,2,2.179301e-19,200.00000010221265,62067.16392035943,175.72151,4974.533965665135,100,1.0,62067.16392035943
0.0033333334,4924.0347,0.0033333336,1.0,,1.0,0.95,500.0,4990.261,1.0,4996.843196702382,500,499.77,4996.843196702382,0.0033333334,2,5.4391416e-20,299.999969473632,592.0375963537575,144.23036,4996.843196702382,100,1.0,592.0375963537575
0.0025,4935.2017,0.0024999997,1.0,,1.0,0.95,500.0,4992.5557,1.0,4999.440881741638,500,500.0,4999.440881741638,0.0025,2,5.434597e-20,400.0,0.474682314792308,124.97089,4999.440881741638,100,1.0,0.474682314792308
0.0003559713,4945.1284,0.002,1.0036651,0.047994893,1.0505222,0.95,475.9537647948878,4997.707,0.17863798,4995.788380577369,500,499.65,4995.788380577369,0.0026094595,1,1.9058005e-07,477.30438132002865,1300.877328725418,23.839785,4995.788380577369,100,1.3095117,1300.877328725418
0.01,4884.6865,0.009999998,1.0,,1.0,0.95,500.0,4999.3945,1.0,4999.394889642204,500,500.0,4999.394889642204,0.01,2,3.5044917e-18,100.0,0.36991709146391283,0.6051619,4999.394889642204,100,1.0,0.36991709146391283
0.005,4918.382,0.0049999994,1.0,,1.0,0.95,500.0,4999.4927,1.0,4999.590630234969,500,500.0,4999.590630234969,0.005,2,2.179301e-19,200.00000010221265,0.21336678153845604,0.546172,4999.590630234969,100,1.0,0.21336678153845604
0.0033333334,4931.9604,0.0033333336,1.0,,1.0,0.95,500.0,4998.187,1.0,4995.57718700856,500,499.63,4995.57718700856,0.0033333334,2,5.4391416e-20,299.999969473632,1446.4312956881597,21.930063,4995.57718700856,100,1.0,1446.4312956881597
0.0025,4941.162,0.0024999997,1.0,,1.0,0.95,500.0,4998.516,1.0,4999.501801644627,500,500.0,4999.501801644627,0.0025,2,5.434597e-20,400.0,0.22896628501936678,19.002008,4999.501801644627,100,1.0,0.22896628501936678
0.0015019573,4947.5176,0.002,1.0026428,0.0028607673,1.003245,0.95,498.38274993467667,4998.8994,0.75296324,4999.495756859582,500,500.0,4999.495756859582,0.0021781435,1,1.1382827e-08,498.584025079557,0.22724628359401305,12.779439,4999.495756859582,100,1.0919498,0.22724628359401305
0.01,4883.558,0.009999998,1.0,,1.0,0.95,500.0,4998.266,1.0,4998.2659720683,500,499.9,4998.2659720683,0.01,2,3.5044917e-18,100.0,128.4630839159835,11.277364,4998.2659720683,100,1.0,128.4630839159835
0.005,4886.954,0.0049999994,1.0,,1.0,0.95,500.0,4968.065,1.0,4937.863854778568,500,493.87,4937.863854778568,0.005,2,2.179301e-19,200.00000010221265,255475.54415800612,356.98193,4937.863854778568,100,1.0,255475.54415800612
0.0033333334,4911.7676,0.0033333336,1.0,,1.0,0.95,500.0,4977.994,1.0,4997.852845344069,500,499.85,4997.852845344069,0.0033333334,2,5.4391416e-20,299.999969473632,256.464534065557,291.95755,4997.852845344069,100,1.0,256.464534065557
0.0025,4924.4746,0.0024999997,1.0,,1.0,0.95,500.0,4981.8286,1.0,4993.332602190677,500,499.4,4993.332602190677,0.0025,2,5.434597e-20,400.0,3729.9228570085493,254.74825,4993.332602190677,100,1.0,3729.9228570085493
5.628092e-05,4938.268,0.002,1.0222415,0.15301043,1.1602873,0.95,430.9277683227347,4993.5254,0.028766345,4989.754378725439,500,499.06,4989.754378725439,0.0033412827,1,5.8569833e-07,436.24994865795105,4583.666539478566,104.6444,4989.754378725439,100,1.707799,4583.666539478566
0.01,4854.776,0.009999998,1.0,,1.0,0.95,500.0,4969.484,1.0,4969.483779692992,500,497.02,4969.483779692992,0.01,2,3.5044917e-18,100.0,89474.80890608105,297.624,4969.483779692992,100,1.0,89474.80890608105
0.005,4903.3755,0.0049999994,1.0,,1.0,0.95,500.0,4984.4863,1.0,4999.48944292848,500,500.0,4999.48944292848,0.005,2,2.179301e-19,200.00000010221265,0.4428333811129246,210.98657,4999.48944292848,100,1.0,0.4428333811129246
0.0033333334,4923.1934,0.0033333336,1.0,,1.0,0.95,500.0,4989.42,1.0,4999.285349105157,500,500.0,4999.285349105157,0.0033333334,2,5.4391416e-20,299.999969473632,0.4382648979301676,172.41142,4999.285349105157,100,1.0,0.4382648979301676
0.0025,4933.9985,0.0024999997,1.0,,1.0,0.95,500.0,4991.3525,1.0,4997.152003612652,500,499.79,4997.152003612652,0.0025,2,5.434597e-20,400.0,498.8287198638168,149.76295,4997.152003612652,100,1.0,498.8287198638168
0.00040178743,4945.1885,0.002,1.0183862,0.049665138,1.0551269,0.95,473.8766468957454,4997.8823,0.2045874,4999.442863696132,500,500.0,4999.442863696132,0.0026430255,1,1.9155196e-07,477.1938913534386,0.3632319216744755,29.03821,4999.442863696132,100,1.3458104,0.3632319216744755
0.01,4884.826,0.009999998,1.0,,1.0,0.95,500.0,4999.534,1.0,4999.534296966103,500,500.0,4999.534296966103,0.01,2,3.5044917e-18,100.0,0.23384682250375974,0.481139,4999.534296966103,100,1.0,0.23384682250375974
0.005,4918.3887,0.0049999994,1.0,,1.0,0.95,500.0,4999.4995,1.0,4999.465352222969,500,500.0,4999.465352222969,0.005,2,2.179301e-19,200.00000010221265,0.4082040185991708,0.56479955,4999.465352222969,100,1.0,0.4082040185991708
0.0033333334,4933.2407,0.0033333336,1.0,,1.0,0.95,500.0,4999.4673,1.0,4999.400224113548,500,500.0,4999.400224113548,0.0033333334,2,5.4391416e-20,299.999969473632,0.3818081248447542,0.5838371,4999.400224113548,100,1.0,0.3818081248447542
0.0025,4942.097,0.0024999997,1.0,,1.0,0.95,500.0,4999.451,1.0,4999.404699119599,500,500.0,4999.404699119599,0.0025,2,5.434597e-20,400.0,0.48699693359222973,0.61391896,4999.404699119599,100,1.0,0.48699693359222973
0.001990348,4948.1543,0.002,1.000009,1.4269141e-06,1.0000032,0.95,499.9983906797709,4999.453,0.99518293,4999.456489025524,500,500.0,4999.456489025524,0.0020054379,1,5.7075477e-12,499.9991936720377,0.37476250884296614,0.61235344,4999.456489025524,100,1.0027279,0.37476250884296614
0.01,4884.697,0.009999998,1.0,,1.0,0.95,500.0,4999.405,1.0,4999.404746394523,500,500.0,4999.404746394523,0.01,2,3.5044917e-18,100.0,0.41501188626724794,0.64097285,4999.404746394523,100,1.0,0.41501188626724794
0.005,4918.2534,0.0049999994,1.0,,1.0,0.95,500.0,4999.3643,1.0,4999.3239815853485,500,500.0,4999.3239815853485,0.005,2,2.179301e-19,200.00000010221265,0.40587221823067476,0.6387095,4999.3239815853485,100,1.0,0.40587221823067476
0.0033333334,4933.184,0.0033333336,1.0,,1.0,0.95,500.0,4999.4106,1.0,4999.503159163537,500,500.0,4999.503159163537,0.0033333334,2,5.4391416e-20,299.999969473632,0.24525589978198148,0.59764516,4999.503159163537,100,1.0,0.24525589978198148
0.0025,4942.0444,0.0024999997,1.0,,1.0,0.95,500.0,4999.3984,1.0,4999.363727303678,500,500.0,4999.363727303678,0.0025,2,5.434597e-20,400.0,0.2873331561713943,0.58258396,4999.363727303678,100,1.0,0.2873331561713943
0.00051948946,4945.2964,0.002,1.0040859,0.04799706,1.050948,0.95,475.7609212622835,4997.8857,0.26080602,4969.902817941296,500,497.06,4969.902817941296,0.0027115147,1,1.904289e-07,477.321443050103,87086.21422749019,34.30283,4969.902817941296,100,1.3612969,87086.21422749019
0.01,4884.832,0.009999998,1.0,,1.0,0.95,500.0,4999.54,1.0,4999.5401259020655,500,500.0,4999.5401259020655,0.01,2,3.5044917e-18,100.0,0.27924882337036494,0.5258061,4999.5401259020655,100,1.0,0.27924882337036494
0.005,4918.3867,0.0049999994,1.0,,1.0,0.95,500.0,4999.4976,1.0,4999.45459590153,500,500.0,4999.45459590153,0.005,2,2.179301e-19,200.00000010221265,0.25354572589147034,0.51532835,4999.45459590153,100,1.0,0.25354572589147034
0.0033333334,4933.2617,0.0033333336,1.0,,1.0,0.95,500.0,4999.4883,1.0,4999.46840654123,500,500.0,4999.46840654123,0.0033333334,2,5.4391416e-20,299.999969473632,0.30592508607158014,0.52742124,4999.46840654123,100,1.0,0.30592508607158014
0.0025,4942.146,0.0024999997,1.0,,1.0,0.95,500.0,4999.5,1.0,4999.5349087984405,500,500.0,4999.5349087984405,0.0025,2,5.434597e-20,400.0,0.16504130407619946,0.4998921,4999.5349087984405,100,1.0,0.16504130407619946
0.002,4948.1943,0.0020000003,1.0,,1.0,0.95,500.0,4999.493,1.0,4999.465150808077,500,500.0,4999.465150808077,0.002,1,5.431875e-20,500.00000664260017,0.2470957702758365,0.4990313,4999.465150808077,100,1.0,0.2470957702758365
0.01,4884.718,0.009999998,1.0,,1.0,0.95,500.0,4999.426,1.0,4999.425455942,500,500.0,4999.425455942,0.01,2,3.5044917e-18,100.0,0.32435989130934023,0.56665367,4999.425455942,100,1.0,0.32435989130934023
0.005,4918.355,0.0049999994,1.0,,1.0,0.95,500.0,4999.466,1.0,4999.505742846309,500,500.0,4999.505742846309,0.005,2,2.179301e-19,200.00000010221265,0.250740124763508,0.5350539,4999.505742846309,100,1.0,0.250740124763508
0.0033333334,4933.2314,0.0033333336,1.0,,1.0,0.95,500.0,4999.458,1.0,4999.442791318158,500,500.0,4999.442791318158,0.0033333334,2,5.4391416e-20,299.999969473632,0.27727806157201196,0.53148013,4999.442791318158,100,1.0,0.27727806157201196
0.0025,4942.099,0.0024999997,1.0,,1.0,0.95,500.0,4999.453,1.0,4999.440310213772,500,500.0,4999.440310213772,0.0025,2,5.434597e-20,400.0,0.31151888465426125,0.53759956,4999.440310213772,100,1.0,0.31151888465426125
0.001564073,4947.9814,0.002,1.0000339,0.0007783196,1.0007159,0.95,499.64233014672624,4999.299,0.78206295,4998.450938273088,500,499.91,4998.450938273088,0.0020771993,1,3.1130678e-09,499.6119986498495,100.68374917078536,3.5427728,4998.450938273088,100,1.0386348,100.68374917078536
0.01,4884.72,0.009999998,1.0,,1.0,0.95,500.0,4999.428,1.0,4999.428246530872,500,500.0,4999.428246530872,0.01,2,3.5044917e-18,100.0,0.3262740488745727,0.56832653,4999.428246530872,100,1.0,0.3262740488745727
0.005,4918.3228,0.0049999994,1.0,,1.0,0.95,500.0,4999.4336,1.0,4999.4391595100005,500,500.0,4999.4391595100005,0.005,2,2.179301e-19,200.00000010221265,0.3351352677143277,0.57221574,4999.4391595100005,100,1.0,0.3351352677143277
0.0033333334,4933.2197,0.0033333336,1.0,,1.0,0.95,500.0,4999.4463,1.0,4999.4712623572805,500,500.0,4999.4712623572805,0.0033333334,2,5.4391416e-20,299.999969473632,0.26543857151538663,0.5533541,4999.4712623572805,100,1.0,0.26543857151538663
0.0025,4942.0884,0.0024999997,1.0,,1.0,0.95,500.0,4999.4424,1.0,4999.433134645952,500,500.0,4999.433134645952,0.0025,2,5.434597e-20,400.0,0.28919432070541295,0.5488752,4999.433134645952,100,1.0,0.28919432070541295
0.001988638,4948.152,0.002,0.9999356,2.3745492e-06,1.0000023,0.95,499.9988675143143,4999.4507,0.99425495,4999.477675757323,500,500.0,4999.477675757323,0.0020083264,1,9.49943e-12,499.99882120391584,0.22361780896931582,0.5338018,4999.477675757323,100,1.0040985,0.22361780896931582
0.01,4884.67,0.009999998,1.0,,1.0,0.95,500.0,4999.378,1.0,4999.377709074961,500,500.0,4999.377709074961,0.01,2,3.5044917e-18,100.0,0.3374443753054882,0.5779765,4999.377709074961,100,1.0,0.3374443753054882
0.005,4917.4146,0.0049999994,1.0,,1.0,0.95,500.0,4998.5254,1.0,4997.672748096342,500,499.82,4997.672748096342,0.005,2,2.179301e-19,200.00000010221265,365.19721721161574,13.478385,4997.672748096342,100,1.0,365.19721721161574
0.0033333334,4930.363,0.0033333336,1.0,,1.0,0.95,500.0,4996.5894,1.0,4992.716958139645,500,499.33,4992.716958139645,0.0033333334,2,5.4391416e-20,299.999969473632,4633.312205052385,40.71364,4992.716958139645,100,1.0,4633.312205052385
0.0025,4939.9404,0.0024999997,1.0,,1.0,0.95,500.0,4997.2944,1.0,4999.410349793973,500,500.0,4999.410349793973,0.0025,2,5.434597e-20,400.0,0.3343782508515317,35.281372,4999.410349793973,100,1.0,0.3343782508515317
0.0011725158,4946.8,0.002,1.0104433,0.009417702,1.0108867,0.95,494.61528700937697,4998.377,0.5923804,4999.347747455531,500,500.0,4999.347747455531,0.002305585,1,3.6896143e-08,495.439217357806,0.3692230251830815,18.795631,4999.347747455531,100,1.1648315,0.3692230251830815
0.01,4884.7764,0.009999998,1.0,,1.0,0.95,500.0,4999.4844,1.0,4999.484396795542,500,500.0,4999.484396795542,0.01,2,3.5044917e-18,100.0,0.2344826134136693,0.48179406,4999.484396795542,100,1.0,0.2344826134136693
0.005,4908.5005,0.0049999994,1.0,,1.0,0.95,500.0,4989.6113,1.0,4979.737886763622,500,498.04,4979.737886763622,0.005,2,2.179301e-19,200.00000010221265,38872.641524368875,139.06674,4979.737886763622,100,1.0,38872.641524368875
0.0033333334,4925.5483,0.0033333336,1.0,,1.0,0.95,500.0,4991.775,1.0,4996.102181500359,500,499.68,4996.102181500359,0.0033333334,2,5.4391416e-20,299.999969473632,1109.5860324417654,115.18925,4996.102181500359,100,1.0,1109.5860324417654
0.0025,4936.347,0.0024999997,1.0,,1.0,0.95,500.0,4993.701,1.0,4999.480704019105,500,500.0,4999.480704019105,0.0025,2,5.434597e-20,400.0,0.3606317118197637,99.81306,4999.480704019105,100,1.0,0.3606317118197637
0.00020250234,4946.7026,0.0019999999,1.0071875,0.027589682,1.0257976,0.95,487.425586989167,4998.659,0.10197891,4999.516478117769,500,500.0,4999.516478117769,0.0024301636,1,1.08789266e-07,486.7871822871219,0.2527293693879701,13.1049795,4999.516478117769,100,1.2238152,0.2527293693879701
0.01,4884.783,0.009999998,1.0,,1.0,0.95,500.0,4999.491,1.0,4999.490736141784,500,500.0,4999.490736141784,0.01,2,3.5044917e-18,100.0,0.28239076257859835,0.5287446,4999.490736141784,100,1.0,0.28239076257859835
0.005,4918.368,0.0049999994,1.0,,1.0,0.95,500.0,4999.479,1.0,4999.467934983532,500,500.0,4999.467934983532,0.005,2,2.179301e-19,200.00000010221265,0.36279159173903547,0.5652335,4999.467934983532,100,1.0,0.36279159173903547
0.0033333334,4933.247,0.0033333336,1.0,,1.0,0.95,500.0,4999.4736,1.0,4999.461679287763,500,500.0,4999.461679287763,0.0033333334,2,5.4391416e-20,299.999969473632,0.26816981542351404,0.54914284,4999.461679287763,100,1.0,0.26816981542351404
0.0025,4942.143,0.0024999997,1.0,,1.0,0.95,500.0,4999.497,1.0,4999.568745463786,500,500.0,4999.568745463786,0.0025,2,5.434597e-20,400.0,0.24452776564923365,0.53702176,4999.568745463786,100,1.0,0.24452776564923365
0.002,4948.189,0.0020000003,1.0,,1.0,0.95,500.0,4999.488,1.0,4999.446391812035,500,500.0,4999.446391812035,0.002,1,5.431875e-20,500.00000664260017,0.3463898635615383,0.5474557,4999.446391812035,100,1.0,0.3463898635615383
0.01,4884.681,0.009999998,1.0,,1.0,0.95,500.0,4999.389,1.0,4999.389052687875,500,500.0,4999.389052687875,0.01,2,3.5044917e-18,100.0,0.30219228485979766,0.5469852,4999.389052687875,100,1.0,0.30219228485979766
0.005,4901.3755,0.0049999994,1.0,,1.0,0.95,500.0,4982.4863,1.0,4965.5840956194725,500,496.62,4965.5840956194725,0.005,2,2.179301e-19,200.00000010221265,114993.15874229222,239.1808,4965.5840956194725,100,1.0,114993.15874229222
0.0033333334,4921.911,0.0033333336,1.0,,1.0,0.95,500.0,4988.1377,1.0,4999.440981699047,500,500.0,4999.440981699047,0.0033333334,2,5.4391416e-20,299.999969473632,0.26846841367905816,195.45401,4999.440981699047,100,1.0,0.26846841367905816
