optimgain,EpRewMean,TimestepsSoFar,SampleRenyi2,Step_size,TimeElapsed,surrgain,DiscEpRewMean,entropy,entloss,EpThisIter,EpLenMean,Var_J,ev_tdlam_before,J_hat,meankl,EpisodesSoFar
0.00571881,172.327258849,10400000,16.4033,1.0,22804.30649805069,0.00571881,62.1714322301,0.783895,,100,500.0,0.12787209451198578,0.933423534036,63.484336853027344,0.00949896,20800
0.00901182,172.79776376,10450000,3.7224,1.0,23039.64613723755,0.00901182,62.0341573522,0.777844,,100,500.0,0.02550467476248741,0.914852559566,62.8897705078125,0.00832707,20900
0.00598479,172.042711957,10500000,1.40957e+07,1.0,23255.648416280746,0.00598479,62.0227144742,0.742716,,100,500.0,0.027752958238124847,0.931832529604,64.77656555175781,0.00898197,21000
0.00810438,172.388746974,10550000,8.56226,1.0,23480.793671369553,0.00810438,62.0481403836,0.758786,,100,500.0,0.03557593375444412,0.932510145009,62.71043395996094,0.00886425,21100
0.0047257,169.875770534,10600000,6.61169e+07,1.0,23695.783061742783,0.0047257,61.8921408005,0.746105,,100,500.0,0.01477584708482027,0.937692273408,63.24872589111328,0.00803657,21200
0.00754721,174.127994561,10650000,12.5264,1.0,23899.822147130966,0.00754721,62.2872498845,0.76074,,100,500.0,0.03452533483505249,0.926549717784,63.04325866699219,0.00908717,21300
0.00593662,170.190107096,10700000,100585.0,1.0,24123.666779994965,0.00593662,62.0943279722,0.755331,,100,500.0,0.13594959676265717,0.931706093252,63.89015197753906,0.00915127,21400
0.00611696,169.603621096,10750000,5.90264e+09,1.0,24360.70871758461,0.00611696,61.8592149475,0.769001,,100,500.0,0.45368891954421997,0.937315165997,64.66641235351562,0.00977428,21500
0.0058319,172.324660373,10800000,29.3163,1.0,24593.814573526382,0.0058319,62.1422698144,0.794233,,100,500.0,0.04447948932647705,0.924775265157,62.92682647705078,0.00866176,21600
0.0074821,169.652269796,10850000,16.5354,1.0,24809.473203659058,0.0074821,61.8563645599,0.780286,,100,500.0,0.5449912548065186,0.936756052077,63.542911529541016,0.00887456,21700
0.00717633,168.22731908,10900000,723.119,1.0,25064.874092817307,0.00717633,61.8038184735,0.7729,,100,500.0,0.053396500647068024,0.936804629862,62.965858459472656,0.0086506,21800
0.00901156,167.573390662,10950000,1462.88,1.0,25283.913434505463,0.00901156,61.5466437594,0.784176,,100,500.0,0.02817881852388382,0.935644604266,62.9945182800293,0.00870018,21900
0.00562323,170.884447509,11000000,8.08546e+06,1.0,25515.220781326294,0.00562323,62.1857901317,0.757367,,100,500.0,0.04717480391263962,0.93592171371,63.459590911865234,0.0093546,22000
0.00585445,174.147238405,11050000,11366.7,1.0,25719.13762807846,0.00585445,62.4986489947,0.729448,,100,500.0,0.032810550183057785,0.936799623072,63.16826629638672,0.00885467,22100
0.0055573,173.88490452,11100000,57.4059,1.0,25965.41354727745,0.0055573,62.5534597841,0.733603,,100,500.0,0.2078951746225357,0.936765894294,63.86551284790039,0.00858907,22200
0.00624793,173.083946399,11150000,40.3019,1.0,26217.487855434418,0.00624793,62.259049841,0.742191,,100,500.0,0.007912944070994854,0.924223959446,63.18446731567383,0.0088872,22300
0.00902155,171.539304112,11200000,9.14054,1.0,26428.97053217888,0.00902155,62.3002081024,0.720384,,100,500.0,0.028352078050374985,0.940116818994,63.106292724609375,0.00860394,22400
0.00650264,171.855811762,11250000,8.81934,1.0,26651.790370464325,0.00650264,62.2207919052,0.680606,,100,500.0,0.06358449161052704,0.937245175242,62.269344329833984,0.00959024,22500
0.00835347,172.976484196,11300000,6.43282e+08,1.0,26891.44773697853,0.00835347,62.3534889752,0.661633,,100,500.0,0.06559941917657852,0.927611254156,63.290279388427734,0.00840534,22600
0.00723384,174.933603626,11350000,9.77645,1.0,27151.12072992325,0.00723384,62.4801190142,0.638978,,100,500.0,0.013904435560107231,0.921764709055,63.43849182128906,0.00876845,22700
0.00831669,172.987915597,11400000,4.26146e+15,1.0,27415.20724081993,0.00831669,62.2278979713,0.66823,,100,500.0,0.008916406892240047,0.934433043003,64.45594787597656,0.00903312,22800
0.00645829,172.512851262,11450000,12.5297,1.0,27719.124717235565,0.00645829,62.222803524,0.680965,,100,500.0,0.02940426766872406,0.933055721223,63.00746154785156,0.0089656,22900
0.00761417,171.123954685,11500000,70820.4,1.0,27924.45316004753,0.00761417,62.0480056548,0.673521,,100,500.0,0.03060070239007473,0.937993958592,63.073280334472656,0.00841762,23000
0.00766498,170.653000178,11550000,10.3427,1.0,28176.420149564743,0.00766498,61.9989282346,0.659407,,100,500.0,0.003344191238284111,0.929644457996,64.772705078125,0.0105545,23100
0.00893514,176.750630274,11600000,22.0464,1.0,28463.686524152756,0.00893514,62.7650434715,0.669128,,100,500.0,0.032270397990942,0.910695083439,63.731136322021484,0.00867319,23200
0.00820306,173.912140082,11650000,34.3065,1.0,28720.02922964096,0.00820306,62.3796889209,0.646972,,100,500.0,0.060098856687545776,0.926266819239,63.209144592285156,0.00878843,23300
0.00666911,174.985298762,11700000,14.5294,1.0,28999.865379095078,0.00666911,62.4227230716,0.646744,,100,500.0,0.007195512298494577,0.929153092206,63.22539520263672,0.00858958,23400
0.00867129,177.153908683,11750000,7.00682,1.0,29290.14485192299,0.00867129,62.7308541343,0.629627,,100,500.0,0.15401706099510193,0.916636399925,63.711708068847656,0.0100483,23500
0.0109268,174.598128354,11800000,7.07525e+06,1.0,29529.320452928543,0.0109268,62.596103982,0.621078,,100,500.0,0.16780515015125275,0.941423911601,64.13245391845703,0.00901229,23600
0.00525291,176.140546501,11850000,1.65877e+06,1.0,29813.22334074974,0.00525291,62.6414129256,0.624084,,100,500.0,0.019003374502062798,0.935784034431,63.34722137451172,0.0082265,23700
0.00837913,173.387649631,11900000,2.55703,1.0,30096.51707458496,0.00837913,62.3655588578,0.62067,,100,500.0,0.07500876486301422,0.929115496576,62.39054870605469,0.00923636,23800
0.00955532,174.302060565,11950000,16.6,1.0,30354.713788986206,0.00955532,62.4898709017,0.634766,,100,500.0,0.1233295425772667,0.922312662005,63.48978042602539,0.0093253,23900
0.00599452,175.640187332,12000000,1.13158e+12,1.0,30653.888655424118,0.00599452,62.4918187294,0.616504,,100,500.0,0.017257437109947205,0.926990509033,63.61973190307617,0.00906979,24000
0.00625904,172.137209576,12050000,7.10139e+07,1.0,30958.641846895218,0.00625904,62.3383110472,0.603503,,100,500.0,0.06759774684906006,0.941718794405,63.526729583740234,0.00907461,24100
0.00649583,174.989520833,12100000,9.8165,1.0,31246.56620502472,0.00649583,62.6625383583,0.59595,,100,500.0,0.026415841653943062,0.935343839228,63.31309509277344,0.00919525,24200
0.00761709,176.375618872,12150000,17.9806,1.0,31517.7332303524,0.00761709,62.8151649642,0.575261,,100,500.0,0.10210234671831131,0.91747918725,63.237247467041016,0.00918026,24300
0.00603278,171.894723411,12200000,3481.97,1.0,31870.687391996384,0.00603278,62.1361037553,0.565935,,100,500.0,0.21551834046840668,0.926903173327,63.72871398925781,0.00878587,24400
0.00841816,174.582250604,12250000,4.21189,1.0,32146.990648031235,0.00841816,62.5773020238,0.56764,,100,500.0,0.030782591551542282,0.925257667899,63.20143508911133,0.00971694,24500
0.00712683,175.782626813,12300000,22685.1,1.0,32546.148341417313,0.00712683,62.5657824512,0.560127,,100,500.0,0.19347068667411804,0.921160914004,64.0283432006836,0.0090399,24600
0.0085498,174.185508914,12350000,6.79569e+11,1.0,32909.0711209774,0.0085498,62.362867409,0.540715,,100,500.0,0.07853783667087555,0.925083659589,64.13385009765625,0.00941402,24700
0.00576818,170.083643447,12400000,14.8017,1.0,33226.12558889389,0.00576818,62.0650087402,0.552016,,100,500.0,0.02854740247130394,0.933192692697,63.028594970703125,0.00934496,24800
0.00805846,170.154197053,12450000,45.2135,1.0,33590.33343219757,0.00805846,62.1319328156,0.61156,,100,500.0,0.05770242586731911,0.933648757637,63.490447998046875,0.00894476,24900
0.00793454,168.833034956,12500000,4.21676e+07,1.0,33917.66499066353,0.00793454,61.8389416309,0.59767,,100,500.0,0.011703799478709698,0.942360009998,63.22917938232422,0.00906539,25000
0.0110668,174.83213314,12550000,8.8046,1.0,34280.4926097393,0.0110668,62.6252156206,0.623095,,100,500.0,0.0349760465323925,0.92325822264,63.3337287902832,0.00874189,25100
0.0072018,172.938069992,12600000,inf,1.0,34619.19890809059,0.0072018,62.3477559281,0.624075,,100,500.0,0.02616182528436184,0.928501695395,64.0534896850586,0.00904678,25200
0.00786714,170.473976465,12650000,2.37712,1.0,34964.42589688301,0.00786714,62.0388212119,0.617203,,100,500.0,0.1945953518152237,0.930518530309,63.612060546875,0.0102691,25300
0.0084919,168.261794556,12700000,27.0758,1.0,35332.95304656029,0.0084919,61.8216671915,0.615296,,100,500.0,0.026707729324698448,0.937330260873,63.1407585144043,0.00774048,25400
0.00698431,164.556742532,12750000,67.0941,1.0,35680.56407761574,0.00698431,61.2185810439,0.597184,,100,500.0,0.21991375088691711,0.938542313874,63.61333465576172,0.00871067,25500
0.00711898,168.097377931,12800000,191.44,1.0,35991.282746315,0.00711898,61.6918506739,0.606752,,100,500.0,0.38171687722206116,0.936304539442,64.0600814819336,0.00840882,25600
0.0112282,173.345542976,12850000,5552.36,1.0,36324.13582754135,0.0112282,62.3895364325,0.609926,,100,500.0,0.001886311685666442,0.923709891737,64.52546691894531,0.00886442,25700
0.00862189,174.570051853,12900000,55.0458,1.0,36697.14992284775,0.00862189,62.6354353038,0.609078,,100,500.0,0.13656283915042877,0.918538019061,64.06248474121094,0.00890924,25800
0.00715224,173.055560677,12950000,3.76153e+31,1.0,37022.11780452728,0.00715224,62.270101062,0.600652,,100,500.0,0.0488101951777935,0.924800097942,62.945308685302734,0.00860722,25900
0.00826228,171.421940167,13000000,17.9628,1.0,37386.7753572464,0.00826228,62.1204919166,0.590397,,100,500.0,0.013396400958299637,0.933236807585,63.735679626464844,0.00955026,26000
0.00949228,171.523816056,13050000,272.437,1.0,37800.344383239746,0.00949228,62.1714155291,0.601381,,100,500.0,0.03928939998149872,0.922609291971,63.51091766357422,0.00886686,26100
0.00656952,171.230476389,13100000,296.972,1.0,38190.05434513092,0.00656952,61.9848182456,0.616211,,100,500.0,0.07529062032699585,0.932664312422,64.26297760009766,0.00897838,26200
0.00826112,170.582055935,13150000,3.4924,1.0,38680.79184484482,0.00826112,62.2833302522,0.610108,,100,500.0,0.018140172585844994,0.937299609184,63.55336380004883,0.0100936,26300
0.00638881,170.324673836,13200000,inf,1.0,39095.63217020035,0.00638881,62.1825593503,0.583431,,100,500.0,0.08938707411289215,0.933273993433,63.693115234375,0.00993108,26400
0.0082024,172.523113994,13250000,52.4401,1.0,39544.513060331345,0.0082024,62.1511515489,0.602038,,100,500.0,0.021954527124762535,0.928971000016,63.65591812133789,0.00890504,26500
0.00459003,171.036755358,13300000,904021.0,1.0,40018.25003385544,0.00459003,62.2841335407,0.604737,,100,500.0,0.050069019198417664,0.930078074336,63.31649398803711,0.00883663,26600
0.00841895,171.351298868,13350000,12845.5,1.0,40504.92131447792,0.00841895,62.2777794847,0.588186,,100,500.0,0.08326015621423721,0.922733068466,63.89585494995117,0.00916115,26700
0.00494866,172.857475979,13400000,5335.09,1.0,40945.11910176277,0.00494866,62.4075099356,0.570246,,100,500.0,0.044450949877500534,0.917325183749,63.657203674316406,0.00882804,26800
0.00862405,173.146977893,13450000,8.03098,1.0,41472.85308480263,0.00862405,62.4163307649,0.561528,,100,500.0,0.012874850071966648,0.92262172699,63.57791519165039,0.00952296,26900
0.00889,175.812570049,13500000,16.4189,1.0,41889.35067367554,0.00889,62.8075019054,0.563704,,100,500.0,0.01971295289695263,0.92036665231,64.47406005859375,0.00968344,27000
0.00817651,172.085312253,13550000,7.95125e+14,1.0,42268.08758044243,0.00817651,62.3707271575,0.579277,,100,500.0,0.02328423410654068,0.925931721926,63.19990158081055,0.0104519,27100
0.00648767,174.74791531,13600000,8.09542,1.0,42561.46752953529,0.00648767,62.535371619,0.582048,,100,500.0,0.036652494221925735,0.920151807368,63.11174774169922,0.010456,27200
0.00719542,171.010792172,13650000,134595.0,1.0,42836.295030117035,0.00719542,62.2297097631,0.581303,,100,500.0,0.07894326746463776,0.930457480252,63.69444274902344,0.00899865,27300
0.00825703,174.076751263,13700000,3.4799,1.0,43042.38403916359,0.00825703,62.4855857772,0.574467,,100,500.0,0.03807080537080765,0.926601067185,63.216861724853516,0.00907668,27400
0.00621009,174.158294057,13750000,297466.0,1.0,43248.34459543228,0.00621009,62.3785391381,0.559991,,100,500.0,0.041774049401283264,0.914247982204,64.43065643310547,0.00847528,27500
0.0132695,171.943159465,13800000,105145.0,1.0,43453.8894507885,0.0132695,62.1398781333,0.562677,,100,500.0,0.05103845149278641,0.920973695815,63.343170166015625,0.00991848,27600
