WReturnMean,InitialReturnMean,MaxIW,ReturnMeanIW,StdWReturnMean,MeanEntropy,InitialReturnMax,Iteration,MeanIW,Epsilon,InitialReturnStd,EmpiricalD2Arithmetic,OptimizationReturnMean,EpisodesSoFar,ESSRenyiHarmonic,EmpiricalD2Harmonic,InitialReturnMin,OptimizationReturnMax,ESSRenyiArithmetic,OptimizationReturnMin,InitialBound,MinTargetPdf,VarianceInitializer,Penalization,DivergenceHarmonic,TimeElapsed,EpLenMean,MinIW,LearnableVariance,TimestepsSoFar,StdIW,Weights,Bound,Inner Iteration,MinBehavPdf,EpThisIter,ReturnStepMax,MeanD2-0,ReturnStepMaxmin,EpRewMean
1780036.4,1039.2811,10306968.0,994831430000.0,,0.4189424,4979.1357,25,509736.7,1e-07,836.6188,1.0,1039.2811,1250,50.0,1.0,,4979.1357,50.0,,-3804288.5,-197.13104,-1.0,True,3.4358654e+34,65.78542733192444,104.96,0.03944631,,80278,1636405.1,[-0.086  0.25  -1.023 -1.621],-3.7521517e+23,1,-197.13104,50,10.0,1.0,10.0,1039.2811874232714
1790897.9,1121.9324,20.207272,6292143.0,,0.4189424,2819.6338,26,2.7023745,1e-07,729.4969,1.0,832.1222,1300,50.0,1.0,289.81015,2529.8237,50.0,,-2440043.8,-131.48245,-1.0,True,64163220000000.0,69.68021249771118,113.24,0.024578411,,85940,2.832484,[ 0.002  0.337 -1.029 -1.607],-5199760500000.0,1,-131.48245,50,10.0,1.0,10.0,1121.932338830394
1863470.6,1193.2863,4782.566,413908220.0,,0.4189424,2878.8252,27,148.89447,1e-07,662.97705,1.0,923.5364,1350,50.0,1.0,269.74988,2609.0752,50.0,,-2540157.2,-120.0495,-1.0,True,3248640500.0,75.0543646812439,120.38,0.19326629,,91959,680.0466,[-0.06   0.345 -1.033 -1.61 ],-38982676000.0,1,-120.0495,50,9.999999,1.0,9.999999,1193.2862912217768
1750052.6,1035.1179,63.80054,34151960.0,,0.4189424,4938.0625,28,3.8940003,1e-07,823.7616,1.0,1025.1371,1400,50.0,1.0,9.980858,4928.0815,50.0,,-3741046.5,-205.24901,-1.0,True,4.4634898e+20,79.16710352897644,104.56,0.3286423,,97187,8.65904,[-0.009  0.372 -1.048 -1.632],-4.206344e+16,1,-205.24901,50,10.0,1.0,10.0,1035.1179880697841
3087448.8,1466.2686,5770.681,229896420.0,,0.4189424,3928.1548,29,233.16934,1e-07,968.2482,1.0,1426.3242,1450,50.0,1.0,39.94461,3888.2102,50.0,,-4347345.0,-148.25009,-1.0,True,197499810000.0,84.5758125782013,147.68,0.08647378,,104571,898.7153,[-0.068  0.359 -1.063 -1.64 ],-560135700000.0,1,-148.25009,50,9.999999,1.0,9.999999,1466.2688189937905
2206220.5,1227.9175,24.620205,12400650.0,,0.4189424,3129.3345,30,3.1207209,1e-07,835.7268,1.0,1217.9359,1500,50.0,1.0,9.981555,3119.353,50.0,,-3005799.0,-133.75575,-1.0,True,5.1570758e+17,88.8640124797821,123.84,0.28627756,,110763,3.7219303,[-0.025  0.403 -1.07  -1.639],-574195900000000.0,1,-133.75575,50,9.999999,1.0,9.999999,1227.9174480706833
2536193.8,1346.7189,5697.318,591242240.0,,0.4189424,4478.803,31,180.33385,1e-07,850.02454,1.0,1316.7711,1550,50.0,1.0,29.947899,4448.8555,50.0,,-4174071.0,-189.64447,-1.0,True,4972818400000000.0,93.81116700172424,135.72,0.029872455,,117549,804.8295,[-0.086  0.408 -1.078 -1.644],-115499960000000.0,1,-189.64447,50,10.0,1.0,10.0,1346.7189243027915
1987715.4,1216.6279,792.52515,93854050.0,,0.4189424,3528.8555,32,65.28508,1e-07,712.4126,1.0,1186.6809,1600,50.0,1.0,29.94709,3498.9084,50.0,,-3004490.5,-147.85106,-1.0,True,27605373000.0,98.97373723983765,122.7,0.13781883,,123684,147.58777,[-0.089  0.328 -1.099 -1.737],-169028570000.0,1,-147.85106,50,10.0,1.0,10.0,1216.6279645845382
2644775.0,1323.0715,39711.402,3226343200.0,,0.4189424,4788.888,33,1381.6097,1e-07,945.65125,1.0,1313.09,1650,50.0,1.0,9.981647,4778.9067,50.0,,-4517296.5,-200.65146,-1.0,True,1.4320723e+18,104.4962260723114,133.36,0.14576517,,130352,5863.4453,[-0.035  0.358 -1.107 -1.745],-2240819500000000.0,1,-200.65146,50,10.0,1.0,10.0,1323.0716147507278
3655390.8,1710.1719,34905.633,3095454700.0,,0.4189424,3539.0234,34,767.57947,1e-07,854.8114,1.0,1670.2484,1700,50.0,1.0,39.923595,3499.0999,50.0,,-4678036.0,-146.2858,-1.0,True,1673514000000.0,111.58261489868164,172.08,0.18295188,,138956,4881.859,[-0.085  0.466 -1.141 -1.731],-1326022700000.0,1,-146.2858,50,10.0,1.0,10.0,1710.1720074017742
3106417.0,1404.0331,110755.66,28414583000.0,,0.4189424,4868.802,35,2249.0862,1e-07,1065.4147,1.0,1394.0472,1750,50.0,1.0,9.98582,4858.816,50.0,,-5041955.0,-159.30318,-1.0,True,3.791359e+17,117.41588187217712,141.46,0.40425235,,146029,15501.986,[-0.035  0.504 -1.147 -1.733],-1191808200000000.0,1,-159.30318,50,10.0,1.0,10.0,1404.0330471562886
4601282.5,1877.9246,2012.1295,685642400.0,,0.4189424,4998.799,36,101.62451,1e-07,1036.669,1.0,1827.9879,1800,50.0,1.0,49.936546,4948.8623,50.0,,-6641562.5,-211.00725,-1.0,True,3322624300000.0,124.68377327919006,188.84,0.11423882,,155471,339.0653,[-0.089  0.484 -1.171 -1.742],-3719687000000.0,1,-211.00725,50,9.999999,1.0,9.999999,1877.9244303758212
4543351.0,1726.3374,589.2468,239467550.0,,0.4189424,4999.02,37,23.479246,1e-07,1250.2444,1.0,1726.3374,1850,50.0,1.0,,4999.02,50.0,,-6583810.0,-219.72243,-1.0,True,1.0614162e+19,131.40801787376404,173.64,0.19229153,,164153,90.67909,[-0.029  0.47  -1.181 -1.751],-6647632300000000.0,1,-219.72243,50,10.0,1.0,10.0,1726.3373266400047
3137573.0,1593.2467,70.35081,41135332.0,,0.4189424,3859.2798,38,8.864893,1e-07,774.04004,1.0,1273.4896,1900,50.0,1.0,319.75705,3539.5227,50.0,,-4353676.0,-152.51195,-1.0,True,242701520.0,137.93188548088074,160.38,0.40922043,,172172,13.501602,[-0.085  0.457 -1.198 -1.768],-18986508000.0,1,-152.51195,50,10.0,1.0,10.0,1593.2466885607212
1866430.1,1263.1996,506.03622,87980460.0,,0.4189424,2718.8071,39,38.74443,1e-07,520.34314,1.0,1263.1996,1950,50.0,1.0,,2718.8071,50.0,,-2469981.2,-118.71092,-1.0,True,205471680.0,142.56742882728577,127.36,0.09420286,,178540,100.72221,[-0.13   0.427 -1.21  -1.738],-8739396000.0,1,-118.71092,50,10.0,1.0,10.0,1263.1995941148284
1512741.9,1158.1312,25258226.0,2117003000000.0,,0.4189424,2309.2534,40,699862.2,1e-07,414.094,1.0,1068.2687,2000,50.0,1.0,89.86253,2219.3909,50.0,,-1948153.5,-113.08602,-1.0,True,1.579678e+26,147.67212581634521,116.84,0.5935029,,184382,3590826.2,[-0.187  0.417 -1.218 -1.761],-5.472453e+18,1,-113.08602,50,9.999999,1.0,9.999999,1158.131247363023
620241.7,750.2059,22521764.0,448374600000.0,,0.4189424,1429.697,41,1029906.0,1e-07,239.65154,1.0,310.38538,2050,50.0,1.0,439.82053,989.87646,50.0,,-787137.0,-66.68158,-1.0,True,6.1351924e+21,151.22927331924438,76.04,0.7040282,,188184,4126501.0,[-0.282  0.348 -1.224 -1.803],-1.3072884e+16,1,-66.68158,50,10.0,1.0,10.0,750.2059038675367
483570.5,623.1591,4717.5166,93115430.0,,0.4189424,2099.6868,42,241.62056,1e-07,308.615,1.0,263.55032,2100,50.0,1.0,359.60886,1740.0779,50.0,,-843539.25,-93.31685,-1.0,True,753982700000.0,154.04912114143372,63.34,0.12152962,,191351,805.40424,[-0.383  0.275 -1.217 -1.812],-312660800000.0,1,-93.31685,50,9.999998,1.0,9.999998,623.159154063695
