EpLenMean,StdIW,MinBehavPdf,Penalization,MeanIW,DivergenceHarmonic,TimestepsSoFar,ESSRenyiArithmetic,MinTargetPdf,MinIW,OptimizationReturnMax,WReturnMean,TimeElapsed,InitialReturnMean,InitialReturnStd,MeanEntropy,MeanD2-0,Bound,InitialReturnMax,VarianceInitializer,ReturnMeanIW,Iteration,Epsilon,EmpiricalD2Arithmetic,EpisodesSoFar,ESSRenyiHarmonic,InitialReturnMin,StdWReturnMean,MaxIW,OptimizationReturnMin,EpThisIter,OptimizationReturnMean,InitialBound,EmpiricalD2Harmonic,EpRewMean,ReturnStepMax,Inner Iteration,Weights,LearnableVariance,ReturnStepMaxmin
43.04,45.337185,-54.98251,True,21.777878,25585095000.0,19355,50.0,-54.98251,0.15531307,1099.7101,231890.81,23.483776330947876,420.1993,235.20932,0.4189424,1.0,-16087049000.0,1109.6909,-1.0,4610332.5,11,1.0,1.0,550,50.0,9.9808035,,266.95242,,50,410.21848,-332435.56,1.0,420.1992571293207,10.0,1,[-0.009  0.341 -0.482 -1.186],,10.0
47.86,3315.5813,-64.771576,True,476.21585,3.1955316e+23,21748,50.0,-64.771576,0.0047528697,1419.5509,334989.38,25.85265588760376,468.39243,339.99695,0.4189424,1.0,-9.4322155e+16,1429.532,-1.0,648920600.0,12,1.0,1.0,600,50.0,9.981087,,23685.277,,50,458.41132,-501845.9,1.0,468.3924128297216,10.0,1,[-0.045  0.244 -0.497 -1.254],,10.0
55.64,15753.008,-69.230354,True,3545.1711,4.735383e+24,24530,50.0,-69.230354,0.13969202,1649.235,426401.8,27.12329912185669,546.13446,357.96503,0.4189424,1.0,-4.9505013e+17,1669.2009,-1.0,6198020600.0,13,1.0,1.0,650,50.0,19.965885,,107609.64,,50,526.1685,-653897.4,1.0,546.134430350401,10.0,1,[-0.142  0.311 -0.523 -1.223],,10.0
52.96,283.6085,-52.931175,True,119.81432,2941150000000.0,27178,50.0,-52.931175,0.037554596,1119.7675,338615.12,29.792463779449463,519.37866,262.41376,0.4189424,1.0,-178756290000.0,1129.7479,-1.0,35100550.0,14,1.0,1.0,700,50.0,9.980525,,1486.9318,,50,509.39804,-442827.34,1.0,519.3786258182594,10.0,1,[-0.251  0.259 -0.542 -1.249],,10.0
69.88,29348.453,-82.485695,True,8761.957,1.6845332e+34,30672,50.0,-82.485695,0.017884124,2109.696,607539.94,32.016289710998535,688.55725,365.27908,0.4189424,1.0,-4.8515275e+22,2139.6472,-1.0,5902262300.0,15,1.0,1.0,750,50.0,29.951172,,152223.55,,50,658.6061,-981340.9,1.0,688.5573049893476,10.0,1,[-0.164  0.281 -0.592 -1.477],,10.0
78.0,6.9265556,-100.84856,True,3.077994,103855660.0,34572,50.0,-100.84856,0.039190583,2249.4482,887694.9,34.838568925857544,769.6803,543.4033,0.4189424,1.0,-4289005000.0,2269.4175,-1.0,3536942.0,16,1.0,1.0,800,50.0,19.96914,,44.038185,,50,749.7112,-1308213.2,1.0,769.6802775089433,10.0,1,[-0.049  0.328 -0.597 -1.493],,10.0
78.18,2653.7576,-100.589096,True,401.61383,452524580.0,38481,50.0,-100.589096,0.36677527,2339.179,947210.1,39.156415939331055,771.4691,593.33417,0.4189424,1.0,-10040345000.0,2339.179,-1.0,536434100.0,17,1.0,1.0,850,50.0,,,18967.586,,50,771.4691,-1393979.1,1.0,771.4691844551143,9.999999,1,[-0.104  0.354 -0.607 -1.481],,9.999999
95.16,2843078.8,-83.76779,True,417138.9,3.2740967e+28,43239,50.0,-83.76779,0.25700352,2019.4197,1070300.2,43.576956033706665,941.20874,429.449,0.4189424,1.0,-6.1446656e+19,2039.3843,-1.0,389909000000.0,18,1.0,1.0,900,50.0,19.964617,,20315384.0,,50,921.2441,-1409890.0,1.0,941.2087032916794,10.0,1,[-0.169  0.45  -0.651 -1.499],,10.0
81.32,49562.543,-99.52608,True,20974.64,5.08814e+23,47305,50.0,-99.52608,0.25783822,2339.6611,828426.4,47.031654596328735,802.93805,428.62216,0.4189424,1.0,-3.2427975e+17,2359.625,-1.0,9573827000.0,19,1.0,1.0,950,50.0,19.963879,,247504.89,,50,782.9741,-1283039.8,1.0,802.9379886206905,9.999998,1,[-0.288  0.427 -0.678 -1.509],,9.999998
79.38,198443.5,-123.580795,True,32324.705,1.4972008e+28,51274,50.0,-123.580795,0.60706764,2759.4026,881372.25,51.99587607383728,783.4506,517.27875,0.4189424,1.0,-7.662335e+19,2769.3853,-1.0,33169950000.0,20,1.0,1.0,1000,50.0,9.98255,,1418950.6,,50,773.468,-1507586.4,1.0,783.4506559407049,10.0,1,[-0.172  0.464 -0.7   -1.529],,10.0
88.08,285837.72,-105.630165,True,92195.46,7.474029e+26,55678,50.0,-105.630165,0.5692207,2729.382,1078344.1,54.78587770462036,870.52435,566.1551,0.4189424,1.0,-1.6628782e+19,2729.382,-1.0,74122950000.0,21,1.0,1.0,1050,50.0,,,1647695.1,,50,870.52435,-1686598.2,1.0,870.5243275847129,10.0,1,[-0.227  0.396 -0.769 -1.753],,10.0
102.2,138575.61,-125.929726,True,20003.566,2.1577644e+22,60788,50.0,-125.929726,0.24825588,2639.4485,1325004.8,60.78777551651001,1011.60565,549.23474,0.4189424,1.0,-8.41904e+16,2649.4329,-1.0,69608070000.0,22,1.0,1.0,1100,50.0,9.984493,,990020.56,,50,1001.6211,-1898147.0,1.0,1011.6056716713921,10.0,1,[-0.149  0.493 -0.775 -1.751],,10.0
101.14,29396.256,-131.10703,True,4846.07,7.55065e+21,65845,50.0,-131.10703,0.43247694,2979.2058,1250200.2,65.4641580581665,1001.0546,498.08643,0.4189424,1.0,-6.3394765e+16,2989.1892,-1.0,7330239500.0,23,1.0,1.0,1150,50.0,9.983281,,210329.69,,50,991.0712,-1979764.5,1.0,1001.0545632143428,10.0,1,[-0.26   0.527 -0.791 -1.705],,10.0
71.56,4087.71,-64.07854,True,1009.2134,352644000000.0,69423,50.0,-64.07854,0.03459744,1699.6488,601139.6,70.52093243598938,705.3854,321.82477,0.4189424,1.0,-140343920000.0,1699.6488,-1.0,275251460.0,24,1.0,1.0,1200,50.0,,,28025.86,,50,705.3854,-837010.56,1.0,705.3853706608919,10.0,1,[-0.323  0.434 -0.807 -1.757],,10.0
104.42,16894.44,-109.89639,True,4378.1855,6.2786085e+19,74644,50.0,-109.89639,0.22626384,2339.1255,1328636.5,77.0581214427948,1033.8861,509.62347,0.4189424,1.0,-3600619000000000.0,2359.0928,-1.0,8964348000.0,25,1.0,1.0,1250,50.0,19.967304,,100395.86,,50,1013.91876,-1783045.2,1.0,1033.8861107166504,10.0,1,[-0.303  0.548 -0.814 -1.71 ],,10.0
71.72,23959.824,-69.94919,True,7758.3643,1.0830725e+17,78230,50.0,-69.94919,0.7547784,1559.6406,604798.75,80.19449424743652,706.97955,324.00403,0.4189424,1.0,-65369033000000.0,1559.6406,-1.0,5992235000.0,26,1.0,1.0,1300,50.0,,,129932.3,,50,706.97955,-803410.56,1.0,706.9795504024752,10.0,1,[-0.358  0.461 -0.81  -1.781],,10.0
91.06,81879.08,-97.208206,True,17379.53,1.1209669e+24,82783,50.0,-97.208206,0.08528199,2299.0212,943400.25,87.81420731544495,900.2543,364.61288,0.4189424,1.0,-4.7292995e+17,2338.9612,-1.0,14339353000.0,27,1.0,1.0,1350,50.0,39.939842,,576756.1,,50,860.31445,-1390086.4,1.0,900.2542370111687,9.999999,1,[-0.243  0.492 -0.823 -1.746],,9.999999
79.78,179.82133,-65.80023,True,77.5266,172777440000000.0,86772,50.0,-65.80023,0.07393729,1519.7161,714560.2,95.29805898666382,787.5824,307.0408,0.4189424,1.0,-2478741000000.0,1519.7161,-1.0,47902230.0,28,1.0,1.0,1400,50.0,,,1072.1537,,50,787.5824,-903133.9,1.0,787.5824457345602,10.0,1,[-0.354  0.451 -0.805 -1.71 ],,10.0
83.98,189565.89,-81.038414,True,28949.842,1.8717697e+20,90971,50.0,-81.038414,0.24170709,1859.7656,794067.1,100.82861733436584,829.5421,325.4642,0.4189424,1.0,-3947064500000000.0,1879.7312,-1.0,19207315000.0,29,1.0,1.0,1450,50.0,19.965588,,1355636.4,,50,809.57666,-1082568.5,1.0,829.5421558383473,9.999999,1,[-0.46   0.65  -0.833 -1.605],,9.999999
102.42,3092.8506,-105.06004,True,586.2092,4.9933097e+16,96092,50.0,-105.06004,0.047108866,2329.3132,1339509.9,109.93430995941162,1013.83966,558.24646,0.4189424,1.0,-103284180000000.0,2379.2407,-1.0,1999396200.0,30,1.0,1.0,1500,50.0,49.927444,,21752.916,,50,963.9123,-1801713.5,1.0,1013.83969642923,10.0,1,[-0.354  0.716 -0.843 -1.609],,10.0
99.54,3022.2751,-96.74307,True,581.21436,84977680000000.0,101069,50.0,-96.74307,0.10881674,2288.833,1140104.2,119.15870642662048,985.07104,411.9945,0.4189424,1.0,-4012834800000.0,2308.8042,-1.0,648940400.0,31,1.0,1.0,1550,50.0,19.971281,,21312.33,,50,965.0997,-1575346.2,1.0,985.0709867628649,9.999999,1,[-0.376  0.609 -0.863 -1.667],,9.999999
93.06,4865.9795,-133.91736,True,1048.6698,1.470943e+18,105722,50.0,-133.91736,0.21490657,2599.052,1074502.9,127.43211650848389,920.26654,477.08725,0.4189424,1.0,-668933900000000.0,2599.052,-1.0,1412587800.0,32,1.0,1.0,1600,50.0,,,34051.547,,50,920.26654,-1626054.9,1.0,920.2665783456875,9.999999,1,[-0.494  0.64  -0.865 -1.644],,9.999999
91.9,15196.53,-91.62143,True,4564.5347,6.5954954e+17,110317,50.0,-91.62143,0.10908315,2649.1533,1024286.1,137.62379550933838,908.67084,445.64935,0.4189424,1.0,-472410470000000.0,2669.1182,-1.0,6305908000.0,33,1.0,1.0,1650,50.0,19.964756,,75161.48,,50,888.7062,-1605976.8,1.0,908.6708935038246,9.999999,1,[-0.439  0.726 -0.864 -1.571],,9.999999
81.36,38658.52,-90.08909,True,6890.759,1.8316122e+17,114385,50.0,-90.08909,0.016062936,2179.5862,748115.9,146.69558453559875,803.33984,320.56354,0.4189424,1.0,-167533940000000.0,2189.5693,-1.0,5502526500.0,34,1.0,1.0,1700,50.0,9.983175,,275853.72,,50,793.3566,-1139563.5,1.0,803.3398338544574,9.999999,1,[-0.511  0.642 -0.909 -1.609],,9.999999
65.34,5761.444,-69.302,True,1277.7976,3.661143e+16,117652,50.0,-69.302,0.3262067,1189.4656,474132.8,155.57346320152283,643.1739,245.8867,0.4189424,1.0,-22104133000000.0,1189.4656,-1.0,357204740.0,35,1.0,1.0,1750,50.0,,,40347.074,,50,643.1739,-589653.44,1.0,643.1738122970507,9.999998,1,[-0.584  0.551 -0.91  -1.652],,9.999998
80.82,28099.918,-79.43692,True,5394.2544,2.9833125e+17,121693,50.0,-79.43692,0.016051665,1719.649,711133.06,164.77413368225098,797.9581,272.75632,0.4189424,1.0,-136526000000000.0,1749.5983,-1.0,10992785000.0,36,1.0,1.0,1800,50.0,29.949177,,198067.94,,50,768.0089,-961071.4,1.0,797.9580318340198,10.0,1,[-0.475  0.606 -0.914 -1.679],,10.0
72.9,31586.432,-68.177635,True,5564.1157,1682148400000000.0,125338,50.0,-68.177635,0.004457284,1579.6567,603607.6,174.9345464706421,718.7584,294.9474,0.4189424,1.0,-8466834000000.0,1589.6418,-1.0,4598746600.0,37,1.0,1.0,1850,50.0,9.985064,,226247.27,,50,708.7734,-809933.94,1.0,718.7584369712587,10.0,1,[-0.592  0.57  -0.916 -1.653],,10.0
86.1,1131583.5,-75.72337,True,185104.14,1.6126466e+28,129643,50.0,-75.72337,0.087209865,1569.4856,824977.5,184.94039678573608,850.7296,318.17722,0.4189424,1.0,-2.652493e+19,1599.4297,-1.0,89868310000.0,38,1.0,1.0,1900,50.0,29.944094,,8061259.0,,50,820.7855,-1033852.56,1.0,850.7295847543293,10.0,1,[-0.539  0.676 -0.929 -1.614],,10.0
74.02,175275.23,-83.49153,True,25736.064,4.3952335e+21,133344,50.0,-83.49153,0.21117644,1729.2992,671521.94,194.12184619903564,729.92773,372.46146,0.4189424,1.0,-1.6187733e+16,1729.2992,-1.0,13810379000.0,39,1.0,1.0,1950,50.0,,,1252534.9,,50,729.92773,-915694.25,1.0,729.9276746133936,9.999999,1,[-0.59   0.873 -0.94  -1.47 ],,9.999999
105.88,1514332.1,-121.44328,True,248784.4,5.3277404e+20,138638,50.0,-121.44328,0.07196766,2509.422,1288685.4,208.01928758621216,1048.4265,435.30127,0.4189424,1.0,-1.6391782e+16,2949.1553,-1.0,189185330000.0,40,1.0,1.0,2000,50.0,439.7331,,10800208.0,,50,608.6934,-1998838.5,1.0,1048.4265627377524,9.999999,1,[-0.465  0.789 -0.992 -1.662],,9.999999
109.5,628.1229,-127.05716,True,162.45325,190337470000000.0,144113,50.0,-127.05716,0.20940599,3058.5227,1584507.1,215.7385377883911,1084.5773,638.90466,0.4189424,1.0,-11668610000000.0,3218.444,-1.0,286268300.0,41,1.0,1.0,2050,50.0,159.92128,,3472.1948,,50,924.656,-2430270.5,1.0,1084.577268012724,10.0,1,[-0.361  0.844 -1.016 -1.697],,10.0
103.38,13540.037,-133.39969,True,2821.979,5.1333455e+24,149282,50.0,-133.39969,0.019061241,3438.1475,1536553.4,230.03816723823547,1023.3963,699.4379,0.4189424,1.0,-2.1867725e+18,3438.1475,-1.0,11395550000.0,42,1.0,1.0,2100,50.0,,,82880.04,,50,1023.3963,-2501727.5,1.0,1023.396341451566,10.0,1,[-0.257  0.795 -1.033 -1.743],,10.0
105.66,770386.5,-136.72882,True,199350.34,1.521467e+24,154565,50.0,-136.72882,0.044669375,3049.1975,1373789.4,243.26593041419983,1046.2731,528.30133,0.4189424,1.0,-9.3639e+17,3049.1975,-1.0,165116130000.0,43,1.0,1.0,2150,50.0,,,5205435.0,,50,1046.2731,-2132940.0,1.0,1046.2729762528024,10.0,1,[-0.334  0.706 -1.047 -1.784],,10.0
110.64,320.12445,-129.5839,True,50.427036,704760060.0,160097,50.0,-129.5839,0.036052305,3019.204,1724943.1,258.8487231731415,1095.971,723.734,0.4189424,1.0,-19914934000.0,3019.204,-1.0,156163170.0,44,1.0,1.0,2200,50.0,,,2290.2578,,50,1095.971,-2469232.5,1.0,1095.9709677065155,10.0,1,[-0.238  0.785 -1.061 -1.776],,10.0
117.84,4274.0747,-99.05919,True,1038.3661,3.6544336e+20,165989,50.0,-99.05919,0.009905377,2579.576,1724704.2,275.44786262512207,1167.9861,600.4271,0.4189424,1.0,-1.0466842e+16,2589.5574,-1.0,2954968800.0,45,1.0,1.0,2250,50.0,9.981459,,28382.84,,50,1158.0046,-2272234.2,1.0,1167.986135145485,10.0,1,[-0.299  0.772 -1.067 -1.769],,10.0
116.66,130583.11,-113.60991,True,29491.865,1.4018429e+24,171822,50.0,-113.60991,0.22667508,2539.5156,1570828.2,289.62481570243835,1156.2292,483.69604,0.4189424,1.0,-7.2545654e+17,2739.3887,-1.0,85554700000.0,46,1.0,1.0,2300,50.0,199.87299,,918642.06,,50,956.3563,-2183551.5,1.0,1156.2293230048783,10.0,1,[-0.397  0.809 -1.08  -1.703],,10.0
112.62,1140.8988,-114.930244,True,277.06085,6785748000.0,177453,50.0,-114.930244,0.36939818,2799.1624,1756071.5,306.93839144706726,1115.7557,714.955,0.4189424,1.0,-54859203000.0,2839.1057,-1.0,644590400.0,47,1.0,1.0,2350,50.0,39.94336,,7154.876,,50,1075.8124,-2414214.2,1.0,1115.7557713958008,10.0,1,[-0.278  0.838 -1.091 -1.723],,10.0
130.96,76.818985,-146.39693,True,28.392717,2102719600000000.0,184001,50.0,-146.39693,0.0580367,3188.331,2164871.2,323.3392825126648,1299.1902,690.6344,0.4189424,1.0,-38299138000000.0,3198.317,-1.0,85931096.0,48,1.0,1.0,2400,50.0,9.985848,,414.29605,,50,1289.2043,-3000090.5,1.0,1299.190252655764,10.0,1,[-0.257  0.734 -1.123 -1.78 ],,10.0
159.32,82671530.0,-129.62445,True,12883410.0,6.2257134e+34,191967,50.0,-129.62445,0.26555648,3089.7947,3022057.2,342.3462839126587,1582.6206,719.2843,0.4189424,1.0,-2.2721222e+23,3339.5762,-1.0,54298654000000.0,49,1.0,1.0,2450,50.0,249.78142,,590837760.0,,50,1332.8391,-3932684.5,1.0,1582.62049893372,10.0,1,[-0.209  0.662 -1.149 -1.867],,10.0
130.38,6.147965,-173.73383,True,3.5525165,57678365000.0,198486,50.0,-173.73383,0.31399247,3768.127,2411479.8,361.6979148387909,1293.2628,859.62274,0.4189424,1.0,-279917000000.0,3778.108,-1.0,12700782.0,50,1.0,1.0,2500,50.0,9.981024,,39.048725,,50,1283.2819,-3576963.0,1.0,1293.2628239994656,10.0,1,[-0.116  0.741 -1.171 -1.881],,10.0
158.9,7378782.5,-164.14108,True,1194601.6,2.9646582e+34,206431,50.0,-164.14108,0.41120625,3659.138,3233303.2,383.70694303512573,1578.399,861.37054,0.4189424,1.0,-1.882345e+23,3659.138,-1.0,6302624000000.0,51,1.0,1.0,2550,50.0,,,52523916.0,,50,1578.399,-4326543.5,1.0,1578.3991667352038,10.0,1,[-0.175  0.723 -1.178 -1.886],,10.0
146.62,135.41113,-220.73656,True,36.255962,2152457500.0,213762,50.0,-220.73656,0.037631746,4979.2417,2685902.5,403.13970470428467,1455.9899,752.3272,0.4189424,1.0,-94801470000.0,4999.207,-1.0,128956240.0,52,1.0,1.0,2600,50.0,19.965256,,958.2242,,50,1436.0245,-4726512.0,1.0,1455.989848835401,10.0,1,[-0.259  0.649 -1.198 -1.938],,10.0
140.72,2562562.0,-162.71782,True,447868.6,7.448105e+26,220798,50.0,-162.71782,0.1358318,3948.9614,2389826.0,424.32212591171265,1396.8583,662.2787,0.4189424,1.0,-3.474906e+19,3948.9614,-1.0,649640800000.0,53,1.0,1.0,2650,50.0,,,18189488.0,,50,1396.8583,-3663104.0,1.0,1396.8583130211819,10.0,1,[-0.308  0.721 -1.218 -1.851],,10.0
134.54,24.976889,-158.57574,True,11.318123,634855800.0,227525,50.0,-158.57574,0.12870505,3849.02,2728064.2,440.06582617759705,1334.893,972.68964,0.4189424,1.0,-30690632000.0,3859.0005,-1.0,53959050.0,54,1.0,1.0,2700,50.0,9.980561,,130.18712,,50,1324.9124,-3943990.0,1.0,1334.892902139989,10.0,1,[-0.22   0.801 -1.228 -1.812],,10.0
147.36,7496163300.0,-97.87819,True,1072298200.0,2.396463e+36,234893,50.0,-97.87819,0.07433775,1809.9291,2349544.0,462.0861802101135,1463.1403,456.90756,0.4189424,1.0,-7.897278e+23,2499.5903,-1.0,4545001000000000.0,55,1.0,1.0,2750,50.0,689.66125,,53545435000.0,,50,773.479,-2859691.0,1.0,1463.1402503207053,9.999999,1,[-0.278  0.779 -1.24  -1.808],,9.999999
152.98,12530018.0,-184.00195,True,2309827.5,1.4078094e+33,242542,50.0,-184.00195,0.08596004,3969.4985,2857141.5,484.842814207077,1519.4086,740.63434,0.4189424,1.0,-4.9987204e+22,4039.3945,-1.0,4540178400000.0,56,1.0,1.0,2800,50.0,69.89603,,89270560.0,,50,1449.5125,-4189405.0,1.0,1519.4085205120398,9.999999,1,[-0.262  0.654 -1.291 -2.018],,9.999999
184.34,103.28942,-218.09555,True,51.55938,2204284200000.0,251759,50.0,-218.09555,0.30100676,4677.8257,4266175.5,512.791510105133,1832.7206,952.5286,0.4189424,1.0,-2955641600000.0,4937.5996,-1.0,216681100.0,57,1.0,1.0,2850,50.0,259.7738,,514.98645,,50,1572.9469,-6256804.0,1.0,1832.7206251406471,10.0,1,[-0.146  0.701 -1.298 -2.011],,10.0
210.22,585.45844,-217.62599,True,120.994835,35314210000.0,262270,50.0,-217.62599,0.030147202,4998.8213,5718114.0,537.6137216091156,2091.8984,1158.4796,0.4189424,1.0,-384660870000.0,4998.8213,-1.0,1250078600.0,58,1.0,1.0,2900,50.0,,,4074.735,,50,2091.8984,-7758414.0,1.0,2091.898496267167,10.0,1,[-0.089  0.678 -1.299 -2.019],,10.0
232.26,1519.2023,-200.18304,True,316.11975,56752340000.0,273883,50.0,-200.18304,0.32038093,4988.8657,6494574.0,562.5373480319977,2312.0193,1071.9802,0.4189424,1.0,-491291480000.0,4998.8467,-1.0,5235956000.0,59,1.0,1.0,2950,50.0,9.981051,,10106.633,,50,2302.038,-8534898.0,1.0,2312.019152829211,10.0,1,[-0.14   0.7   -1.313 -1.996],,10.0
209.02,618.2896,-192.14572,True,237.10175,3156559800000.0,284334,50.0,-192.14572,0.059939317,4719.4727,5320028.0,590.1462876796722,2080.0469,996.7109,0.4189424,1.0,-3626147000000.0,4999.341,-1.0,488895170.0,60,1.0,1.0,3000,50.0,279.8682,,3509.5608,,50,1800.1787,-7360751.5,1.0,2080.046977369673,10.0,1,[-0.173  0.662 -1.402 -2.068],,10.0
248.08,1166.071,-212.84329,True,559.88806,1.7113723e+17,296738,50.0,-212.84329,0.16965267,4968.691,7543674.5,625.4446864128113,2470.4426,1200.245,0.4189424,1.0,-843981740000000.0,4998.6426,-1.0,4328803300.0,61,1.0,1.0,3050,50.0,29.951756,,5685.16,,50,2440.4912,-9583834.0,1.0,2470.442673821358,10.0,1,[-0.111  0.671 -1.404 -2.072],,10.0
224.8,24234118.0,-215.6711,True,3511823.2,1.2289084e+31,307978,50.0,-215.6711,0.19299702,4999.052,7316861.5,657.1317539215088,2238.1409,1519.0745,0.4189424,1.0,-7.1530194e+21,4999.052,-1.0,29019177000000.0,62,1.0,1.0,3100,50.0,,,173144140.0,,50,2238.1409,-9357352.0,1.0,2238.1408639833912,10.0,1,[-0.05   0.683 -1.406 -2.063],,10.0
196.4,7884.826,-232.03107,True,1513.0703,5.174618e+21,317798,50.0,-232.03107,0.010932763,4989.139,5767940.0,682.0711867809296,1953.8413,1396.5831,0.4189424,1.0,-1.4678475e+17,4999.121,-1.0,26202487000.0,63,1.0,1.0,3150,50.0,9.981743,,56046.08,,50,1943.8595,-7808484.0,1.0,1953.841199338939,10.0,1,[-0.029  0.793 -1.43  -2.013],,10.0
125.48,79.487946,-200.55426,True,19.989237,9.79027e+21,324072,50.0,-200.55426,0.0024184517,4968.413,2836553.0,699.2202184200287,1244.5038,1134.7965,0.4189424,1.0,-2.0183982e+17,4998.3604,-1.0,57911850.0,64,1.0,1.0,3200,50.0,29.94723,,530.2567,,50,1214.5565,-4876469.0,1.0,1244.5038571318084,10.0,1,[ 0.007  0.866 -1.481 -1.933],,10.0
157.08,1629.8966,-206.05316,True,316.73376,4.649615e+23,331926,50.0,-206.05316,0.10074543,4999.117,3655092.2,716.485757112503,1560.5836,1104.3873,0.4189424,1.0,-1.391392e+18,4999.117,-1.0,1149512700.0,65,1.0,1.0,3250,50.0,,,11649.361,,50,1560.5836,-5695629.5,1.0,1560.5835407847803,10.0,1,[-0.093  0.933 -1.501 -1.908],,10.0
230.22,1233.2192,-227.87766,True,451.27652,60994773000000.0,343437,50.0,-227.87766,0.12073575,4938.881,7228821.5,743.6682736873627,2292.0159,1405.5195,0.4189424,1.0,-15939582000000.0,4998.7817,-1.0,5428087000.0,66,1.0,1.0,3300,50.0,59.901028,,6898.964,,50,2232.1147,-9269092.0,1.0,2292.015860608089,10.0,1,[-0.127  0.839 -1.518 -1.981],,10.0
