LearnableVariance,TimestepsSoFar,DivergenceHarmonic,ReturnStepMaxmin,OptimizationReturnMax,Inner Iteration,Epsilon,VarianceInitializer,MinIW,EpisodesSoFar,InitialReturnMean,InitialReturnStd,StdWReturnMean,WReturnMean,OptimizationReturnMean,Penalization,MaxIW,EpThisIter,InitialReturnMin,EpLenMean,TimeElapsed,EmpiricalD2Arithmetic,Bound,Weights,ESSRenyiHarmonic,InitialReturnMax,MinBehavPdf,EpRewMean,MeanEntropy,EmpiricalD2Harmonic,OptimizationReturnMin,StdIW,InitialBound,Iteration,ReturnStepMax,MeanD2-0,ReturnMeanIW,MeanIW,ESSRenyiArithmetic,MinTargetPdf
,74470,8.170361e+21,10.0,3539.3489,1,1.0,-1.0,0.005417563,900,1860.4386,965.6887,,4393786.5,1590.5952,True,568373.5,50,269.84335,187.1,40.478662967681885,1.0,-1.070881e+17,[-0.126  0.597 -1.216 -1.812],50.0,3809.1921,-164.41533,1860.43855249311,0.4189424,1.0,,89205.18,-5578529.5,18,10.0,1.0,114360660000.0,18471.123,50.0,-164.41533
,82243,214896840000.0,10.0,4979.3066,1,1.0,-1.0,0.12953846,950,1544.3604,860.5898,,3125663.8,1524.4001,True,1248.7782,50,19.960217,155.46,44.063342571258545,1.0,-946106200000.0,[-0.156  0.482 -1.24  -1.845],50.0,4999.267,-214.52162,1544.3603218567298,0.4189424,1.0,,184.46404,-5166322.5,19,10.0,1.0,125936500.0,68.42161,50.0,-214.52162
,91712,34318320000000.0,9.999999,4998.917,1,1.0,-1.0,0.18819284,1000,1883.4442,1153.4742,,4877864.0,1883.4442,True,325.93478,50,,189.38,49.86898183822632,1.0,-11953004000000.0,[-0.097  0.5   -1.244 -1.855],50.0,4998.917,-180.735,1883.444063412665,0.4189424,1.0,,71.5595,-6918240.5,20,9.999999,1.0,214751020.0,37.59926,50.0,-180.735
,104116,205226900000000.0,10.0,4718.869,1,1.0,-1.0,0.09987681,1050,2470.5635,1328.0681,,7867448.0,2190.7874,True,3888.1396,50,279.77588,248.08,56.234469413757324,1.0,-29229120000000.0,[-0.041  0.486 -1.255 -1.877],50.0,4998.645,-239.7727,2470.563346596953,0.4189424,1.0,,565.69226,-9907609.0,21,10.0,1.0,2668370700.0,135.27118,50.0,-239.7727
,114597,55347474000000.0,10.0,4758.086,1,1.0,-1.0,0.066672035,1100,2085.7654,1030.4355,,5412215.0,1845.9011,True,16844.012,50,239.86441,209.62,63.43364930152893,1.0,-15176390000000.0,[-0.081  0.46  -1.332 -1.964],50.0,4997.95,-243.97398,2085.7654430447424,0.4189424,1.0,,2466.9294,-7451804.0,22,10.0,1.0,2841840000.0,691.40784,50.0,-243.97398
,127371,797755650.0,10.0,4959.143,1,1.0,-1.0,0.22435237,1150,2544.8213,1629.7227,,9132112.0,2504.88,True,289.9057,50,39.94149,255.48,71.85972118377686,1.0,-57847656000.0,[-0.035  0.501 -1.337 -1.951],50.0,4999.0845,-235.1698,2544.8215573826037,0.4189424,1.0,,41.058105,-11172632.0,23,10.0,1.0,214781300.0,12.746744,50.0,-235.1698
,138703,374410720000000.0,10.0,4989.103,1,1.0,-1.0,0.09493592,1200,2256.1277,1358.4979,,6935628.5,2246.1458,True,2370.3071,50,9.981844,226.64,78.82657408714294,1.0,-39484000000000.0,[-0.064  0.456 -1.37  -1.945],50.0,4999.085,-226.62773,2256.1276389132904,0.4189424,1.0,,389.2751,-8976146.0,24,10.0,1.0,1056266400.0,152.89204,50.0,-226.62773
,151536,1.284493e+36,10.0,4969.4736,1,1.0,-1.0,0.13450357,1250,2556.9407,1593.3721,,9076781.0,2526.9915,True,9590014.0,50,29.949461,256.66,87.49840927124023,1.0,-2.3129165e+24,[-0.022  0.493 -1.377 -1.918],50.0,4999.423,-226.1896,2556.940869945685,0.4189424,1.0,,1342504.5,-11117578.0,25,10.0,1.0,4730364000000.0,192519.05,50.0,-226.1896
,161436,8.242871e+26,10.0,4978.1636,1,1.0,-1.0,0.08435404,1300,1969.7915,1077.5952,,5041290.5,1949.8278,True,54968.76,50,19.963772,198.0,96.2295413017273,1.0,-5.856097e+19,[-0.08   0.48  -1.386 -1.931],50.0,4998.1274,-209.13988,1969.791674789685,0.4189424,1.0,,7727.5576,-7081023.5,26,10.0,1.0,29978618000.0,1438.764,50.0,-209.13988
,176236,1.2870757e+27,10.0,4659.7944,1,1.0,-1.0,0.13130362,1350,2951.8787,1682.184,,11543332.0,2612.1753,True,587006.5,50,339.70355,296.0,113.78150534629822,1.0,-7.321654e+19,[-0.028  0.367 -1.393 -1.925],50.0,4999.498,-237.68605,2951.878822679881,0.4189424,1.0,,87727.664,-13584193.0,27,10.0,1.0,110488740000.0,17040.943,50.0,-237.68605
,184636,4.4577955e+30,9.999999,4999.2266,1,1.0,-1.0,0.0781434,1400,1669.7117,1266.9226,,4393030.0,1669.7117,True,16992538.0,50,,168.0,123.15405464172363,1.0,-4.3084404e+21,[ 0.033  0.371 -1.405 -1.932],50.0,4999.2266,-220.73276,1669.7116753414655,0.4189424,1.0,,2793856.8,-6433657.0,28,9.999999,1.0,6706294000000.0,556253.94,50.0,-220.73276
,196798,2.487399e+21,9.999999,4659.335,1,1.0,-1.0,0.021755006,1450,2422.9207,1546.8583,,8263314.5,2083.164,True,415.37213,50,339.75647,243.24,139.70093250274658,1.0,-1.0176752e+17,[-0.018  0.457 -1.424 -1.858],50.0,4999.0913,-241.76569,2422.9206081058906,0.4189424,1.0,,79.19198,-10303840.0,29,9.999999,1.0,389252540.0,21.929924,50.0,-241.76569
,207770,6.6571744e+16,10.0,4559.606,1,1.0,-1.0,0.12850294,1500,2183.8066,1100.355,,5979792.0,1884.0792,True,8615.822,50,299.72742,219.44,159.9869155883789,1.0,-497456840000000.0,[-0.069  0.482 -1.439 -1.878],50.0,4859.3335,-185.4372,2183.806623106985,0.4189424,1.0,,1447.5072,-7907817.0,30,10.0,1.0,3057200400.0,564.7875,50.0,-185.4372
,220034,340855750000.0,10.0,4999.4697,1,1.0,-1.0,0.09101522,1550,2442.971,1449.8619,,8070206.0,2442.971,True,363.16852,50,,245.28,179.846928358078,1.0,-1191630700000.0,[-0.011  0.501 -1.456 -1.885],50.0,4999.4697,-227.07,2442.9708258775295,0.4189424,1.0,,51.045845,-10111040.0,31,10.0,1.0,148525120.0,16.469604,50.0,-227.07
,232263,2256578300.0,10.0,4979.2305,1,1.0,-1.0,0.0010961196,1600,2435.624,1320.9808,,7677254.5,2415.6633,True,344.91827,50,19.960735,244.58,204.71499466896057,1.0,-97134190000.0,[-0.057  0.46  -1.461 -1.898],50.0,4999.1914,-219.04045,2435.6240879895063,0.4189424,1.0,,59.199524,-9717860.0,32,10.0,1.0,199532460.0,25.741888,50.0,-219.04045
,247271,39643040000.0,10.0,4649.6455,1,1.0,-1.0,0.058406275,1650,2992.623,1528.5797,,11292351.0,2642.8892,True,1139.6918,50,349.7345,300.16,239.60247588157654,1.0,-407363900000.0,[-0.02   0.418 -1.467 -1.925],50.0,4999.38,-231.13121,2992.6233732702913,0.4189424,1.0,,216.11314,-13333118.0,33,10.0,1.0,1042083400.0,65.1944,50.0,-231.13121
,259983,1.00796365e+20,10.0,4939.011,1,1.0,-1.0,0.14355457,1700,2532.3232,1204.8152,,7864240.5,2472.4246,True,768538.56,50,59.898636,254.24,269.3938546180725,1.0,-2.04848e+16,[-0.038  0.361 -1.474 -1.943],50.0,4998.9097,-213.97441,2532.3231675311504,0.4189424,1.0,,107573.555,-9904618.0,34,10.0,1.0,203622240000.0,15537.762,50.0,-213.97441
,269252,1771455000000000.0,10.0,3549.721,1,1.0,-1.0,0.18822443,1750,1843.4413,828.07324,,4083980.5,1203.6226,True,8474.937,50,639.8186,185.38,297.0531153678894,1.0,-60319350000000.0,[-0.083  0.356 -1.58  -1.895],50.0,4189.5396,-160.10364,1843.4411829083388,0.4189424,1.0,,1228.2001,-5517128.5,35,10.0,1.0,640034400.0,369.78247,50.0,-160.10364
,286002,8.453791e+28,10.0,4589.489,1,1.0,-1.0,0.10702146,1800,3341.954,1637.4788,,13849996.0,2932.3486,True,590699.4,50,409.60568,335.0,337.53036522865295,1.0,-5.9328416e+20,[-0.024  0.375 -1.582 -1.895],50.0,4999.094,-228.29663,3341.9543540250966,0.4189424,1.0,,105338.9,-15890532.0,36,10.0,1.0,594269960000.0,31829.873,50.0,-228.29663
,299510,159165150000000.0,10.0,4979.364,1,1.0,-1.0,0.27759677,1850,2693.1606,1764.0573,,10365012.0,2673.1975,True,16.072828,50,19.962975,270.16,369.328013420105,1.0,-25745544000000.0,[ 0.038  0.383 -1.584 -1.891],50.0,4999.3267,-252.20647,2693.160636099189,0.4189424,1.0,,3.9932876,-12405731.0,37,10.0,1.0,39233812.0,4.5921097,50.0,-252.20647
,314906,3.741404e+17,10.0,4999.5557,1,1.0,-1.0,0.039387215,1900,3071.3662,1693.6752,,12301826.0,3071.3662,True,226916.28,50,,307.92,411.85697650909424,1.0,-1248432600000000.0,[-0.023  0.385 -1.596 -1.891],50.0,4999.5557,-231.31339,3071.3661523109713,0.4189424,1.0,,33470.895,-14342736.0,38,10.0,1.0,88032440000.0,8177.22,50.0,-231.31339
,327333,51056857000.0,10.0,4978.9766,1,1.0,-1.0,0.22671919,1950,2476.2583,1713.5162,,9067993.0,2456.297,True,3052.9534,50,19.96126,248.54,448.0196659564972,1.0,-462111080000.0,[ 0.028  0.415 -1.604 -1.873],50.0,4998.938,-242.36685,2476.2583465694493,0.4189424,1.0,,426.48172,-11108392.0,39,10.0,1.0,1072903900.0,73.90502,50.0,-242.36685
,342201,495632900.0,10.0,4959.2607,1,1.0,-1.0,0.097119056,2000,2965.0427,1638.1139,,11474895.0,2925.1123,True,767.51495,50,39.93064,297.36,486.29083013534546,1.0,-45730898000.0,[ 0.03   0.355 -1.613 -1.887],50.0,4999.1914,-237.74097,2965.0427226613765,0.4189424,1.0,,109.7629,-13515507.0,40,10.0,1.0,301811700.0,27.159883,50.0,-237.74097
,358384,1.4326625e+26,10.0,4979.3193,1,1.0,-1.0,0.38949603,2050,3228.4468,1600.1216,,12983259.0,3208.4834,True,754456.2,50,19.963802,323.66,523.2080163955688,1.0,-2.4425405e+19,[-0.009  0.4   -1.624 -1.873],50.0,4999.283,-243.67789,3228.44692158503,0.4189424,1.0,,127255.64,-15023948.0,41,10.0,1.0,637564400000.0,29819.287,50.0,-243.67789
,373092,5.002395e+30,10.0,4969.494,1,1.0,-1.0,0.0661214,2100,2933.2075,1619.1418,,11225327.0,2903.26,True,3028980.0,50,29.947395,294.16,561.3301947116852,1.0,-4.5644278e+21,[-0.01   0.276 -1.631 -1.861],50.0,4999.4414,-234.66039,2933.207529149276,0.4189424,1.0,,424676.72,-13266140.0,42,10.0,1.0,1037934130000.0,72109.14,50.0,-234.66039
,384481,2935229300000.0,10.0,4969.3516,1,1.0,-1.0,0.10594483,2150,2267.9644,1442.185,,7223559.5,2238.0117,True,47.29332,50,29.952799,227.78,588.7959685325623,1.0,-3496261000000.0,[ 0.052  0.282 -1.636 -1.86 ],50.0,4999.304,-210.18341,2267.9643763902172,0.4189424,1.0,,9.319019,-9264257.0,43,10.0,1.0,75348140.0,10.815027,50.0,-210.18341
,399619,2.4129413e+30,10.0,4999.325,1,1.0,-1.0,0.035965495,2200,3019.7776,1712.605,,12052072.0,3019.7776,True,1431924.8,50,,302.76,626.6824595928192,1.0,-3.169936e+21,[-0.006  0.267 -1.65  -1.87 ],50.0,4999.325,-260.25446,3019.777605329518,0.4189424,1.0,,254665.44,-14092794.0,44,10.0,1.0,1191811700000.0,74015.51,50.0,-260.25446
,410369,214734780000.0,10.0,4989.2285,1,1.0,-1.0,0.04635994,2250,2139.7517,1363.3494,,6437258.5,2129.7715,True,274.23438,50,9.980225,215.0,653.7413258552551,1.0,-945836500000.0,[ 0.054  0.257 -1.657 -1.885],50.0,4999.209,-238.03874,2139.7517414552262,0.4189424,1.0,,55.736893,-8477876.0,45,10.0,1.0,235006980.0,26.637268,50.0,-238.03874
,426488,8.933281e+17,9.999999,4589.3447,1,1.0,-1.0,0.08691495,2300,3216.623,1744.6665,,13390527.0,2806.7776,True,179.2063,50,409.84586,322.38,697.8180966377258,1.0,-1928676100000000.0,[ 0.028  0.314 -1.664 -1.877],50.0,4999.1904,-235.86841,3216.623202403324,0.4189424,1.0,,33.551685,-15431140.0,46,9.999999,1.0,320478940.0,20.351843,50.0,-235.86841
,441555,7.5342214e+26,10.0,4999.5,1,1.0,-1.0,0.10552152,2350,3004.1475,1313.0974,,10749127.0,3004.1475,True,139071.42,50,,301.34,735.7685651779175,1.0,-5.6017888e+19,[-0.033  0.314 -1.674 -1.876],50.0,4999.5,-236.10362,3004.147562133527,0.4189424,1.0,,20112.17,-12789991.0,47,10.0,1.0,51347070000.0,5739.7056,50.0,-236.10362
,458576,5.3063425e+19,10.0,4639.566,1,1.0,-1.0,0.0037703142,2400,3397.26,1675.9276,,14350106.0,3037.473,True,2659.0166,50,359.7869,340.42,775.8947153091431,1.0,-1.4865505e+16,[ 0.026  0.332 -1.676 -1.871],50.0,4999.353,-238.54807,3397.2595238133135,0.4189424,1.0,,380.50113,-16390855.0,48,10.0,1.0,1602452500.0,90.025986,50.0,-238.54807
,473299,1.8048177e+36,10.0,4979.3613,1,1.0,-1.0,0.0476509,2450,2935.4788,1293.9904,,10291446.0,2915.519,True,39252.645,50,19.959763,294.46,819.6587283611298,1.0,-2.741531e+24,[-0.029  0.304 -1.681 -1.878],50.0,4999.3213,-225.64525,2935.4787410178938,0.4189424,1.0,,5726.465,-12332164.0,49,10.0,1.0,12122508000.0,1613.7085,50.0,-225.64525
,486965,1329128500000.0,10.0,4959.2803,1,1.0,-1.0,0.46086127,2500,2724.8918,1685.8887,,10267256.0,2684.968,True,280.9262,50,39.924046,273.32,852.4705865383148,1.0,-2352765000000.0,[ 0.033  0.308 -1.682 -1.883],50.0,4999.204,-217.61412,2724.891955614425,0.4189424,1.0,,40.193707,-12307875.0,50,10.0,1.0,211028240.0,17.021957,50.0,-217.61412
,504534,116922220000.0,10.0,4989.5234,1,1.0,-1.0,0.11527896,2550,3505.874,1363.5372,,14150386.0,3495.8936,True,72.1137,50,9.980567,351.38,897.1130051612854,1.0,-697975700000.0,[-0.022  0.331 -1.692 -1.898],50.0,4999.504,-233.91818,3505.8741394735466,0.4189424,1.0,,15.141072,-16191258.0,51,10.0,1.0,134300640.0,12.119582,50.0,-233.91818
,523080,4.31868e+29,10.0,4569.674,1,1.0,-1.0,0.04630833,2600,3703.348,1640.3235,,16405445.0,3273.669,True,1796748.5,50,429.6788,370.92,950.0380053520203,1.0,-1.3410885e+21,[ 0.008  0.331 -1.696 -1.889],50.0,4999.3525,-236.02888,3703.347618277925,0.4189424,1.0,,251511.25,-18446196.0,52,10.0,1.0,786486400000.0,37737.4,50.0,-236.02888
,533467,1.1532472e+24,10.0,4699.3916,1,1.0,-1.0,0.5276791,2650,2067.376,1466.7444,,6425382.0,1767.587,True,17341.084,50,299.78888,207.74,980.7609276771545,1.0,-2.1913577e+18,[ 0.066  0.347 -1.709 -1.877],50.0,4999.1807,-207.46753,2067.3758768002285,0.4189424,1.0,,2530.831,-8465975.0,53,10.0,1.0,13106362000.0,765.65314,50.0,-207.46753
,545329,1.2898454e+29,10.0,4969.172,1,1.0,-1.0,0.0233504,2700,2362.0728,1214.1986,,7053665.0,2332.1304,True,9106.65,50,29.942547,237.24,1006.2882254123688,1.0,-7.328403e+20,[-0.046  0.313 -1.739 -1.846],50.0,4999.1143,-216.59987,2362.072663543211,0.4189424,1.0,,1436.0636,-9094206.0,54,10.0,1.0,2451682300.0,522.3088,50.0,-216.59987
,562768,2.7690947e+18,10.0,4989.1675,1,1.0,-1.0,0.034415003,2750,3481.712,1823.4368,,15447241.0,3471.7302,True,251603.05,50,9.981853,348.78,1047.6891300678253,1.0,-3395764600000000.0,[ 0.015  0.319 -1.739 -1.854],50.0,4999.1494,-244.28236,3481.7120871843563,0.4189424,1.0,,36772.35,-17487824.0,55,10.0,1.0,172684210000.0,6991.0225,50.0,-244.28236
,581922,1.4464817e+27,10.0,4999.3813,1,1.0,-1.0,1.0108695,2800,3826.1455,1832.8494,,17998724.0,3826.1455,True,419.7173,50,,383.08,1090.8200902938843,1.0,-7.761459e+19,[ 0.019  0.405 -1.797 -1.925],50.0,4999.3813,-242.14365,3826.145417627633,0.4189424,1.0,,72.67403,-20039498.0,56,10.0,1.0,727354900.0,34.48587,50.0,-242.14365
,596871,5.9534305e+21,10.0,4999.4565,1,1.0,-1.0,0.1628375,2850,2980.3784,1309.4469,,10597306.0,2980.3784,True,14487.249,50,,298.98,1125.9701459407806,1.0,-1.5746487e+17,[-0.043  0.404 -1.804 -1.928],50.0,4999.4565,-239.32912,2980.3783508638026,0.4189424,1.0,,2991.9443,-12638133.0,57,10.0,1.0,15586862000.0,1396.396,50.0,-239.32912
,617985,2.060581e+28,10.0,4679.5503,1,1.0,-1.0,0.3133129,2900,4218.15,1226.5939,,19297322.0,3898.4277,True,1119.3549,50,319.7221,422.28,1177.158319234848,1.0,-2.9292932e+20,[ 0.014  0.399 -1.803 -1.952],50.0,4999.2725,-235.94937,4218.1499951509495,0.4189424,1.0,,203.98026,-21338012.0,58,10.0,1.0,1667072600.0,77.47861,50.0,-235.94937
,631969,4.7685035e+28,10.0,4649.7188,1,1.0,-1.0,0.1635709,2950,2787.3918,1439.2076,,9840872.0,2437.6301,True,131096.81,50,349.76166,279.68,1211.9212539196014,1.0,-4.456513e+20,[-0.046  0.413 -1.807 -1.944],50.0,4999.4805,-225.47234,2787.391780410436,0.4189424,1.0,,23284.709,-11881717.0,59,10.0,1.0,29370536000.0,6423.2036,50.0,-225.47234
,651277,8.3246275e+21,10.0,4989.3374,1,1.0,-1.0,0.5100024,3000,3856.6665,1692.4843,,17738380.0,3846.686,True,493.05594,50,9.9805355,386.16,1249.1367444992065,1.0,-1.8619084e+17,[ 0.014  0.431 -1.808 -1.939],50.0,4999.318,-247.88226,3856.6665048588866,0.4189424,1.0,,85.12482,-19779102.0,60,10.0,1.0,755350100.0,33.3832,50.0,-247.88226
,667099,2.2119098e+27,10.0,4989.2007,1,1.0,-1.0,0.056302406,3050,3155.5159,1415.8871,,11962018.0,3145.5354,True,76130.47,50,9.980905,316.44,1284.5692765712738,1.0,-9.59701e+19,[-0.041  0.412 -1.824 -1.923],50.0,4999.1816,-226.78,3155.516237477192,0.4189424,1.0,,12737.301,-14002623.0,61,10.0,1.0,45160305000.0,4225.1826,50.0,-226.78
,686266,1.7004889e+16,10.0,4659.719,1,1.0,-1.0,0.07969012,3100,3827.525,1565.4913,,17100710.0,3487.7793,True,62413.348,50,339.74567,383.34,1326.2767724990845,1.0,-266143520000000.0,[ 0.012  0.445 -1.825 -1.922],50.0,4999.465,-257.97614,3827.5250741372292,0.4189424,1.0,,8737.403,-19141552.0,62,10.0,1.0,16903702000.0,1441.7367,50.0,-257.97614
,707088,34950428000000.0,10.0,4619.858,1,1.0,-1.0,0.07232268,3150,4160.658,1536.4067,,19671620.0,3780.884,True,163.04474,50,379.77386,416.44,1360.2255618572235,1.0,-12066186000000.0,[ 0.034  0.343 -1.859 -1.861],50.0,4999.632,-264.8034,4160.658195661334,0.4189424,1.0,,30.256529,-21712604.0,63,10.0,1.0,371267300.0,18.755112,50.0,-264.8034
,727269,1368421100.0,10.0,3909.6543,1,1.0,-1.0,0.37914044,3200,4028.5806,1053.4746,,17339274.0,2938.877,True,224.9998,50,1089.7041,403.62,1399.353929758072,1.0,-75738430000.0,[-0.022  0.353 -1.873 -1.839],50.0,4999.3584,-224.0736,4028.5808803549344,0.4189424,1.0,,37.65821,-19380034.0,64,10.0,1.0,247838960.0,20.526438,50.0,-224.0736
,748728,3.6626306e+28,10.0,4999.4272,1,1.0,-1.0,1.0220091,3250,4288.6533,1483.4727,,20593234.0,4288.6533,True,7561.438,50,,429.18,1439.1974630355835,1.0,-3.905633e+20,[ 0.008  0.361 -1.875 -1.836],50.0,4999.4272,-236.18515,4288.653067857142,0.4189424,1.0,,1144.0581,-22634052.0,65,10.0,1.0,7630991000.0,309.85327,50.0,-236.18515
