WReturnMean,ReturnStepMax,Iteration,InitialReturnMax,VarianceInitializer,StdWReturnMean,Epsilon,EpLenMean,ReturnMeanIW,Penalization,OptimizationReturnMin,Weights,MeanEntropy,MinTargetPdf,InitialReturnMin,MeanD2-0,EpisodesSoFar,OptimizationReturnMax,MinBehavPdf,DivergenceHarmonic,MeanIW,EpRewMean,EpThisIter,MinIW,MaxIW,ESSRenyiArithmetic,Bound,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,StdIW,ESSRenyiHarmonic,InitialReturnMean,EmpiricalD2Harmonic,LearnableVariance,OptimizationReturnMean,TimestepsSoFar,TimeElapsed,InitialReturnStd,Inner Iteration
311658.22,9.999999,27,1859.5054,-1.0,,1e-07,47.76,2721886200.0,True,,[-0.242  0.763 -0.992 -1.321],0.4189424,-70.82211,9.983944,1.0,1350,1849.5215,-70.82211,1.400235e+28,4946.708,467.3798838293058,50,0.14919628,120609.984,50.0,-3.3407944e+19,1.0,9.999999,-593983.9,18667.78,50.0,467.37985,1.0,,457.39594,64094,53.56277251243591,305.31015,1
1312795.6,10.0,28,2399.4167,-1.0,,1e-07,102.58,5665359000.0,True,,[-0.249  0.587 -1.004 -1.499],0.4189424,-100.24301,59.913208,1.0,1400,2339.5034,-100.24301,2.301479e+25,11641.37,1015.4263824313007,50,0.13468944,348140.25,50.0,-2.2551179e+18,1.0,10.0,-1782871.6,53171.242,50.0,1015.4264,1.0,,955.5131,69223,57.57081460952759,530.7588,1
1324130.1,10.0,29,3009.0957,-1.0,,1e-07,98.86,7491133000.0,True,,[-0.132  0.595 -1.015 -1.542],0.4189424,-116.35768,9.98285,1.0,1450,2999.1128,-116.35768,1.5866731e+36,1662.8158,978.2211966321983,50,0.0745206,58653.39,50.0,-9.3125815e+23,1.0,10.0,-2063443.6,8498.422,50.0,978.2212,1.0,,968.23834,74166,61.5282621383667,605.9814,1
1438305.2,10.0,30,2149.4912,-1.0,,1e-07,112.52,19173833000.0,True,,[-0.254  0.57  -1.032 -1.542],0.4189424,-91.568375,19.966661,1.0,1500,2129.5247,-91.568375,4.0461584e+31,15074.869,1114.8383096969242,50,0.12413664,269410.16,50.0,-2.3996457e+21,1.0,10.0,-1815554.4,40920.2,50.0,1114.8383,1.0,,1094.8716,79792,65.7431960105896,442.08698,1
1323532.5,9.999999,31,2309.7085,-1.0,,1e-07,108.46,16591721000.0,True,,[-0.218  0.427 -1.122 -1.723],0.4189424,-107.24106,529.7917,1.0,1550,1779.9167,-107.24106,6.472359e+20,18248.303,1074.3254680032596,50,0.34333327,173637.98,50.0,-1.1081554e+16,1.0,9.999999,-1759115.6,39302.836,50.0,1074.3254,1.0,,544.5338,85215,69.96027255058289,411.53036,1
2460942.0,10.0,32,3588.2358,-1.0,,1e-07,140.76,295767000.0,True,,[-0.146  0.521 -1.132 -1.685],0.4189424,-161.81703,,1.0,1600,3588.2358,-161.81703,1764428200.0,35.464676,1397.1093185608327,50,0.04751585,947.69666,50.0,-44454674000.0,1.0,10.0,-3512224.5,136.39534,50.0,1397.1093,1.0,,1397.1093,92253,75.67653775215149,713.4618,1
2001151.2,10.0,33,4229.01,-1.0,,1e-07,122.62,16968255000.0,True,,[-0.201  0.491 -1.131 -1.68 ],0.4189424,-189.60382,49.916985,1.0,1650,4179.093,-189.60382,2.0138583e+29,12254.885,1215.7798012162184,50,0.14205758,308868.47,50.0,-6.553091e+20,1.0,10.0,-3461425.5,47728.816,50.0,1215.7799,1.0,,1165.8628,98384,80.25778794288635,723.2086,1
2990359.0,10.0,34,3379.2988,-1.0,,1e-07,151.0,40140390.0,True,,[-0.09   0.502 -1.135 -1.738],0.4189424,-147.94257,9.979577,1.0,1700,3369.3193,-147.94257,10717327000.0,7.0090165,1499.5000114069285,50,0.077425934,72.237045,50.0,-96567590000.0,1.0,10.0,-3922778.0,13.210428,50.0,1499.5,1.0,,1489.5205,105934,86.22681474685669,861.31213,1
2356823.8,10.0,35,4508.495,-1.0,,1e-07,128.86,76192870000.0,True,,[-0.147  0.523 -1.144 -1.725],0.4189424,-190.84431,9.984432,1.0,1750,4498.5107,-190.84431,5.58741e+32,28941.133,1278.1545862909472,50,0.0673104,1029568.44,50.0,-3.923041e+22,1.0,10.0,-4016488.5,145002.27,50.0,1278.1545,1.0,,1268.1702,112377,91.56715297698975,850.3791,1
3653030.8,10.0,36,4819.1772,-1.0,,1e-07,152.42,1854672300.0,True,,[-0.043  0.472 -1.154 -1.771],0.4189424,-203.82278,,1.0,1800,4819.1772,-203.82278,5.4550796e+18,175.38074,1513.6148981904462,50,0.22139713,3454.8074,50.0,-4428951500000000.0,1.0,10.0,-5549315.5,676.2727,50.0,1513.6149,1.0,,1513.6149,119998,97.07976770401001,1167.048,1
2115956.5,10.0,37,3169.0642,-1.0,,1e-07,125.0,106496264.0,True,,[ 0.014  0.463 -1.176 -1.777],0.4189424,-131.56169,349.79474,1.0,1850,2819.2695,-131.56169,1.427923e+26,32.999023,1239.4580842992239,50,0.15175635,158.47269,50.0,-9.798709e+18,1.0,10.0,-2935966.5,36.486053,50.0,1239.4581,1.0,,889.6633,126248,102.22350907325745,761.38043,1
4473342.0,10.0,38,4999.0977,-1.0,,1e-07,184.84,480594100.0,True,,[-0.091  0.405 -1.188 -1.81 ],0.4189424,-203.48949,9.984658,1.0,1900,4989.113,-203.48949,65173335000000.0,96.79497,1838.249348632741,50,0.09084595,1261.293,50.0,-16473477000000.0,1.0,10.0,-6513865.5,225.71936,50.0,1838.2494,1.0,,1828.2646,135490,108.07489228248596,1046.0314,1
5279142.5,10.0,39,4998.887,-1.0,,1e-07,193.96,175269970000.0,True,,[-0.032  0.407 -1.194 -1.832],0.4189424,-215.38823,309.7302,1.0,1950,4689.157,-215.38823,6.2140632e+19,19624.87,1929.3392318221872,50,0.012847983,926412.3,50.0,-1.6083984e+16,1.0,10.0,-7319496.0,129669.766,50.0,1929.3392,1.0,,1619.609,145188,115.75576424598694,1247.715,1
4858416.0,10.0,40,4999.005,-1.0,,1e-07,182.96,699512000000.0,True,,[-0.047  0.506 -1.246 -1.778],0.4189424,-222.89616,9.980683,1.0,2000,4989.0244,-222.89616,7.227103e+28,42566.836,1819.3476300149036,50,0.3212376,2121096.8,50.0,-5.4853407e+20,1.0,10.0,-6898864.0,296933.06,50.0,1819.3477,1.0,,1809.3671,154336,122.74499154090881,1244.3434,1
4227373.0,10.0,41,4198.2817,-1.0,,1e-07,174.92,49992006000000.0,True,,[-0.113  0.607 -1.276 -1.763],0.4189424,-166.23683,9.982062,1.0,2050,4188.3,-166.23683,7.754751e+34,3430216.8,1738.5985048655266,50,0.14477545,160357100.0,50.0,-4.007573e+23,1.0,10.0,-5666508.0,22448188.0,50.0,1738.5984,1.0,,1728.6165,163082,130.36484217643738,1097.5646,1
2790859.5,10.0,42,2739.7258,-1.0,,1e-07,159.5,159098860.0,True,,[-0.185  0.602 -1.41  -1.962],0.4189424,-125.40106,819.595,1.0,2100,1920.1309,-125.40106,79472070000.0,97.04077,1584.5898475320805,50,0.05397495,998.4197,50.0,-172932090000.0,1.0,10.0,-3403734.8,190.88962,50.0,1584.5898,1.0,,764.9949,171057,136.75336146354675,529.08826,1
5683708.0,10.0,43,4998.822,-1.0,,1e-07,220.2,103515390000.0,True,,[-0.124  0.616 -1.412 -1.96 ],0.4189424,-204.63202,,1.0,2150,4998.822,-204.63202,6.105245e+30,12093.155,2191.767173397163,50,0.13902326,266582.4,50.0,-5.0412855e+21,1.0,10.0,-7724010.0,43362.418,50.0,2191.767,1.0,,2191.767,182067,145.43791007995605,938.011,1
4248701.5,10.0,44,4589.3037,-1.0,,1e-07,188.8,301350300.0,True,,[-0.216  0.698 -1.431 -1.948],0.4189424,-165.53442,9.981052,1.0,2200,4579.3228,-165.53442,397232540.0,106.214,1877.5282729123949,50,0.049775675,1765.957,50.0,-34575790000.0,1.0,10.0,-5968400.0,329.29306,50.0,1877.5283,1.0,,1867.5474,191507,153.65570044517517,850.64056,1
6132362.0,10.0,45,4998.8057,-1.0,,1e-07,229.3,389625250000.0,True,,[-0.157  0.714 -1.438 -1.96 ],0.4189424,-198.64522,9.983304,1.0,2250,4988.8223,-198.64522,1.0082388e+27,120963.15,2282.6101776941,50,0.19697928,4531142.5,50.0,-6.4784122e+19,1.0,10.0,-8172652.0,640824.3,50.0,2282.61,1.0,,2272.627,202972,163.74623799324036,960.23566,1
9723567.0,10.0,46,4999.1914,-1.0,,1e-07,273.78,987173760.0,True,,[-0.066  0.696 -1.465 -2.04 ],0.4189424,-240.84573,269.8291,1.0,2300,4729.3623,-240.84573,1141713000000000.0,138.60027,2728.8417552155884,50,0.11471744,3815.3806,50.0,-68950684000000.0,1.0,10.0,-11764177.0,583.5494,50.0,2728.8416,1.0,,2459.0125,216661,173.88527059555054,1508.9698,1
7967509.5,10.0,47,4999.417,-1.0,,1e-07,238.28,1293273700.0,True,,[-0.015  0.666 -1.475 -2.056],0.4189424,-241.66316,269.77026,1.0,2350,4729.6465,-241.66316,3.672798e+34,69.80858,2372.9452040585566,50,0.2143065,1262.8721,50.0,-3.911034e+23,1.0,10.0,-10008300.0,217.52483,50.0,2372.945,1.0,,2103.1748,228575,183.3785321712494,1528.6074,1
10425137.0,10.0,48,4999.2017,-1.0,,1e-07,302.56,13179941000.0,True,,[-0.111  0.704 -1.529 -2.102],0.4189424,-217.69594,319.74133,1.0,2400,4679.4604,-217.69594,1.5366287e+17,1746.2295,3015.7627668742475,50,0.011903311,30248.436,50.0,-799921350000000.0,1.0,10.0,-12465758.0,5928.403,50.0,3015.7627,1.0,,2696.0215,243703,194.34485912322998,1153.3916,1
10546234.0,10.0,49,4999.1157,-1.0,,1e-07,276.68,203821020000.0,True,,[-0.056  0.732 -1.531 -2.092],0.4189424,-234.07999,,1.0,2450,4999.1157,-234.07999,6.67848e+25,12403.153,2757.9341640085677,50,0.09716983,269067.1,50.0,-1.6675528e+19,1.0,10.0,-12586781.0,43035.746,50.0,2757.9343,1.0,,2757.9343,257537,205.48243689537048,1714.6525,1
8760067.0,10.0,50,4999.212,-1.0,,1e-07,272.82,155217820000.0,True,,[-0.093  0.643 -1.592 -2.142],0.4189424,-224.80447,399.81262,1.0,2500,4599.3994,-224.80447,1.3889204e+22,16287.809,2718.20243552972,50,0.007933308,355673.62,50.0,-2.4048968e+17,1.0,10.0,-10800692.0,65265.63,50.0,2718.2024,1.0,,2318.39,271178,216.49753785133362,1171.0862,1
