Iteration,InitialReturnMean,OptimizationReturnMin,WReturnMean,InitialReturnMin,ReturnStepMax,ReturnMeanIW,EpRewMean,EmpiricalD2Arithmetic,TimestepsSoFar,InitialBound,OptimizationReturnMean,InitialReturnStd,MeanIW,ESSRenyiHarmonic,MinTargetPdf,MeanD2-0,VarianceInitializer,InitialReturnMax,MeanEntropy,StdWReturnMean,StdIW,Bound,ESSRenyiArithmetic,TimeElapsed,EpLenMean,Penalization,DivergenceHarmonic,Weights,MinBehavPdf,EpisodesSoFar,LearnableVariance,MinIW,ReturnStepMaxmin,OptimizationReturnMax,Inner Iteration,EpThisIter,Epsilon,EmpiricalD2Harmonic,MaxIW
11,1115.4963,,1625161.1,89.85463,9.999999,27836942000.0,1115.496297713221,1.0,27961,-2207018.5,1025.6416,617.1135,6757.4287,50.0,-134.83194,1.0,-1.0,2669.4998,0.4189424,,35465.484,-7.4850855e+17,50.0,91.10982394218445,112.6,True,1.6548753e+24,[-0.062  0.399 -0.78  -1.903],-134.83194,550,,0.4132521,9.999999,2579.645,1,50,1.0,1.0,238351.12
12,971.60974,,1414406.6,9.982958,10.0,31140508.0,971.6097719818545,1.0,32871,-2208418.2,961.6269,685.8433,9.298261,50.0,-118.66637,1.0,-1.0,3118.4243,0.4189424,,18.455608,-30992837000.0,50.0,102.16785264015198,98.2,True,1520547500.0,[-0.064  0.284 -0.821 -1.927],-118.66637,600,,0.04900061,10.0,3108.4414,1,50,1.0,1.0,106.78387
13,871.3602,,1039687.75,339.6228,10.0,48693735000.0,871.3602113474465,1.0,37279,-1545848.5,531.7374,529.5462,106869.52,50.0,-114.24123,1.0,-1.0,2489.8098,0.4189424,,355389.7,-1.8075785e+21,50.0,112.30594849586487,88.16,True,1.2753251e+31,[-0.068  0.223 -0.825 -1.941],-114.24123,650,,0.032378405,10.0,2150.187,1,50,1.0,1.0,2034604.8
14,1176.3276,,2163496.5,9.981642,10.0,7932815.5,1176.327637944864,1.0,43212,-4203688.0,1166.3461,883.0345,4.432766,50.0,-188.7656,1.0,-1.0,4998.6987,0.4189424,,3.9533572,-115131830000.0,50.0,125.69812798500061,118.66,True,3184156400.0,[ 0.008  0.308 -0.833 -1.891],-188.7656,700,,0.13685746,10.0,4988.7173,1,50,1.0,1.0,16.633337
15,1269.9391,,2263343.0,29.947702,10.0,456667800000.0,1269.9391073184902,1.0,49614,-3190267.0,1239.9913,806.5966,1583306.5,50.0,-136.93015,1.0,-1.0,3369.3296,0.4189424,,10633431.0,-1.7616326e+20,50.0,144.54347348213196,128.04,True,3.6120016e+28,[-0.05   0.289 -0.844 -1.896],-136.93015,750,,0.12127953,10.0,3339.3818,1,50,1.0,1.0,75987550.0
16,1049.1182,,2012151.5,9.981713,9.999999,334724580.0,1049.1181061645957,1.0,54911,-4052547.0,1039.1364,954.7266,110.18916,50.0,-176.99762,1.0,-1.0,4998.9507,0.4189424,,295.08533,-7.362137e+17,50.0,156.90913105010986,105.94,True,1.301918e+23,[-0.018  0.408 -0.861 -1.894],-176.99762,800,,0.23731793,9.999999,4988.9688,1,50,1.0,1.0,1884.6335
17,1242.3339,,2165080.2,,10.0,582041900.0,1242.3338335144276,1.0,61175,-3059181.8,1242.3339,788.4712,123.64351,50.0,-139.75224,1.0,-1.0,3309.1382,0.4189424,,383.35657,-824476900000.0,50.0,173.03179907798767,125.28,True,849132060000.0,[-0.085  0.348 -0.893 -1.974],-139.75224,850,,0.100426964,10.0,3309.1382,1,50,1.0,1.0,2367.2168
18,1164.34,,1869729.2,,10.0,18832106.0,1164.3400601458384,1.0,67049,-2721279.0,1164.34,716.96686,10.941093,50.0,-148.88506,1.0,-1.0,3229.4355,0.4189424,,14.727318,-9662480000.0,50.0,189.85978198051453,117.48,True,128252990.0,[-0.024  0.356 -0.901 -1.982],-148.88506,900,,0.06368252,10.0,3229.4355,1,50,1.0,1.0,91.26464
19,1197.7854,,2164443.2,,9.999999,185939580.0,1197.7854145914375,1.0,73090,-3130256.0,1197.7854,854.256,117.72771,50.0,-132.15637,1.0,-1.0,3439.2834,0.4189424,,275.0948,-843486950000000.0,50.0,206.07154989242554,120.82,True,7.6273884e+17,[-0.061  0.306 -0.906 -1.992],-132.15637,950,,0.08750945,9.999999,3439.2834,1,50,1.0,1.0,1365.1257
20,1166.6792,,1922825.0,39.93708,9.999999,4246240500.0,1166.6791170022912,1.0,78976,-2832945.5,1126.7421,749.45636,1738.2507,50.0,-141.65512,1.0,-1.0,3338.6506,0.4189424,,3637.6973,-8.77587e+22,50.0,223.63987755775452,117.72,True,9.2979615e+33,[-1.239e-05  3.165e-01 -9.094e-01 -2.002e+00],-141.65512,1000,,0.4699079,9.999999,3298.7136,1,50,1.0,1.0,17420.646
21,1046.9633,,1390194.6,69.89768,10.0,65076160.0,1046.9631547611439,1.0,84262,-2048413.1,977.0655,542.27545,53.060944,50.0,-138.77518,1.0,-1.0,2839.27,0.4189424,,118.85027,-27129293000.0,50.0,241.31109523773193,105.72,True,1690656600.0,[-0.113  0.275 -0.941 -2.017],-138.77518,1050,,0.084353395,10.0,2769.3723,1,50,1.0,1.0,558.57764
22,1329.3198,,2611229.0,39.93361,10.0,178358110.0,1329.3197227710689,1.0,90961,-4190847.0,1289.3862,918.76984,49.982964,50.0,-175.38184,1.0,-1.0,4398.4277,0.4189424,,140.2427,-15007392000000.0,50.0,262.07898116111755,133.98,True,90261310000000.0,[-0.06   0.309 -0.946 -2.021],-175.38184,1100,,0.09116743,10.0,4358.494,1,50,1.0,1.0,980.3942
23,1105.698,,2132586.8,9.9802885,10.0,25070106.0,1105.6978901650657,1.0,96542,-3411742.5,1095.7177,953.94916,9.876174,50.0,-154.41745,1.0,-1.0,3958.0684,0.4189424,,16.045996,-386899180000.0,50.0,279.03025126457214,111.62,True,91473960000.0,[-0.016  0.352 -0.952 -2.016],-154.41745,1150,,0.09808186,10.0,3948.0881,1,50,1.0,1.0,84.79067
24,1455.3239,,3273718.2,89.83685,10.0,138827920.0,1455.3237459696952,1.0,103871,-5060534.5,1365.4868,1075.0587,35.705803,50.0,-211.88002,1.0,-1.0,4678.01,0.4189424,,90.17868,-4.6536082e+16,50.0,303.2953474521637,146.58,True,6.7830705e+20,[-0.056  0.305 -0.961 -2.012],-211.88002,1200,,0.16363582,10.0,4588.173,1,50,1.0,1.0,528.0363
25,1472.4261,,3170666.2,39.930904,10.0,31987056.0,1472.426116425276,1.0,111286,-4845312.0,1432.4951,1001.313,17.485863,50.0,-181.84958,1.0,-1.0,4528.795,0.4189424,,30.994532,-417303950000.0,50.0,321.54777550697327,148.3,True,62086762000.0,[-1.074e-03  2.902e-01 -9.736e-01 -2.034e+00],-181.84958,1250,,0.028275335,10.0,4488.8643,1,50,1.0,1.0,170.43748
26,1002.4458,,1383123.1,69.89966,10.0,40938746000.0,1002.4457625116329,1.0,116350,-1792614.2,932.5461,615.0005,14022.03,50.0,-91.05618,1.0,-1.0,2239.4636,0.4189424,,59323.652,-7.5704867e+18,50.0,337.9957718849182,101.28,True,3.417927e+26,[-0.035  0.242 -0.98  -2.053],-91.05618,1300,,0.30650365,10.0,2169.564,1,50,1.0,1.0,386710.94
27,1189.8616,,2029557.1,99.8405,9.999999,9527513000.0,1189.8615734443601,1.0,122352,-3023720.5,1090.021,783.44525,3584.945,50.0,-154.0588,1.0,-1.0,3489.3975,0.4189424,,17119.12,-4.8394615e+23,50.0,354.69915294647217,120.04,True,2.3696464e+35,[ 0.037  0.284 -1.018 -2.137],-154.0588,1350,,0.36382106,9.999999,3389.557,1,50,1.0,1.0,118906.914
28,1709.4036,,4065895.8,,10.0,2375087600.0,1709.403524028652,1.0,130952,-5770424.5,1709.4036,1069.5027,207.37132,50.0,-232.2887,1.0,-1.0,4569.021,0.4189424,,822.13403,-329339400000000.0,50.0,377.78799772262573,172.0,True,3.7331873e+16,[-0.044  0.373 -1.037 -2.108],-232.2887,1400,,0.20930816,10.0,4569.021,1,50,1.0,1.0,4528.941
29,1111.496,,1922463.4,39.923306,9.999999,5450602.5,1111.4959569011255,1.0,136562,-2980290.5,1071.5726,828.8787,3.9318082,50.0,-156.15707,1.0,-1.0,3599.3909,0.4189424,,3.0988462,-104763580000.0,50.0,392.999356508255,112.2,True,9807327000.0,[ 0.01   0.39  -1.056 -2.128],-156.15707,1450,,0.017166875,9.999999,3559.4675,1,50,1.0,1.0,20.076422
30,1577.1703,,3551296.0,29.942755,9.999999,605415900.0,1577.1703397563222,1.0,144501,-5174036.0,1547.2275,1031.4211,222.53506,50.0,-193.2732,1.0,-1.0,4458.056,0.4189424,,524.16266,-2626334000000.0,50.0,410.7980582714081,158.78,True,2618236600000.0,[-0.051  0.382 -1.062 -2.121],-193.2732,1500,,0.058763843,9.999999,4428.1133,1,50,1.0,1.0,3227.0225
31,1200.0294,,2095306.2,339.69693,10.0,914844200000.0,1200.0293677860477,1.0,150554,-2930790.5,860.3324,809.4663,261993.19,50.0,-123.80798,1.0,-1.0,3198.826,0.4189424,,1811764.0,-7.8286613e+18,50.0,428.0670928955078,121.06,True,8.780186e+25,[-9.858e-04  4.188e-01 -1.063e+00 -2.118e+00],-123.80798,1550,,0.09157243,10.0,2859.129,1,50,1.0,1.0,12944217.0
32,1693.7837,,4013178.8,59.9122,10.0,171625470.0,1693.7836731929076,1.0,159075,-6052426.0,1633.8716,1069.7081,23.03718,50.0,-195.5472,1.0,-1.0,4997.537,0.4189424,,47.677673,-14915808000000.0,50.0,454.4816589355469,170.42,True,53499623000000.0,[-0.041  0.305 -1.085 -2.145],-195.5472,1600,,0.21181701,10.0,4937.625,1,50,1.0,1.0,242.86554
33,1137.271,,2142350.5,9.97957,10.0,209636620.0,1137.2709427878224,1.0,164813,-3561546.0,1127.2914,921.3932,113.20582,50.0,-175.96092,1.0,-1.0,4169.104,0.4189424,,247.30345,-341956900000000.0,50.0,474.7827112674713,114.76,True,5.805808e+16,[-0.051  0.247 -1.091 -2.162],-175.96092,1650,,0.5256559,10.0,4159.1245,1,50,1.0,1.0,1144.2485
34,1468.2242,,3468329.2,9.980409,10.0,207285420.0,1468.224145122029,1.0,172206,-5508891.0,1458.2438,1145.7081,20.805193,50.0,-210.41945,1.0,-1.0,4999.1494,0.4189424,,68.01304,-2.2240075e+16,50.0,497.02745628356934,147.86,True,1.1878984e+20,[ 0.004  0.273 -1.093 -2.172],-210.41945,1700,,0.16825795,10.0,4989.169,1,50,1.0,1.0,400.4787
35,1682.1332,,3976675.0,59.908432,10.0,141538420.0,1682.1332063816794,1.0,180668,-6016653.0,1622.2249,1071.029,34.621834,50.0,-221.94807,1.0,-1.0,4998.4326,0.4189424,,61.97749,-179374370000.0,50.0,523.1511924266815,169.24,True,7719533000.0,[-0.051  0.3   -1.101 -2.168],-221.94807,1750,,0.06545935,10.0,4938.5244,1,50,1.0,1.0,258.2097
36,1674.4767,,4112909.5,49.90971,10.0,115390640000.0,1674.4767259918517,1.0,189093,-6153470.0,1624.5671,1144.1317,7603.7837,50.0,-198.66322,1.0,-1.0,4999.1465,0.4189424,,30594.889,-9.56361e+21,50.0,545.1350247859955,168.5,True,2.1966027e+31,[-0.007  0.326 -1.125 -2.195],-198.66322,1800,,0.38143831,10.0,4949.237,1,50,1.0,1.0,208860.14
37,1049.5621,,1609259.0,9.980592,10.0,81414620.0,1049.5620917153358,1.0,194392,-2424352.0,1039.5815,712.51556,51.41937,50.0,-134.74101,1.0,-1.0,3159.5515,0.4189424,,99.14626,-46688706000000.0,50.0,561.8073191642761,105.98,True,3281041200000000.0,[-0.064  0.26  -1.206 -2.158],-134.74101,1850,,0.020583244,10.0,3149.5708,1,50,1.0,1.0,499.14578
38,1988.7236,,5806391.0,89.84607,10.0,4541688300.0,1988.7235725418768,1.0,204387,-7847126.5,1898.8774,1360.6506,325.9972,50.0,-195.26108,1.0,-1.0,4999.357,0.4189424,,1425.0447,-5.7269506e+16,50.0,587.9462580680847,199.9,True,7.875561e+20,[-0.003  0.275 -1.209 -2.16 ],-195.26108,1900,,0.01937619,10.0,4909.5107,1,50,1.0,1.0,9498.94
39,1558.0173,,3156599.2,9.979664,10.0,577905600.0,1558.017206927304,1.0,212229,-4029281.0,1548.0376,853.9214,255.70555,50.0,-136.0997,1.0,-1.0,3269.2576,0.4189424,,1001.3952,-20195888000000.0,50.0,611.4349541664124,156.84,True,535544740000000.0,[-0.063  0.291 -1.222 -2.161],-136.0997,1950,,0.0764078,10.0,3259.2778,1,50,1.0,1.0,7122.7417
40,1857.6655,,5388074.0,359.69083,10.0,107826536.0,1857.6655416684007,1.0,221569,-7428163.5,1497.9745,1391.8165,14.544164,50.0,-217.51404,1.0,-1.0,4998.5674,0.4189424,,32.15249,-50283696000.0,50.0,641.0978257656097,186.8,True,604921200.0,[-0.011  0.326 -1.22  -2.168],-217.51404,2000,,0.1335954,10.0,4638.8765,1,50,1.0,1.0,173.35643
41,1577.3214,,3652373.0,29.943567,10.0,46774710.0,1577.3212920824203,1.0,229508,-5692433.0,1547.3777,1079.0879,9.974653,50.0,-175.70888,1.0,-1.0,4998.534,0.4189424,,9.61383,-1191350500000.0,50.0,661.4382722377777,158.78,True,341008840000.0,[ 0.025  0.283 -1.23  -2.144],-175.70888,2050,,0.09899905,10.0,4968.591,1,50,1.0,1.0,45.55586
42,1496.7119,,3375781.5,19.962646,10.0,108415660.0,1496.7119438407185,1.0,237042,-5416137.0,1476.7494,1065.6617,36.524445,50.0,-213.75313,1.0,-1.0,4998.8965,0.4189424,,65.14522,-26874434000.0,50.0,684.0589673519135,150.68,True,172092620.0,[-0.036  0.289 -1.241 -2.149],-213.75313,2100,,0.27105454,10.0,4978.9336,1,50,1.0,1.0,349.10123
43,2177.9773,,6613068.0,359.70428,10.0,4996839400.0,2177.9774473770653,1.0,247983,-8653444.0,1818.2731,1367.29,601.78735,50.0,-221.99976,1.0,-1.0,4998.9126,0.4189424,,2884.969,-199686250000000.0,50.0,717.1196665763855,218.82,True,9577752000000000.0,[-0.011  0.339 -1.245 -2.12 ],-221.99976,2150,,0.054440632,10.0,4639.2085,1,50,1.0,1.0,20284.92
44,1726.662,,5108162.0,9.981369,10.0,2455965200.0,1726.6620527477958,1.0,256665,-7148674.0,1716.6807,1458.3553,525.3346,50.0,-212.94937,1.0,-1.0,4999.0864,0.4189424,,1501.9474,-1033619800000000.0,50.0,739.2515916824341,173.64,True,2.56595e+17,[-0.019  0.25  -1.315 -2.068],-212.94937,2200,,0.075107366,10.0,4989.105,1,50,1.0,1.0,8979.292
45,1218.047,,2458814.2,19.963379,9.999999,38042604.0,1218.047004026946,1.0,262808,-3575490.2,1198.0836,987.50995,21.83833,50.0,-166.26822,1.0,-1.0,3698.1558,0.4189424,,51.458233,-4145911200000.0,50.0,758.445764541626,122.86,True,13784228000000.0,[ 0.036  0.267 -1.318 -2.045],-166.26822,2250,,0.027171386,9.999999,3678.1924,1,50,1.0,1.0,362.94415
46,2152.7656,,6714144.5,19.968166,10.0,119971860000.0,2152.7655341217073,1.0,273620,-8754598.0,2132.7974,1442.1322,21279.518,50.0,-211.26956,1.0,-1.0,4999.009,0.4189424,,105189.5,-2.2865637e+20,50.0,789.7316439151764,216.24,True,1.2558053e+28,[-0.018  0.236 -1.323 -2.047],-211.26956,2300,,0.045076434,10.0,4979.0405,1,50,1.0,1.0,710532.7
47,1443.7517,,2807287.0,359.69098,9.999999,346479580.0,1443.7516986937676,1.0,280892,-3997664.0,1084.0608,850.21643,112.99291,50.0,-180.98666,1.0,-1.0,3818.2427,0.4189424,,744.16766,-54977630000.0,50.0,810.3059895038605,145.44,True,2106288500.0,[ 0.043  0.244 -1.326 -2.037],-180.98666,2350,,0.074156485,9.999999,3458.5518,1,50,1.0,1.0,5321.435
48,2243.5527,,7304142.5,339.6562,9.999999,1759161700.0,2243.552851500725,1.0,292159,-9345007.0,1903.8966,1506.8555,92.89854,50.0,-224.26518,1.0,-1.0,4999.5107,0.4189424,,388.36914,-1.193251e+17,50.0,842.1333107948303,225.34,True,3.418573e+21,[ 0.008  0.293 -1.332 -2.023],-224.26518,2400,,0.029466145,9.999999,4659.8545,1,50,1.0,1.0,2792.0737
49,1711.1775,,4271255.5,19.959606,10.0,1170364700.0,1711.177528548959,1.0,300766,-6311834.5,1691.218,1158.9337,337.81067,50.0,-218.06361,1.0,-1.0,4999.1665,0.4189424,,749.3768,-4482798600000000.0,50.0,868.3718566894531,172.14,True,4.8261315e+18,[-0.044  0.256 -1.376 -1.925],-218.06361,2450,,0.08308048,10.0,4979.207,1,50,1.0,1.0,3396.0596
50,2465.4575,,8619306.0,29.947266,10.0,2498641200.0,2465.4573817495543,1.0,313143,-10659716.0,2435.5103,1593.9968,126.6517,50.0,-239.45993,1.0,-1.0,4998.9517,0.4189424,,479.93686,-5.1040764e+19,50.0,895.7017734050751,247.54,True,6.2576285e+26,[ 0.01   0.287 -1.378 -1.917],-239.45993,2500,,0.0868566,10.0,4969.0044,1,50,1.0,1.0,3172.9226
51,1523.4014,,3428233.5,369.70508,10.0,286007740.0,1523.4014272922793,1.0,320810,-5468503.0,1153.6963,1052.3695,104.76827,50.0,-228.5807,1.0,-1.0,4998.791,0.4189424,,219.2295,-204930200000000.0,50.0,912.8185317516327,153.34,True,1.0088861e+16,[-0.05   0.272 -1.385 -1.914],-228.5807,2550,,0.040830184,10.0,4629.086,1,50,1.0,1.0,1198.874
52,2252.5444,,7424755.0,9.985282,10.0,602822400.0,2252.544453646744,1.0,332124,-9465204.0,2242.559,1533.2316,38.156673,50.0,-228.01627,1.0,-1.0,4999.001,0.4189424,,67.77718,-7.681389e+19,50.0,941.327805519104,226.28,True,1.4172219e+27,[ 0.01   0.289 -1.385 -1.916],-228.01627,2600,,0.031419963,10.0,4989.0156,1,50,1.0,1.0,368.87634
53,1849.1401,,4863556.0,,10.0,295443070.0,1849.1401719891333,1.0,341420,-6904438.5,1849.1401,1201.7639,84.41702,50.0,-231.70943,1.0,-1.0,4999.5376,0.4189424,,240.16252,-343593220000.0,50.0,962.7478437423706,185.92,True,28295270000.0,[-0.048  0.301 -1.398 -1.93 ],-231.70943,2650,,0.04881665,10.0,4999.5376,1,50,1.0,1.0,1585.8345
54,2174.9788,,6571607.5,,10.0,377660860.0,2174.9786916055978,1.0,352346,-8611448.0,2174.9788,1356.8622,28.926311,50.0,-241.55502,1.0,-1.0,4998.258,0.4189424,,74.45095,-315105250000.0,50.0,991.1962809562683,218.52,True,23805989000.0,[ 0.004  0.271 -1.41  -1.922],-241.55502,2700,,0.076062314,10.0,4998.258,1,50,1.0,1.0,391.68542
55,2319.458,,7597584.5,19.96614,10.0,552246600.0,2319.4581195939145,1.0,363992,-9638266.0,2299.492,1489.1941,55.734352,50.0,-230.37514,1.0,-1.0,4999.2856,0.4189424,,102.343094,-1320029300000000.0,50.0,1015.7554914951324,232.92,True,4.1843327e+17,[ 0.013  0.212 -1.417 -1.941],-230.37514,2750,,0.3644378,10.0,4979.3193,1,50,1.0,1.0,581.7602
56,1347.9324,,2748434.0,29.947123,10.0,84383950.0,1347.9323268380433,1.0,370783,-4087333.2,1317.9851,965.1491,43.675816,50.0,-182.94579,1.0,-1.0,4049.4429,0.4189424,,68.01032,-35838810000000.0,50.0,1035.7022302150726,135.82,True,716498460000000.0,[-0.036  0.199 -1.43  -1.974],-182.94579,2800,,0.2888169,10.0,4019.4958,1,50,1.0,1.0,270.03635
57,2240.4924,,7369124.5,79.86724,10.0,4496503000.0,2240.492496606576,1.0,382033,-9409781.0,2160.6252,1532.7484,453.8168,50.0,-242.34183,1.0,-1.0,4999.2563,0.4189424,,1527.1895,-1.00478705e+18,50.0,1061.5941336154938,225.0,True,2.4244752e+23,[ 0.012  0.229 -1.433 -1.948],-242.34183,2850,,0.21101055,10.0,4919.389,1,50,1.0,1.0,10081.066
58,1475.6656,,3223139.0,399.75848,10.0,9541404000.0,1475.6656993870688,1.0,389463,-5255717.0,1075.9071,1022.5214,3727.3547,50.0,-211.8559,1.0,-1.0,4989.3604,0.4189424,,11323.26,-1.0618184e+22,50.0,1081.8708169460297,148.6,True,2.7290553e+31,[-0.048  0.215 -1.442 -1.951],-211.8559,2900,,8.920658,10.0,4589.602,1,50,1.0,1.0,76940.945
59,2644.2969,,9730684.0,,10.0,2415192000.0,2644.296993448894,1.0,402730,-11771361.0,2644.2969,1654.8043,117.65671,50.0,-244.44267,1.0,-1.0,4999.2764,0.4189424,,394.0827,-12320465000000.0,50.0,1115.8836126327515,265.34,True,36437332000000.0,[-0.005  0.325 -1.452 -1.989],-244.44267,2950,,0.0035888318,10.0,4999.2764,1,50,1.0,1.0,2043.2233
60,2020.3564,,5660256.5,389.73178,10.0,926755900.0,2020.356524083788,1.0,412881,-7700891.0,1630.6246,1256.3502,321.60925,50.0,-200.25867,1.0,-1.0,4999.232,0.4189424,,707.5748,-2654569000000000.0,50.0,1140.827017068863,203.02,True,1.6922553e+18,[-0.049  0.289 -1.463 -2.013],-200.25867,3000,,0.056848638,10.0,4609.5,1,50,1.0,1.0,4342.698
61,2745.6064,,10177800.0,19.964733,10.0,419426530.0,2745.6069351701003,1.0,426654,-12218343.0,2725.6418,1624.6361,26.387762,50.0,-249.69086,1.0,-1.0,4999.112,0.4189424,,53.012836,-4589517500000.0,50.0,1165.2198977470398,275.46,True,5057950000000.0,[ 0.009  0.311 -1.466 -2.019],-249.69086,3050,,0.20435622,10.0,4979.147,1,50,1.0,1.0,258.68292
62,2941.9712,,10975174.0,429.72607,10.0,21990232000.0,2941.971254190611,1.0,441408,-13016136.0,2512.245,1523.1477,987.733,50.0,-223.09824,1.0,-1.0,4999.621,0.4189424,,3441.0105,-1.9463772e+24,50.0,1192.087370634079,295.08,True,9.094879e+35,[-0.012  0.364 -1.482 -1.997],-223.09824,3100,,0.053826906,10.0,4569.895,1,50,1.0,1.0,20445.264
63,2101.4998,,5706792.0,59.92226,10.0,956288700.0,2101.4996672217817,1.0,451967,-7746980.0,2041.5775,1135.9979,242.31053,50.0,-212.83958,1.0,-1.0,4998.6836,0.4189424,,485.49307,-1995968200000000.0,50.0,1210.0149779319763,211.18,True,9.5714e+17,[-0.072  0.379 -1.492 -1.991],-212.83958,3150,,0.11936373,10.0,4938.761,1,50,1.0,1.0,2504.4412
64,3494.9407,,14974892.0,9.980257,10.0,5489011700.0,3494.940675665553,1.0,469478,-17015448.0,3484.96,1661.4097,233.27771,50.0,-231.97809,1.0,-1.0,4999.116,0.4189424,,1172.9565,-4.9085786e+17,50.0,1244.1495559215546,350.22,True,5.786685e+22,[-0.011  0.394 -1.492 -1.989],-231.97809,3200,,0.6560162,10.0,4989.1357,1,50,1.0,1.0,8383.553
65,2308.4124,,6336878.0,9.980401,10.0,565332400.0,2308.412235042083,1.0,481073,-8147598.0,2298.432,1004.04736,86.98369,50.0,-194.40016,1.0,-1.0,4709.1885,0.4189424,,261.72418,-1929026300000.0,50.0,1270.2742810249329,231.9,True,1134302000000.0,[-0.065  0.419 -1.513 -1.996],-194.40016,3250,,0.08722716,10.0,4699.208,1,50,1.0,1.0,1856.746
