MeanEntropy,InitialReturnMean,Penalization,EpRewMean,WReturnMean,ESSRenyiArithmetic,StdIW,InitialReturnMax,EmpiricalD2Harmonic,Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,TimeElapsed,DivergenceHarmonic,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,ReturnStepMax,OptimizationReturnMean,VarianceInitializer,Epsilon,MinTargetPdf,Bound,MinBehavPdf,MeanIW,Inner Iteration,LearnableVariance,StdWReturnMean,Weights,InitialBound,MaxIW,InitialReturnMin,EpLenMean,MinIW,ESSRenyiHarmonic,MeanD2-0
0.4189424,469.57602,True,469.57604750951765,250794.25,50.0,63.47422,1149.7092,1.0,25,,1.0,174.04767,76660,4758228.0,107.38489890098572,152923790000000.0,50,1250,9.999999,969.8716,9.999999,289.7384,-1.0,1.0,-53.200798,-1334656400000.0,-53.200798,34.2577,1,,,[-0.547  0.243 -1.278 -1.235],-358721.6,315.5973,179.83765,47.98,0.049595617,50.0,1.0
0.4189424,606.1716,True,606.1715513000615,397737.7,50.0,1205.9927,1279.6936,1.0,26,,1.0,174.05089,79742,116688904.0,115.61620855331421,1906022300000000.0,50,1300,10.0,909.8649,10.0,236.34286,-1.0,1.0,-65.936035,-5837664000000.0,-65.936035,303.97537,1,,,[-0.494  0.353 -1.288 -1.211],-531448.9,8339.472,369.82867,61.64,0.36279273,50.0,1.0
0.4189424,806.3186,True,806.3185543149074,725916.25,50.0,31764.857,1589.5037,1.0,27,,1.0,275.25732,83825,9960347000.0,127.02182126045227,5.6014834e+18,50,1350,10.0,1569.5381,10.0,786.35297,-1.0,1.0,-62.09648,-488245070000000.0,-62.09648,12415.316,1,,,[-0.444  0.463 -1.304 -1.182],-932206.8,147616.69,19.965534,81.66,0.06954143,50.0,1.0
0.4189424,910.24854,True,910.2485136051935,1013358.0,50.0,1023.64996,1829.5774,1.0,28,,1.0,429.89035,88428,640776200.0,137.580726146698,125730445000000.0,50,1400,9.999996,1819.5948,9.999996,900.2659,-1.0,1.0,-87.05027,-3065257400000.0,-87.05027,465.25546,1,,,[-0.346  0.539 -1.304 -1.195],-1286669.6,4596.4375,9.982528,92.06,0.14611146,50.0,1.0
0.4189424,812.9003,True,812.9003428335362,834555.7,50.0,208.05156,2378.9824,1.0,29,,1.0,416.83182,92544,38823624.0,145.38962292671204,2412021500000.0,50,1450,10.0,2359.0176,10.0,792.9356,-1.0,1.0,-100.13953,-717713200000.0,-100.13953,57.374355,1,,,[-0.34   0.655 -1.308 -1.148],-1296658.6,1101.6688,19.96477,82.32,0.2087066,50.0,1.0
0.4189424,949.87604,True,949.8760311536369,1004463.56,50.0,550.641,1799.6664,1.0,30,,1.0,319.686,97345,208553780.0,158.48486757278442,33665751000.0,50,1500,9.999999,1369.8549,9.999999,520.0645,-1.0,1.0,-79.4704,-48729862000.0,-79.4704,189.27338,1,,,[-0.344  0.548 -1.321 -1.212],-1268911.8,2953.7124,429.81152,96.02,0.10404976,50.0,1.0
0.4189424,826.3293,True,826.329273535344,845855.8,50.0,77724.83,2389.5244,1.0,31,,1.0,403.7769,101528,37240304000.0,167.56298160552979,6.593463e+17,50,1550,10.0,2379.543,10.0,816.34784,-1.0,1.0,-112.92333,-378596700000000.0,-112.92333,25464.018,1,,,[-0.347  0.449 -1.318 -1.288],-1312063.2,492457.03,9.981404,83.66,0.6314528,50.0,1.0
0.4189424,1082.0199,True,1082.0197618478533,1430867.5,50.0,5409909.0,2389.5337,1.0,32,,1.0,510.00064,106990,438111170000.0,182.60462141036987,1.3750023e+27,50,1600,9.999999,2209.6978,9.999999,902.18365,-1.0,1.0,-106.10838,-1.7287509e+19,-106.10838,855097.8,1,,,[-0.267  0.537 -1.356 -1.279],-1897079.2,38654024.0,179.83603,109.24,0.07192553,50.0,1.0
0.4189424,971.4339,True,971.4338467313183,1433140.0,50.0,802.39557,2689.5066,1.0,33,,1.0,699.61145,111899,789899700.0,194.6346743106842,5.8018273e+19,50,1650,10.0,2659.549,10.0,941.47626,-1.0,1.0,-111.59086,-4498648300000000.0,-111.59086,157.2293,1,,,[-0.173  0.613 -1.379 -1.258],-2023751.4,5733.1606,29.957573,98.18,0.7988038,50.0,1.0
0.4189424,1057.6537,True,1057.653665232775,1492719.4,50.0,39397.055,2999.4658,1.0,34,,1.0,611.6274,117239,13043153000.0,208.5222508907318,2.4599402e+20,50,1700,9.999999,2999.4658,9.999999,1057.6537,-1.0,1.0,-139.16171,-1.1521393e+16,-139.16171,10141.338,1,,,[-0.252  0.568 -1.42  -1.334],-2227308.8,255758.31,,106.8,0.2218672,50.0,1.0
0.4189424,1493.6742,True,1493.6741065313704,2775088.8,50.0,383.47806,3009.2825,1.0,35,,1.0,737.58154,124760,594783500.0,225.59227585792542,3.3830117e+17,50,1750,10.0,2979.3218,10.0,1463.7133,-1.0,1.0,-128.41545,-430063560000000.0,-128.41545,157.51968,1,,,[-0.134  0.545 -1.454 -1.332],-3514496.2,2056.0146,29.960754,150.42,0.1481081,50.0,1.0
0.4189424,1833.357,True,1833.357146488897,4487319.0,50.0,2167.6804,4998.941,1.0,36,,1.0,1061.1884,133979,4155025400.0,245.63171219825745,2.8627766e+17,50,1800,10.0,4799.0723,10.0,1633.4886,-1.0,1.0,-226.17416,-1091706100000000.0,-226.17416,596.3803,1,,,[-0.064  0.48  -1.484 -1.407],-6527716.0,11107.081,199.86853,184.38,0.10852408,50.0,1.0
0.4189424,2146.0637,True,2146.0637819706894,6849883.5,50.0,87210.59,4998.631,1.0,37,,1.0,1498.0968,144760,137032930000.0,268.11549258232117,2.3326332e+31,50,1850,10.0,4988.651,10.0,2136.0837,-1.0,1.0,-224.1554,-9.853256e+21,-224.1554,14930.924,1,,,[-0.03   0.375 -1.505 -1.462],-8890030.0,624169.5,9.980002,215.62,0.12622337,50.0,1.0
0.4189424,2075.0674,True,2075.067246539959,6454497.0,50.0,17103.076,4999.29,1.0,38,,1.0,1465.808,155184,70330750000.0,291.8547856807709,1.2964219e+34,50,1900,10.0,4989.3076,10.0,2065.085,-1.0,1.0,-231.6586,-2.3235081e+23,-231.6586,2869.0796,1,,,[ 0.007  0.261 -1.526 -1.491],-8495181.0,121934.914,9.982503,208.48,0.007742914,50.0,1.0
0.4189424,1819.9597,True,1819.9596485818151,4143430.8,50.0,128.27348,4998.9956,1.0,39,,1.0,911.6895,164335,313574980.0,316.53563475608826,3.626336e+18,50,1950,10.0,4569.246,10.0,1390.2104,-1.0,1.0,-231.77742,-3885563000000000.0,-231.77742,96.70037,1,,,[-0.055  0.263 -1.533 -1.49 ],-6183871.5,599.5133,429.74927,183.02,0.044269376,50.0,1.0
