StdWReturnMean,OptimizationReturnMin,EpLenMean,WReturnMean,ESSRenyiHarmonic,MeanIW,MaxIW,OptimizationReturnMax,MeanEntropy,ESSRenyiArithmetic,ReturnStepMax,DivergenceHarmonic,MinIW,Epsilon,EpThisIter,TimestepsSoFar,EpisodesSoFar,Weights,EmpiricalD2Harmonic,ReturnStepMaxmin,Iteration,VarianceInitializer,InitialReturnMin,TimeElapsed,ReturnMeanIW,Bound,InitialBound,MinBehavPdf,MeanD2-0,EmpiricalD2Arithmetic,StdIW,Inner Iteration,InitialReturnStd,InitialReturnMax,LearnableVariance,InitialReturnMean,OptimizationReturnMean,EpRewMean,Penalization,MinTargetPdf
,,14.04,22172.3,50.0,62.222733,1727.8938,349.91406,0.4189424,50.0,9.999994,25556496000000.0,0.07984333,1.0,50,7024,550,[-0.555 -1.561 -0.729 -2.81 ],1.0,9.999994,11,-1.0,19.965796,31.702644109725952,5708114.5,-56476828000.0,-33342.875,-17.496735,1.0,1.0,253.79727,1,72.0751,369.87985,,130.29767,110.33186,130.29766069277977,True,-17.496735
,,15.22,25897.418,50.0,146.64622,5452.505,429.947,0.4189424,50.0,9.9999695,138257455000000.0,0.09697857,1.0,50,7785,600,[-1.441 -2.    -0.649 -2.679],1.0,9.9999695,12,-1.0,39.938316,34.20932197570801,5856298.0,-211979730000.0,-43925.035,-16.673925,1.0,1.0,773.29926,1,75.52742,469.8853,,142.10217,102.16385,142.10217243021663,True,-16.673925
,,14.62,25169.148,50.0,253.73883,6511.011,299.96713,0.4189424,50.0,9.999983,8.542592e+16,0.42561856,1.0,50,8516,650,[-1.466 -1.967 -0.588 -2.185],1.0,9.999983,13,-1.0,39.92912,37.09225296974182,15441494.0,-2757048100000.0,-34602.086,-18.994148,1.0,1.0,913.57666,1,81.50393,339.89624,,136.1112,96.18209,136.11120302064077,True,-18.994148
,,16.58,32850.4,50.0,40.626587,1161.4622,429.91742,0.4189424,50.0,9.99999,181677900000.0,0.0036950493,1.0,50,9345,700,[-1.433 -1.116 -1.01  -2.495],1.0,9.99999,14,-1.0,19.965622,39.42270088195801,1456769.9,-7045219000.0,-49375.87,-21.841309,1.0,1.0,165.96823,1,92.79714,449.88306,,155.68907,135.72345,155.68907535351065,True,-21.841309
,,21.38,45601.387,50.0,37.20791,215.09471,309.96207,0.4189424,50.0,9.999953,10897268000.0,0.012086945,1.0,50,10414,750,[-1.369 -0.669 -1.08  -2.292],1.0,9.999953,15,-1.0,49.91346,42.44240880012512,1881746.9,-1105751400.0,-56175.875,-19.404968,1.0,1.0,50.904003,1,64.18625,359.87552,,203.6701,153.75665,203.67010963899372,True,-19.404968
,,22.46,61243.96,50.0,1069.2688,8131.3086,479.92703,0.4189424,50.0,9.99999,1.071734e+26,0.71510273,1.0,50,11537,800,[-1.259 -0.363 -1.227 -2.642],1.0,9.99999,16,-1.0,39.927578,45.537763357162476,104921210.0,-2.284345e+17,-83309.7,-22.234028,1.0,1.0,1996.2748,1,123.49824,519.8546,,214.4578,174.53021,214.45780415291378,True,-22.234028
,,34.44,127292.45,50.0,72.98541,998.1093,680.0359,0.4189424,50.0,9.999992,809109500000.0,0.39084002,1.0,50,13259,850,[-1.075  0.088 -1.315 -2.713],1.0,9.999992,17,-1.0,169.76508,50.576009035110474,7362754.0,-53046020000.0,-186256.8,-45.109375,1.0,1.0,150.86084,1,124.9057,849.80096,,334.20206,164.437,334.2020651776028,True,-45.109375
,,41.04,184921.47,50.0,2668.1072,54805.547,810.1573,0.4189424,50.0,9.999998,1.1797004e+33,3.0692968,1.0,50,15311,900,[-1.084  0.327 -1.387 -2.715],1.0,9.999998,18,-1.0,229.63716,55.95688605308533,289215600.0,-3.0320423e+21,-273199.0,-37.68718,1.0,1.0,7706.0923,1,157.44778,1039.7944,,400.16458,170.5274,400.1645700394139,True,-37.68718
,,52.22,296048.03,50.0,384.0953,6287.668,1209.6952,0.4189424,50.0,10.0,6606823600000.0,0.021863494,1.0,50,17922,950,[-0.94   0.508 -1.426 -2.801],1.0,10.0,19,-1.0,,62.93321633338928,52413908.0,-307168580000.0,-415531.3,-41.429153,1.0,1.0,1186.28,1,184.23518,1209.6952,,511.96234,511.96234,511.96233387787805,True,-41.429153
,,60.04,412051.7,50.0,2076.8445,39262.977,1899.6929,0.4189424,50.0,9.999998,23084013000000.0,0.044167157,1.0,50,20924,1000,[-0.866  0.604 -1.434 -2.771],1.0,9.999998,20,-1.0,9.980486,70.9921817779541,619476600.0,-1431252200000.0,-709816.6,-83.870575,1.0,1.0,6388.1616,1,252.50424,1909.6733,,590.1638,580.18335,590.1637853250073,True,-83.870575
,,54.68,310775.4,50.0,180.27101,1601.5619,710.0674,0.4189424,50.0,9.999996,238465300000000.0,0.47976497,1.0,50,23658,1050,[-0.979  0.558 -1.413 -2.752],1.0,9.999996,21,-1.0,359.65332,79.34804654121399,33312688.0,-1442838600000.0,-404207.53,-38.638878,1.0,1.0,366.3821,1,151.22267,1069.7207,,536.56976,176.91643,536.5697484178294,True,-38.638878
,,63.24,445144.25,50.0,1685.3108,52856.18,1040.0723,0.4189424,50.0,9.999999,1051275860000000.0,0.11589537,1.0,50,26820,1100,[-0.9    0.654 -1.422 -2.756],1.0,9.999999,22,-1.0,399.7194,86.20726323127747,352471000.0,-5488325400000.0,-614404.4,-84.35543,1.0,1.0,7466.645,1,240.9444,1439.7916,,622.1656,222.44621,622.16562439264,True,-84.35543
,,75.74,618375.5,50.0,9593.276,220215.2,1009.9144,0.4189424,50.0,10.0,1.0911081e+17,2.0316474,1.0,50,30607,1150,[-0.796  0.716 -1.433 -2.789],1.0,10.0,23,-1.0,459.78882,97.48156189918518,4479633400.0,-58261403000000.0,-794741.56,-67.84507,1.0,1.0,34647.543,1,245.2387,1469.7032,,747.1502,287.36142,747.150243014377,True,-67.84507
,,83.34,741224.8,50.0,39781.258,1446274.8,1259.7599,0.4189424,50.0,10.0,3.2025327e+17,0.021117711,1.0,50,34774,1200,[-0.702  0.793 -1.445 -2.815],1.0,10.0,24,-1.0,9.980426,106.63056182861328,45816013000.0,-74541490000000.0,-872864.2,-61.823624,1.0,1.0,203157.33,1,252.1967,1269.7404,,823.1778,813.1973,823.1777765663752,True,-61.823624
,,100.92,1210756.2,50.0,32061.48,831743.1,2149.8562,0.4189424,50.0,10.0,2.719868e+20,0.101881675,1.0,50,39820,1250,[-0.621  0.884 -1.459 -2.839],1.0,10.0,25,-1.0,519.8614,121.09836292266846,46735120000.0,-9597564000000000.0,-1792707.8,-112.49142,1.0,1.0,123266.77,1,461.3231,2669.7175,,998.96814,479.10672,998.9681264801266,True,-112.49142
,,115.52,1508954.0,50.0,228115.16,4808018.5,2409.6575,0.4189424,50.0,10.0,6.6789355e+22,0.72058076,1.0,50,45596,1300,[-0.504  0.927 -1.458 -2.84 ],1.0,10.0,26,-1.0,,132.84919428825378,295160300000.0,-1.2252357e+17,-1983050.9,-107.97023,1.0,1.0,901267.1,1,444.9951,2409.6575,,1144.96,1144.96,1144.960030178077,True,-107.97023
,,156.44,2865871.0,50.0,10861.926,365879.22,3789.8262,0.4189424,50.0,9.999999,5.9994036e+16,0.037775576,1.0,50,53418,1350,[-0.405  1.002 -1.461 -2.828],1.0,9.999999,27,-1.0,529.5773,150.4356119632721,8955884000.0,-373135350000000.0,-4389239.5,-188.52097,1.0,1.0,54244.21,1,671.33405,4319.4033,,1554.0853,1024.5082,1554.0854740723714,True,-188.52097
,,177.3,3317889.8,50.0,2966594.2,85950930.0,2469.905,0.4189424,50.0,10.0,2.879579e+33,2.0217516,1.0,50,62283,1400,[-0.364  1.108 -1.465 -2.775],1.0,10.0,28,-1.0,539.6507,169.22898769378662,7568449000000.0,-3.9684747e+22,-4057431.5,-132.0476,1.0,1.0,12825823.0,1,459.56857,3009.5557,,1762.5796,1222.9288,1762.5794946062838,True,-132.0476
,,244.42,6699529.0,50.0,194250.3,8505880.0,4977.7764,0.4189424,50.0,10.0,3.1734473e+29,0.038117483,1.0,50,74504,1450,[-0.27   1.185 -1.465 -2.746],1.0,10.0,29,-1.0,19.966896,198.68287539482117,1669899000000.0,-1.1488619e+21,-8738952.0,-190.31076,1.0,1.0,1191337.4,1,880.9343,4997.743,,2433.821,2413.854,2433.820904365054,True,-190.31076
,,222.0,6303187.0,50.0,85.00322,1978.8195,4998.8467,0.4189424,50.0,10.0,19598976000000.0,0.22320849,1.0,50,85604,1500,[-0.226  1.292 -1.475 -2.699],1.0,10.0,30,-1.0,,228.95339703559875,970588540.0,-9033527000000.0,-8343509.0,-198.65343,1.0,1.0,331.87164,1,1192.3984,4998.8467,,2209.383,2209.383,2209.383060295945,True,-198.65343
,,256.34,7890659.0,50.0,191929.05,5410132.5,4989.212,0.4189424,50.0,9.999999,9.4647244e+30,0.45899448,1.0,50,98421,1550,[-0.286  1.274 -1.476 -2.707],1.0,9.999999,31,-1.0,9.979633,259.06932067871094,2822640000000.0,-6.2778056e+21,-9931266.0,-206.6657,1.0,1.0,869977.56,1,1171.3894,4999.1914,,2553.1365,2543.1567,2553.1364497118834,True,-206.6657
,,221.76,5398838.0,50.0,114.01028,3917.1401,3589.1697,0.4189424,50.0,10.0,326561600.0,0.11156354,1.0,50,109509,1600,[-0.345  1.17  -1.496 -2.736],1.0,10.0,32,-1.0,249.80562,291.3475818634033,495754370.0,-22241165000.0,-6602181.5,-162.8307,1.0,1.0,546.3903,1,726.3877,3838.9753,,2207.0793,1957.2736,2207.079338297136,True,-162.8307
,,224.96,5713068.5,50.0,181.35902,3860.0605,4319.6606,0.4189424,50.0,10.0,5244260400.0,0.10501875,1.0,50,120757,1650,[-0.291  1.2   -1.495 -2.728],1.0,10.0,33,-1.0,439.7301,319.94831895828247,719983300.0,-134656570000.0,-7562600.0,-205.24002,1.0,1.0,567.89484,1,836.6401,4759.3906,,2238.9958,1799.2657,2238.9958627533824,True,-205.24002
,,268.4,8565479.0,50.0,1012817.6,31305130.0,4778.418,0.4189424,50.0,10.0,7.949212e+30,0.14162363,1.0,50,134177,1700,[-0.235  1.221 -1.497 -2.71 ],1.0,10.0,34,-1.0,219.80391,359.22254395484924,7518108000000.0,-5.751054e+21,-10605295.0,-240.7843,1.0,1.0,4458234.0,1,1190.6508,4998.2217,,2673.5425,2453.7385,2673.5425344641317,True,-240.7843
,,277.64,9675533.0,50.0,46.678905,1454.2224,4779.367,0.4189424,50.0,10.0,6273617000.0,0.262667,1.0,50,148059,1750,[-0.184  1.326 -1.515 -2.669],1.0,10.0,35,-1.0,219.81517,393.29040026664734,477083360.0,-162103100000.0,-11716133.0,-238.6457,1.0,1.0,208.50468,1,1422.3452,4999.182,,2766.3093,2546.4946,2766.309483529558,True,-238.6457
,,289.08,9511473.0,50.0,697.67194,15621.487,4549.345,0.4189424,50.0,10.0,13001345000000.0,0.0305347,1.0,50,162513,1800,[-0.231  1.316 -1.552 -2.655],1.0,10.0,36,-1.0,449.596,433.22952032089233,8183504000.0,-7365248700000.0,-11551880.0,-251.2338,1.0,1.0,2830.9832,1,1101.7343,4998.9414,,2880.565,2430.969,2880.5649387941253,True,-251.2338
,,264.64,8119942.0,50.0,1804005.5,77878020.0,4988.72,0.4189424,50.0,10.0,2.7639907e+30,0.029551923,1.0,50,175745,1850,[-0.288  1.294 -1.564 -2.659],1.0,10.0,37,-1.0,9.981903,468.7149317264557,39049033000000.0,-3.3918543e+21,-10160150.0,-203.7066,1.0,1.0,10894533.0,1,1082.6503,4998.702,,2635.87,2625.8882,2635.8700929943716,True,-203.7066
,,210.9,4958092.5,50.0,33698576.0,1556792700.0,4139.5005,0.4189424,50.0,10.0,1.2888794e+32,0.07973695,1.0,50,186290,1900,[-0.39   1.336 -1.573 -2.601],1.0,10.0,38,-1.0,9.980777,498.4551103115082,204199560000000.0,-1.5960561e+22,-6363967.0,-180.05792,1.0,1.0,217748200.0,1,744.6845,4149.4814,,2098.4607,2088.4797,2098.4607062281502,True,-180.05792
,,181.38,3500582.8,50.0,16981.652,431058.47,3519.9731,0.4189424,50.0,10.0,3.566078e+21,0.104020394,1.0,50,195359,1950,[-0.511  1.35  -1.599 -2.615],1.0,10.0,39,-1.0,439.6712,525.2498471736908,58492350000.0,-7.644736e+16,-4780761.0,-142.25589,1.0,1.0,63926.8,1,498.1391,3959.6443,,1803.4524,1363.7811,1803.452356265265,True,-142.25589
,,196.34,4422715.0,50.0,4065368.0,187399250.0,3709.5408,0.4189424,50.0,9.999999,2.7039023e+25,1.2227277,1.0,50,205176,2000,[-0.449  1.439 -1.613 -2.554],1.0,9.999999,40,-1.0,9.9831,552.4268319606781,18010330000000.0,-5.8738913e+18,-5552337.5,-160.13103,1.0,1.0,26217352.0,1,780.2125,3719.524,,1952.9424,1942.9591,1952.9422136353373,True,-160.13103
,,173.54,3490345.5,50.0,30399.307,632230.8,3529.3264,0.4189424,50.0,10.0,3.7289914e+20,0.3435298,1.0,50,213853,2050,[-0.534  1.375 -1.648 -2.61 ],1.0,10.0,41,-1.0,,575.0868411064148,99510395000.0,-1.9639747e+16,-4507394.0,-159.66928,1.0,1.0,105160.56,1,717.2127,3529.3264,,1725.0947,1725.0947,1725.0946858962477,True,-159.66928
,,238.34,6748166.0,50.0,3144779.2,67985520.0,4589.959,0.4189424,50.0,10.0,7.191207e+35,0.024268722,1.0,50,225770,2100,[-0.424  1.371 -1.647 -2.671],1.0,10.0,42,-1.0,409.6236,609.1530168056488,9504746000000.0,-1.7307038e+24,-8789090.0,-216.6678,1.0,1.0,10788757.0,1,1055.3251,4999.5825,,2373.7007,1964.077,2373.700576126626,True,-216.6678
,,294.88,10146490.0,50.0,293.18213,9684.517,4789.4546,0.4189424,50.0,10.0,11908449000.0,0.11236479,1.0,50,240514,2150,[-0.304  1.397 -1.654 -2.693],1.0,10.0,43,-1.0,209.85446,642.9079020023346,2132997600.0,-224823640000.0,-12187196.0,-218.20006,1.0,1.0,1407.5535,1,1228.799,4999.309,,2938.7998,2728.9453,2938.799504415308,True,-218.20006
,,275.82,9332127.0,50.0,277.1285,6522.5454,4999.3574,0.4189424,50.0,10.0,20987718000000.0,0.123638526,1.0,50,254305,2200,[-0.244  1.389 -1.657 -2.709],1.0,10.0,44,-1.0,,678.6571183204651,2666466600.0,-9351671000000.0,-11372871.0,-214.64362,1.0,1.0,957.9754,1,1333.4825,4999.3574,,2748.4453,2748.4453,2748.445243997528,True,-214.64362
,,313.88,12274283.0,50.0,1686.708,54642.61,4999.131,0.4189424,50.0,10.0,5.543782e+16,0.07105816,1.0,50,269999,2250,[-0.183  1.389 -1.663 -2.719],1.0,10.0,45,-1.0,,719.3818852901459,26310945000.0,-480474400000000.0,-14314846.0,-223.25096,1.0,1.0,7929.818,1,1575.5212,4999.131,,3129.22,3129.22,3129.219880240935,True,-223.25096
,,303.24,10636238.0,50.0,76829.63,3808363.0,4579.3447,0.4189424,50.0,10.0,6.2700404e+18,0.17780803,1.0,50,285161,2300,[-0.245  1.384 -1.67  -2.716],1.0,10.0,46,-1.0,419.64163,765.957808971405,824657700000.0,-5110031300000000.0,-12676682.0,-220.92789,1.0,1.0,533080.8,1,1226.3154,4998.9863,,3021.9844,2602.3425,3021.9842709475183,True,-220.92789
,,294.8,10240617.0,50.0,185044.4,7688880.0,4999.5264,0.4189424,50.0,10.0,2.3656579e+24,0.0493951,1.0,50,299901,2350,[-0.258  1.478 -1.714 -2.649],1.0,10.0,47,-1.0,,805.8969869613647,2251054600000.0,-3.1389784e+18,-12281502.0,-219.08548,1.0,1.0,1079572.4,1,1268.467,4999.5264,,2937.96,2937.96,2937.9599384889525,True,-219.08548
,,312.76,11990077.0,50.0,112.24551,4787.458,4809.574,0.4189424,50.0,10.0,2227596000000.0,0.042505935,1.0,50,315539,2400,[-0.209  1.547 -1.768 -2.574],1.0,10.0,48,-1.0,189.79224,845.9305067062378,1792133000.0,-3047600400000.0,-14030833.0,-236.87234,1.0,1.0,669.0358,1,1505.1321,4999.3667,,3118.4375,2928.6455,3118.437803716991,True,-236.87234
,,288.12,10478906.0,50.0,9329.1045,339634.8,4829.4966,0.4189424,50.0,10.0,2.4101047e+20,0.097302996,1.0,50,329945,2450,[-0.263  1.533 -1.795 -2.569],1.0,10.0,49,-1.0,169.87747,880.2522892951965,153865780000.0,-3.1681496e+16,-12519665.0,-205.58765,1.0,1.0,48476.52,1,1494.7113,4999.374,,2871.3665,2701.489,2871.366496666568,True,-205.58765
,,323.46,11516189.0,50.0,14690209.0,586150400.0,4819.569,0.4189424,50.0,10.0,1.2330071e+31,0.720229,1.0,50,346118,2500,[-0.282  1.482 -2.015 -2.673],1.0,10.0,50,-1.0,179.84781,921.0564439296722,182283700000000.0,-7.1659836e+21,-13556986.0,-227.29135,1.0,1.0,82894750.0,1,1057.7128,4999.4165,,3224.5054,3044.6572,3224.505219430862,True,-227.29135
,,268.88,8065119.0,50.0,8789.263,422495.34,4969.2246,0.4189424,50.0,10.0,12602724000.0,0.03838275,1.0,50,359562,2550,[-0.356  1.435 -2.03  -2.761],1.0,10.0,51,-1.0,,955.7219457626343,71721190000.0,-298062500000.0,-10081336.0,-219.354,1.0,1.0,59108.71,1,944.2133,4969.2246,,2678.354,2678.354,2678.354135880634,True,-219.354
,,229.42,6039140.5,50.0,41.854603,707.8883,4999.0938,0.4189424,50.0,10.0,611655040.0,0.05034935,1.0,50,371033,2600,[-0.418  1.432 -2.034 -2.759],1.0,10.0,52,-1.0,,980.577996969223,203523900.0,-50668515000.0,-8079664.5,-208.97675,1.0,1.0,121.93063,1,906.7943,4999.0938,,2284.0457,2284.0457,2284.0455631117206,True,-208.97675
,,293.5,9311578.0,50.0,2994.4941,121237.34,3490.1965,0.4189424,50.0,10.0,1.5239432e+18,0.057878397,1.0,50,385708,2650,[-0.357  1.446 -2.035 -2.765],1.0,10.0,53,-1.0,1509.2966,1012.4129292964935,42582730000.0,-2519405500000000.0,-11352435.0,-240.01233,1.0,1.0,16986.832,1,869.85815,4999.493,,2924.8804,1415.5836,2924.8802822783823,True,-240.01233
,,260.92,7556879.0,50.0,103848840.0,2585703700.0,4809.491,0.4189424,50.0,10.0,2.8916158e+35,0.23285922,1.0,50,398754,2700,[-0.426  1.524 -2.027 -2.696],1.0,10.0,54,-1.0,189.86127,1039.196088552475,511874170000000.0,-1.0973678e+24,-9597619.0,-226.55325,1.0,1.0,427207140.0,1,895.1918,4999.3525,,2599.1365,2409.2754,2599.136481690697,True,-226.55325
,,353.44,13491533.0,50.0,18606.12,488289.28,4399.8,0.4189424,50.0,10.0,3.4678193e+26,0.057972092,1.0,50,416426,2750,[-0.321  1.585 -2.032 -2.664],1.0,10.0,55,-1.0,599.5801,1077.7534484863281,178950910000.0,-3.8002737e+19,-15532303.0,-223.87119,1.0,1.0,71250.55,1,1032.0088,4999.38,,3525.1228,2925.5427,3525.1227698181233,True,-223.87119
,,374.12,15037000.0,50.0,307.3193,5326.635,4779.736,0.4189424,50.0,10.0,29803966000.0,0.105360635,1.0,50,435132,2800,[-0.244  1.515 -2.039 -2.732],1.0,10.0,56,-1.0,219.83247,1121.89501619339,3191485700.0,-355527000000.0,-17077926.0,-232.66695,1.0,1.0,903.393,1,1051.5688,4999.5684,,3732.4524,3512.62,3732.4527366305715,True,-232.66695
,,399.56,17898538.0,50.0,37446310.0,1506456700.0,4989.4297,0.4189424,50.0,10.0,4.466992e+31,0.011803112,1.0,50,455110,2850,[-0.201  1.552 -2.047 -2.709],1.0,10.0,57,-1.0,9.980017,1162.5380690097809,781254800000000.0,-1.3639532e+22,-19939338.0,-260.69168,1.0,1.0,212351710.0,1,1409.9907,4999.4097,,3988.7927,3978.8125,3988.7925393886485,True,-260.69168
,,395.62,18324566.0,50.0,2429.1682,102054.69,4979.5747,0.4189424,50.0,10.0,152861780000000.0,0.13311112,1.0,50,474891,2900,[-0.125  1.494 -2.056 -2.789],1.0,10.0,58,-1.0,19.96161,1205.8683364391327,51436490000.0,-25284110000000.0,-20365468.0,-230.13412,1.0,1.0,14299.979,1,1648.0632,4999.536,,3950.7534,3930.792,3950.753478987928,True,-230.13412
,,447.54,21488464.0,50.0,3732.9644,102117.0,4979.558,0.4189424,50.0,10.0,5.8999473e+19,0.045327492,1.0,50,497268,2950,[-0.108  1.658 -2.201 -2.908],1.0,10.0,59,-1.0,19.962048,1242.9971346855164,85390590000.0,-1.5676079e+16,-23529356.0,-233.57338,1.0,1.0,14970.388,1,1220.176,4999.52,,4472.095,4452.1333,4472.095254120498,True,-233.57338
,,452.64,21558772.0,50.0,101.771805,3080.5623,4819.63,0.4189424,50.0,10.0,6.2727478e+16,0.31445277,1.0,50,519900,3000,[-0.128  1.771 -2.234 -2.873],1.0,10.0,60,-1.0,179.83685,1283.5174033641815,2517074400.0,-511131680000000.0,-23599624.0,-247.83174,1.0,1.0,447.87125,1,1049.3481,4999.467,,4523.0127,4343.176,4523.012399749939,True,-247.83174
,,439.16,20968218.0,50.0,52704.336,2466228.8,4639.7124,0.4189424,50.0,10.0,1.2903539e+24,0.32879028,1.0,50,541858,3050,[-0.175  1.754 -2.253 -2.904],1.0,10.0,61,-1.0,359.74454,1327.6029615402222,1309039100000.0,-2.3182205e+18,-23009060.0,-228.00359,1.0,1.0,344857.9,1,1310.8469,4999.457,,4387.47,4027.7263,4387.470650985645,True,-228.00359
,,444.34,20398114.0,50.0,14526.367,451966.03,4789.7373,0.4189424,50.0,10.0,1.9064791e+18,0.035136644,1.0,50,564075,3100,[-0.206  1.664 -2.266 -2.984],1.0,10.0,62,-1.0,209.78401,1370.3265347480774,204384810000.0,-2818115400000000.0,-22439008.0,-233.28871,1.0,1.0,64628.957,1,843.4856,4999.5215,,4436.9634,4227.179,4436.963462496485,True,-233.28871
,,442.1,20989894.0,50.0,44.37198,858.44867,4170.095,0.4189424,50.0,10.0,39302087000.0,0.09304573,1.0,50,586180,3150,[-0.148  1.685 -2.267 -2.981],1.0,10.0,63,-1.0,829.4281,1414.5806620121002,1043015100.0,-405636940000.0,-23030790.0,-232.48764,1.0,1.0,153.50616,1,1216.0258,4999.5234,,4417.1455,3587.7173,4417.145535310039,True,-232.48764
,,462.48,22935534.0,50.0,1074.874,41806.543,4819.6523,0.4189424,50.0,10.0,2.3382766e+22,0.032961518,1.0,50,609304,3200,[-0.108  1.649 -2.265 -3.011],1.0,10.0,64,-1.0,179.86902,1470.4978241920471,23873395000.0,-3.1207518e+17,-24976428.0,-266.77478,1.0,1.0,5930.402,1,1251.1406,4999.5215,,4622.7896,4442.92,4622.789334417681,True,-266.77478
,,474.66,23219538.0,50.0,16664.158,596514.4,4589.6772,0.4189424,50.0,10.0,1.3685206e+28,0.19792986,1.0,50,633037,3250,[-0.055  1.631 -2.278 -3.036],1.0,10.0,65,-1.0,409.79297,1516.9280652999878,415968000000.0,-2.3874153e+20,-25260392.0,-245.34305,1.0,1.0,84612.61,1,843.4489,4999.47,,4744.274,4334.481,4744.273679896394,True,-245.34305
