Weights,WReturnMean,TimeElapsed,OptimizationReturnMean,Epsilon,EpLenMean,InitialBound,EmpiricalD2Arithmetic,InitialReturnStd,MeanD2-0,ESSRenyiArithmetic,MinTargetPdf,OptimizationReturnMax,EmpiricalD2Harmonic,Penalization,StdIW,ESSRenyiHarmonic,InitialReturnMax,EpisodesSoFar,ReturnStepMaxmin,Inner Iteration,MeanIW,InitialReturnMean,MinBehavPdf,EpRewMean,Iteration,OptimizationReturnMin,Bound,MinIW,VarianceInitializer,DivergenceHarmonic,ReturnStepMax,ReturnMeanIW,MeanEntropy,EpThisIter,LearnableVariance,TimestepsSoFar,MaxIW,InitialReturnMin,StdWReturnMean
[-0.067  0.385 -1.328 -1.725],4440301.5,393.34018087387085,1766.2206,1.0,178.66,-6480261.0,1.0,1133.7607,1.0,50.0,-206.07938,4988.4263,1.0,True,182.05203,50.0,4998.4062,1450,10.0,1,96.29064,1776.2004,-206.07938,1776.2004479258674,29,,-99093610000000.0,0.049375508,-1.0,2359681600000000.0,10.0,335842240.0,0.4189424,50,,136046,867.4751,9.980054,
[-0.007  0.372 -1.329 -1.732],5023212.5,415.60076570510864,1897.0758,1.0,191.78,-6772333.0,1.0,1177.4342,1.0,50.0,-206.07368,4618.4165,1.0,True,1766480.0,50.0,4628.3965,1500,10.0,1,270923.2,1907.0558,-206.07368,1907.0557227346271,30,,-1.9166e+19,0.16205795,-1.0,1.20069285e+26,10.0,1229074900000.0,0.4189424,50,,145635,12621811.0,9.9798975,
[-0.015  0.467 -1.344 -1.653],4811562.5,435.2612273693085,1692.7566,1.0,170.32,-6851923.0,1.0,1395.0404,1.0,50.0,-216.76233,4998.8994,1.0,True,55.712112,50.0,4998.8994,1550,10.0,1,13.40451,1692.7566,-216.76233,1692.7566155457184,31,,-15690955000000.0,0.23663454,-1.0,59140186000000.0,10.0,175790320.0,0.4189424,50,,154151,400.44815,,
[-0.047  0.418 -1.363 -1.659],6991504.5,464.964688539505,2213.268,1.0,222.36,-9032250.0,1.0,1446.7025,1.0,50.0,-222.28357,4999.3643,1.0,True,383968.66,50.0,4999.3643,1600,10.0,1,62023.69,2213.268,-222.28357,2213.2682222326844,32,,-6.3902814e+20,0.05979955,-1.0,9.805554e+28,10.0,1055507700000.0,0.4189424,50,,165269,2739463.5,,
[-0.118  0.416 -1.412 -1.749],3543707.0,488.64947414398193,1737.8274,1.0,174.82,-4649133.5,1.0,723.6458,1.0,50.0,-154.21112,3679.4744,1.0,True,243.48831,50.0,3679.4744,1650,10.0,1,137.1426,1737.8274,-154.21112,1737.8273422163484,33,,-3154440000000.0,0.04025118,-1.0,8141474000000.0,10.0,325663870.0,0.4189424,50,,174010,1113.0277,,
[-0.058  0.431 -1.42  -1.755],5907494.0,516.8256826400757,2102.202,1.0,213.26,-7947517.0,1.0,1184.8683,1.0,50.0,-207.0866,4978.5176,1.0,True,6505746.5,50.0,4998.48,1700,9.999999,1,1307754.0,2122.1643,-207.0866,2122.164308571879,34,,-2.4659732e+22,0.091303155,-1.0,1.4612216e+32,9.999999,15628317000000.0,0.4189424,50,,184673,40221740.0,19.962376,
[-0.149  0.473 -1.482 -1.798],3208427.8,540.2143933773041,1018.9938,1.0,165.9,-4295586.0,1.0,700.4026,1.0,50.0,-158.13303,3019.344,1.0,True,118.5038,50.0,3648.9448,1750,10.0,1,55.469883,1648.5945,-158.13303,1648.594631999798,35,,-77077200000.0,0.05903526,-1.0,5013921300.0,10.0,97237420.0,0.4189424,50,,192968,640.15845,629.6009,
[-0.092  0.499 -1.482 -1.791],5439749.5,564.8797392845154,2070.366,1.0,208.08,-7480273.5,1.0,1073.9342,1.0,50.0,-202.47198,4999.0947,1.0,True,3952172.8,50.0,4999.0947,1800,10.0,1,1032487.06,2070.366,-202.47198,2070.365934217195,36,,-3.7909107e+19,0.05060738,-1.0,3.4515393e+26,10.0,3840889800000.0,0.4189424,50,,203372,25453998.0,,
[-0.05   0.606 -1.496 -1.744],7187359.0,596.0292875766754,1811.1931,1.0,230.1,-9228050.0,1.0,1392.3534,1.0,50.0,-208.7989,4519.4814,1.0,True,51.40811,50.0,4999.295,1850,10.0,1,15.594988,2291.0066,-208.7989,2291.006454218411,37,,-38852076000.0,0.03242773,-1.0,358721500.0,10.0,201978350.0,0.4189424,50,,214877,348.234,479.81332,
[-0.078  0.554 -1.513 -1.758],7217585.5,632.6380515098572,2489.6204,1.0,250.02,-9257783.0,1.0,1009.64154,1.0,50.0,-189.96526,4998.689,1.0,True,3247.599,50.0,4998.689,1900,10.0,1,1193.0144,2489.6204,-189.96526,2489.6204704541533,38,,-2732746000000000.0,0.19107479,-1.0,1.7941637e+18,10.0,10314504000.0,0.4189424,50,,227378,16630.002,,
[-0.01   0.512 -1.569 -1.681],7694266.0,664.9094984531403,2170.4685,1.0,219.0,-9734806.0,1.0,1714.6116,1.0,50.0,-224.95389,4989.128,1.0,True,150.35982,50.0,4999.112,1950,10.0,1,26.212774,2180.4526,-224.95389,2180.452605421112,39,,-1342127000000000.0,0.24718618,-1.0,4.3262017e+17,10.0,586610050.0,0.4189424,50,,238328,1077.755,9.984045,
[-0.059  0.483 -1.583 -1.703],6556199.5,701.4677197933197,1937.1797,1.0,219.68,-8596952.0,1.0,1331.6874,1.0,50.0,-241.34029,4749.5894,1.0,True,1295.3549,50.0,4999.373,2000,10.0,1,591.65326,2186.9634,-241.34029,2186.9632871200142,40,,-48626470000000.0,0.083589114,-1.0,567657000000000.0,10.0,4963414500.0,0.4189424,50,,249312,6150.6895,249.78375,
[-0.009  0.516 -1.59  -1.687],11467537.0,743.8429379463196,2858.4138,1.0,290.66,-13508325.0,1.0,1751.3317,1.0,50.0,-227.8473,4959.4805,1.0,True,78.207466,50.0,4999.4067,2050,10.0,1,23.836271,2898.34,-227.8473,2898.340051982346,41,,-1.2458157e+16,0.009110167,-1.0,3.726705e+19,10.0,454298530.0,0.4189424,50,,263845,539.9648,39.926056,
[-0.066  0.498 -1.607 -1.689],8468246.0,780.2246289253235,2363.0825,1.0,266.26,-10508996.0,1.0,1196.1271,1.0,50.0,-206.1129,4709.613,1.0,True,4015.769,50.0,4999.364,2100,10.0,1,1543.4971,2652.8335,-206.1129,2652.8336328145842,42,,-1.8480898e+18,0.1751743,-1.0,8.201219e+23,10.0,9149027000.0,0.4189424,50,,277158,19092.01,289.75098,
[-0.005  0.503 -1.613 -1.692],9216988.0,810.5686569213867,2327.3281,1.0,255.6,-11257212.0,1.0,1651.9587,1.0,50.0,-236.55272,4778.89,1.0,True,15.818895,50.0,4998.721,2150,10.0,1,7.3144946,2547.1592,-236.55272,2547.1592018378897,43,,-2147762100000000.0,0.2198318,-1.0,1.1082248e+18,10.0,125351980.0,0.4189424,50,,289938,86.542206,219.8309,
[-0.061  0.493 -1.637 -1.688],10110155.0,844.231785774231,2941.4597,1.0,295.18,-12150585.0,1.0,1207.4641,1.0,50.0,-220.66087,4998.9683,1.0,True,631.4255,50.0,4998.9683,2200,10.0,1,309.38495,2941.4597,-220.66087,2941.459663977241,44,,-5235437400000000.0,0.07856066,-1.0,6.583777e+18,10.0,3097595000.0,0.4189424,50,,304697,3145.5417,,
[-0.006  0.485 -1.647 -1.714],12831244.0,878.3033738136292,3188.9915,1.0,320.72,-14871806.0,1.0,1611.7753,1.0,50.0,-234.5862,4989.146,1.0,True,39.205124,50.0,4999.127,2250,10.0,1,16.812737,3198.9724,-234.5862,3198.9723866710597,45,,-3.3354455e+18,0.052087307,-1.0,2.6719132e+24,10.0,326008960.0,0.4189424,50,,320733,268.59393,9.980716,
[-0.063  0.475 -1.657 -1.733],9038615.0,906.1270163059235,2763.9084,1.0,278.46,-10989800.0,1.0,1159.3663,1.0,50.0,-227.51984,4878.4404,1.0,True,236084.03,50.0,4888.4253,2300,10.0,1,44656.863,2773.893,-227.51984,2773.893517643506,46,,-5.235092e+16,0.08327594,-1.0,7.19873e+20,10.0,485188300000.0,0.4189424,50,,334656,1623375.6,9.984818,
[-0.124  0.485 -1.666 -1.742],5433127.0,931.5752227306366,1144.1053,1.0,216.42,-7473495.0,1.0,890.85284,1.0,50.0,-223.03625,3989.056,1.0,True,633.17554,50.0,4998.9023,2350,10.0,1,244.77611,2153.952,-223.03625,2153.951773900931,47,,-3655578000000.0,0.15874775,-1.0,3208770700000.0,10.0,698818100.0,0.4189424,50,,345477,4004.071,1009.8465,
[-0.065  0.506 -1.668 -1.744],11198451.0,965.5733864307404,2726.7112,1.0,304.56,-13238997.0,1.0,1406.5938,1.0,50.0,-237.52882,4689.3843,1.0,True,11192.468,50.0,4999.1094,2400,10.0,1,3043.6816,3036.4363,-237.52882,3036.4361929542474,48,,-7.212788e+17,0.084484145,-1.0,1.2494736e+23,10.0,26694586000.0,0.4189424,50,,360705,68826.445,309.72498,
[-0.004  0.52  -1.672 -1.736],13013132.0,999.4129705429077,2964.7478,1.0,325.26,-15053872.0,1.0,1576.6609,1.0,50.0,-228.94473,4719.5156,1.0,True,35.86804,50.0,4999.3438,2450,10.0,1,12.33472,3244.576,-228.94473,3244.575864051556,49,,-349300400000000.0,0.4579312,-1.0,2.929793e+16,10.0,183124420.0,0.4189424,50,,376968,253.90414,279.82794,
[-0.051  0.49  -1.693 -1.756],10103686.0,1028.1078550815582,2823.8877,1.0,287.36,-12144356.0,1.0,1379.1903,1.0,50.0,-225.92686,4959.322,1.0,True,797.4678,50.0,4999.2637,2500,10.0,1,211.15599,2863.8296,-225.92686,2863.8296767484826,50,,-51940800000000.0,0.21722758,-1.0,647809650000000.0,10.0,2212062200.0,0.4189424,50,,391336,5534.0083,39.941696,
[-0.1    0.492 -1.701 -1.718],6761512.5,1052.9087476730347,2358.838,1.0,236.92,-8801748.0,1.0,1094.2565,1.0,50.0,-205.4919,4998.737,1.0,True,1103.8473,50.0,4998.737,2550,10.0,1,550.577,2358.838,-205.4919,2358.837810773532,51,,-73574370000000.0,0.12692252,-1.0,1300384000000000.0,10.0,2679540700.0,0.4189424,50,,403182,6082.9287,,
[-0.038  0.499 -1.701 -1.72 ],12857853.0,1085.0719773769379,3044.0427,1.0,308.2,-14898601.0,1.0,1846.1942,1.0,50.0,-235.56403,4969.4077,1.0,True,12558.849,50.0,4999.3555,2600,10.0,1,4259.224,3073.9907,-235.56403,3073.990820477685,52,,-6.9215886e+20,0.24925414,-1.0,1.1503943e+29,10.0,45821860000.0,0.4189424,50,,418592,63689.03,29.947992,
[ 0.02   0.486 -1.71  -1.739],11040983.0,1112.3119478225708,2622.3628,1.0,291.12,-13081392.0,1.0,1618.0876,1.0,50.0,-258.1542,4719.1055,1.0,True,606381.6,50.0,4998.9443,2650,10.0,1,119260.22,2902.2017,-258.1542,2902.2018641297127,53,,-1.7920538e+21,0.07661444,-1.0,7.71401e+29,10.0,2388294600000.0,0.4189424,50,,433148,4261001.0,279.839,
[-0.039  0.58  -1.737 -1.687],9524127.0,1138.304702758789,2579.8083,1.0,258.88,-11564816.0,1.0,1693.7286,1.0,50.0,-224.79231,4999.2905,1.0,True,147.90988,50.0,4999.2905,2700,10.0,1,39.358562,2579.8083,-224.79231,2579.8082817721115,54,,-6.098133e+16,0.071429946,-1.0,8.9300005e+20,10.0,798792260.0,0.4189424,50,,446092,1020.5848,,
