EpLenMean,InitialReturnMin,MinIW,Epsilon,EmpiricalD2Arithmetic,Weights,InitialReturnMax,DivergenceHarmonic,ReturnMeanIW,InitialReturnStd,EpThisIter,MinBehavPdf,TimestepsSoFar,InitialReturnMean,MeanIW,ESSRenyiHarmonic,EpRewMean,OptimizationReturnMean,TimeElapsed,StdIW,Penalization,MaxIW,EpisodesSoFar,StdWReturnMean,OptimizationReturnMax,OptimizationReturnMin,VarianceInitializer,ReturnStepMax,Inner Iteration,EmpiricalD2Harmonic,LearnableVariance,Bound,MinTargetPdf,InitialBound,WReturnMean,MeanD2-0,Iteration,MeanEntropy,ReturnStepMaxmin,ESSRenyiArithmetic
107.1,9.983154,0.095816374,1.0,1.0,[-0.138  0.46  -0.815 -1.668],2389.1514,3.263411e+29,183911960000.0,577.87115,50,-102.065926,47843,1060.581,215896.22,50.0,1060.581127407846,1050.598,138.08252549171448,1069310.6,True,7210205.5,800,,2379.1682,,-1.0,9.999999,1,1.0,,-2.6624264e+20,-102.065926,-1924830.0,1458767.5,1.0,16,0.4189424,9.999999,50.0
98.66,,0.7419303,1.0,1.0,[-0.034  0.486 -0.843 -1.728],2639.3286,3.7008853e+35,2037363000.0,681.5945,50,-114.040405,52776,976.2017,423.02216,50.0,976.2017476630357,976.2017,148.6550486087799,2806.152,True,20063.283,850,,2639.3286,,-1.0,9.999999,1,1.0,,-3.4601437e+23,-114.040405,-1986319.8,1417540.9,1.0,17,0.4189424,9.999999,50.0
127.7,19.965984,0.084864,1.0,1.0,[-0.144  0.432 -0.864 -1.744],3679.4038,2.5633752e+25,26119213000.0,695.21674,50,-135.54129,59161,1266.5845,21987.793,50.0,1266.5844836063923,1246.6185,163.7490382194519,142449.84,True,1018699.94,900,,3659.4377,,-1.0,10.0,1,1.0,,-5.596485e+18,-135.54129,-3192943.5,2087562.6,1.0,18,0.4189424,10.0,50.0
101.4,39.925705,0.07257196,1.0,1.0,[-0.037  0.374 -0.883 -1.765],3019.1404,1.24548335e+33,7628004000.0,633.51373,50,-124.55768,64231,1003.59143,1173.7688,50.0,1003.5914015483966,963.6657,176.25863933563232,5177.6865,True,32272.09,950,,2979.2146,,-1.0,9.999999,1,1.0,,-2.6265759e+22,-124.55768,-2152793.0,1408535.2,1.0,19,0.4189424,9.999999,50.0
88.44,59.899796,0.06930098,1.0,1.0,[-0.133  0.298 -0.891 -1.74 ],2689.404,4.786451e+36,206409120000.0,477.11755,50,-108.83313,68653,874.13385,267060.5,50.0,874.1337227340873,814.2339,189.0716245174408,914108.2,True,4805414.5,1000,,2629.5042,,-1.0,9.999999,1,1.0,,-1.292032e+24,-108.83313,-1582316.8,991750.8,1.0,20,0.4189424,9.999999,50.0
126.7,,0.09415509,1.0,1.0,[-0.023  0.359 -0.893 -1.742],4998.5215,19094600000.0,26826764.0,1039.4874,50,-200.32303,74988,1256.681,9.651279,50.0,1256.6810727241295,1256.681,208.14717054367065,16.713387,True,106.228065,1050,,4998.5215,,-1.0,10.0,1,1.0,,-281925350000.0,-200.32303,-4699828.0,2659781.2,1.0,21,0.4189424,10.0,50.0
134.22,9.980926,0.08633797,1.0,1.0,[-0.072  0.324 -0.909 -1.753],4028.7847,71906770000000.0,598794500.0,807.2826,50,-163.392,81699,1331.6908,177.80467,50.0,1331.690751508105,1321.7097,224.43521571159363,587.10767,True,3316.732,1100,,4018.8037,,-1.0,10.0,1,1.0,,-11238556000000.0,-163.392,-3750378.5,2425105.2,1.0,22,0.4189424,10.0,50.0
115.9,,0.009479437,1.0,1.0,[-0.01   0.333 -0.918 -1.756],4538.7314,2.2470598e+22,2848062500.0,838.70593,50,-186.85818,87494,1148.4764,244.08452,50.0,1148.476401256926,1148.4764,239.06370902061462,901.5909,True,6097.1465,1150,,4538.7314,,-1.0,10.0,1,1.0,,-2.5213358e+17,-186.85818,-3704425.5,2022425.6,1.0,23,0.4189424,10.0,50.0
100.48,9.979918,0.33564684,1.0,1.0,[ 0.016  0.218 -0.958 -1.773],2939.394,9604709000.0,33653948.0,735.9673,50,-135.50409,92518,994.41284,13.416504,50.0,994.4127800891816,984.4328,255.64543223381042,25.452578,True,161.78085,1200,,2929.414,,-1.0,10.0,1,1.0,,-69170900000.0,-135.50409,-2235964.2,1530504.6,1.0,24,0.4189424,10.0,50.0
113.52,9.981389,0.057821907,1.0,1.0,[-0.05   0.238 -1.031 -1.848],4248.9062,219494370000000.0,431953180.0,722.266,50,-140.9526,98194,1124.8535,409.7741,50.0,1124.8534407889756,1114.8721,272.67458319664,2173.474,True,15515.418,1250,,4238.925,,-1.0,10.0,1,1.0,,-21838810000000.0,-140.9526,-3261009.5,1786963.4,1.0,25,0.4189424,10.0,50.0
149.46,359.65942,0.19266452,1.0,1.0,[ 0.01   0.251 -1.036 -1.835],4998.8584,2.6400321e+18,32229128.0,1144.864,50,-213.75763,105667,1484.1758,6.272501,50.0,1484.1758186011452,1124.5164,295.91639733314514,8.311573,True,40.2029,1300,,4639.199,,-1.0,10.0,1,1.0,,-3315130600000000.0,-213.75763,-5553817.0,3513491.5,1.0,26,0.4189424,10.0,50.0
155.22,89.8781,0.025748914,1.0,1.0,[-0.046  0.277 -1.048 -1.836],4998.8086,81819600000000.0,148344900.0,1021.56714,50,-203.18068,113428,1541.8165,64.640526,50.0,1541.8166241880356,1451.9386,319.5590717792511,184.30107,True,1153.7686,1350,,4908.9307,,-1.0,9.999999,1,1.0,,-18455235000000.0,-203.18068,-5461082.0,3420797.8,1.0,27,0.4189424,9.999999,50.0
140.88,359.65253,0.044245064,1.0,1.0,[ 1.399e-03  3.045e-01 -1.059e+00 -1.864e+00],4418.8867,52744870000.0,31819394.0,1019.4735,50,-188.31117,120472,1398.1948,10.504766,50.0,1398.195003118639,1038.5425,338.7345201969147,13.972982,True,85.77445,1400,,4059.2341,,-1.0,9.999999,1,1.0,,-366191250000.0,-188.31117,-4588623.0,2994275.2,1.0,28,0.4189424,9.999999,50.0
116.18,9.981019,0.07898495,1.0,1.0,[-0.055  0.286 -1.07  -1.88 ],3319.1218,159945670000.0,64585884.0,711.51196,50,-146.95706,126281,1151.4061,41.520607,50.0,1151.40602761997,1141.425,358.2185354232788,113.089,True,747.7019,1450,,3309.1409,,-1.0,10.0,1,1.0,,-359803200000.0,-146.95706,-2731489.8,1831985.2,1.0,29,0.4189424,10.0,50.0
146.0,,0.20090191,1.0,1.0,[-0.011  0.33  -1.074 -1.878],4998.1694,36133463000000.0,193854800.0,1255.3558,50,-212.39911,133581,1449.5763,15.15679,50.0,1449.5761648825178,1449.5763,373.6472535133362,74.09214,True,532.17773,1500,,4998.1694,,-1.0,9.999999,1,1.0,,-12261342000000.0,-212.39911,-5716951.0,3677189.0,1.0,30,0.4189424,9.999999,50.0
170.14,19.96077,0.039385416,1.0,1.0,[-0.063  0.331 -1.102 -1.899],4998.6455,384090770000000.0,423077120.0,1025.2632,50,-225.00575,142088,1691.0508,204.61118,50.0,1691.0507679523137,1671.09,402.4280400276184,414.02982,True,1796.3141,1550,,4978.6846,,-1.0,10.0,1,1.0,,-39983474000000.0,-225.00575,-5950970.5,3910817.2,1.0,31,0.4189424,10.0,50.0
169.38,,0.1615358,1.0,1.0,[-0.008  0.359 -1.108 -1.888],4208.0156,549999350000.0,36436068.0,1076.4452,50,-188.03296,150557,1683.0602,8.183191,50.0,1683.0600222875219,1683.0602,427.21790957450867,15.550955,True,68.0803,1600,,4208.0156,,-1.0,10.0,1,1.0,,-1072271900000.0,-188.03296,-5437240.5,3991425.5,1.0,32,0.4189424,10.0,50.0
173.84,,0.03016814,1.0,1.0,[-0.054  0.4   -1.122 -1.886],4998.3696,2.7955263e+29,267767410000.0,1210.4729,50,-196.10805,159249,1728.0133,68265.72,50.0,1728.0134112890314,1728.0133,447.49450612068176,388718.66,True,2768965.8,1650,,4998.3696,,-1.0,9.999999,1,1.0,,-1.0785564e+21,-196.10805,-6491203.0,4451275.0,1.0,33,0.4189424,9.999999,50.0
138.54,29.957272,0.17392781,1.0,1.0,[-0.033  0.515 -1.137 -1.847],4318.123,2.5019245e+29,83604610000.0,1032.757,50,-181.30032,166176,1374.836,6959.5806,50.0,1374.8361535451613,1344.8789,464.07961082458496,46663.574,True,333406.34,1700,,4288.166,,-1.0,10.0,1,1.0,,-7.6152035e+20,-181.30032,-4479226.0,2956761.0,1.0,34,0.4189424,10.0,50.0
157.5,9.981619,0.10347423,1.0,1.0,[-0.117  0.598 -1.167 -1.819],4999.106,33479057000.0,926484600.0,905.6903,50,-197.04666,174051,1564.6139,129.86879,50.0,1564.613740989843,1554.6321,488.48987102508545,585.903,True,3980.7693,1750,,4989.1245,,-1.0,10.0,1,1.0,,-374284650000.0,-197.04666,-5308819.0,3268291.0,1.0,35,0.4189424,10.0,50.0
138.82,,0.103169955,1.0,1.0,[-0.171  0.572 -1.183 -1.822],3878.896,40096297000.0,296711940.0,771.88226,50,-173.55188,180992,1377.7539,99.699646,50.0,1377.7539946623292,1377.7539,509.0585398674011,262.68137,True,1426.008,1800,,3878.896,,-1.0,10.0,1,1.0,,-246289730000.0,-173.55188,-3722504.5,2494008.2,1.0,36,0.4189424,10.0,50.0
182.04,39.931,0.13329811,1.0,1.0,[-0.109  0.58  -1.19  -1.818],4997.9497,441321000000.0,275432350.0,1188.2644,50,-233.56148,190094,1809.888,61.77835,50.0,1809.8879669025555,1769.957,535.7231936454773,219.35783,True,1366.5325,1850,,4958.0186,,-1.0,10.0,1,1.0,,-1355201000000.0,-233.56148,-6727254.0,4687667.0,1.0,37,0.4189424,10.0,50.0
150.04,9.980235,0.04922656,1.0,1.0,[-0.051  0.564 -1.197 -1.832],4997.589,1.6551509e+35,16579318000000.0,1103.5713,50,-211.07788,197596,1490.0331,1026672.94,50.0,1490.0332247167712,1480.053,558.3341708183289,7185505.5,True,51325212.0,1900,,4987.6084,,-1.0,9.999999,1,1.0,,-8.2964866e+23,-211.07788,-5477356.5,3438068.2,1.0,38,0.4189424,9.999999,50.0
178.62,9.981038,0.1759525,1.0,1.0,[-0.123  0.64  -1.225 -1.77 ],4998.0195,219753600.0,69102450.0,1138.4707,50,-209.92914,206527,1775.7568,13.868038,50.0,1775.7568524005462,1765.7758,582.4236214160919,48.00778,True,330.63843,1950,,4988.0386,,-1.0,9.999999,1,1.0,,-30304678000.0,-209.92914,-6489072.0,4449428.0,1.0,39,0.4189424,9.999999,50.0
159.7,279.82132,0.1127495,1.0,1.0,[-0.179  0.66  -1.243 -1.77 ],3089.2732,534615780.0,521507780.0,748.86456,50,-147.71489,214512,1586.477,118.43119,50.0,1586.4770048956311,1306.6556,605.3172786235809,329.2036,True,1518.2557,2000,,2809.452,,-1.0,10.0,1,1.0,,-18538732000.0,-147.71489,-3856946.0,3077707.2,1.0,40,0.4189424,10.0,50.0
200.56,19.96201,0.075740345,1.0,1.0,[-0.142  0.582 -1.29  -1.846],4999.3174,266506620000.0,145076220.0,926.3947,50,-220.22917,224540,1995.4359,39.741055,50.0,1995.4360027320322,1975.4741,632.5620515346527,69.89274,True,351.45294,2050,,4979.3555,,-1.0,10.0,1,1.0,,-1053633540000.0,-220.22917,-6880677.0,4839972.0,1.0,41,0.4189424,10.0,50.0
181.24,19.969633,0.13638425,1.0,1.0,[-0.084  0.575 -1.297 -1.866],4938.8447,25231603000000.0,219396130.0,1162.475,50,-184.49088,233602,1801.723,31.973448,50.0,1801.722817009348,1781.7529,656.3115110397339,78.32494,True,512.2513,2100,,4918.875,,-1.0,10.0,1,1.0,,-10004307000000.0,-184.49088,-6589185.5,4597553.0,1.0,42,0.4189424,10.0,50.0
180.86,,0.58209455,1.0,1.0,[-0.133  0.539 -1.404 -1.842],4958.8306,3.1583706e+22,46517760000.0,831.239,50,-215.21072,242645,1798.0867,8812.847,50.0,1798.0868388103609,1798.0867,684.8993401527405,30824.57,True,181466.39,2150,,4958.8306,,-1.0,10.0,1,1.0,,-3.5681616e+17,-215.21072,-5931858.5,3924074.5,1.0,43,0.4189424,10.0,50.0
126.54,9.982105,0.8031303,1.0,1.0,[-0.214  0.526 -1.447 -1.926],3119.3572,2.0148018e+25,906301150000.0,613.5251,50,-121.32812,248972,1255.1029,438427.38,50.0,1255.1028998238903,1245.1207,700.9991388320923,1664025.0,True,8409222.0,2200,,3109.375,,-1.0,10.0,1,1.0,,-3.5661599e+18,-121.32812,-2746184.5,1951696.4,1.0,44,0.4189424,10.0,50.0
99.9,9.979141,0.6580112,1.0,1.0,[-0.325  0.518 -1.44  -1.869],2129.813,4.499235e+21,16595347000.0,393.4605,50,-90.58853,253967,988.7976,21227.176,50.0,988.797597828827,978.8184,715.4794080257416,61983.074,True,394898.1,2250,,2119.8337,,-1.0,10.0,1,1.0,,-2.4843167e+16,-90.58853,-1502905.1,1132531.9,1.0,45,0.4189424,10.0,50.0
158.84,9.983049,0.02127214,1.0,1.0,[-0.231  0.6   -1.45  -1.867],3719.6216,8.781437e+35,6518016000000.0,785.5956,50,-151.54765,261909,1578.0436,3445601.2,50.0,1578.0436129316545,1568.0604,738.5938596725464,15729027.0,True,109139010.0,2300,,3709.6384,,-1.0,10.0,1,1.0,,-1.0586068e+24,-151.54765,-4237062.0,3107382.0,1.0,46,0.4189424,10.0,50.0
211.26,29.958862,0.11125924,1.0,1.0,[-0.116  0.648 -1.456 -1.873],4999.3027,5.5599814e+21,24118045000.0,1244.8461,50,-221.86282,272472,2102.5686,2600.18,50.0,2102.5686067327724,2072.6096,769.1361901760101,9171.743,True,55694.84,2350,,4969.3438,,-1.0,10.0,1,1.0,,-1.5216332e+17,-221.86282,-8011131.5,5970436.5,1.0,47,0.4189424,10.0,50.0
279.68,329.771,0.6078022,1.0,1.0,[-0.041  0.593 -1.486 -1.951],4999.2725,4.717632e+17,525440700.0,1617.177,50,-219.95819,286456,2787.7703,25.837236,50.0,2787.770291500894,2457.9993,810.9656701087952,92.85063,True,661.5787,2400,,4669.5015,,-1.0,10.0,1,1.0,,-1401619800000000.0,-219.95819,-12427602.0,10386925.0,1.0,48,0.4189424,10.0,50.0
255.7,289.7188,0.08157059,1.0,1.0,[-0.095  0.582 -1.498 -1.978],4999.097,117010790000000.0,4125101000.0,1250.522,50,-224.86899,299241,2547.099,670.41345,50.0,2547.0993523578027,2257.3804,843.147488117218,2040.273,True,10117.975,2450,,4709.3784,,-1.0,9.999999,1,1.0,,-22076572000000.0,-224.86899,-10092050.0,8051520.0,1.0,49,0.4189424,9.999999,50.0
268.86,29.947659,0.16501865,1.0,1.0,[-0.045  0.615 -1.502 -1.961],4999.342,2.175335e+19,10126882000.0,1534.8147,50,-239.12054,312684,2678.882,448.31448,50.0,2678.8820551799313,2648.9343,873.0226767063141,2829.934,True,20221.26,2500,,4969.394,,-1.0,10.0,1,1.0,,-9517951000000000.0,-239.12054,-11572798.0,9532066.0,1.0,50,0.4189424,10.0,50.0
283.86,639.6212,0.0043336498,1.0,1.0,[-0.105  0.617 -1.512 -1.972],4999.0693,1.5130197e+19,4546345000000.0,1143.1036,50,-219.37599,326877,2828.5571,336213.4,50.0,2828.5571020905027,2188.936,916.465734243393,2240103.8,True,16011313.0,2550,,4359.448,,-1.0,10.0,1,1.0,,-7941520000000000.0,-219.37599,-11347932.0,9307421.0,1.0,51,0.4189424,10.0,50.0
258.9,9.979646,0.03503599,1.0,1.0,[-0.093  0.538 -1.517 -2.068],4999.1807,2587837800000000.0,3762351600.0,1084.7538,50,-201.42793,339822,2578.5864,593.4012,50.0,2578.586401210189,2568.6067,944.6712305545807,1433.7985,True,8049.1704,2600,,4989.201,,-1.0,10.0,1,1.0,,-103809320000000.0,-201.42793,-9866397.0,7825798.5,1.0,52,0.4189424,10.0,50.0
328.64,299.79828,0.015582752,1.0,1.0,[-0.039  0.567 -1.523 -2.06 ],4999.0957,2.7726995e+36,2109898600000.0,1623.2523,50,-242.62964,356254,3278.3462,86436.8,50.0,3278.3466224851973,2978.548,978.1370210647583,459105.0,True,3239126.2,2650,,4699.2974,,-1.0,10.0,1,1.0,,-3.3977286e+24,-242.62964,-15423039.0,13382504.0,1.0,53,0.4189424,10.0,50.0
306.9,,0.5073634,1.0,1.0,[-0.003  0.455 -1.54  -2.101],4999.504,7.9542514e+27,6615459000000.0,1728.2296,50,-234.68744,371599,3061.0862,457717.8,50.0,3061.086354157782,3061.0862,1009.540619134903,3161719.8,True,22588532.0,2700,,4999.504,,-1.0,10.0,1,1.0,,-1.8201528e+20,-234.68744,-14397894.0,12357027.0,1.0,54,0.4189424,10.0,50.0
349.46,9.980912,0.1527431,1.0,1.0,[-0.017  0.358 -1.617 -2.104],4999.336,130668710.0,133958390.0,1450.7289,50,-235.06186,389072,3487.0356,12.015092,50.0,3487.0356700023385,3477.055,1053.1483798027039,22.019459,True,130.372,2750,,4989.355,,-1.0,10.0,1,1.0,,-23461276000.0,-235.06186,-16304766.0,14264033.0,1.0,55,0.4189424,10.0,50.0
344.3,39.934883,0.00973865,1.0,1.0,[ 0.014  0.353 -1.619 -2.103],4999.3906,2.9340074e+20,665418050.0,1672.4968,50,-234.294,406287,3435.8547,39.198368,50.0,3435.854510290343,3395.9197,1090.2728962898254,78.67894,True,354.4527,2800,,4959.4556,,-1.0,10.0,1,1.0,,-3.4955787e+16,-234.294,-16643121.0,14602342.0,1.0,56,0.4189424,10.0,50.0
261.34,,0.022309685,1.0,1.0,[-0.044  0.366 -1.635 -2.116],4999.3916,1.9228475e+23,4475973600.0,1247.27,50,-234.9397,419354,2603.7358,995.70795,50.0,2603.735685150006,2603.7358,1121.5584921836853,2892.4893,True,16136.56,2850,,4999.3916,,-1.0,10.0,1,1.0,,-8.948724e+17,-234.9397,-10375893.0,8335122.0,1.0,57,0.4189424,10.0,50.0
341.9,359.78754,0.17658591,1.0,1.0,[ 0.016  0.348 -1.637 -2.118],4999.0977,4.7863996e+20,741770900000.0,1621.6022,50,-225.96303,436449,3411.5112,29684.775,50.0,3411.511415214698,3051.724,1160.4550790786743,191657.84,True,1366560.6,2900,,4639.31,,-1.0,10.0,1,1.0,,-4.4642586e+16,-225.96303,-16308540.0,14268003.0,1.0,58,0.4189424,10.0,50.0
189.9,359.68442,0.26597822,1.0,1.0,[ 0.071  0.325 -1.648 -2.102],4999.4175,1.7762256e+34,8845991000.0,1418.157,50,-222.34578,445944,1889.0525,983.9998,50.0,1889.052523260908,1529.3679,1181.4065284729004,2402.3804,True,14722.128,2950,,4639.733,,-1.0,10.0,1,1.0,,-2.7198332e+23,-222.34578,-7620474.5,5579688.5,1.0,59,0.4189424,10.0,50.0
229.24,9.979719,0.00962666,1.0,1.0,[-0.048  0.322 -1.672 -2.13 ],4999.215,1.8100142e+23,2177528800.0,1211.652,50,-249.82422,457406,2282.3237,344.01645,50.0,2282.32377736062,2272.344,1209.7034060955048,937.2205,True,6566.3843,3000,,4989.2354,,-1.0,10.0,1,1.0,,-8.681584e+17,-249.82422,-8717724.0,6677102.0,1.0,60,0.4189424,10.0,50.0
365.46,,0.14258964,1.0,1.0,[ 0.014  0.318 -1.671 -2.134],4999.4004,5922084600000.0,21476694000.0,1676.8392,50,-238.02747,475679,3648.0745,928.06744,50.0,3648.0747000449537,3648.0745,1242.789955854416,5832.036,True,41689.33,3050,,4999.4004,,-1.0,10.0,1,1.0,,-4987714300000.0,-238.02747,-18161024.0,16120238.0,1.0,61,0.4189424,10.0,50.0
247.3,409.6505,0.13019586,1.0,1.0,[ 0.038  0.262 -1.683 -2.14 ],4999.3022,1.7480377e+24,741411650.0,1502.4083,50,-240.60495,488044,2463.5122,69.33943,50.0,2463.512122783871,2053.8618,1266.9028086662292,99.695984,True,498.54825,3100,,4589.652,,-1.0,10.0,1,1.0,,-2.698041e+18,-240.60495,-10366818.0,8326122.5,1.0,62,0.4189424,10.0,50.0
232.96,419.7825,0.74891967,1.0,1.0,[-0.022  0.246 -1.689 -2.143],4999.4033,3.9777144e+31,120306975000.0,1351.3348,50,-252.86673,499692,2320.5388,17116.129,50.0,2320.5388971192806,1900.7563,1294.5378217697144,73951.88,True,518055.12,3150,,4579.6206,,-1.0,10.0,1,1.0,,-1.2870859e+22,-252.86673,-9251784.0,7211007.0,1.0,63,0.4189424,10.0,50.0
288.88,19.969835,0.014394548,1.0,1.0,[ 0.04   0.256 -1.691 -2.147],4999.0674,248592330000.0,1970603300.0,1606.1976,50,-237.68327,514136,2879.981,229.52109,50.0,2879.9808623117224,2860.011,1324.9288158416748,1191.1814,True,8376.393,3200,,4979.0977,,-1.0,9.999999,1,1.0,,-1019334200000.0,-237.68327,-12914668.0,10874160.0,1.0,64,0.4189424,9.999999,50.0
335.18,,0.22573967,1.0,1.0,[ 0.011  0.311 -1.698 -2.146],4999.454,4.6816463e+22,3223454700.0,1699.259,50,-239.32748,530895,3345.0627,195.65854,50.0,3345.062887788954,3345.0627,1360.6057300567627,427.7904,True,2553.1746,3250,,4999.454,,-1.0,10.0,1,1.0,,-4.4156926e+17,-239.32748,-16117756.0,14076926.0,1.0,65,0.4189424,10.0,50.0
