IterType,J,AvgVanillaIw,AvgEpLen,ESSRenyi,AvgNormIw,VarJ,AvgDiscRet,VarRet,MaxVanillaIw,BatchSize,Bound,ESSClassic,VarVanillaIw,VarDiscRet,Delta,MinNormIw,AvgRet,eRenyi2,VarNormIw,MinVanillaIw,EpsThisIter,VanillaAvgRet,MaxNormIw
1,1050.75,1.97714,38.7,16.1541914816,0.00333333,2362.02,358.529502659,28372.1175905,447.071,300,583.677,1.75410534275,666.877,28372.1175905,0.3,1.37336e-10,358.529502659,18.571,0.00189551,8.14601e-08,100,358.529502659,0.753733
2,544.565,1.0,58.81,300.0,0.01,282.593,544.564581548,80665.1975166,1.0,300,273.896,100.0,,80665.1975166,0.3,0.01,544.564581548,1.0,3.50449e-18,1.0,100,544.564581548,0.01
2,522.383,1.0,54.02,300.0,0.005,264.14,500.201638125,59290.327745,1.0,300,330.991,200.000000102,,59290.327745,0.3,0.005,500.201638125,1.0,2.1793e-19,1.0,100,500.201638125,0.005
,583.003,101222.0,38.7,nan,0.00333333,2043.05,466.182370411,28372.1175905,1.22759e+07,400,-inf,4.22922941297,7.18936e+11,42438.7074546,0.3,7.36595e-11,358.529502659,nan,0.000779653,0.00223678,100,358.529502659,0.40426
1,1056.37,1.85143,40.07,17.0673319704,0.0025,2689.1,370.541760238,36717.4271701,569.043,400,601.962,1.68979669251,810.008,36717.4271701,0.3,3.03151e-12,370.541760238,23.4366,0.00147691,2.24506e-09,100,370.541760238,0.768383
2,531.472,1.0,57.4,400.0,0.01,236.063,531.472007172,56288.4997225,1.0,400,321.644,100.0,,56288.4997225,0.3,0.01,531.472007172,1.0,3.50449e-18,1.0,100,531.472007172,0.01
2,496.323,1.0,49.81,400.0,0.005,221.869,461.173528878,40661.8416758,1.0,400,347.952,200.000000102,,40661.8416758,0.3,0.005,461.173528878,1.0,2.1793e-19,1.0,100,461.173528878,0.005
2,501.735,1.0,55.37,400.0,0.00333333,221.872,512.558604985,49549.1935974,1.0,400,380.59,299.999969474,,49549.1935974,0.3,0.00333333,512.558604985,1.0,5.43914e-20,1.0,100,512.558604985,0.00333333
,887.58,2.53611e+06,40.07,0.348117239019,0.0025,5775.53,545.261786258,36717.4271701,4.45423e+08,500,-3594.1,3.17683729026,8.05427e+14,77632.4992053,0.3,1.73231e-12,370.541760238,1436.3,0.000782653,0.00175734,100,370.541760238,0.439081
1,1015.41,1.88294,38.75,16.1821419387,0.002,3447.79,358.793277314,27071.2437772,664.411,500,548.734,1.99109420459,888.562,27071.2437772,0.3,1.11496e-14,358.793277314,30.8983,0.00100248,1.0497e-11,100,358.793277314,0.705717
2,513.984,1.0,55.53,500.0,0.01,215.661,513.983923568,46979.5193034,1.0,500,318.071,100.0,,46979.5193034,0.3,0.01,513.983923568,1.0,3.50449e-18,1.0,100,513.983923568,0.01
2,525.765,1.0,58.01,500.0,0.005,239.674,537.546542066,68787.6419864,1.0,500,363.491,200.000000102,,68787.6419864,0.3,0.005,537.546542066,1.0,2.1793e-19,1.0,100,537.546542066,0.005
2,523.958,1.0,56.17,500.0,0.00333333,224.046,520.342945938,36043.0268953,1.0,500,391.462,299.999969474,,36043.0268953,0.3,0.00333333,520.342945938,1.0,5.43914e-20,1.0,100,520.342945938,0.00333333
2,515.168,1.0,52.79,500.0,0.0025,219.832,488.797625136,42210.6707557,1.0,500,400.423,400.0,,42210.6707557,0.3,0.0025,488.797625136,1.0,5.4346e-20,1.0,100,488.797625136,0.0025
1,792.021,1.76395,54.12,107.579501235,0.002,1967.8,501.159372488,45167.1695072,416.841,500,570.763,4.44263772708,347.771,45167.1695072,0.3,8.68424e-07,501.159372488,4.64773,0.000447077,0.000765927,100,501.159372488,0.472624
2,595.489,1.0,64.23,500.0,0.01,261.31,595.488611894,68972.808321,1.0,500,397.044,100.0,,68972.808321,0.3,0.01,595.488611894,1.0,3.50449e-18,1.0,100,595.488611894,0.01
2,599.31,1.0,65.1,500.0,0.005,245.034,603.130378826,52293.7997425,1.0,500,439.561,200.000000102,,52293.7997425,0.3,0.005,603.130378826,1.0,2.1793e-19,1.0,100,603.130378826,0.005
2,590.307,1.0,61.83,500.0,0.00333333,240.925,572.302756323,54105.9945696,1.0,500,459.873,299.999969474,,54105.9945696,0.3,0.00333333,572.302756323,1.0,5.43914e-20,1.0,100,572.302756323,0.00333333
2,606.351,1.0,70.72,500.0,0.0025,250.467,654.482252087,74456.867831,1.0,500,491.228,400.0,,74456.867831,0.3,0.0025,654.482252087,1.0,5.4346e-20,1.0,100,654.482252087,0.0025
1,1078.31,2.00227,72.43,43.3140223662,0.002,3015.03,671.321953656,63200.595635,558.002,500,728.46,3.19392766266,624.852,63200.595635,0.3,1.60463e-07,671.321953656,11.5436,0.000623435,0.000160645,100,671.321953656,0.557369
2,738.233,1.0,79.95,500.0,0.01,286.476,738.233209214,82897.5491238,1.0,500,481.741,100.0,,82897.5491238,0.3,0.01,738.233209214,1.0,3.50449e-18,1.0,100,738.233209214,0.01
2,750.818,1.0,82.53,500.0,0.005,304.392,763.402444522,103963.2841,1.0,500,545.599,200.000000102,,103963.2841,0.3,0.005,763.402444522,1.0,2.1793e-19,1.0,100,763.402444522,0.005
2,754.908,1.0,82.48,500.0,0.00333333,294.284,763.0891931,75151.8594149,1.0,500,587.348,299.999969474,,75151.8594149,0.3,0.00333333,763.0891931,1.0,5.43914e-20,1.0,100,763.0891931,0.00333333
2,755.496,1.0,81.92,500.0,0.0025,298.568,757.261063923,97734.4395999,1.0,500,606.097,400.0,,97734.4395999,0.3,0.0025,757.261063923,1.0,5.4346e-20,1.0,100,757.261063923,0.0025
1,1313.36,2.27783,80.15,52.3627705463,0.002,2712.48,740.595723112,85134.3823264,766.764,500,900.439,2.19665003039,1178.17,85134.3823264,0.3,4.2008e-10,740.595723112,9.54877,0.000908296,4.78435e-07,100,740.595723112,0.673242
2,862.9,1.0,93.38,500.0,0.01,277.823,862.900198495,77965.542361,1.0,500,642.622,100.0,,77965.542361,0.3,0.01,862.900198495,1.0,3.50449e-18,1.0,100,862.900198495,0.01
2,869.086,1.0,94.73,500.0,0.005,288.353,875.272541487,89931.7926481,1.0,500,671.318,200.000000102,,89931.7926481,0.3,0.005,875.272541487,1.0,2.1793e-19,1.0,100,875.272541487,0.005
2,870.967,1.0,94.56,500.0,0.00333333,306.913,874.729366508,117445.403337,1.0,500,677.833,299.999969474,,117445.403337,0.3,0.00333333,874.729366508,1.0,5.43914e-20,1.0,100,874.729366508,0.00333333
2,875.502,1.0,96.23,500.0,0.0025,310.567,889.105951568,104013.556346,1.0,500,708.243,400.0,,104013.556346,0.3,0.0025,889.105951568,1.0,5.4346e-20,1.0,100,889.105951568,0.0025
1,981.725,0.970662,101.7,289.026837787,0.002,420.739,939.482502245,96870.0546658,4.22403,500,784.959,269.973760468,0.80438,96870.0546658,0.3,4.01254e-06,939.482502245,1.72994,3.41496e-06,0.00194741,100,939.482502245,0.0087034
2,928.996,1.0,100.58,500.0,0.01,304.451,928.996520182,93626.8892115,1.0,500,646.421,100.0,,93626.8892115,0.3,0.01,928.996520182,1.0,3.50449e-18,1.0,100,928.996520182,0.01
2,950.828,1.0,105.31,500.0,0.005,293.857,972.659572038,79858.8948287,1.0,500,744.567,200.000000102,,79858.8948287,0.3,0.005,972.659572038,1.0,2.1793e-19,1.0,100,972.659572038,0.005
2,951.553,1.0,103.05,500.0,0.00333333,295.762,953.004179789,90623.6256563,1.0,500,783.142,299.999969474,,90623.6256563,0.3,0.00333333,953.004179789,1.0,5.43914e-20,1.0,100,953.004179789,0.00333333
2,950.2,1.0,102.44,500.0,0.0025,295.792,946.139529111,88408.804532,1.0,500,804.351,400.0,,88408.804532,0.3,0.0025,946.139529111,1.0,5.4346e-20,1.0,100,946.139529111,0.0025
1,1268.84,1.35183,99.88,80.4023861177,0.002,2681.84,922.818556432,103501.030503,158.907,500,943.53,16.1816614373,54.7486,103501.030503,0.3,3.44797e-09,922.818556432,6.21872,0.000119836,2.33053e-06,100,922.818556432,0.235099
2,1056.71,1.0,114.4,500.0,0.01,303.802,1056.70694762,93227.6585287,1.0,500,764.006,100.0,,93227.6585287,0.3,0.01,1056.70694762,1.0,3.50449e-18,1.0,100,1056.70694762,0.01
2,1041.18,1.0,111.04,500.0,0.005,308.832,1025.65631581,98966.6109341,1.0,500,821.583,200.000000102,,98966.6109341,0.3,0.005,1025.65631581,1.0,2.1793e-19,1.0,100,1025.65631581,0.005
2,1049.86,1.0,115.54,500.0,0.00333333,310.376,1067.21020484,98782.1124625,1.0,500,870.557,299.999969474,,98782.1124625,0.3,0.00333333,1067.21020484,1.0,5.43914e-20,1.0,100,1067.21020484,0.00333333
2,1055.27,1.0,116.03,500.0,0.0025,315.435,1071.4913479,109744.191311,1.0,500,883.724,400.0,,109744.191311,0.3,0.0025,1071.4913479,1.0,5.4346e-20,1.0,100,1071.4913479,0.0025
1,1285.07,1.39794,113.69,134.219583452,0.002,1833.96,1051.56375932,83710.2840812,241.254,500,988.932,8.16689971618,117.925,83710.2840812,0.3,2.31799e-06,1051.56375932,3.72524,0.000241374,0.0016202,100,1051.56375932,0.345157
2,1122.44,1.0,121.59,500.0,0.01,283.224,1122.4443588,81025.9253385,1.0,500,828.654,100.0,,81025.9253385,0.3,0.01,1122.4443588,1.0,3.50449e-18,1.0,100,1122.4443588,0.01
2,1154.89,1.0,128.72,500.0,0.005,306.806,1187.33419238,107009.119855,1.0,500,911.132,200.000000102,,107009.119855,0.3,0.005,1187.33419238,1.0,2.1793e-19,1.0,100,1187.33419238,0.005
2,1152.06,1.0,124.43,500.0,0.00333333,306.813,1146.40598174,95045.5701359,1.0,500,953.035,299.999969474,,95045.5701359,0.3,0.00333333,1146.40598174,1.0,5.43914e-20,1.0,100,1146.40598174,0.00333333
2,1138.49,1.0,119.07,500.0,0.0025,302.312,1097.78557729,81776.4413132,1.0,500,966.13,400.0,,81776.4413132,0.3,0.0025,1097.78557729,1.0,5.4346e-20,1.0,100,1097.78557729,0.0025
1,1254.06,1.14624,119.5,253.970760602,0.002,631.808,1103.18970795,115419.767002,16.5425,500,1036.94,196.159814603,2.03918,115419.767002,0.3,1.54119e-07,1103.18970795,1.96873,6.20818e-06,8.83289e-05,100,1103.18970795,0.028864
2,1102.73,1.0,119.8,500.0,0.01,316.983,1102.73410382,101493.012702,1.0,500,826.402,100.0,,101493.012702,0.3,0.01,1102.73410382,1.0,3.50449e-18,1.0,100,1102.73410382,0.01
2,1138.91,1.0,127.17,500.0,0.005,317.611,1175.08199678,99654.5039965,1.0,500,938.59,200.000000102,,99654.5039965,0.3,0.005,1175.08199678,1.0,2.1793e-19,1.0,100,1175.08199678,0.005
2,1156.01,1.0,128.83,500.0,0.00333333,316.435,1190.20514727,97863.8586189,1.0,500,953.567,299.999969474,,97863.8586189,0.3,0.00333333,1190.20514727,1.0,5.43914e-20,1.0,100,1190.20514727,0.00333333
2,1152.3,1.0,123.89,500.0,0.0025,318.083,1141.19609621,105202.710039,1.0,500,976.986,400.0,,105202.710039,0.3,0.0025,1141.19609621,1.0,5.4346e-20,1.0,100,1141.19609621,0.0025
1,1449.88,1.52316,126.93,151.87359471,0.002,3200.54,1167.43059753,117336.993566,274.043,500,1165.36,7.60266105116,150.56,117336.993566,0.3,6.43585e-06,1167.43059753,3.29221,0.000259585,0.00490141,100,1167.43059753,0.359836
2,1160.53,1.0,126.02,500.0,0.01,328.635,1160.527178,109091.671667,1.0,500,842.81,100.0,,109091.671667,0.3,0.01,1160.527178,1.0,3.50449e-18,1.0,100,1160.527178,0.01
2,1201.91,1.0,134.65,500.0,0.005,363.928,1243.28723188,155012.447196,1.0,500,894.655,200.000000102,,155012.447196,0.3,0.005,1243.28723188,1.0,2.1793e-19,1.0,100,1243.28723188,0.005
2,1198.09,1.0,129.19,500.0,0.00333333,363.647,1190.45662858,133073.869123,1.0,500,947.22,299.999969474,,133073.869123,0.3,0.00333333,1190.45662858,1.0,5.43914e-20,1.0,100,1190.45662858,0.00333333
2,1202.92,1.0,132.15,500.0,0.0025,353.867,1217.38868434,104940.440771,1.0,500,985.655,400.0,,104940.440771,0.3,0.0025,1217.38868434,1.0,5.4346e-20,1.0,100,1217.38868434,0.0025
1,2053.52,2.27243,129.82,45.4522874866,0.002,5966.66,1195.03389314,116734.690085,710.623,500,1409.01,2.54285482006,1012.24,116734.690085,0.3,1.15652e-09,1195.03389314,11.0005,0.000784086,1.31406e-06,100,1195.03389314,0.62543
2,1189.31,1.0,129.36,500.0,0.01,328.867,1189.30763358,109245.940493,1.0,500,795.26,100.0,,109245.940493,0.3,0.01,1189.30763358,1.0,3.50449e-18,1.0,100,1189.30763358,0.01
2,1231.62,1.0,138.56,500.0,0.005,347.666,1273.92923662,131323.098636,1.0,500,899.922,200.000000102,,131323.098636,0.3,0.005,1273.92923662,1.0,2.1793e-19,1.0,100,1273.92923662,0.005
2,1216.24,1.0,128.84,500.0,0.00333333,347.15,1185.47241692,119570.83072,1.0,500,945.408,299.999969474,,119570.83072,0.3,0.00333333,1185.47241692,1.0,5.43914e-20,1.0,100,1185.47241692,0.00333333
2,1236.35,1.0,140.89,500.0,0.0025,338.707,1296.70862152,93428.4667661,1.0,500,1001.81,400.0,,93428.4667661,0.3,0.0025,1296.70862152,1.0,5.4346e-20,1.0,100,1296.70862152,0.0025
1,2363.59,3.27128,131.84,60.7581112428,0.002,7078.61,1213.63112649,136694.600393,1165.54,500,1761.79,1.96755819249,2714.16,136694.600393,0.3,2.86782e-06,1213.63112649,8.22935,0.00101452,0.00469073,100,1213.63112649,0.71259
2,1315.54,1.0,143.13,500.0,0.01,374.527,1315.53622835,141687.520551,1.0,500,891.22,100.0,,141687.520551,0.3,0.01,1315.53622835,1.0,3.50449e-18,1.0,100,1315.53622835,0.01
2,1277.97,1.0,134.98,500.0,0.005,346.836,1240.4054795,98482.3765895,1.0,500,977.934,200.000000102,,98482.3765895,0.3,0.005,1240.4054795,1.0,2.1793e-19,1.0,100,1240.4054795,0.005
2,1252.69,1.0,131.0,500.0,0.00333333,355.364,1202.12934959,135784.323987,1.0,500,1007.71,299.999969474,,135784.323987,0.3,0.00333333,1202.12934959,1.0,5.43914e-20,1.0,100,1202.12934959,0.00333333
2,1248.11,1.0,134.27,500.0,0.0025,366.706,1234.35521766,160393.061529,1.0,500,1025.7,400.0,,160393.061529,0.3,0.0025,1234.35521766,1.0,5.4346e-20,1.0,100,1234.35521766,0.0025
1,1327.58,0.995368,134.23,310.518400065,0.002,739.495,1234.15829604,134425.848294,9.71839,500,1075.15,291.66533735,0.709109,134425.848294,0.3,5.3371e-05,1234.15829604,1.61021,2.8629e-06,0.0265619,100,1234.15829604,0.0195272
2,1292.77,1.0,140.81,500.0,0.01,355.251,1292.76515436,127478.262199,1.0,500,856.145,100.0,,127478.262199,0.3,0.01,1292.76515436,1.0,3.50449e-18,1.0,100,1292.76515436,0.01
2,1312.66,1.0,144.66,500.0,0.005,382.332,1332.54872453,167031.17651,1.0,500,1003.92,200.000000102,,167031.17651,0.3,0.005,1332.54872453,1.0,2.1793e-19,1.0,100,1332.54872453,0.005
2,1287.29,1.0,134.97,500.0,0.00333333,364.082,1236.54518173,102474.004647,1.0,500,1035.2,299.999969474,,102474.004647,0.3,0.00333333,1236.54518173,1.0,5.43914e-20,1.0,100,1236.54518173,0.00333333
2,1284.72,1.0,139.11,500.0,0.0025,357.857,1277.01386176,115656.177061,1.0,500,1066.41,400.0,,115656.177061,0.3,0.0025,1277.01386176,1.0,5.4346e-20,1.0,100,1277.01386176,0.0025
1,1505.43,2.24113,138.1,209.451395967,0.002,1840.9,1269.6877279,112524.416917,655.429,500,1203.74,2.91755185181,857.459,112524.416917,0.3,1.68536e-05,1269.6877279,2.38719,0.000682872,0.0188856,100,1269.6877279,0.584909
2,1276.85,1.0,138.98,500.0,0.01,313.965,1276.84880239,99569.7208894,1.0,500,963.417,100.0,,99569.7208894,0.3,0.01,1276.84880239,1.0,3.50449e-18,1.0,100,1276.84880239,0.01
2,1293.53,1.0,142.45,500.0,0.005,323.486,1310.21766388,111268.618612,1.0,500,1040.59,200.000000102,,111268.618612,0.3,0.005,1310.21766388,1.0,2.1793e-19,1.0,100,1310.21766388,0.005
2,1286.24,1.0,138.28,500.0,0.00333333,327.307,1271.6500762,112912.584414,1.0,500,1079.71,299.999969474,,112912.584414,0.3,0.00333333,1271.6500762,1.0,5.43914e-20,1.0,100,1271.6500762,0.00333333
2,1294.25,1.0,143.54,500.0,0.0025,335.297,1318.27942253,128825.555883,1.0,500,1090.16,400.0,,128825.555883,0.3,0.0025,1318.27942253,1.0,5.4346e-20,1.0,100,1318.27942253,0.0025
1,2230.25,2.39374,143.98,32.6547370446,0.002,6611.25,1321.34101934,93203.7266136,793.927,500,1515.95,2.26507533164,1261.65,93203.7266136,0.3,1.78267e-08,1321.34101934,15.3117,0.000880735,2.13362e-05,100,1321.34101934,0.663337
2,1348.14,1.0,146.84,500.0,0.01,366.601,1348.13799619,135754.035647,1.0,500,1005.91,100.0,,135754.035647,0.3,0.01,1348.13799619,1.0,3.50449e-18,1.0,100,1348.13799619,0.01
2,1342.43,1.0,145.45,500.0,0.005,340.467,1336.71734356,98357.5704718,1.0,500,1059.1,200.000000102,,98357.5704718,0.3,0.005,1336.71734356,1.0,2.1793e-19,1.0,100,1336.71734356,0.005
2,1366.9,1.0,153.88,500.0,0.00333333,364.382,1415.85788048,164537.195424,1.0,500,1130.82,299.999969474,,164537.195424,0.3,0.00333333,1415.85788048,1.0,5.43914e-20,1.0,100,1415.85788048,0.00333333
2,1359.46,1.0,145.83,500.0,0.0025,366.634,1337.13302664,140096.10024,1.0,500,1147.45,400.0,,140096.10024,0.3,0.0025,1337.13302664,1.0,5.4346e-20,1.0,100,1337.13302664,0.0025
1,1436.35,0.994585,147.33,312.864357248,0.002,515.319,1353.90245846,121067.94635,11.1647,500,1196.62,267.916060137,0.858617,121067.94635,0.3,3.20452e-05,1353.90245846,1.59814,3.47197e-06,0.0159359,100,1353.90245846,0.022451
2,1339.17,1.0,145.82,500.0,0.01,370.442,1339.16925016,138613.398191,1.0,500,918.026,100.0,,138613.398191,0.3,0.01,1339.16925016,1.0,3.50449e-18,1.0,100,1339.16925016,0.01
2,1374.93,1.0,153.62,500.0,0.005,394.005,1410.69627863,172418.530066,1.0,500,1040.23,200.000000102,,172418.530066,0.3,0.005,1410.69627863,1.0,2.1793e-19,1.0,100,1410.69627863,0.005
2,1370.44,1.0,148.15,500.0,0.00333333,396.116,1361.44374116,161739.29519,1.0,500,1097.15,299.999969474,,161739.29519,0.3,0.00333333,1361.44374116,1.0,5.43914e-20,1.0,100,1361.44374116,0.00333333
2,1346.6,1.0,139.27,500.0,0.0025,389.085,1275.11063233,129303.997927,1.0,500,1109.93,400.0,,129303.997927,0.3,0.0025,1275.11063233,1.0,5.4346e-20,1.0,100,1275.11063233,0.0025
1,1586.01,1.18859,148.56,160.622923619,0.002,1798.67,1362.27750462,134029.502,25.427,500,1212.52,109.206885043,5.06557,134029.502,0.3,3.30197e-07,1362.27750462,3.11288,1.43426e-05,0.000196234,100,1362.27750462,0.0427853
2,1364.53,1.0,148.94,500.0,0.01,359.068,1364.5305213,130232.475472,1.0,500,935.534,100.0,,130232.475472,0.3,0.01,1364.5305213,1.0,3.50449e-18,1.0,100,1364.5305213,0.01
2,1354.29,1.0,146.51,500.0,0.005,394.582,1344.04219481,184091.372046,1.0,500,1050.94,200.000000102,,184091.372046,0.3,0.005,1344.04219481,1.0,2.1793e-19,1.0,100,1344.04219481,0.005
2,1335.12,1.0,141.66,500.0,0.00333333,385.72,1296.79617506,134085.729823,1.0,500,1087.44,299.999969474,,134085.729823,0.3,0.00333333,1296.79617506,1.0,5.43914e-20,1.0,100,1296.79617506,0.00333333
2,1333.96,1.0,144.99,500.0,0.0025,381.571,1330.46123952,137405.307079,1.0,500,1119.46,400.0,,137405.307079,0.3,0.0025,1330.46123952,1.0,5.4346e-20,1.0,100,1330.46123952,0.0025
1,2112.36,1.76688,148.05,69.8962690563,0.002,7896.37,1358.32717524,143246.263778,453.752,500,1599.23,3.7683162162,411.927,143246.263778,0.3,7.08393e-07,1358.32717524,7.15346,0.000527797,0.000625822,100,1358.32717524,0.513621
2,1404.87,1.0,153.08,500.0,0.01,403.284,1404.87058742,164280.778954,1.0,500,946.301,100.0,,164280.778954,0.3,0.01,1404.87058742,1.0,3.50449e-18,1.0,100,1404.87058742,0.01
2,1394.03,1.0,150.77,500.0,0.005,413.823,1383.18621379,181440.635461,1.0,500,1023.92,200.000000102,,181440.635461,0.3,0.005,1383.18621379,1.0,2.1793e-19,1.0,100,1383.18621379,0.005
2,1390.87,1.0,150.65,500.0,0.00333333,393.388,1384.54188985,122931.94051,1.0,500,1088.67,299.999969474,,122931.94051,0.3,0.00333333,1384.54188985,1.0,5.43914e-20,1.0,100,1384.54188985,0.00333333
2,1403.65,1.0,156.83,500.0,0.0025,401.214,1441.99314484,179462.309519,1.0,500,1141.94,400.0,,179462.309519,0.3,0.0025,1441.99314484,1.0,5.4346e-20,1.0,100,1441.99314484,0.0025
1,1929.88,1.50288,146.58,100.801091899,0.002,6696.35,1344.26943327,172522.908209,284.35,500,1400.02,6.83942806926,163.187,172522.908209,0.3,2.69948e-06,1344.26943327,4.96026,0.000289,0.00202849,100,1344.26943327,0.378408
2,1447.48,1.0,157.64,500.0,0.01,417.081,1447.47886281,175713.647503,1.0,500,962.732,100.0,,175713.647503,0.3,0.01,1447.47886281,1.0,3.50449e-18,1.0,100,1447.47886281,0.01
2,1433.15,1.0,154.57,500.0,0.005,404.889,1418.82294811,155053.56078,1.0,500,1090.38,200.000000102,,155053.56078,0.3,0.005,1418.82294811,1.0,2.1793e-19,1.0,100,1418.82294811,0.005
2,1417.54,1.0,151.12,500.0,0.00333333,381.71,1386.31641399,108863.882232,1.0,500,1137.67,299.999969474,,108863.882232,0.3,0.00333333,1386.31641399,1.0,5.43914e-20,1.0,100,1386.31641399,0.00333333
2,1414.81,1.0,153.14,500.0,0.0025,379.127,1406.61668875,139143.513652,1.0,500,1172.44,400.0,,139143.513652,0.3,0.0025,1406.61668875,1.0,5.4346e-20,1.0,100,1406.61668875,0.0025
1,1466.17,0.990657,151.72,366.767116613,0.002,596.745,1391.34821181,91442.98794,5.77952,500,1213.05,349.252777918,0.424449,91442.98794,0.3,5.9588e-05,1391.34821181,1.36326,1.72997e-06,0.0295156,100,1391.34821181,0.0116681
2,1417.37,1.0,154.54,500.0,0.01,457.81,1417.37285029,211707.426661,1.0,500,948.666,100.0,,211707.426661,0.3,0.01,1417.37285029,1.0,3.50449e-18,1.0,100,1417.37285029,0.01
2,1422.5,1.0,155.31,500.0,0.005,431.7,1427.62501116,164733.941572,1.0,500,1091.07,200.000000102,,164733.941572,0.3,0.005,1427.62501116,1.0,2.1793e-19,1.0,100,1427.62501116,0.005
2,1424.08,1.0,155.48,500.0,0.00333333,433.795,1427.25475634,193727.011117,1.0,500,1134.52,299.999969474,,193727.011117,0.3,0.00333333,1427.25475634,1.0,5.43914e-20,1.0,100,1427.25475634,0.00333333
2,1417.45,1.0,152.3,500.0,0.0025,426.85,1397.56359163,165395.305119,1.0,500,1166.68,400.0,,165395.305119,0.3,0.0025,1397.56359163,1.0,5.4346e-20,1.0,100,1397.56359163,0.0025
1,1489.65,1.06404,155.02,336.175011215,0.002,766.115,1424.60175564,162084.456157,10.515,500,1216.11,293.017273112,0.801356,162084.456157,0.3,0.000142428,1424.60175564,1.48732,2.8312e-06,0.0757746,100,1424.60175564,0.0197644
2,1375.11,1.0,150.04,500.0,0.01,367.654,1375.1110636,136534.57043,1.0,500,860.411,100.0,,136534.57043,0.3,0.01,1375.1110636,1.0,3.50449e-18,1.0,100,1375.1110636,0.01
2,1366.54,1.0,148.06,500.0,0.005,339.212,1357.96174148,95771.1223396,1.0,500,1002.59,200.000000102,,95771.1223396,0.3,0.005,1357.96174148,1.0,2.1793e-19,1.0,100,1357.96174148,0.005
2,1376.97,1.0,152.2,500.0,0.00333333,352.747,1397.8466593,143947.16788,1.0,500,1079.81,299.999969474,,143947.16788,0.3,0.00333333,1397.8466593,1.0,5.43914e-20,1.0,100,1397.8466593,0.00333333
2,1385.24,1.0,153.65,500.0,0.0025,354.387,1410.0287693,129544.248028,1.0,500,1127.89,400.0,,129544.248028,0.3,0.0025,1410.0287693,1.0,5.4346e-20,1.0,100,1410.0287693,0.0025
1,1436.38,0.991265,153.38,392.987821446,0.002,582.316,1409.33740494,134119.75895,5.13008,500,1176.74,380.093206942,0.310602,134119.75895,0.3,0.000195083,1409.33740494,1.2723,1.2644e-06,0.0966894,100,1409.33740494,0.0103506
2,1394.76,1.0,152.33,500.0,0.01,338.623,1394.7587139,115823.547825,1.0,500,962.55,100.0,,115823.547825,0.3,0.01,1394.7587139,1.0,3.50449e-18,1.0,100,1394.7587139,0.01
2,1401.93,1.0,153.26,500.0,0.005,352.122,1409.09403417,134558.030655,1.0,500,1078.87,200.000000102,,134558.030655,0.3,0.005,1409.09403417,1.0,2.1793e-19,1.0,100,1409.09403417,0.005
