EpsThisIter,eRenyi2,ESSRenyi,Bound,BatchSize,VarJ,MinNormIw,MaxVanillaIw,AvgEpLen,J,MinVanillaIw,ESSClassic,AvgDiscRet,MaxNormIw,IterType,AvgVanillaIw,VanillaAvgRet,AvgRet,VarVanillaIw,VarRet,VarNormIw,VarDiscRet,AvgNormIw
100,1.0,500.0,-226.06671,500,313.44843,0.01,1.0,500.0,-140.30551,1.0,100.0,-140.30551863875533,0.01,2,1.0,-140.30551863875533,-140.30551863875533,,99242.3421920591,3.5044917e-18,99242.3421920591,0.009999998
100,1.0,500.0,-183.83774,500,314.6677,0.005,1.0,500.0,-123.195404,1.0,200.00000010221265,-106.08529588788628,0.005,2,1.0,-106.08529588788628,-106.08529588788628,,100198.06174266685,2.179301e-19,100198.06174266685,0.0049999994
100,1.0,500.0,-200.05322,500,324.8402,0.0033333334,1.0,500.0,-143.16486,1.0,299.999969473632,-183.10372164443643,0.0033333334,2,1.0,-183.10372164443643,-183.10372164443643,,117312.46319231107,5.4391416e-20,117312.46319231107,0.0033333336
100,1.0,500.0,-199.7615,500,332.99265,0.0025,1.0,500.0,-136.76048,1.0,400.0,-117.54740158375452,0.0025,2,1.0,-117.54740158375452,-117.54740158375452,,127758.35474815921,5.434597e-20,127758.35474815921,0.0024999997
100,2.1465352,232.93352456859606,717.8408,500,70.891655,2.547361e-07,121289.84,500.0,800.3993,0.031016111,1.0077314226811165,-146.07715457751206,0.9961566,1,243.51562,-146.07715457751206,-146.07715457751206,29422004.0,115066.21899436742,0.0019846256,115066.21899436742,0.002
100,1.0,500.0,-233.1075,500,325.80087,0.01,1.0,500.0,-121.77913,1.0,100.0,-121.77912774162131,0.01,2,1.0,-121.77912774162131,-121.77912774162131,,107218.38612655441,3.5044917e-18,107218.38612655441,0.009999998
100,1.0,500.0,-209.51422,500,313.7015,0.005,1.0,500.0,-130.79318,1.0,200.00000010221265,-139.80722163617062,0.005,2,1.0,-139.80722163617062,-139.80722163617062,,91422.78593332283,2.179301e-19,91422.78593332283,0.0049999994
100,1.0,500.0,-198.79062,500,295.46216,0.0033333334,1.0,500.0,-134.51515,1.0,299.999969473632,-141.9590997464993,0.0033333334,2,1.0,-141.9590997464993,-141.9590997464993,,65649.71558757222,5.4391416e-20,65649.71558757222,0.0033333336
100,1.0,500.0,-190.18991,500,304.7124,0.0025,1.0,500.0,-134.52573,1.0,400.0,-134.55746347508665,0.0025,2,1.0,-134.55746347508665,-134.55746347508665,,110611.14203333412,5.434597e-20,110611.14203333412,0.0024999997
100,2.2862415,218.69955257961254,712.238,500,68.58883,2.3962374e-07,143446.89,500.0,787.5184,0.034500055,1.0073900263009017,-126.62789799398888,0.9963253,1,287.9519,-126.62789799398888,-126.62789799398888,41153412.0,74752.3264582116,0.0019852992,74752.3264582116,0.002
100,1.0,500.0,-225.6678,500,330.9273,0.01,1.0,500.0,-153.04356,1.0,100.0,-153.04356244391812,0.01,2,1.0,-153.04356244391812,-153.04356244391812,,110619.06534662956,3.5044917e-18,110619.06534662956,0.009999998
100,1.0,500.0,-171.06895,500,312.7728,0.005,1.0,500.0,-119.715866,1.0,200.00000010221265,-86.38817407406913,0.005,2,1.0,-86.38817407406913,-86.38817407406913,,84766.98782428175,2.179301e-19,84766.98782428175,0.0049999994
100,1.0,500.0,-195.02531,500,319.58786,0.0033333334,1.0,500.0,-134.9965,1.0,299.999969473632,-165.55779889279674,0.0033333334,2,1.0,-165.55779889279674,-165.55779889279674,,110459.10694181737,5.4391416e-20,110459.10694181737,0.0033333336
100,1.0,500.0,-182.81827,500,319.73218,0.0025,1.0,500.0,-130.83179,1.0,400.0,-118.33763288609342,0.0025,2,1.0,-118.33763288609342,-118.33763288609342,,103330.68061007527,5.434597e-20,103330.68061007527,0.0024999997
100,2.5942974,192.73040872427416,891.72314,500,70.27884,5.852475e-08,163774.78,500.0,966.6168,0.009614741,1.00624101619041,-173.34457015364163,0.996894,1,328.5701,-173.34457015364163,-173.34457015364163,53643696.0,102782.50835738402,0.001987571,102782.50835738402,0.0019999999
100,1.0,500.0,-216.12943,500,267.06445,0.01,1.0,500.0,-143.26852,1.0,100.0,-143.26853115192142,0.01,2,1.0,-143.26853115192142,-143.26853115192142,,72043.86357937497,3.5044917e-18,72043.86357937497,0.009999998
100,1.0,500.0,-187.91199,500,277.0843,0.005,1.0,500.0,-133.57076,1.0,200.00000010221265,-123.87297561132601,0.005,2,1.0,-123.87297561132601,-123.87297561132601,,82868.55644075968,2.179301e-19,82868.55644075968,0.0049999994
100,1.0,500.0,-190.66794,500,272.347,0.0033333334,1.0,500.0,-146.29852,1.0,299.999969473632,-171.75408420535985,0.0033333334,2,1.0,-171.75408420535985,-171.75408420535985,,68682.0718728528,5.4391416e-20,68682.0718728528,0.0033333336
100,1.0,500.0,-182.02097,500,282.83124,0.0025,1.0,500.0,-137.87363,1.0,400.0,-112.59889607813024,0.0025,2,1.0,-112.59889607813024,-112.59889607813024,,97579.4547315396,5.434597e-20,97579.4547315396,0.0024999997
100,2.0878632,239.47929076788031,242.50552,500,54.20081,7.8644905e-07,65731.61,500.0,299.56143,0.05208219,1.015052812695937,-83.95925639876297,0.9925574,1,132.44899,-83.95925639876297,-83.95925639876297,8641033.0,95498.88398341386,0.0019702818,95498.88398341386,0.002
100,1.0,500.0,-139.8482,500,306.23575,0.01,1.0,500.0,-58.541523,1.0,100.0,-58.54152603550216,0.01,2,1.0,-58.54152603550216,-58.54152603550216,,94727.60979077163,3.5044917e-18,94727.60979077163,0.009999998
100,1.0,500.0,-131.59332,500,308.61118,0.005,1.0,500.0,-74.10082,1.0,200.00000010221265,-89.6601195631523,0.005,2,1.0,-89.6601195631523,-89.6601195631523,,97189.10745545125,2.179301e-19,97189.10745545125,0.0049999994
100,1.0,500.0,-138.9904,500,315.66635,0.0033333334,1.0,500.0,-87.137794,1.0,299.999969473632,-113.2117368683322,0.0033333334,2,1.0,-113.2117368683322,-113.2117368683322,,108519.45408366054,5.4391416e-20,108519.45408366054,0.0033333336
100,1.0,500.0,-130.26428,500,305.29047,0.0025,1.0,500.0,-85.3586,1.0,400.0,-80.02099177691352,0.0025,2,1.0,-80.02099177691352,-80.02099177691352,,74581.15178031943,5.434597e-20,74581.15178031943,0.0024999997
100,2.4577692,203.4365183892992,752.65314,500,68.0195,2.6586935e-07,134045.55,500.0,815.62067,0.035765775,1.007149533411647,-139.63532406177706,0.9964443,1,269.04776,-139.63532406177706,-139.63532406177706,35935900.0,78359.92178042505,0.0019857741,78359.92178042505,0.0019999996
100,1.0,500.0,-143.21097,500,313.07837,0.01,1.0,500.0,-72.07488,1.0,100.0,-72.07487820109694,0.01,2,1.0,-72.07487820109694,-72.07487820109694,,99008.16466498832,3.5044917e-18,99008.16466498832,0.009999998
100,1.0,500.0,-187.05212,500,320.9105,0.005,1.0,500.0,-92.43308,1.0,200.00000010221265,-112.79128221089678,0.005,2,1.0,-112.79128221089678,-112.79128221089678,,108202.10925234052,2.179301e-19,108202.10925234052,0.0049999994
