J,VarJ,VarNormIw,VarRet,AvgEpLen,MinVanillaIw,BatchSize,VarDiscRet,MinNormIw,ESSRenyi,AvgRet,IterType,MaxVanillaIw,VanillaAvgRet,AvgDiscRet,MaxNormIw,Bound,Delta,AvgVanillaIw,AvgNormIw,EpsThisIter,VarVanillaIw,eRenyi2,ESSClassic
-15.409597,12.965373,5.4391416e-20,161.99116948806184,200.0,1.0,500,161.99116948806184,0.0033333334,500.0,-16.221033327281884,2,1.0,-16.221033327281884,-16.221033327281884,0.0033333334,-15.409597,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.298743,13.387133,5.434597e-20,214.55674389465568,200.0,1.0,500,214.55674389465568,0.0025,500.0,-14.966185264469289,2,1.0,-14.966185264469289,-14.966185264469289,0.0025,-15.298743,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.570966,13.554816,5.431875e-20,202.34513159034105,200.0,1.0,500,202.34513159034105,0.002,500.0,-16.65984658173826,1,1.0,-16.65984658173826,-16.65984658173826,0.002,-15.570966,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-15.066248,13.686506,3.5044917e-18,189.2125992784172,200.0,1.0,500,189.2125992784172,0.01,500.0,-15.066248819221393,2,1.0,-15.066248819221393,-15.066248819221393,0.01,-15.066248,1.0,1.0,0.009999998,100,,1.0,100.0
-14.326029,12.971818,2.179301e-19,149.61596708722487,200.0,1.0,500,149.61596708722487,0.005,500.0,-13.585807400295536,2,1.0,-13.585807400295536,-13.585807400295536,0.005,-14.326029,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-14.796666,13.086502,5.4391416e-20,177.68130603561167,200.0,1.0,500,177.68130603561167,0.0033333334,500.0,-15.737939204244045,2,1.0,-15.737939204244045,-15.737939204244045,0.0033333334,-14.796666,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.022043,13.232515,5.434597e-20,187.89773887514139,200.0,1.0,500,187.89773887514139,0.0025,500.0,-15.698181184564234,2,1.0,-15.698181184564234,-15.698181184564234,0.0025,-15.022043,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.2607155,13.202445,5.431875e-20,171.70239284624125,200.0,1.0,500,171.70239284624125,0.002,500.0,-16.215404213686273,1,1.0,-16.215404213686273,-16.215404213686273,0.002,-15.2607155,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-15.287937,13.823716,3.5044917e-18,193.02539487209162,200.0,1.0,500,193.02539487209162,0.01,500.0,-15.287937652400926,2,1.0,-15.287937652400926,-15.287937652400926,0.01,-15.287937,1.0,1.0,0.009999998,100,,1.0,100.0
-14.925998,12.962087,2.179301e-19,146.1356074498708,200.0,1.0,500,146.1356074498708,0.005,500.0,-14.564057562843843,2,1.0,-14.564057562843843,-14.564057562843843,0.005,-14.925998,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-14.393999,12.86229,5.4391416e-20,160.18791977240963,200.0,1.0,500,160.18791977240963,0.0033333334,500.0,-13.32999884780024,2,1.0,-13.32999884780024,-13.32999884780024,0.0033333334,-14.393999,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.014053,13.085237,5.434597e-20,185.82276727364095,200.0,1.0,500,185.82276727364095,0.0025,500.0,-16.874220095674573,2,1.0,-16.874220095674573,-16.874220095674573,0.0025,-15.014053,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.032614,13.158254,5.431875e-20,182.62371089507306,200.0,1.0,500,182.62371089507306,0.002,500.0,-15.106857122312906,1,1.0,-15.106857122312906,-15.106857122312906,0.002,-15.032614,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-15.247045,14.116055,3.5044917e-18,201.27575358395774,200.0,1.0,500,201.27575358395774,0.01,500.0,-15.247043575909817,2,1.0,-15.247043575909817,-15.247043575909817,0.01,-15.247045,1.0,1.0,0.009999998,100,,1.0,100.0
-15.211636,13.685289,2.179301e-19,177.07963342110435,200.0,1.0,500,177.07963342110435,0.005,500.0,-15.176228180491329,2,1.0,-15.176228180491329,-15.176228180491329,0.005,-15.211636,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.359186,13.294474,5.4391416e-20,157.0950703027556,200.0,1.0,500,157.0950703027556,0.0033333334,500.0,-15.654288494160253,2,1.0,-15.654288494160253,-15.654288494160253,0.0033333334,-15.359186,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.039332,13.144974,5.434597e-20,161.31775898437925,200.0,1.0,500,161.31775898437925,0.0025,500.0,-14.07976424842994,2,1.0,-14.07976424842994,-14.07976424842994,0.0025,-15.039332,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.157917,13.307848,5.431875e-20,196.0115672375786,200.0,1.0,500,196.0115672375786,0.002,500.0,-15.632257499036918,1,1.0,-15.632257499036918,-15.632257499036918,0.002,-15.157917,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-13.590497,12.822875,3.5044917e-18,166.08700693252644,200.0,1.0,500,166.08700693252644,0.01,500.0,-13.590497353341076,2,1.0,-13.590497353341076,-13.590497353341076,0.01,-13.590497,1.0,1.0,0.009999998,100,,1.0,100.0
-13.055391,12.070003,2.179301e-19,127.64762235337686,200.0,1.0,500,127.64762235337686,0.005,500.0,-12.520285200623746,2,1.0,-12.520285200623746,-12.520285200623746,0.005,-13.055391,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-13.699748,12.412231,5.4391416e-20,170.029634618239,200.0,1.0,500,170.029634618239,0.0033333334,500.0,-14.988462047173464,2,1.0,-14.988462047173464,-14.988462047173464,0.0033333334,-13.699748,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.14109,12.813907,5.434597e-20,194.1989230559898,200.0,1.0,500,194.1989230559898,0.0025,500.0,-15.465116996703774,2,1.0,-15.465116996703774,-15.465116996703774,0.0025,-14.14109,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.371238,12.813711,5.431875e-20,164.75932716841112,200.0,1.0,500,164.75932716841112,0.002,500.0,-15.291819301602128,1,1.0,-15.291819301602128,-15.291819301602128,0.002,-14.371238,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-12.170529,12.604216,3.5044917e-18,160.47095821162975,200.0,1.0,500,160.47095821162975,0.01,500.0,-12.170530157607377,2,1.0,-12.170530157607377,-12.170530157607377,0.01,-12.170529,1.0,1.0,0.009999998,100,,1.0,100.0
-12.98502,13.046976,2.179301e-19,182.07489704671374,200.0,1.0,500,182.07489704671374,0.005,500.0,-13.799510156381768,2,1.0,-13.799510156381768,-13.799510156381768,0.005,-12.98502,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-13.313347,13.084873,5.4391416e-20,174.29059163664348,200.0,1.0,500,174.29059163664348,0.0033333334,500.0,-13.969998610903403,2,1.0,-13.969998610903403,-13.969998610903403,0.0033333334,-13.313347,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-13.9086075,13.075663,5.434597e-20,167.6749362670632,200.0,1.0,500,167.6749362670632,0.0025,500.0,-15.694390419330489,2,1.0,-15.694390419330489,-15.694390419330489,0.0025,-13.9086075,1.0,1.0,0.0024999997,100,,1.0,400.0
-13.744537,13.066958,5.431875e-20,171.0067079170147,200.0,1.0,500,171.0067079170147,0.002,500.0,-13.088257762318722,1,1.0,-13.088257762318722,-13.088257762318722,0.002,-13.744537,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-15.76938,13.023082,3.5044917e-18,171.31379409500428,200.0,1.0,500,171.31379409500428,0.01,500.0,-15.769380493854339,2,1.0,-15.769380493854339,-15.769380493854339,0.01,-15.76938,1.0,1.0,0.009999998,100,,1.0,100.0
-15.81233,13.286264,2.179301e-19,185.2983271764417,200.0,1.0,500,185.2983271764417,0.005,500.0,-15.855279997532532,2,1.0,-15.855279997532532,-15.855279997532532,0.005,-15.81233,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.2760515,13.104697,5.4391416e-20,162.0444316773283,200.0,1.0,500,162.0444316773283,0.0033333334,500.0,-14.203493101885384,2,1.0,-14.203493101885384,-14.203493101885384,0.0033333334,-15.2760515,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.407181,13.125004,5.434597e-20,175.41146982405618,200.0,1.0,500,175.41146982405618,0.0025,500.0,-15.800568117516523,2,1.0,-15.800568117516523,-15.800568117516523,0.0025,-15.407181,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.00546,12.979264,5.431875e-20,151.53126679696786,200.0,1.0,500,151.53126679696786,0.002,500.0,-13.39857505621375,1,1.0,-13.39857505621375,-13.39857505621375,0.002,-15.00546,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-14.217539,13.10894,3.5044917e-18,173.5800783410128,200.0,1.0,500,173.5800783410128,0.01,500.0,-14.21753873326904,2,1.0,-14.21753873326904,-14.21753873326904,0.01,-14.217539,1.0,1.0,0.009999998,100,,1.0,100.0
-15.402945,13.15824,2.179301e-19,173.35746269414653,200.0,1.0,500,173.35746269414653,0.005,500.0,-16.588350982914864,2,1.0,-16.588350982914864,-16.588350982914864,0.005,-15.402945,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.411921,12.829964,5.4391416e-20,149.03525978444137,200.0,1.0,500,149.03525978444137,0.0033333334,500.0,-15.429868355647677,2,1.0,-15.429868355647677,-15.429868355647677,0.0033333334,-15.411921,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.91543,12.911673,5.434597e-20,171.78102799854466,200.0,1.0,500,171.78102799854466,0.0025,500.0,-13.425968578285987,2,1.0,-13.425968578285987,-13.425968578285987,0.0025,-14.91543,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.556923,12.897853,5.431875e-20,163.99721368664612,200.0,1.0,500,163.99721368664612,0.002,500.0,-13.122886463502647,1,1.0,-13.122886463502647,-13.122886463502647,0.002,-14.556923,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-15.763564,13.826336,3.5044917e-18,193.0985533452317,200.0,1.0,500,193.0985533452317,0.01,500.0,-15.76356457767789,2,1.0,-15.76356457767789,-15.76356457767789,0.01,-15.763564,1.0,1.0,0.009999998,100,,1.0,100.0
-14.429277,13.568611,2.179301e-19,175.23861658042165,200.0,1.0,500,175.23861658042165,0.005,500.0,-13.094991233983787,2,1.0,-13.094991233983787,-13.094991233983787,0.005,-14.429277,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-14.187355,13.430052,5.4391416e-20,174.27595359631567,200.0,1.0,500,174.27595359631567,0.0033333334,500.0,-13.703512724724021,2,1.0,-13.703512724724021,-13.703512724724021,0.0033333334,-14.187355,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.875069,13.52164,5.434597e-20,186.4290658806659,200.0,1.0,500,186.4290658806659,0.0025,500.0,-16.938206398699762,2,1.0,-16.938206398699762,-16.938206398699762,0.0025,-14.875069,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.985723,13.576954,5.431875e-20,192.00454566800937,200.0,1.0,500,192.00454566800937,0.002,500.0,-15.428333966899904,1,1.0,-15.428333966899904,-15.428333966899904,0.002,-14.985723,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-14.411508,13.497818,3.5044917e-18,184.0313860567671,200.0,1.0,500,184.0313860567671,0.01,500.0,-14.411508445450261,2,1.0,-14.411508445450261,-14.411508445450261,0.01,-14.411508,1.0,1.0,0.009999998,100,,1.0,100.0
-15.18755,13.892926,2.179301e-19,204.67802838992193,200.0,1.0,500,204.67802838992193,0.005,500.0,-15.963593085817367,2,1.0,-15.963593085817367,-15.963593085817367,0.005,-15.18755,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.331307,13.929917,5.4391416e-20,197.9564638658589,200.0,1.0,500,197.9564638658589,0.0033333334,500.0,-15.618821444220687,2,1.0,-15.618821444220687,-15.618821444220687,0.0033333334,-15.331307,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.614269,13.63423,5.434597e-20,162.10146951841278,200.0,1.0,500,162.10146951841278,0.0025,500.0,-16.463154761650525,2,1.0,-16.463154761650525,-16.463154761650525,0.0025,-15.614269,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.492111,13.527778,5.431875e-20,172.86491100318014,200.0,1.0,500,172.86491100318014,0.002,500.0,-15.003477732794202,1,1.0,-15.003477732794202,-15.003477732794202,0.002,-15.492111,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-11.994226,11.638595,3.5044917e-18,136.8251335778528,200.0,1.0,500,136.8251335778528,0.01,500.0,-11.994227545807245,2,1.0,-11.994227545807245,-11.994227545807245,0.01,-11.994226,1.0,1.0,0.009999998,100,,1.0,100.0
-14.315393,13.006931,2.179301e-19,194.0687470060756,200.0,1.0,500,194.0687470060756,0.005,500.0,-16.63655704628995,2,1.0,-16.63655704628995,-16.63655704628995,0.005,-14.315393,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-13.933189,12.944442,5.4391416e-20,165.08957379031884,200.0,1.0,500,165.08957379031884,0.0033333334,500.0,-13.168782460143934,2,1.0,-13.168782460143934,-13.168782460143934,0.0033333334,-13.933189,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.2820835,12.734299,5.434597e-20,145.97285524648817,200.0,1.0,500,145.97285524648817,0.0025,500.0,-15.328764301937278,2,1.0,-15.328764301937278,-15.328764301937278,0.0025,-14.2820835,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.303918,13.185537,5.431875e-20,222.8613471109643,200.0,1.0,500,222.8613471109643,0.002,500.0,-14.391256315750603,1,1.0,-14.391256315750603,-14.391256315750603,0.002,-14.303918,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-13.606301,13.242777,3.5044917e-18,177.14255055760782,200.0,1.0,500,177.14255055760782,0.01,500.0,-13.606301237067523,2,1.0,-13.606301237067523,-13.606301237067523,0.01,-13.606301,1.0,1.0,0.009999998,100,,1.0,100.0
-14.550852,13.4374,2.179301e-19,185.830215016525,200.0,1.0,500,185.830215016525,0.005,500.0,-15.495404333463306,2,1.0,-15.495404333463306,-15.495404333463306,0.005,-14.550852,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-14.485824,13.162326,5.4391416e-20,160.18965129650834,200.0,1.0,500,160.18965129650834,0.0033333334,500.0,-14.355767400811015,2,1.0,-14.355767400811015,-14.355767400811015,0.0033333334,-14.485824,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.988384,13.39352,5.434597e-20,196.7418105937088,200.0,1.0,500,196.7418105937088,0.0025,500.0,-16.496061940550437,2,1.0,-16.496061940550437,-16.496061940550437,0.0025,-14.988384,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.904208,13.40425,5.431875e-20,182.50715154808597,200.0,1.0,500,182.50715154808597,0.002,500.0,-14.567499481655373,1,1.0,-14.567499481655373,-14.567499481655373,0.002,-14.904208,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-14.4649725,13.196523,3.5044917e-18,175.90730458868134,200.0,1.0,500,175.90730458868134,0.01,500.0,-14.464972340673377,2,1.0,-14.464972340673377,-14.464972340673377,0.01,-14.4649725,1.0,1.0,0.009999998,100,,1.0,100.0
-15.543719,14.221803,2.179301e-19,230.34720207415285,200.0,1.0,500,230.34720207415285,0.005,500.0,-16.62246642308497,2,1.0,-16.62246642308497,-16.62246642308497,0.005,-15.543719,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-14.774301,13.711449,5.4391416e-20,157.51514664835523,200.0,1.0,500,157.51514664835523,0.0033333334,500.0,-13.235462441216612,2,1.0,-13.235462441216612,-13.235462441216612,0.0033333334,-14.774301,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.986873,13.622277,5.434597e-20,179.5072122013409,200.0,1.0,500,179.5072122013409,0.0025,500.0,-15.624596139363826,2,1.0,-15.624596139363826,-15.624596139363826,0.0025,-14.986873,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.012583,13.406121,5.431875e-20,157.92049413742845,200.0,1.0,500,157.92049413742845,0.002,500.0,-15.115413099147135,1,1.0,-15.115413099147135,-15.115413099147135,0.002,-15.012583,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
