Bound,VarRet,AvgEpLen,MaxNormIw,Delta,VarJ,MinVanillaIw,J,BatchSize,VarVanillaIw,AvgNormIw,VarDiscRet,VarNormIw,AvgRet,AvgVanillaIw,MaxVanillaIw,EpsThisIter,MinNormIw,eRenyi2,ESSRenyi,IterType,VanillaAvgRet,AvgDiscRet,ESSClassic
-630.089,2889.9245311,500.0,0.01,0.6,53.4886,1.0,-573.614,200,,0.01,2889.9245311,3.50449e-18,-573.6137917,1.0,1.0,100,0.01,1.0,200.0,2,-573.6137917,-573.6137917,100.0
-602.087,2588.44024126,500.0,0.0149359,0.6,56.2358,0.0754482,-553.217,200,0.39922,0.005,2588.44024126,8.81566e-06,-559.326999197,1.06402,3.17842,100,0.000354544,1.33575,149.728819138,1,-559.326999197,-559.326999197,148.053478828
-615.626,2367.45982304,500.0,0.01,0.6,48.4127,1.0,-559.523,200,,0.01,2367.45982304,3.50449e-18,-559.523443306,1.0,1.0,100,0.01,1.0,200.0,2,-559.523443306,-559.523443306,100.0
-579.264,2014.30178777,500.0,0.234538,0.6,209.762,0.0310221,-513.958,200,19.2462,0.005,2014.30178777,0.000287952,-554.773359044,1.29265,60.6353,100,0.000119994,2.71002,73.8002435196,1,-554.773359044,-554.773359044,16.0507103467
-596.18,2276.29931842,500.0,0.01,0.6,47.4714,1.0,-539.81,200,,0.01,2276.29931842,3.50449e-18,-539.810188243,1.0,1.0,100,0.01,1.0,200.0,2,-539.810188243,-539.810188243,100.0
-571.208,2191.82143616,500.0,0.0331758,0.6,71.9564,0.0368202,-521.527,200,0.788025,0.005,2191.82143616,1.783e-05,-539.412228687,1.05115,6.97455,100,0.000175142,1.55354,128.73858301,1,-539.412228687,-539.412228687,116.984060954
-589.331,2140.20669973,500.0,0.01,0.6,46.0305,1.0,-530.615,200,,0.01,2140.20669973,3.50449e-18,-530.615141653,1.0,1.0,100,0.01,1.0,200.0,2,-530.615141653,-530.615141653,100.0
-568.509,2241.26450078,500.0,0.0147255,0.6,49.7753,0.0365001,-520.628,200,0.367415,0.005,2241.26450078,8.64783e-06,-537.193286745,1.03061,3.03524,100,0.00017708,1.32994,150.382917108,1,-537.193286745,-537.193286745,148.789188848
-580.084,2229.84741063,500.0,0.01,0.6,46.9846,1.0,-524.797,200,,0.01,2229.84741063,3.50449e-18,-524.797363274,1.0,1.0,100,0.01,1.0,200.0,2,-524.797363274,-524.797363274,100.0
-559.938,2484.72072755,500.0,0.0145537,0.6,53.3754,0.0304288,-508.788,200,0.424122,0.005,2484.72072755,1.07038e-05,-520.973723014,0.995281,2.89701,100,0.000152865,1.36799,146.200190336,1,-520.973723014,-520.973723014,140.251221062
-560.757,1768.7906676,500.0,0.01,0.6,41.8462,1.0,-509.092,200,,0.01,1768.7906676,3.50449e-18,-509.091876728,1.0,1.0,100,0.01,1.0,200.0,2,-509.091876728,-509.091876728,100.0
-549.44,2055.97631845,500.0,0.0118133,0.6,44.3848,0.0482655,-504.644,200,0.306926,0.005,2055.97631845,7.51273e-06,-522.329550937,1.01062,2.38776,100,0.000238792,1.30595,153.14541032,1,-522.329550937,-522.329550937,153.963880021
-559.31,1730.24150936,500.0,0.01,0.6,41.3877,1.0,-505.683,200,,0.01,1730.24150936,3.50449e-18,-505.682624577,1.0,1.0,100,0.01,1.0,200.0,2,-505.682624577,-505.682624577,100.0
-540.192,2140.00984609,500.0,0.023549,0.6,66.2759,0.00112754,-491.211,200,0.667,0.005,2140.00984609,1.72751e-05,-514.808932778,0.982478,4.62727,100,5.73825e-06,1.6684,119.875403209,1,-514.808932778,-514.808932778,118.515129574
-550.464,1914.54661431,500.0,0.01,0.6,43.5362,1.0,-500.81,200,,0.01,1914.54661431,3.50449e-18,-500.809675911,1.0,1.0,100,0.01,1.0,200.0,2,-500.809675911,-500.809675911,100.0
-531.28,2011.83515705,500.0,0.0138847,0.6,44.3523,0.0621414,-491.009,200,0.304427,0.005,2011.83515705,7.72119e-06,-498.931512883,0.992819,2.757,100,0.000312954,1.29957,153.897528333,1,-498.931512883,-498.931512883,152.986639016
-666.671,23259.6641287,500.0,0.01,0.6,151.747,1.0,-506.37,200,,0.01,23259.6641287,3.50449e-18,-506.369510842,1.0,1.0,100,0.01,1.0,200.0,2,-506.369510842,-506.369510842,100.0
-609.778,1861.62580098,500.0,0.00780143,0.6,70.6845,0.402731,-494.067,200,0.0448231,0.005,1861.62580098,1.13712e-06,-492.108034893,0.992698,1.54889,100,0.00202846,1.04209,191.921377423,1,-492.108034893,-492.108034893,191.340474767
-539.322,1875.60457374,500.0,0.01,0.6,43.0912,1.0,-488.765,200,,0.01,1875.60457374,3.50449e-18,-488.764900585,1.0,1.0,100,0.01,1.0,200.0,2,-488.764900585,-488.764900585,100.0
-517.738,2093.75903051,500.0,0.0893978,0.6,97.7994,0.00270769,-468.804,200,4.14001,0.005,2093.75903051,7.93714e-05,-493.701214433,1.14193,20.4172,100,1.18558e-05,1.86471,107.255148063,1,-493.701214433,-493.701214433,48.0886886647
-535.621,2155.67075206,500.0,0.01,0.6,46.1965,1.0,-486.264,200,,0.01,2155.67075206,3.50449e-18,-486.263544731,1.0,1.0,100,0.01,1.0,200.0,2,-486.263544731,-486.263544731,100.0
-496.338,1952.03013769,500.0,0.369682,0.6,76.94,,-461.437,200,5.22694,0.005,1952.03013769,0.00101949,-483.838836311,0.358016,26.4704,100,,1.0,199.999928474,1,-483.838836311,-483.838836311,4.81049579767
-558.868,1625.44026698,500.0,0.01,0.6,40.1147,1.0,-508.697,200,,0.01,1625.44026698,3.50449e-18,-508.69714696,1.0,1.0,100,0.01,1.0,200.0,2,-508.69714696,-508.69714696,100.0
nan,1952.03013769,500.0,nan,0.6,nan,0.037778,nan,300,nan,nan,1871.69131534,nan,-483.838836311,inf,inf,100,nan,nan,nan,,-483.838836311,-507.632053671,nan
-504.429,1949.53311351,500.0,0.21807,0.6,264.758,0.000522094,-454.5,300,19.6065,0.00333333,1949.53311351,0.000165377,-492.006338833,1.14773,75.086,100,1.51631e-06,2.91877,102.782935022,1,-492.006338833,-492.006338833,18.9462065211
-528.313,1995.17342352,500.0,0.01,0.6,44.4435,1.0,-480.009,300,,0.01,1995.17342352,3.50449e-18,-480.009499535,1.0,1.0,100,0.01,1.0,300.0,2,-480.009499535,-480.009499535,100.0
-511.772,2127.81565876,500.0,0.005,0.6,45.2585,1.0,-477.28,300,,0.005,2127.81565876,2.1793e-19,-474.550130302,1.0,1.0,100,0.005,1.0,300.0,2,-474.550130302,-474.550130302,200.000000102
-503.989,1609.27536032,500.0,0.00714275,0.6,50.7852,0.0583032,-472.77,300,0.228793,0.00333333,1609.27536032,2.40598e-06,-482.292818954,1.02791,2.20263,100,0.000189068,1.22871,244.157549179,1,-482.292818954,-482.292818954,246.747719169
-527.875,2153.06451567,500.0,0.01,0.6,46.1685,1.0,-478.818,300,,0.01,2153.06451567,3.50449e-18,-478.818042257,1.0,1.0,100,0.01,1.0,300.0,2,-478.818042257,-478.818042257,100.0
-514.78,1711.42378672,500.0,0.005,0.6,43.7555,1.0,-480.091,300,,0.005,1711.42378672,2.1793e-19,-481.364396023,1.0,1.0,100,0.005,1.0,300.0,2,-481.364396023,-481.364396023,200.000000102
-509.61,2353.15225263,500.0,0.0137237,0.6,57.8739,0.0635393,-472.371,300,0.366951,0.00333333,2353.15225263,3.58129e-06,-480.4460875,1.067,4.39294,100,0.000198499,1.27308,235.648559637,1,-480.4460875,-480.4460875,227.059153412
-517.193,2081.10065482,500.0,0.01,0.6,45.3904,1.0,-468.989,300,,0.01,2081.10065482,3.50449e-18,-468.988850061,1.0,1.0,100,0.01,1.0,300.0,2,-468.988850061,-468.988850061,100.0
-502.429,2173.63429258,500.0,0.005,0.6,45.914,1.0,-467.575,300,,0.005,2173.63429258,2.1793e-19,-466.161244693,1.0,1.0,100,0.005,1.0,300.0,2,-466.161244693,-466.161244693,200.000000102
-493.386,1878.62890586,500.0,0.00998527,0.6,47.3807,0.026169,-461.295,300,0.298559,0.00333333,1878.62890586,3.28724e-06,-468.98602946,1.00456,3.00925,100,8.68338e-05,1.27162,235.91937437,1,-468.98602946,-468.98602946,231.684301245
-523.749,1754.74961094,500.0,0.01,0.6,41.6798,1.0,-475.316,300,,0.01,1754.74961094,3.50449e-18,-475.316295807,1.0,1.0,100,0.01,1.0,300.0,2,-475.316295807,-475.316295807,100.0
-506.909,2163.25079221,500.0,0.005,0.6,44.12,1.0,-472.64,300,,0.005,2163.25079221,2.1793e-19,-469.963341836,1.0,1.0,100,0.005,1.0,300.0,2,-469.963341836,-469.963341836,200.000000102
-494.556,1627.51117668,500.0,0.0214894,0.6,56.959,0.104143,-463.312,300,0.410063,0.00333333,1627.51117668,4.38799e-06,-460.489057889,1.01899,6.56927,100,0.000340673,1.24679,240.617160657,1,-460.489057889,-460.489057889,215.269375117
-530.065,2436.9676261,500.0,0.01,0.6,49.1182,1.0,-475.306,300,,0.01,2436.9676261,3.50449e-18,-475.305991095,1.0,1.0,100,0.01,1.0,300.0,2,-475.305991095,-475.305991095,100.0
-506.827,2275.73495249,500.0,0.005,0.6,48.8326,1.0,-468.106,300,,0.005,2275.73495249,2.1793e-19,-460.906933404,1.0,1.0,100,0.005,1.0,300.0,2,-460.906933404,-460.906933404,200.000000102
-499.445,2194.28089553,500.0,0.00646882,0.6,50.49,0.0414848,-465.38,300,0.180255,0.00333333,2194.28089553,1.87168e-06,-473.616217039,1.03444,2.00749,100,0.000133678,1.16101,258.396152226,1,-473.616217039,-473.616217039,256.873571255
-512.845,1904.05179392,500.0,0.01,0.6,43.4167,1.0,-466.1,300,,0.01,1904.05179392,3.50449e-18,-466.099594151,1.0,1.0,100,0.01,1.0,300.0,2,-466.099594151,-466.099594151,100.0
-496.653,2203.3982449,500.0,0.005,0.6,45.2025,1.0,-462.925,300,,0.005,2203.3982449,2.1793e-19,-459.751212612,1.0,1.0,100,0.005,1.0,300.0,2,-459.751212612,-459.751212612,200.000000102
-483.833,2112.70015116,500.0,0.0348348,0.6,85.5244,0.000275449,-447.404,300,0.820508,0.00333333,2112.70015116,9.36721e-06,-456.508873853,0.986541,10.3098,100,9.30689e-07,1.69403,177.092939188,1,-456.508873853,-456.508873853,163.022380268
-501.875,2232.24535468,500.0,0.01,0.6,47.0098,1.0,-454.518,300,,0.01,2232.24535468,3.50449e-18,-454.517505017,1.0,1.0,100,0.01,1.0,300.0,2,-454.517505017,-454.517505017,100.0
-491.229,1735.89818977,500.0,0.005,0.6,44.3944,1.0,-457.093,300,,0.005,1735.89818977,2.1793e-19,-459.669375478,1.0,1.0,100,0.005,1.0,300.0,2,-459.669375478,-459.669375478,200.000000102
-482.288,2185.53392901,500.0,0.00847974,0.6,50.1658,0.0116324,-450.328,300,0.352074,0.00333333,2185.53392901,3.96227e-06,-459.694219054,0.993628,2.52771,100,3.90232e-05,1.31485,228.162106294,1,-459.694219054,-459.694219054,221.334351073
-504.106,2739.61469732,500.0,0.01,0.6,52.079,1.0,-456.771,300,,0.01,2739.61469732,3.50449e-18,-456.770645216,1.0,1.0,100,0.01,1.0,300.0,2,-456.770645216,-456.770645216,100.0
-490.628,2347.39954321,500.0,0.005,0.6,50.1819,1.0,-457.157,300,,0.005,2347.39954321,2.1793e-19,-457.543786387,1.0,1.0,100,0.005,1.0,300.0,2,-457.543786387,-457.543786387,200.000000102
-481.05,2147.13014644,500.0,0.00777362,0.6,54.8736,0.0260203,-450.85,300,0.252559,0.00333333,2147.13014644,3.14825e-06,-456.430108275,0.944117,2.20176,100,9.18682e-05,1.22001,245.898942508,1,-456.430108275,-456.430108275,233.936776517
-501.39,2281.01375432,500.0,0.01,0.6,47.5206,1.0,-451.022,300,,0.01,2281.01375432,3.50449e-18,-451.022485044,1.0,1.0,100,0.01,1.0,300.0,2,-451.022485044,-451.022485044,100.0
-490.607,2363.61920397,500.0,0.005,0.6,48.1128,1.0,-454.991,300,,0.005,2363.61920397,2.1793e-19,-458.959950815,1.0,1.0,100,0.005,1.0,300.0,2,-458.959950815,-458.959950815,200.000000102
-482.107,2965.14107346,500.0,0.00743422,0.6,52.7746,0.0608176,-449.688,300,0.231287,0.00333333,2965.14107346,2.64919e-06,-459.542445213,0.984915,2.19662,100,0.000205831,1.24284,241.382745492,1,-459.542445213,-459.542445213,242.398379037
-492.549,2462.12424107,500.0,0.01,0.6,49.3711,1.0,-444.217,300,,0.01,2462.12424107,3.50449e-18,-444.217496469,1.0,1.0,100,0.01,1.0,300.0,2,-444.217496469,-444.217496469,100.0
-479.737,2937.03188797,500.0,0.005,0.6,51.7066,1.0,-445.211,300,,0.005,2937.03188797,2.1793e-19,-446.203973203,1.0,1.0,100,0.005,1.0,300.0,2,-446.203973203,-446.203973203,200.000000102
-474.596,2299.16690733,500.0,0.0139946,0.6,62.4333,0.0372407,-440.02,300,0.477183,0.00333333,2299.16690733,4.93494e-06,-458.792696055,1.03653,4.35172,100,0.000119761,1.41505,212.007192086,1,-458.792696055,-458.792696055,207.94866943
-496.539,2475.1997685,500.0,0.01,0.6,49.502,1.0,-448.784,300,,0.01,2475.1997685,3.50449e-18,-448.783787426,1.0,1.0,100,0.01,1.0,300.0,2,-448.783787426,-448.783787426,100.0
-484.709,2489.33436663,500.0,0.005,0.6,49.6007,1.0,-447.116,300,,0.005,2489.33436663,2.1793e-19,-445.447461688,1.0,1.0,100,0.005,1.0,300.0,2,-445.447461688,-445.447461688,200.000000102
-474.0,2509.88834114,500.0,0.00911626,0.6,51.4118,0.127955,-441.098,300,0.172342,0.00333333,2509.88834114,1.91104e-06,-440.684924721,1.00101,2.73765,100,0.000426086,1.14896,261.104802885,1,-440.684924721,-440.684924721,256.099251358
-490.817,2394.75583429,500.0,0.01,0.6,48.6909,1.0,-444.542,300,,0.01,2394.75583429,3.50449e-18,-444.542257685,1.0,1.0,100,0.01,1.0,300.0,2,-444.542257685,-444.542257685,100.0
-489.445,3564.50414249,500.0,0.005,0.6,54.6264,1.0,-450.391,300,,0.005,3564.50414249,2.1793e-19,-456.239220484,1.0,1.0,100,0.005,1.0,300.0,2,-456.239220484,-456.239220484,200.000000102
-481.055,2472.24432798,500.0,0.00990393,0.6,57.6893,0.0446582,-445.188,300,0.257688,0.00333333,2472.24432798,3.25367e-06,-453.313966194,0.938078,2.7872,100,0.000158687,1.26517,237.122355086,1,-453.313966194,-453.313966194,232.2242102
-495.387,2928.63619223,500.0,0.01,0.6,53.8456,1.0,-448.195,300,,0.01,2928.63619223,3.50449e-18,-448.194919582,1.0,1.0,100,0.01,1.0,300.0,2,-448.194919582,-448.194919582,100.0
-478.385,2782.22347465,500.0,0.005,0.6,53.2634,1.0,-445.015,300,,0.005,2782.22347465,2.1793e-19,-441.835063872,1.0,1.0,100,0.005,1.0,300.0,2,-441.835063872,-441.835063872,200.000000102
-469.344,2566.54007956,500.0,0.0122606,0.6,59.475,0.0439644,-437.64,300,0.375349,0.00333333,2566.54007956,3.61027e-06,-445.635561554,1.0748,3.95329,100,0.00013635,1.35395,221.574026546,1,-445.635561554,-445.635561554,226.613410918
-488.276,2967.14073804,500.0,0.01,0.6,54.1984,1.0,-436.302,300,,0.01,2967.14073804,3.50449e-18,-436.302508074,1.0,1.0,100,0.01,1.0,300.0,2,-436.302508074,-436.302508074,100.0
-476.072,3080.08504807,500.0,0.005,0.6,54.795,1.0,-439.321,300,,0.005,3080.08504807,2.1793e-19,-442.339510731,1.0,1.0,100,0.005,1.0,300.0,2,-442.339510731,-442.339510731,200.000000102
-466.844,3141.08192353,500.0,0.00984633,0.6,59.8177,0.106955,-433.111,300,0.232756,0.00333333,3141.08192353,2.81312e-06,-441.294536838,0.958816,2.83225,100,0.000371831,1.26373,237.392516546,1,-441.294536838,-441.294536838,239.552267509
-489.826,3193.07527201,500.0,0.01,0.6,56.2241,1.0,-440.008,300,,0.01,3193.07527201,3.50449e-18,-440.007901874,1.0,1.0,100,0.01,1.0,300.0,2,-440.007901874,-440.007901874,100.0
-473.541,2735.65978728,500.0,0.005,0.6,54.2211,1.0,-437.727,300,,0.005,2735.65978728,2.1793e-19,-435.44714392,1.0,1.0,100,0.005,1.0,300.0,2,-435.44714392,-435.44714392,200.000000102
-464.105,3693.29326726,500.0,0.0129684,0.6,62.1712,0.00166126,-428.917,300,0.378437,0.00333333,3693.29326726,4.78405e-06,-441.601422181,0.937514,3.64741,100,5.90661e-06,1.44803,207.178250528,1,-441.601422181,-441.601422181,209.918041614
-480.786,3061.60646406,500.0,0.01,0.6,55.0544,1.0,-432.173,300,,0.01,3061.60646406,3.50449e-18,-432.172649516,1.0,1.0,100,0.01,1.0,300.0,2,-432.172649516,-432.172649516,100.0
-466.712,2824.20511679,500.0,0.005,0.6,53.9769,1.0,-432.337,300,,0.005,2824.20511679,2.1793e-19,-432.501672451,1.0,1.0,100,0.005,1.0,300.0,2,-432.501672451,-432.501672451,200.000000102
-455.561,2775.85739373,500.0,0.0106009,0.6,57.0425,0.040729,-423.316,300,0.334691,0.00333333,2775.85739373,3.95827e-06,-430.248829566,0.969277,3.08256,100,0.000140067,1.31989,227.291479653,1,-430.248829566,-430.248829566,221.392922345
-480.721,3175.35631601,500.0,0.01,0.6,56.0678,1.0,-429.424,300,,0.01,3175.35631601,3.50449e-18,-429.423853587,1.0,1.0,100,0.01,1.0,300.0,2,-429.423853587,-429.423853587,100.0
-460.784,2371.41589501,500.0,0.005,0.6,52.6288,1.0,-424.511,300,,0.005,2371.41589501,2.1793e-19,-419.598387621,1.0,1.0,100,0.005,1.0,300.0,2,-419.598387621,-419.598387621,200.000000102
-460.594,3362.81551374,500.0,0.00600157,0.6,57.3649,0.282261,-426.343,300,0.0775241,0.00333333,3362.81551374,8.41795e-07,-436.767559572,1.01156,1.82129,100,0.000930113,1.0762,278.75979712,1,-436.767559572,-436.767559572,278.937602641
-474.271,3043.0207364,500.0,0.01,0.6,54.8871,1.0,-426.815,300,,0.01,3043.0207364,3.50449e-18,-426.81498472,1.0,1.0,100,0.01,1.0,300.0,2,-426.81498472,-426.81498472,100.0
-458.326,2855.90941682,500.0,0.005,0.6,54.0754,1.0,-424.77,300,,0.005,2855.90941682,2.1793e-19,-422.724623405,1.0,1.0,100,0.005,1.0,300.0,2,-422.724623405,-422.724623405,200.000000102
-448.374,2686.65651421,500.0,0.00742738,0.6,57.4752,0.0324959,-417.486,300,0.238334,0.00333333,2686.65651421,2.77181e-06,-421.540279656,0.977439,2.17794,100,0.00011082,1.26067,237.968349213,1,-421.540279656,-421.540279656,240.263052409
-482.952,3370.6655698,500.0,0.01,0.6,57.7664,1.0,-431.22,300,,0.01,3370.6655698,3.50449e-18,-431.219830335,1.0,1.0,100,0.01,1.0,300.0,2,-431.219830335,-431.219830335,100.0
-463.738,2749.29757096,500.0,0.005,0.6,55.1895,1.0,-427.157,300,,0.005,2749.29757096,2.1793e-19,-423.094966676,1.0,1.0,100,0.005,1.0,300.0,2,-423.094966676,-423.094966676,200.000000102
-451.639,2937.40127325,500.0,0.020327,0.6,59.2869,0.0529736,-418.243,300,0.319537,0.00333333,2937.40127325,3.34846e-06,-419.417596169,1.02971,6.27928,100,0.000171483,1.25016,239.968693049,1,-419.417596169,-419.417596169,230.705837022
-469.554,3234.97405606,500.0,0.01,0.6,56.5917,1.0,-416.337,300,,0.01,3234.97405606,3.50449e-18,-416.337250579,1.0,1.0,100,0.01,1.0,300.0,2,-416.337250579,-416.337250579,100.0
-455.473,2945.16518812,500.0,0.005,0.6,55.3302,1.0,-417.843,300,,0.005,2945.16518812,2.1793e-19,-419.348426806,1.0,1.0,100,0.005,1.0,300.0,2,-419.348426806,-419.348426806,200.000000102
-449.818,3042.51210156,500.0,0.012042,0.6,57.4572,0.0172816,-415.299,300,0.289755,0.00333333,3042.51210156,3.29464e-06,-429.89606115,0.98853,3.57117,100,5.82738e-05,1.26222,237.675617075,1,-429.89606115,-429.89606115,231.565635045
-471.608,2960.89287627,500.0,0.01,0.6,54.1413,1.0,-421.635,300,,0.01,2960.89287627,3.50449e-18,-421.634892782,1.0,1.0,100,0.01,1.0,300.0,2,-421.634892782,-421.634892782,100.0
-451.835,2204.41040168,500.0,0.005,0.6,50.8252,1.0,-416.499,300,,0.005,2204.41040168,2.1793e-19,-411.362431685,1.0,1.0,100,0.005,1.0,300.0,2,-411.362431685,-411.362431685,200.000000102
-441.537,2813.24666439,500.0,0.0105019,0.6,59.1083,0.000481701,-407.022,300,0.439427,0.00333333,2813.24666439,5.23668e-06,-418.661551171,0.965593,3.04216,100,1.66288e-06,1.43112,209.626196211,1,-418.661551171,-418.661551171,204.119101577
-467.527,2956.3166512,500.0,0.01,0.6,54.0995,1.0,-421.384,300,,0.01,2956.3166512,3.50449e-18,-421.383795687,1.0,1.0,100,0.01,1.0,300.0,2,-421.383795687,-421.383795687,100.0
-463.175,3590.850184,500.0,0.005,0.6,57.1281,1.0,-426.156,300,,0.005,3590.850184,2.1793e-19,-430.928129984,1.0,1.0,100,0.005,1.0,300.0,2,-430.928129984,-430.928129984,200.000000102
