VarJ,J,AvgEpLen,AvgDiscRet,ESSRenyi,MinVanillaIw,IterType,BatchSize,VarRet,VarNormIw,VarDiscRet,AvgRet,VanillaAvgRet,AvgVanillaIw,eRenyi2,VarVanillaIw,Bound,AvgNormIw,MinNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,EpsThisIter,Delta
8.35651,-98.8275,41.63,-99.6847097731,85.6661541503,0.177706,1,100,50.9996056742,1.83786e-05,50.9996056742,-99.6847097731,-99.6847097731,1.09001,1.16732,0.218361,-105.051,0.01,0.00163032,3.40491,84.6060700824,0.0312374,100,0.8
7.62218,-99.0432,39.42,-100.249990464,77.7655645702,0.0638554,1,100,37.5713142234,3.16276e-05,37.5713142234,-100.249990464,-100.249990464,0.950054,1.28592,0.285471,-105.426,0.01,0.000672124,2.16637,76.1548934785,0.0228026,100,0.8
11.5901,-97.3528,44.17,-98.8185900582,78.8419383523,0.424809,1,100,56.8209555588,2.64864e-05,56.8209555588,-98.8185900582,-98.8185900582,1.0813,1.26836,0.309682,-103.782,0.01,0.00392869,3.12495,79.2257863054,0.0288999,100,0.8
8.89351,-96.7728,42.86,-97.7584879686,84.8614949958,0.385937,1,100,49.2378388538,2.12328e-05,49.2378388538,-97.7584879686,-97.7584879686,1.03364,1.17839,0.226856,-102.918,0.01,0.00373375,2.69133,82.630618603,0.0260373,100,0.8
9.56991,-97.8445,42.5,-98.5744131924,86.5147707489,0.102363,1,100,58.0212357159,1.58338e-05,58.0212357159,-98.5744131924,-98.5744131924,1.07669,1.15587,0.183555,-103.741,0.01,0.000950716,3.2076,86.4487661318,0.0297913,100,0.8
15.1601,-95.147,40.56,-97.9991475517,61.2704606265,0.0821589,1,100,77.374830614,0.000118823,77.374830614,-97.9991475517,-97.9991475517,1.06294,1.63211,1.34252,-102.52,0.01,0.000772938,8.84362,45.9486348496,0.0831994,100,0.8
8.26773,-99.1189,42.22,-99.3857671364,94.6066608277,0.264275,1,100,54.6015126959,6.93441e-06,54.6015126959,-99.3857671364,-99.3857671364,0.983975,1.05701,0.0671393,-104.857,0.01,0.0026858,1.90241,93.5759740142,0.0193339,100,0.8
8.1663,-97.483,44.47,-98.2407951909,86.5991624812,0.545695,1,100,50.1130377619,1.51125e-05,50.1130377619,-98.2407951909,-98.2407951909,1.01927,1.15475,0.157005,-103.398,0.01,0.0053538,3.47022,86.9857306874,0.0340462,100,0.8
18.7378,-95.2509,44.33,-98.4143902876,54.7936959157,0.00957881,1,100,74.4373773482,0.000106178,74.4373773482,-98.4143902876,-98.4143902876,1.02851,1.82503,1.12319,-102.934,0.01,9.31327e-05,5.24968,48.7529029329,0.0510415,100,0.8
9.8177,-97.0253,43.3,-98.1696274494,81.9419178626,0.00834225,1,100,69.6257202917,2.22618e-05,69.6257202917,-98.1696274494,-98.1696274494,0.984497,1.22038,0.215769,-103.311,0.01,8.47362e-05,1.81474,81.9408528187,0.0184332,100,0.8
10.11,-96.9643,40.35,-98.0109504245,81.7942812312,0.0641096,1,100,72.4790460596,2.07128e-05,72.4790460596,-98.0109504245,-98.0109504245,1.02766,1.22258,0.218744,-102.946,0.01,0.000623841,2.47742,82.9836371761,0.0241074,100,0.8
14.0469,-96.8476,40.85,-99.7069093392,55.0998224362,0.00532755,1,100,39.3388550434,8.9283e-05,39.3388550434,-99.7069093392,-99.7069093392,0.979287,1.81489,0.856227,-104.542,0.01,5.44023e-05,3.9764,53.0813346055,0.0406051,100,0.8
9.29703,-98.8127,41.46,-99.7305603662,86.72911234,0.25372,1,100,60.3390062913,1.53725e-05,60.3390062913,-99.7305603662,-99.7305603662,1.02208,1.15302,0.160588,-104.951,0.01,0.00248238,3.09834,86.7914216109,0.0303141,100,0.8
31.8151,-91.8647,41.45,-99.0087791998,30.2682689934,1.42036e-05,1,100,68.0095928018,0.000456396,68.0095928018,-99.0087791998,-99.0087791998,1.03464,3.30379,4.88562,-102.163,0.01,1.3728e-07,12.8223,18.1214759961,0.12393,100,0.8
26.8768,-92.1647,44.86,-98.1774445038,33.2741307228,3.00727e-05,1,100,77.0513856369,0.000229953,77.0513856369,-98.1774445038,-98.1774445038,1.11056,3.00534,2.83613,-101.68,0.01,2.70787e-07,9.77099,30.5200531675,0.0879822,100,0.8
9.26627,-96.6034,41.21,-97.5968147182,84.8051130097,0.260926,1,100,58.3460582224,1.71365e-05,58.3460582224,-97.5968147182,-97.5968147182,1.01752,1.17917,0.177421,-102.737,0.01,0.00256434,2.74813,85.4956050587,0.0270081,100,0.8
8.32833,-97.2561,41.36,-97.6884404771,92.1804086435,0.422122,1,100,65.2054517523,8.194e-06,65.2054517523,-97.6884404771,-97.6884404771,0.975277,1.08483,0.0779385,-102.863,0.01,0.00432822,2.17239,92.4965929239,0.0222746,100,0.8
8.79213,-96.6692,47.0,-97.9209971389,76.7523132219,0.209601,1,100,52.9342142442,4.11073e-05,52.9342142442,-97.9209971389,-97.9209971389,1.07299,1.30289,0.47327,-103.106,0.01,0.00195343,5.54607,71.0751380577,0.051688,100,0.8
8.4797,-97.6395,42.87,-98.2372635596,90.0915112196,0.099243,1,100,61.0144277569,1.09066e-05,61.0144277569,-98.2372635596,-98.2372635596,1.00029,1.10998,0.109129,-103.51,0.01,0.000992143,1.66468,90.2547627379,0.016642,100,0.8
9.45341,-97.4155,44.02,-98.3505596694,83.4444419466,0.210262,1,100,54.9705337483,1.6235e-05,54.9705337483,-98.3505596694,-98.3505596694,1.00586,1.1984,0.164259,-103.443,0.01,0.00209036,2.27096,86.1529292473,0.0225773,100,0.8
9.92509,-97.7917,40.81,-98.9801832665,79.207626118,0.029487,1,100,57.3038757137,2.87316e-05,57.3038757137,-98.9801832665,-98.9801832665,0.918877,1.2625,0.242591,-104.074,0.01,0.000320903,2.0563,77.8547596883,0.0223784,100,0.8
8.30483,-98.5595,42.58,-99.4140576786,84.2653160549,0.212176,1,100,41.7315670357,2.04509e-05,41.7315670357,-99.4140576786,-99.4140576786,1.02325,1.18673,0.21413,-104.657,0.01,0.00207354,3.59351,83.162619648,0.0351185,100,0.8
9.51798,-97.2673,42.02,-98.5947737452,76.0261058423,0.0382247,1,100,50.4425644135,4.06991e-05,50.4425644135,-98.5947737452,-98.5947737452,0.964618,1.31534,0.3787,-103.451,0.01,0.000396268,4.87229,71.2798235607,0.0505101,100,0.8
7.54736,-98.6807,40.45,-99.1520185768,93.1468828092,0.297128,1,100,42.922378981,1.219e-05,42.922378981,-99.1520185768,-99.1520185768,0.980047,1.07357,0.117084,-104.679,0.01,0.00303177,2.72574,89.2314448947,0.0278123,100,0.8
10.6958,-97.0799,44.58,-98.3246417289,79.5620421341,0.0516464,1,100,54.6854511315,2.67021e-05,54.6854511315,-98.3246417289,-98.3246417289,1.04602,1.25688,0.292164,-103.446,0.01,0.000493741,3.12752,79.0919728231,0.0298992,100,0.8
12.5532,-95.306,44.01,-96.4436983623,78.8947707694,0.020411,1,100,88.0350367346,2.60047e-05,88.0350367346,-96.4436983623,-96.4436983623,1.00557,1.26751,0.262954,-101.662,0.01,0.000202978,2.20238,79.5262377934,0.0219017,100,0.8
10.9576,-98.1555,40.99,-98.8346765034,88.5006172333,0.206658,1,100,74.0850824945,1.30571e-05,74.0850824945,-98.8346765034,-98.8346765034,1.07081,1.12994,0.149717,-104.142,0.01,0.00192992,2.21548,88.5531337924,0.0206897,100,0.8
