AvgVanillaIw,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,AvgEpLen,VarNormIw,AvgNormIw,MaxVanillaIw,BatchSize,MinVanillaIw,eRenyi2,MaxNormIw,ESSClassic,MinNormIw,VarVanillaIw,J,Bound,Delta,VanillaAvgRet,VarJ,VarRet,IterType,EpsThisIter
1.0,400.0,-1.0624251512,-1.0624251512,25.8851095584,500.0,3.50449e-18,0.01,1.0,400,1.0,1.0,0.01,100.0,0.01,,-1.06243,-2.42496,0.5,-1.0624251512,5.06224,25.8851095584,2,100
1.0,400.0,-3.71076008533,-3.71076008533,65.7534736442,500.0,2.1793e-19,0.005,1.0,400,1.0,1.0,0.005,200.000000102,0.005,,-2.38659,-4.06366,0.5,-3.71076008533,6.864,65.7534736442,2,100
1.0,400.0,-0.157105812078,-0.157105812078,34.2804815582,500.0,5.43914e-20,0.00333333,1.0,400,1.0,1.0,0.00333333,299.999969474,0.00333333,,-1.64343,-3.01275,0.5,-0.157105812078,6.62018,34.2804815582,2,100
8.38133,18.3114302473,-9.20020346999,-5.83228980972,94.7696573933,500.0,1.77222e-05,0.0025,70.8035,500,0.0044877,27.3053,0.0211194,104.48076959,1.3386e-06,199.188,-5.71043,-14.4902,0.5,-9.20020346999,17.5538,93.2436376442,,100
11.3713,119.469563959,-7.43881290889,-7.43881290889,46.5606394119,500.0,8.05939e-05,0.002,249.041,500,0.00904496,4.18517,0.0438016,23.6875315591,1.59084e-06,2605.33,23.4987,19.7544,0.5,-7.43881290889,4.02881,46.5606394119,1,100
1.0,500.0,-0.717496014416,-0.717496014416,119.172872337,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,-0.717496,-2.58115,0.5,-0.717496014416,10.8619,119.172872337,2,100
1.0,500.0,-0.138627781967,-0.138627781967,61.3108012755,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,-0.428062,-1.74586,0.5,-0.138627781967,9.45638,61.3108012755,2,100
1.0,500.0,6.12324825721,6.12324825721,873.480756627,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,1.75571,-3.05805,0.5,6.12324825721,18.9051,873.480756627,2,100
1.0,500.0,-3.91821061569,-3.91821061569,70.0269596565,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,0.337229,-3.83161,0.5,-3.91821061569,17.071,70.0269596565,2,100
23.0341,117.627407836,-1.08024176885,-1.08024176885,27.7343197136,500.0,0.000154687,0.002,935.569,500,0.00102956,4.25071,0.0812333,12.6281133537,8.93946e-08,20518.1,81.2596,73.572,0.5,-1.08024176885,13.6368,27.7343197136,1,100
1.0,500.0,-5.84263261859,-5.84263261859,120.434498445,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,-5.84263,-8.75726,0.5,-5.84263261859,10.9193,120.434498445,2,100
1.0,500.0,-11.2647592172,-11.2647592172,105.177270666,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,-8.55369,-10.6147,0.5,-11.2647592172,10.91,105.177270666,2,100
1.0,500.0,-5.17724533094,-5.17724533094,15.8473729381,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,-7.42821,-9.11098,0.5,-5.17724533094,9.33353,15.8473729381,2,100
1.0,500.0,2.65863233254,2.65863233254,161.598081559,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,-4.9065,-6.44058,0.5,2.65863233254,11.1539,161.598081559,2,100
13.7487,85.1486713101,-7.5109885441,-7.5109885441,162.592540142,500.0,0.000152664,0.002,554.84,500,0.00189138,5.87208,0.0807116,12.7910978735,2.75136e-07,7214.4,29.5367,26.2117,0.5,-7.5109885441,7.46126,162.592540142,1,100
1.0,500.0,7.76513315803,7.76513315803,356.881901399,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,7.76513,3.07473,0.5,7.76513315803,18.7966,356.881901399,2,100
1.0,500.0,2.97974147087,2.97974147087,192.580855373,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,5.37244,2.05582,0.5,2.97974147087,16.6646,192.580855373,2,100
1.0,500.0,-6.34945731158,-6.34945731158,96.8803984718,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,1.46514,-1.24287,0.5,-6.34945731158,15.7367,96.8803984718,2,100
1.0,500.0,5.57217260094,5.57217260094,340.276434212,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,2.4919,0.146697,0.5,5.57217260094,16.5262,340.276434212,2,100
38.3844,114.715642885,-4.0907391639,-4.0907391639,204.077553105,500.0,0.000157862,0.002,1574.58,500,0.00601514,4.3586,0.0820427,12.3803794663,3.13416e-07,58146.8,46.2829,41.9036,0.5,-4.0907391639,4.03687,204.077553105,1,100
1.0,500.0,9.34479252947,9.34479252947,388.494192065,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,9.34479,5.16473,0.5,9.34479252947,19.6115,388.494192065,2,100
1.0,500.0,9.81124908518,9.81124908518,371.658432547,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,9.57802,6.06719,0.5,9.81124908518,19.3992,371.658432547,2,100
1.0,500.0,9.70803938599,9.70803938599,154.440994623,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,9.62136,6.75478,0.5,9.70803938599,17.374,154.440994623,2,100
1.0,500.0,12.5255001304,12.5255001304,663.729494372,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,10.3474,7.44479,0.5,12.5255001304,19.8052,663.729494372,2,100
30.783,86.072726634,10.881091032,10.881091032,340.067916959,500.0,0.000152383,0.002,1241.14,500,0.00349995,5.80904,0.0806381,12.8141114705,2.27395e-07,36099.2,56.9645,50.7073,0.5,10.881091032,6.9816,340.067916959,1,100
1.0,500.0,-2.98454729304,-2.98454729304,276.716289268,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,-2.98455,-6.51467,0.5,-2.98454729304,16.5514,276.716289268,2,100
1.0,500.0,18.7597457657,18.7597457657,377.24495989,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,7.8876,3.30708,0.5,18.7597457657,21.0218,377.24495989,2,100
1.0,500.0,17.2149588683,17.2149588683,763.348807336,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,10.9967,7.25674,0.5,17.2149588683,23.7876,763.348807336,2,100
1.0,500.0,4.52188789559,4.52188789559,135.165134846,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,9.37801,6.13909,0.5,4.52188789559,21.5801,135.165134846,2,100
8.18315,89.6177747754,8.29508591509,8.29508591509,244.028752064,500.0,0.000156077,0.002,333.826,500,1.13552e-05,5.57925,0.0815886,12.5184403336,2.77526e-09,2612.88,63.7053,56.8625,0.5,8.29508591509,6.9879,244.028752064,1,100
1.0,500.0,18.8413918884,18.8413918884,374.052030216,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,18.8414,13.6632,0.5,18.8413918884,19.2435,374.052030216,2,100
1.0,500.0,18.7592620905,18.7592620905,249.879458662,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,18.8003,15.1388,0.5,18.7592620905,17.5741,249.879458662,2,100
1.0,500.0,8.82050758289,8.82050758289,752.655952832,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,15.4737,11.9465,0.5,8.82050758289,21.8268,752.655952832,2,100
1.0,500.0,22.6686317436,22.6686317436,359.785342802,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,17.2724,14.1683,0.5,22.6686317436,21.3555,359.785342802,2,100
18.9499,79.7655814972,26.0953385619,26.0953385619,247.808435638,500.0,0.000181484,0.002,911.529,500,4.54237e-07,6.26837,0.0962039,10.8037570581,4.79407e-11,16292.7,60.8246,53.8734,0.5,26.0953385619,8.79114,247.808435638,1,100
1.0,500.0,42.4504128993,42.4504128993,508.576752792,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,42.4504,35.4196,0.5,42.4504128993,22.4386,508.576752792,2,100
1.0,500.0,28.915409434,28.915409434,446.271310291,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,35.6829,30.7114,0.5,28.915409434,22.7695,446.271310291,2,100
1.0,500.0,14.0685548943,14.0685548943,169.280061985,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,28.4781,24.4189,0.5,14.0685548943,22.4792,169.280061985,2,100
1.0,500.0,28.5155631659,28.5155631659,546.895174892,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,28.4875,24.6038,0.5,28.5155631659,22.6791,546.895174892,2,100
9.47692,113.911762533,36.9214681106,36.9214681106,334.737548712,500.0,0.000167845,0.002,438.597,500,0.000150265,4.38936,0.0925611,11.6611777156,3.17117e-08,3768.62,69.0798,61.8022,0.5,36.9214681106,8.25278,334.737548712,1,100
1.0,500.0,35.3204875711,35.3204875711,801.127457943,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,35.3205,27.9069,0.5,35.3204875711,28.1623,801.127457943,2,100
1.0,500.0,45.6485615685,45.6485615685,595.804886605,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,40.4845,35.1051,0.5,45.6485615685,26.7983,595.804886605,2,100
1.0,500.0,38.7542189947,38.7542189947,287.956099822,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,39.9078,35.5155,0.5,38.7542189947,23.9678,287.956099822,2,100
1.0,500.0,43.0838554238,43.0838554238,590.502629331,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,40.7018,36.1692,0.5,43.0838554238,24.06,590.502629331,2,100
20.7998,138.440586755,37.8449452604,37.8449452604,582.582697041,500.0,0.000151415,0.002,836.035,500,0.00687965,3.61166,0.0803889,12.8939061492,6.61512e-07,16376.7,89.3561,81.6516,0.5,37.8449452604,8.24262,582.582697041,1,100
1.0,500.0,42.6694096574,42.6694096574,644.798507203,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,42.6694,35.1542,0.5,42.6694096574,25.2656,644.798507203,2,100
1.0,500.0,51.6943924155,51.6943924155,120.716846483,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,47.1819,41.8678,0.5,51.6943924155,19.9823,120.716846483,2,100
1.0,500.0,42.7026602475,42.7026602475,418.940323351,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,45.6888,41.145,0.5,42.7026602475,20.2214,418.940323351,2,100
1.0,500.0,44.4326799901,44.4326799901,441.130963877,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,45.3748,41.4398,0.5,44.4326799901,20.3998,441.130963877,2,100
8.39872,152.711751501,47.0425406863,47.0425406863,461.178602696,500.0,0.000140379,0.002,325.33,500,0.00425285,3.27414,0.0774715,13.8794075413,1.01274e-06,2475.53,71.8998,65.2844,0.5,47.0425406863,5.84254,461.178602696,1,100
1.0,500.0,52.5284424223,52.5284424223,344.49866163,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,52.5284,44.173,0.5,52.5284424223,18.4676,344.49866163,2,100
1.0,500.0,56.3768792666,56.3768792666,287.39238251,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,54.4527,48.5444,0.5,56.3768792666,17.7901,287.39238251,2,100
1.0,500.0,53.1258819859,53.1258819859,104.341080234,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,54.0104,49.1864,0.5,53.1258819859,15.6785,104.341080234,2,100
1.0,500.0,43.356926022,43.356926022,895.407035405,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,51.347,46.7298,0.5,43.356926022,20.6702,895.407035405,2,100
4.44874,136.9776546,44.8269938203,44.8269938203,503.320258064,500.0,0.000162915,0.002,202.967,500,0.000553076,3.65023,0.0912468,12.0056117901,2.48644e-07,806.076,81.5727,73.6824,0.5,44.8269938203,13.1243,503.320258064,1,100
1.0,500.0,60.7177967436,60.7177967436,328.67575869,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,60.7178,51.7083,0.5,60.7177967436,18.0385,328.67575869,2,100
1.0,500.0,57.6297490546,57.6297490546,340.59409831,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,59.1738,52.8031,0.5,57.6297490546,18.2667,340.59409831,2,100
1.0,500.0,47.6397528323,47.6397528323,315.197896097,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,55.3291,50.1275,0.5,47.6397528323,18.8687,315.197896097,2,100
1.0,500.0,52.2146421405,52.2146421405,296.954290142,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,54.5505,50.0458,0.5,52.2146421405,18.5023,296.954290142,2,100
10.6175,113.52495809,62.1389795163,62.1389795163,724.190690454,500.0,0.000138072,0.002,407.944,500,4.36614e-08,4.40432,0.0768435,14.1047828992,8.2244e-12,3891.28,87.153,78.6973,0.5,62.1389795163,7.85845,724.190690454,1,100
1.0,500.0,55.4849152219,55.4849152219,527.056687726,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,55.4849,46.5497,0.5,55.4849152219,22.8426,527.056687726,2,100
1.0,500.0,62.2390377332,62.2390377332,177.106218019,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,58.862,52.4436,0.5,62.2390377332,18.9727,177.106218019,2,100
1.0,500.0,55.8044543568,55.8044543568,306.450261178,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,57.8428,52.6022,0.5,55.8044543568,18.5252,306.450261178,2,100
1.0,500.0,58.579938459,58.579938459,166.104269639,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,58.0271,53.4886,0.5,58.579938459,17.28,166.104269639,2,100
7.64726,114.993040601,66.1962532692,66.1962532692,114.138306963,500.0,0.000135753,0.002,291.349,500,0.00248027,4.34809,0.076197,14.338792808,6.48668e-07,1984.74,87.747,79.2825,0.5,66.1962532692,9.76588,114.138306963,1,100
1.0,500.0,68.6081486306,68.6081486306,101.927694817,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,68.6082,60.0725,0.5,68.6081486306,10.0453,101.927694817,2,100
1.0,500.0,75.7266974804,75.7266974804,159.622433818,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,72.1674,65.5863,0.5,75.7266974804,11.9221,159.622433818,2,100
1.0,500.0,71.8525844789,71.8525844789,83.2736716256,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,72.0625,66.689,0.5,71.8525844789,11.0571,83.2736716256,2,100
1.0,500.0,65.5092168415,65.5092168415,91.7206268763,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,70.4242,65.7706,0.5,65.5092168415,11.0656,91.7206268763,2,100
6.46008,141.638353994,69.2869645361,69.2869645361,218.155499186,500.0,0.000132944,0.002,243.681,500,0.0156482,3.53012,0.0754422,14.6329134469,4.84459e-06,1387.03,91.3031,83.4827,0.5,69.2869645361,10.5586,218.155499186,1,100
1.0,500.0,76.7333509031,76.7333509031,93.8154323219,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,76.7334,67.8904,0.5,76.7333509031,9.63729,93.8154323219,2,100
1.0,500.0,75.4197164272,75.4197164272,121.201900986,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,76.0765,69.5698,0.5,75.4197164272,10.3376,121.201900986,2,100
1.0,500.0,77.5342004103,77.5342004103,186.849053186,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,76.5624,70.7677,0.5,77.5342004103,11.5488,186.849053186,2,100
1.0,500.0,78.7138651832,78.7138651832,101.493778091,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,77.1003,72.0819,0.5,78.7138651832,11.2258,101.493778091,2,100
6.70377,136.096663291,61.5733147298,61.5733147298,338.785186895,500.0,0.000130689,0.002,250.741,500,0.00143607,3.67386,0.0748059,14.87785034,4.28436e-07,1468.31,98.5828,89.9793,0.5,61.5733147298,10.5921,338.785186895,1,100
1.0,500.0,82.7348330445,82.7348330445,100.163537246,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,82.7348,73.504,0.5,82.7348330445,9.95801,100.163537246,2,100
1.0,500.0,73.5011281501,73.5011281501,67.8660952551,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,78.118,71.5908,0.5,73.5011281501,10.222,67.8660952551,2,100
1.0,500.0,73.2587744282,73.2587744282,103.998818121,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,76.4982,71.1688,0.5,73.2587744282,10.4512,103.998818121,2,100
1.0,500.0,74.7547105332,74.7547105332,100.721620085,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,76.0624,71.447,0.5,74.7547105332,10.3643,100.721620085,2,100
6.40769,180.574331131,83.5464524548,83.5464524548,75.4804580805,500.0,0.000159263,0.002,289.097,500,0.0305067,2.76894,0.0902345,12.2741565301,9.52189e-06,1634.77,91.3031,84.4338,0.5,83.5464524548,6.54694,75.4804580805,1,100
1.0,500.0,76.159825442,76.159825442,45.1212007117,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,76.1598,67.3464,0.5,76.159825442,6.68356,45.1212007117,2,100
1.0,500.0,73.6606826209,73.6606826209,302.318423578,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,74.9103,68.3609,0.5,73.6606826209,13.1736,302.318423578,2,100
1.0,500.0,79.4285520438,79.4285520438,160.090944379,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,76.4163,71.0688,0.5,79.4285520438,13.1553,160.090944379,2,100
1.0,500.0,72.7225760222,72.7225760222,227.902949001,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,75.4929,70.8618,0.5,72.7225760222,13.739,227.902949001,2,100
4.53711,192.018294712,79.9539277843,79.9539277843,49.5623107159,500.0,0.000137975,0.002,190.776,500,0.00970422,2.60392,0.0840957,14.1144336411,4.27771e-06,710.066,89.3965,82.7124,0.5,79.9539277843,8.14504,49.5623107159,1,100
1.0,500.0,80.7566584125,80.7566584125,42.9093295194,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,80.7567,71.7918,0.5,80.7566584125,6.51768,42.9093295194,2,100
1.0,500.0,81.9102378202,81.9102378202,144.74169967,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,81.3335,74.5641,0.5,81.9102378202,9.65505,144.74169967,2,100
1.0,500.0,72.8135937788,72.8135937788,65.4831570862,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,78.4935,72.9663,0.5,72.8135937788,9.99433,65.4831570862,2,100
1.0,500.0,79.9253802413,79.9253802413,113.330087463,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,78.8515,74.0648,0.5,79.9253802413,10.1661,113.330087463,2,100
10.5656,221.642374612,79.6268814021,79.6268814021,106.861263808,500.0,0.000135183,0.002,401.796,500,0.0624278,2.25589,0.0760574,14.3975414273,1.18172e-05,3772.68,93.2841,86.8537,0.5,79.6268814021,5.36908,106.861263808,1,100
1.0,500.0,75.1225846224,75.1225846224,101.531950778,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,75.1226,65.9818,0.5,75.1225846224,10.0258,101.531950778,2,100
1.0,500.0,82.0248873533,82.0248873533,111.159184619,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,78.5737,72.0786,0.5,82.0248873533,10.8256,111.159184619,2,100
1.0,500.0,83.4628407192,83.4628407192,106.156560806,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,80.2034,74.5141,0.5,83.4628407192,10.8845,106.156560806,2,100
1.0,500.0,78.5994186367,78.5994186367,53.339076278,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,79.8024,74.8753,0.5,78.5994186367,10.1261,53.339076278,2,100
4.34058,151.479202409,80.8501206568,80.8501206568,121.089379957,500.0,0.000143793,0.002,186.257,500,0.00977306,3.30078,0.085821,13.5587947426,4.50311e-06,677.289,96.5898,88.5832,0.5,80.8501206568,12.1044,121.089379957,1,100
1.0,500.0,87.5945722495,87.5945722495,28.8240856214,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,87.5946,77.9558,0.5,87.5945722495,5.34189,28.8240856214,2,100
1.0,500.0,86.0462101937,86.0462101937,37.0247102986,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,86.8204,80.0048,0.5,86.0462101937,5.76147,37.0247102986,2,100
1.0,500.0,81.989968656,81.989968656,116.162116374,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,85.2103,79.6454,0.5,81.989968656,8.10236,116.162116374,2,100
1.0,500.0,86.137118923,86.137118923,38.3336878779,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,85.442,80.6226,0.5,86.137118923,7.67365,38.3336878779,2,100
7.40215,240.455789497,82.4103975919,82.4103975919,151.347630654,500.0,0.000128946,0.002,275.12,500,0.0303848,2.07938,0.0743352,15.0730059834,8.20973e-06,1766.29,95.0273,88.8114,0.5,82.4103975919,5.85483,151.347630654,1,100
1.0,500.0,82.7184052248,82.7184052248,81.2888657129,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,82.7184,73.4433,0.5,82.7184052248,8.97084,81.2888657129,2,100
1.0,500.0,76.7053562201,76.7053562201,229.560132471,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,79.7119,73.0401,0.5,76.7053562201,12.7636,229.560132471,2,100
1.0,500.0,87.2062128494,87.2062128494,39.496018672,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,82.21,76.7625,0.5,87.2062128494,11.5811,39.496018672,2,100
1.0,500.0,82.4628569057,82.4628569057,86.404295181,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,82.2732,77.5362,0.5,82.4628569057,11.0448,86.404295181,2,100
7.21362,215.165823679,84.9122871694,84.9122871694,33.5292594603,500.0,0.000129216,0.002,268.378,500,0.0993391,2.32379,0.0744086,15.0423979563,2.75421e-05,1680.98,93.8392,87.3805,0.5,84.9122871694,5.30861,33.5292594603,1,100
1.0,500.0,83.0207108078,83.0207108078,75.2881552112,500.0,3.50449e-18,0.01,1.0,500,1.0,1.0,0.01,100.0,0.01,,83.0207,73.6192,0.5,83.0207108078,8.63338,75.2881552112,2,100
1.0,500.0,82.0886144753,82.0886144753,40.4036298035,500.0,2.1793e-19,0.005,1.0,500,1.0,1.0,0.005,200.000000102,0.005,,82.5547,75.9068,0.5,82.0886144753,7.58186,40.4036298035,2,100
1.0,500.0,83.4764912816,83.4764912816,91.2833024647,500.0,5.43914e-20,0.00333333,1.0,500,1.0,1.0,0.00333333,299.999969474,0.00333333,,82.8619,77.221,0.5,83.4764912816,8.28465,91.2833024647,2,100
1.0,500.0,89.2868728484,89.2868728484,15.2672439158,500.0,5.4346e-20,0.0025,1.0,500,1.0,1.0,0.0025,400.0,0.0025,,84.4682,79.583,0.5,89.2868728484,7.93695,15.2672439158,2,100
