MinVanillaIw,AvgEpLen,AvgVanillaIw,eRenyi2,MaxVanillaIw,J,VarRet,VarJ,AvgRet,BatchSize,AvgDiscRet,VarVanillaIw,MinNormIw,ESSClassic,VarDiscRet,MaxNormIw,AvgNormIw,VarNormIw,ESSRenyi,Bound
0.9451026,500.0,0.9993374,1.0001056,1.0087398,-9.882007,72.50547226273078,8.437919,-9.918746833098034,100,-9.908080721096397,0.0001245367,0.009457292,99.98767149810885,72.40397845191924,0.010094087,0.01,1.2470196e-08,99.9894391723744,-250.69966
0.954043,500.0,0.99950075,1.0000962,1.0070094,-8.068666,64.8880109087126,7.9464617,-8.105418124534337,100,-8.092112882257167,0.00010090578,0.009545195,99.98999743458293,64.54190160494875,0.010075124,0.01,1.0100672e-08,99.99038073572471,-248.88751
0.99752617,500.0,1.0000557,1.0000122,1.0160847,-8.314725,57.27392835487981,7.522713,-8.325181216827584,100,-8.317909301302608,1.1692152e-05,0.009974707,99.99882133452034,57.17587663697533,0.010160281,0.010000002,1.1690845e-09,99.99878408003137,-249.1178
0.94688326,500.0,1.0014604,1.0001754,1.010372,-8.362059,74.77249792762873,8.544517,-8.41256653189547,100,-8.40459333817177,0.00016758381,0.009455024,99.98346279009667,74.63952948722063,0.010088987,0.01,1.6709542e-08,99.98246738797096,-249.18536
0.99744964,500.0,0.9996336,1.0000099,1.0066526,-7.427727,56.578029930485684,7.4780436,-7.434560095354392,100,-7.4299424012785735,6.0247257e-06,0.009978152,99.99939705966223,56.50740749839226,0.010070215,0.01,6.029151e-10,99.99901057268649,-248.22783
0.96921414,500.0,0.9987523,1.0000361,1.0054436,-9.62164,76.81795079677548,8.702874,-9.637832812555958,100,-9.630797827261683,4.2637614e-05,0.00970425,99.99575671181726,76.7105904698451,0.010066996,0.01,4.2744226e-09,99.99638808899033,-250.42734
0.9948243,500.0,0.9997873,1.0000141,1.0111388,-10.363465,70.84194092228394,8.3676405,-10.37306104803489,100,-10.366459310838033,1.1249875e-05,0.009950359,99.99888588072446,70.75850094692952,0.010113539,0.010000002,1.1254683e-09,99.99859335017021,-251.16608
0.9557001,500.0,1.0005955,1.0001451,1.0087363,-6.910037,63.84665224743546,7.890835,-6.952992616709273,100,-6.9437252006700385,0.000118770615,0.009551314,99.98828162831555,63.73092367834319,0.01008136,0.01,1.186294e-08,99.98549433391042,-247.73093
0.9684232,500.0,0.9993386,1.0000936,1.0099452,-8.709718,70.5250205870814,8.327124,-8.737271070586743,100,-8.731146141348631,0.00010346706,0.009690641,99.98976681341425,70.45237824626834,0.010106136,0.009999999,1.0360409e-08,99.99064294639672,-249.52142
0.979844,500.0,1.004067,1.0001551,1.0541751,-10.608693,70.22499517116826,8.308447,-10.656738109318356,100,-10.644922358087578,0.00021844122,0.009758752,99.978552907439,70.1209115984889,0.010499053,0.01,2.1667525e-08,99.98449327638714,-251.43362
0.9748891,500.0,0.99984175,1.0000268,1.0036887,-8.628514,61.358065943439705,7.774745,-8.643006666360515,100,-8.635199218072133,2.6829126e-05,0.009750434,99.9973636791541,61.2453498091703,0.0100384755,0.01,2.6837583e-09,99.99731786292563,-249.4338
0.96519214,500.0,0.9987841,1.0000633,1.0067415,-9.239887,77.98341737868869,8.76283,-9.257527905697415,100,-9.251385683215057,6.293395e-05,0.009663671,99.99376330757501,77.91065655600931,0.010079671,0.01,6.308722e-09,99.99367038739017,-250.04797
0.9375338,500.0,1.0000901,1.0001367,1.0083966,-7.949877,64.05696722894525,7.9036217,-7.991101331432171,100,-7.9819457325401455,0.00015559759,0.009374494,99.98460704625036,63.94856058727631,0.010083058,0.01,1.5556951e-08,99.98632856382577,-248.76973
