MinVanillaIw,ESSClassic,AvgRet,MinNormIw,AvgDiscRet,MaxVanillaIw,MaxNormIw,VarNormIw,VarDiscRet,VarJ,eRenyi2,AvgEpLen,J,ESSRenyi,VarVanillaIw,VarRet,BatchSize,AvgVanillaIw,Bound,AvgNormIw
1.0,100.0,-28.87654442160588,0.01,-28.87654442160588,1.0,0.01,3.5044917e-18,616.2772016249975,24.700493,1.0,200.0,-28.876541,100.0,,616.2772016249975,100,1.0,-30.964392,0.009999998
1.0,100.0,-38.8197127800142,0.01,-38.8197127800142,1.0,0.01,3.5044917e-18,765.7222364850109,27.532982,1.0,200.0,-38.81971,100.0,,765.7222364850109,100,1.0,-41.14698,0.009999998
1.0,100.0,-31.8044666419096,0.01,-31.8044666419096,1.0,0.01,3.5044917e-18,881.8854319751771,29.547699,1.0,200.0,-31.804466,100.0,,881.8854319751771,100,1.0,-34.302036,0.009999998
1.0,100.0,-31.71112256242407,0.01,-31.71112256242407,1.0,0.01,3.5044917e-18,890.2029210905047,29.686712,1.0,200.0,-31.71112,100.0,,890.2029210905047,100,1.0,-34.22044,0.009999998
1.0,100.0,-29.727329148158475,0.01,-29.727329148158475,1.0,0.01,3.5044917e-18,757.4243820225703,27.383392,1.0,200.0,-29.727327,100.0,,757.4243820225703,100,1.0,-32.041954,0.009999998
1.0,100.0,-32.38732677326888,0.01,-32.38732677326888,1.0,0.01,3.5044917e-18,765.1916678583959,27.52344,1.0,200.0,-32.387325,100.0,,765.1916678583959,100,1.0,-34.71379,0.009999998
1.0,100.0,-29.895251159576084,0.01,-29.895251159576084,1.0,0.01,3.5044917e-18,675.7426679532292,25.864748,1.0,200.0,-29.89525,100.0,,675.7426679532292,100,1.0,-32.081512,0.009999998
1.0,100.0,-29.533347821315395,0.01,-29.533347821315395,1.0,0.01,3.5044917e-18,763.3555342519628,27.490396,1.0,200.0,-29.53335,100.0,,763.3555342519628,100,1.0,-31.857023,0.009999998
1.0,100.0,-33.416181129115394,0.01,-33.416181129115394,1.0,0.01,3.5044917e-18,779.2803221175533,27.775663,1.0,200.0,-33.41618,100.0,,779.2803221175533,100,1.0,-35.763966,0.009999998
1.0,100.0,-30.69341149520598,0.01,-30.69341149520598,1.0,0.01,3.5044917e-18,797.4368162769191,28.097374,1.0,200.0,-30.69341,100.0,,797.4368162769191,100,1.0,-33.06839,0.009999998
1.0,100.0,-34.452473912696206,0.01,-34.452473912696206,1.0,0.01,3.5044917e-18,806.0391200164097,28.248516,1.0,200.0,-34.452473,100.0,,806.0391200164097,100,1.0,-36.840225,0.009999998
1.0,100.0,-33.39309822930497,0.01,-33.39309822930497,1.0,0.01,3.5044917e-18,757.1119768469198,27.377743,1.0,200.0,-33.393097,100.0,,757.1119768469198,100,1.0,-35.70725,0.009999998
1.0,100.0,-30.57570813186572,0.01,-30.57570813186572,1.0,0.01,3.5044917e-18,816.4416782659746,28.430216,1.0,200.0,-30.575706,100.0,,816.4416782659746,100,1.0,-32.97882,0.009999998
1.0,100.0,-32.17471090109128,0.01,-32.17471090109128,1.0,0.01,3.5044917e-18,793.653541424832,28.030645,1.0,200.0,-32.174713,100.0,,793.653541424832,100,1.0,-34.544052,0.009999998
1.0,100.0,-22.87748937404987,0.01,-22.87748937404987,1.0,0.01,3.5044917e-18,559.6427706649898,23.538189,1.0,200.0,-22.877487,100.0,,559.6427706649898,100,1.0,-24.867092,0.009999998
1.0,100.0,-30.699107684188036,0.01,-30.699107684188036,1.0,0.01,3.5044917e-18,744.3389060081096,27.145819,1.0,200.0,-30.699108,100.0,,744.3389060081096,100,1.0,-32.993656,0.009999998
1.0,100.0,-26.708492000513644,0.01,-26.708492000513644,1.0,0.01,3.5044917e-18,763.3935616634702,27.491083,1.0,200.0,-26.70849,100.0,,763.3935616634702,100,1.0,-29.03222,0.009999998
1.0,100.0,-33.7693109098589,0.01,-33.7693109098589,1.0,0.01,3.5044917e-18,790.9440301959146,27.982754,1.0,200.0,-33.76931,100.0,,790.9440301959146,100,1.0,-36.1346,0.009999998
1.0,100.0,-37.99867875432606,0.01,-37.99867875432606,1.0,0.01,3.5044917e-18,773.6567756321436,27.675262,1.0,200.0,-37.998676,100.0,,773.6567756321436,100,1.0,-40.337975,0.009999998
1.0,100.0,-32.54952863237329,0.01,-32.54952863237329,1.0,0.01,3.5044917e-18,751.7643692749473,27.280886,1.0,200.0,-32.549526,100.0,,751.7643692749473,100,1.0,-34.855488,0.009999998
1.0,100.0,-29.508200333645576,0.01,-29.508200333645576,1.0,0.01,3.5044917e-18,782.0965637358076,27.825806,1.0,200.0,-29.5082,100.0,,782.0965637358076,100,1.0,-31.860224,0.009999998
1.0,100.0,-29.432744665034225,0.01,-29.432744665034225,1.0,0.01,3.5044917e-18,787.2154734433576,27.916721,1.0,200.0,-29.432743,100.0,,787.2154734433576,100,1.0,-31.792452,0.009999998
1.0,100.0,-30.011925570589057,0.01,-30.011925570589057,1.0,0.01,3.5044917e-18,647.0464010240798,25.3096,1.0,200.0,-30.011925,100.0,,647.0464010240798,100,1.0,-32.15126,0.009999998
1.0,100.0,-31.7731822932268,0.01,-31.7731822932268,1.0,0.01,3.5044917e-18,770.7513524108803,27.623247,1.0,200.0,-31.773182,100.0,,770.7513524108803,100,1.0,-34.108086,0.009999998
1.0,100.0,-31.965786972039652,0.01,-31.965786972039652,1.0,0.01,3.5044917e-18,772.9086501392402,27.661879,1.0,200.0,-31.965784,100.0,,772.9086501392402,100,1.0,-34.30395,0.009999998
1.0,100.0,-33.69357782066377,0.01,-33.69357782066377,1.0,0.01,3.5044917e-18,774.5087806978295,27.690498,1.0,200.0,-33.693577,100.0,,774.5087806978295,100,1.0,-36.034164,0.009999998
1.0,100.0,-25.52539580182672,0.01,-25.52539580182672,1.0,0.01,3.5044917e-18,559.5572287510337,23.53639,1.0,200.0,-25.525394,100.0,,559.5572287510337,100,1.0,-27.514849,0.009999998
1.0,100.0,-30.55414560984999,0.01,-30.55414560984999,1.0,0.01,3.5044917e-18,843.7930796116673,28.902508,1.0,200.0,-30.554144,100.0,,843.7930796116673,100,1.0,-32.997177,0.009999998
