VarJ,MinVanillaIw,AvgDiscRet,AvgRet,VarDiscRet,BatchSize,VarRet,VanillaAvgRet,MaxNormIw,MaxVanillaIw,eRenyi2,VarNormIw,MinNormIw,ESSRenyi,VarVanillaIw,J,AvgEpLen,ESSClassic,AvgNormIw,AvgVanillaIw,Bound
0.12855852,0.9996663,4999.893797482848,4999.893797482848,0.01669266826707663,100,0.01669266826707663,4999.893797482848,0.010003273,1.0003295,1.0,1.3798519e-12,0.009996641,100.0,1.3798632e-08,4999.8945,500.0,100.00000762937867,0.009999999,1.0000021,4579.084
0.16801472,0.99403673,4999.889175508151,4999.889175508151,0.028744768954059217,100,0.028744768954059217,4999.889175508151,0.010008851,1.0007573,1.0000001,1.2170337e-10,0.009941637,99.99998807907247,1.2167276e-06,4999.8896,500.0,99.99985883833276,0.010000002,0.9998724,4579.079
65.269936,0.40952033,4982.557675260211,4982.557675260211,25219.905664580903,100,25219.905664580903,4982.557675260211,0.011737874,1.1754613,1.0176425,2.1004512e-06,0.0040893713,98.26633635576864,0.021064462,4992.6484,498.29,97.96289903116394,0.010000002,1.0014261,4568.142
0.23491299,1.0,4999.8868551193755,4999.8868551193755,0.055730903233937625,100,0.055730903233937625,4999.8868551193755,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.8867,500.0,100.0,0.009999998,1.0,4579.076
0.17161267,0.9987271,4999.912464613315,4999.912464613315,0.02980961842462625,100,0.02980961842462625,4999.912464613315,0.010005165,1.0005447,1.0000001,1.0965087e-11,0.00998699,99.99998807907247,1.0965913e-07,4999.913,500.0,100.00000381458999,0.01,1.0000281,4579.1025
0.072752655,1.0,4999.926417409547,4999.926417409547,0.005347710828678118,100,0.005347710828678118,4999.926417409547,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.927,500.0,100.0,0.009999998,1.0,4579.116
96.5975,0.27959856,4966.116189085672,4966.116189085672,114286.11104624139,100,114286.11104624139,4966.116189085672,0.012775066,1.252974,1.0348904,3.8368903e-06,0.0028507295,96.62858860837503,0.03690942,4990.2856,496.63,96.34048292868799,0.01,0.9807965,4562.197
0.081057936,0.9975656,4999.906446243112,4999.906446243112,0.006643329556888939,100,0.006643329556888939,4999.906446243112,0.010019397,1.0020677,1.0000006,6.375673e-11,0.009974383,99.99994039539075,6.377287e-07,4999.9067,500.0,99.99994660107957,0.01,1.0001277,4579.096
0.103911236,0.99657613,4999.914038270197,4999.914038270197,0.010941710792319214,100,0.010941710792319214,4999.914038270197,0.010022826,1.002397,1.0000013,1.5120032e-10,0.009964624,99.99986886995345,1.5123398e-06,4999.9146,500.0,99.99984361544462,0.01,1.0001141,4579.1035
0.08879849,1.0,4999.9140856815875,4999.9140856815875,0.007967206018796602,100,0.007967206018796602,4999.9140856815875,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.914,500.0,100.0,0.009999998,1.0,4579.1035
0.08668535,1.0,4999.919622993864,4999.919622993864,0.00758922826078834,100,0.00758922826078834,4999.919622993864,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.9194,500.0,100.0,0.009999998,1.0,4579.109
0.10140954,0.99767834,4999.920515860216,4999.920515860216,0.010409286928063982,100,0.010409286928063982,4999.920515860216,0.010009887,1.0010055,1.0000002,3.2613634e-11,0.009976615,99.99997615814777,3.2614878e-07,4999.921,500.0,99.99997711220624,0.01,1.0000168,4579.1104
0.084787056,1.0,4999.926215289006,4999.926215289006,0.007260365086543099,100,0.007260365086543099,4999.926215289006,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.9263,500.0,100.0,0.009999998,1.0,4579.1157
0.07935518,1.0,4999.921940240906,4999.921940240906,0.006365154363740074,100,0.006365154363740074,4999.921940240906,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.9224,500.0,100.0,0.009999998,1.0,4579.112
0.0969999,1.0,4999.906883505156,4999.906883505156,0.009505093224839953,100,0.009505093224839953,4999.906883505156,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.9067,500.0,100.0,0.009999998,1.0,4579.096
0.10724874,1.0,4999.906231171112,4999.906231171112,0.011620423929140882,100,0.011620423929140882,4999.906231171112,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.9062,500.0,100.0,0.009999998,1.0,4579.0957
39.349823,0.58970517,4993.234115201035,4993.234115201035,4488.957046600493,100,4488.957046600493,4993.234115201035,0.01094768,1.0982896,1.0051571,5.3165047e-07,0.005878143,99.48693462860962,0.005350765,4995.9966,499.34,99.47641979908444,0.01,1.0032167,4574.1025
0.08555202,0.9978997,4999.91927928393,4999.91927928393,0.0074006749898581,100,0.0074006749898581,4999.91927928393,0.010070115,1.0070983,1.000001,1.9845185e-10,0.009978138,99.99990463265931,1.9848674e-06,4999.92,500.0,99.99981309619513,0.009999999,1.0000862,4579.1094
54.563545,0.6416712,4991.398258794092,4991.398258794092,7267.813855554151,100,7267.813855554151,4991.398258794092,0.011114644,1.1127769,1.006239,5.5699684e-07,0.0064091436,99.37996278852664,0.0055831317,4994.461,499.16,99.45158576441932,0.01,1.0011809,4572.34
0.36579677,0.9988548,4999.871050703941,4999.871050703941,0.13544860180619167,100,0.13544860180619167,4999.871050703941,0.010003904,1.0003397,1.0,1.1290567e-11,0.009989053,100.0,1.1289198e-07,4999.872,500.0,99.99997329577371,0.010000002,0.9999494,4579.0615
0.19487341,1.0,4999.881011480578,4999.881011480578,0.038348636873726506,100,0.038348636873726506,4999.881011480578,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.881,500.0,100.0,0.009999998,1.0,4579.0703
