Delta,AvgDiscRet,VarNormIw,VarRet,AvgRet,ESSRenyi,VarDiscRet,AvgNormIw,IterType,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,ESSClassic,VarJ,Bound,MaxNormIw,eRenyi2,VarVanillaIw,AvgEpLen,J,MinNormIw,BatchSize,EpsThisIter,AvgVanillaIw
0.7,-68.0890137045,2.14064e-05,1354.44695613,-68.0890137045,93.8860104091,1354.44695613,0.01,1,5.11107,-68.0890137045,0.558077,82.5134665421,26.9219,-94.8358,0.0489704,1.06512,0.233185,97.72,-66.6523,0.00534706,100,100,1.04371
0.7,-82.5526777577,4.80542e-05,6056.71592092,-82.5526777577,68.6295521256,6056.71592092,0.01,1,2.19182,-82.5526777577,1.80251e-05,67.7627869446,42.9463,-103.232,0.0222514,1.4571,0.466259,114.64,-70.2683,1.82991e-07,100,100,0.985027
0.7,-90.3345448622,4.47256e-05,8279.1651198,-90.3345448622,83.2706267973,8279.1651198,0.01,1,6.04512,-90.3345448622,0.149658,69.3104731574,69.89,-113.009,0.0574044,1.2009,0.495993,123.48,-83.0831,0.00142115,100,100,1.05308
0.7,-81.9346967818,2.63831e-06,6096.82048556,-81.9346967818,96.2516111051,6096.82048556,0.01,1,1.55027,-81.9346967818,0.563698,97.4545641083,75.1418,-108.662,0.0156445,1.03894,0.0259071,113.11,-80.827,0.00568853,100,100,0.990938
0.7,-73.3348346205,9.07065e-06,3803.81922794,-73.3348346205,96.7694073027,3803.81922794,0.01,1,3.73144,-73.3348346205,0.851898,91.7600177842,55.4313,-100.191,0.0372035,1.03338,0.0912484,102.92,-72.4311,0.00849365,100,100,1.00298
0.7,-79.599376182,1.5671e-05,4917.03289956,-79.599376182,86.5719398036,4917.03289956,0.01,1,2.10694,-79.599376182,0.0728982,86.5693373686,54.0152,-104.699,0.0208454,1.15511,0.160096,110.86,-75.3489,0.000721233,100,100,1.01074
0.7,-77.8330622283,4.16774e-06,4944.49440288,-77.8330622283,96.0041456868,4944.49440288,0.01,1,1.95649,-77.8330622283,0.595189,96.0374674545,65.222,-104.508,0.0192332,1.04162,0.0431272,108.12,-76.6371,0.005851,100,100,1.01724
0.7,-78.903468008,7.9507e-06,4936.90618657,-78.903468008,91.801870727,4936.90618657,0.01,1,1.51235,-78.903468008,0.293443,92.7031897455,64.0292,-104.961,0.0152844,1.0893,0.0778424,109.65,-76.4595,0.00296564,100,100,0.989476
0.7,-88.9776991305,4.93199e-05,8282.82930954,-88.9776991305,70.6734103153,8282.82930954,0.01,1,2.29368,-88.9776991305,0.00435201,67.1922469638,56.2599,-107.029,0.0245314,1.41496,0.431166,121.52,-74.5456,4.65455e-05,100,100,0.934999
0.7,-83.5692886849,2.56884e-05,6015.45915346,-83.5692886849,78.9290365729,6015.45915346,0.01,1,2.2736,-83.5692886849,0.23891,79.7247808716,55.7012,-106.67,0.0223847,1.26696,0.265011,115.76,-75.9317,0.00235218,100,100,1.01569
0.7,-69.6394526508,7.60504e-06,2614.75643163,-69.6394526508,91.6369834828,2614.75643163,0.01,1,1.74275,-69.6394526508,0.389426,92.9981804724,39.5988,-95.9047,0.017162,1.09126,0.078422,98.8,-67.3776,0.00383492,100,100,1.01547
0.7,-86.2185153598,0.000158262,8420.85057843,-86.2185153598,46.5934119647,8420.85057843,0.01,1,4.23848,-86.2185153598,7.76484e-06,38.9591624422,41.5048,-106.548,0.0528851,2.14623,1.01655,117.81,-66.5408,9.68849e-08,100,100,0.80145
0.7,-80.4128204176,5.99166e-05,4911.92759983,-80.4128204176,69.5568303953,4911.92759983,0.01,1,3.40883,-80.4128204176,0.00255716,62.7677803747,29.5483,-101.623,0.0388523,1.43767,0.461236,112.32,-68.8803,2.91453e-05,100,100,0.877381
0.7,-75.0980368514,3.22459e-05,3783.73162037,-75.0980368514,79.7342612051,3783.73162037,0.01,1,2.09916,-75.0980368514,0.000317602,75.8015109415,21.8353,-98.2221,0.0222391,1.25417,0.287296,105.58,-67.6414,3.36478e-06,100,100,0.943903
0.7,-85.4195751497,3.18537e-05,7211.88782137,-85.4195751497,76.7737659955,7211.88782137,0.01,1,2.61649,-85.4195751497,0.184791,76.0252766242,60.735,-108.129,0.0253643,1.30253,0.338963,117.54,-76.9594,0.00179137,100,100,1.03156
0.7,-83.415884359,2.8837e-05,7280.04146771,-83.415884359,79.8862094474,7280.04146771,0.01,1,2.14486,-83.415884359,0.0045313,77.7915773734,61.1137,-102.798,0.0215333,1.25178,0.286107,114.81,-72.245,4.54919e-05,100,100,0.996068
0.7,-83.8633596292,8.1071e-05,7268.86290856,-83.8633596292,76.4440945112,7268.86290856,0.01,1,7.00776,-83.8633596292,0.0130919,55.475337328,68.0018,-107.481,0.0654999,1.30815,0.92799,115.16,-76.2473,0.000122367,100,100,1.06989
0.7,-85.7146538754,3.01431e-05,7195.02392008,-85.7146538754,78.359582389,7195.02392008,0.01,1,2.97447,-85.7146538754,0.273821,77.016862849,64.0,-109.456,0.0303664,1.27617,0.289216,118.2,-78.6066,0.00279543,100,100,0.979528
0.7,-75.4251977237,5.5494e-06,5016.0352051,-75.4251977237,95.3752062447,5016.0352051,0.01,1,2.14444,-75.4251977237,0.670135,94.7922085363,63.0432,-101.972,0.0213887,1.04849,0.0557832,104.96,-74.0063,0.00668396,100,100,1.0026
0.7,-73.7437213846,1.20218e-06,3804.21206964,-73.7437213846,98.8054569922,3804.21206964,0.01,1,1.39132,-73.7437213846,0.895714,98.8238085429,60.6232,-100.907,0.0138446,1.01209,0.0121413,103.52,-73.4362,0.00891297,100,100,1.00496
0.7,-84.8242446236,8.87746e-05,7224.78929254,-84.8242446236,55.6330295381,7224.78929254,0.01,1,2.69278,-84.8242446236,9.55865e-06,53.2235045439,49.5689,-109.118,0.0327564,1.79749,0.599929,116.72,-72.5058,1.16276e-07,100,100,0.822064
0.7,-71.3240530202,1.24786e-05,2609.60820976,-71.3240530202,88.2798753311,2609.60820976,0.01,1,1.74371,-71.3240530202,0.126876,89.0045648232,31.1797,-96.5751,0.0167777,1.13276,0.134787,101.07,-67.511,0.00122078,100,100,1.0393
0.7,-86.428590795,6.42868e-05,7145.44859367,-86.428590795,69.0240608105,7145.44859367,0.01,1,2.83098,-86.428590795,0.00570349,61.1082933687,61.3971,-108.72,0.0336075,1.44877,0.456168,119.69,-75.8511,6.77079e-05,100,100,0.842367
0.7,-69.4063220444,3.47739e-06,1371.96457965,-69.4063220444,97.9167126275,1371.96457965,0.01,1,2.09266,-69.4063220444,0.822278,96.6719498752,33.0028,-96.3981,0.0209971,1.02128,0.0345409,99.22,-68.8063,0.00825046,100,100,0.996644
0.7,-82.9004662585,1.28332e-05,6077.37084859,-82.9004662585,88.0911460953,6077.37084859,0.01,1,2.63863,-82.9004662585,0.203374,88.7273212473,67.7168,-108.163,0.025647,1.13519,0.135836,114.83,-79.0677,0.00197677,100,100,1.02882
0.7,-96.3093741356,2.07804e-05,10382.9800245,-96.3093741356,85.5187701522,10382.9800245,0.01,1,3.10255,-96.3093741356,0.402413,82.9375771678,86.7175,-120.32,0.0303058,1.16933,0.217791,130.54,-90.7895,0.00393079,100,100,1.02375
0.7,-79.7038099898,1.03549e-05,4901.59306596,-79.7038099898,90.1979329096,4901.59306596,0.01,1,2.22579,-79.7038099898,0.411902,90.7018167736,57.5129,-105.3,0.0219034,1.10867,0.106929,111.16,-76.5467,0.0040534,100,100,1.01619
0.7,-77.3936095159,1.59709e-05,4946.09521226,-77.3936095159,85.1149094827,4946.09521226,0.01,1,1.6631,-77.3936095159,0.135734,86.3474175864,53.1713,-102.417,0.0158959,1.17488,0.174821,108.31,-72.8169,0.00129734,100,100,1.04624
0.7,-79.4869147553,3.1786e-05,6171.08658277,-79.4869147553,76.9859240138,6171.08658277,0.01,1,2.79048,-79.4869147553,0.0232376,76.0640656477,54.2068,-101.117,0.0275954,1.29894,0.325028,109.37,-69.9938,0.000229799,100,100,1.01121
0.7,-66.8444371748,2.83877e-05,132.396212795,-66.8444371748,82.5952728169,132.396212795,0.01,1,1.91427,-66.8444371748,0.0714913,78.0617233778,10.9532,-72.8623,0.0197771,1.21072,0.265956,97.02,-65.6878,0.000738607,100,100,0.967921
0.7,-73.5031770578,0.000159104,132.396212795,-66.8444371748,137.288925189,2581.27621313,0.01,,13.9877,-66.8444371748,0.522394,38.8329809935,58.6652,-108.85,0.0785192,1.45678,5.04921,97.02,-75.8898,0.00293242,200,100,1.78144
0.7,-82.6182844576,1.82898e-06,6123.22583371,-82.6182844576,189.228495232,6123.22583371,0.005,1,2.72855,-82.6182844576,0.808636,186.429201662,48.6646,-93.363,0.0133069,1.05692,0.0768984,113.58,-73.5114,0.00394365,200,100,1.02524
0.7,-76.5940057886,3.50449e-18,4982.97412731,-76.5940057886,200.0,4982.97412731,0.01,2,1.0,-76.5940057886,1.0,100.0,70.2364,-103.902,0.01,1.0,,106.92,-76.594,0.01,200,100,1.0
0.7,-82.0678037335,4.8951e-06,4862.11216897,-82.0678037335,167.312585789,4862.11216897,0.005,1,1.68894,-82.0678037335,0.0537893,167.38845347,59.4191,-96.7432,0.00858376,1.19537,0.189511,114.47,-75.6311,0.000273376,200,100,0.983798
0.7,-84.8350224209,3.50449e-18,7213.65963291,-84.8350224209,200.0,7213.65963291,0.01,2,1.0,-84.8350224209,1.0,100.0,84.5075,-112.143,0.01,1.0,,116.94,-84.835,0.01,200,100,1.0
0.7,-83.3959437652,3.45308e-05,6034.3911432,-83.3959437652,85.03484118,6034.3911432,0.005,1,4.05532,-83.3959437652,1.34295e-07,84.2344627933,39.4256,-99.3751,0.020416,2.35198,1.36244,114.74,-69.76,6.7609e-10,200,100,0.993174
0.7,-89.2952554151,3.50449e-18,8307.5694572,-89.2952554151,200.0,8307.5694572,0.01,2,1.0,-89.2952554151,1.0,100.0,90.689,-116.604,0.01,1.0,,121.93,-89.2952,0.01,200,100,1.0
0.7,-74.9246949047,1.91756e-06,3764.08029228,-74.9246949047,183.686863312,3764.08029228,0.005,1,2.31392,-74.9246949047,0.213174,185.818501059,75.2103,-100.575,0.0119976,1.08881,0.0713268,105.23,-80.4262,0.0011053,200,100,0.964322
0.7,-68.1939018393,3.50449e-18,1362.04333848,-68.1939018393,200.0,1362.04333848,0.01,2,1.0,-68.1939018393,1.0,100.0,36.7209,-95.4989,0.01,1.0,,98.22,-68.1939,0.01,200,100,1.0
0.7,-80.7957131672,1.7656e-07,6111.19630041,-80.7957131672,197.666209139,6111.19630041,0.005,1,1.29335,-80.7957131672,0.780793,198.604453243,59.8416,-93.6759,0.00657491,1.01181,0.00683196,112.26,-74.2523,0.00396926,200,100,0.983549
0.7,-69.6506725331,3.50449e-18,2591.51605232,-69.6506725331,200.0,2591.51605232,0.01,2,1.0,-69.6506725331,1.0,100.0,50.6518,-96.959,0.01,1.0,,98.68,-69.6507,0.01,200,100,1.0
0.7,-75.2284232944,3.26301e-06,3776.10456874,-75.2284232944,175.12844797,3776.10456874,0.005,1,1.86507,-75.2284232944,0.0555274,177.0118722,44.506,-90.3459,0.00933187,1.14202,0.130339,105.8,-69.7103,0.000277831,200,100,0.999303
0.7,-75.58125469,3.50449e-18,3783.91597977,-75.58125469,200.0,3783.91597977,0.01,2,1.0,-75.58125469,1.0,100.0,61.2052,-102.89,0.01,1.0,,106.0,-75.5813,0.01,200,100,1.0
0.7,-86.4303027472,5.57107e-06,7140.92159479,-86.4303027472,158.149148082,7140.92159479,0.005,1,1.79325,-86.4303027472,0.0146436,163.702513062,66.4057,-99.7089,0.0085394,1.26463,0.245677,118.85,-77.9938,6.97326e-05,200,100,1.04998
0.7,-82.7735853447,3.50449e-18,6080.6291799,-82.7735853447,200.0,6080.6291799,0.01,2,1.0,-82.7735853447,1.0,100.0,77.5875,-110.082,0.01,1.0,,114.16,-82.7736,0.01,200,100,1.0
0.7,-71.2171230887,4.37709e-06,2582.98486593,-71.2171230887,171.206703436,2582.98486593,0.005,1,3.21831,-71.2171230887,0.219614,170.327498889,54.4367,-94.6645,0.0157938,1.16818,0.181748,101.0,-73.7942,0.00107775,200,100,1.01885
0.7,-81.3005684015,3.50449e-18,6116.37607458,-81.3005684015,200.0,6116.37607458,0.01,2,1.0,-81.3005684015,1.0,100.0,77.8152,-108.609,0.01,1.0,,112.35,-81.3006,0.01,200,100,1.0
0.7,-78.5605037273,1.05344e-05,4990.85186679,-78.5605037273,140.724443497,4990.85186679,0.005,1,2.45218,-78.5605037273,0.00520159,140.917582795,55.826,-96.5397,0.0125684,1.42122,0.401009,109.68,-73.5194,2.66602e-05,200,100,0.975534
0.7,-76.0087568302,3.50449e-18,3811.53978391,-76.0087568302,200.0,3811.53978391,0.01,2,1.0,-76.0087568302,1.0,100.0,61.4282,-103.317,0.01,1.0,,106.68,-76.0088,0.01,200,100,1.0
0.7,-75.5944332504,1.65256e-06,4985.44768,-75.5944332504,185.664026694,4985.44768,0.005,1,2.638,-75.5944332504,0.791492,187.657406324,59.1246,-94.0804,0.0132661,1.07721,0.0653459,105.39,-74.0388,0.00398031,200,100,0.994261
0.7,-86.5893474284,3.50449e-18,7178.50772591,-86.5893474284,200.0,7178.50772591,0.01,2,1.0,-86.5893474284,1.0,100.0,84.3014,-113.897,0.01,1.0,,118.75,-86.5893,0.01,200,100,1.0
0.7,-74.6634576966,1.43156e-05,3778.69733857,-74.6634576966,137.983110466,3778.69733857,0.005,1,2.38442,-74.6634576966,3.62516e-06,127.407845751,61.5982,-97.4471,0.0130186,1.44945,0.48023,105.83,-74.1993,1.97929e-08,200,100,0.915776
0.7,-70.1679621671,3.50449e-18,2592.31815117,-70.1679621671,200.0,2592.31815117,0.01,2,1.0,-70.1679621671,1.0,100.0,50.6596,-97.4761,0.01,1.0,,99.36,-70.168,0.01,200,100,1.0
0.7,-83.0070031552,9.78878e-06,6082.82010963,-83.0070031552,147.027866053,6082.82010963,0.005,1,2.80177,-83.0070031552,0.000105552,143.927021862,43.4297,-92.1401,0.0144305,1.36029,0.369005,114.48,-69.6187,5.43644e-07,200,100,0.970782
0.7,-81.5675439772,3.50449e-18,6077.21304117,-81.5675439772,200.0,6077.21304117,0.01,2,1.0,-81.5675439772,1.0,100.0,77.5657,-108.876,0.01,1.0,,113.06,-81.5675,0.01,200,100,1.0
0.7,-71.097607017,1.50781e-05,2590.28903831,-71.097607017,124.384210815,2590.28903831,0.005,1,3.05539,-71.097607017,0.00223231,124.991578829,35.0981,-93.266,0.0148781,1.60792,0.635891,100.93,-68.7805,1.08702e-05,200,100,1.02681
0.7,-80.846878766,3.50449e-18,6162.35227292,-80.846878766,200.0,6162.35227292,0.01,2,1.0,-80.846878766,1.0,100.0,78.1072,-108.155,0.01,1.0,,111.96,-80.8469,0.01,200,100,1.0
0.7,-76.2151306812,1.09021e-06,5011.94087078,-76.2151306812,189.616084644,5011.94087078,0.005,1,1.73483,-76.2151306812,0.538817,191.682734043,71.2952,-97.1641,0.00864532,1.05476,0.0438998,105.92,-77.3326,0.00268513,200,100,1.00333
0.7,-74.4082699884,3.50449e-18,3777.99340972,-74.4082699884,200.0,3777.99340972,0.01,2,1.0,-74.4082699884,1.0,100.0,61.1573,-101.716,0.01,1.0,,104.24,-74.4083,0.01,200,100,1.0
0.7,-74.7096177061,4.52075e-06,3794.36013004,-74.7096177061,170.517768908,3794.36013004,0.005,1,1.80214,-74.7096177061,0.0342184,169.502178176,48.8784,-91.5969,0.00913725,1.1729,0.175855,105.07,-70.6843,0.000173495,200,100,0.986148
0.7,-86.7955085158,3.50449e-18,8404.80221944,-86.7955085158,200.0,8404.80221944,0.01,2,1.0,-86.7955085158,1.0,100.0,91.2182,-114.104,0.01,1.0,,118.55,-86.7955,0.01,200,100,1.0
0.7,-76.3278059541,9.99028e-06,5020.01583158,-76.3278059541,148.208608815,5020.01583158,0.005,1,2.0645,-76.3278059541,0.0144506,143.101156716,71.7783,-98.305,0.0105105,1.34945,0.385439,106.45,-75.8736,7.35692e-05,200,100,0.982108
0.7,-84.8339593861,3.50449e-18,7213.06575928,-84.8339593861,200.0,7213.06575928,0.01,2,1.0,-84.8339593861,1.0,100.0,84.5041,-112.142,0.01,1.0,,116.29,-84.834,0.01,200,100,1.0
0.7,-72.6562457256,4.82686e-06,2548.48141063,-72.6562457256,165.49493317,2548.48141063,0.005,1,2.63338,-72.6562457256,0.0452459,167.769875552,53.3372,-95.5998,0.0128632,1.2085,0.2023,103.05,-74.3721,0.000221011,200,100,1.02361
0.7,-86.5654393345,3.50449e-18,7179.5541269,-86.5654393345,200.0,7179.5541269,0.01,2,1.0,-86.5654393345,1.0,100.0,84.3075,-113.874,0.01,1.0,,118.59,-86.5654,0.01,200,100,1.0
0.7,-94.5483155769,1.26119e-05,9273.39543099,-94.5483155769,128.758442157,9273.39543099,0.005,1,2.8769,-94.5483155769,0.011366,133.160027477,75.1504,-103.988,0.0137008,1.5533,0.55608,128.26,-79.9216,5.41289e-05,200,100,1.0499
0.7,-89.6296467723,3.50449e-18,8292.99698535,-89.6296467723,200.0,8292.99698535,0.01,2,1.0,-89.6296467723,1.0,100.0,90.6094,-116.938,0.01,1.0,,122.39,-89.6296,0.01,200,100,1.0
0.7,-73.5140738496,4.97129e-06,3801.45424333,-73.5140738496,165.459140491,3801.45424333,0.005,1,2.55006,-73.5140738496,0.180825,166.964789027,64.5957,-98.4066,0.012744,1.20876,0.199049,103.17,-77.1766,0.000903678,200,100,1.0005
0.7,-71.0575242271,3.50449e-18,2582.70050674,-71.0575242271,200.0,2582.70050674,0.01,2,1.0,-71.0575242271,1.0,100.0,50.5655,-98.3616,0.01,1.0,,100.59,-71.0575,0.01,200,100,1.0
0.7,-79.5708401887,5.65694e-07,4897.28414692,-79.5708401887,193.651046853,4897.28414692,0.005,1,1.81005,-79.5708401887,0.759588,195.596102215,56.8077,-94.255,0.00929177,1.03279,0.0214668,111.4,-74.6311,0.00389929,200,100,0.974009
0.7,-80.385198781,3.50449e-18,6136.40313609,-80.385198781,200.0,6136.40313609,0.01,2,1.0,-80.385198781,1.0,100.0,77.9425,-107.694,0.01,1.0,,111.16,-80.3852,0.01,200,100,1.0
0.7,-88.1910859935,1.64011e-05,8348.40897688,-88.1910859935,131.164706805,8348.40897688,0.005,1,2.45459,-88.1910859935,0.00676509,121.009507435,79.2211,-100.47,0.0132728,1.5248,0.560932,119.93,-76.625,3.6581e-05,200,100,0.924674
0.7,-68.6195843433,3.50449e-18,1351.01580908,-68.6195843433,200.0,1351.01580908,0.01,2,1.0,-68.6195843433,1.0,100.0,36.5719,-95.9272,0.01,1.0,,99.09,-68.6196,0.01,200,100,1.0
0.7,-71.5155921441,1.76406e-06,2557.44738623,-71.5155921441,186.500192256,2557.44738623,0.005,1,2.26769,-71.5155921441,0.239806,186.879330979,36.6321,-88.2466,0.0112476,1.07238,0.0717077,101.8,-68.2504,0.00118941,200,100,1.00808
0.7,-82.2347299962,3.50449e-18,6114.47528291,-82.2347299962,200.0,6114.47528291,0.01,2,1.0,-82.2347299962,1.0,100.0,77.8032,-109.543,0.01,1.0,,114.12,-82.2347,0.01,200,100,1.0
0.7,-85.2088264807,1.77084e-06,7205.48796479,-85.2088264807,180.789744783,7205.48796479,0.005,1,2.63642,-85.2088264807,0.765519,186.832150277,72.6265,-101.475,0.0133269,1.10626,0.069303,117.29,-81.1648,0.00386964,200,100,0.989136
0.7,-78.40099428,3.50449e-18,4984.39619914,-78.40099428,200.0,4984.39619914,0.01,2,1.0,-78.40099428,1.0,100.0,70.2464,-105.709,0.01,1.0,,108.9,-78.401,0.01,200,100,1.0
0.7,-79.3913955508,1.12525e-05,6147.89909005,-79.3913955508,140.494940799,6147.89909005,0.005,1,2.18617,-79.3913955508,0.00262742,138.136001697,61.5524,-96.6029,0.0112859,1.42354,0.422228,109.87,-73.5638,1.35637e-05,200,100,0.968544
0.7,-79.1185947409,3.50449e-18,4922.28415042,-79.1185947409,200.0,4922.28415042,0.01,2,1.0,-79.1185947409,1.0,100.0,69.8073,-106.427,0.01,1.0,,110.36,-79.1186,0.01,200,100,1.0
0.7,-71.5269379483,6.07997e-06,2610.79127921,-71.5269379483,160.545585766,2610.79127921,0.005,1,1.8821,-71.5269379483,0.0362594,161.032852676,41.1164,-91.6248,0.00949871,1.24575,0.238703,101.53,-70.0724,0.000182996,200,100,0.990714
0.7,-79.5254569004,3.50449e-18,4920.27016412,-79.5254569004,200.0,4920.27016412,0.01,2,1.0,-79.5254569004,1.0,100.0,69.793,-106.834,0.01,1.0,,111.08,-79.5255,0.01,200,100,1.0
0.7,-85.1905602336,5.5551e-06,7199.14386293,-85.1905602336,162.658580864,7199.14386293,0.005,1,2.2374,-85.1905602336,0.156128,163.787624182,64.6251,-100.213,0.0111973,1.22957,0.221794,117.46,-78.8006,0.000781361,200,100,0.999077
0.7,-87.8313538514,3.50449e-18,8337.25105601,-87.8313538514,200.0,8337.25105601,0.01,2,1.0,-87.8313538514,1.0,100.0,90.8509,-115.14,0.01,1.0,,120.28,-87.8314,0.01,200,100,1.0
0.7,-85.7071003173,5.44902e-06,7196.74568096,-85.7071003173,163.647251026,7196.74568096,0.005,1,3.12196,-85.7071003173,0.338687,164.355902323,77.8275,-103.597,0.0154911,1.22214,0.221313,117.6,-82.2496,0.00168056,200,100,1.00766
0.7,-69.037649862,3.50449e-18,1387.42212231,-69.037649862,200.0,1387.42212231,0.01,2,1.0,-69.037649862,1.0,100.0,37.0614,-96.3443,0.01,1.0,,98.93,-69.0377,0.01,200,100,1.0
0.7,-78.1145343558,8.51318e-07,4946.88620744,-78.1145343558,193.286677999,4946.88620744,0.005,1,1.79461,-78.1145343558,0.580894,193.445579619,53.2311,-92.4761,0.00880673,1.03473,0.0353512,108.94,-72.834,0.00285063,200,100,1.01889
0.7,-74.7356676096,3.50449e-18,3790.83835275,-74.7356676096,200.0,3790.83835275,0.01,2,1.0,-74.7356676096,1.0,100.0,61.2612,-102.043,0.01,1.0,,104.84,-74.7357,0.01,200,100,1.0
0.7,-82.908186069,6.41542e-06,6035.25942355,-82.908186069,161.026718554,6035.25942355,0.005,1,3.95466,-82.908186069,0.00195925,159.320197648,55.952,-95.802,0.0192552,1.24203,0.270613,114.75,-74.2818,9.53957e-06,200,100,1.02691
