TimestepsSoFar,InitialReturnMin,MinTargetPdf,ReturnStepMax,StdWReturnMean,EpRewMean,Bound,Iteration,WReturnMean,InitialReturnMax,OptimizationReturnMin,MaxIW,InitialReturnMean,EmpiricalD2Arithmetic,OptimizationReturnMax,EpLenMean,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimeElapsed,EpisodesSoFar,InitialBound,MinBehavPdf,MeanD2-0,MinIW,Epsilon,LearnableVariance,ESSRenyiHarmonic,InitialReturnStd,Weights,DivergenceHarmonic,EmpiricalD2Harmonic,MeanIW,ESSRenyiArithmetic,Inner Iteration,Penalization,StdIW,ReturnStepMaxmin,EpThisIter,VarianceInitializer
3795,9.982637,-10.444496,9.999974,,56.76280261592055,-26821691000000.0,6,4123.2783,139.92975,,43307.195,56.762802,1.0,129.94711,6.68,0.4189424,46.780167,13088071.0,13.751524209976196,550,-5722.007,-10.444496,1.0,0.1456811,1.0,,50.0,30.021034,[ 0.701 -0.112 -0.29   0.261],2.8146407e+20,1.0,1714.6176,50.0,1,True,7548.8457,9.999974,50,-1.0
4272,9.9823885,-17.056181,9.999993,,85.33668614814549,-9.932127e+18,6,8056.2114,219.95654,,57.829773,85.33668,6575.7505,209.97415,9.54,0.4189424,75.354294,8056.2114,14.728511095046997,600,-9.932127e+18,-11.654236,6575.7505,6.564576e-06,1.0,,0.0076036956,49.308655,[ 0.625 -0.422 -0.333 -0.121],6.321618e+30,6575.75,2.0642767,0.0076036947,2,True,8.473569,9.999993,50,-1.0
4655,9.980054,-10.434919,9.999994,,66.54972115218108,-67780764000.0,7,7725.4756,359.87555,,265882.4,66.54972,1.0,349.8955,7.66,0.4189424,56.569668,26379572.0,15.317861557006836,650,-18299.96,-10.434919,1.0,0.28100213,1.0,,50.0,57.41612,[ 0.625 -0.422 -0.333 -0.121],41054110000000.0,1.0,5392.4194,50.0,1,True,37213.25,9.999994,50,-1.0
5596,29.952503,-32.080093,9.999997,,178.09046733325283,-inf,7,30932.365,649.8356,,116.45128,178.09047,238658.86,619.88306,18.82,0.4189424,148.13795,30932.365,16.550820112228394,700,-inf,-26.868723,238658.86,2.9827074e-06,1.0,,0.00020950405,123.40143,[ 0.052 -0.407 -1.007 -0.587],inf,238658.86,5.043956,0.00020950405,2,True,20.076704,9.999997,50,-1.0
6483,9.982519,-30.127756,9.999995,,167.28687395238543,-1.3854416e+19,8,38004.113,469.79755,,157.88257,167.28688,1.0,459.81503,17.74,0.4189424,157.30435,1303187.8,18.24727988243103,750,-56025.008,-30.127756,1.0,0.46529695,1.0,,50.0,100.09603,[ 0.052 -0.407 -1.007 -0.587],5.910507e+29,1.0,21.184788,50.0,1,True,33.249847,9.999995,50,-1.0
8050,9.979939,-130.02536,9.999998,,303.2328893973897,-inf,8,1728091.8,969.5214,,565.5934,303.23288,inf,959.5415,31.34,0.4189424,293.25293,1728091.8,19.89514994621277,800,-inf,-39.35209,inf,,1.0,,,224.70195,[ 0.109  0.06  -1.147 -0.682],inf,inf,18.508001,,2,True,81.5366,9.999998,50,-1.0
10230,19.972515,-45.581165,9.999999,,425.81159949210473,-112277980000000.0,9,246395.2,1339.6206,,1110.5635,425.8116,1.0,1319.6481,43.6,0.4189424,405.8391,15146372.0,21.86319398880005,850,-392922.66,-45.581165,1.0,0.21724333,1.0,,50.0,255.10722,[ 0.109  0.06  -1.147 -0.682],5.871553e+17,1.0,49.678455,50.0,1,True,165.62709,9.999999,50,-1.0
12165,9.98202,-55.62797,10.0,,376.8012703959017,-inf,9,70097.6,1109.5027,,13.923358,376.80124,858874.25,1099.5206,38.7,0.4189424,366.8192,70097.6,24.17121124267578,900,-inf,-51.62519,858874.25,9.274444e-11,1.0,,5.821574e-05,245.5412,[ 0.021 -0.024 -1.159 -0.711],inf,858874.25,0.5862783,5.821574e-05,2,True,2.0460212,10.0,50,-1.0
14207,9.9852495,-51.72277,9.999997,,398.1909367963159,-5.1717005e+20,10,240131.55,1019.4242,,16881.514,398.19095,1.0,1009.43896,40.84,0.4189424,388.2057,632773060.0,26.70575213432312,950,-324984.16,-51.72277,1.0,0.023955442,1.0,,50.0,285.61432,[ 0.021 -0.024 -1.159 -0.711],3.714824e+31,1.0,1301.142,50.0,1,True,3621.7527,9.999997,50,-1.0
16450,9.984623,-68.58117,10.0,,438.3872643121577,-inf,10,181548.86,1599.4624,,44.487488,438.38727,300478.12,1589.4778,44.86,0.4189424,428.40265,181548.86,29.445266008377075,1000,-inf,-59.618137,300478.12,1.6398705e-08,1.0,,0.00016640147,269.24054,[ 0.069  0.09  -1.174 -0.724],inf,300478.12,1.237586,0.00016640147,2,True,6.2471185,10.0,50,-1.0
18691,29.955925,-38.288445,10.0,,437.9803075463488,-1381784800000000.0,11,234668.2,929.66003,,326619.88,437.98032,1.0,899.7041,44.82,0.4189424,408.02438,2767448600.0,32.65614175796509,1050,-305235.53,-38.288445,1.0,0.25223652,1.0,,50.0,206.98181,[ 0.069  0.09  -1.174 -0.724],3.8341906e+20,1.0,11114.086,50.0,1,True,51809.26,10.0,50,-1.0
20956,9.980783,-56.029404,10.0,,442.8249519073008,-27943068000000.0,11,1302644.8,1089.646,,40.927708,442.82492,86.826805,1079.6652,45.3,0.4189424,432.84418,1035226.56,35.50029468536377,1100,-72526300000000.0,-51.263905,86.826805,0.00010029167,1.0,,0.575859,290.3904,[ 0.1    0.221 -1.384 -0.733],8.308025e+16,86.826805,1.8543819,0.575859,2,True,7.190134,10.0,50,-1.0
23031,49.9337,-49.25875,10.0,,404.8039039301825,-6468394000.0,12,211510.84,1019.56775,,271.9778,404.80386,1.0,969.63403,41.5,0.4189424,354.8702,2136584.2,37.871015548706055,1150,-296387.38,-49.25875,1.0,0.20499566,1.0,,50.0,218.27652,[ 0.109  0.202 -1.364 -0.695],5804074000.0,1.0,17.679008,50.0,1,True,41.433117,10.0,50,-1.0
25966,39.948864,-76.54798,9.999999,,576.7417295530736,-inf,12,305585.12,1699.4463,,56.861088,576.7417,670631.7,1659.4974,58.7,0.4189424,536.7929,305585.12,41.72351932525635,1200,-inf,-70.09589,670631.7,1.3921938e-12,1.0,,7.455657e-05,392.1073,[ 0.052  0.099 -1.382 -0.734],inf,670631.7,1.5430138,7.455657e-05,2,True,7.9417267,9.999999,50,-1.0
29008,29.947548,-75.79605,10.0,,598.1447170560591,-3.4503247e+18,13,550632.75,2338.9446,,7606.3955,598.1447,1.0,2308.997,60.84,0.4189424,568.19714,282950400.0,46.35643482208252,1250,-997312.0,-75.79605,1.0,0.0031483292,1.0,,50.0,439.15338,[ 0.052  0.099 -1.382 -0.734],5.9666616e+25,1.0,266.87094,50.0,1,True,1066.5813,10.0,50,-1.0
32284,9.98056,-93.74752,9.999999,,644.9521823446497,-inf,13,277527.84,1809.3342,,67.43309,644.95215,1876571600.0,1799.3536,65.52,0.4189424,634.97156,277527.84,53.38335394859314,1300,-inf,-89.919495,1876571600.0,2.2570432e-09,1.0,,2.6644333e-08,411.6493,[-0.042  0.031 -1.397 -0.777],inf,1876571600.0,1.5276319,2.6644333e-08,2,True,9.436151,9.999999,50,-1.0
35273,9.983005,-81.64662,10.0,,587.5607095801729,-6.671469e+17,14,470215.44,1839.6545,,25033.346,587.5607,1.0,1829.6715,59.78,0.4189424,577.5777,539293100.0,58.64399266242981,1350,-746545.6,-81.64662,1.0,0.34346166,1.0,,50.0,353.53622,[-0.042  0.031 -1.397 -0.777],5.828933e+24,1.0,1818.0986,50.0,1,True,4894.878,10.0,50,-1.0
38745,9.980474,-228.36139,10.0,,684.1106722770804,-inf,14,153682.9,4888.0103,,22.152555,684.1107,917326560000000.0,4878.03,69.44,0.4189424,674.13025,153682.9,65.21759796142578,1400,-inf,-206.36813,917326560000000.0,7.8868014e-20,1.0,,5.4506218e-14,893.3148,[ 0.011  0.142 -1.41  -0.765],inf,917326560000000.0,1.053579,5.4506218e-14,2,True,3.686797,10.0,50,-1.0
42163,39.94188,-84.79235,10.0,,673.2952015109737,-387103860000000.0,15,641425.3,1879.401,,5912.0825,673.2952,1.0,1839.4591,68.36,0.4189424,633.35333,48944444.0,72.66476774215698,1450,-929825.1,-84.79235,1.0,0.23884554,1.0,,50.0,433.70374,[ 0.011  0.142 -1.41  -0.765],1.8016417e+18,1.0,135.95255,50.0,1,True,826.4932,10.0,50,-1.0
45178,19.967472,-67.94515,10.0,,592.7603784174472,-7.6780675e+16,15,501780.34,1439.7068,,1526.9797,592.7604,17.55708,1419.7393,60.3,0.4189424,572.7929,21752658.0,80.60528302192688,1500,-2749318800000.0,-67.1094,17.55708,0.039807893,1.0,,2.8478541,308.62506,[ 0.119  0.103 -1.432 -0.808],2.0582537e+23,17.55708,52.289562,2.8478541,2,True,220.70251,10.0,50,-1.0
48459,,-134.41235,9.999999,,645.9353709220339,-8.316572e+18,16,764454.56,3429.0093,,352.7316,645.93536,1.0,3429.0093,65.62,0.4189424,645.93536,17126842.0,89.97223782539368,1550,-1724503.2,-134.41235,1.0,0.20697975,1.0,,50.0,589.2555,[ 0.022  0.017 -1.443 -0.815],7.504216e+25,1.0,25.575447,50.0,1,True,59.96954,9.999999,50,-1.0
53299,9.980057,-190.2604,10.0,,957.6154284344259,-inf,16,32572644.0,4098.3086,,746.58466,957.6155,415196060.0,4088.3286,96.8,0.4189424,947.6354,32572644.0,104.72065305709839,1600,-inf,-174.79445,415196060.0,3.6850202e-14,1.0,,1.2042503e-07,736.2611,[-0.029  0.131 -1.453 -0.81 ],inf,415196060.0,33.70145,1.2042503e-07,2,True,138.78595,10.0,50,-1.0
57878,39.933876,-138.91797,10.0,,905.4516879211774,-97830404000000.0,17,1294433.2,3568.7683,,425.67358,905.4517,1.0,3528.8345,91.58,0.4189424,865.5178,31835264.0,119.92686629295349,1650,-2334337.2,-138.91797,1.0,0.14081879,1.0,,50.0,688.90533,[-0.029  0.131 -1.453 -0.81 ],8850447400000000.0,1.0,24.438591,50.0,1,True,80.29909,10.0,50,-1.0
61935,,-77.0513,9.999999,,801.1028783956785,-357891340000000.0,17,2813098.8,1929.6149,,30.641277,801.1029,84.01974,1929.6149,81.14,0.4189424,801.1029,2740813.0,131.41770482063293,1700,-375464770000000.0,-76.05679,84.01974,0.023019452,1.0,,0.59509826,498.64493,[ 0.031  0.144 -1.458 -0.821],1.3858337e+18,84.01974,2.2132125,0.59509826,2,True,5.9041333,9.999999,50,-1.0
65795,9.986511,-86.96037,9.999998,,761.6756996608716,-1.0953487e+19,18,834561.0,2428.7827,,13656.968,761.6757,1.0,2418.7961,77.2,0.4189424,751.68915,497365120.0,143.16208958625793,1750,-1316213.1,-86.96037,1.0,0.09192663,1.0,,50.0,504.39188,[ 0.031  0.137 -1.458 -0.821],5.171796e+26,1.0,499.41058,50.0,1,True,1963.8568,9.999998,50,-1.0
69893,29.94925,-154.36157,9.999999,,809.3380876846636,-inf,18,1069958.5,3369.421,,312.2205,809.3381,33065634.0,3339.4717,81.96,0.4189424,779.38885,1069958.5,156.3147156238556,1800,-inf,-143.72107,33065634.0,1.0462955e-11,1.0,,1.512144e-06,671.2048,[-0.013  0.039 -1.478 -0.88 ],inf,33065634.0,7.0822296,1.512144e-06,2,True,43.826733,9.999999,50,-1.0
73345,29.957027,-77.808716,9.999999,,680.1661258404124,-22435006000.0,19,665211.7,1809.4094,,107.84537,680.1662,1.0,1779.4524,69.04,0.4189424,650.2091,9603276.0,167.21669006347656,1850,-932530.6,-77.808716,1.0,0.12466148,1.0,,50.0,450.09525,[-0.013  0.039 -1.478 -0.88 ],7037597000.0,1.0,12.412894,50.0,1,True,22.77377,9.999999,50,-1.0
78331,39.96392,-143.38223,9.999999,,986.8400568777427,-3.680686e+17,19,1523141.5,3139.3372,,21.304857,986.84,562.80884,3099.3733,99.72,0.4189424,946.87616,1523141.5,182.70593309402466,1900,-3.680686e+17,-138.25899,562.80884,3.5481808e-05,1.0,,0.08884011,657.59424,[ 0.03   0.084 -1.482 -0.876],2.0921699e+23,562.80884,1.5351788,0.08884011,2,True,4.4954405,9.999999,50,-1.0
82582,,-115.386,9.999998,,839.8749542556425,-1.4258181e+22,20,1200911.1,2678.7383,,7953.513,839.875,1.0,2678.7383,85.02,0.4189424,839.875,1204633900.0,194.48218536376953,1950,-1786802.2,-115.386,1.0,0.23572996,1.0,,50.0,703.9326,[ 0.03   0.084 -1.482 -0.876],5.9224096e+32,1.0,238.45137,50.0,1,True,1165.4298,9.999998,50,-1.0
87848,19.97198,-100.161194,10.0,,1042.8179567567927,-inf,20,616736.2,2209.236,,18.749153,1042.818,2158027.5,2189.2642,105.32,0.4189424,1022.84607,616736.2,211.34908723831177,2000,-inf,-95.88281,2158027.5,9.680664e-07,1.0,,2.3169307e-05,538.9112,[-0.046  0.179 -1.508 -0.889],inf,2158027.5,1.7302186,2.3169307e-05,2,True,4.0060673,10.0,50,-1.0
94084,19.96276,-184.59601,10.0,,1236.7840916632963,-1.006913e+17,21,2533404.5,4239.0674,,397.06818,1236.7842,1.0,4219.1045,124.72,0.4189424,1216.8213,42603570.0,233.92118382453918,2050,-4000633.5,-184.59601,1.0,0.08457056,1.0,,50.0,1001.88306,[-0.046  0.179 -1.508 -0.889],4.7097071e+21,1.0,25.853586,50.0,1,True,66.14467,10.0,50,-1.0
99720,149.91269,-169.26341,10.0,,1116.7905433454514,-6082255000000000.0,21,4344232.0,4148.856,,38.9042,1116.7905,140.47484,3998.9434,112.72,0.4189424,966.87787,4344232.0,263.32768630981445,2100,-6082255000000000.0,-166.56728,140.47484,0.004254728,1.0,,0.35593563,848.1722,[ 0.015  0.187 -1.512 -0.893],1.8728676e+19,140.47484,1.5707233,0.35593563,2,True,5.904187,10.0,50,-1.0
104502,9.982929,-143.31839,10.0,,946.0510376487827,-1.2561136e+24,22,1581100.0,3418.9773,,228047.86,946.051,1.0,3408.9944,95.64,0.4189424,936.06805,32677243000.0,293.5985629558563,2150,-2535540.8,-143.31839,1.0,0.005663238,1.0,,50.0,828.304,[ 0.015  0.187 -1.512 -0.893],1.732065e+36,1.0,5750.607,50.0,1,True,32032.805,10.0,50,-1.0
109639,29.959175,-88.61498,10.0,,1017.0543271251458,-inf,22,4060318.2,2329.5686,,171.55127,1017.0544,1905532200.0,2299.6094,102.74,0.4189424,987.0951,4060318.2,328.54753828048706,2200,-inf,-84.67705,1905532200.0,6.1965955e-10,1.0,,2.623939e-08,473.74667,[-0.102  0.224 -1.534 -0.89 ],inf,1905532200.0,5.3898864,2.623939e-08,2,True,24.984556,10.0,50,-1.0
114239,19.970943,-124.801575,10.0,,909.6810385859666,-1.3220058e+16,23,1158420.9,2619.0981,,20411.445,909.681,1.0,2599.1272,92.0,0.4189424,889.7101,942699700.0,358.7185707092285,2250,-1718513.8,-124.801575,1.0,0.08486594,1.0,,50.0,575.2403,[-0.102  0.224 -1.534 -0.89 ],5.5712258e+20,1.0,1272.4896,50.0,1,True,3999.6216,10.0,50,-1.0
120689,,-209.07605,10.0,,1279.7207366794394,-inf,23,68402.13,4998.2637,,1.039372,1279.7207,278751840000.0,4998.2637,129.0,0.4189424,1279.7207,68402.13,396.7968485355377,2300,-inf,-194.21553,278751840000.0,1.2368494e-13,1.0,,1.7937102e-10,974.93304,[ 0.004  0.22  -1.536 -0.956],inf,278751840000.0,0.10003612,1.7937102e-10,2,True,0.2076725,10.0,50,-1.0
125459,19.964783,-183.5154,9.999999,,943.6162521847629,-1.9740468e+20,24,1607338.9,4138.661,,75.67028,943.61633,1.0,4118.6963,95.4,0.4189424,923.6515,31766734.0,428.68981289863586,2350,-3005883.5,-183.5154,1.0,0.04787099,1.0,,50.0,846.7157,[ 0.004  0.22  -1.536 -0.956],1.9923548e+28,1.0,5.9514713,50.0,1,True,15.168623,9.999999,50,-1.0
132060,9.980558,-162.81122,10.0,,1309.7431796027138,-1.3315945e+19,24,28134602.0,3368.7168,,129.37717,1309.7432,1407.0537,3358.7363,132.02,0.4189424,1299.7627,28134602.0,467.44463062286377,2400,-1.3315945e+19,-161.88322,1407.0537,6.387995e-06,1.0,,0.035535246,899.24445,[-0.055  0.23  -1.546 -0.97 ],2.0652715e+26,1407.0537,5.566245,0.035535246,2,True,19.217459,10.0,50,-1.0
137519,19.965311,-156.63268,10.0,,1081.4002050742163,-1169455300000.0,25,1855056.4,3378.9426,,96753.27,1081.4003,1.0,3358.9773,109.18,0.4189424,1061.4348,10652542000.0,496.56294870376587,2450,-2787276.5,-156.63268,1.0,0.09136482,1.0,,50.0,828.0277,[-0.055  0.23  -1.546 -0.97 ],1545208500000.0,1.0,1954.1718,50.0,1,True,13542.853,10.0,50,-1.0
142634,9.982947,-110.0659,10.0,,1012.7260821971078,-539021600000.0,25,17125832.0,2679.1377,,307.53592,1012.7261,38.439316,2669.1548,102.3,0.4189424,1002.7431,18105318.0,525.5717036724091,2500,-560146500000.0,-110.38505,38.439316,0.0005367881,1.0,,1.3007516,528.2932,[-0.111  0.216 -1.566 -0.986],845851800000.0,38.439316,7.170735,1.3007516,2,True,43.01376,10.0,50,-1.0
147742,9.980284,-171.789,10.0,,1011.3139050833256,-18137002000.0,26,1447917.1,3708.7808,,171.83815,1011.3139,1.0,3698.8005,102.16,0.4189424,1001.3336,21516532.0,554.8777406215668,2550,-2571019.0,-171.789,1.0,0.15597628,1.0,,50.0,652.044,[-0.106  0.207 -1.564 -0.984],260175600.0,1.0,22.61463,50.0,1,True,37.977737,10.0,50,-1.0
154180,29.94717,-162.55197,10.0,,1277.1876871774161,-1.2534453e+19,26,537355.06,3859.1616,,9.004215,1277.1876,2692.9097,3829.2144,128.76,0.4189424,1247.2406,537355.06,595.0701050758362,2600,-1.2534453e+19,-154.33475,2692.9097,9.985269e-12,1.0,,0.018567277,869.97906,[-0.053  0.24  -1.567 -0.975],1.0625032e+26,2692.9097,0.45589525,0.018567277,2,True,1.4294935,10.0,50,-1.0
160867,9.981575,-127.72059,10.0,,1326.940621562988,-18825098000000.0,27,2358757.0,3349.1357,,1047.8846,1326.9407,1.0,3339.154,133.74,0.4189424,1316.9591,150996460.0,630.2950592041016,2650,-3274604.0,-127.72059,1.0,0.10962462,1.0,,50.0,773.2954,[-0.053  0.24  -1.567 -0.975],422501100000000.0,1.0,91.58432,50.0,1,True,178.56119,10.0,50,-1.0
166304,,-170.30795,10.0,,1076.9799273872932,-inf,27,591081.6,4008.6978,,15.454965,1076.98,3921922.5,4008.6978,108.74,0.4189424,1076.98,591081.6,663.0809869766235,2700,-inf,-165.08371,3921922.5,2.8992124e-05,1.0,,1.2748848e-05,820.41223,[ 0.003  0.262 -1.583 -0.975],inf,3921922.8,0.52511984,1.2748849e-05,2,True,2.145672,10.0,50,-1.0
172224,39.925743,-187.9163,9.999999,,1173.7529651382422,-92296905000.0,28,2650322.5,4998.8447,,14.186385,1173.7529,1.0,4958.919,118.4,0.4189424,1133.8271,17426244.0,699.3652849197388,2750,-4690633.5,-187.9163,1.0,0.028037323,1.0,,50.0,1128.1074,[ 0.003  0.262 -1.583 -0.975],2045610900.0,1.0,4.2805376,50.0,1,True,3.4283042,9.999999,50,-1.0
179530,9.980028,-175.27594,10.0,,1450.7572451654255,-1.0047607e+21,28,1579889.2,3978.6562,,12.495299,1450.7572,5592.956,3968.6763,146.12,0.4189424,1440.7772,1579889.2,744.9864237308502,2800,-1.0047607e+21,-171.9321,5592.956,7.21723e-07,1.0,,0.008939817,869.71246,[-0.047  0.24  -1.609 -0.99 ],6.0432536e+29,5592.956,1.4164308,0.008939817,2,True,2.85993,10.0,50,-1.0
186116,29.950817,-119.942154,10.0,,1306.767227072782,-4.924394e+20,29,2281635.2,2929.5046,,11942708.0,1306.7672,1.0,2899.5537,131.72,0.4189424,1276.8164,1214920400000.0,788.5055012702942,2850,-2982357.5,-119.942154,1.0,0.024978992,1.0,,50.0,757.62445,[-0.047  0.24  -1.609 -0.99 ],4.9387854e+29,1.0,421242.3,50.0,1,True,1945568.0,10.0,50,-1.0
190357,19.969982,-137.9544,9.999999,,837.8511850517784,-inf,29,350286.78,3258.96,,4.40123,837.8512,47850750.0,3238.99,84.82,0.4189424,817.8812,350286.78,817.7503821849823,2900,-inf,-134.30429,47850750.0,1.572095e-05,1.0,,1.0449156e-06,724.41846,[ 0.018  0.336 -1.646 -0.964],inf,47850750.0,0.3234664,1.0449156e-06,2,True,0.85485274,9.999999,50,-1.0
194914,9.982743,-166.3647,10.0,,901.029393224513,-1.1457044e+16,30,1631769.8,3788.5273,,604320.0,901.02936,1.0,3778.5447,91.14,0.4189424,891.04663,13199249000.0,840.1592140197754,2950,-2803687.8,-166.3647,1.0,0.16343619,1.0,,50.0,905.492,[ 0.018  0.336 -1.646 -0.964],9.557709e+19,1.0,14639.168,50.0,1,True,85113.8,10.0,50,-1.0
199769,9.981636,-160.76547,10.0,,960.6110646177511,-3.987979e+21,30,1135861.6,3808.3472,,72.74517,960.6111,6313.4424,3798.3655,97.1,0.4189424,950.62946,1135861.6,864.213413476944,3000,-3.987979e+21,-155.3673,6313.4424,1.7861588e-06,1.0,,0.00791961,799.7967,[ 0.151  0.525 -2.057 -1.13 ],1.1340989e+31,6313.4424,1.8394257,0.00791961,2,True,10.188144,10.0,50,-1.0
204568,179.86107,-184.98602,10.0,,949.414179854427,-5.723321e+16,31,1540850.5,4138.3555,,16.089022,949.41425,1.0,3958.4944,95.98,0.4189424,769.5531,8833925.0,897.2748825550079,3050,-2939188.5,-184.98602,1.0,0.22499174,1.0,,50.0,799.6645,[ 0.151  0.525 -2.057 -1.13 ],1.6752372e+21,1.0,4.4422493,50.0,1,True,3.703068,10.0,50,-1.0
215975,9.982181,-299.74536,10.0,,2271.2993416470244,-inf,31,50375740.0,4999.123,,263.37476,2271.2993,inf,4989.1406,228.14,0.4189424,2261.3171,50375740.0,968.5242278575897,3100,-inf,-219.9685,inf,,1.0,,,1362.3501,[-0.075  0.583 -2.125 -1.188],inf,inf,8.469629,,2,True,38.309586,10.0,50,-1.0
228890,9.980981,-210.4161,10.0,,2573.2269023129443,-73013080000000.0,32,8893854.0,4998.8706,,36781.16,2573.2268,1.0,4988.8896,258.3,0.4189424,2563.2458,7057022500.0,1043.9369628429413,3150,-10934202.0,-210.4161,1.0,0.06136542,1.0,,50.0,1507.434,[-0.075  0.583 -2.125 -1.188],1280327500000000.0,1.0,770.3173,50.0,1,True,5145.5435,10.0,50,-1.0
240305,19.961075,-188.536,10.0,,2272.3518839185913,-8.720778e+16,32,9451289.0,4619.028,,27.516161,2272.3518,851.3795,4599.067,228.3,0.4189424,2252.3909,9451289.0,1118.80863571167,3200,-8.720778e+16,-185.74475,851.3795,5.98051e-07,1.0,,0.058728214,997.0883,[-0.129  0.569 -2.138 -1.214],2.506106e+21,851.3795,1.9388995,0.058728214,2,True,5.406054,10.0,50,-1.0
