Weights,MeanIW,MeanD2-0,VarianceInitializer,InitialReturnStd,InitialBound,TimestepsSoFar,Epsilon,WReturnMean,MinIW,EpLenMean,ReturnMeanIW,EpThisIter,OptimizationReturnMean,Penalization,OptimizationReturnMin,LearnableVariance,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,EpisodesSoFar,Inner Iteration,MinTargetPdf,InitialReturnMin,MeanEntropy,Iteration,ReturnStepMax,StdWReturnMean,StdIW,DivergenceHarmonic,ESSRenyiArithmetic,ReturnStepMaxmin,EmpiricalD2Harmonic,MinBehavPdf,EpRewMean,InitialReturnMean,InitialReturnMax,MaxIW,TimeElapsed,ESSRenyiHarmonic
[-0.043  0.18  -0.67  -1.407],3199.0107,1.0,-1.0,495.1867,-1137183.2,56245,1.0,716809.8,0.3478989,69.7,2832293600.0,50,666.76,True,,,2249.0557,-2.921592e+17,1.0,1150,1,-93.474106,19.97139,0.4189424,12,9.999999,,11453.308,4.8302735e+23,50.0,9.999999,1.0,-93.474106,686.731369366718,686.7314,2269.027,80466.266,235.97784781455994,50.0
[-0.122  0.124 -0.706 -1.478],0.25258195,5698.6235,-1.0,250.63988,-1.1645114e+20,58607,1.0,21419.611,2.2956867e-07,47.24,21419.611,50,442.1971,True,,,1379.4312,-1.1645114e+20,5698.6235,1200,2,-57.401516,19.963835,0.4189424,12,9.999998,,0.555254,5.3041707e+29,0.008774049,9.999998,5698.6235,-54.640102,462.1609509662336,462.16095,1399.395,2.4956017,252.41873693466187,0.008774049
[-0.122  0.124 -0.706 -1.478],9856.581,1.0,-1.0,260.2899,-455456.06,61068,1.0,300020.8,1.1204976,49.22,1882722400.0,50,432.01984,True,,,1329.8152,-3.4248842e+16,1.0,1250,1,-73.11047,49.92415,0.4189424,13,9.999998,,22896.447,4.855062e+22,50.0,9.999998,1.0,-73.11047,481.94398319115413,481.94397,1379.7394,114314.586,269.2448375225067,50.0
[-0.074  0.238 -0.717 -1.465],7.9868727,600274750.0,-1.0,604.0961,-inf,65402,1.0,1084827.9,4.388411e-12,86.68,1084827.9,50,846.47815,True,,,2559.331,-inf,600274750.0,1300,2,-117.07362,9.981782,0.4189424,13,10.0,,49.17017,inf,8.329519e-08,10.0,600274750.0,-111.06566,856.4599396741328,856.4599,2569.3127,350.01932,298.0234181880951,8.329519e-08
[-0.074  0.238 -0.717 -1.465],1654.5314,1.0,-1.0,441.21646,-1051345.2,69061,1.0,715229.3,0.33455452,73.18,642243840.0,50,701.53406,True,,,2008.965,-1.5961316e+18,1.0,1350,1,-83.53389,19.96259,0.4189424,14,9.999999,,4930.1763,2.2550826e+25,50.0,9.999999,1.0,-83.53389,721.496655845392,721.49664,2028.9276,31185.297,323.01963472366333,50.0
[-0.099  0.127 -0.742 -1.512],1.4149182,1418218.8,-1.0,405.8102,-inf,71980,1.0,1461619.1,1.9814143e-08,58.38,1461619.1,50,523.6382,True,,,2209.5652,-inf,1418218.8,1400,2,-115.86219,49.923214,0.4189424,14,10.0,,6.5244126,inf,3.5255493e-05,10.0,1418218.8,-111.58586,573.5614194133033,573.56146,2259.4883,44.537918,343.3157637119293,3.5255493e-05
[-0.099  0.127 -0.742 -1.512],9.442242,1.0,-1.0,415.57162,-985749.8,75397,1.0,625870.1,0.008284908,68.34,4555560.0,50,623.2698,True,,,2049.5173,-8905306000.0,1.0,1450,1,-93.98527,49.909492,0.4189424,15,10.0,,18.575575,611704400.0,50.0,10.0,1.0,-93.98527,673.1792654595511,673.1792,2099.4268,114.39119,364.1343286037445,50.0
[-0.05   0.165 -0.744 -1.514],37.408485,82.80271,-1.0,554.347,-41492073000000.0,79536,1.0,26117668.0,1.8272335e-06,82.78,21445182.0,50,797.5893,True,,,2789.399,-35572014000000.0,82.80271,1500,2,-114.10295,19.964878,0.4189424,15,10.0,,252.15315,3047023200000000.0,0.60384494,10.0,82.80271,-110.9497,817.5541527333273,817.55414,2809.3638,1802.2168,388.1522789001465,0.60384494
[-0.047  0.154 -0.743 -1.517],25794.596,1.0,-1.0,607.5298,-1568966.4,83532,1.0,991515.4,0.36059338,79.92,52485108000.0,50,778.9553,True,,,2649.392,-8.7330043e+21,1.0,1550,1,-99.69263,9.982508,0.4189424,16,9.999999,,91009.234,2.287181e+32,50.0,9.999999,1.0,-99.69263,788.9378091235637,788.9378,2659.3745,586375.4,409.87368297576904,50.0
[ 0.02   0.258 -0.761 -1.526],33.611324,958009.8,-1.0,407.06958,-inf,87063,1.0,50918720.0,1.3506506e-08,70.62,50918720.0,50,675.90125,True,,,1659.16,-inf,958009.8,1600,2,-85.883194,19.964516,0.4189424,16,10.0,,227.29375,inf,5.219153e-05,10.0,958009.9,-78.86622,695.8657451387874,695.8658,1679.1245,1624.0236,429.1432993412018,5.2191528e-05
[ 0.02   0.258 -0.761 -1.526],1005.33563,1.0,-1.0,425.0023,-974307.5,90533,1.0,648044.56,0.011569875,69.4,604382460.0,50,653.7304,True,,,1969.0189,-4.6409415e+20,1.0,1650,1,-77.44339,29.949068,0.4189424,17,9.999999,,3367.54,2.0233921e+30,50.0,9.999999,1.0,-77.44339,683.6794895547341,683.6795,1998.968,21946.621,447.1043801307678,50.0
[-0.064  0.167 -0.771 -1.543],1.6208996,48581638000000.0,-1.0,623.2173,-inf,94854,1.0,921922.44,1.420584e-12,86.42,921922.44,50,813.99194,True,,,3188.7534,-inf,48581638000000.0,1700,2,-136.3215,39.93194,0.4189424,17,10.0,,9.056939,inf,1.0291954e-12,10.0,48581638000000.0,-122.681526,853.9238836123343,853.9239,3228.6853,63.400227,470.04177618026733,1.0291954e-12
[-0.064  0.167 -0.771 -1.543],21.158524,1.0,-1.0,584.93896,-1659348.5,98723,1.0,925174.25,0.20676196,77.38,20013426.0,50,743.5977,True,,,2978.6602,-51908320000.0,1.0,1750,1,-145.62341,19.960163,0.4189424,18,9.999999,,38.478905,4995101700.0,50.0,9.999999,1.0,-145.62341,763.5578811047943,763.5578,2998.6204,177.60493,488.59409976005554,50.0
[-0.02   0.208 -0.787 -1.546],1.3110348,95.783035,-1.0,636.8398,-298804570000000.0,103342,1.0,2554078.8,5.3992782e-05,92.38,2525951.5,50,873.4649,True,,,3468.7095,-298130560000000.0,95.783035,1800,2,-140.74979,39.93462,0.4189424,18,10.0,,5.2946186,8.797252e+16,0.5220131,10.0,95.783035,-137.59656,913.3994791167914,913.3995,3508.644,36.13015,517.1356942653656,0.5220131
[-0.019  0.208 -0.788 -1.547],76138.21,1.0,-1.0,567.64343,-1546822.8,107389,1.0,960707.3,0.16400202,80.94,184074830000.0,50,769.106,True,,,2649.3032,-2.056964e+23,1.0,1850,1,-117.696655,29.948593,0.4189424,19,10.0,,320549.7,1.2316594e+35,50.0,10.0,1.0,-117.696655,799.0546103500029,799.0546,2679.2517,1651281.8,538.6580607891083,50.0
[-0.085  0.103 -0.801 -1.557],1.9326342,106393980000.0,-1.0,420.6727,-inf,110205,1.0,590579.9,4.884157e-11,56.32,590579.9,50,523.02057,True,,,2589.266,-inf,106393980000.0,1900,2,-101.64223,29.944054,0.4189424,19,9.999998,,8.611331,inf,4.699514e-10,9.999998,106393980000.0,-101.74652,552.9646236855318,552.9646,2619.2102,49.825333,554.9640727043152,4.699514e-10
[-0.085  0.103 -0.801 -1.557],270.11212,1.0,-1.0,318.7492,-562876.25,112914,1.0,384156.12,0.062004987,54.18,241873280.0,50,521.5754,True,,,1469.496,-472560660000000.0,1.0,1950,1,-71.68916,9.983766,0.4189424,20,9.999999,,1551.1083,6.9914926e+18,50.0,9.999999,1.0,-71.68916,531.5590913850708,531.5591,1479.4797,11041.518,571.7513198852539,50.0
[-0.26   0.275 -0.845 -1.542],4.3297386,593.98615,-1.0,228.65224,-5.1613116e+16,115684,1.0,381294.1,1.574271e-08,55.4,381294.1,50,513.84827,True,,,1119.9215,-5.1613116e+16,593.98615,2000,2,-49.748672,29.952213,0.4189424,20,9.999999,,18.253807,2.2856552e+23,0.08417705,9.999999,593.98615,-44.90979,543.800447782166,543.8004,1149.8738,124.31714,590.8652572631836,0.08417705
[-0.26   0.275 -0.845 -1.542],10227.502,1.0,-1.0,416.54837,-1135941.2,119128,1.0,633980.4,0.15810291,68.88,5345927700.0,50,668.5923,True,,,2469.4739,-1.8200712e+20,1.0,2050,1,-119.44745,9.98554,0.4189424,21,10.0,,37681.6,1.3147401e+29,50.0,10.0,1.0,-119.44745,678.5778114972736,678.57776,2479.4595,250625.02,613.5858736038208,50.0
[-0.214  0.088 -0.848 -1.702],0.034963895,827317.8,-1.0,226.37535,-inf,121321,1.0,4117.4766,1.5791196e-07,43.86,4117.4766,50,398.38202,True,,,1049.6501,-inf,827317.8,2100,2,-60.620625,29.948835,0.4189424,21,10.0,,0.10970617,inf,6.043627e-05,10.0,827317.9,-54.04598,428.33087031670186,428.3309,1079.599,0.5572932,629.068853855133,6.043626e-05
[-0.214  0.088 -0.848 -1.702],151.21649,1.0,-1.0,231.46225,-313242.22,123432,1.0,223272.62,0.11617602,42.22,49605680.0,50,391.97562,True,,,1029.7438,-38743690000000.0,1.0,2150,1,-45.36744,19.968374,0.4189424,22,10.0,,220.3804,1.8544332e+17,50.0,10.0,1.0,-45.36744,411.94401861129825,411.94403,1049.7122,804.4132,642.8395349979401,50.0
[-0.126  0.175 -0.861 -1.713],2.2277327,38099256.0,-1.0,286.01132,-inf,126558,1.0,557678.7,2.7867488e-15,62.52,557678.7,50,425.1914,True,,,1419.6833,-inf,38099256.0,2200,2,-96.19497,189.80511,0.4189424,22,9.999999,,11.049018,inf,1.3123616e-06,9.999999,38099256.0,-79.43802,614.9965217074887,614.9965,1609.4885,64.63774,664.4716377258301,1.3123616e-06
[-0.126  0.175 -0.861 -1.713],6636.015,1.0,-1.0,328.79996,-688355.0,129718,1.0,494766.16,0.38913366,63.2,2485213200.0,50,621.81726,True,,,1539.793,-1.4889012e+16,1.0,2250,1,-71.686905,,0.4189424,23,9.999999,,14958.4375,5.915255e+21,50.0,9.999999,1.0,-71.686905,621.8172630779479,621.81726,1539.793,77107.25,681.7630007266998,50.0
[-0.054  0.271 -0.866 -1.679],30.418926,1426448900.0,-1.0,451.08038,-inf,134828,1.0,12847087.0,1.3622001e-15,102.2,12847087.0,50,1011.6317,True,,,2249.418,-inf,1426448900.0,2300,2,-111.25087,,0.4189424,23,10.0,,181.56552,inf,3.505208e-08,10.0,1426448900.0,-102.19937,1011.6317199524165,1011.6317,2249.418,1279.4949,709.173629283905,3.505208e-08
[-0.054  0.271 -0.866 -1.679],211070.64,1.0,-1.0,576.9615,-2094360.0,140154,1.0,1445456.5,0.4279638,106.52,688926160000.0,50,1014.8487,True,,,2779.1714,-3.7573042e+21,1.0,2350,1,-99.69406,39.936615,0.4189424,24,10.0,,860763.9,3.3527195e+31,50.0,10.0,1.0,-99.69406,1054.785339841663,1054.7854,2819.108,4818227.0,740.7982406616211,50.0
[-0.13   0.175 -0.889 -1.687],13.253252,4890911.5,-1.0,355.77054,-inf,143585,1.0,6405819.5,2.4818052e-13,68.62,6405819.5,50,636.0495,True,,,1539.7656,-inf,4890911.5,2400,2,-88.36917,39.939217,0.4189424,24,9.999999,,75.01818,inf,1.0223043e-05,9.999999,4890911.5,-76.92529,675.9886841352632,675.98865,1579.7048,524.85925,755.8351075649261,1.0223043e-05
[-0.13   0.175 -0.889 -1.687],131648.95,1.0,-1.0,397.11826,-841970.4,146274,1.0,436060.44,0.8737182,53.78,32959783000.0,50,517.61194,True,,,2219.6677,-1.00898993e+18,1.0,2450,1,-95.40025,9.984051,0.4189424,25,9.999999,,756127.94,6.1789785e+24,50.0,9.999999,1.0,-95.40025,527.5960454248739,527.596,2229.6519,5381275.5,770.5887808799744,50.0
[-0.029  0.245 -0.906 -1.686],0.28248453,4.959232e+20,-1.0,707.10944,-inf,151730,1.0,10418.704,6.5486805e-25,109.12,10418.704,50,1070.76,True,,,2988.333,-inf,4.959232e+20,2500,2,-148.73332,9.984052,0.4189424,25,10.0,,0.81214607,inf,1.00822066e-19,10.0,4.9592316e+20,-128.84161,1080.7440579311767,1080.7441,2998.3171,3.884746,807.2198469638824,1.0082207e-19
[-0.029  0.245 -0.906 -1.686],1873067.6,1.0,-1.0,869.6606,-4060737.8,157580,1.0,2100943.2,0.03894141,117.0,14258687000000.0,50,1109.6492,True,,,4849.2837,-1.5409637e+23,1.0,2550,1,-201.43259,49.93439,0.4189424,26,10.0,,12864711.0,6.182568e+33,50.0,10.0,1.0,-201.43259,1159.5835351171622,1159.5835,4899.2183,91922490.0,838.0754127502441,50.0
[ 0.045  0.331 -0.95  -1.717],0.23460783,3374.35,-1.0,538.3673,-7.789376e+19,162000,1.0,211252.67,3.881277e-05,88.4,211252.67,50,843.6621,True,,,2949.4375,-7.789376e+19,3374.35,2600,2,-117.976685,29.945225,0.4189424,26,10.0,,0.587752,1.1550248e+28,0.014817668,10.0,3374.35,-116.408134,873.6072532239248,873.60724,2979.3828,3.0275154,866.6631879806519,0.014817668
[ 0.045  0.331 -0.95  -1.717],40.538734,1.0,-1.0,539.73615,-1596197.2,166199,1.0,979185.5,0.048104387,83.98,53808388.0,50,539.61053,True,,,2459.192,-3686624600000000.0,1.0,2650,1,-109.86564,289.76904,0.4189424,27,10.0,,59.70765,3.570054e+19,50.0,10.0,1.0,-109.86564,829.3795396884738,829.3795,2748.961,281.5807,892.1180231571198,50.0
[-0.07   0.293 -0.975 -1.734],12.026366,3.8413316e+16,-1.0,728.0502,-inf,172628,1.0,5493119.5,2.4841844e-19,128.58,5493119.5,50,1265.3593,True,,,3678.4126,-inf,3.8413316e+16,2700,2,-155.15094,9.98105,0.4189424,27,9.999999,,77.30674,inf,1.3016319e-15,9.999999,3.8413316e+16,-150.70355,1275.3404286337868,1275.3403,3688.3936,552.48083,930.262668132782,1.3016319e-15
[-0.07   0.293 -0.975 -1.734],26.683046,1.0,-1.0,817.1618,-3915022.5,179576,1.0,2569834.0,0.019403705,138.96,29389184.0,50,1359.1943,True,,,4038.9768,-15992321000.0,1.0,2750,1,-157.99484,19.965084,0.4189424,28,10.0,,54.934048,140820300.0,50.0,10.0,1.0,-157.99484,1379.1593662260495,1379.1594,4058.942,332.47235,964.076500415802,50.0
[-0.041  0.348 -0.98  -1.733],8741839.0,55.192158,-1.0,776.59204,-16864481000000.0,186939,1.0,5074789.5,0.28209737,147.26,47064780000000.0,50,1422.0964,True,,,4108.486,-1.040746e+19,55.192158,2800,2,-176.35947,39.935944,0.4189424,28,10.0,,61051540.0,5.485866e+25,0.9059258,10.0,55.192158,-172.47112,1462.0322484167848,1462.0322,4148.422,436102050.0,1010.675436258316,0.9059258
[-0.151  0.291 -0.981 -1.747],195037.8,1.0,-1.0,375.23163,-1219359.4,190773,1.0,713246.75,0.27169847,76.68,137810840000.0,50,736.63586,True,,,2469.7244,-2.0918455e+19,1.0,2850,1,-111.96853,19.96714,0.4189424,29,9.999998,,1100953.1,1.7083165e+27,50.0,9.999998,1.0,-111.96853,756.6029588844609,756.60297,2489.6914,7844987.5,1033.9911479949951,50.0
[-0.269  0.26  -0.999 -1.771],0.28605235,107833.68,-1.0,360.39645,-inf,194023,1.0,133750.47,1.1557394e-09,65.0,133750.47,50,619.82385,True,,,2139.8027,-inf,107833.68,2900,2,-88.89404,19.964392,0.4189424,29,10.0,,1.4267398,inf,0.00046367702,10.0,107833.68,-83.5251,639.7881960442919,639.7882,2159.767,9.917909,1053.866404056549,0.00046367702
[-0.269  0.26  -0.999 -1.771],85670.96,1.0,-1.0,306.04483,-695253.4,197297,1.0,509144.44,0.6075473,65.48,22968370000.0,50,554.7098,True,,,1419.884,-287911250000000.0,1.0,2950,1,-69.564384,89.86842,0.4189424,30,9.999999,,334199.12,2.392854e+18,50.0,9.999999,1.0,-69.564384,644.5781606957291,644.5781,1509.7524,2273322.8,1072.2962765693665,50.0
[-0.181  0.346 -1.004 -1.749],0.04982884,176563360.0,-1.0,346.66223,-inf,201636,1.0,2837.042,9.452823e-18,86.78,2837.042,50,857.53784,True,,,1849.5956,-inf,176563360.0,3000,2,-86.20427,,0.4189424,30,10.0,,0.21372193,inf,2.8318445e-07,10.0,176563360.0,-76.66387,857.5378498592561,857.53784,1849.5956,1.2599541,1099.0315716266632,2.8318445e-07
[-0.181  0.346 -1.004 -1.749],177596.62,1.0,-1.0,345.00198,-1054895.9,205919,1.0,835378.5,0.11702468,85.66,206931460000.0,50,836.39545,True,,,1629.6893,-2.611416e+17,1.0,3050,1,-81.17636,9.980427,0.4189424,31,10.0,,1053638.8,1.4151977e+24,50.0,10.0,1.0,-81.17636,846.3758972309965,846.3759,1639.6698,7535907.5,1129.15562582016,50.0
[-0.097  0.435 -1.014 -1.725],0.01879867,326530000000.0,-1.0,830.7191,-inf,213440,1.0,11219.159,4.11482e-18,150.42,11219.159,50,1283.7653,True,,,3308.9973,-inf,326530000000.0,3100,2,-194.86572,209.90399,0.4189424,31,10.0,,0.09439251,inf,1.5312529e-10,10.0,326530000000.0,-177.96759,1493.66937151212,1493.6694,3518.9014,0.59466773,1172.4855587482452,1.5312529e-10
[-0.097  0.435 -1.014 -1.725],2975.7441,1.0,-1.0,854.3737,-4401783.5,220200,1.0,2529640.0,0.011902585,135.2,27432745000.0,50,1251.6265,True,,,4698.5083,-4.848034e+20,1.0,3150,1,-209.00793,89.89716,0.4189424,32,9.999998,,16894.814,6.7059285e+28,50.0,9.999998,1.0,-209.00793,1341.5236052790754,1341.5236,4788.4053,117733.4,1212.3685383796692,50.0
[-0.043  0.331 -1.029 -1.767],6.2610674,221600540.0,-1.0,847.06537,-inf,226867,1.0,11257591.0,8.987945e-16,133.34,11257591.0,50,1302.979,True,,,4408.864,-inf,221600540.0,3200,2,-209.56223,19.967445,0.4189424,32,10.0,,32.471294,inf,2.2563121e-07,10.0,221600530.0,-200.60443,1322.9464935853723,1322.9464,4428.831,228.3426,1249.9544937610626,2.2563123e-07
