Penalization,MinIW,OptimizationReturnMin,InitialReturnMin,Bound,TimestepsSoFar,InitialReturnMean,TimeElapsed,MeanEntropy,EmpiricalD2Arithmetic,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,OptimizationReturnMax,MaxIW,EpLenMean,MinBehavPdf,EpThisIter,Weights,StdWReturnMean,OptimizationReturnMean,StdIW,Iteration,EpRewMean,EpisodesSoFar,Inner Iteration,VarianceInitializer,ReturnStepMaxmin,WReturnMean,LearnableVariance,Epsilon,ReturnStepMax,InitialBound,ESSRenyiHarmonic,EmpiricalD2Harmonic,MeanD2-0,ESSRenyiArithmetic,MeanIW,MinTargetPdf,InitialReturnMax
True,1.8369606e-15,,19.962257,-inf,78480,842.3143,72.8043441772461,0.4189424,360588840000.0,579.2429,inf,4740216.0,2798.8574,239.1705,85.26,-122.46299,50,[-0.089  0.248 -0.705 -1.576],,822.35205,39.626347,14,842.314264800225,1400,2,-1.0,9.999999,4740216.0,,1.0,9.999999,-inf,1.3866208e-10,360588840000.0,360588840000.0,1.3866208e-10,10.226833,-139.17888,2818.8196
True,0.030813655,,29.956821,-1.1923074e+23,82590,811.7028,80.17188930511475,0.4189424,1.0,480.44382,1.07627745e+35,227385480000.0,2079.817,4025595.0,82.2,-88.719635,50,[-0.089  0.248 -0.705 -1.576],,781.7459,869732.44,15,811.7027501071822,1450,1,-1.0,10.0,889687.6,,1.0,10.0,-1253123.8,50.0,1.0,1.0,50.0,262671.7,-88.719635,2109.7737
True,1.9994157e-09,,9.982691,-inf,85822,636.0847,86.3538384437561,0.4189424,18089490.0,490.1509,inf,25584.17,2329.5115,2.1052182,64.64,-88.501396,50,[-0.002  0.334 -0.713 -1.553],,626.102,0.41430855,15,636.0846780269438,1500,2,-1.0,9.999999,25584.17,,1.0,9.999999,-inf,2.764036e-06,18089490.0,18089490.0,2.764036e-06,0.19255674,-93.17294,2339.4941
True,0.12858336,,9.979568,-6565902000000.0,90095,844.24866,97.73787069320679,0.4189424,1.0,595.38226,43644397000000.0,82768456.0,3478.8936,4429.4995,85.46,-143.62022,50,[-0.002  0.334 -0.713 -1.553],,834.2692,619.74194,16,844.2487566506884,1550,1,-1.0,10.0,1067236.0,,1.0,10.0,-2061099.2,50.0,1.0,1.0,50.0,99.817184,-143.62022,3488.873
True,5.1257143e-07,,19.96893,-inf,94819,934.4238,107.54419803619385,0.4189424,387607.2,591.513,inf,2538171.0,2738.9927,68.912766,94.48,-104.91692,50,[-0.092  0.414 -0.741 -1.534],,914.4549,10.791839,16,934.423785844182,1600,2,-1.0,9.999999,2538171.0,,1.0,9.999999,-inf,0.00012899657,387607.2,387607.2,0.00012899657,4.0744433,-111.567505,2758.9617
True,0.09773303,,39.921806,-22022955000.0,99490,923.80945,120.66236329078674,0.4189424,1.0,519.652,2741298700.0,3632603.2,2229.607,13.56621,93.42,-119.69321,50,[-0.092  0.414 -0.741 -1.534],,883.8876,3.157413,17,923.8094232508603,1650,1,-1.0,9.999999,1123462.0,,1.0,9.999999,-1544022.0,50.0,1.0,1.0,50.0,3.086128,-119.69321,2269.5288
True,3.9788794e-08,,299.73676,-174609900000000.0,104575,1006.64124,138.23996829986572,0.4189424,133.99489,470.09512,1.1533425e+17,3595309.0,2209.6504,51.34033,101.7,-104.50354,50,[-0.152  0.396 -0.747 -1.535],,706.90454,8.016675,17,1006.6413087763672,1700,2,-1.0,10.0,3239941.5,,1.0,10.0,-180660670000000.0,0.37314856,133.99489,133.99489,0.37314856,3.9165304,-107.567894,2509.3872
True,0.29060614,,9.980478,-1250429400000000.0,109164,907.46094,153.37004399299622,0.4189424,1.0,522.77136,9.32635e+18,27234005000.0,2229.358,1000140.44,91.78,-99.16551,50,[-0.151  0.392 -0.748 -1.537],,897.48047,141377.81,18,907.4609964437332,1750,1,-1.0,10.0,1096775.4,,1.0,10.0,-1506220.6,50.0,1.0,1.0,50.0,27334.963,-99.16551,2239.3384
True,4.258895e-06,,,-inf,112527,662.27704,163.6590292453766,0.4189424,330251.66,466.83636,inf,84626.75,1759.1562,7.236802,67.26,-72.846924,50,[-0.102  0.503 -0.776 -1.525],,662.27704,1.0945884,18,662.2770682239509,1800,2,-1.0,10.0,84626.75,,1.0,10.0,-inf,0.0001513997,330251.66,330251.66,0.0001513997,0.3395721,-77.62126,1759.1562
True,0.7107609,,19.962875,-8.323843e+20,116250,734.28876,176.55200171470642,0.4189424,1.0,417.64276,8.3309266e+30,33271167000.0,1859.4033,470788.5,74.46,-87.62883,50,[-0.102  0.503 -0.776 -1.525],,714.32587,65907.37,19,734.2887686963257,1850,1,-1.0,9.999999,713605.44,,1.0,9.999999,-1001994.56,50.0,1.0,1.0,50.0,9437.026,-87.62883,1879.3662
