Weights,OptimizationReturnMax,InitialReturnMin,ESSRenyiHarmonic,Iteration,MinIW,DivergenceHarmonic,Epsilon,MeanD2-0,EpisodesSoFar,InitialReturnMean,StdIW,Bound,Penalization,InitialReturnStd,MinTargetPdf,ReturnMeanIW,StdWReturnMean,ReturnStepMax,OptimizationReturnMin,VarianceInitializer,EmpiricalD2Arithmetic,InitialReturnMax,Inner Iteration,MinBehavPdf,EpLenMean,TimestepsSoFar,EpThisIter,EpRewMean,OptimizationReturnMean,InitialBound,EmpiricalD2Harmonic,ESSRenyiArithmetic,MaxIW,ReturnStepMaxmin,TimeElapsed,MeanIW,LearnableVariance,WReturnMean,MeanEntropy
[-0.649  0.722 -0.579  0.534],79.98123,9.981947,50.0,6,0.13950445,440880860.0,1.0,1.0,550,39.974686,162.84538,-13975367.0,True,19.279255,-5.050155,99995.47,,9.999983,,-1.0,1.0,89.96318,1,-5.050155,5.0,4610,50,39.97468620169346,29.992737,-2630.4863,1.0,50.0,957.2295,9.999983,28.000203609466553,48.447933,,1969.665,0.4189424
[-0.67   0.561 -0.6    0.345],99.988,9.984865,0.13548245,6,1.2540942e-06,2.0621527e+20,1.0,369.05148,600,47.171124,511.42822,-14180314000000.0,True,22.884764,-14.6250725,184906.9,,9.999997,,-1.0,369.05148,109.97286,2,-7.830524,5.72,4896,50,47.17112291758564,37.18626,-14180314000000.0,369.05148,0.13548245,3654.3423,9.999997,29.743670225143433,74.413475,,184906.9,0.4189424
[-0.67   0.561 -0.6    0.345],109.99852,9.984009,50.0,7,0.15438347,724857100.0,1.0,1.0,650,47.771152,188.86563,-31760956.0,True,21.092093,-8.47969,115115.305,,9.999993,,-1.0,1.0,119.98253,1,-8.47969,5.78,5185,50,47.771153396220114,37.787148,-3902.3726,1.0,50.0,984.79095,9.999993,31.273303031921387,60.981163,,2726.9592,0.4189424
[-0.676  0.402 -0.609  0.152],149.97803,9.981373,0.023161696,7,0.00012252045,1.6522115e+28,1.0,2158.7366,700,60.96486,61.664154,-2.685386e+17,True,33.94102,-11.860584,39021.67,,9.99998,,-1.0,2158.7366,159.9594,2,-10.128813,7.1,5540,50,60.96485808291136,50.983486,-2.685386e+17,2158.7366,0.023161696,440.14984,9.99998,32.9363534450531,10.206221,,39021.67,0.4189424
[-0.676  0.402 -0.609  0.152],159.8583,9.98318,50.0,8,0.08382181,2133488100000000.0,1.0,1.0,750,62.360943,570.59625,-108789920000.0,True,33.893105,-11.014418,405188.25,,9.999997,,-1.0,1.0,169.84149,1,-11.014418,7.24,5902,50,62.36093942365278,52.37776,-7392.907,1.0,50.0,3765.9382,9.999997,34.77255129814148,144.68214,,5037.6294,0.4189424
[-0.706  0.234 -0.626 -0.03 ],319.89853,9.98319,0.02342408,8,1.9596436e-10,6.623215e+26,1.0,2134.5557,800,103.14158,6.0170474,-2.2866792e+17,True,75.92687,-22.455742,6163.9023,,9.999999,,-1.0,2134.5557,329.8817,2,-17.347404,11.32,6468,50,103.14158380005667,93.1584,-2.2866792e+17,2134.5557,0.02342408,37.755966,9.999999,37.288456439971924,2.1273577,,6163.9023,0.4189424
[-0.706  0.234 -0.626 -0.03 ],259.83554,19.980995,50.0,9,0.1924895,663065000000.0,1.0,1.0,850,96.15077,644.8102,-5206963700.0,True,59.235577,-11.5576,1263300.8,,9.999999,,-1.0,1.0,279.81653,1,-11.5576,10.62,6999,50,96.15077060006685,76.16978,-19146.775,1.0,50.0,4608.732,9.999999,39.87014031410217,106.70093,,12753.824,0.4189424
[-0.782  0.096 -0.665 -0.22 ],329.91257,9.984849,0.1470668,9,0.00012440904,6.520395e+22,1.0,339.98157,900,133.11877,6.479659,-2408724200000000.0,True,84.52682,-25.411316,14531.952,,9.999993,,-1.0,339.98157,339.89743,2,-21.437225,14.32,7715,50,133.11877015300126,123.13392,-2408724200000000.0,339.98157,0.1470668,37.472157,9.999993,42.59539580345154,2.652629,,14531.952,0.4189424
[-0.782  0.096 -0.665 -0.22 ],299.9467,,50.0,10,0.10377862,4.7049933e+31,1.0,1.0,950,135.52066,66134076.0,-5.0387407e+19,True,78.84883,-16.83176,113231315000.0,,9.999999,,-1.0,1.0,299.9467,1,-16.83176,14.56,8443,50,135.52065529689963,135.52066,-31928.852,1.0,50.0,471928350.0,9.999999,45.50643563270569,10099038.0,,24582.986,0.4189424
[-0.89  -0.268 -0.721 -0.541],549.94324,19.968489,0.001714885,10,1.7966477e-07,5.737672e+33,1.0,29156.473,1000,177.31097,2.0272188,-2.0088036e+21,True,110.15519,-28.135273,20887.186,,9.999999,,-1.0,29156.473,569.91174,2,-23.006134,18.74,9380,50,177.31097982490326,157.34248,-2.0088036e+21,29156.475,0.0017148851,13.948875,9.999999,49.655513048172,0.5346984,,20887.186,0.4189424
[-0.89  -0.268 -0.721 -0.541],339.89444,9.985773,50.0,11,0.035365783,172906320000.0,1.0,1.0,1050,155.69563,6.3968053,-4156404700.0,True,69.21843,-17.240234,184282.08,,9.999997,,-1.0,1.0,349.88022,1,-17.240234,16.58,10209,50,155.6956393348618,145.70985,-39027.57,1.0,50.0,33.78045,9.999997,53.679754972457886,6.8658657,,29032.322,0.4189424
[-0.816  0.095 -0.893 -0.829],979.779,29.945732,9.7895796e-11,11,3.162258e-24,inf,1.0,510747100000.0,1100,260.26328,7.4185586,-inf,True,162.54501,-48.30596,55847.0,,9.999998,,-1.0,510747100000.0,1009.72473,2,-44.27392,27.04,11561,50,260.26328734884004,230.31757,-inf,510747150000.0,9.78958e-11,47.25993,9.999998,59.60706901550293,2.4499924,,55847.0,0.4189424
[-0.816  0.095 -0.893 -0.829],729.8917,19.9664,50.0,12,0.086171485,5524127000.0,1.0,1.0,1150,277.26254,17.99951,-3413220000.0,True,145.94609,-31.749718,941720.94,,9.999998,,-1.0,1.0,749.85815,1,-31.749718,28.74,12998,50,277.26253540666187,257.29614,-144085.4,1.0,50.0,123.23564,9.999998,64.39472937583923,8.984226,,98174.77,0.4189424
[-0.722  0.29  -0.954 -0.938],869.65784,,3.6190781e-09,12,2.735835e-20,inf,1.0,13815673000.0,1200,371.22742,11.04075,-inf,True,188.70679,-42.436096,237806.0,,9.999999,,-1.0,13815673000.0,869.65784,2,-36.083565,38.14,14905,50,371.2273982657529,371.22742,-inf,13815673000.0,3.6190781e-09,72.16131,9.999999,71.40845060348511,2.9851742,,237806.0,0.4189424
[-0.722  0.29  -0.954 -0.938],869.7417,,50.0,13,0.46351653,1.0530218e+25,1.0,1.0,1250,378.4212,8641.581,-2.004258e+17,True,168.42163,-39.010265,284121700.0,,9.999998,,-1.0,1.0,869.7417,1,-39.010265,38.86,16848,50,378.4211962911918,378.4212,-233332.52,1.0,50.0,37756.316,9.999998,78.45449900627136,3222.429,,171568.45,0.4189424
[-0.632  0.516 -0.992 -0.985],1069.5323,9.98104,7.65503e-19,13,3.515483e-27,inf,1.0,6.5316532e+19,1300,489.8015,1.5455315,-inf,True,239.25462,-85.332275,17925.312,,9.999999,,-1.0,6.5316532e+19,1079.5134,2,-54.875965,50.0,19348,50,489.8015209122175,479.8205,-inf,6.5316532e+19,7.65503e-19,9.981788,9.999999,85.35896110534668,0.36560163,,17925.312,0.4189424
[-0.632  0.516 -0.992 -0.985],1109.7257,9.981364,50.0,14,0.051737193,5.4969422e+16,1.0,1.0,1350,496.78134,756.91156,-24000783000000.0,True,232.46567,-56.78054,90065150.0,,10.0,,-1.0,1.0,1119.707,1,-56.78054,50.7,21883,50,496.7813723710506,486.8,-403200.06,1.0,50.0,3585.5583,10.0,94.07462239265442,241.81566,,300832.03,0.4189424
[-0.544  0.599 -1.012 -1.009],959.77356,129.8674,0.0009749868,14,2.0038818e-10,7.656463e+33,1.0,51282.746,1400,550.9605,67.65892,-8.4827236e+21,True,229.25505,-66.2502,3215472.0,,10.0,,-1.0,51282.746,1089.641,2,-55.084816,56.12,24689,50,550.9605534974452,421.09314,-8.4827236e+21,51282.746,0.0009749868,466.04642,10.0,104.25044584274292,12.687483,,3215472.0,0.4189424
[-0.544  0.599 -1.012 -1.009],1129.5168,19.968025,50.0,15,0.23175417,971077950000000.0,1.0,1.0,1450,497.55524,235.96495,-3361971000000.0,True,295.6597,-49.855618,46720396.0,,9.999999,,-1.0,1.0,1149.4849,1,-49.855618,50.78,27228,50,497.5552675135025,477.58728,-442861.12,1.0,50.0,1222.7574,9.999999,113.77502751350403,119.549324,,334975.88,0.4189424
[-0.44   0.542 -1.049 -1.226],1349.7266,,0.0005983404,15,5.9467435e-09,2.0569208e+35,1.0,83564.47,1500,698.74884,25.30458,-6.74613e+22,True,314.21332,-61.72135,1954853.6,,10.0,,-1.0,83564.47,1349.7266,2,-56.88924,70.9,30773,50,698.7488177684285,698.74884,-6.74613e+22,83564.47,0.0005983404,180.92075,10.0,125.79874515533447,4.0659995,,1954853.6,0.4189424
[-0.44   0.542 -1.049 -1.226],1789.5653,,50.0,16,0.016440721,1.3889325e+31,1.0,1.0,1550,634.7527,25684950.0,-9.745184e+20,True,317.42517,-83.41356,4982631000000.0,,10.0,,-1.0,1.0,1789.5653,1,-83.41356,64.5,33998,50,634.7526497568061,634.7527,-765157.1,1.0,50.0,175598600.0,10.0,136.0546510219574,4770424.0,,503669.62,0.4189424
[-0.634  0.556 -1.19  -1.159],1179.617,39.955334,0.00020289453,16,3.0840607e-08,inf,1.0,246433.45,1600,582.9606,1.295419,-inf,True,204.38585,-61.405937,83478.62,,9.999998,,-1.0,246433.45,1219.5723,2,-52.963516,59.32,36964,50,582.9605526756026,543.00525,-inf,246433.45,0.00020289453,7.8970876,9.999998,146.14006733894348,0.35417342,,83478.62,0.4189424
[-0.634  0.556 -1.19  -1.159],1579.672,9.981348,50.0,17,0.098642446,2663303000000000.0,1.0,1.0,1650,627.9691,45264.64,-10650718000000.0,True,269.10913,-64.65645,2682136600.0,,10.0,,-1.0,1.0,1589.6533,1,-64.65645,63.82,40155,50,627.9690811914749,617.98773,-673094.06,1.0,50.0,321152.78,10.0,157.53673124313354,8274.56,,466764.88,0.4189424
[-0.555  0.647 -1.206 -1.185],1619.5941,9.979565,0.00028775213,17,1.9995273e-12,1.3005017e+36,1.0,173760.66,1700,777.11346,7.9711347,-2.4726228e+23,True,358.7293,-72.158875,599987.9,,10.0,,-1.0,173760.66,1629.5737,2,-67.37144,78.74,44092,50,777.1134002753159,767.13385,-2.4726228e+23,173760.66,0.00028775213,55.60602,10.0,172.82407784461975,1.8905115,,599987.9,0.4189424
[-0.555  0.647 -1.206 -1.185],1479.2415,9.981003,50.0,18,0.3988513,841019900000000.0,1.0,1.0,1750,705.52185,1123.4198,-5251629000000.0,True,342.9464,-65.66741,209874800.0,,9.999999,,-1.0,1.0,1489.2224,1,-65.66741,71.58,47671,50,705.5219208826232,695.54095,-796455.3,1.0,50.0,7426.5664,9.999999,187.26798009872437,323.4122,,615373.4,0.4189424
[-0.48   0.632 -1.297 -1.405],2119.4497,9.983806,0.0101908175,18,4.6737306e-08,3.91859e+28,1.0,4906.378,1800,927.70703,4.124319,-7.329047e+19,True,352.1928,-96.965324,537678.06,,10.0,,-1.0,4906.378,2129.4336,2,-94.09053,93.8,52361,50,927.7070235927416,917.7232,-7.329047e+19,4906.378,0.0101908175,28.583044,10.0,215.58882689476013,1.0287589,,537678.06,0.4189424
[-0.48   0.632 -1.297 -1.405],1709.7148,,50.0,19,0.23549807,3.213068e+25,1.0,1.0,1850,858.7254,39100.586,-1.3528875e+18,True,358.60245,-73.14459,15293719000.0,,10.0,,-1.0,1.0,1709.7148,1,-73.14459,86.9,56706,50,858.7254490015481,858.7254,-1104678.2,1.0,50.0,203283.88,10.0,244.17969727516174,11286.655,,866005.06,0.4189424
[-0.325  0.571 -1.327 -1.59 ],2129.211,,7.8083556e-10,19,1.329583e-17,inf,1.0,64033970000.0,1900,1044.9044,1.3824962,-inf,True,388.3706,-111.311905,152972.53,,9.999999,,-1.0,64033970000.0,2129.211,2,-92.900375,105.52,61982,50,1044.9044570837398,1044.9044,-inf,64033970000.0,7.8083556e-10,8.676728,9.999999,280.63663125038147,0.31102562,,152972.53,0.4189424
[-0.325  0.571 -1.327 -1.59 ],2189.815,29.945198,50.0,20,0.10373666,1.911436e+19,1.0,1.0,1950,1036.5151,197115.95,-1758987900000000.0,True,348.93063,-92.06034,66515240000.0,,9.999999,,-1.0,1.0,2219.7603,1,-92.06034,104.68,67216,50,1036.5151104458619,1006.56995,-1598433.6,1.0,50.0,990065.8,9.999999,314.6837568283081,55955.613,,1196116.1,0.4189424
[-0.25   0.659 -1.325 -1.544],3269.1401,9.981849,1.3942588e-06,20,2.919587e-14,inf,1.0,35861348.0,2000,1174.605,1194.1088,-inf,True,694.7937,-130.1435,571401100.0,,9.999999,,-1.0,35861348.0,3279.122,2,-117.08836,118.5,73141,50,1174.6048905546497,1164.6232,-inf,35861348.0,1.3942588e-06,8529.619,9.999999,354.04316997528076,170.85918,,571401100.0,0.4189424
[-0.25   0.659 -1.325 -1.544],4298.4097,9.980905,50.0,21,0.21098319,1.0501268e+17,1.0,1.0,2050,1363.987,106.127045,-491140350000000.0,True,835.8893,-193.54886,262374700.0,,10.0,,-1.0,1.0,4308.3906,1,-193.54886,137.44,80013,50,1363.9870158477756,1354.006,-4074782.5,1.0,50.0,520.89795,10.0,395.1563301086426,51.3459,,2559171.8,0.4189424
[-0.161  0.598 -1.344 -1.604],4207.8193,29.958733,4.790095e-06,21,1.1144922e-14,inf,1.0,10438207.0,2100,1524.0743,1.8243128,-inf,True,905.603,-192.74817,716575.9,,10.0,,-1.0,10438207.0,4237.778,2,-182.24347,153.46,87686,50,1524.0742778853391,1494.1157,-inf,10438207.0,4.790095e-06,9.657829,10.0,436.1681866645813,0.669186,,716575.9,0.4189424
[-0.161  0.598 -1.344 -1.604],3569.049,229.75014,50.0,22,0.013657211,3622142700000.0,1.0,1.0,2150,1659.2511,691.0672,-2243444300000.0,True,820.3047,-153.57205,957555800.0,,10.0,,-1.0,1.0,3798.7993,1,-153.57205,166.98,96035,50,1659.2512539867096,1429.5011,-4604300.5,1.0,50.0,3950.6345,10.0,482.76642632484436,211.79791,,3426014.2,0.4189424
[-0.101  0.616 -1.35  -1.602],4268.846,159.91748,0.007410223,22,3.8279606e-05,5.912023e+30,1.0,6747.435,2200,1432.8374,14.505239,-3.8939237e+21,True,929.0207,-176.42834,4302145.5,,10.0,,-1.0,6747.435,4428.7637,2,-172.13806,144.34,103252,50,1432.8372609536964,1272.9197,-3.8939237e+21,6747.435,0.007410223,103.40061,10.0,524.3593142032623,2.565571,,4302145.5,0.4189424
[-0.101  0.616 -1.35  -1.602],3699.3613,,50.0,23,0.34060687,30901404000.0,1.0,1.0,2250,1608.6196,29.017,-196522280000.0,True,1014.68536,-162.41187,97177704.0,,9.999999,,-1.0,1.0,3699.3613,1,-162.41187,161.92,111348,50,1608.6196031685713,1608.6196,-4734650.5,1.0,50.0,144.1964,9.999999,570.055971622467,14.405848,,3617243.2,0.4189424
[-0.157  0.594 -1.363 -1.617],3528.9626,19.964003,0.090740345,23,6.108616e-07,2.0953487e+21,1.0,551.0228,2300,1402.7,3.3873682,-4.7073507e+16,True,793.80817,-158.26459,7077527.0,,9.999999,,-1.0,551.0228,3548.9268,2,-157.93893,141.32,118414,50,1402.6998970184377,1382.7358,-4.7073507e+16,551.0228,0.090740345,17.62133,9.999999,612.6920948028564,1.9112451,,7077527.0,0.4189424
[-0.157  0.594 -1.363 -1.617],3929.2112,9.980649,50.0,24,0.30517945,12860233000000.0,1.0,1.0,2350,1509.1019,1516.4868,-4544479600000.0,True,871.48395,-179.1713,953104900.0,,10.0,,-1.0,1.0,3939.192,1,-179.1713,151.96,126012,50,1509.101858101721,1499.1212,-4303859.0,1.0,50.0,10753.039,10.0,658.349024772644,302.51474,,3036872.5,0.4189424
[-0.149  0.671 -1.401 -1.526],3758.7615,39.927376,0.0047677937,24,4.0570153e-08,1.752632e+31,1.0,10487.031,2400,1490.865,429.3565,-4.932501e+21,True,873.63824,-168.80486,74585640.0,,10.0,,-1.0,10487.031,3798.689,2,-160.29474,150.14,133519,50,1490.8650613292518,1450.9375,-4.932501e+21,10487.031,0.0047677937,3067.0544,10.0,704.3751246929169,61.562202,,74585640.0,0.4189424
[-0.149  0.671 -1.401 -1.526],3449.1257,9.9810705,50.0,25,0.037037015,42178475000000.0,1.0,1.0,2450,1434.326,1339.0276,-6347161600000.0,True,888.5475,-144.47302,2218181000.0,,9.999999,,-1.0,1.0,3459.1067,1,-144.47302,144.48,140743,50,1434.3260038655235,1424.345,-3823787.5,1.0,50.0,7679.2236,9.999999,748.5430443286896,377.81833,,2846807.5,0.4189424
[-0.127  0.575 -1.434 -1.595],3348.9353,,0.0036534262,25,2.8797096e-08,2.2732896e+32,1.0,13685.782,2500,1659.2308,307.50424,-1.3806871e+22,True,821.8724,-162.96187,97649420.0,,10.0,,-1.0,13685.782,3348.9353,2,-161.10681,166.98,149092,50,1659.2307866032972,1659.2308,-1.3806871e+22,13685.783,0.0036534267,2196.713,10.0,797.4321994781494,44.189434,,97649420.0,0.4189424
[-0.127  0.575 -1.434 -1.595],4958.71,39.93569,50.0,26,0.10929391,11489332000.0,1.0,1.0,2550,1917.3779,285.28204,-219340370000.0,True,1030.9897,-191.64502,661707100.0,,10.0,,-1.0,1.0,4998.6455,1,-191.64502,192.78,158731,50,1917.3782071436865,1877.4425,-6779435.0,1.0,50.0,1590.8998,10.0,858.1746745109558,113.90245,,4739278.5,0.4189424
[-0.072  0.6   -1.445 -1.607],4998.418,,0.00482902,26,1.7771333e-06,6.0693482e+31,1.0,10354.068,2600,1887.5269,0.32387686,-1.5892439e+22,True,1346.4299,-216.26115,810921.4,,10.0,,-1.0,10354.068,4998.418,2,-209.6409,189.8,168221,50,1887.5269510488476,1887.5269,-1.5892439e+22,10354.068,0.00482902,1.4198992,10.0,914.6000318527222,0.2757288,,810921.4,0.4189424
[-0.072  0.6   -1.445 -1.607],4978.268,19.964073,50.0,27,0.024479974,3.8973385e+18,1.0,1.0,2650,2008.302,526.29663,-4026905800000000.0,True,1247.7614,-197.06532,2165652700.0,,10.0,,-1.0,1.0,4998.232,1,-197.06532,201.88,178315,50,2008.3020809375967,1988.338,-7630005.0,1.0,50.0,3658.8167,10.0,973.816041469574,121.080215,,5590185.5,0.4189424
[-0.129  0.585 -1.459 -1.623],3689.182,259.7972,0.029094389,27,6.074153e-08,3.3347228e+23,1.0,1718.5444,2700,1946.228,4.3846684,-7.3528184e+17,True,975.61523,-164.10895,5219596.0,,10.0,,-1.0,1718.5444,3948.979,2,-155.80063,195.68,188099,50,1946.2280189467315,1686.4308,-7.3528184e+17,1718.5444,0.029094389,24.748268,10.0,1037.3199713230133,2.1010714,,5219596.0,0.4189424
[-0.129  0.585 -1.459 -1.623],4069.3137,29.954773,50.0,28,0.23699589,229877630000.0,1.0,1.0,2750,1774.9783,589.32794,-658559800000.0,True,855.7247,-160.82977,727098400.0,,10.0,,-1.0,1.0,4099.2686,1,-160.82977,178.56,197027,50,1774.978071490917,1745.0231,-5254865.5,1.0,50.0,3106.6665,10.0,1093.707276582718,210.47588,,3882811.8,0.4189424
[-0.071  0.6   -1.465 -1.604],4798.5435,9.980221,2.2091148e-05,28,1.3205673e-14,inf,1.0,2263350.0,2800,1899.7681,21.335625,-inf,True,1293.3645,-199.51239,10365577.0,,10.0,,-1.0,2263350.0,4808.5234,2,-198.08517,191.04,206579,50,1899.768052296062,1889.7878,-inf,2263350.0,2.2091148e-05,152.69499,10.0,1142.9006760120392,3.4256814,,10365577.0,0.4189424
[-0.071  0.6   -1.465 -1.604],4998.868,,50.0,29,0.008421928,4.4839017e+20,1.0,1.0,2850,1527.39,1702.9263,-4.3204184e+16,True,1060.8451,-237.95424,3092091100.0,,9.999999,,-1.0,1.0,4998.868,1,-237.95424,153.78,214268,50,1527.3900021409202,1527.39,-5498646.0,1.0,50.0,9931.137,9.999999,1187.722440958023,505.31055,,3458312.2,0.4189424
[-0.094  0.702 -1.497 -1.543],3878.7927,,0.005839957,29,1.6345813e-07,2.1058353e+30,1.0,8561.707,2900,1231.0919,75.42415,-1.782624e+21,True,854.7879,-167.65372,22272728.0,,10.0,,-1.0,8561.707,3878.7927,2,-161.60928,124.16,220476,50,1231.091848120764,1231.0919,-1.782624e+21,8561.707,0.005839957,539.0716,10.0,1219.4036662578583,11.247638,,22272728.0,0.4189424
[-0.094  0.702 -1.497 -1.543],4958.2188,39.94438,50.0,30,0.17372887,605484860.0,1.0,1.0,2950,1495.583,58.270065,-50233307000.0,True,1156.9541,-217.17372,42186916.0,,10.0,,-1.0,1.0,4998.163,1,-217.17372,150.6,228006,50,1495.5829149125136,1455.6384,-5615068.5,1.0,50.0,407.1952,10.0,1260.798404932022,13.14975,,3575310.8,0.4189424
[-0.045  0.683 -1.51  -1.575],4588.8955,29.959957,1.5941364,30,0.028711846,2658665600000000.0,1.0,31.364946,3000,1212.6953,873.9792,-89818930000000.0,True,1002.8375,-177.43692,2666177000.0,,10.0,,-1.0,31.364946,4618.8555,2,-181.84082,122.32,234122,50,1212.6952149081003,1182.7354,-452648850000000.0,31.364946,1.5941364,6243.641,10.0,1290.08274269104,125.789055,,2855901700.0,0.4189424
[-0.046  0.717 -1.509 -1.548],4988.6616,9.980169,50.0,31,0.19046351,32838924000000.0,1.0,1.0,3050,1064.5638,2.872829,-11691041000000.0,True,1041.0972,-214.36517,10720866.0,,10.0,,-1.0,1.0,4998.6416,1,-214.36517,107.48,239496,50,1064.5638106158028,1054.5835,-4257323.5,1.0,50.0,21.016726,10.0,1316.016053199768,1.89778,,2217179.5,0.4189424
[-0.102  0.735 -1.525 -1.531],4988.5386,9.981844,0.66432345,31,7.41645e-07,1.7321503e+17,1.0,75.26454,3100,1252.1117,0.93082863,-849043800000000.0,True,1019.8823,-202.72673,1307637.5,,9.999999,,-1.0,75.26454,4998.5205,2,-199.36679,126.24,245808,50,1252.1116705355937,1242.1298,-3098527400000000.0,75.26454,0.66432345,3.667125,9.999999,1345.6990790367126,1.2191297,,1686391.5,0.4189424
[-0.096  0.704 -1.525 -1.554],4868.811,19.964436,50.0,32,0.15211165,1.012503e+34,1.0,1.0,3150,1769.9481,6053.2764,-1.9635986e+23,True,1174.323,-170.90079,8356239000.0,,10.0,,-1.0,1.0,4888.7754,1,-170.90079,178.06,254711,50,1769.9481660346228,1749.9838,-6463207.0,1.0,50.0,42999.566,10.0,1391.5125415325165,1114.6305,,4511751.0,0.4189424
[-0.197  0.746 -1.578 -1.524],3408.826,39.946648,2.9977375e-06,32,4.715483e-12,inf,1.0,16679245.0,3200,1646.8823,11.432262,-inf,True,831.74054,-167.65552,2223618.5,,9.999999,,-1.0,16679245.0,3448.7725,2,-155.01656,165.74,262998,50,1646.8824037776476,1606.9358,-inf,16679245.0,2.9977375e-06,79.95241,9.999999,1435.0355083942413,2.8653424,,2223618.5,0.4189424
