InitialBound,InitialReturnMax,MinTargetPdf,ESSRenyiArithmetic,StdIW,Inner Iteration,Weights,LearnableVariance,ReturnStepMaxmin,WReturnMean,InitialReturnMean,MaxIW,VarianceInitializer,EpThisIter,OptimizationReturnMax,Iteration,InitialReturnStd,EmpiricalD2Harmonic,ESSRenyiHarmonic,TimeElapsed,ReturnStepMax,StdWReturnMean,DivergenceHarmonic,ReturnMeanIW,MinBehavPdf,OptimizationReturnMin,MeanD2-0,EpRewMean,TimestepsSoFar,Bound,EpisodesSoFar,Epsilon,MinIW,EmpiricalD2Arithmetic,EpLenMean,Penalization,MeanIW,OptimizationReturnMean,InitialReturnMin,MeanEntropy
-inf,1259.5964,-73.059525,9.971515e-10,8.062869,2,[ 0.024  0.248 -0.527 -1.157],,9.999998,196862.48,496.75473,57.28378,-1.0,50,1199.6893,12,254.8481,50142830000.0,9.971515e-10,13.995119094848633,9.999998,,inf,196862.48,-53.54486,,50142830000.0,496.75467642571294,27654,-inf,1200,1e-07,1.1214463e-17,50142830000.0,50.7,True,1.6889507,436.8475,59.907143,0.4189424
-398663.1,1319.6758,-49.81613,50.0,27350.928,1,[ 0.024  0.248 -0.527 -1.157],,9.999997,256466.25,426.78152,163020.73,-1.0,50,1289.729,13,272.6239,1.0,50.0,14.57545256614685,9.999997,,6.0070546e+28,4471859000.0,-49.81613,,1.0,426.7815150420119,29839,-3.4851352e+19,1250,1e-07,0.2463742,1.0,43.7,True,8399.874,396.8347,29.946808,0.4189424
-inf,2959.3743,-128.99503,4.737849e-15,2.471599,2,[-0.062  0.163 -0.596 -1.364],,10.0,104270.66,699.7424,15.617708,-1.0,50,2959.3743,13,563.23035,1.0553312e+16,4.737849e-15,15.780895948410034,10.0,,inf,104270.66,-109.92322,,1.0553312e+16,699.7423710247587,33389,-inf,1300,1e-07,2.0082574e-19,1.0553312e+16,71.0,True,0.83199674,699.7424,,0.4189424
-561554.75,1629.5493,-72.44014,50.0,2813.9124,1,[-0.062  0.163 -0.596 -1.364],,9.999999,344739.12,498.39938,20126.14,-1.0,50,1629.5493,14,310.38226,1.0,50.0,16.69604802131653,9.999999,,7.557812e+21,1088939000.0,-72.44014,,1.0,498.39938513789764,35932,-1.8848964e+16,1350,1e-07,0.103550054,1.0,50.86,True,454.29208,498.39938,,0.4189424
-3.0256478e+19,1669.6492,-64.67154,0.0082102325,19.175528,2,[-0.185  0.175 -0.612 -1.371],,9.999999,1296475.6,575.74945,122.6438,-1.0,50,1559.7644,14,281.5415,6089.9614,0.0082102325,17.633960247039795,9.999999,,1.7669616e+28,1296475.6,-59.434395,,6089.9614,575.7494255354638,38862,-3.0256478e+19,1400,1e-07,4.92723e-06,6089.9614,58.6,True,4.377382,465.86462,109.88481,0.4189424
-881162.0,2149.3235,-87.75755,50.0,23370.17,1,[-0.185  0.175 -0.612 -1.371],,10.0,503972.8,588.56165,139315.67,-1.0,50,2139.3438,15,396.94827,1.0,50.0,18.381106853485107,10.0,,7.463032e+17,1585770400.0,-87.75755,,1.0,588.561668731264,41856,-325849970000000.0,1450,1e-07,0.054947,1.0,59.88,True,8018.986,578.5819,9.979776,0.4189424
-inf,2169.3948,-121.92653,5.8291605e-10,0.46552777,2,[-0.112  0.273 -0.617 -1.342],,10.0,3060.2407,767.8982,2.330042,-1.0,50,2139.4478,15,487.13672,85775650000.0,5.8291605e-10,19.86201810836792,10.0,,inf,3060.2407,-113.53779,,85775650000.0,767.8981857807931,45747,-inf,1500,1e-07,1.0005009e-13,85775650000.0,77.82,True,0.16444185,737.95135,29.946955,0.4189424
-756458.56,1419.335,-82.507614,50.0,14275.11,1,[-0.112  0.273 -0.617 -1.342],,10.0,591973.75,703.7042,102089.34,-1.0,50,1369.4161,16,311.0856,1.0,50.0,20.864481210708618,10.0,,2053826400000.0,700571700.0,-82.507614,,1.0,703.704164080646,49317,-236425790000.0,1550,1e-07,0.055119775,1.0,71.4,True,2253.3389,653.78534,49.918797,0.4189424
-8401324000000000.0,1789.3163,-82.16739,0.0854049,3.620618,2,[-0.112  0.392 -0.639 -1.311],,9.999999,1064020.2,691.28564,24.283115,-1.0,50,1789.3163,16,411.2176,585.4465,0.0854049,21.98325276374817,9.999999,,1.0328524e+21,1064020.2,-81.20241,,585.4465,691.2856013226304,52825,-8401324000000000.0,1600,1e-07,9.686389e-07,585.4465,70.16,True,0.92504495,691.28564,,0.4189424
-814434.4,1519.6554,-62.96521,50.0,881.66437,1,[-0.112  0.392 -0.639 -1.311],,9.999999,625875.9,687.0877,3926.9246,-1.0,50,1479.7301,17,392.15594,1.0,50.0,23.200080633163452,9.999999,,5.9763934e+23,477669860.0,-62.96521,,1.0,687.0877250033852,56312,-1.4576868e+17,1650,1e-07,0.51374364,1.0,69.74,True,283.6984,647.1624,39.92533,0.4189424
-inf,1379.7299,-71.458176,8.6197895e-07,48.541027,2,[-0.219  0.338 -0.656 -1.343],,9.999999,3820186.5,631.5637,282.38797,-1.0,50,1369.7484,17,340.463,58006060.0,8.619789e-07,24.210856199264526,9.999999,,inf,3820186.5,-63.73406,,58006056.0,631.563751856727,59521,-inf,1700,1e-07,3.3483446e-14,58006056.0,64.18,True,14.5217905,621.5823,9.981456,0.4189424
-900668.06,1729.2229,-65.45073,50.0,189547.27,1,[-0.219  0.338 -0.656 -1.343],,9.999998,656517.4,726.15735,1331517.1,-1.0,50,1709.2554,18,359.46194,1.0,50.0,25.588968992233276,9.999998,,6.594941e+22,22182961000.0,-65.45073,,1.0,726.1573311098457,63203,-6.269919e+16,1750,1e-07,0.08981531,1.0,73.64,True,41177.934,706.18976,19.967587,0.4189424
-inf,3158.8335,-134.40033,7.304828e-08,0.33379433,2,[-0.132  0.426 -0.671 -1.345],,10.0,12352.553,842.2868,1.6745539,-1.0,50,3138.8623,18,605.1541,684478850.0,7.304828e-08,27.148008108139038,10.0,,inf,12352.553,-120.546936,,684478850.0,842.2867649472629,67466,-inf,1800,1e-07,9.270331e-13,684478850.0,85.26,True,0.12804481,822.3156,19.971165,0.4189424
-915231.4,1959.4316,-77.07504,50.0,1258.7269,1,[-0.132  0.426 -0.671 -1.345],,9.999999,601746.9,633.89594,8976.278,-1.0,50,1949.4512,19,447.12738,1.0,50.0,28.158355951309204,9.999999,,4.1212606e+29,517427650.0,-77.07504,,1.0,633.8959264250401,70687,-2.012471e+20,1850,1e-07,0.8632625,1.0,64.42,True,237.78539,623.9154,9.980517,0.4189424
-inf,1959.2793,-77.532455,7.789721e-07,32.108982,2,[-0.247  0.383 -0.687 -1.364],,9.999999,2014835.4,762.2918,190.38245,-1.0,50,1919.3514,19,296.83762,64187150.0,7.789721e-07,29.370495557785034,9.999999,,inf,2014835.4,-67.98865,,64187150.0,762.29178134638,74550,-inf,1900,1e-07,2.0667416e-11,64187150.0,77.26,True,8.1174135,722.364,39.92782,0.4189424
-987226.9,2109.3538,-100.12729,50.0,3294.571,1,[-0.247  0.383 -0.687 -1.364],,10.0,623935.7,707.34125,21651.5,-1.0,50,2089.3904,20,351.5738,1.0,50.0,30.541914701461792,10.0,,2.200228e+20,582036860.0,-100.12729,,1.0,707.3411897416462,78138,-5388738000000000.0,1950,1e-07,0.11522268,1.0,71.76,True,1089.8102,687.3778,19.963259,0.4189424
-inf,1759.1123,-77.75374,1.4853263e-08,19.686287,2,[-0.13   0.414 -0.697 -1.394],,9.999998,912592.4,689.46234,140.81847,-1.0,50,1749.1323,20,387.32758,3366263800.0,1.4853263e-08,31.79946494102478,9.999998,,inf,912592.4,-69.61854,,3366263800.0,689.4623462840053,81637,-inf,2000,1e-07,5.8614557e-08,3366263800.0,69.98,True,3.1148486,679.4825,9.979919,0.4189424
-1557347.2,2709.0432,-114.84691,50.0,441.95425,1,[-0.13   0.414 -0.697 -1.394],,10.0,958124.8,806.8519,3123.064,-1.0,50,2699.0623,21,554.1793,1.0,50.0,32.99976348876953,10.0,,11051586000000.0,478199000.0,-114.84691,,1.0,806.8519981732475,85723,-1992520500000.0,2050,1e-07,0.01971378,1.0,81.72,True,111.08931,796.8709,9.981053,0.4189424
-5.071274e+23,1959.7913,-83.74816,0.00084269955,1991.1705,2,[-0.161  0.317 -0.715 -1.463],,10.0,21689748.0,747.5374,14226.293,-1.0,50,1939.8202,21,442.12,59333.133,0.0008426995,33.909029960632324,10.0,,2.6150873e+36,21689748.0,-72.1811,,59333.13,747.537413995552,89512,-5.071274e+23,2100,1e-07,7.629499e-12,59333.13,75.78,True,288.86798,727.56635,19.971096,0.4189424
-1458594.5,2489.2407,-100.63756,50.0,29.120426,1,[-0.161  0.317 -0.715 -1.463],,10.0,952664.94,830.7363,131.59215,-1.0,50,2479.26,22,512.3887,1.0,50.0,35.573277711868286,10.0,,24108454000.0,12990793.0,-100.63756,,1.0,830.7363108221275,93717,-78567820000.0,2150,1e-07,0.073909655,1.0,84.1,True,12.890227,820.7555,9.980793,0.4189424
-5.12257e+19,1939.152,-93.01305,0.022843603,31.111414,2,[-0.125  0.221 -0.742 -1.529],,9.999999,2051059.8,676.3579,180.74898,-1.0,50,1929.1704,22,368.65097,2188.7966,0.022843603,37.12090444564819,9.999999,,2.7836823e+28,2051059.8,-85.95143,,2188.7966,676.3579401619802,97150,-5.12257e+19,2200,1e-07,7.3512155e-07,2188.7966,68.66,True,6.808677,666.37634,9.981625,0.4189424
-801605.94,1779.244,-73.978455,50.0,116248.6,1,[-0.125  0.221 -0.742 -1.529],,10.0,543126.06,618.5745,754122.4,-1.0,50,1759.2809,23,400.6141,1.0,50.0,38.333796977996826,10.0,,4.3668225e+20,4837159000.0,-73.978455,,1.0,618.5744908925777,100294,-5401427000000000.0,2250,1e-07,0.014130894,1.0,62.88,True,26889.285,598.6114,19.963085,0.4189424
-inf,1959.6504,-91.61566,0.00016654216,0.7512445,2,[-0.079  0.337 -0.748 -1.527],,10.0,85471.63,786.065,3.9578917,-1.0,50,1949.665,23,476.8435,300224.28,0.00016654216,39.738274812698364,10.0,,inf,85471.63,-89.40625,,300224.28,786.0649376524661,104276,-inf,2300,1e-07,3.6836223e-10,300224.28,79.64,True,0.2539871,776.0796,9.985349,0.4189424
-1382516.6,2058.9395,-78.38125,50.0,70.79655,1,[-0.079  0.337 -0.748 -1.527],,9.999999,1036383.25,876.20935,349.50632,-1.0,50,2048.955,24,518.3053,1.0,50.0,41.442630767822266,9.999999,,818539300000.0,65737188.0,-78.38125,,1.0,876.2093748461077,108709,-313222100000.0,2350,1e-07,0.1092089,1.0,88.66,True,31.383673,866.2251,9.9843025,0.4189424
-6.1795413e+22,2609.3574,-127.34892,0.0023730733,1.9754155,2,[-0.081  0.248 -0.821 -1.576],,10.0,676622.7,910.44,9.716585,-1.0,50,2569.4285,24,591.0168,21069.725,0.0023730733,43.046364545822144,10.0,,1.2355758e+34,676622.7,-119.57054,,21069.725,910.4399835720392,113313,-6.1795413e+22,2400,1e-07,1.5803248e-07,21069.725,92.08,True,0.7221713,870.5111,39.928864,0.4189424
-1930989.5,2399.4514,-107.40267,50.0,101830.125,1,[-0.081  0.248 -0.821 -1.576],,10.0,1460899.9,1060.6539,670315.94,-1.0,50,2379.4893,25,579.58026,1.0,50.0,45.26702284812927,10.0,,1.0142756e+31,35269780000.0,-107.40267,,1.0,1060.6539145037789,118668,-1.4971188e+21,2450,1e-07,0.0071359645,1.0,107.1,True,25859.973,1040.6918,19.962196,0.4189424
-inf,3199.2605,-143.67668,4.7203997e-07,4.637848,2,[-0.023  0.358 -0.835 -1.574],,10.0,159183.75,1058.1952,33.08679,-1.0,50,3129.3606,25,729.50104,105923230.0,4.7203997e-07,47.13089728355408,10.0,,inf,159183.75,-135.71484,,105923230.0,1058.1951550755518,124011,-inf,2500,1e-07,3.470331e-10,105923230.0,106.86,True,0.78518325,988.2953,69.89984,0.4189424
-2019350.2,3189.1504,-137.39517,50.0,1021.7543,1,[-0.023  0.358 -0.835 -1.574],,9.999999,1188914.0,861.8368,6911.2393,-1.0,50,3159.2034,26,667.9457,1.0,50.0,48.93421936035156,9.999999,,1.6899174e+20,521938080.0,-137.39517,,1.0,861.8367548114335,128372,-1.079536e+16,2550,1e-07,0.05995487,1.0,87.22,True,224.54924,831.8897,29.94707,0.4189424
-inf,3119.1465,-142.74951,4.4678683e-05,30.234875,2,[-0.102  0.435 -0.867 -1.524],,9.999999,6967228.5,977.9994,215.88718,-1.0,50,3099.1797,26,659.7838,1119101.9,4.4678683e-05,50.48980259895325,9.999999,,inf,6967228.5,-139.13971,,1119101.9,977.9994372068758,133314,-inf,2600,1e-07,1.4453599e-08,1119101.9,98.84,True,5.4656153,958.0325,19.966843,0.4189424
-2784604.5,3249.0586,-167.17143,50.0,1092.1351,1,[-0.102  0.435 -0.867 -1.524],,10.0,1922674.0,1188.9283,7810.2773,-1.0,50,3149.2102,27,713.5286,1.0,50.0,52.707289934158325,10.0,,290286370000.0,945749800.0,-167.17143,,1.0,1188.9284137353734,139311,-465335680000.0,2650,1e-07,0.016193364,1.0,119.94,True,209.26338,1089.08,99.84831,0.4189424
-3.5945898e+16,2128.8318,-89.98961,0.118993945,1.311197,2,[-0.136  0.547 -0.906 -1.508],,10.0,335642.84,870.8041,6.6531353,-1.0,50,2098.888,27,567.0186,420.18945,0.118993945,54.45261335372925,10.0,,9.4367954e+21,335642.84,-88.484436,,420.18945,870.8040941958031,143717,-3.5945898e+16,2700,1e-07,1.447641e-05,420.18945,88.12,True,0.61198336,840.8604,29.943762,0.4189424
-1479865.0,2129.5781,-94.498856,50.0,17965.01,1,[-0.136  0.547 -0.906 -1.508],,10.0,1109573.6,901.59546,113980.6,-1.0,50,2119.5945,28,544.70105,1.0,50.0,56.04560303688049,10.0,,1.4317482e+29,13095139000.0,-94.498856,,1.0,901.5954765769966,148277,-1.4011185e+20,2750,1e-07,0.03367117,1.0,91.2,True,3953.8467,891.6118,9.98371,0.4189424
-inf,2249.4653,-100.27983,4.745497e-06,2.7806423,2,[-0.234  0.495 -0.929 -1.56 ],,9.999999,282954.28,921.70905,17.977861,-1.0,50,2239.484,28,496.89145,10536304.0,4.745497e-06,58.007575035095215,9.999999,,inf,282954.28,-98.5865,,10536304.0,921.7091093907538,152937,-inf,2800,1e-07,3.6398107e-14,10536304.0,93.2,True,0.88216317,911.7276,9.981464,0.4189424
-1959555.0,2738.7822,-100.254486,50.0,1993.9897,1,[-0.234  0.495 -0.929 -1.56 ],,10.0,1347103.4,1056.0431,12206.655,-1.0,50,2708.8323,29,481.53568,1.0,50.0,60.1687171459198,10.0,,1.2457433e+19,507345700.0,-100.254486,,1.0,1056.0429764235198,158269,-2161642000000000.0,2850,1e-07,0.10103639,1.0,106.64,True,425.11142,1026.093,29.950056,0.4189424
-inf,2649.4768,-120.77498,2.532631e-07,115.86229,2,[-0.133  0.433 -0.929 -1.6  ],,10.0,9720882.0,1168.9723,827.8358,-1.0,50,2639.4968,29,585.8131,197423150.0,2.532631e-07,62.70447540283203,10.0,,inf,9720882.0,-107.46486,,197423150.0,1168.9723430690274,164166,-inf,2900,1e-07,4.2555507e-13,197423150.0,117.94,True,17.195564,1158.9923,9.980096,0.4189424
-3270274.5,4059.2126,-172.53639,50.0,162243.45,1,[-0.133  0.433 -0.929 -1.6  ],,10.0,1924907.9,1146.3835,939279.75,-1.0,50,4049.2312,30,781.48126,1.0,50.0,65.30548095703125,10.0,,4.321676e+31,241545610000.0,-172.53639,,1.0,1146.3834464645522,169950,-8.8443125e+21,2950,1e-07,0.6774926,1.0,115.68,True,52735.86,1136.402,9.981494,0.4189424
-inf,2899.502,-132.27309,7.374525e-07,0.18074961,2,[-0.132  0.299 -1.092 -1.733],,9.999999,57519.176,881.3515,1.0084815,-1.0,50,2859.569,30,529.3337,67800980.0,7.374525e-07,67.79935216903687,9.999999,,inf,57519.176,-121.881874,,67800980.0,881.3514656069833,174408,-inf,3000,1e-07,2.8032687e-12,67800980.0,89.16,True,0.05241992,841.4187,39.932808,0.4189424
-1681886.8,2129.6934,-112.25488,50.0,601978.1,1,[-0.132  0.299 -1.092 -1.733],,9.999999,1311555.1,1050.3667,4084966.5,-1.0,50,1770.0049,31,456.3827,1.0,50.0,69.76233792304993,9.999999,,6.5702483e+24,269371650000.0,-112.25488,,1.0,1050.366590132462,179711,-9.4924776e+17,3050,1e-07,0.07226642,1.0,106.06,True,143792.61,690.6782,359.68842,0.4189424
-inf,4398.7524,-202.2519,3.9967657e-17,33.309326,2,[-0.056  0.397 -1.104 -1.724],,10.0,3940477.5,1731.389,237.97739,-1.0,50,4388.7695,31,984.0142,1.2510115e+18,3.9967657e-17,73.31824350357056,10.0,,inf,3940477.5,-176.84488,,1.2510115e+18,1731.3890027875711,188421,-inf,3100,1e-07,1.51624e-29,1.2510115e+18,174.2,True,4.8312445,1721.4058,9.983045,0.4189424
-6520048.0,4798.766,-218.47504,50.0,21442.451,1,[-0.056  0.397 -1.104 -1.724],,10.0,4639789.0,1838.3422,107713.97,-1.0,50,4469.1006,32,1122.625,1.0,50.0,77.29756808280945,10.0,,2.624006e+28,63027036000.0,-218.47504,,1.0,1838.3421446277464,197666,-3.045762e+20,3150,1e-07,0.19215222,1.0,184.9,True,7024.9575,1508.6765,329.6656,0.4189424
-inf,4998.807,-255.40123,1.5971307e-21,3.8745022,2,[-0.006  0.241 -1.271 -1.634],,10.0,213137.78,2247.8538,25.748611,-1.0,50,4988.824,32,1624.9734,3.1306142e+22,1.5971307e-21,81.97200727462769,10.0,,inf,213137.78,-226.58762,,3.1306142e+22,2247.8538030682676,208955,-inf,3200,1e-07,7.847422e-29,3.1306142e+22,225.78,True,0.8608572,2237.8708,9.982837,0.4189424
